Gloss		Beijing	Changsha	Chengdu	Fuzhou	Guangzhou	Guilin	Ha'erbin	Jinan	Jixi	Loudi	Meixian	Nanchang	Nanjing	Rongcheng	Suzhou	Taiyuan	Wenzhou	Xi'an	Xiamen
BIG_1		tɑ⁵¹	tai¹¹	ta²¹³	tuai²⁴²	tai²²	tai²¹	ta⁵³	ta³¹	tʰɵ³¹	da¹¹	tʰai⁵³	tʰai²¹	tɑ⁴⁴	ta³³⁴	dəu²³¹	ta⁴⁵	dɤu²²	tɑ⁴⁴	tua²²
BIRD_1														tɕʰioʔ⁵ tsz̩⁰						
BIRD_2		niɑur²¹³	ȵiau⁴¹		tsɛu³²	niu²³	tiɑu²³	niaur²¹³	ȵiɔr⁴⁵	ȵie²¹³			ȵiɛu²¹³	liɔ¹¹		tiæ⁵²	niau⁵³		tɕʰiɑur⁵³	tsiau⁵³
BIRD_3								tɕʰiaur²¹³							tsʰyɔr³⁵					
BIRD_4											tiɤ⁴² tɕi³⁵⁻⁵									
BIRD_5				tɕʰo²¹⁻⁵⁵ tɕʰo²¹⁻⁵⁵																
BIRD_6				tɕʰyo²¹⁻⁵⁵ ər⁵⁵																
BIRD_7												tiau³³⁻³⁵ ve⁰								
BIRD_8																		tiɛ²⁴²⁻⁴² ŋ̍⁰		
BITE_1		iɑu²¹³	ŋa⁴¹	ŋau⁵³	ka²⁴²	ŋau²³	ŋɑu²³	iau²¹³	iɔ⁴⁵	ŋɤ²¹³			ŋau²¹³	iɔ¹¹	iau²¹⁴	ŋæ²³¹	iau⁵³	ŋuɔ²⁴²	ȵiɑu⁵³	ka²²
BITE_2											ŋa³⁵									
BITE_3												ŋat¹								
BLACK_1		xei⁵⁵	xə²⁴	xe²¹		hɐk³	xei⁵⁵	xei⁴⁴	xei²¹⁴	xɤʔ³²*	xe¹³	het¹	hɛt⁵	xeʔ⁵	xɛ²¹⁴	həʔ⁴	xəʔ²	he⁴¹	xei²¹	
BLACK_2					u⁵⁵															ɔ⁵⁵
BLOOD_1		ɕyɛ²¹³	ɕie²⁴	ɕye²¹	haiʔ²⁴*	hyt³	ɕye⁵⁵	ɕyɛ²¹³	ɕiə²¹⁴	ɕyaʔ³²*	sue¹³	çiat¹	ɕyet⁵	ɕyeʔ⁵	siɛ²¹⁴	ɕyəʔ⁴	ɕyəʔ²	ɕy⁴¹	ɕiɛ²¹	huiʔ³²*
BLOW (OF WIND)_1		tʂʰuei⁵⁵	tɕʰuei³³	tsʰuei⁴⁵	tsʰuoi⁵⁵	tsʰøy⁵⁵	tsʰuei⁴²	tsʰuei⁴⁴	tʂʰuei²¹⁴	tɕʰy⁵⁵	tɕʰy⁴⁴		tsʰui⁴²	tsʰuei³¹	tʂʰuei⁵²	tsʰʯ⁴⁴	tsʰuei²¹	tsʰz̩⁴⁴	pfʰei²¹	
BLOW (OF WIND)_2					puŋ⁵³															pun²⁴
BLOW (OF WIND)_3												pʰaŋ³³								
BLUNT_1		tɛ⁵⁵	ŋai¹³				tai⁴²		tɛ²¹⁴		ŋe¹³		tai⁴²	tɛ³¹		ŋᴇ¹³	tai²¹	ŋe³⁴¹	tɛ²¹	
BLUNT_2			pən¹¹	pən²¹³		pɐn²²		pən⁵³		pʰõ³¹		pun⁵³		pən⁴⁴			pəŋ⁴⁵	baŋ²²		
BLUNT_3															piau⁵²					
BLUNT_4													muʔ⁵							
BLUNT_5					tsu⁵³															
BLUNT_6					kʰy⁵³															
BLUNT_7																				kʰam⁵³
BLUNT_8				kua⁴⁵																
BONE_1																			ku²¹ tou⁰	
BONE_2			ku²⁴ təu⁰	ku²¹⁻⁵⁵ tʰəu²¹⁻⁵⁵			ku⁵⁵ tai²²	ku²¹³⁻²¹ tʰou⁰	ku²¹⁴⁻²¹ tʰou⁰		ku¹³ diɤ¹³⁻³³	kut¹ tʰeu¹¹	kuʔ⁵ tʰəu⁰	kuʔ⁵ tʰəɯ¹³	ku²¹⁴⁻³⁵ tʰə⁰	kuəʔ⁴ dʏ¹³⁻²³	kuəʔ² təu⁰	ky⁴² dɤu³⁴¹⁻²¹	ku²¹ tʰou⁰	kut³²*⁻⁵ tʰau²⁴
BONE_3					kɔuʔ²⁴*⁻²¹* kɔuʔ²⁴*															
BONE_4		ku²¹⁴			kɔuʔ²¹*	kuɐt⁵				kuɤʔ³²*								ky⁴¹		
BREAST_1		ʐu²¹⁴⁻²¹ fɑŋ³⁵	y⁴¹ fan¹³			y²³ fɔŋ²¹	lai²³ fɑŋ²²							lu¹¹⁻²¹ fɑ̃¹³					vu⁵³ fɑŋ²¹	
BREAST_2					nɛiŋ⁵³								lai²¹³			nɑ¹³⁻²² nɑ¹³⁻³¹	nai⁵³	na²⁴		
BREAST_3								tsar⁴⁴												
BREAST_4												nen⁵³ ku³³								
BREAST_5			lai⁴¹ tsz̩⁰					nai²¹³⁻²¹ tsz̩⁰	nɛ⁴⁵⁻²¹⁴ tsz̩⁰	lɔ³⁵ tsz̩⁰					nai²¹⁴ tsz̩⁰					
BREAST_6											la³⁵ bu¹³⁻³³									
BREAST_7				lai⁴⁵ lai⁵⁵																
BREAST_8																				niæ⁵³⁻²² iã⁵³
BREAST_9									ma²¹³⁻²¹ ma⁰											
BREATHE_1		xu⁵⁵ ɕi⁵⁵	fu³³ tɕi²⁴	fu⁴⁵ ɕi²¹	hu⁵⁵⁻⁵³ hɛiʔ²⁴*	fu⁵⁵ kʰɐp⁵		xu⁴⁴ ɕi⁴⁴	xu²¹⁴⁻²³ ɕi²¹⁴				fu⁴² ɕit⁵	xu³¹ ɕiʔ⁵				fu⁴⁴ ɕiai⁴¹	xu²¹ ɕi²¹	
BREATHE_2			tɕʰy²⁴⁻⁴⁴ tɕʰi⁵⁵				tsʰuã²³⁻²¹ tɕʰi²⁵			tʰi²¹³⁻³¹ tsʰz̩³⁵	tɕʰy¹³ tɕʰi³⁵	tʰeu⁵³⁻⁵⁵ çi⁵³	ɕit⁵ tɕʰi²⁴	tʂʰuɑ̃¹¹⁻²¹ tɕʰi⁴⁴	tʂʰɐn²¹⁴⁻²¹ cʰiər³³⁴	tʰʏ⁵²⁻⁴¹ tɕʰi⁴¹²	tsʰuəʔ² tɕʰi⁴⁵	tʰau²⁴²⁻² tsʰz̩⁵¹		hɔ⁵⁵⁻²² kʰi⁵³
BURN_1		ʂɑu⁵⁵	sau³³	sau⁴⁵	sieu⁵⁵	siu⁵³	sɑu⁴²	ʂau⁴⁴	ʂɔ²¹⁴	ɕio⁵⁵	ɕiɤ⁴⁴	sau³³	sɛu⁴²	sɔ³¹	ʂau⁵²	sæ⁴⁴	sau²¹	ɕiɛ⁴⁴	ʂɑu²¹	sio⁵⁵
CHILD (YOUNG HUMAN)_1					nie⁵³⁻²¹ iaŋ³²⁻³⁵ ŋo⁵⁵															
CHILD (YOUNG HUMAN)_10														uɑ¹³ ər⁰						
CHILD (YOUNG HUMAN)_11				ua²¹⁻⁵⁵ ua²¹⁻⁵⁵													ɕiau⁵³ va²¹ va²¹⁻⁴⁵,va²¹ va²¹⁻⁴⁵			in⁵³⁻⁵⁵ na⁵³
CHILD (YOUNG HUMAN)_12				tsai⁵³⁻⁵⁵ tsai⁵³⁻²¹																
CHILD (YOUNG HUMAN)_13					ha⁵³⁻³³ i⁵³															
CHILD (YOUNG HUMAN)_14												se⁵³⁻⁵⁵ ŋin¹¹ ne⁰								
CHILD (YOUNG HUMAN)_15																		sei⁵¹⁻⁴² ŋ̍⁰		
CHILD (YOUNG HUMAN)_2			xai¹³ tsz̩⁰,ŋa¹³ sz̩⁵⁵ tsz̩⁰				ɕi²⁵ kuo⁰ tse²³⁻³³		xɛ⁵³⁻⁴⁵ tsz̩⁰				ɕi⁴⁵ ŋa⁰ tsz̩⁰	xɛ¹³⁻²¹ tsz̩⁰	xai³⁵ tsz̩⁰		xai²¹ tsəʔ⁰			
CHILD (YOUNG HUMAN)_3																			uɑ⁴⁴	
CHILD (YOUNG HUMAN)_4																siæ⁵²⁻⁴¹ ȵin¹³⁻²¹				
CHILD (YOUNG HUMAN)_5										sz̩³⁵⁻³³ iɑ̃⁴⁴ ko⁵³										
CHILD (YOUNG HUMAN)_6		xɛ³⁵				hai²¹		ɕiau²¹³⁻²¹ xar²⁴	xar⁵³				hai²⁴				xai²¹			
CHILD (YOUNG HUMAN)_7								ɕiau²¹³⁻²¹ kar⁴⁴												
CHILD (YOUNG HUMAN)_8											ɕi³⁵ ko⁰ dze⁰									
CHILD (YOUNG HUMAN)_9																		mai⁴⁴⁻³ mai⁴⁴		
CLAW_1			tsau⁴¹ tsz̩⁰				tsɑu²³ tse²³⁻³³	tʂua²¹³⁻²¹ tsz̩⁰	tʂua⁴⁵⁻²¹⁴ tsz̩⁰	tsɤ²¹³ tsz̩⁰	tsɤ⁴² tsz̩⁰		tsua²¹³ tsz̩⁰	tsuɑ¹¹⁻²¹ tsz̩⁰	tʂua²¹⁴ tsz̩⁰				pfɑ⁵³ tsz̩⁰	
CLAW_2		tʂuᴀ²¹³	tsau⁴¹	tsua⁵³⁻⁵⁵ tsua²¹	kʰa⁵⁵⁻⁵³ tsau³²,tsau³²	tsau³⁵						tsau³¹				tɕiɑʔ⁴ tsæ⁵²	tsua⁵³	tɕia⁴¹⁻² tsuɔ²⁴²⁻²⁴		
CLAW_3																				ɡɔ²²⁻²¹ niãu⁵³⁻⁵⁵ liŋ²⁴
CLOUD_1		yn³⁵	yn¹³	yn²¹	huŋ⁵³	uɐn²¹	yŋ²²		yẽ⁵³	yɑ̃⁴⁴	un¹³	iun¹¹	yn²⁴	in¹³	yn⁵²	ɦyən¹³	yŋ²¹	jyoŋ³⁴¹	yẽ²⁴	hun²⁴
CLOUD_2								yn²⁴ tsʰai⁰												
COLD_1		ləŋ²¹⁴	lən⁴¹	nən⁵³		laŋ²³	lei²³	ləŋ²¹³	ləŋ⁴⁵	nẽ²¹³	niɔ̃⁴²	laŋ³³	laŋ²¹³	lən¹¹	ləŋ²¹⁴	la²³¹	ləŋ⁵³	liɛ²⁴²	ləŋ⁵³	liŋ⁵³
COLD_2					tɔyŋ²¹²															
COLD_3					kaŋ⁵³															kuã²⁴
COLD_4					tsʰiŋ²¹²															tsʰin²¹
COME_1		lɛ³⁵	lai¹³	lai²¹	li³²	lɔi²¹	lai²²	lai²⁴	lɛ⁵³	na⁴⁴	le¹³	loi¹¹	lai⁴⁵	nɛ¹³	lai³⁵	lᴇ¹³	lai²¹	tsau²⁴²⁻²⁴ lo⁰	lɛ²⁴	lai²⁴
CORRECT (RIGHT)_1		tuei⁵¹	tei⁵⁵	tuei²¹³		tøy³³	tei²⁵	tuei⁵³	tuei³¹	ta³⁵	tue³⁵	tui⁵³	tui⁴⁵	tuei⁴⁴	tei³³⁴	tᴇ⁴¹²	tuei⁴⁵	tai⁵¹	tuei⁴⁴	tui²¹
CORRECT (RIGHT)_2					mo⁵³⁻²¹ laŋ²⁴²															
COUNT_1		ʂu²¹³	səu⁴¹	su⁵³	sou²¹²	sou³⁵	su²⁵	ʂu²¹³	ʂu⁴⁵	su²¹³	sɤu⁴²	sz̩⁵³	su²¹³	su¹¹	ʃu³³⁴	səu⁵²	su⁵³		sou⁵³	sɔ²¹
COUNT_2																		ti²⁴		
CUT_1												sat¹								
CUT_2				tsai⁵³																
CUT_3		kʰan²¹⁴	kʰan⁴¹	kʰan⁵³	kʰaŋ³²	hɐm³⁵	kʰã²³	kʰan²¹³	kʰæ̃⁴⁵				kʰan²¹³	kʰɑ̃¹¹	kʰɐn²¹⁴		kʰæ̃⁵³		kʰæ̃⁵³	kʰam⁵³
CUT_4										tsoʔ³²*	tɕio³⁵									
CUT_5																tsᴇ⁴⁴				
CUT_6																		tɤu⁵¹		
CUT_7					tsʰɔy²¹²															
DAY (NOT NIGHT)_1																		ne²¹		
DAY (NOT NIGHT)_2		tʰiɛn⁵⁵	tʰiẽ³³	tʰiɛn⁴⁵	tʰieŋ⁵⁵	tʰin⁵³	tʰiã⁴²	tʰian⁴⁴	tʰiæ̃²¹⁴	tʰẽ⁵⁵	tʰiæ⁴⁴	tʰien³³	tʰiɛn⁴²	tʰien³¹	tʰiɐn⁵²	tʰiɪ⁴⁴	tʰie²¹		tʰiæ̃²¹	tʰiæ⁵⁵
DIE_1			tan¹³ sz̩⁵⁵ lan¹³																	
DIE_2		sz̩²¹³	sz̩⁴¹	sz̩⁵³	si³²	sei³⁵	sz̩²³	sz̩²¹³	sz̩⁴⁵	sz̩²¹³	sz̩⁴²	sz̩³¹	sz̩²¹³	sz̩¹¹	sz̩²¹⁴	si⁵²	sz̩⁵³	sz̩²⁴²	sz̩⁵³	si⁵³
DIE_3			kua³³																	
DIG_1		uᴀ⁵⁵	ua²⁴	ua⁴⁵	uaʔ²⁴*	uat³	uᴀ⁵⁵	ua⁴⁴	va²¹⁴	vaʔ³²*	ua¹³	vat¹	ua⁴²	uɑ³¹	ua²¹³	uaʔ⁴	va²¹		uɑ²¹	
DIG_2				pʰau²¹																
DIG_3				tsua²¹																
DIG_4																		lau⁴⁴		
DIG_5																				ɔ⁵³
DIRTY_1		tsɑŋ⁵⁵	tsan³³	tsaŋ⁴⁵				tsaŋ⁴⁴	tsɑŋ²¹⁴				tsɔŋ⁴²	tsɑ̃³¹	tsaŋ⁵²		tsɒ̃²¹		tsɑŋ²¹	
DIRTY_10					ouʔ⁵ tsʰuoʔ²⁴*															
DIRTY_11																				lau²⁴⁻²² siɔŋ²⁴
DIRTY_12												me⁵³								
DIRTY_13										voʔ³²*⁻²³ lo³¹										
DIRTY_2								mai²⁴ tʰai⁰												
DIRTY_3			la²⁴ tʰa²⁴	la²¹⁻⁵⁵ tʰa²¹			lᴀ⁵⁵ tʰᴀ²¹													
DIRTY_4				nəu²¹⁻⁵⁵ səu⁵⁵																
DIRTY_5																oʔ⁴ tsʰoʔ⁴				
DIRTY_6						u⁵⁵ tsou⁵³												ə⁴⁴ tsə⁴⁴		
DIRTY_7											pʰa³⁵ la¹¹⁻¹									
DIRTY_8													ŋa⁴² tsa⁰							
DIRTY_9					la⁵⁵ tsʰa⁵⁵															
DOG_1		kou²¹⁴	kəu⁴¹	kəu⁵³		kɐu³⁵	kai²³	kou²¹³	kou⁴⁵	ki²¹³	tiɤ⁴²	keu³¹	kiɛu²¹³	kəɯ¹¹	kou²¹³	kʏ⁵²	kəu⁵³	kau²⁴²	kou⁵³	kau⁵³
DOG_2					kʰɛiŋ³²															
DOG_3					kʰɛiŋ³²⁻³⁵ ŋiaŋ³²															
DRINK_1			tɕʰia²⁴								tɕʰiɔ¹³					tɕʰiəʔ⁴				
DRINK_2					siøʔ⁵							sət⁵								
DRINK_3						iɐm³⁵														
DRINK_4		xɤ⁵⁵	xo²⁴	xo⁴⁵			xuo⁵⁵	xɤ⁴⁴	xɤ²¹⁴	xɤ⁵⁵			hot²	xoʔ⁵	xa²¹⁴		xəʔ²	ha⁴¹	xuo²¹	
DRINK_5																haʔ⁴				
DRINK_6					tsʰuoʔ²⁴*															
DRINK_7																				lim⁵⁵
DRY_1		kan⁵⁵	kan³³	kan⁴⁵	kaŋ⁵⁵	kɔn⁵³	kã²³	kan⁴⁴	kæ̃²¹⁴	kɔ⁵⁵	kã⁴⁴	kon³³	kon⁴²	kɑ̃³¹	kɐn³³⁴	kø⁴⁴	kæ̃²¹	ky⁴⁴	kæ̃²¹	
DRY_2																		sə⁵¹		
DRY_3					ta⁵⁵															ta⁵⁵
DUST_1				tsa⁴⁵ tsz̩⁵³⁻²¹																
DUST_2		tʂʰən³⁵ tʰu²¹⁴						tʂʰən²⁴ tʰu²¹³		tɕʰiɑ̃⁴⁴⁻³⁵ tʰu²¹³			tsʰɛn²⁴ tʰu²¹³				tsʰəŋ²¹ tʰu⁵³		tʂʰẽ²⁴ tʰou⁵³	
DUST_3			fei³³ tsən¹³		uŋ⁵⁵ niŋ⁵³	fui⁵³ tsʰɐn²¹	fei⁴² tsɤn²²			fa⁵⁵ tɕʰiɑ̃⁴⁴		tsʰən¹¹	fɨi⁴² tsʰɛn⁰	xuei³¹ tsʰən¹³		huᴇ⁴⁴ zən¹³⁻²¹	xuei²¹ tsʰəŋ²¹	baŋ³⁴¹⁻³¹ dzaŋ³⁴¹⁻²¹	tʂʰẽ²⁴,xuei²¹ tʂʰẽ²⁴	
DUST_4									tʰu⁴⁵⁻²¹⁴ la⁰											
DUST_5											xue⁴⁴			xuei³¹	xuei⁵²					
DUST_6																				tʰɔ²⁴⁻²² hun⁵³
DUST_7				tsa⁴⁵ tsa⁵⁵																
EARTH (SOIL)_1																di²³¹⁻²² bi¹³⁻³¹				
EARTH (SOIL)_2		tʰu²¹³⁻²¹ ti⁵¹	tʰəu⁴¹ ti¹¹	tʰu⁵³⁻⁵⁵ ti²¹³,ti²¹³	tʰu⁵³ lɛi²⁴²	tʰou³⁵ tei²²	tʰu²³ ti²¹	tʰu²¹³⁻²¹ ti⁵³	tʰu⁴⁵ ti³¹	tsʰz̩³¹,tʰu²¹³⁻³¹ tsʰz̩³¹	tʰɤu⁴² di¹¹⁻¹,di¹¹	tʰu³¹ tʰi⁵³	tʰu²¹³ tʰi⁴²	ti⁴⁴,tʰu¹¹⁻²¹ ti⁴⁴	tʰu²¹³⁻²¹ ti³³⁴	tʰəu⁵²⁻⁴¹ di²³¹⁻²¹	tʰu⁵³ ti⁴⁵,ti⁴⁵	tʰøy²⁴²⁻⁵³ dei²²⁻²¹	tʰou⁵³ ti⁴⁴,ti⁴⁴	tʰɔ⁵³⁻⁵⁵ tue²²
EAR_1		ər²¹⁴	ə⁴¹	ər⁵³	ŋɛi²⁴²												ər⁵³		ər⁵³	
EAR_2			ə⁴¹ to⁰	ər⁵³⁻⁵⁵ to⁵⁵			y²³ tu²³⁻³³	ər²¹³⁻²¹ tuo⁰	ər⁴⁵⁻²¹⁴ tuɤ⁰	ẽ²¹³⁻²² tɵ²¹³	ɤ⁴² tɤ⁰		ɵ²¹³ tɔ⁰	ər¹¹⁻²¹ to⁴⁴	ər²¹⁴⁻³⁵ tə⁰	ȵ²³¹⁻²² təu⁵²⁻⁴⁴	ər⁵³ tuɤ⁰	ŋ̍²⁴⁻⁴² to²⁴²	ər⁵³ tuo⁰	
EAR_3																				hi²²⁻²¹ ia⁵³
EAR_4												ŋi³¹ kuŋ³³								
EAR_5						i²³ tsɐi³⁵														
EAT_1		tʂʰʐ̩⁵⁵		tsʰz̩²¹			tɕʰi⁵⁵	tʂʰʐ̩⁴⁴	tʂʰʐ̩²¹⁴	tɕʰieʔ³²*				tʂʰʐ̩ʔ⁵			tsʰəʔ²	tsʰz̩⁴¹	tʂʰʐ̩²¹	
EAT_2															tai²¹⁴					
EAT_3			tɕʰia²⁴								tɕʰiɔ¹³		tɕʰiaʔ⁵			tɕʰiəʔ⁴				
EAT_4					sieʔ⁵	sek²						sət⁵								tsiaʔ⁵
EGG_1										tsz̩⁵⁵⁻⁴⁵ tsz̩²¹³										
EGG_2		tɕi⁵⁵ tan⁵¹	tɕi³³ tan¹¹	tɕi⁴⁵ tan²¹³⁻²¹		kɐi⁵³ tan²²	tɕi⁴² tã²¹	tɕi⁴⁴ tan⁵³	tɕi²¹⁴⁻²³ tæ̃⁴¹		tɕi⁴⁴ dã¹¹	ke³³ lon³¹	tɕʰi⁴² tʰan²¹	tɕi³¹⁻³³ tɑ̃⁴⁴	ci⁵² tɐn²¹⁴	tɕi⁴⁴ dᴇ²³¹⁻²¹	tɕi²¹ tæ̃⁴⁵	tsz̩⁴⁴⁻⁵³ laŋ²⁴⁻²¹	tɕi²¹ tæ̃⁰	
EGG_3					kie⁵⁵⁻⁵³ lɔuŋ²⁴²															kue⁵⁵⁻²² nŋ̍²²
EYE_1								ian²¹³									ie⁵³			
EYE_2		iɛn²¹³⁻²¹ tɕiŋ⁵⁵	ŋan⁴¹⁻⁴⁴ tɕin⁰	iɛn⁵³⁻⁵⁵ tɕin⁵⁵		ŋan²³ tsɛŋ⁵⁵	ŋã²³ tsei⁴²⁻²²	ian²¹³⁻²¹ tɕiŋ⁰	iæ̃⁴⁵⁻²¹³ tɕiŋ⁰	ŋo²¹³⁻³¹ tɕiɑ̃⁵⁵			ŋan²¹³ tɕiaŋ⁰	ien¹¹⁻²² tɕin⁰	iɐn²¹⁴ tsiŋ⁵²		ie⁵³ tɕiŋ⁰			
EYE_3																			niæ̃⁵³ uo⁰	
EYE_4											ŋã⁴² tɕy⁴⁴⁻³³	ŋian³¹ tsu³³				ŋᴇ²³¹⁻²² u⁴⁴ tsʯ⁴⁴⁻²¹		ŋa²⁴ leŋ³⁴¹⁻⁴² tsz̩⁴⁴⁻²¹		bak⁵⁻³²* tsiu⁵⁵
EYE_5					mɛiʔ⁵ tsieu⁵⁵															
FALL_1		tiɑu⁵¹	tiau¹¹	tiau²¹³			tiɑu²⁵	tiau⁵³	tiɔ³¹				tiɛt⁵	tiɔ⁴⁴	tiau³³⁴		tiau⁴⁵		tiɑu⁴⁴	
