Gloss	Ancient Attic Greek	Ancient Ionic Greek	Modern Demotic Greek	Pharasa Greek	Southern Tsakonian	Western Cappadocian Greek
MALE PERSON_2			anðras~adras			
MALE PERSON_3				nomat		
MALE PERSON_4					aʧopo	aropos
MANY_1	poly	pollo	poli	poli		poli
MANY_2					pase~perse	
MOON_1	seleːneː	seleːneː				
MOON_2			feɡari	feŋɡos	feŋɡar̝i	feŋɡos
MOUNTAIN_1	oros	oros		ruʃi		
MOUNTAIN_2			vuno			vuni
MOUNTAIN_3					ʃina	
MOUTH_1	stoma	stoma	stoma	stoma	tʰuma	stoma
NAME_1	onoma	uːnoma	onoma	onoma	onuma	onoma
NEAR_1	enɡys	ankʰuː				
NEAR_2			koda	konda	konda	konda
NECK_1	awkʰeːn	awkʰeːn				
NECK_2			lemos		lemo	
NECK_3				ɣurɣuri		ɣurɣur
NEW_1	neo		neo			
NEW_2			cenurʝo		ʨinurʨe	cenurjo
NEW_3				tazos		
NEW_4					ʨirnuʨi	
NIGHT_1	nykt	nykt				
NIGHT_2			nixta	niexta	ɲutʰa	nixta
NOSE_1	r̥iːn	r̥iːn				
NOSE_2			miti	miti		mita
NOSE_3					ʃukʰo	
NOT_1	uː~uːk~uːkʰ	uː~uːk				
NOT_2			ðen			
NOT_3				ʤo		
NOT_4					o	
NOT_5						ðen
ONE_1	hen	en				
ONE_2			enas	ena	ena	ena
PERSON_1	antʰroːpos	antʰroːpos	anθropos			aropos
PERSON_2				nomat		
PERSON_3					aʧopo	
RAIN (PRECIPITATION)_1	ombros	ombros				
RAIN (PRECIPITATION)_2			vroçi	vreʃi	vrexo	vrexos
RED_1	erytʰros	erytʰros				
RED_2			kocino		koʦine	
RED_3				ltʰinos		
RED_4						açno~açlo~alço
ROAD_1	hodos	odos				
ROAD_2			ðromos			
ROAD_3				strata		strata
ROAD_4					poria	
ROOT_1	r̥izdaː	r̥izdaː	riza	riza		riza
ROOT_2					ʃinda	
SALT_1	hals	als		as		
SALT_2			alati			alas
SALT_3					aʦi	
SAND_1	ammos	psammos	amos	namos	amo	
SAND_2						milis
SAY_1	pʰeːmi	pʰeːmi				
SAY_2	ejpa	ejpa	ipa	ipa		ipa
SAY_3			leo	leo		leo
SAY_4					au	
SAY_5					epeka	
SEE_1	horoː	oroː		θoro	oru	
SEE_2	ejdon	ejdon				
SEE_3			vlepo			
SEE_4			iða	iða		ira
SEE_5						drano
SEED_1	sperma	sperma			pʰrama	
SEED_2			sporos			sporos
SHORT_1	brakʰy	brakʰy				
SHORT_2			kodo		konde	kondo
SIT_1	katʰeːmaj	kateːmaj	kaθome	kaθome	kasimene	karume
SKIN (HUMAN)_1	derma	derma	ðerma			derma
SKIN (HUMAN)_2					ʨepa	
SLEEP_1	katʰewdoː	ewdoː				
SLEEP_2			cimame			cimume
SLEEP_3				pnono		
SLEEP_4					kasiu	
SLEEP_5					ecuva	
SMALL_1	smiːkros	smiːkro	mikro		miʦi	mikro
SMALL_2				okk		
SMOKE (EXHAUST)_1	kapnos	kapnos	kapnos		kapine~kapne	
SMOKE (EXHAUST)_2				ʦikna		ʧikna
SNAKE_1	opʰis	opʰis				ofir
SNAKE_2			fiði	fiði	uθi~uiθi	
SPHERICAL (ROUND IN THREE DIMENSIONS)_1	stronɡylos	stronɡylo	stroɟilo		stronʒile	
SPHERICAL (ROUND IN THREE DIMENSIONS)_2				juvarlaxi		
STAND_1	histeːmi	isteːmi				
STAND_2			stekome	stikno~stekno	steku	stekno
STAR_1	asteːr	asteːr	asteri	astro		astro
STAR_2					aʃi	
STONE_1	litʰos	litʰos				
STONE_2			petra			
STONE_3				θali		
STONE_4					peʧe	
STONE_5						niter~niçer~ter
SUN_1	heːlios	eːlios	iʎos	oilos		oljos
SUN_2					iʎe	
SWIM_1	neoː	neoː				
SWIM_2			kolibo			
SWIM_3				plefo	apleu~pleu	
SWIM_4						yzd
TAIL_1	kerkos					
TAIL_2		uːreː	ura		nura~ura	turaði
TAIL_3				vraði		
THAT_1	ekejno	ekejno	ecino	aʤino~aʧino	etine	ecino
THIN_1	leptos	lepto				
THIN_2			lepto			
THIN_3					ftene	fteno
THIN_4					psile	
THIS_1	huːto	uːto				
THIS_2			afto			
THIS_3				ate		
THIS_4					enderi~endeni~eteni	eto
THOU_1	sy	sy	esi	esi		eʃi
THOU_2					ecu	
THOU_3					eti	
TONGUE_1	ɡloːtta	ɡloːssa	ɣlosa	ɣwosa~ɣwasa	ɣrusa	ɣlosa
TOOTH_1	odont	odont	ðodi	ðandari	onda	zonʧi
TREE_1	dendron	dendreon	ðedro			ðendro
TREE_2				ksio		
TREE_3					ðenʤiko	
TWO_1	dyo	dyo	ðio	ðio	ði	
TWO_2						erjo
WALK_1	ejmi	ejmi				
WALK_2			pao			
WALK_3			piʝeno	pajeno~peno		peno
WALK_4			piɣa	piaɣa~piɣa		piɣa
WALK_5					eŋɡu	
WALK_6					ezak	
WARM (OF WEATHER)_1	tʰermo	tʰermo				
WARM (OF WEATHER)_2			zesto			
WATER_1	hydoːr	ydoːr				
WATER_2			nero	nero		lero
WATER_3					io	
WE_1	heːmejs	eːmejs	emis	emis		emis
WE_2					eɲi~eɲinane	
WE_3					emunane	
WHAT_1	ti	ti	ti	tipo	ʦi	ʧi
WHITE_1	lewko	lewko			leko	
WHITE_2			aspro	aspro		aspro
WHO_1	ti	ti		tis		ʧis
WHO_2			pço			
WHO_3					pie	
WIND_1	anemos	anemos		anemos		anomos
WIND_2			aeras		aera	
WOMAN_1	ɡyneː	ɡyneː	ʝineka	neka	ɣuneka	neka
WORM_1		ewleː				
WORM_2			skulici			skulik
WORM_3					kʰoaka	
YEAR_1	eniawtos					
YEAR_2		etos				
YEAR_3			xronos	xronos	xrone	xrono
YELLOW_1	ksantʰo					
YELLOW_2			citrino		ʨitr̝ine	
YELLOW_3				xworo		xloro
