Gloss	Arem	Chứt (Mày)	Chứt (Rục)	Chứt (Sách)	Hung (Liha)	Hung (Phong)	Hung (Toum)	Maleng	Mương (Hòa Bình)	Mương (Sơn La)	Nguồn	Thavưng	Thổ	Vietnamese
FAT (ORGANIC SUBSTANCE)_193									məː⁵¹	məː⁴⁵	mə⁵		məː⁵¹	məː²¹⁴
FAT (ORGANIC SUBSTANCE)_194						puːj								
FAT (ORGANIC SUBSTANCE)_195	tluŋ	klŭŋ¹	kluŋ	tluŋ²										
FAT (ORGANIC SUBSTANCE)_196												atuː¹		
FEATHER OR FUR OR HAIR_199									loːŋ¹	loːŋ¹	loːŋ²ʔ		lɔːŋ¹	lɔŋ͡m³³
FEATHER OR FUR OR HAIR_200	utʰŭk	ʔuɕŭk³	usuk	suk⁵²				ʔaso̰k³⁴						
FIRE OR FIREWOOD_207														lɨə²¹⁴
FIRE OR FIREWOOD_208	ku	kul̥³	kur	kuːlʰ¹	kuːc	kuːt	kuːc	kuih³	kuːj⁵	kuːj⁵	kun⁵	kuʤʰ²	kuːl⁵¹	
FISH_212	akɛa̯ʔ	ʔaka³	ka	akaː³	kaː	kaː	kaː	aka̰³⁴³	kaː³	kaː³	ka³	kaː¹	kaː³	kaː⁴⁵
FLESH OR MEAT_214	tʰit	ɕit⁴	sit	sit⁵³	siːt			sit⁴			tit⁵³		siːt⁵³	tʰɨt²¹²
FLESH OR MEAT_215									ɲuk⁵²	ɲuk⁵²				
FLESH OR MEAT_216												mɛːŋ²		
FLY (MOVE THROUGH AIR)_222	păl	pɤ̆l¹	pəl	pəl¹	pɔn	pil	pʌl	pɤ̆l⁴	paə¹	pal¹			pʌl¹	ɓai̯³³
FLY (MOVE THROUGH AIR)_223												hul¹		
FOOT_227									cən¹	cən¹				cəŋ³³
FOOT_228											cɔ²			
FOOT_229													kaŋ⁵	
FOOT_230	ʨiŋ	ciŋ²	ciŋ	ciːŋ²				siŋ³				ciːŋ¹		
FULL_232														ɗəi̯²¹
FULL_233		ɓlăm¹	blăm	blam	blam	blam	blam				lăm¹			
FULL_234													pleː³	
FULL_235	paɲ							pĭc³⁴						
GIVE_240	ʨɒː	cɤ¹	cʌə	cɤ	caə		caə	cɤ³			cɔ¹			cɔː³³
GOOD_246				tʰot							toːt⁵²			tok⁴⁵
GOOD_248		hăi¹	haj											
GOOD_249	ʔie̯m							di³				diː		
HAIR (HEAD)_203	utʰŭk	ʔuɕŭk³	usuk	suk⁵²	sok	suk	sok		tʰak⁵²	sak⁵²	tăk⁵²	sɔk¹		tɔk͡p⁴⁵
HAIR (HEAD)_204								kɤ̰j³⁴³						
HARD_262					kɔŋ		kʌŋ			kʌŋ³	kɨŋ³			kɨŋ⁴⁵
HARD_264	tʰănˀ	kaɕăn³	ksan			ksan								
HARD_265								kʰalɪh³						
HE OR SHE OR IT_17	unɛa̯ʔ										nɔ³			nɔː⁴⁵
HE OR SHE OR IT_20		ʔahăn³	han		han	han	han	hăn³⁴³					han³	
HE OR SHE OR IT_22												piːn¹		
HEAD LOUSE_342	ʨiʔ	ci³	ci	ciː³	cəi	ciː	cei	cḭ⁴³	ciː³	ciː³	si³		ciː³	cəi̯⁴⁵
HEAD LOUSE_343												kəː²		
HEAD_269														ɗəu̯²¹
HEAD_270	ulŏk	kulo̤k⁴	kŭluok	kulok⁵³	kloːk	kloːk	kloːk	kalṵk³⁴	kloːk⁵²	kloːk⁵²	ʈoːk⁵²		kloːk⁵³	
HEAD_271												ʔɔːk¹		
HEAR OR LISTEN_275					ŋɛː	ŋɛː	ŋɛː				ŋɛ¹			ŋɛː³³
HEAR OR LISTEN_276	ta³³ma̤ŋ³²tolistenʔ		cămaŋ	cəmaŋ³					maŋ¹	maŋ¹				
HEAR OR LISTEN_277		taŋet³						ŋet³⁴tohearʔ						
HEAR OR LISTEN_278												hapaŋ²		
HEART_283					sɛːm	seːm					tim¹		tiːm¹	tim³³
HEART_284	laŋo													
HEART_285		toŋ¹	toŋ	toːŋ¹				tɒ̆ŋ³²⁴						
HEART_286												ɲiːm¹		
HEAVY_290		năŋ³	naŋ	naŋ³	naŋ	naŋ	naŋ		naŋ⁴	naŋ⁴⁵	năŋ⁴		naŋ³	naŋ²¹²
HORN (ANATOMY)_294		ʂɯ̆ŋ²	krɨŋ	ʈəŋ²	kʰlɔŋ	kʰrɨŋ	kʰlʌŋ		kʰɨŋ²	kʰəŋ²	ʃɨŋ²djaj¹		kʰrɨŋ²	sɨŋ²¹
HORN (ANATOMY)_296	takaːi̯											tkɔːj¹		
HOUSE_298		ɲa¹	ɲa	ɲaː²	ɲaː	ɲaː	ɲaː		ɲaː²	ɲaː²	ɲa²		ɲɐː²	ɲaː²¹
HOUSE_299	riu̯													
HOUSE_300												ʔuh²		
HOUSE_301								kanɒ̰³⁴³						
INSIDE_305		klɔŋ¹	klɔŋ	lɔːŋ¹	klɔːŋ	klɔːŋ	klɔːŋ	kalɒ̆ŋ³	klɔːŋ¹	klɔːŋ¹	ʈɔːŋ¹	kʰəlɔŋ¹	klɒːŋ¹	ʈɔŋ͡m³³
I_2		ʔaho¹	ho	ho	saw		saw				tɔ¹			taːu̯³³
I_4	kɯʔ													
I_5												kan³		
I_6								ʔeŋ						
KILL_307	kaʨit	cit³	kacit	kəciːt⁵²	ʄjɛth	pceːt					jɨet⁵²		jjɛt⁵²	jiːk⁴⁵
KILL_308												pɔh¹		
KNEE_312	lukulˀ	kulo̤k⁴takul³	kŭluoktŭkul	təkuːl³	kunkuːn		kulkuːl	kalŭk³⁴kul³⁴			ʈok⁵²kon³	ʔɔːkʔakuːl		ɗəu̯²¹ɡoːi̯⁴⁵
KNOW (SOMETHING)_316														ɓiːk⁴⁵
KNOW (SOMETHING)_317	hiː	hi¹	hi	hi										
KNOW (SOMETHING)_318								ɬo³⁴³				huʔ		
LEAF_322	ulɛa̯ʔ	ʔula³	ŭla	laː³	laː	laː	laː	salwa̰³⁴³	laː³	laː³	la³	slaː⁴	laː³	laː⁴⁵
LIE (REST)_324							lam	năm³²⁴			năm²	nam¹		năm²¹
LIE (REST)_325				təŋah¹										
LIE (REST)_326		ɲap⁴	nʌp											
LIE (REST)_327	pi													
LIVER_331											kan¹			ɡaːŋ³³
LIVER_332	luom	lɔ̤m²	ləɔm	loɔm²	lɔːm	lɔːm	lɔːm	lɒm³²⁴	lɔːm²	lɔːm²		lɔːm¹	lɔːm²	
LONG_336		ʑa̤l²	ʔjal	ʤal					zaːj²	zaːj²	jaj²			jaːi̯²¹
LONG_337					jaon	joːn	jɔːn	zon³				joːn	jɔːn¹	
LONG_338	lɤːŋ													
MOON_356					plɔːŋ	plɔːŋ	plɔoŋ		klaŋ¹	plaŋ¹	măt⁵³ʈăŋ¹	paloːŋ¹	plɔŋ²	ʈăŋ³³
MOON_357				matʈaŋ										
MOON_358		pala̤n²	pŭləan											
MOON_359	n̩ra													
MOON_362								tʰala³²⁴						
MOUNTAIN_366														nui̯⁴⁵
MOUNTAIN_367									toːə²	toːl²				
MOUNTAIN_368											lɛn²ta³			
MOUNTAIN_369				bluʔ	pʰlow	pʰluː	pʰlow						pʰraw³	
MOUNTAIN_370								pʰŏn³⁴³						
MOUNTAIN_371		kon²												
MOUNTAIN_372			cɨt											
MOUNTAIN_373	ɗu													
MOUNTAIN_374												ʔaloːŋ⁴		
MOUTH_379								mɜ̆ɳ³⁴						miːŋ²¹²
MOUTH_380									moːm²	moːm²	mom²		mɔːm¹	
MOUTH_382	kɛa̯ŋˀ	kaŋ³	kaŋ	kaːŋ³										
MOUTH_383												snuːj⁴		
NAVEL_387					suːɲ	suːn		masuɳ⁴	tʰuːɲ³	suːɲ³		pʰaɲuːɲ³		ɹoŋ⁴⁵
NAVEL_388	uɗuh	ɕiɗul³	dŭduəh	duduːl³										
NECK_393					kaw	koː	kaw				ko⁵			koː²¹⁴
NECK_394									kɛːə¹	kɛːl¹				
NECK_395			tə̆ke	təkiː⁴										
NECK_396		nɔŋ⁴						katăŋ³						
NECK_397	ukin													
NECK_398												nəːt³		
NEW_402	mɛa̯h	ɓɤi̯³	bəj	bɤi̯	baːj	bəːj	baəj	tamə³²⁴	məːj³	məːj³	məj³		bəːj³	məːi̯⁴⁵
NIGHT_404					tɛːm	teːm	taem				tem¹		teːm¹	ɗeːm³³
NIGHT_405	lɯmˀ	lɯ̆m⁴	lɨm	lum										
NIGHT_406												ʔamah³		
NOSE_413	mu	mul³	mwʌh	muːlʰ¹	muːc	muːt	muːc	mṵʤʰ³	muːj⁵¹	muːj⁴⁵	mun⁵	muʤʰ¹	muːl⁵¹	mui̯²¹⁴
OLD (USED)_414					koː	koː	koː							ku²¹⁴
OLD (USED)_415			tɨjtɨj	kamɐk⁵³										
OLD (USED)_416		kɯɽa¹						tʰala³²⁴						
OLD (USED)_417	ulɔː													
OLD (USED)_418												tʰaw¹		
ONE_423	mui̯c	muc⁴	moi̯c	mʊːc⁵³	moːc	moːt	muːc	moc³⁴	moːt⁵³	moːc⁵³	mot⁵³	muːt¹	moːt⁵³	mok²¹²
PATH OR ROAD_426		ta̤ŋ²	tɨaŋ	tɯa̤ŋ							taŋ²ti¹ʔ			jɨə̯ŋ²¹
PATH OR ROAD_427	urɛa̯ʔ				kʰlaː	klaː	kʰlaː		tʰaː³	kʰaː³		kʰalaː²		
PERSON_432		ŋai̯²	ŋaj								ŋaj²			ŋɨːi̯²¹
PERSON_434				kɔːn¹	kun	kun	kɔn					kon		
PERSON_435	ʨʌmrău							kʰŏn³						
RAIN (PRECIPITATION)_441	mia	kuma̤²	kŭmʌa	kuməa²	maː	kʰmaː	maː		mɨa¹	mɨa¹	mɨa¹		mɐː²	mɨə³³
RAIN (PRECIPITATION)_442												maloːj²		
RAIN (PRECIPITATION)_443								sɯŋ⁴						
RED_446	ikaːlˀ	tɔ⁴	tɔ	tɔː⁵¹				tɔh³	tɔː⁵	tɔː⁵	tɔ⁵	tɔh¹		ɗɔː²¹⁴
RED_447					kaon		kɔːl							
ROOT_451	ri	lɛl̥³	ljɛ	ljɛlʰ¹				lɛl³⁴	rac²	tʰac²	rɛt⁵³	hɛh	lɛːl⁵¹	ɹeː²¹⁴
ROPE_453		ca̤k⁴	cak	cəak⁵³					caːk⁵³	caːk⁵³	cak⁵³		cɐːk⁵³	caːk²¹²
ROPE_454	ariɲ													
ROPE_455												ʔatal¹		
ROPE_456								ʔatŏŋ³²⁴						
ROUND_461	tlɔːn	klɔn²	klɔn	tlɔːn²					klɔːn²	klɔːn²	ʈɔn²		klɔːn²	ʈɔːŋ²¹
ROUND_463								kalŏm³²⁴						
RUN_466									caə⁴	cal⁴⁵	căn⁴			cai̯²¹²
RUN_467					taoŋ	toːŋ	tɔːŋ					ʔatoːŋ¹		
RUN_468		ʔaŋăi³	tə̆ŋəj	aŋaj³										
RUN_469	paʑɯŋ													
RUN_470								ʔalɔ̰ŋ³²⁴						
SALT_474	ɓɒːi̯	ɓɔi̯³	bɔj	bɔːj³	bɔːj	bɔːj	bɔːj	bɔ̰j³⁴³	vɔːj³	bɔːj³	vɔj³	bɔːj¹	bɒːj³	muːi̯⁴⁵
SAND_478	takaːi̯c		tə̆kac	təkaːc⁵²					kaːc⁵²	kaːc⁵²	kăc⁵²			kaːk⁴⁵
SAND_479					kʰlɛː	pʰlɛː	kʰlɛː							
SAND_480		kaɽa̤ŋ²						kʰalɤŋ³						
SAND_481												tʰɛh²		
SEE_495											tə̆j³			tʰəi̯⁴⁵
SEE_497	ʨɯŋ	cɯ̆ŋ¹	cɨŋ					cɤ̆ŋ³⁴						
SEE_499					daːm		daːm							
SEE_500				ʒua̤m										
SEE_501												nah⁴		
SHADE_505		pɔŋ³ˀsʰadeʔ							pɔːŋ³	pɔːŋ³	pɔŋmăc⁵²		pɒːŋ³	ɓɔŋ͡m⁴⁵
SHADE_506					ɣɔm	ʰlum	ʰlɔm							
SIT_509	ŋoi	ŋo̤i̯²	ŋuj	ŋo̤i			ŋuːj		ŋoːj²	ŋoːj²	ŋoj²		ŋoːj²	ŋoːi̯²¹
SIT_511												cuŋ²		
SIT_512								sadoh³						
SKIN_516									taː¹	taː¹	ta¹			jaː³³
SKIN_517	arwoi̯c	kuɽot⁴	kărɔt	kəroːt⁵²	kʰlaot	kʰloːt	kʰlaot	kʰalɔ̰t³⁴				kʰaloːt²		
SLEEP_522											ŋu⁵			ŋu²¹⁴
SLEEP_525					tɔŋ	tɨŋ	tʌŋ							
SLEEP_526								năm³²⁴				nam⁴		
SLEEP_527		ɲap⁴	nʌp	nəa̤p										
SLEEP_528	pi													
SMALL_533											ɲɔ⁵			ɲɔː²¹⁴
SMALL_534					diːt		diːt	dɪt³⁴						
SMALL_535				dʔuoʔ										
SMALL_536		ɗɛ⁰ɗɛ³	dɛdɛ											
SMALL_537	kʌtkʌ̆t													
SMALL_538												ʔiːt		
SMOKE (EXHAUST)_542	ahɒːi̯	kuhɔi̯³	kaɔj	kəhɔːj³	kʰɔːj	kʰɔːj	kʰɔːj	kahəj³⁴³	kʰɔːj³	kʰɔːj³	xɔj³	kahɔːj¹	kʰɒːj³	xɔːi̯⁴⁵
SPEAK_485											nɔj³			nɔːi̯⁴⁵
SPEAK_486		col³	col	coːl³										
SPEAK_488					ɲaw	kʰɲaw	ɲaw							
SPEAK_489	ɗɯɤ̯l													
SPEAK_490												vaw⁴		
STAND UP_546	tɯ̆ŋˀ	tɯ̆ŋ³	tɨŋ	tɨŋ⁵¹	tɔŋ	tɨŋ	tʌŋ	tɯ̰̆ŋ³⁴³			tɨŋ³jə̆n⁴	tɨŋ¹		ɗɨŋ⁴⁵
STAR_550									kʰaːw¹	kʰaːw¹	ʃaw¹		kʰraːw¹	saːu̯³³
STAR_551					baɛ	kbeː	bae							
STAR_552		kumĭŋ¹	kŭmiɲ	kumiŋ										
STAR_553	tlɔː							kalɔ³²⁴						
STAR_554												ʔakɔːl³		
STONE_557	atɛa̯ʔ	ta⁰ta³	lata	taː³	taː	taː	taː				ta³		taː³	ɗaː⁴⁵
STONE_558									kʰuː⁴	fuː⁴				
STONE_559												kih³		
STONE_560								kɔnkɤl³						
SUCKLE (BREASTFEED, NURSE)_567	puʔ	ʔaɓuc³	pu	pupuː⁴										ɓu⁴⁵
SUCKLE (BREASTFEED, NURSE)_568								ʔṵ̃³⁴³	ʔuː³	ʔuː³	ʔu³	ʔuː³	ʔuː³	
SUCKLE (BREASTFEED, NURSE)_569					now	nuː	now							
SWEET_563	ŋɒc	taŋɔc³	tə̆ŋɔc	təŋɔːc⁵²	ŋɔːc	ŋɔːt	ŋɔːc	ŋɔc³⁴	ŋɔːc⁵³	ŋɔːc⁵³	ŋɔːt⁵³		ŋɔːt⁵³	ŋɔːk²¹²
SWIM_572				pɤi̯	pəːj		pəːj							ɓəːi̯³³
SWIM_573											tăm³			
SWIM_574		ʔaʑa¹	aja											
SWIM_575	ŋuolˀ													
SWIM_577								lɔj³⁴						
TAIL_581	tuoi̯	tɔ̤i̯²	tuoj	twej²	tɔːj	tɔːj	toːj		twoj¹	twoj¹	tuj¹	toːj¹	tɔːj²	ɗuəi̯³³
THICK_584		katɤ̆i̯²	kutɨej		taj	ktaj	taj		taj²	taj²	tăj²			jai̯²¹
THICK_585	uɓău							kapu³				kbuː		
THIS_593		ʔini¹	ni	ni	nəi	niː	nei	tani³			năj¹		naː³	nai̯²¹
THIS_594	kɯ̆i̯													
THIS_595												ʔaliː¹		
THOU_12	mɯi̯	ʔami¹	mi	mi	məi	miː	mei						miː²	mai̯²¹
THOU_14											jə̆w¹			
THOU_15												tʰəw¹		
THOU_16								căk						
TIE_598									klɔːj³	klɔːj³	ʈɔj³			ʈɔːi̯⁴⁵
TIE_599	n̩ʥʌ̆t													
TIE_600					pɨak	pjak	pjak					poːk¹		
TIE_601		ʄăk³	ʔjăk											
TIE_603								mat³⁴						
TONGUE_608	lieh	la̤ɽ⁴	ləarl	ləalʰ²	laːc	laːt	laːc	lal³	laːj⁵¹	laːj⁴⁵		laʤʰ¹	lɐːl⁵¹	lɨːi̯²¹⁴
TOOTH_611	atʰăŋ	kaɕăŋ¹	kasăŋ	kəsaŋ¹				kasăŋ³		saŋ¹	tăŋ¹	ksaŋ¹		ɹăŋ³³
TREE_615		kɤ̤i̯²	kəʌj	kəj¹	kɔn	kaw	kʌl	kil³	kaə¹	kəl¹	kən¹		kʌl²	kəi̯³³
TREE_616	ʨirʌŋ													
TREE_617												tʰaŋ²		
TWO_621	hɛa̯l	hal¹	hal	haːl¹	haːn	haːl	haːl	hal³⁴	haːə¹	haːl¹	han¹	haːl¹	haːl¹	haːi̯³³
UPPER LEG (THIGH)_587														ɗui̯²¹
UPPER LEG (THIGH)_588	ulău	palu¹	pŭlu	pəluː¹					bluː¹			maluː²		
UPPER LEG (THIGH)_589											ʈaj³pen³			
UPPER LEG (THIGH)_590					papaː	kpaː	kpaː						paː⁵	
UPPER LEG (THIGH)_591								tapɛl³²⁴						
WALK_625	tiː	ti²	ti	tiː²	təi	tiː	tei		tiː¹	tiː¹	ti¹	tiː¹	tiː²	ɗi³³
WALK_627								ʔɤc³⁴						
WARM_631				kəʔam				taʔɯ̆m³⁴³	ʔəm³	ʔəm³	ə̆m¹ə̆m³		ʔʌm³	ʔəm⁴⁵
WARM_632			tɨl			tʰəːl	tʰəːl							
WARM_634	tiɲ	tĭŋ¹										ptiŋ¹		
WATER_638	ɗɛa̯k	ɗak³	dak	daːk⁵²	daːk	daːk	daːk	dak⁴	raːk⁵²	daːk⁵²	djak⁵²	daːk¹	daːk⁵²	nɨːk⁴⁵
WHAT_643				kɛ										ji²¹
WHAT_644					ciː		ciː				si¹			
WHAT_646	amɯ̆h	camɤ³	cămə					mʌ						
WHAT_647												ʔahəː³		
WHITE_649											ʈăŋ³			ʈăŋ⁴⁵
WHITE_650					plɔːk	plɔːk	plɔk		lɔːk⁵³	lɔːk⁵³		lɔːk³		
WHITE_651													pɐːk⁵³	
WHITE_652		takal¹	tə̆kal	cakal				lɒk³⁴						
WHITE_653	tlaːk													
WHO_656		ʔaʔai̯¹	ʔaj	ʔaj	ʔaɛ	ʔeː	ʔae		ʔaːj¹	ʔaːj¹	aj¹		ʔeː¹	ʔaːi̯³³
WHO_657	iɗɯm													
WHO_658												noː¹		
WHO_659								ʔavɛ³						
WIDE_662	roŋˀ		ʒuoŋ		ɣoːŋ		ʰloːŋ		ʐoːŋ⁴	tʰoːŋ⁴⁵			roːŋ⁴	ɹɔŋ͡m²¹²
WIND_666	kaʑɒʔ	kuʑɔ³	kăjɔ	kəjɔː³	jɔː	kăjɔː	jɔː	ka³zɔ³⁴³	sɔː³	sɔː³	sɔ³	kjuː¹	sɒː³	jɔː⁴⁵
