Gloss	Arem	Chứt (Mày)	Chứt (Rục)	Chứt (Sách)	Hung (Liha)	Hung (Phong)	Hung (Toum)	Maleng	Mương (Hòa Bình)	Mương (Sơn La)	Mương (Thanh Hóa)	Nguồn (Cổ Liêm)	Nguồn (Yên Thọ)	Thavưng	Thổ (Cuối Chăm)	Thổ (Làng Lỡ)	Vietnamese
EYE_1	mʌat	mat⁴	mə̯ʌt	məat⁵³	mat	mat	mat	mat³⁴	mat²	mat²	mat²	mat⁵²	mat⁵²	mat¹	mat⁵³	mat⁵³	mak⁴⁵
FALL_1	ru			ruh²													
FALL_2		ɽa̤h²															
FALL_3			tlɔ					ɬuj³⁴³						tʰaloːj⁴			
FALL_4					ɣaəc		ʰlaəc										
FALL_5												po⁵	bo⁵				
FALL_6																	ɹəːi̯³³
FAR_1	ŋaːi̯																
FAR_2		ɕiŋai̯³	cəŋaj	təŋaːj³	ŋaːj	ŋaːj	ŋaːj	saŋa̤j³⁴³						sŋaːj²	ŋaːj³	ŋaːj³	
FAR_3												sa¹					saː³³
FAT (ORGANIC SUBSTANCE)_1	tluŋ	kluŋ¹	kluŋ	tluŋ²													
FAT (ORGANIC SUBSTANCE)_2						puːj											
FAT (ORGANIC SUBSTANCE)_3									məː⁵¹	məː⁴⁵	mːəː⁴⁵	mə⁵			məː⁵¹	məː⁵⁵	məː²¹⁴
FAT (ORGANIC SUBSTANCE)_4														atuː¹			
FEATHER OR FUR OR HAIR_1	utʰuk	ʔuɕuk³	usuk	suk⁵²				ʔaso̰k³⁴									
FEATHER OR FUR OR HAIR_2									loːŋ¹	loːŋ¹	loːŋ¹	loːŋ²ʔ	loːŋ¹		lɔːŋ¹	loːŋ¹	lɔŋ͡m³³
FIRE OR FIREWOOD_1	ku	kul̥³		kuːlʰ¹	kuːc	kuːt	kuːc		kuːj⁵	kuːj⁵	kuːj⁵	kun⁵		kuʤʰ²	kuːl⁵¹	ɣuːn⁵⁵	
FIRE OR FIREWOOD_2			kur														
FIRE OR FIREWOOD_3								kuih³									
FIRE OR FIREWOOD_4																	lɨə²¹⁴
FISH_1	akɛa̯ʔ																
FISH_2		ʔaka³	ka	akaː³	kaː	kaː	kaː	aka̰³⁴³	kaː³	kaː³	kaː³	ka³	ka³	kaː¹	kaː³	kaː³	kaː⁴⁵
FLESH OR MEAT_1	tʰit	ɕit⁴	sit	sit⁵³	siːt			sit⁴				tit⁵³			siːt⁵³	siːt⁵³	tʰɨt²¹²
FLESH OR MEAT_2									ɲuk⁵²	ɲuk⁵²							
FLESH OR MEAT_3														mɛːŋ²			
FLY (MOVE THROUGH AIR)_1	pal	pɤl¹	pəl	pəl¹	pɔn	pil	pʌl	pɤl⁴		pal¹					pʌl¹		
FLY (MOVE THROUGH AIR)_2									paə¹		ban¹					pʌn¹	ɓai̯³³
FLY (MOVE THROUGH AIR)_3														hul¹			
FOOT_1	ʨiŋ	ciŋ²	ciŋ	ciːŋ²				siŋ³	cən¹	cən¹	cən¹			ciːŋ¹			cəŋ³³
FOOT_2												cɔ²					
FOOT_3													cɔt				
FOOT_4															kaŋ⁵		
FULL_1	paɲ																
FULL_2		ɓlam¹	blam	blam	blam	blam	blam					lam¹			pleː³		
FULL_3								pic³⁴									
FULL_4																ʈeː³	ɗəi̯²¹
GIVE_1	ʨɒː											cɔ¹	tɔ¹				cɔː³³
GIVE_2		cɤ¹	cʌə	cɤ	caə		caə	cɤ³									
GOOD_1	ʔie̯m																
GOOD_2		hai¹	haj														
GOOD_3				tʰot								toːt⁵²	tot⁵²				tok⁴⁵
GOOD_4								di³						diː			
HAIR (HEAD)_1	utʰuk	ʔuɕuk³	usuk	suk⁵²	sok	suk	sok		tʰak⁵²	sak⁵²	sak⁵²	tak⁵²	tak⁵²	sɔk¹			tɔk͡p⁴⁵
HAIR (HEAD)_2								kɤ̰j³⁴³									
HARD_1	tʰanˀ	kaɕan³	ksan			ksan											
HARD_2					kɔŋ		kʌŋ			kʌŋ³		kɨŋ³				kɨŋ³	kɨŋ⁴⁵
HARD_3								kʰalɪh³									
HE OR SHE OR IT_1	unɛa̯ʔ																
HE OR SHE OR IT_2		ʔahan³	han		han	han	han	han³⁴³							han³		
HE OR SHE OR IT_3												nɔ³					nɔː⁴⁵
HE OR SHE OR IT_4														piːn¹			
HEAD_1	ulok	kulo̤k⁴	kuluok	kulok⁵³	kloːk	kloːk	kloːk	kalṵk³⁴	kloːk⁵²	kloːk⁵²	ʈoːk⁵²	ʈoːk⁵²	loːk⁵²	ʔɔːk¹	kloːk⁵³	ʐwok⁵³	
HEAD_2																	ɗəu̯²¹
HEAD LOUSE_1	ʨiʔ	ci³	ci	ciː³	cəi	ciː	cei		ciː³	ciː³	ciː³	si³	ci³		ciː³	ciː³	cəi̯⁴⁵
HEAD LOUSE_2								cḭ⁴³									
HEAD LOUSE_3														kəː²			
HEAR OR LISTEN_1	ta³³ma̤ŋ³²tolistenʔ																
HEAR OR LISTEN_2		taŋet³															
HEAR OR LISTEN_3			camaŋ	cəmaŋ³					maŋ¹	maŋ¹	maŋ¹						
HEAR OR LISTEN_4					ŋɛː	ŋɛː	ŋɛː					ŋɛ¹					ŋɛː³³
HEAR OR LISTEN_5								ŋet³⁴tohearʔ									
HEAR OR LISTEN_6														hapaŋ²			
HEART_1	laŋo																
HEART_2		toŋ¹	toŋ	toːŋ¹				tɒŋ³²⁴									
HEART_3					sɛːm	seːm						tim¹	ʔim¹	ɲiːm¹	tiːm¹		tim³³
HEAVY_1		naŋ³	naŋ	naŋ³	naŋ	naŋ	naŋ		naŋ⁴	naŋ⁴⁵	naŋ⁴⁵	naŋ⁴			naŋ³	naŋ⁴	naŋ²¹²
HORN (ANATOMY)_1	takaːi̯																
HORN (ANATOMY)_2		ʂɯŋ²										ʃɨŋ²djaj¹				ʂɨŋ²	sɨŋ²¹
HORN (ANATOMY)_3			krɨŋ		kʰlɔŋ	kʰrɨŋ	kʰlʌŋ		kʰɨŋ²	kʰəŋ²	kʰɨŋ²				kʰrɨŋ²		
HORN (ANATOMY)_4				ʈəŋ²													
HORN (ANATOMY)_5														tkɔːj¹			
HOUSE_1	riu̯																
HOUSE_2		ɲa¹	ɲa	ɲaː²	ɲaː	ɲaː	ɲaː		ɲaː²	ɲaː²	ɲaː²	ɲa²			ɲɐː²	ɲaː²	ɲaː²¹
HOUSE_3								kanɒ̰³⁴³									
HOUSE_4														ʔuh²			
I_1	kɯʔ																
I_2		ʔaho¹															
I_3			ho	ho				ʔeŋ									
I_4					saw		saw										
I_5												tɔ¹					
I_6													ʔuj¹				
I_7														kan³			
I_8																	taːu̯³³
INSIDE_1		klɔŋ¹	klɔŋ	lɔːŋ¹	klɔːŋ	klɔːŋ	klɔːŋ	kalɒŋ³	klɔːŋ¹	klɔːŋ¹	ʈɔːŋ¹	ʈɔːŋ¹	ʔlɔːŋ¹	kʰəlɔŋ¹	klɒːŋ¹		ʈɔŋ͡m³³
INSIDE_2																ʈawŋ¹	
KILL_1	kaʨit	cit³	kacit	kəciːt⁵²		pceːt											
KILL_2					ʄjɛth												
KILL_3												jɨet⁵²	zjet⁵²				
KILL_4														pɔh¹			
KILL_5															jjɛt⁵²	jjɛt⁵²	
KILL_6																	jiːk⁴⁵
KNEE_1	lukulˀ			təkuːl³													
KNEE_2		kulo̤k⁴takul³						kaluk³⁴kul³⁴				ʈok⁵²kon³	lok⁵²kun³				
KNEE_3			kuluoktukul											ʔɔːkʔakuːl			
KNEE_4					kunkuːn		kulkuːl										
KNEE_5											koːn³						
KNEE_6																	ɗəu̯²¹ɡoːi̯⁴⁵
KNOW (SOMETHING)_1	hiː	hi¹	hi	hi													
KNOW (SOMETHING)_2								ɬo³⁴³									
KNOW (SOMETHING)_3														huʔ			
KNOW (SOMETHING)_4																	ɓiːk⁴⁵
LEAF_1	ulɛa̯ʔ	ʔula³	ula														
LEAF_2				laː³	laː	laː	laː		laː³	laː³	laː³	la³	la³		laː³	laː³	laː⁴⁵
LEAF_3								salwa̰³⁴³						slaː⁴			
LIE (REST)_1	pi																
LIE (REST)_2		ɲap⁴															
LIE (REST)_3			nʌp														
LIE (REST)_4				təŋah¹													
LIE (REST)_5							lam										
LIE (REST)_6								nam³²⁴				nam²		nam¹			nam²¹
LIVER_1	luom	lɔ̤m²	ləɔm	loɔm²	lɔːm	lɔːm	lɔːm	lɒm³²⁴	lɔːm²	lɔːm²	lɔːm²			lɔːm¹	lɔːm²		
LIVER_2												kan¹				ɣaːn¹	ɡaːŋ³³
LONG_1	lɤːŋ																
LONG_2		ʑa̤l²							zaːj²	zaːj²	zaːj²		zaj²				
LONG_3			ʔjal														
LONG_4				ʤal													
LONG_5					jaon	joːn	jɔːn							joːn	jɔːn¹	jwan¹	
LONG_6								zon³									
LONG_7												jaj²					jaːi̯²¹
MOON_1	nra																
MOON_2		pala̤n²	puləan		plɔːŋ	plɔːŋ	plɔoŋ		klaŋ¹	plaŋ¹				paloːŋ¹	plɔŋ²		
MOON_3				matʈaŋ													
MOON_4								tʰala³²⁴									
MOON_5											ʈaŋ¹						ʈaŋ³³
MOON_6												mat⁵³ʈaŋ¹	mat⁵³laŋ¹				
MOUNTAIN_1	ɗu								toːə²	toːl²	doːn²						
MOUNTAIN_2		kon²															
MOUNTAIN_3			cɨt														
MOUNTAIN_4				bluʔ	pʰlow	pʰluː	pʰlow	pʰon³⁴³									
MOUNTAIN_5												lɛn²ta³					
MOUNTAIN_6													ru³				
MOUNTAIN_7														ʔaloːŋ⁴			
MOUNTAIN_8															pʰraw³		
MOUNTAIN_9																nuːj³	nui̯⁴⁵
MOUTH_1	kɛa̯ŋˀ	kaŋ³	kaŋ	kaːŋ³													
MOUTH_2								mɜɳ³⁴									miːŋ²¹²
MOUTH_3									moːm²	moːm²	moːm²	mom²			mɔːm¹		
MOUTH_4														snuːj⁴			
NAVEL_1	uɗuh		duduəh	duduːl³													
NAVEL_2		ɕiɗul³															
NAVEL_3					suːɲ	suːn		masuɳ⁴	tʰuːɲ³	suːɲ³	suːɲ³						
NAVEL_4													ɲə⁴lo⁵¹tun³				
NAVEL_5														pʰaɲuːɲ³			
NAVEL_6																	ɹoŋ⁴⁵
NECK_1	ukin																
NECK_2		nɔŋ⁴															
NECK_3			təke	təkiː⁴													
NECK_4					kaw		kaw										
NECK_5						koː						ko⁵					koː²¹⁴
NECK_6								kataŋ³									
NECK_7									kɛːə¹	kɛːl¹	kɛːn¹						
NECK_8													hɔːŋ⁴				
NECK_9														nəːt³			
NEW_1	mɛa̯h																
NEW_2		ɓɤi̯³	bəj	bɤi̯	baːj	bəːj	baəj								bəːj³	bəːj³	
NEW_3								tamə³²⁴									
NEW_4									məːj³	məːj³		məj³					məːi̯⁴⁵
NIGHT_1	lɯmˀ	lɯm⁴	lɨm	lum													
NIGHT_2					tɛːm	teːm	taem					tem¹	ʔem¹		teːm¹	teːm¹	ɗeːm³³
NIGHT_3														ʔamah³			
NOSE_1	mu	mul³		muːlʰ¹	muːc	muːt	muːc	mṵʤʰ³	muːj⁵¹	muːj⁴⁵	muːj⁴⁵	mun⁵	mun²	muʤʰ¹	muːl⁵¹	muːn⁵⁵	mui̯²¹⁴
NOSE_2			mwʌh														
OLD (USED)_1	ulɔː																
OLD (USED)_2		kɯɽa¹															
OLD (USED)_3			tɨjtɨj														
OLD (USED)_4				kamɐk⁵³													
OLD (USED)_5					koː	koː	koː										ku²¹⁴
OLD (USED)_6								tʰala³²⁴									
OLD (USED)_7														tʰaw¹			
ONE_1	mui̯c	muc⁴	moi̯c	mʊːc⁵³	moːc	moːt	muːc	moc³⁴	moːt⁵³	moːc⁵³	moːt⁵³	mot⁵³	mot⁵³	muːt¹	moːt⁵³	moːt⁵³	mok²¹²
PATH OR ROAD_1	urɛa̯ʔ																
PATH OR ROAD_2		ta̤ŋ²	tɨaŋ	tɯa̤ŋ													
PATH OR ROAD_3					kʰlaː	klaː	kʰlaː			kʰaː³	kʰaː³			kʰalaː²			
PATH OR ROAD_4									tʰaː³								
PATH OR ROAD_5												taŋ²ti¹ʔ	ʔaŋ²di¹				
PATH OR ROAD_6																	jɨə̯ŋ²¹
PERSON_1	ʨʌmrau																
PERSON_2		ŋai̯²	ŋaj									ŋaj²	ŋaj²				ŋɨːi̯²¹
PERSON_3				kɔːn¹	kun	kun	kɔn	kʰon³						kon			
RAIN (PRECIPITATION)_1	mia				maː		maː		mɨa¹	mɨa¹	mɨa¹	mɨa¹			mɐː²	mɨa¹	mɨə³³
RAIN (PRECIPITATION)_2		kuma̤²	kumʌa	kuməa²		kʰmaː											
RAIN (PRECIPITATION)_3								sɯŋ⁴									
RAIN (PRECIPITATION)_4														maloːj²			
RED_1	ikaːlˀ				kaon		kɔːl										
RED_2		tɔ⁴	tɔ	tɔː⁵¹					tɔː⁵	tɔː⁵	dɔː⁵	tɔ⁵	ʔɔ⁵	tɔh¹		dɔː⁵⁵	ɗɔː²¹⁴
RED_3								tɔh³									
ROOT_1	ri											rɛt⁵³					ɹeː²¹⁴
ROOT_2		lɛl̥³	ljɛ	ljɛlʰ¹				lɛl³⁴							lɛːl⁵¹		
ROOT_3									rac²	tʰac²							
ROOT_4											aɛc²						
ROOT_5														hɛh		ʐeː²	
ROPE_1	ariɲ																
ROPE_2		ca̤k⁴	cak	cəak⁵³					caːk⁵³	caːk⁵³		cak⁵³	tak⁵³mun⁵		cɐːk⁵³	caːk⁵³	caːk²¹²
ROPE_3								ʔatoŋ³²⁴						ʔatal¹			
ROUND_1	tlɔːn	klɔn²	klɔn	tlɔːn²					klɔːn²	klɔːn²	ʈɔːn²	ʈɔn²	ʔlɔn²		klɔːn²	ʐoan²	ʈɔːŋ²¹
ROUND_2								kalom³²⁴									
RUN_1	paʑɯŋ																
RUN_2		ʔaŋai³	təŋəj	aŋaj³													
RUN_3					taoŋ	toːŋ	tɔːŋ							ʔatoːŋ¹			
RUN_4								ʔalɔ̰ŋ³²⁴									
RUN_5									caə⁴	cal⁴⁵	can⁴⁵	can⁴	tan⁴				cai̯²¹²
SALT_1	ɓɒːi̯	ɓɔi̯³	bɔj	bɔːj³	bɔːj	bɔːj	bɔːj	bɔ̰j³⁴³		bɔːj³	vɔːj³	vɔj³		bɔːj¹	bɒːj³	bɔːj³	
SALT_2									vɔːj³								
SALT_3													vɔj³				
SALT_4																	muːi̯⁴⁵
SAND_1	takaːi̯c		təkac	təkaːc⁵²					kaːc⁵²	kaːc⁵²						ɣaːt⁵²	kaːk⁴⁵
SAND_2		kaɽa̤ŋ²						kʰalɤŋ³									
SAND_3					kʰlɛː	pʰlɛː	kʰlɛː										
SAND_4												kac⁵²					
SAND_5														tʰɛh²			
SEE_1	ʨɯŋ	cɯŋ¹	cɨŋ					cɤŋ³⁴									
SEE_2				ʒua̤m	daːm		daːm										
SEE_3												təj³					tʰəi̯⁴⁵
SEE_4														nah⁴			
SHADE_1		pɔŋ³ˀsʰadeʔ							pɔːŋ³	pɔːŋ³	bɔːŋ³		bɔŋ³mac⁵²		pɒːŋ³	pɔːŋ³	ɓɔŋ͡m⁴⁵
SHADE_2					ɣɔm	ʰlum	ʰlɔm										
SHADE_3												pɔŋmac⁵²					
SIT_1	ŋoi	ŋo̤i̯²	ŋuj	ŋo̤i			ŋuːj		ŋoːj²	ŋoːj²	ŋoːj²	ŋoj²			ŋoːj²	ŋoːj²	ŋoːi̯²¹
SIT_2								sadoh³									
SIT_3													tɔ²hɔ⁵				
SIT_4														cuŋ²			
SKIN_1	arwoi̯c																
SKIN_2		kuɽot⁴	karɔt	kəroːt⁵²	kʰlaot	kʰloːt	kʰlaot	kʰalɔ̰t³⁴						kʰaloːt²			
SKIN_3									taː¹	taː¹	taː¹	ta¹	ʔa¹				
SKIN_4																	jaː³³
SLEEP_1	pi																
SLEEP_2		ɲap⁴											ŋaj³				
SLEEP_3			nʌp														
SLEEP_4				nəa̤p													
SLEEP_5					tɔŋ	tɨŋ	tʌŋ										
SLEEP_6								nam³²⁴						nam⁴			
SLEEP_7												ŋu⁵					ŋu²¹⁴
SMALL_1	kʌtkʌt																
SMALL_2		ɗɛ⁰ɗɛ³															
SMALL_3			dɛdɛ														
SMALL_4				dʔuoʔ													
SMALL_5					diːt		diːt	dɪt³⁴						ʔiːt			
SMALL_6												ɲɔ⁵					ɲɔː²¹⁴
SMOKE (EXHAUST)_1	ahɒːi̯																
SMOKE (EXHAUST)_2		kuhɔi̯³	kaɔj	kəhɔːj³	kʰɔːj	kʰɔːj	kʰɔːj	kahəj³⁴³	kʰɔːj³	kʰɔːj³	kʰɔːj³			kahɔːj¹	kʰɒːj³	kʰɔːj³	
SMOKE (EXHAUST)_3												xɔj³					xɔːi̯⁴⁵
SPEAK_1	ɗɯɤ̯l																
SPEAK_2		col³	col	coːl³													
SPEAK_3					ɲaw	kʰɲaw	ɲaw										
SPEAK_4												nɔj³	nəj⁴				nɔːi̯⁴⁵
SPEAK_5														vaw⁴			
STAND UP_1	tɯŋˀ	tɯŋ³	tɨŋ	tɨŋ⁵¹	tɔŋ	tɨŋ	tʌŋ	tɯ̰ŋ³⁴³						tɨŋ¹			ɗɨŋ⁴⁵
STAND UP_2												tɨŋ³jən⁴	ʔɨŋ³zən⁴				
STAR_1	tlɔː																
STAR_2		kumiŋ¹	kumiɲ	kumiŋ													
STAR_3					baɛ	kbeː	bae										
STAR_4								kalɔ³²⁴									
STAR_5									kʰaːw¹	kʰaːw¹	kʰaːw¹	ʃaw¹					
STAR_6														ʔakɔːl³			
STAR_7															kʰraːw¹		
STAR_8																ʂaːw¹	
STAR_9																	saːu̯³³
STONE_1	atɛa̯ʔ		lata														
STONE_2		ta⁰ta³		taː³	taː	taː	taː					ta³	ta³		taː³	ðaː³	ɗaː⁴⁵
STONE_3								kɔnkɤl³									
STONE_4									kʰuː⁴		kʰuː⁴						
STONE_5										fuː⁴							
STONE_6														kih³			
SUCKLE (BREASTFEED, NURSE)_1	puʔ		pu	pupuː⁴													ɓu⁴⁵
SUCKLE (BREASTFEED, NURSE)_2		ʔaɓuc³															
SUCKLE (BREASTFEED, NURSE)_3					now	nuː	now										
SUCKLE (BREASTFEED, NURSE)_4								ʔṵ̃³⁴³	ʔuː³	ʔuː³		ʔu³		ʔuː³	ʔuː³	ʔuː³	
SWEET_1	ŋɒc	taŋɔc³	təŋɔc	təŋɔːc⁵²	ŋɔːc	ŋɔːt	ŋɔːc	ŋɔc³⁴	ŋɔːc⁵³	ŋɔːc⁵³	ŋɔːc⁵³	ŋɔːt⁵³			ŋɔːt⁵³	ŋɔːt⁵³	ŋɔːk²¹²
SWIM_1	ŋuolˀ																
SWIM_2		ʔaʑa¹	aja														
