Gloss	Badga	Betta Kurumba	Brahui	Gondi	Kannada	Kodava	Kolami	Kota	Koya	Kurukh	Kuwi	Malayalam	Malto	Ollari Gadba	Parji	Tamil	Telugu	Toda	Tulu	Yeruva
black-A	kappə	kaɾtənu ipədə		kaɾə	kappu	kaɾtadə		kaɾuppə	kaːʈe			kaɾuppə				kaɾəppə		kappə	kappu	kaɾtaji
black-B									nalla								nalupu~nalla			
black-C											kadia									
black-D			maːon							mokʰaɾo										
black-E					kaɾu															
black-F													maɖhaɾo							
black-G							ɖaːɾiate													
blood-A	(ɾattə)				(ɾakta)							(ɾektam)				(ɾattam)	(ɾaktamu)			
blood-B	nettuɾu	nəttəɾə	ditaɾ	nettuɾ			nettuɾ	neːtuɾu	nettuɾ		nettiɾ			nettiɾ	netiɾ		nettuɾu		nettaɾə	
blood-C										kʰeːns										
blood-D						ʧoːɾə						ʧoːɾa								ʧoːɾe
blood-E																		poːkʰə		
blood-F													ɾasadu							
bone-A	ilə	jaləʋə			jelubu			jeluʋə				ellə				elumbə	jemuka	elf	ellə	
bone-B				bokka			bokka		buːlaː~buːlk						bũla		bokka			
bone-C													oːʧuldiː							
bone-D					muːɭe	muːɭe														muːɭe
bone-E												asti								
bone-F										kʰoʧol										
bone-G			aɖɖə																	
breast-A	maːɾə											maːru				maːɾbə~maːɾə				
breast-B					ede				eddam						edɾam					
breast-C																	ɡunde			
breast-E																		niʤikuɖi		
breast-F						mele		meːl				mula								mele
breast-G					stʰana							stanam					stʰanamu			
breast-H																			tiɡala	
breast-I		kujndiɡi																		
breast-J			xad																	
breast-K													daibuku							
breast-L										jeʋakʰ										
breast-M							saːtti													
breast-N				dudo																
breast-O														palɡil						
breast-P											sipadaki									
burn-A		bjaːɭ~ben																		
burn-B																	kaːlu			
burn-C					suɖu	ʧuːɖə														ʧuːɖə
burn-D																eɾi				
burn-E	kiʧiːkdə	kattu~kettu						kaːto				katikkuɡa						tiːkku kaːttiti		
burn-F									maɳɖu								maɳɖu			
burn-G																			pottaʋaɾa	
burn-H			xaːxaɾ tinninɡ																	
burn-I				niɾus																
burn-J													meːda							
burn-K										olna										
burn-L							ɡonɖka													
claw-A												(nakʰam)				(naɡam)				
claw-B	uɡilə		hoɾ ad	ɡoɾk	uɡaɾu	ʋoji	ɡoːɾ		ɡoːɾk	oɾokʰ	ɡaɾka		oɾuɡdu		ɡẽɾi		ɡoːɾu	juːɾ	uɡuɾu	
claw-C																				ummi
claw-D		kiːjəɡɡəɾə						kaijoːɾu												
claw-E			zeel																	
claw-F														kaʂʋanɖe						
cloud-A					(mẽɡha)			(meːɡam)				(mekʰam)				(meːɡam)	(meːɡʰamu)	(meːɡam)		
cloud-B															malɡuɾ					
cloud-C				mabbu					mabbu								mabbu			
cloud-D		moːɖə			moːɖa	moːɖa											moːɖamu		moːɖa	moːɖa
cloud-E	manʤu																			
cloud-F										(badaːli)			(badliː)							
cloud-G			ʤammaɾ																	
cloud-H							aːbaɾ													
cloud-I											haːɡu									
cloud-J											dunɖaɾa									
cold-A					taɳɳiɡe	talinʤadə						taɳuppə								taɳiʤe
cold-B																kuɭiɾʧi				
cold-C				sallaɡ					sallaː								ʧalla		ʧappa	
cold-D							pani						panijaː		paɲil					
cold-E						koːʈa												koɾti		
cold-F		səjlijə																		
cold-G	koɾuʋə							koɾʋə												
cold-H										kiːɾna			kiʋa							
cold-I			jakʰ~jax																	
come-A	pappa	baːɾ~ban~bu	banninɡ	ʋa	baɾu~baː	baː	ʋa		ʋa~ʋaːdaɖam	baɾna		ʋaɾuɡa	baɾəaː	ʋa	veɾ	ʋaː	ʋaʧʧu~ɾa	paːɾti	baɾaɾa	baː
die-A	saːʋadə		kahinɡ	haː	saːji	ʧːɭa				kʰena			keəaːnaːkeəidaːh		cay	ʧaː~sattə po	ʧaʧʧipoːʋu		sajjaɾa	ʧaːɭa
die-B		(maɾdoːɡ)										(maɾikkuɡa)								
die-C									ɖollatam											
die-D																		keɖuoisi		
die-E							tiɡteːn													
die-F								taːʋə												
dog-A	ne	naːjə		nej	naːji	naːji	aːte	naːji	nej			naːja		ne	netta	naːji		noi	naːji	naːji
dog-B																	kukka			
dog-C												paʈʈi								
dog-D										alla										
dog-E			kuʧak										kuʧʧo							
drink-A	kuɖapə	kuɖi~kujɾi			kuɖi~kudijoːdu	kuɖipa						kuʈi~kudikkuɡa				kuɖi				kuɖipə
drink-B																	taːɡu			
drink-C			kuninɡ	un				unatukə	unnu	onna			hoːnaː	un	un			uʈʈudi		
drink-D																			paɾijaɾa	
drink-F							aniɾusaːt													
dry-A																ulaɾnta				
dry-B																				unaku
dry-C																	eɳɖu			
dry-D								kanʈiko		kʰajka			aːikaː			kaindadə~kaːnʤə				
dry-E			baːɾun	ʋaʈʈa	battida				aɾtaːd			vaɾaɳʈa								
dry-F	oɳikiladə				oɳaɡidu	oɳanɡina						uɳanɡija						oɳikisi	nunɡuduna	
dry-G									poɖi								poɖi			
dry-H		ajnɡənu ipədə																		
dry-I							aːtiɾ													
ear-A	kiʋi	kiʋija	xaf	keʋu	kiʋi	kemi	keʋ	keʋə	keʋ~keʋk	kʰebda	kiɾiju	ʧeʋi		kekal	kekol		ʧeʋi	kili	kebi	kemi
ear-B												kaːtu				kaːdə				
ear-C													daɾtiː							
earth-A				mannə	maɳɳu	mannə						mannə				mannə	mannu		mannə	
earth-B														tukud	tũk					
earth-C										kʰekʰel										
earth-D																		koɖə		
earth-E									maʈʈi								maʈʈi			
earth-F		(buːmi)					(bʰuːmi)	bʰuloːɡam			(bʰumi)		(bʰumi)							
earth-G											iɾaː									
earth-H			ɖaɡaːɾ																	
eat-A	timbə	tinn			tinnu	tinə		tin atej	tinnu		tinu	tinnuɡa		tin	tin		tinu			tinnoː
eat-B																saːpədə				
eat-C																			uɳaːɾa	
eat-D										mokʰna										
eat-E																		toɾtin		
eat-F			kuninɡ																	
eat-G													ʤaːɡoːlpah~lapah							
eat-J							aːntisatun													
eat-K				ʤeʋi																
egg-A	moʈʈe				moʈʈe	muʈʈe		mooʈə				muʈʈa				muʈʈe		muʈʈe		muʈʈe
egg-B																	ɡuɖɖu			
egg-C					tatti														ketti	
egg-D									ɡaɾbam					kaɾbə						
egg-E		mujɾɡi																		
egg-F			xuahae																	
egg-G			baede																	
egg-H													ɾaɾapaːndu							
egg-I										biː										
egg-J							sanku													
egg-K				miːnʤ																
egg-L											tala									
eye-A	kaɳɳə	kaɳɳu	xan		kaɳɳə	kaɳɳə	kan	kaɳɳə	koɳɖ	kʰann	kanu	kaɳɳə	aːndu	kaɳul	kan	kaɳɳə	kannu	kaɳ	kaɳɳu	kaɳɳə
eye-B												(neːtɾam)								
eye-C				kəɖə																
fat-A	koɭəppə			koɾonʤ	kobbu			koɭupu	kodoʋoːs			koɻuppə			koɽukuɖ	koɻuppə	koʋʋu	koɻəppə		
fat-B									laːʋ								laːʋu			
fat-C										neʈa										
fat-D			ʧaɾpiː			ʧeɾabi													ʧeɾabi	ʧiɾabi
fat-E		tanniʋi																		
fat-F		teɾija																		
fat-G													neʤʤa							
fat-H														meːn						
feather-A	ɾakke							ɾeːkə								ɾekke		iɾakke		
feather-B												tuːʋalə								
feather-C					ɡaɾi															
feather-D																	iːka			
feather-E					tupaʈa	topaʈa														toːpəʈaː
feather-F									ɡeɾk											
feather-G																			huʋi	
feather-H		tiʋija																		
feather-I				buɾa			bull													
feather-J			paɾɾe																	
feather-K													pakiː							
feather-L										penʧo										
fire-A																neɾuppu	nippu			
fire-B		tissə~tiʧʧa						nippu				teː				teː				tiː
fire-C					benki															
fire-D																	maɳʈa			
fire-E	kiʧʧə					titta	kiss		kis	ʧiʧʧ			ʧiʧadu		kic			tiːttə		
fire-F												(aɡni)					(aɡɡi)			
fire-G																			tuʋu	
fire-H									neɡɡaɖ											
fire-I			xaːxaɾ																	
fire-J				taɖmi																
fire-K											dankeɾe									
fish-A	miːnə	miːnu		miːn	miːnə	miːnə		miːnə				miːn	miːndu	miːn		miːnə		miːn	miːnə	miːnə
fish-B									kiːke						key		ʧeːpa			
fish-C					(maʦya)							(malsjam)								
fish-D			(maʧʧiː)																	
fish-E							ɡuɖɖi													
fish-F										inʤo										
fly-A	paɾappə	paːɾ~peːɾ		paɾi	haːɾu	paːɾa		paːɾʋu				paɾakkuɡa				paɾə		poːɾʧ	ɾaːpaɾa	
fly-B																	eɡuɾu			
fly-C									tulla											
fly-D																				mannə
fly-E										uɖijaɾna			uɖaːɾi							
fly-F							tulsaːd													
fly-G			baːl kanninɡ																	
foot-A					aɖi				aɖuɡu			aʈi				aɖi	aɖuɡu			
foot-B					paːda						paːdami	paːdam		paːdam		paːdam	(paːdamu)			
foot-C		kaːlə		kaːl												kaalə		koːl	kaːlə	kaːlə
foot-D										kʰeɖ										
foot-E	anɡaːlə					anɡaːl														
foot-F			nat																	
foot-G													ɾaɖadu							
foot-H							ʤeʈʈa													
foot-I								tapaɖ												
full-A																		soːkkaije		
full-B	tʰumbe				tumbidu	dumba														dumba
full-C				niɳɖ			ninɖu		ninɖaː	nindka		niɾaɲa	nindpaː			nirainta	ninɖu			
full-D																muɭu				
full-E																			dinʤidunɖu	
full-F		fullə																		
full-G			puɾ											puneʈ						
full-H											ɡuɾa									
give-A	koɖu	koɖ			koɖu	koɖi						koɖukkuɡa				kuɖə			koɾo	koɖu
give-B			tinninɡ					tej			taa					taː				
give-C				hi			siːtaːn		iːm~iːdatam	ʧihna			ʧibaːh	ʧi	cĩ		iʧʧu~iʋʋaɖam	itʧadta		
good-A		nall				nalla						nalla				nalla				nallə
good-B	oɭɭajadə				oɭɭijadu			oludə												
good-C									manʧid								manʧi			
good-D																			eɖɖedana	
good-E																		ulti		
good-F													heːɖu							
good-G			ʤuaːn																	
good-H													ɾaɖu							
good-I										daːʋ										
good-J							sobhatan													
good-K				assal																
good-L											nejun									
green-A	paʧʧe	passlaːnɡi~paʧʧəlaːnɡi		paʧʧad	hasiɾu	paʧʧe		paʧʧə	paʧʧa		aːkupaʧʧa	paʧʧa			pay	paʧʧə	paʧʧa	paʧʧai	paʧʧe	paʧʧe
green-B										(haɾijaːɾ)										
green-C			ɡuanakki																	
green-D													ɾanalo							
green-E							niɡuɾ													
green-F				hiː																
green-G											nilia									
green-H											kasuli									
hair-A												muɖi				muɖi				
hair-B					kũdalu~kuːdalu														kuːʤal	
hair-C																	veɳʈɾukalu			
hair-D	(oɾame)											(ɾõmam)								
hair-E								manɖə miːɾə								maiɾə		miːɾs		
hair-F						telami							taːli							tilami
hair-G									ʤuʈʈul	ʧuʈʈi							ʤuʈʈu			
hair-H				kel					kelk											
hair-I			puʒʒe																	
hair-J		taːkəɾə																		
hair-K							tiːɾu													
hair-L														ʧendi~talʧenʈi						
hair-M											bana									
hand-A	kaj	kiːja		kaj	kaj	kaj	keju	kaij	kaj	kʰekkʰa	keju	kaj		kiː	key	kaj	ʧejji	koi	kai	kaj
hand-B			ɖuː																	
hand-C													ʈeʈu							
head-A				talla	tale		tal		talakaːj		tɾajun	tala		taːl	tel	talə	tala			tile
head-B	manɖe	maɳɖi				maɳɖe		manɖə										maʈʈə	manɖa	
head-C										kuk			kukudu							
head-D												(ʂiɾasə)								
head-E			kaːʈum																	
hear-A	keːpə	kəːɭ		kenʤ	keːɭu	keːɭə		keːlə				kelkuɡa				keːɭə		keːl	keɳaɾa	keːɭu
hear-C									keːʤa											
hear-D			bininɡ				ʋinti			menna			meːna~meːnpo		ven		ʋinu			
heart-A					(hɾudaya)	(hɾudaja)						(hɾudajam)				(idajam)	(hɾudajamu)			
heart-B				ɡuɳɖe			ɡunɖe		ɡuɳɖekaːja								ɡuɳɖa			
heart-C								nenʤu												nenʤi
heart-D																		manasə		
heart-E		jaddi																		
heart-F													huɡliː							
heart-G							(paːnam)													
heart-H			ust																	
heart-I										buka										
heart-J														ʤibe						
horn-A	kombə	kombbə			kombu	kombə	kommu		komm			kompə				kombə	kommu		kombu	kombə
horn-B																		kuːɾ		
horn-C			maɾɡʰ							maɾaɡ			maɾɡadu							
horn-D									koːkku											
horn-E				koɾ										kaɾ ɡuʧul						
kill-A					kollu	kollə						kolluɡa				kollə				kollə
kill-B			kasfinɡ														ʧampu			
kill-C																		keɖukisti	keɾijaɾa	
kill-D	koppə																			
kill-E				haʋka					aʋakaː											
kill-F		kenɡaːɭ																		
kill-G													baʤpo							
kill-H								taːʋiɾ												
kill-I							alanɡʈaːn													
kill-J										eɖabna										
kill-K				(kʰatamki)																
knee-A					muɳakaːlo			moːɡaːl	moːkaːl	muka		muɻaŋkaːl	muːka			muɻaŋkaːl	moːkaːlu			muːlekaːlə
knee-B					maɳɖi	maɳɖi					mendaja									
knee-C	muʈʈi						muɖsu					muʈʈə				muʈʈi~muːʈə		muʈʈi		
knee-D									boʈmiɳɖaː											
knee-E																			meɳakaːləɡanʈu	
knee-F		mannɡaːlə																		
knee-G				tonɡɾa																
knee-H														ʋanɡul						
knee-I			ɡoːɖ																	
know-A	aɾaʋə				aɾi	aɾi						aɾajuɡa				ari	eraːɡu	aɾspini		aɾiʋo
know-B															pun					
know-C										akʰna			haːhpo							
know-D					telidiko				teluseː								telusuko~telusukonu			
know-E			ʧaːinɡ													teɾijum~teɾinʤuko			teɾijaɾa	
know-F		ɡott uɳɖi~ɡottaːɡ																		
know-G								asuːbej												
know-H													baɖeminpo							
know-I													sikaːɾpo							
know-J							uɾtanɖaːt													
know-K														sun						
know-L				jeɾpaʈ																
leaf-A	elə	jali			jele	elakaɳɖa		eːlu				ila				ele		eɾs	iɾa	ele
leaf-B				aːki			aːk		aːkiː								aːku			
leaf-C															ev					
leaf-D										atkʰa										
leaf-E														ʈunɖe						
leaf-F													haːtʰa							
leaf-G			pann																	
leaf-H											(patɾa)									
lie-A												kiɖakkuɡa	koːɖpo			keɖə				
lie-B					malaɡu															
lie-C				miɳɖsi			labaːɖ muɖsati								maɖ					
lie-D									unʤa											
lie-E	haɖaʋə																			
lie-F																		poaʈʧiː		
lie-G																	paɖukonu			
lie-H																		pokkum		
lie-I		baːɖ~baːʈɳu iːɾ				budda										paɖə			buɾoːnaɾa	biːndo
lie-J			dɾoɡʰ taɖinɡ																	
lie-K										paiha										
lie-L										fasijaːɾ										
lie-M				dolsi																
liver-A					hĩɾi			iːɾu				ĩɾal				iːɾaɭ				
liver-B							kaleja		kaːʤam								kaːlejamu			
liver-C				taɾki										taɖinɡ	taɾuŋɡ					
liver-D												kaɾaɭə						kuɖaːl		
liver-E						tombe														tombe
liver-F					medaʤiːɾika															
liver-G		tədlə																		
liver-H			ʤaɡaɾ																	
liver-I													ʧedɾo							
liver-J										umbalkʰo										
long-A								niːtam				niːnɖa~niːlamuɭɭa				nĩɳʈa~niːɭam~niːɭamaːna				niːʈa
long-B	utta	uddu			udda	uddə													uda	
long-C							poɖaːm		poɖaʋuʈaːdu								poɖaʋu			
long-D																		neɾti		
long-E			muɾɡun																	
long-F										diɡaːh			diɡaɖo							
long-G				laːm																
louse-A		pjaːnu			heːnu	peːnə	paːnu			peːn		peːn			pẽni	peːnə	peːnu		peːn	peːnə
louse-B																		iɾs		
louse-C				poɾki					poɾiki											
louse-D	ili~kili																			
louse-E			boːdʰ																	
louse-F								paiji												
man-A						aːnaaɭə						aːɳə				aːɳə~aːɳ				
man-B					(puɾuʂa)							(puɾuʂan)					(puɾuʂuɖu)			
man-C		ɡəɳɖaɭə			ɡanɖasu			ɡanmaɡu												
man-D									maɡaʋaːɳɖ								maɡaʋaːɖu			
man-E									peːkaːl											
man-F	kanɖumuɡa																			
man-G																				panija
man-H											kakasi									
man-I																aːmbɭe				
man-J																		aːlom		
man-K																			aːnʤʋu	
man-L			naɾeenə																	
man-M													muɖsaː							
man-N										meːt										
man-O							maniʂaːn													
man-P				mankal																
man-Q											ɖola									
man-R											kodomi									
many-A					halaʋu							pala				palə				
many-B																	naːnaː			
many-C						dumba														tumba
many-D									ʧaːla								ʧaːla			
many-E									beʧʧoːko											
many-F	appaɾa																			
many-G												ottiɾi								
many-H																neɾija				
many-I																		uppuːm		
many-J																			baːɾi	
many-K		kajɾijə																		
many-L							peɾe													
many-M			baːz																	
many-N													diːkehi							
many-O													ɡaːɖehi							
many-P										baɡɡe										
many-Q				ʤaːsta																
many-R				ʋellen																
many-S								iːʤoːɖ												
meat-A						eɾaʧi						iɾaʧi				iraicci				iɾaʧi
meat-B					baːɖu															
meat-C					(maːmsa)							(maːmsam)					(maːmsamu)		(maːsa)	
meat-D																kaɾi				
meat-E								podu										piːt		
meat-F	paːɖə~paːɡə																			
meat-G									anɡiː											
meat-H		əɾsi																		
meat-I			suː	haʋʋi																
meat-J							muɾija													
meat-K													maːkɖu							
meat-L										ahɖaː										
meat-M								keteɾi												
moon-A	(tinɡuʋa)				(candɾa)~(ʧendɾa)	(ʧendɾa)			(sanɖamaːma)	(ʧando)		(ʧendɾan)				(cantiɾan)	(ʧendɾuɖu)		(ʧendɾe)	
moon-B							nela	nelavə	nella		lenʤu			nelinɡ	neliɲ	nila		nila		nilaʧi
moon-C		pəɾi																		
moon-D													bilpdu							
moon-E			ʈuːbe																	
moon-F				ʤanɡo																
moon-G								unaːʋə												
mountain-A									ɡubal											
mountain-B		bəʈʈə			beʈʈa															
mountain-C						kundə											konɖa			kundə
mountain-D	male		maʃ									mala				malai				
mountain-E				meʈʈa					meʈʈa											
mountain-F												(paɾʋatam)					(paɾʋatamu)			
mountain-G																		tiʈʈə		
mountain-H																			daːɾi	
mountain-I													beːɖo pahaːɖi							
mountain-J										paɾta										
mountain-K							danɖimeːʈ													
mountain-L								ʋeːʈume												
mountain-M														kappe						
mouth-A		baːjə	baː		baːji	baːji		ʋaːji		baji		ʋaːja			vaːy	ʋaːji~ʋaː		poːi	baːji	baːji
mouth-B																	noːɾu			
mouth-C									pavuːɾ											
mouth-D	pe																			
mouth-E				toɖɖi									toɾo							
mouth-F							muːti													
mouth-G											ɡuʈi									
mouth-H														ʧaːlu						
name-A	esaɾə	pjaːɾə	pin	poɾol	hesaɾu	peda	peːɾ	peːɾ	pedeɾ		doɾu	peɾə			pidiɾ	peːɾə	peːɾu	peːɾ	pudaɾə	peːɾu
name-B										(naːme)			(naːmi)							
neck-A	katə							kaɖateːl				kaɻutə				kaɭuttə				
neck-B									meɖakaːja								meɖa	maɾ		
neck-C										kʰesiɾ			asaɾdu							
neck-D					kuthiɡe															
neck-E						boːɭe														boːɭe
neck-F																			kekkilə	
neck-G		kpːmaːɭi																		
neck-H							mak													
neck-I			lex																	
neck-J													ɖoːnɖo							
neck-K														kanɖ						
neck-L				ɡuɖunɡa																
new-A	ostə																			
new-B							kota		kottad								kotta			
new-C			puːskun	puna	hosadu	pudija		pudijadə		puːna	puni	pudija	puːna		pun	pudusə~pudu		puduːn	posatta	pudijai
new-D		pəjjmən																		
new-E														(nia)						
night-A	iɾə							eːlumaɾam								iɾaːʋə~ɾaːʋə				
night-B					(ɾaːtɾi)							(ɾaːtɾi)	(ɾaːti)			(ɾaːtɾi)	(ɾaːtɾi)		(ɾaːtɾe)	
night-C										maːha			maːaː							
night-D									mulipe											
night-E						bajiʈə														
night-F																				andi
night-G		ədlə																		
night-H																		ekkaːɖə		
night-I				naɾkaɖ																
night-J			nam								laːn									
night-K							siɾbedin													
nose-A	muːkə	muːkkə			muːɡə	muːkkə	muːkk	muːkə		muːji	munɡeli	muːkə		munɡan	muvãɖ	muːkə	mukku		muːɡu	muːkkə
nose-B				mosoɾ					mossoːɾ											
nose-C																		mittuːp		
nose-D													musoː							
nose-E			baːmus																	
not-A		ila		helle		ille		illa	ille			illa				ille	leːdu			ille
not-B							kaːdu										kaːdu			
not-C		ala			alla															
not-D	kulle																			
not-E																		aːɖudi	aːtu	
not-F										mala			malaː							
not-G			aːxa																	
not-H			ne																	
not-I													hambija							
one-A	ondə	ʋandə	asit	ondi	ondu	ondə	okkoːt	oːdit	oɾɾoːʈ	oːnd	ɾanɖi	onnə	oːnd	okuʈi	ok	onnə	okaʈi		onʤi	onʤu
one-B																		uttə		
person-A					(manusa)	(manasa)	(maniʂaːn)		(mansuːɳɖ)			(manuʂan)				(manitan)~(manuʂan)	(maniʂi)		(manuʂeː)	(manuʧe)
person-B	kanɖə																			
person-C																		kinnuːɖə		
person-D		aːɭə~aːɭu								aːl										
person-E				lokuɾ																
person-F													malah							
person-G			bandaɡ																	
rain-A	me	maɭi			maɭe	maɭe		mai				maɻa				maɻai		meɖutti		maɭe
rain-B																	(ʋaɾʂam)		(baɾsa)	
rain-C							ʋaːna		ʋaːna						vaːni		ʋaːna			
rain-D			peɾ	piɾ																
rain-E													ʤaɖaː							
rain-F										ʧeːp										
rain-G											bela									
red-A	keppə		xiːsun		kempu	ʧoːpə				kheso		ʧumappə	eːso		key	cem~seʋappə~seɡappə		keppə	kempu	ʧoːpə
red-B				eɾɾaɡ~jeɾɾaɡ			jeɾuɖi		eɾɾa								eɾupu			
red-C		tissəɡaɳɖaːnɡi																		
red-D								netiɾ			netuɾi									
red-E											ɡaɖɡa									
road-A												ʋaɻi				vaɻi				
road-B					(maːɾɡa)												(maːɾɡamu)			
road-C													paːodu		paːv					
road-D	taːɾi						daaɾ	taːɾi		ɖahaɾe							daːɾi			
road-E		baʈʈi				baːte											baːʈa			
road-F					(ɾaste)	(ɾaste)								ɾasta						(ɾaste)
road-G																		aːlaɾ		
road-H																			paɾvata	
road-I			(saɖak)																	
road-J				haɾɾi					aɾɾi											
road-K							taːʋu													
root-A	peːɾə	bjaːɾə			beːɾu	beːɾə	ʋeːɾkam		ʋeːɾ		ʋeɾ	ʋeːɾə			vaːɾ	ʋeːɾə	ʋeːɾu	ʋeɾ	beːɾu	beːɾə
root-B										paːda										
root-C														kuɾe						
root-D													bandaː							
root-E			ɾoːte																	
root-F				hiːɾ																
round-A					(baʈʈa)			(ʋaʈam)				(vaʈʈa)				(ʋaʈʈam)				
round-B				ɡuɳɖɾal					ɡuɳɖɾaːn	ɡuʈiɳɖa			ɡuɖme~ɡuɖijo				ɡuɳɖɾani			
round-C					duɳɖane															
round-D						uɾuʈa						uɾunɖa				uɾunɖai		uʈʈi	uɾuʈə	uɾuʈu
round-E		bəjnsakɾanɡuːdə																		
round-F			(ɡoːl peɾi)																	
round-G							bubbaɾi													
sand-A		maɳalə			maɾaɭu	maɳa						maɳal		maːn	man	maɳal		manal		maɳə
sand-B				uske	usubu		usuka		isike								isuka			
sand-C																			pojja	
sand-D	pakke																			
sand-E			ɾeːk																	
sand-F										ʧalkuɾu	bali									
sand-G													baːli							
say-A																ʧollə~sollə				
say-B												paɾajuɡa								paɾe
say-C					heɭu															
say-D																	ʧeppu			
say-E				in		annə									en					
say-F		pəːɭ																		
say-G									kella											
say-H	eɡəʋə																			
say-I																		aːʋaɖə		
say-J																			paɳaɾa	
say-K			paːninɡ																	
say-L										bakʰna										
say-M								paidu												
say-N													hauɖpo							
see-A												kaːɳuka				kaːɳ				
see-B	noːɖə	noːɖ~najɾ			noːɖu	noːʈə		noːʈə										nuːʈ		noːku
see-C				huɖa										ʧu			ʧuːɖu			
see-E									uːɖa											
see-F																paːɾə				
see-G																			tuʋaːɾa	
see-H										jeːɾna										
see-I			unninɡ																	
see-J													ʈunɖpo							
see-K							taːna													
seed-A	pittə	bissə~biʧʧə	beʤʤ	viʤʤa	bede~biːʤa		ʋittanam	ʋitu		biː		vita			vittid	ʋedə	ʋittanam~biːʤam	pittə	biːʤa	
seed-B																	ɡinʤa			
seed-C										ɡoʈa										
seed-D						kuɾu														kuɾu
seed-F				peɖe					peːɳɖku											
seed-G												paɾippə								
sit-A																ukkaːɾə				
sit-B												iɾikkuɡa						eɾakkaɾ		iɾaiku
sit-C	kuɭəʋə				kuɭitiko														kullaɾa	
sit-D		kuːɾsu															kuːɾʧo			
sit-E										okʰna			hokpo							
sit-F		kuːtnu iːɾ			kuːtuko				kuddaː											
sit-G						aɭe														
sit-H				udda			udə							undu						
sit-I			tuːlinɡ																	
sit-J			zunɖinɡ																	
skin-A	toːlə	toːlə		toːl	toɡalu	toːlə	toːl	toːlu	toːl			toli		tal	tõl	toːlə	toːlu	tuːɾs		toːlu
skin-B					(ʧaɾma)							(ʧeɾmam)					(ʧaɾmamu)		(ʧeɾma)	
skin-C			sil																	
skin-D													ʧaːna							
skin-E										ʧapʈa										
sleep-A	oɾəɡədə	aɾɡu~eɾɡu				oɾa		oɾəɡə				uɾanɡuɡa				uraŋku		oɾkʰə		oɾa
sleep-B					malaɡu															
sleep-C					(nidɾiso)												(nidɾapoʋu)			
sleep-D				miːɳɖa											maɖ					
