Gloss	Belarusian	Bulgarian	Burgenland Čakavian	Czech	Kajkavian	Latvian	Lithuanian	Macedonian	Polish	Russian	Slovak	Slovenian	Ukrainian	Čakavian (Cres)	Čakavian (Istria)	Štokavian
COME_1			du̯ôjt		dowt~du̯ojt~dˈowti			idi~doj						prǐːt	prǐːt	
COOK_(SOMETHING)	zvarˈɨʦʲ~zʁatavaʦʲ	priɡˈɔtvʲɐ		pr̝̊ˈɪpravɪt		tai̯siːt~ɡɑtːɑvuɔ̯t	ruəʃtʲɪ~ɡɐmʲɪ̂ntʲɪ		pʂɨʐˈɔɲʥiʨ	prʲɪɡɐtˈovʲɪtʲ	prˈipraʋic	pripràːʋiti	zɦɔtˈɔʋɪtɪ~prɪɦɔtʊʋˈɑtɪ			priɡǒtoʋiti
CORRECT_(RIGHT)	pravʲˈilʲnɨ	prˈavilɛn		prˈaviː~sprˈaːvniː		riktiːks	tʲɪ̂krɐs~tɛʲɪ̯ˑsʲɪ̂nɡɐs		swˈuʂnɨ~pɾavʲidwˈɔvɨ	prˈavʲɪlʲnɨɪ̯	sprˈaːʋni	praʋìːlɛn	prˈɑʋɪlʲnɪi̯			tôʧan~prâʋiːlan
COUNT	lʲiʧˈɨʦʲ	brˈɔjɐ		spˈoʧiːtat		skai̯tiːt	skɐʲɪ̯ˑʧʲɪûətʲɪ		lʲˈit͡ʂɨʨ	ɕːɪtˈatʲ	pˈɔʧiːtac	ʃtɛ̀ːti	lʲiʧˈɪtɪ			brǒjiti
CRY	plˈakaʦʲ	pɫˈaʧɐ		plˈakat		rau̯dɑːt	ʋɛ̂rˑktʲɪ		pwˈakaʨ	pɫˈakətʲ	pɫˈakac	jɔ̀ːkati~plàːkati	pɫˈɑkɐtɪ			plâkati
CUT	rˈɛzaʦʲ	rˈɛʒɐ		r̝ˈɛzat~str̝̊ˈɪɦat		ɡriɛ̯st~sɑɡriɛ̯st	pjâˑʊ̯tʲɪ~kʲɪ̂rˑptʲɪ		ʨɔɲʨ~kɾˈajaʨ	rʲˈezətʲ	rˈɛzac~strˈiɦac	rɛ̀ːzati	ɾʲˈizɐtɪ			rêzati
DANCE	tʌnʦavˈaʦʲ	tɐnʦˈuvɐm		tˈanʧɪt		diɛ̯t~dɛjuɔ̯t~dɑnʦuɔ̯t	ʃôːktʲɪ		plˈɔw̃saʨ~tˈaɲt͡ʂɨʨ	plʲɪsˈatʲ~tənʦɨvˈatʲ	tˈanʦɔʋac	plɛ̀ːsati	tɐnʦʲʊʋˈɑtɪ			plěsati
DAY_(NOT_NIGHT)	ʣʲenʲ	dɛn		dˈɛn		diɛ̯nɑ	diənɑ̂		ʥɛɲ	dʲenʲ	ɟɛɲ	dàːn	dɛnʲ			dâːn
DIE	pamʲˈerʦʲi	umrˈɤ		ˈumr̝iːt		mirt~nuɔ̯mirt	mʲɪ̂rˑtʲɪ~nʊmʲɪ̂rˑtʲɪ		ˈumʐɛʨ	ʊmʲɪrʲˈetʲ	ˈumrɪ̯ɛc~zˈɔmrɪ̯ɛc	umrɛ̀ːti	pɔmˈɛrtɪ			ǔmrjeːti
DIE_1			ˈumriːt		mrejt			umri						pɔmrěːt~umrěːt	umrjěːt	
DIG	kapˈaʦʲ	kopˈajɐ		rˈiːt~kˈopat		rɑkt	kɑ̂stʲɪ		kˈɔpaʨ	kɐpˈatʲ	ric~kˈɔpac	kɔpàːti~ɡréːbsti	kɔpˈɑtɪ			kǒpati~kôpkati
DIRTY	brˈudnɨ	mrˈɤsɛn		ʃpˈɪnaviː		nɛtiːrs~dubʎai̯ns	nɛʃʋɐrʊ̂s~pʊ̂rˑʋʲɪnɐs		bɾˈudnɨ	ɡrʲˈaznɨɪ̯	ʃpˈinaʋiː	umàːzan	brʊdnˈɪi̯			něʧist~pr̩̂ʎaʋ
DOG	sabˈaka	kˈuʧɛ		pˈɛs		suns	ʃuə		pʲjɛs	sɐbˈakə	pɛs	pɛ́s	sɔbˈɑkɐ			pâs
DOG_-1								(kuʧe)							(brɛk)	
DOG_1			pas											pɛs		
DOG_2					ʦˈuʦːæk~ʦˈuːʦæk											
DRINK	pʲiʦʲ	pˈijɐ		pˈiːt		ʣɛrt	ɡêˑrtʲɪ		pʲiʨ	pʲitʲ	pic	pìːti	pˈɪtɪ			pîti
DRINK_1			pit		pit~piːt			pije						pit	pit	
DRY	suxʲˈi	sux		sˈuxiː		sau̯sː	sɒʊ̯ˑsɐs		sˈuxɨ	sʊxˈoɪ̯	sˈuxiː	sùːx	sʊxˈɪi̯			sûːx
DRY_1			sûːɦ		suːh			suf						sûːx	sûːx	
DUST	pɨl	prax		prˈax		putːɛɡʎi	dʊ̂ɫkeːs		pɨw~kuʂ	pɨlʲ	prax	pràːx	pɪɫ			prâːx~prǎʃina
EAR	vˈuxa	uxˈɔ		ˈuxo		au̯sː	ɒʊ̯ˑsʲɪ̂s		ˈuxɔ	ˈuxə	ˈuxɔ	uxɔ̀ː	wˈuxɔ			ûxo
EARTH (SOIL)_1			zˈɛmʎa~zˈɛmja		zˈæmʎɒ~zˈæmjɒ			zemʲa						zɛmjˈa	zɛmʎˈa	
EARTH_(SOIL)	zʲæmlʲˈæ	zɛmʲˈa~pˈɔʧvɐ		zˈɛmɲɛ		zɛmɛ	ʒɛ̌meː		ʑˈɛmʲja	zʲɪmlʲˈa	zɛm	pə̀rst~zéːmla	zɛmlʲˈɑ			zěmʎa
EAR_1			ǔːɦɔ		vuʃˈejso			uvo						ûːxɔ	ûːxɔ	
EAT	jˈesʲʦʲi	jam		jˈiːst		eːst	ʋâˑɫɡʲiːtʲɪ		jɛɕʨ	jesʲtʲ~kˈuʂətʲ	jɛsc	jɛ̀ːsti	jˈistɪ			jêsti
EAT_1			jîːst		jejs			jaj						jɛst	jɛs	
EGG	jˈæjka	jɐjʦˈɛ		vˈɛjʦɛ		uɔ̯lɑ	kʲɛʊ̯ˑʃʲɪ̂nʲɪs		jˈajkɔ	jɪjʦˈo	ʋˈajʦɛ	jàːjʦɛ	jɐjʦˈɛ			jǎːje
EGG_1			jâːjʦɛ		jˈɒjʦæ			jajʦe						jâːjɛ	jâːje	
EIGHT	vˈosʲem	ˈɔsɛm		ˈosm̩		ɑstuɔ̯ɲi	ɐʃtuənʲɪ̂		ˈɔɕɛm	vˈosʲɪmʲ	ˈɔsɛm	ɔ̀ːsɛm	ʋʲˈisʲim			ôsam
EYE	vˈoka	okˈɔ		ˈoko		ɑʦ	ɐkʲɪ̂s		ˈɔkɔ	ɡɫas	ˈɔkɔ	ɔkɔ̀ː	ˈɔkɔ			ôko
EYE_1			u̯ɔ̌kɔ		ˈu̯okːɔ			oko						ɔ̌ːkɔ	ˈɔkɔ	
FALL	pˈadaʦʲ	pˈadɐm		pˈadat		ɡrist	pʊ̂ɫtʲɪ~krʲɪ̂stʲɪ		pˈadaʨ	pˈadətʲ	pˈadac	pàːdati	pˈɑdɐtɪ			pâdati
FAR	dalʲˈɵkʲi	dɐlˈɛʧɛn		dˈalɛkiː		tɑːls	tôːlʲɪmɐs		dalˈɛkʲi	dɐlʲˈɵkʲɪɪ̯	ɟˈaɫɛkiː	dàːlɛʧ	dɐɫˈɛkɪi̯			dǎlek~dâːʎɲiː
FAR_-1														(lǎːrɡɔ)		
FAR_1			dǎːlɛkɔ		dˈaːlkɔ			daʎeko								
FAR_2														děːlɡɔ	dˈuɡɔ	
FAT (FROM ANIMALS)_1					maːs			mas						mâːst	mâːs	
FAT (FROM ANIMALS)_2															tûːk	
FATHER	bˈaʦʲka	bɐʃtˈa		ˈotɛʦ		tæːfs	têːʋɐs		ˈɔjʨɛʦ	ɐtʲˈeʦ	ˈɔcɛʦ	óːʧɛ	bˈɑtʲkɔ			ǒtaʦ
FAT_(ORGANIC_SUBSTANCE)	tluʂʧ	mɐzninˈa		tˈuk~ˈomastɛk		tau̯ki	tɒʊ̯ˑkɐʲɪ̯ˑ~riəbɐɫɐʲɪ̯ˑ		twuʂt͡ʂ	ʐɨr	tuk~masc	màːst~maʃʧóːba	ʒɪr			mâːst~sâlo
FEAR_(BE_AFRAID)	baʲˈæʦʦa	bojˈɤ sɛ~strɐxˈuvɐm sɛ ɔt		bˈaːt sˈɛ		bai̯diːtiɛ̯snuɔ̯	bʲɪjôːtʲɪ~bâˑʲɪ̯mʲɪntʲɪs		baʨ ɕɛ	bɐjˈatʦə	baːcsa	bàːtisɛ	bɔʲˈɑtɪsʲɐ			bǒjatise
FEATHER	pʲærˈo	pɛrˈɔ		pˈɛro		spɑlvɑ	pɫʊ̂nksnɐ		pʲjˈuɾɔ	pʲɪrˈo	pˈɛrɔ	pɛrɔ̀ː	pɛrˈɔ			pěro
FEATHER_1			pˈɛrɔ		pˈærɔ			perduf						pɛrˈɔ	pɛrˈɔ~perijˈɔ	
FIGHT	bʌraʣʲbˈa	borbˈa~srɐʒˈɛniɛ		bˈoj		ʦiːɲɑ	koʋɑ̂		buj~vˈalka	bɐrʲbˈa	bɔj	bɔ́j~bɔ̀ːrba	bʲii̯~bɔrɔtʲbˈɑ			bôːj~bǒrba
FINE_OR_THIN	tˈonkʲi	fin~tˈɤnɐk		jˈɛmniː		zmɑlks	smʊ̂ɫkʊs		dɾˈɔbnɨ	tˈonkʲɪɪ̯	jˈɛmniː	dróːbɛn	dɾʲibnˈɪi̯			fîːn~tânak
FINGERNAIL	nˈoʁaʦʲ	nˈɔkɐt		nˈɛɦɛt		nɑks	nǎɡɐs		paznˈɔkʲjɛʨ	nˈoɡətʲ	ɲɛxt	nɔ̀ːxtnaróːki	nʲˈiɦɔtʲ			nôkat
FINGERNAIL_OR_TOENAIL	nˈoʁaʦʲ	nˈɔkɐt		nˈɛɦɛt		nɑks	nǎɡɐs		paznˈɔkʲjɛʨ	nˈoɡətʲ	ɲɛxt	nɔ̀ːxt	nʲˈiɦɔtʲ			nôkat
FIRE	aʁˈonʲ	ˈɔɡɐn		ˈoɦɛɲ		uɡuns	ʊɡnʲɪ̂s		ˈɔɡʲjɛɲ	ɐɡˈonʲ	ˈɔɦɛɲ	óːɡɛn	wɔɦˈɔnʲ			ʋâtra
FIRE_1			ʔˈɔɡaːɲ		ˈu̯oɡæɲ			oɡan						ɔɡˈɛɲ	uɡǎːɲ	
FISH	rˈɨba	rˈibɐ		rˈɪba		zifs	ʒʊʋʲɪ̂s		ɾˈɨba	rˈɨbə	rˈiba	rìːba	rˈɪbɐ			rîba
FISH_1			rˈiba		rˈibɒ			riba						rˈiba	rˈiba	
FIVE	pʲæʦʲ	pɛt		pjˈɛt		piɛ̯ʦi	pɛnkʲɪ̂		pʲjɛɲʨ	pʲætʲ	pæc	pɛ̀ːt	pjɑtʲ			pêːt
FLOW	ʦʲæʧˈɨ	tɛkˈɤ		tˈɛːʦt		tɛʦeːt	tɛkêːtʲɪ		ʨɛʦ~pwˈɨnɔɲʨ	tʲeʨ	cɪ̯ɛʦc	téːʧi	tɛktˈɪ			těʨi
FLOWER	kʲvʲˈetka	ʦvˈɛtɛ		kvjˈɛcɪna		pucːɛ~ziɛ̯ts	ɡeːɫěː		kfʲjat	ʦvʲɪtˈok	kʋɛt~kʋˈɛcina	ʦʋɛtlìːʦa	kʋʲˈitkɐ			ʦʋjeː̂t
FLY (MOVE THROUGH AIR)_1			lˈɛtit		lˈætit			ʎeta~ʎetnuva						lɛtˈɛt	lɛtˈɛt	
FLY_(MOVE_THROUGH_AIR)	lʲætˈaʦʲ	lɛtʲˈɤ~xvˈɤrʧɐ		lˈɛːtat		liduɔ̯t~lai̯stiɛ̯s	ɫěːktʲɪ~skrʲɪ̂stʲɪ		lˈataʨ~lˈɛʨɛʨ	lʲɪtˈatʲ	ɫˈɛcɪ̯ɛc	lɛ̀ːtati	lʲitˈɑtɪ			lětjeti~ljeː̌tati
FOG	tumˈan	mɐɡɫˈa		mˈl̩ɦa		miɡlɑ	mʲɪɡɫɑ̂~rûːkɐs		mɡwa	tʊmˈan	ɦmɫa	mɛɡlá	tʊmˈɑn			mǎɡla
FOOT	naʁˈa	krak~noɡˈa		nˈoɦa		kɑːjɑ	peːdɑ̂		stˈɔpa	stʊpnʲˈa	nˈɔɦa	nóːɡa	nɔɦˈɑ			nǒɡa~stǒpalo
FOOT_1			nu̯ɔ̌ɡa		nˈu̯oɡɒ			noɡa						nɔɡˈa	nɔɡˈa	
FOREST	lʲes	ɡorˈa		lˈɛs		mɛʃː	mʲɪ̂ʃkɐs		las	lʲes	ɫɛs~ɦˈɔra	lɛ̀ːs~ɡɔ́zd	lʲis			ʃûma
FOUR	ʧatˈɨrɨ	ʧˈɛtiri		ʧtˈɪr̝ɪ		ʧɛdri	kɛtʊrʲɪ̂		t͡ʂtˈɛɾɨ	ʨɪtˈɨrʲe	ʃtˈiri	ʃtìːri	ʧɔtˈɪrɪ			ʧětiri
FREEZE	zamʲˈerznuʦʲ	zɐmrˈɤznɐ		zˈamr̩znou̯t		sɑsːɑlt	ʊʒʃâˑɫtʲɪ		zamˈaʐnɔɲʨ	zɐmʲˈɵrznʊtʲ	zˈamr̩znuːt	zmə̀rzniti	zmˈɛrznʊtɪ			smr̩̂znutise
FULL	pˈownɨ	pˈɤlɛn		pˈl̩niː		pilns	pʲɪ̂ɫnɐs		pˈɛwnɨ	pˈoɫnɨɪ̯	pˈɫ̩niː	pɔ̀ːln	pˈɔʋnɪi̯			pûn
FULL_1			pûːn		pun			poln						pˈɛlni	pǔːn	
GIVE	daʦʲ	dam		dˈaːt		duɔ̯t~pɑduɔ̯t	dûətʲɪ~pɐdûətʲɪ		daʨ	datʲ	dac	dàːti	dˈɑtɪ			dâti
GIVE_1			dat		dɒt~daːt			daj						dat	dat	
GOOD	dˈobrɨ	dobˈɤr		dˈobriː		lɑps	ɡɛ̌rɐs		dˈɔbɾɨ	xɐrˈoʂɨɪ̯	dˈɔbriː	dɔ̀ːbɛr	dˈɔbrɪi̯			dôbar
GOOD_1			du̯ɔ̌bar		dˈu̯obær			dober						dɔ̌ːbɛr	dˈɔbar	
GRASS	travˈa	trɛvˈa		trˈaːva		zɑːlɛ	ʒoɫěː		tɾˈava	trɐvˈa	trˈaːʋa	tràːʋa	trɐʋˈɑ			trǎːʋa
GREEN	zʲælʲˈɵnɨ	zɛlˈɛn		zˈɛlɛniː		zɑʎʃ	ʒǎlʲɛs		ʑɛlˈɔnɨ	zʲɪlʲˈɵnɨɪ̯	zˈɛɫɛniː	zɛlɛ́n	zɛɫˈɛnɪi̯			zělen
GREEN_1			zˈɛljɛn		zˈælæn			zeʎen						zɛlěːni	zˈɛlɛn	
HAIR	vˈolas~vʌlasˈɨ	kosˈa~kˈɔsɐm		vlˈas~vlˈasɪ		mɑts	pɫɒʊ̯ˑkɐʲɪ̯ˑ		vwɔs~vwˈɔsɨ	vˈoɫəs~vˈoɫəsɨ	ʋɫas	làːs	wɔɫˈɔsʲsʲɐ			kǒsa
HAIR_1								kosa								
HAIR_2			vlâːs		lˈaːsi									vlâːs	vlâːs	
HAND	rukˈa	rɐkˈa		rˈuka		ruɔ̯kɑ~blau̯kstɑ	rɐnkɑ̂~pɫǎʃtɐkɐ		ɾˈɛŋka	rʊkˈa	rˈuka	róːka	rʊkˈɑ			rǔːka
HAND_1			rˈuka		rˈowka			raka						rukˈa	ru̯okˈa	
HEAD	ʁʌlavˈa	ɡɫɐvˈa		ɦlˈava		ɡɑlvɑ	ɡɐɫʋɑ̂		ɡwˈɔva	ɡəɫɐvˈa	ɦɫˈaʋa	ɡlàːʋa	ɦɔɫɔʋˈɑ			ɡlǎːʋa
HEAD_1			ɡlâːva		ɡlˈaːvɒ~ɡlˈɒvɒ			ɡlava						ɡlavˈa	ɡlaːvˈa	
HEAR	ʧuʦʲ	ʧˈuvɐm		slˈɪʃɛt		ʣirdeːt	ɡʲɪrdêːtʲɪ		swˈɨʂɛʨ	sɫˈɨʂətʲ	pˈɔʧuːʋac	slìːʃati	ʧˈutɪ			ʧûti
HEART	sˈɛrʦa	sɐrʦˈɛ		sˈr̩ʦɛ		sirts	ʃʲɪrdʲɪ̂s		sˈɛɾʦɛ	sʲˈerʦə	sˈr̩ʦɛ	srʦɛ̀ː	sˈɛrʦɛ			sr̩̂ʦe
HEART_1			sˈr̩ʦɛ		sˈɛrʦæ			sr̩ʦe						sˈɛrʦɛ	sˈr̩ʦɛ	
HEAR_1								sluʃa								
HEAR_2			ʧut		ʧut~ʧˈutːi			ʧuje						ʧut	ʧut	
HEAVY	ʦʲˈæʂkʲi	tˈɛʒɐk		cˈɛʃkiː		zmɑks	sʊnkʊ̂s		ʨˈɛw̃ʂkʲi	tʲɪʐˈoɫɨɪ̯	cˈaʃkiː	téːʒɛk	ʋɐʒkˈɪi̯			těːʒak
HEAVY_1			tjêʒak		tˈæʒæk			teʒok						těːʃki	tˈɛʒak	
HERE	tut	tuk~tˈukɐ		zdˈɛ~tˈadɪ		tɛ~ʃɛi̯t	ʧʲɛ̂		tu~tˈutaj	zʲdʲesʲ	tu	tú~tùːkaj	tut			tûː~ǒːʋdje
HOLD	trɨmˈaʦʲ	dɐrʒˈɤ		dˈr̩ʒɛt		tureːt~sɑtːureːt	ɫɐʲɪ̯ˑkîːtʲɪ~pɐɫɐʲɪ̯ˑkîːtʲɪ		tʂˈɨmaʨ	dʲɪrʐˈatʲ	dˈr̩ʒac	drʒàːti	trɪmˈɑtɪ			dř̩ʒati
HORN (ANATOMY)_1			ru̯ôɡ		ru̯oɡ			rok						rôːx	ru̯ôx	
HORN_(ANATOMY)	roʁ̥	rɔk		rˈox		rɑks	rǎɡɐs		ɾuk	rok	rɔx	rɔ̀ːɡ	ɾʲiɦ			rôːɡ
HOT	ʁarˈaʧɨ	ʒˈarɐk		ɦˈorkiː		kɑrsts	kâˑrʃtɐs		ɡɔɾˈɔnʦɨ	ʐˈarkʲɪɪ̯	ɦˈɔruːʦi	ʋrɔ́ʧ	ʒɐrkˈɪi̯~ɦɐɾʲˈɑʧɪi̯			ʋrûːʨ
HOW	jæk	kak		jˈak		kɑː	kɐʲɪ̯ˑp		jak	kak	ˈakɔ	kakɔ̀ː	jɑk			kâko
HUNDRED	sto	stɔ		stˈo		simt	ʃʲɪ̂mˑtɐs		stɔ	sto	stɔ	stɔ̀ː	stɔ			stôː
HUNT	pʌlʲævˈaʦʲ	ɫovˈuvɐm		ˈuɦoɲɪt		mɛdiːt	mɛdʒʲɪôːtʲɪ		pɔlˈɔvaʨ	ɐxˈotʲɪtʦə	pˈɔʎɔʋac	lɔʋìːti	pɔlʲʊʋˈɑtɪ			lǒʋiti
HUSBAND	muʂ	sɐprˈuk		xˈoc~mˈanʒɛl		viːrs	ʋîːrɐs		mɔw̃ʂ	muʂ	muʃ~mˈanʒɛɫ	mɔ̀ːʒ~sɔprɔ̀ːɡ	ʧɔɫɔʋʲˈik			mûːʒ~sǔpruɡ
I	jæ	as		jˈaː		ɛs	ɑ̂ʃ		ja	ja	ja	jáz	jɑ			jâː
