Language,Gloss,Orthography,StressAnnotation
Bulgarian,FIGHT,борба,борба́
Bulgarian,FIGHT,сражение,сраже́ние
Bulgarian,DAY (NOT NIGHT),ден,ден
Bulgarian,NIGHT,нощ,нощ
Bulgarian,YEAR,година,годи́на
Bulgarian,BIG,едър,е́дър
Bulgarian,BIG,голям,голя́м
Bulgarian,SMALL,малък,ма́лък
Bulgarian,SMALL,дребен,дре́бен
Bulgarian,LONG,дълъг,дъ́лъг
Bulgarian,SHORT,къс,къс
Bulgarian,WIDE,широк,широ́к
Bulgarian,NARROW,тесен,те́сен
Bulgarian,THICK,дебел,дебе́л
Bulgarian,THIN (OF SHAPE OF OBJECT),тънък,тъ́нък
Bulgarian,FINE OR THIN,фин,
Bulgarian,SMOOTH,гладък,гла́дък
Bulgarian,ROUND,кръгъл,кръ́гъл
Bulgarian,SHARP,остър,о́стър
Bulgarian,HEAVY,тежък,те́жък
Bulgarian,HOT,жарък,жа́рък
Bulgarian,WARM,топъл,то́пъл
Bulgarian,COLD,студен,студе́н
Bulgarian,WET,мокър,мо́кър
Bulgarian,DRY,сух,сух
Bulgarian,FULL,пълен,пъ́лен
Bulgarian,DIRTY,мръсен,мръ́сен
Bulgarian,BLACK,черен,че́рен
Bulgarian,WHITE,бял,бял
Bulgarian,RED,червен,черве́н
Bulgarian,YELLOW,жълт,жълт
Bulgarian,GREEN,зелен,зеле́н
Bulgarian,STUPID,глупав,глу́пав
Bulgarian,GOOD,добър,добъ́р
Bulgarian,BAD,лош,лош
Bulgarian,CORRECT (RIGHT),правилен,
Bulgarian,NEW,нов,нов
Bulgarian,NEAR,близък,бли́зък
Bulgarian,FAR,далечен,дале́чен
Bulgarian,OTHER,друг,друг
Bulgarian,HERE,тук,тук
Bulgarian,HERE,тука,ту́ка
Bulgarian,THERE,там,там
Bulgarian,NOT,не,
Bulgarian,THIS,този,то́зи
Bulgarian,THAT,туй,туй
Bulgarian,THAT,това,това́
Bulgarian,ALL,всичко,вси́чко
Bulgarian,I,аз,аз
Bulgarian,THOU,ти,ти
Bulgarian,WE,ние,ни́е
Bulgarian,YOU,вие,ви́е
Bulgarian,THEY,те,те
Bulgarian,WHAT,що,що
Bulgarian,WHAT,какво,
Bulgarian,WHO,кой,кой
Bulgarian,WHERE,къде,къде́
Bulgarian,HOW,как,как
Bulgarian,ONE,един,еди́н
Bulgarian,TWO,два,два
Bulgarian,THREE,три,три
Bulgarian,FOUR,четири,че́тири
Bulgarian,FIVE,пет,пет
Bulgarian,SIX,шест,шест
Bulgarian,SEVEN,седем,
Bulgarian,EIGHT,осем,
Bulgarian,NINE,девет,де́вет
Bulgarian,TEN,десет,де́сет
Bulgarian,TWENTY,двайсет,двайсет
Bulgarian,TWENTY,двадесет,два́десет
Bulgarian,HUNDRED,сто,сто
Bulgarian,AND,а,
Bulgarian,AND,та,та
Bulgarian,STAND,стоя,стоя́
Bulgarian,SIT,седя,седя́
Bulgarian,LIE (REST),лежа,лежа́
Bulgarian,BLOW (OF WIND),вея,ве́я
Bulgarian,BLOW (OF WIND),духам,
Bulgarian,FLOW,тека,тека́
Bulgarian,FALL,падам,па́дам
Bulgarian,BURNING,горя,горя́
Bulgarian,FREEZE,замръзна,
Bulgarian,BE ALIVE,живея,живе́я
Bulgarian,BREATHE,дишам,ди́шам
Bulgarian,DRINK,пия,пи́я
Bulgarian,EAT,ям,ям
Bulgarian,SLEEP,спя,спя
Bulgarian,DIE,умра,умра́
Bulgarian,WALK,ходя,хо́дя
Bulgarian,SWIM,плувам,плу́вам
Bulgarian,FLY (MOVE THROUGH AIR),летя,летя́
Bulgarian,FLY (MOVE THROUGH AIR),хвърча,
Bulgarian,COME,ида,и́да
Bulgarian,COME,дойда,до́йда
Bulgarian,LAUGH,смея се,сме́я се
Bulgarian,CRY,плача,пла́ча
Bulgarian,FEAR (BE AFRAID),боя се от,
Bulgarian,FEAR (BE AFRAID),страхувам се от,
Bulgarian,SEE,видя,ви́дя
Bulgarian,HEAR,чувам,чу́вам
Bulgarian,DIG,копая,
Bulgarian,HOLD,държа,държа́
Bulgarian,PUSH,тикам,ти́кам
Bulgarian,BITE,хапя,ха́пя
Bulgarian,BITE,ухапя,уха́пя
Bulgarian,TIE,вържа,въ́ржа
Bulgarian,RUB,трия,
Bulgarian,RUB,търкам,
Bulgarian,CUT,режа,ре́жа
Bulgarian,PULL,тегля,
Bulgarian,PULL,дръпна,
Bulgarian,THROW,хвърля,хвъ́рля
Bulgarian,BURN (SOMETHING),изгоря,
Bulgarian,GIVE,дам,дам
Bulgarian,PLAY,играя,игра́я
Bulgarian,SING,пея,пе́я
Bulgarian,DANCE,танцувам,танцу́вам
Bulgarian,SHOOT,стрелям,стре́лям
Bulgarian,KILL,убия,уби́я
Bulgarian,KILL,умъртвя,
Bulgarian,HUNT,ловувам,
Bulgarian,COOK (SOMETHING),приготвя,
Bulgarian,SEW,шия,ши́я
Bulgarian,WASH,мия,ми́я
Bulgarian,WASH,пера,пера́
Bulgarian,WIPE,избърша,
Bulgarian,SAY,кажа,ка́жа
Bulgarian,SPEAK,говоря,гово́ря
Bulgarian,KNOW (SOMETHING),зная,зна́я
Bulgarian,COUNT,броя,
Russian,EYE,глаз,глаз
Russian,EAR,ухо,у́хо
Russian,NOSE,нос,нос
Russian,MOUTH,рот,рот
Russian,TOOTH,зуб,зуб
Russian,TONGUE,язык,язы́к
Russian,HAIR,волос,во́лос
Russian,HAIR,волосы,во́лосы
Russian,NECK,шея,ше́я
Russian,NAPE (OF NECK),затылок,заты́лок
Russian,HEAD,голова,голова́
Russian,BACK,спина,спина́
Russian,BELLY,живот,живо́т
Russian,BREAST,женская грудь,
Russian,HAND,кисть,кисть
Russian,FINGERNAIL,ноготь,но́готь
Russian,FOOT,ступня,ступня́
Russian,KNEE,колено,коле́но
Russian,LEG,нога,нога́
Russian,SKIN,кожа,ко́жа
Russian,BLOOD,кровь,кровь
Russian,BONE,кость,кость
Russian,HEART,сердце,се́рдце
Russian,LIVER,печень,пе́чень
Russian,SKY,небо,не́бо
Russian,SUN,солнце,со́лнце
Russian,MOON,луна,луна́
Russian,STAR,звезда,звезда́
Russian,WIND,ветер,ве́тер
Russian,WATER,вода,вода́
Russian,ROCK,камень,ка́мень
Russian,EARTH (SOIL),земля,земля́
Russian,DUST,пыль,пыль
Russian,SMOKE (EXHAUST),дым,дым
Russian,FIRE,огонь,ого́нь
Russian,FOG,туман,тума́н
Russian,CLOUD,облако,о́блако
Russian,RAIN (PRECIPITATION),дождь,дождь
Russian,SNOW,снег,снег
Russian,ICE,лед,лед
Russian,LAKE,озеро,о́зеро
Russian,FOREST,лес,лес
Russian,MOUNTAIN,гора,гора́
Russian,RIVER,река,река́
Russian,SEA,море,мо́ре
Russian,FLOWER,цветок,цвето́к
Russian,GRASS,трава,трава́
Russian,ROOT,корень,ко́рень
Russian,TREE,дерево,де́рево
Russian,BARK,кора,кора́
Russian,LEAF,лист,лист
Russian,HORN (ANATOMY),рог,рог
Russian,FEATHER,перо,перо́
Russian,WING,крыло,крыло́
Russian,CLAW,коготь,ко́готь
Russian,TAIL,хвост,хвост
Russian,EGG,яйцо,яйцо́
Russian,ANIMAL,животное,живо́тное
Russian,DOG,собака,соба́ка
Russian,BIRD,птица,пти́ца
Russian,FISH,рыба,ры́ба
Russian,SNAKE,змея,змея́
Russian,WORM,червяк,червя́к
Russian,LOUSE,вошь,вошь
Russian,BERRY,ягода,я́года
Russian,SEED,семя,се́мя
Russian,ASH,зола,зола́
Russian,ASH,пепел,пе́пел
Russian,SAND,песок,песо́к
Russian,PERSON,человек,челове́к
Russian,MAN,мужчина,мужчи́на
Russian,WOMAN,женщина,же́нщина
Russian,FATHER,отец,оте́ц
Russian,MOTHER,мать,мать
Russian,HUSBAND,муж,муж
Russian,WIFE,жена,жена́
Russian,NAME,имя,и́мя
Russian,STICK,палка,па́лка
Russian,MEAT,мясо,мя́со
Russian,FAT (ORGANIC SUBSTANCE),жир,жир
Russian,SALT,соль,соль
Russian,CLOTHES,одежда,оде́жда
Russian,PATH,тропа,тропа́
Russian,ROAD,улица,у́лица
Russian,ROAD,дорога,доро́га
Russian,FIGHT,борьба,борьба́
Russian,DAY (NOT NIGHT),день,день
Russian,NIGHT,ночь,ночь
Russian,YEAR,год,год
Russian,BIG,большой,большо́й
Russian,SMALL,маленький,ма́ленький
Russian,LONG,длинный,дли́нный
Russian,SHORT,короткий,коро́ткий
Russian,WIDE,широкий,широ́кий
Russian,NARROW,узкий,у́зкий
Russian,THICK,толстый,то́лстый
Russian,THIN (OF SHAPE OF OBJECT),тонкий,то́нкий
Russian,SMOOTH,гладкий,гла́дкий
Russian,ROUND,круглый,кру́глый
Russian,SHARP,острый,о́стрый
Russian,HEAVY,тяжелый,тяжёлый
Russian,HOT,жаркий,жа́ркий
Russian,WARM,теплый,теплый
Russian,COLD,холодный,холо́дный
Russian,WET,мокрый,мо́крый
Russian,DRY,сухой,сухо́й
Russian,FULL,полный,по́лный
Russian,FULL,наполненный,
Russian,DIRTY,грязный,гря́зный
Russian,BLACK,черный,черный
Russian,WHITE,белый,бе́лый
Russian,RED,красный,кра́сный
Russian,YELLOW,желтый,жёлтый
Russian,GREEN,зеленый,зеленый
Russian,STUPID,глупый,глу́пый
Russian,GOOD,хороший,хоро́ший
Russian,BAD,плохой,плохо́й
Russian,CORRECT (RIGHT),правильный,пра́вильный
Russian,NEW,новый,но́вый
Russian,NEAR,близкий,бли́зкий
Russian,FAR,далекий,далекий
Russian,OTHER,другой,друго́й
Russian,HERE,здесь,здесь
Russian,THERE,там,там
Russian,NOT,не,не
Russian,THIS,это,э́то
Russian,THAT,то,то
Russian,ALL,все,все
Russian,I,я,я
Russian,THOU,ты,ты
Russian,WE,мы,мы
Russian,YOU,вы,вы
Russian,THEY,они,они́
Russian,WHAT,что,что
Russian,WHO,кто,кто
Russian,WHERE,где,где
Russian,HOW,как,как
Russian,ONE,один,оди́н
Russian,TWO,два,два
Russian,THREE,три,три
Russian,FOUR,четыре,четы́ре
Russian,FIVE,пять,пять
Russian,SIX,шесть,шесть
Russian,SEVEN,семь,семь
Russian,EIGHT,восемь,во́семь
Russian,NINE,девять,де́вять
Russian,TEN,десять,де́сять
Russian,TWENTY,двадцать,два́дцать
Russian,HUNDRED,сто,сто
Russian,AND,и,и
Russian,STAND,стоять,стоя́ть
Russian,SIT,сидеть,сиде́ть
Russian,LIE (REST),лежать,лежа́ть
Russian,BLOW (OF WIND),дуть,дуть
Russian,FLOW,течь,те́чь
Russian,FALL,падать,па́дать
Russian,BURNING,гореть,горе́ть
Russian,FREEZE,замерзнуть,замерзнуть
Russian,BE ALIVE,жить,жить
Russian,BREATHE,дышать,дыша́ть
Russian,DRINK,пить,пить
Russian,EAT,есть,есть
Russian,EAT,кушать,ку́шать
Russian,SLEEP,спать,спать
Russian,DIE,умереть,умере́ть
Russian,WALK,ходить,ходи́ть
Russian,SWIM,плавать,пла́вать
Russian,FLY (MOVE THROUGH AIR),летать,лета́ть
Russian,COME,прийти,прийти́
Russian,LAUGH,смеяться,смея́ться
Russian,CRY,плакать,пла́кать
Russian,FEAR (BE AFRAID),бояться,боя́ться
Russian,SEE,видеть,ви́деть
Russian,HEAR,слышать,слы́шать
Russian,DIG,копать,копа́ть
Russian,HOLD,держать,держа́ть
Russian,PUSH,толкать,толка́ть
Russian,BITE,кусать,куса́ть
Russian,TIE,вязать,вяза́ть
Russian,RUB,тереть,тере́ть
Russian,CUT,резать,ре́зать
Russian,PULL,тянуть,тяну́ть
Russian,THROW,бросать,броса́ть
Russian,BURN (SOMETHING),сжечь,сжечь
Russian,GIVE,дать,дать
Russian,PLAY,играть,игра́ть
Russian,SING,петь,петь
Russian,DANCE,плясать,пляса́ть
Russian,DANCE,танцевать,танцева́ть
Russian,SHOOT,стрелять,стреля́ть
Russian,KILL,убить,уби́ть
Russian,HUNT,охотиться,охо́титься
Russian,COOK (SOMETHING),приготовить,пригото́вить
Russian,SEW,шить,шить
Russian,WASH,стирать,стира́ть
Russian,WIPE,вытереть,вы́тереть
Russian,SAY,сказать,сказа́ть
Russian,SPEAK,говорить,говори́ть
Russian,KNOW (SOMETHING),знать,знать
Russian,COUNT,считать,счита́ть
Belarusian,EYE,вока,во́ка
Belarusian,EAR,вуха,ву́ха
Belarusian,NOSE,нос,нос
Belarusian,MOUTH,рот,рот
Belarusian,TOOTH,зуб,зуб
Belarusian,TONGUE,язык,язы́к
Belarusian,HAIR,волас,во́лас
Belarusian,HAIR,валасы,
Belarusian,NECK,шыя,шы́я
Belarusian,NAPE (OF NECK),патыліца,паты́ліца
Belarusian,HEAD,галава,галава́
Belarusian,BACK,спіна,спі́на
Belarusian,BELLY,жывот,жыво́т
Belarusian,BREAST,грудзі,гру́дзі
Belarusian,HAND,кісць,
Belarusian,FINGERNAIL,ногаць,
Belarusian,FOOT,нага,нага́
Belarusian,KNEE,калена,кале́на
Belarusian,SKIN,скура,ску́ра
Belarusian,BLOOD,кроў,кроў
Belarusian,BONE,косць,косць
Belarusian,HEART,сэрца,сэ́рца
Belarusian,LIVER,печань,пе́чань
Belarusian,SKY,неба,не́ба
Belarusian,SUN,сонца,со́нца
Belarusian,MOON,месяц,ме́сяц
Belarusian,STAR,зорка,зо́рка
Belarusian,WIND,вецер,ве́цер
Belarusian,WATER,вада,вада́
Belarusian,ROCK,камень,ка́мень
Belarusian,EARTH (SOIL),зямля,зямля́
Belarusian,DUST,пыл,пыл
Belarusian,SMOKE (EXHAUST),дым,дым
Belarusian,FIRE,агонь,аго́нь
Belarusian,FOG,туман,тума́н
Belarusian,CLOUD,воблака,во́блака
Belarusian,RAIN (PRECIPITATION),дождж,дождж
Belarusian,SNOW,снег,снег
Belarusian,ICE,лёд,лёд
Belarusian,LAKE,возера,во́зера
Belarusian,FOREST,лес,лес
Belarusian,MOUNTAIN,гара,гара́
Belarusian,RIVER,рака,рака́
Belarusian,SEA,мора,мо́ра
Belarusian,FLOWER,кветка,кве́тка
Belarusian,GRASS,трава,трава́
Belarusian,ROOT,корань,ко́рань
Belarusian,TREE,дрэва,дрэ́ва
Belarusian,BARK,кара,кара́
Belarusian,LEAF,ліст,ліст
Belarusian,HORN (ANATOMY),рог,рог
Belarusian,FEATHER,пяро,пяро́
Belarusian,WING,крыло,крыло́
Belarusian,CLAW,кіпцюр,
Belarusian,TAIL,хвост,хвост
Belarusian,EGG,яйка,я́йка
Belarusian,ANIMAL,жывёла,жывёла
Belarusian,DOG,сабака,саба́ка
Belarusian,BIRD,птах,
Belarusian,BIRD,птушка,пту́шка
Belarusian,FISH,рыба,ры́ба
Belarusian,SNAKE,змяя,змяя́
Belarusian,WORM,чарвяк,чарвя́к
Belarusian,LOUSE,вош,вош
Belarusian,BERRY,ягада,я́гада
Belarusian,SEED,семя,се́мя
Belarusian,ASH,попел,по́пел
Belarusian,SAND,пясок,пясо́к
Belarusian,PERSON,чалавек,чалаве́к
Belarusian,MAN,мужчына,мужчы́на
Belarusian,WOMAN,жанчына,жанчы́на
Belarusian,FATHER,бацька,ба́цька
Belarusian,MOTHER,маці,ма́ці
Belarusian,HUSBAND,муж,муж
Belarusian,WIFE,жонка,жо́нка
Belarusian,NAME,імя,імя́
Belarusian,STICK,палка,па́лка
Belarusian,MEAT,мяса,мя́са
Belarusian,FAT (ORGANIC SUBSTANCE),тлушч,тлушч
Belarusian,SALT,соль,соль
Belarusian,CLOTHES,адзенне,
Belarusian,PATH,сцежка,
Belarusian,ROAD,вуліца,ву́ліца
Belarusian,FIGHT,барацьба,
Belarusian,DAY (NOT NIGHT),дзень,дзень
Belarusian,NIGHT,ноч,ноч
Belarusian,YEAR,год,год
Belarusian,BIG,вялікі,вялі́кі
Belarusian,SMALL,маленькі,мале́нькі
Belarusian,LONG,доўгі,до́ўгі
Belarusian,SHORT,кароткі,каро́ткі
Belarusian,WIDE,шырокі,шыро́кі
Belarusian,NARROW,вузкі,ву́зкі
Belarusian,THICK,тоўсты,то́ўсты
Belarusian,THIN (OF SHAPE OF OBJECT),тонкі,то́нкі
Belarusian,SMOOTH,гладкі,гла́дкі
Belarusian,ROUND,круглы,кру́глы
Belarusian,SHARP,востры,во́стры
Belarusian,HEAVY,цяжкі,цяжкі́ or ця́жкі
Belarusian,HOT,гарачы,гара́чы
Belarusian,WARM,цёплы,цёплы
Belarusian,COLD,холадны,
Belarusian,WET,мокры,мо́кры
Belarusian,DRY,сухі,сухі́
Belarusian,FULL,поўны,по́ўны
Belarusian,DIRTY,брудны,бру́дны
Belarusian,BLACK,чорны,чо́рны
Belarusian,WHITE,белы,бе́лы
Belarusian,RED,чырвоны,чырво́ны
Belarusian,YELLOW,жоўты,жо́ўты
Belarusian,GREEN,зялёны,зялёны
Belarusian,STUPID,дурны,дурны́
Belarusian,GOOD,добры,до́бры
Belarusian,BAD,кепскі,ке́пскі
Belarusian,CORRECT (RIGHT),правільны,праві́льны
Belarusian,NEW,новы,но́вы
Belarusian,NEAR,блізкі,блі́зкі
Belarusian,FAR,далёкі,далёкі
Belarusian,OTHER,іншы,і́ншы
Belarusian,OTHER,другі,
Belarusian,HERE,тут,тут
Belarusian,THERE,там,там
Belarusian,NOT,не,не
Belarusian,THIS,гэта,гэ́та
Belarusian,THAT,тое,то́е
Belarusian,ALL,усё,усё
Belarusian,I,я,я
Belarusian,THOU,ты,ты
Belarusian,WE,мы,мы
Belarusian,YOU,вы,вы
Belarusian,THEY,яны,яны́
Belarusian,WHAT,што,што
Belarusian,WHO,хто,хто
Belarusian,WHERE,дзе,дзе
Belarusian,HOW,як,як
Belarusian,ONE,адзін,адзі́н
Belarusian,TWO,два,два
Belarusian,THREE,тры,
Belarusian,FOUR,чатыры,чаты́ры
Belarusian,FIVE,пяць,
Belarusian,SIX,шесць,
Belarusian,SEVEN,сем,
Belarusian,EIGHT,восем,
Belarusian,NINE,дзевяць,
Belarusian,TEN,дзесяць,дзе́сяць
Belarusian,TWENTY,дваццаць,два́ццаць
Belarusian,HUNDRED,сто,сто
Belarusian,AND,і,і
Belarusian,AND,ды,ды
Belarusian,STAND,стаяць,стая́ць
Belarusian,SIT,сядзець,сядзе́ць
Belarusian,LIE (REST),ляжаць,ляжа́ць
Belarusian,BLOW (OF WIND),дзьмуць,дзьмуць
Belarusian,FLOW,цячы,цячы́
Belarusian,FALL,падаць,па́даць
Belarusian,BURNING,гарэць,гарэ́ць
Belarusian,FREEZE,замерзнуць,
Belarusian,BE ALIVE,жыць,жыць
Belarusian,BREATHE,дыхаць,ды́хаць
Belarusian,DRINK,піць,піць
Belarusian,EAT,есці,е́сці
Belarusian,SLEEP,спаць,спаць
Belarusian,DIE,памерці,
Belarusian,WALK,хадзіць,хадзі́ць
Belarusian,SWIM,плаваць,пла́ваць
Belarusian,FLY (MOVE THROUGH AIR),лятаць,лята́ць
Belarusian,COME,прыйсці,прыйсці́
Belarusian,LAUGH,смяяцца,смяя́цца
Belarusian,CRY,плакаць,пла́каць
Belarusian,FEAR (BE AFRAID),баяцца,бая́цца
Belarusian,SEE,бачыць,ба́чыць
Belarusian,HEAR,чуць,чуць
Belarusian,DIG,капаць,капа́ць
Belarusian,HOLD,трымаць,трыма́ць
Belarusian,PUSH,пхаць,
Belarusian,PUSH,штурхаць,шту́рхаць
Belarusian,BITE,кусаць,куса́ць
Belarusian,TIE,вязаць,вяза́ць
Belarusian,RUB,церці,це́рці
Belarusian,CUT,рэзаць,рэ́заць
Belarusian,PULL,цягнуць,цягну́ць
Belarusian,THROW,кідаць,кі́даць
Belarusian,BURN (SOMETHING),спаліць,
Belarusian,GIVE,даць,даць
Belarusian,PLAY,гуляць,гуля́ць
Belarusian,SING,пець,
Belarusian,SING,спяваць,спява́ць
Belarusian,DANCE,танцаваць,танцава́ць
Belarusian,SHOOT,страляць,страля́ць
Belarusian,KILL,забіць,забі́ць
Belarusian,HUNT,паляваць,палява́ць
Belarusian,COOK (SOMETHING),зварыць,
Belarusian,COOK (SOMETHING),згатаваць,
Belarusian,SEW,шыць,шыць
Belarusian,WASH,мыць,мыць
Belarusian,WIPE,выцерці,
Belarusian,SAY,сказаць,сказа́ць
Belarusian,SPEAK,гаварыць,гавары́ць
Belarusian,KNOW (SOMETHING),знаць,знаць
Belarusian,COUNT,лічыць,лічы́ць
Ukrainian,EYE,око,о́ко
Ukrainian,EAR,вухо,ву́хо
Ukrainian,NOSE,ніс,ніс
Ukrainian,MOUTH,рот,рот
Ukrainian,TOOTH,зуб,зуб
Ukrainian,TONGUE,язик,язи́к
Ukrainian,HAIR,волосся,воло́сся
Ukrainian,NECK,шия,ши́я
Ukrainian,NAPE (OF NECK),потилиця,поти́лиця
Ukrainian,HEAD,голова,голова́
Ukrainian,BACK,спина,спи́на
Ukrainian,BELLY,живіт,живі́т
Ukrainian,BREAST,груди,гру́ди
Ukrainian,HAND,рука,рука́
Ukrainian,FINGERNAIL,ніготь,ні́готь
Ukrainian,FOOT,нога,нога́
Ukrainian,KNEE,коліно,колі́но
Ukrainian,SKIN,шкіра,шкі́ра
Ukrainian,BLOOD,кров,кров
Ukrainian,BONE,кістка,кі́стка
Ukrainian,HEART,серце,се́рце
Ukrainian,LIVER,печінка,печі́нка
Ukrainian,SKY,небо,не́бо
Ukrainian,SUN,сонце,со́нце
Ukrainian,MOON,місяць,мі́сяць
Ukrainian,STAR,зірка,зі́рка
Ukrainian,WIND,вітер,ві́тер
Ukrainian,WATER,вода,вода́
Ukrainian,ROCK,камінь,ка́мінь
Ukrainian,EARTH (SOIL),земля,земля́
Ukrainian,DUST,пил,пил
Ukrainian,SMOKE (EXHAUST),дим,дим
Ukrainian,FIRE,вогонь,вого́нь
Ukrainian,FOG,туман,тума́н
Ukrainian,CLOUD,хмара,хма́ра
Ukrainian,RAIN (PRECIPITATION),дощ,дощ
Ukrainian,SNOW,сніг,сніг
Ukrainian,ICE,лід,лід
Ukrainian,LAKE,озеро,о́зеро
Ukrainian,FOREST,ліс,ліс
Ukrainian,MOUNTAIN,гора,гора́
Ukrainian,RIVER,річка,рі́чка
Ukrainian,SEA,море,мо́ре
Ukrainian,FLOWER,квітка,кві́тка
Ukrainian,GRASS,трава,трава́
Ukrainian,ROOT,корінь,ко́рінь
Ukrainian,TREE,дерево,де́рево
Ukrainian,BARK,кора,кора́
Ukrainian,LEAF,лист,лист
Ukrainian,HORN (ANATOMY),ріг,ріг
Ukrainian,FEATHER,перо,перо́
Ukrainian,WING,крило,крило́
Ukrainian,CLAW,кіготь,кі́готь
Ukrainian,TAIL,хвіст,хвіст
Ukrainian,EGG,яйце,яйце́
Ukrainian,ANIMAL,тварина,твари́на
Ukrainian,DOG,собака,соба́ка
Ukrainian,BIRD,птах,птах
Ukrainian,FISH,риба,ри́ба
Ukrainian,SNAKE,змія,змія́
Ukrainian,WORM,черв'як,черв'я́к
Ukrainian,LOUSE,воша,во́ша
Ukrainian,BERRY,ягода,я́года
Ukrainian,SEED,сім'я,сі́м'я
Ukrainian,ASH,зола,
Ukrainian,ASH,попіл,по́піл
Ukrainian,SAND,пісок,пісо́к
Ukrainian,PERSON,людина,люди́на
Ukrainian,MAN,чоловік,чолові́к
Ukrainian,WOMAN,жінка,жі́нка
Ukrainian,FATHER,батько,ба́тько
Ukrainian,MOTHER,мати,ма́ти
Ukrainian,WIFE,дружина,дружи́на
Ukrainian,NAME,ім'я,ім'я́
Ukrainian,STICK,палиця,па́лиця
Ukrainian,MEAT,м'ясо,м'я́со
Ukrainian,FAT (ORGANIC SUBSTANCE),жир,жир
Ukrainian,SALT,сіль,сіль
Ukrainian,CLOTHES,одяг,о́дяг
Ukrainian,CLOTHES,убрання,
Ukrainian,PATH,стежка,
Ukrainian,ROAD,вулиця,ву́лиця
Ukrainian,FIGHT,бій,
Ukrainian,FIGHT,боротьба,боротьба́
Ukrainian,DAY (NOT NIGHT),день,день
Ukrainian,NIGHT,ніч,ніч
Ukrainian,YEAR,рік,рік
Ukrainian,BIG,великий,вели́кий
Ukrainian,SMALL,малий,мали́й
Ukrainian,SMALL,маленький,мале́нький
Ukrainian,LONG,довгий,до́вгий
