Dataset	Classification	Name	Source Name	Glottolog Name	Glottocode	ISO 639-3	ISO 639-3 Name	Family	Macroarea	Latitude	Longitude	Reference	Notes
Dravidian	Dravidian, South Dravidian II	Koya	Koya	Koya	koya1251	kff	Koya	Dravidian	Eurasia	17.6772	81.2096	Kolipakam et al., (2018)	
Dravidian	Dravidian, South Dravidian II	Kuwi	Kuwi	Kuvi	kuvi1243	kxv	Kuvi	Dravidian	Eurasia	18.8832	83.7552	Kolipakam et al., (2018)	
Dravidian	Dravidian, South Dravidian II	Telugu	Telugu	Telugu	telu1262	tel	Telugu	Dravidian	Eurasia	16.4529	78.7024	Kolipakam et al., (2018)	
Hokan	Chimariko	Chimariko	Chimariko	Chimariko	chim1301	cid	Chimariko	Isolate	North America	41.0	-123.0	Zhivlov (2011)	
Hokan	Cochimi-Yuman, Yuman, Delta-Californian Yuman	Cocopa	Cocopa	Cocopa	coco1261	coc	Cocopa	Cochimi-Yuman	North America	32.376	-114.848	Zhivlov (2015)	
Hokan	Cochimi-Yuman, Yuman, Delta-Californian Yuman, Diegueño	Ipai	Mesa Grande 'Iipay	Ipai	ipai1240	dih	Kumiai	Cochimi-Yuman	North America	33.005	-116.993	Zhivlov (2015)	
Hokan	Cochimi-Yuman, Yuman, Delta-Californian Yuman, Diegueño	Tipai	Jamul Tiipay	Tipai	kumi1248	dih	Kumiai	Cochimi-Yuman	North America	32.331	-116.604	Zhivlov (2015)	
Hokan	Cochimi-Yuman, Yuman, Pai	Yavapai	Yavapai	Yavapai	yava1252	yuf	Havasupai-Walapai-Yavapai	Cochimi-Yuman	North America	35.6302	-113.385	Zhivlov (2015)	
Hokan	Cochimi-Yuman, Yuman, River Yuman	Mohave	Mojave	Mohave	moha1256	mov	Mohave	Cochimi-Yuman	North America	34.8866	-114.599	Zhivlov (2015)	
Hokan	Karok	Karok	Karuk	Karok	karo1304	kyh	Karok	Isolate	North America	41.8228	-123.315	Zhivlov (2011)	
Hokan	Pomoan	Southeastern Pomo	Southeastern Pomo	Southeastern Pomo	sout2982	pom	Southeastern Pomo	Pomoan	North America	38.9354	-122.599	Zhivlov (2013)	
Hokan	Pomoan, Russian River and Eastern	Eastern Pomo	Eastern Pomo	Eastern Pomo	east2545	peb	Eastern Pomo	Pomoan	North America	38.5647	-122.586	Zhivlov (2013)	
Hokan	Pomoan, Russian River and Eastern, Russian River	Northeastern Pomo	Northeastern Pomo	Northeastern Russian River Pomo	nort2967	pef	Northeastern Pomo	Pomoan	North America	39.2894	-122.509	Zhivlov (2013)	
Hokan	Pomoan, Russian River and Eastern, Russian River, Northern-Central Pomoan	Central Pomo	Central Pomo	Central Pomo	cent2138	poo	Central Pomo	Pomoan	North America	38.90547	-123.66393	Zhivlov (2013)	
Hokan	Pomoan, Russian River and Eastern, Russian River, Northern-Central Pomoan	Northern Pomo	Northern Pomo	Northern Pomo	nort2966	pej	Northern Pomo	Pomoan	North America	39.1084	-123.209	Zhivlov (2013)	
Hokan	Pomoan, Russian River and Eastern, Russian River, Southern Pomoan-Kashaya	Kashaya	Kashaya	Kashaya	kash1280	kju	Kashaya	Pomoan	North America	38.5424	-123.08	Zhivlov (2013)	
Hokan	Pomoan, Russian River and Eastern, Russian River, Southern Pomoan-Kashaya	Southern Pomo	Southern Pomo	Southern Pomo	sout2984	peq	Southern Pomo	Pomoan	North America	38.7643	-122.545	Zhivlov (2013)	
Hokan	Seri	Seri	Seri	Seri	seri1257	sei	Seri	Isolate	North America	28.9877	-112.384	Zhivlov (2011)	
Hokan	Shastan	Shasta	Shasta	Shasta	shas1239	sht	Shasta	Shastan	North America	41.7587	-122.738	Zhivlov (2012)	
Hokan	Tequistlatecan	Highland Chontal	Highland Chontal	Highland Oaxaca Chontal	high1242	chd	Highland Oaxaca Chontal	Tequistlatecan	North America	16.1849	-95.7301	Zhivlov (2012)	
Hokan	Yana	Central Yana	Central Yana	Central Yana	cent2137	ynn	Yana	Yana	North America	39.2769	-121.608	Zhivlov (2013)	
Hokan	Yana	Northern Yana	Northern Yana	Northern Yana	nort2963	ynn	Yana	Yana	North America	39.2769	-121.608	Zhivlov (2013)	
Hokan	Yana	Yahi	Yahi	Yahi	yahi1243	ynn	Yana	Yana	North America	39.2769	-121.608	Zhivlov (2013)	
Italic	Indo-European, Italic, Eastern Romance	Aromanian	Aromanian	Aromanian	arom1237	rup	Aromanian	Indo-European	Eurasia	40.616	21.2	Saenko (2015)	
Italic	Indo-European, Italic, Eastern Romance	Istro-Romanian	Istro Romanian	Istro Romanian	istr1245	ruo	Istro Romanian	Indo-European	Eurasia	45.433	14.2	Saenko (2015)	
Italic	Indo-European, Italic, Eastern Romance	Megleno-Romanian	Megleno Romanian	Megleno Romanian	megl1237	ruq	Megleno Romanian	Indo-European	Eurasia	41.1174	22.3782	Saenko (2015)	
Italic	Indo-European, Italic, Eastern Romance	Romanian	Romanian	Romanian	roma1327	ron	Romanian	Indo-European	Eurasia	46.3913	24.2256	Saenko (2015)	
Italic	Indo-European, Italic, Italo-Dalmatian	Dalmatian	Dalmatian	Dalmatian	dalm1243	dlm	Dalmatian	Indo-European	Eurasia	42.7095	18.0238	Saenko (2015)	
Italic	Indo-European, Italic, Italo-Dalmatian	Italian	Standard Italian	Italian	ital1282	ita	Italian	Indo-European	Eurasia	43.0464	12.6489	Saenko (2015)	
Italic	Indo-European, Italic, Italo-Dalmatian	Neapolitan	Neapolitan	Napoletano	napo1241	nap	Neapolitan	Indo-European	Eurasia	40.8518	14.2681	Saenko (2015)	
Italic	Indo-European, Italic, Italo-Dalmatian	Old Italian	Old Italian	Old Italian	fior1236	ita	Italian	Indo-European	Eurasia	43.0464	12.6489	Saenko (2015)	
Italic	Indo-European, Italic, Italo-Dalmatian	Sicilian (Catanian)	Catanian Sicilian	Eastern Nonmetafonetica	east2279	scn	Sicilian	Indo-European	Eurasia	37.5079	15.083	Saenko (2015)	
Italic	Indo-European, Italic, Italo-Dalmatian	Sicilian (Messinese)	Messinese Sicilian	Messinese	mess1247	scn	Sicilian	Indo-European	Eurasia	38.1937	15.5542	Saenko (2015)	
Italic	Indo-European, Italic, Italo-Dalmatian	Sicilian (Palermitan)	Palermitan Sicilian	Western Sicilian	west2346	scn	Sicilian	Indo-European	Eurasia	38.1157	13.3615	Saenko (2015)	
Italic	Indo-European, Italic, Italo-Dalmatian	Sicilian (Southeastern)	South-Eastern Sicilian	Southeast Metafonetica	sout2617	scn	Sicilian	Indo-European	Eurasia	37.3089	13.5858	Saenko (2015)	
Italic	Indo-European, Italic, Italo-Dalmatian	Tuscan	Grosseto Italian	Fiorentino	fior1235	ita	Italian	Indo-European	Eurasia	42.7635	11.1124	Saenko (2015)	Southern Tuscan dialect of Grosseto; Fiorentino (another Tuscan dialect) is the closest Glottolog equivalent
Italic	Indo-European, Italic, Italo-Dalmatian	Umbrian	Foligno Italian	Laziale	lazi1238	ita	Italian	Indo-European	Eurasia	42.9509	12.7015	Saenko (2015)	Umbrian dialect of Foligno, belonging to the Central Italian dialect group -- not the ancient Umbrian language; Laziale (another Central Italian dialect) is the closest Glottolog equivalent
Italic	Indo-European, Italic, Latin	Latin (Archaic)	Archaic Latin	Old Latin	oldl1238	qbb		Indo-European	Eurasia	41.901111	12.488333	Saenko (2015)	
Italic	Indo-European, Italic, Latin	Latin (Late Classical)	Late Classical Latin	Late Latin	late1252	lat	Latin	Indo-European	Eurasia	41.901111	12.488333	Saenko (2015)	
Italic	Indo-European, Italic, Southern Romance	Sardinian (Campidanese)	Campidanese	Campidanese Sardinian	camp1261	sro	Campidanese Sardinian	Indo-European	Eurasia	39.0566	9.03935	Saenko (2015)	
Italic	Indo-European, Italic, Southern Romance	Sardinian (Logudorese)	Logudorese	Logudorese Sardinian	logu1236	src	Logudorese Sardinian	Indo-European	Eurasia	40.49	9.09957	Saenko (2015)	
Italic	Indo-European, Italic, Western Romance	Asturian	Asturian	Asturian	astu1246	ast	Asturian; Leonese	Indo-European	Eurasia	42.4181	-6.02227	Saenko (2015)	
Italic	Indo-European, Italic, Western Romance	Catalan (Castelló de la Plana)	Castelló de la Plana Catalan	Valencià Meridional	vale1255	cat	Valencian	Indo-European	Eurasia	39.9864	-0.0513	Saenko (2015)	
Italic	Indo-European, Italic, Western Romance	Catalan (Central)	Central Catalan	Barceloní	nons1235	cat	Catalan	Indo-European	Eurasia	41.3851	2.1734	Saenko (2015)	Dialect of Barcelona
Italic	Indo-European, Italic, Western Romance	Catalan (Manises)	Manises Catalan	Valencià Septentrional	vale1253	cat	Valencian	Indo-European	Eurasia	39.4938	-0.4635	Saenko (2015)	
Italic	Indo-European, Italic, Western Romance	Catalan (Minorcan)	Minorcan Catalan	Menorquí	meno1253	cat	Catalan	Indo-European	Eurasia	39.9496	4.1104	Saenko (2015)	
Italic	Indo-European, Italic, Western Romance	Catalan (Northwestern)	North-Western Catalan	Català Nord-Occidental	cata1291	cat	Catalan	Indo-European	Eurasia	41.3985	0.7913	Saenko (2015)	
Italic	Indo-European, Italic, Western Romance	Catalan (Valencia)	Valencia Catalan	Valencià	vale1252	cat	Valencian	Indo-European	Eurasia	39.4699	-0.3763	Saenko (2015)	
Italic	Indo-European, Italic, Western Romance	Emiliano (Carpigiano)	Carpigiano Emiliano	Emiliano	emil1241	egl	Emilian	Indo-European	Eurasia	44.7839	11.5794	Saenko (2015)	
Italic	Indo-European, Italic, Western Romance	Emiliano (Ferrarese)	Ferrarese Emiliano	Eastern Emiliano	east2275	egl	Emilian	Indo-European	Eurasia	44.8381	11.6198	Saenko (2015)	
Italic	Indo-European, Italic, Western Romance	Emiliano (Reggiano)	Reggiano Emiliano	Central Emiliano	cent1959	egl	Emilian	Indo-European	Eurasia	44.699	10.6297	Saenko (2015)	
Italic	Indo-European, Italic, Western Romance	Franco-Provençal	Savoyard Franco-Provençal	Savoyard	savo1253	frp	Francoprovençal	Indo-European	Eurasia	45.8051	6.48152	Saenko (2015)	
Italic	Indo-European, Italic, Western Romance	French	Standard French	French	stan1290	fra	French	Indo-European	Eurasia	48.0	2.0	Saenko (2015)	
Italic	Indo-European, Italic, Western Romance	Friulian	Friulian	Friulian	friu1240	fur	Friulian	Indo-European	Eurasia	46.1473	13.0493	Saenko (2015)	
Italic	Indo-European, Italic, Western Romance	Galician	Galician	Galician	gali1258	glg	Galician	Indo-European	Eurasia	42.2446	-7.5343	Saenko (2015)	
Italic	Indo-European, Italic, Western Romance	Ladin (Fassano)	Fassano Ladin	Fassano	fass1244	lld	Ladin	Indo-European	Eurasia	46.4333	11.7	Saenko (2015)	
Italic	Indo-European, Italic, Western Romance	Ladin (Gardenese)	Gardenese Ladin	Gardenese	gard1241	lld	Ladin	Indo-European	Eurasia	46.5559	11.7028	Saenko (2015)	
Italic	Indo-European, Italic, Western Romance	Ligurian (Genoa)	Genoese Ligurian	Genoese	geno1240	lij	Ligurian	Indo-European	Eurasia	44.4056	8.9463	Saenko (2015)	Dialect of Genoa
Italic	Indo-European, Italic, Western Romance	Ligurian (Rapallo)	Rapallo Ligurian	Genoese	geno1240	lij	Ligurian	Indo-European	Eurasia	44.3498	9.2339	Saenko (2015)	Close subdialect of Genoese
Italic	Indo-European, Italic, Western Romance	Ligurian (Stella)	Stella Ligurian	Genoese	geno1240	lij	Ligurian	Indo-European	Eurasia	44.394	8.4952	Saenko (2015)	Central Ligurian (ligure centrale/centro-occidentale) dialect of Province of Savona
Italic	Indo-European, Italic, Western Romance	Lombard (Bergamo)	Bergamo Lombard	Bergamasco	berg1241	lmo	Lombard	Indo-European	Eurasia	45.6983	9.6773	Saenko (2015)	
Italic	Indo-European, Italic, Western Romance	Lombard (Plesio)	Plesio Lombard	Western Lombard	west2343	lmo	Lombard	Indo-European	Eurasia	46.0633	9.2074	Saenko (2015)	
Italic	Indo-European, Italic, Western Romance	Occitan	Provençal Occitan	Provençal	prov1235	oci	Occitan (post 1500)	Indo-European	Eurasia	44.0	6.0	Saenko (2015)	Named Occitan rather than Provençal in order to avoid confusion with Franco-Provençal
Italic	Indo-European, Italic, Western Romance	Old French	Old French	Old French (842-ca. 1400)	oldf1239	fro	Old French (842-ca. 1400)	Indo-European	Eurasia	48.8	1.11	Saenko (2015)	
Italic	Indo-European, Italic, Western Romance	Picard	Picard	Picard	pica1241	pcd	Picard	Indo-European	Eurasia	50.2831	3.25085	Saenko (2015)	
Italic	Indo-European, Italic, Western Romance	Piedmontese (Barbania)	Barbania Piemontese	Turinese	turi1245	pms	Piemontese	Indo-European	Eurasia	45.2913	7.6312	Saenko (2015)	Close subdialect of the Turinese dialect
Italic	Indo-European, Italic, Western Romance	Piedmontese (Carmagnola)	Carmagnola Piemontese	Turinese	turi1245	pms	Piemontese	Indo-European	Eurasia	44.8459	7.7174	Saenko (2015)	Close subdialect of the Turinese dialect
Italic	Indo-European, Italic, Western Romance	Piedmontese (Lanzo Torinese)	Lanzo Torinese Piemontese	Turinese	turi1245	pms	Piemontese	Indo-European	Eurasia	45.2701	7.4775	Saenko (2015)	Close subdialect of the Turinese dialect
Italic	Indo-European, Italic, Western Romance	Piedmontese (Turinese)	Turinese Piemontese	Turinese	turi1245	pms	Piemontese	Indo-European	Eurasia	45.0703	7.6869	Saenko (2015)	Close subdialect of the Turinese dialect
Italic	Indo-European, Italic, Western Romance	Piedmontese (Vercellese)	Vercellese Piemontese	Low Piemontese	lowp1238	pms	Piemontese	Indo-European	Eurasia	45.3202	8.4186	Saenko (2015)	Eastern/Low Piemontese, transitional to Lombard
Italic	Indo-European, Italic, Western Romance	Portuguese	Standard Portuguese	Portuguese	port1283	por	Portuguese	Indo-European	Eurasia	39.91	-8.1	Saenko (2015)	
Italic	Indo-European, Italic, Western Romance	Romagnol	Ravennate Romagnol	Romagnol	roma1328	rgn	Romagnol	Indo-European	Eurasia	44.2349	11.7189	Saenko (2015)	
Italic	Indo-European, Italic, Western Romance	Romansh (Grischun)	Rumantsch Grischun	Rumantsch Grischun	ruma1247	roh	Romansh	Indo-European	Eurasia	46.5538	9.92812	Saenko (2015)	
Italic	Indo-European, Italic, Western Romance	Romansh (Surmiran)	Surmiran Romansh	Surmiran-Albula	surm1243	roh	Romansh	Indo-European	Eurasia	46.7123	9.4494	Saenko (2015)	
Italic	Indo-European, Italic, Western Romance	Romansh (Sursilvan)	Sursilvan Romansh	Sursilvan	surs1244	roh	Romansh	Indo-European	Eurasia	46.6881	9.2007	Saenko (2015)	
Italic	Indo-European, Italic, Western Romance	Romansh (Vallader)	Vallader Romansh	Lower Engadine	lowe1386	roh	Romansh	Indo-European	Eurasia	46.5497	9.8959	Saenko (2015)	
Italic	Indo-European, Italic, Western Romance	Spanish	Castilian Spanish	Castilian	cast1244	spa	Spanish	Indo-European	Eurasia	41.7666	-2.479	Saenko (2015)	
Italic	Indo-European, Italic, Western Romance	Venetian (Bellunese)	Bellunese Venetian	Triestine	trie1242	vec	Venetian	Indo-European	Eurasia	46.1425	12.2167	Saenko (2015)	
Italic	Indo-European, Italic, Western Romance	Venetian (Primiero)	Primiero Venetian	Trentine	tret1239	vec	Venetian	Indo-European	Eurasia	46.1758	11.8284	Saenko (2015)	
Italic	Indo-European, Italic, Western Romance	Venetian (Venice)	Venice Venetian	Venetian Proper	vene1259	vec	Venetian	Indo-European	Eurasia	45.4408	12.3155	Saenko (2015)	
Italic	Indo-European, Italic, Western Romance	Walloon	Walloon	Walloon	wall1255	wln	Walloon	Indo-European	Eurasia	50.2235	5.14509	Saenko (2015)	
Japonic	Japonic, Japanesic	Old Japanese	OldJapanese	Old Japanese	oldj1239	ojp	Old Japanese	Japonic	Eurasia	34.683333	135.8	Lee & Hasegawa, 2011	
Japonic	Japonic, Japanesic, Eastern Japanese	Aichi	Aichi	Nagoya	nago1242			Japonic	Eurasia	35.1219442	137.081740723195	Lee & Hasegawa, 2011	
Japonic	Japonic, Japanesic, Eastern Japanese	Akita	Akita	Akita	akit1240			Japonic	Eurasia	39.6898802	140.342608	Lee & Hasegawa, 2011	
Japonic	Japonic, Japanesic, Eastern Japanese	Aomori	Aomori	Tsugaru	tsug1237			Japonic	Eurasia	40.886943	140.590121	Lee & Hasegawa, 2011	
Japonic	Japonic, Japanesic, Eastern Japanese	Chiba	Chiba	Chiba	chib1248			Japonic	Eurasia	35.609985	140.118126	Lee & Hasegawa, 2011	
Japonic	Japonic, Japanesic, Eastern Japanese	Fukushima	Fukushima	Fukushima	fuku1243			Japonic	Eurasia	37.75454	140.4592144	Lee & Hasegawa, 2011	
Japonic	Japonic, Japanesic, Eastern Japanese	Gifu	Gifu	Hida	hida1245			Japonic	Eurasia	35.7867449	137.0460777	Lee & Hasegawa, 2011	
Japonic	Japonic, Japanesic, Eastern Japanese	Gunma	Gunma	Gunma	gunm1237			Japonic	Eurasia	36.52198	139.033483	Lee & Hasegawa, 2011	
Japonic	Japonic, Japanesic, Eastern Japanese	Hokkaidō	Hokkaido	Hokkaido	hokk1243			Japonic	Eurasia	43.4519831	142.8197834	Lee & Hasegawa, 2011	
Japonic	Japonic, Japanesic, Eastern Japanese	Ibaraki	Ibaraki	Ibaraki	ibar1242			Japonic	Eurasia	36.2869536	140.4703384	Lee & Hasegawa, 2011	
Japonic	Japonic, Japanesic, Eastern Japanese	Iwate	Iwate	Kesen	kese1237			Japonic	Eurasia	39.9724169	141.2124422	Lee & Hasegawa, 2011	
Japonic	Japonic, Japanesic, Eastern Japanese	Kanagawa	Kanagawa	Kanagawa	kana1290			Japonic	Eurasia	35.4715259	139.6275201	Lee & Hasegawa, 2011	
Japonic	Japonic, Japanesic, Eastern Japanese	Miyagi	Miyagi	Sendai	send1240			Japonic	Eurasia	38.2677554	140.8691498	Lee & Hasegawa, 2011	
Japonic	Japonic, Japanesic, Eastern Japanese	Nagano	Nagano	Nagano	naga1408			Japonic	Eurasia	36.1143945	138.0319015	Lee & Hasegawa, 2011	
Japonic	Japonic, Japanesic, Eastern Japanese	Niigata	Niigata	Niigata	niig1237			Japonic	Eurasia	37.6452283	138.7669125	Lee & Hasegawa, 2011	
Japonic	Japonic, Japanesic, Eastern Japanese	Saitama	Saitama	Chichibu	chic1269			Japonic	Eurasia	35.9754168	139.4160114	Lee & Hasegawa, 2011	
Japonic	Japonic, Japanesic, Eastern Japanese	Shizuoka	Shizuoka	Shizuoka	shiz1237			Japonic	Eurasia	34.979149	138.38299	Lee & Hasegawa, 2011	
Japonic	Japonic, Japanesic, Eastern Japanese	Tochigi	Tochigi	Tochigi	toch1258			Japonic	Eurasia	36.3818177	139.733591	Lee & Hasegawa, 2011	
Japonic	Japonic, Japanesic, Eastern Japanese	Tōkyō	Tokyo	Tōkyō	toky1238			Japonic	Eurasia	35.6828387	139.7594549	Lee & Hasegawa, 2011	
Japonic	Japonic, Japanesic, Eastern Japanese	Yamagata	Yamagata	Yamagata	yama1262			Japonic	Eurasia	38.2553393	140.3400205	Lee & Hasegawa, 2011	
