Gloss	Belarusian	Bulgarian	Croatian	Czech	Latvian	Lithuanian	Polish	Russian	Slovak	Slovene	Ukrainian
APRIL_5							kfiɛʨɛɲ				kvitɛnʲ
APRIL_6	krasavik										
APRIL_7						bɐɫɐ̂nˑdʲɪs					
AREA_1	mʲasʦɔvasʦʲ	mɛstnɔst						mʲeˑstnəstʲ			miʦːɛvistʲ
AREA_2			krâːj	krajɪna					kraj~krajina		
AREA_3			prɛ̌ːdɛɔ								
AREA_4										kra˦j	
AREA_5										dɛʒe˦ːla	
AREA_6							ɔkɔliʦa				
AREA_7						ʋiətôːʋeː					
AREA_8					ɑbvidus						
AREA_9					ɑbɡɑbɑls						
ARISE_(FROM_SLEEP)_1		stana									
ARISE_(FROM_SLEEP)_2	ustaʦʲ		ǔstati	fstaːt			fstaʨ	vstaˑtʲ	fstac		wstɑtɪ
ARISE_(FROM_SLEEP)_3										ʋsta˨ːti	
ARISE_(FROM_SLEEP)_4					ʦɛltiɛ̯s	kêˑɫtʲɪs~ɐtsʲɪkêˑɫtʲɪ					
ARM_1	ruka	rɤka	rǔːka	ruka	ruɔ̯kɑ		ɾɛŋka	rukaˑ			rukɑ
ARM_2										ro˦ːka	
ARM_3							ɾamiɛ̃		ramɛnɔ		
ARM_4						rɐnkɑ̂					
ARM_5					dælms						
ARRIVE_1		pristiɡna									
ARRIVE_2			stîʨi								
ARRIVE_3										prispɛ˨ːti	
ARRIVE_4										prixa˨ːjati	
ARRIVE_5	prɨbɨʦʲ						pʂɨbɨʨ	prʲibɨˑtʲ	priːsc		prɪbutɪ
ARRIVE_6				dojiːt					dɔrazic		
ARRIVE_7						ɐtɛʲɪ̯ˑtʲɪ					
ARRIVE_8					nuɔ̯nɑːkt						
ARRIVE_9					iɛ̯rɑstiɛ̯s						
ARROW_1	strala	strɛɫa	strijɛ̌la			streːɫěː	stʂawa	strʲɪɫaˑ	strɛɫa		strʲilɑ
ARROW_2										puʃʧi˨ːʦa	
ARROW_3				ʃiːp					ʃiːp		
ARROW_4					bultɑ						
ASH_1	pɔpʲɛl	pɛpɛɫ	pɛ̂pɛɔ	popɛl			pɔpiuw	pʲeˑpʲɪɫ	pɔpɔɫ		pɔpʲil
ASH_2										pɛpɛ˨ːl	
ASH_3								zɐɫaˑ			zɔlɑ
ASH_4					pælni	pɛɫɛnɐʲɪ̯ˑ					
ASK_(INQUIRE)_1	spɨtaʦʲ	zapitam	pǐːtati	zɛptatsɛ			zapɨtaʨ		spiːtacsa		zɑpɪtɑtɪ
ASK_(INQUIRE)_2										ʋpra˨ːʃati	
ASK_(INQUIRE)_3								sprɐsʲiˑtʲ			
ASK_(INQUIRE)_4						kɫâˑʊ̯stʲɪ					
ASK_(INQUIRE)_5					jau̯tɑːt						
ASK_(REQUEST)_1		mɔʎa	mɔ̌liti								
ASK_(REQUEST)_2	prasiʦʲ			prosɪt	brɑsiːt	prɐʃîːtʲɪ	pɾɔɕiʨ	prɐsʲiˑtʲ	prɔsic	prɔsi˨ːti	prɔsɪtɪ
ASK_(REQUEST)_3					luːkt						
AT_FIRST_1		najnaprɛt	nâːjpriɛ	nɛjprvɛ~nɛjdr̝iːvɛ			najpiɛɾv		najpru̯		
AT_FIRST_2			pr̩̂ːʋɔ								
AT_FIRST_3										spə˨rʋa	
AT_FIRST_4							napʂut				
AT_FIRST_5	spʲarʂa							spʲɪrvaˑ			spɛrʂu
AT_FIRST_6	spaʈ͡ʂatku										spɔʈ͡ʂɑtku
AT_FIRST_7						pʲɪrmɑ̂					
AT_FIRST_8						ɪʃprɐdʒʲɪǔː					
AT_FIRST_9					vispˈirms						
AT_THAT_TIME_1		tɔɡava									
AT_THAT_TIME_2	tadɨ		tǎdaː				ftɛdɨ		ftɛdi		tɔdʲi
AT_THAT_TIME_3			ɔ̂ndaː								
AT_THAT_TIME_4										tɛda˦j	
AT_THAT_TIME_5										takra˦t	
AT_THAT_TIME_6				tɛɦdɪ							
AT_THAT_TIME_7				tɛŋkraːt							
AT_THAT_TIME_8							vufʈ͡ʂas				
AT_THAT_TIME_9								tɐɡdaˑ			
AT_THAT_TIME_10						ɐnuəmɛt~ɐnuəkɐrt					
AT_THAT_TIME_11					tuɔ̯rɛi̯z						
AUGUST_1		avɡust	ǎuɡust					aˑvɡust	auɡust		
AUGUST_2			kɔlɔ̌ʋɔz								
AUGUST_3										aʋɡu˨ːst	
AUGUST_4				srpɛn			ɕɛɾpiɛɲ				sɛrpɛnʲ
AUGUST_5	ʐnivʲɛnʲ										
AUGUST_6						rʊɡpjûːtʲɪs					
AUGUST_7					au̯ɡusts						
AUNT_1		lɛʎa									
AUNT_2			ûːjna								
AUNT_3			tɛ̂tka	tɛta		tɛtɑ̂		tʲotʲɪ	tɛta		
AUNT_4										te˦ːta	
AUNT_5										stri˨ːna	
AUNT_6	ʦʲɔtka						ʨɔtka		tɛtka		tʲitkɑ
AUNT_7					tɑntɛ						
AUTUMN_1	vɔsʲɛnʲ	ɛsɛn	jɛ̂sɛːn				jɛɕɛɲ	ɔˑsʲɪnʲ	jɛsɛɲ		ɔsʲinʲ
AUTUMN_2										jɛsɛ˨ːn	
AUTUMN_3				podzɪm							
AUTUMN_4					rudɛns	rʊduə					
AWAIT_1	ʈ͡ʂakaʦʲ	ɔʧakvam	ɔʧɛkǐːʋati	ʧɛkatna			ɔʈ͡ʂɛkivaʨ		ɔʧakaːvac		ʈ͡ʂɛkɑtɪ
AWAIT_2										priʧakɔʋa˨ːti	
AWAIT_3								ɐʒɨdaˑtʲ			
AWAIT_4						ɫâˑʊ̯ktʲɪ					
AWAIT_5					sɑɡai̯diːt						
A_LITTLE_1		maɫkɔ	mâlɔ								
A_LITTLE_2										ma˨ːlɔ	
A_LITTLE_3				troxu			tɾɔxɛ̃		trɔxa		trɔxɪ
A_LITTLE_4											nɛbɑɦɑtɔ
A_LITTLE_5	trɔʂki				drusku						
A_LITTLE_6								nʲɪmnɔˑɡə			
A_LITTLE_7						trʊpʊ̂tʲiː					
BACK_1		ɡrɤp									
BACK_2			lɛ̌ːʥa				plɛʦɨ				
BACK_3			xř̩bat	ɦr̝bɛt					xr̩baːt	xrbɛ˦t	
BACK_4				zaːda							
BACK_5							ɡʐbiɛt				
BACK_6	spina							spʲinaˑ			spɪnɑ
BACK_7						nʊ̂ɡɐrɐ					
BACK_8					muɡurɑ						
BACKWARD_1	nazad	nazat						nɐzaˑt	nazat		nɑzɑd
BACKWARD_2			nâtraːɡ								
BACKWARD_3										za˨ːdaj	
BACKWARD_4				spjɛt							
BACKWARD_5							fstɛʈ͡ʂ				
BACKWARD_6						ɐtbʊɫɐʲɪ̯ˑ					
BACKWARD_7					ɑdmuɡuriski						
BACK_(DIRECTION)_1		ɔbratnɔ						ɐbraˑtnə			
BACK_(DIRECTION)_2	nazad		nâzaːd							naza˨ːj	nɑzɑd
BACK_(DIRECTION)_3			nâtraːɡ								
BACK_(DIRECTION)_4				spjɛt~naspjɛt					spæc~naspæc		
BACK_(DIRECTION)_5							zpɔvɾɔtɛm				
BACK_(DIRECTION)_6						ɐtɡɐ̂ɫˑ					
BACK_(DIRECTION)_7					ɑtpɑkɑːʎ						
BAD_1		ɫɔʃ	lɔ̂ʃ								
BAD_2			ř̩ʥaʋ								
BAD_3										malɔpri˨ːdɛn	
BAD_4							zwɨ		zɫiː		
BAD_5				ʃpatniː							
BAD_6											pɔɦɑnɪj
BAD_7	kʲɛpski										kɛpsʲkɪj
BAD_8								pɫɐxɔˑj			
BAD_9						bɫǒːɡɐs					
BAD_10						prǎstɐs					
BAD_11					zlikts						
BAD LUCK_1		nɛʃtastiɛ		nɛʃcɛsciː			niɛʂʈ͡ʂɛ̃ɕʨɛ		nɛʃcasti̯e		nɛʂʈ͡ʂɑstʲɑ
BAD LUCK_2			nɛ̌srɛʨa							nɛsrɛ˨ːʧa	
BAD LUCK_3	lixa										
BAD LUCK_4	bʲadɔta							bʲɪdaˑ			
BAD LUCK_5					nɛlai̯mɛ	nɛɫâˑʲɪ̯meː					
BAD LUCK_6					ɡʎuːmɛ						
BAD LUCK_7					ɡlizmɑ						
BAG_1		ʧanta									
BAG_2	tɔrba		tɔ̌ːrba				tɔɾba				
BAG_3			tâʃka	taʃka					taʃka		
BAG_4										tɔ˨ːrba	
BAG_5										tɔbo˦ːlɛʦ	
BAG_6									kabɛɫka		
BAG_7				braʃna							
BAG_8								suˑmkə			sumkɑ
BAG_9						krɛpʃɛ̌lʲɪs					
BAG_10					suɔ̯mɑ						
BAKE_1	pʲaʈ͡ʂɨ	pɛka	pɛ̌ʨi	pɛːʦt			piɛʦ	pʲeˑʨ	pi̯eʦc		pɛktɪ
BAKE_2										ʦʋrɛ˨ːti	
BAKE_3									smaʒic		
BAKE_4					ʦɛpt	kɛ̂ptʲɪ					
BARK_1	kara	kɔra	kɔ̂ra	kuːra			kɔɾa	kɐraˑ	ku̯ora		kɔrɑ
BARK_2										lu˨ːbjɛ	
BARK_3										skɔ˨ːra	
BARK_4						ʒiəʋěː					
BARK_5					mizɑ						
BARKING_1		ɫaja	lâjati					ɫaˑjətʲ			
BARKING_2										la˨ːjati	
BARKING_3				ʃcɛkat			ʂʈ͡ʂɛkaʨ		ʃtɛkac		
BARKING_4	braxaʦʲ								brɛxac		
BARKING_5											ɦɑwkɑtɪ
BARKING_6						ɫôːtʲɪ					
BARKING_7					riɛ̯t						
BATHE_1	kupatʦa	kɤpʲasɛ	kǔːpatisɛ	koʊ̯patsɛ			kɔmpaʨɕɛ̃	kupaˑtʲsʲɪ	kuːpacsa		kupɑtɪsʲɑ
BATHE_2										kɔ˨ːpatisɛ	
BATHE_3						mâˑʊ̯dʲiːtʲɪs					
BATHE_4					pɛldeːtiɛ̯s						
BAY_1		zalif	zǎːliʋ	zaːlɪf					zaːɫiu̯	zali˨ːʋ	
BAY_2				zaːtoka			zatɔka		zaːtɔka		zɑtɔkɑ
BAY_3	buxta							buˑxtə			buxtɑ
BAY_4						ʲiːɫɐnkɐ					
BAY_5						ʊʒʊ̂tɛkʲɪs					
BAY_6					liːʦis						
BEAR_1		mɛʧka									
BEAR_2	mʲadzvʲɛdzʲ		mɛ̌dʋjɛd	mɛdvjɛt				mʲɪdvʲeˑtʲ	mɛdvɛc		
BEAR_3										me˦ːdʋɛd	
BEAR_4							niɛʥviɛʈ͡ʂ				
BEAR_5											wɛdmidʲ
BEAR_6					lɑːʦis	ɫokǐːs					
BEARD_1	barada	brada	brǎːda				bɾɔda	bərɐdaˑ	brada		bɔrɔdɑ
BEARD_2										bra˨ːda	
BEARD_3				voʊ̯sɪ							
BEARD_4					bɑːrdɑ	bɐrzdɑ̂					
BEAT_1		bija	bîti				biʨ		bic		
BEAT_2	udarɨʦʲ	udarʲa	ǔdariti	udɛr̝ɪt			udɛʐɨʨ	udaˑrʲitʲ	udri̯ec		udɑrɪtɪ
BEAT_3										te˦ːpsti	
BEAT_4										uda˨ːriti	
BEAT_5				praʃcɪt							
BEAT_6						mʊ̂ʃtʲɪ					
BEAT_7						smǒːɡtʲɪ					
BEAT_8					driɛ̯kt	trɛ̂nˑktʲɪ					
BEAT_9					sist						
BEAUTIFUL_1		xubaf									
BEAUTIFUL_2		krasif	krâːsan	kraːsniː				krɐsʲiˑvɨj	kraːsni		
BEAUTIFUL_3										lɛ˨ːp	
BEAUTIFUL_4										kra˨ːsɛn	
BEAUTIFUL_5				pjɛkniː			piɛŋknɨ		pɛkniː		
BEAUTIFUL_6							wadnɨ				
BEAUTIFUL_7											wrɔdlɪwɪj
BEAUTIFUL_8	prɨɣɔʐɨ										
BEAUTIFUL_9						ɡrɐʒʊ̂s					
BEAUTIFUL_10					dai̯ʎʃ						
BEAUTIFUL_11					skai̯sts						
BECAUSE_OF_1		zaradi	râːdi								
BECAUSE_OF_2			zbɔ̂ɡ								
BECAUSE_OF_3										zara˨ːdi	
BECAUSE_OF_4				pro					prɛ		
BECAUSE_OF_5									ɡvu̯oɫi		
BECAUSE_OF_6							zpɔvɔdu				
BECAUSE_OF_7	zza							jɨˑzzə			zːɑ
BECAUSE_OF_8											ʈ͡ʂɛrɛz
BECAUSE_OF_9						děːɫ~děːɫɛʲɪ̯ˑ					
BECAUSE_OF_10					peːʦ						
BECOME_1		bɤda									
BECOME_2	staʦʲ	stana		staːtsɛ			staʨɕɛ̃	staˑtʲ	stacsa		stɑtɪ
BECOME_3			pɔ̌stati				zɔstaʨ				
BECOME_4			ʧǐnitisɛ								
BECOME_5										pɔsta˨ːti	
BECOME_6	zrabitʦa										rɔbɪtɪsʲɑ
BECOME_7					tɑpt	tɑ̂ptʲɪs					
BECOME_8						dɐrîːtʲɪs					
BECOME_SICK_1		zabɔlɛja	ɔbɔ̌ʎɛtisɛ~razbɔ̌ʎɛtisɛ					zəbɐleˑtʲ			
BECOME_SICK_2										ɔbɔlɛ˨ːti	
BECOME_SICK_3	zaxvarɛʦʲ						zaxɔɾɔvaʨ		ɔxɔri̯ec		zɑxwɔrʲitɪ
BECOME_SICK_4				onɛmoʦɲɛt							
BECOME_SICK_5					sɑsːirkt	sʊsʲɪ̂rˑɡtʲɪ					
BED_1		lɛɡɫɔ									
BED_2		krɛvat	krɛ̌ʋɛt								
BED_3	pasʦʲɛlʲ		pɔ̌stɛʎa	postɛl			pɔɕʨɛl	pɐstʲeˑl	pɔstɛʎ		pɔstʲilʲ
BED_4										pɔ˨ːstɛla	
BED_5							wuʂkɔ		ɫu̯oʃkɔ		lʲiʐkɔ
BED_6	lɔʐak										
BED_7						ɫôːʋɐ					
BED_8						pɐtɐɫɐʲɪ̯ˑ					
BED_9					ɡultɑ						
BEFORE_1		prɛdi~prɛditɔva					pʂɛtːɛm		prɛtiːm		
BEFORE_2			prîjɛ~prîjɛtɔ̂ɡaː								
BEFORE_3										pɔprɛ˦j	
BEFORE_4				nabr̝ɛt					naprɛt		
BEFORE_5				dr̝iːvɛ							
BEFORE_6	ranʲɛj							raˑnʲʃə			rɑnʲiʂɛ
BEFORE_7						ɐnksʧʲɛʊ̯ˑ					
BEFORE_8					iɛ̯briɛ̯kʃ						
BEFORE_9					pirmstɑm						
BEGIN_1		zapɔʧna									
BEGIN_2	paʈ͡ʂaʦʲ		pɔ̌ʧɛːti								pɔʈ͡ʂɑtɪ
BEGIN_3										zaʧɛ˨ːti	
BEGIN_4				zaʧiːt			zaʈ͡ʂɔnʨ		zaʧac		
BEGIN_5								nɐʧaˑtʲ			
BEGIN_6						prɐdêːtʲɪ~prɐsʲɪdeːtʲɪ					
BEGIN_7					sɑːkt~iɛ̯sɑːkt						
BEHIND_1	za	zat	za~ǐza	za			za	zaˑ	za	za	
BEHIND_2	zːadu							pəzɐdʲiˑ			zːɑdu~pɔzɑdu
BEHIND_3						ʊ̂ʒ					
BEHIND_4					ai̯z						
BELIEVE_1		vʲarvam									
BELIEVE_2			ʋjɛ̂rɔʋati								
BELIEVE_3										ʋɛrɛ˨ːti	
BELIEVE_4	vʲɛrɨʦʲ			vjɛr̝ɪt			viɛʐɨʨ	vʲeˑrʲitʲ	vɛric		virɪtɪ
BELIEVE_5							sɔnʥiʨ				
BELIEVE_6						mɐnîːtʲɪ					
BELIEVE_7					tiʦeːt	tʲɪkêːtʲɪ					
BELLY_1		kɔrɛm									
BELLY_2			tř̩bux				bʐux				
BELLY_3										trɛ˨ːbux	
BELLY_4				br̝ɪxo					bruxɔ		
BELLY_5	ʐɨvɔt							ʒɨvɔˑt			ʐɪvit
BELLY_6						pʲɪ̂ɫˑʋɐs					
BELLY_7					væːdærs						
BELOW_OR_UNDER_1	pad	pɔt	pɔd~ispɔd	pot			pɔt	pɔˑt	pɔt	pɔd	pʲid
BELOW_OR_UNDER_2						pǒː					
BELOW_OR_UNDER_3					zɛm						
BELT_1	pɔjas	pɔjas	pâːs~pɔ̂jaːs	paːs				pɔˑjəs	paːs		pɔjɑs
BELT_2		kɔɫan									
BELT_3										pa˨ːs	
BELT_4				opasɛk			pasɛk		ɔpasɔk		
BELT_5					juɔ̯stɑ	jûəstɐ					
BELT_6						dʲɪ̂rˑʒɐs					
BEND_1		prɛɡɤna									
BEND_2			sǎʋiti								
BEND_3										upɔɡni˨ːti	
BEND_4	saɣnuʦʲ			oɦnoʊ̯t				sɐɡnuˑtʲ	ɔɦnuːc		zʲiɦnutɪ
BEND_5							zaɡiɔnʨ				
BEND_6						ɫɛ̂nˑktʲɪ~pɐɫɛ̂nˑktʲɪ					
BEND_7					liɛ̯kt						
BEND_(SOMETHING)_1		prɛɡɤna									
BEND_(SOMETHING)_2			sǎʋiti								
BEND_(SOMETHING)_3	paɣnuʦʲ		sǎɡnuti	oɦnoʊ̯t				pɐɡnuˑtʲ	ɔɦnuːc		pɔɦnutɪ
BEND_(SOMETHING)_4										zaʋi˨ːjati	
BEND_(SOMETHING)_5							zɡiɔnʨ				
BEND_(SOMETHING)_6						ɫɛ̂nˑktʲɪ~pɐɫɛ̂nˑktʲɪ					
BEND_(SOMETHING)_7					liɛ̯kt						
BENEFIT_1		pɔɫza									
BENEFIT_2		ɔbɫaɡa									
BENEFIT_3			kɔ̂riːst								kɔrɪstʲ
BENEFIT_4										pri˨ːd	
BENEFIT_5									ɔsɔx		
BENEFIT_6				uʒɪtɛk			pɔʐɨtɛk		uːʒitɔk		
BENEFIT_7	vɨɣada							vɨˑɡədə			wɪɦɔdɑ
BENEFIT_8						nɒʊ̯ˑdɑ̂					
BENEFIT_9						pɛ̂ɫˑnɐs					
BENEFIT_10					lɑbums						
BERRY_1		pɫɔt									
BERRY_2			bɔ̌ːba~bɔ̌biʦa	bobulɛ					bɔbuʎa		
BERRY_3										ja˨ːɡɔda	
BERRY_4	jaɣada						jaɡɔda	jaˑɡədə			jɑɦɔdɑ
BERRY_5					uɔ̯ɡɑ	ûəɡɐ					
BETRAY_1		izmamʲa									
BETRAY_2			prɛ̌ʋarati								
BETRAY_3										ʋa˨ːrati	
BETRAY_4										ɔɡɔlufa˨ːti	
BETRAY_5									kɫamac		
BETRAY_6				podvɛːst					pɔdvaːʣac		
BETRAY_7							ɔʂukaʨ				
BETRAY_8	zmaxlʲavaʦʲ										ʂːɑxrɑjuwɑtɪ
BETRAY_9								smɐʃɛˑnnʲiʧətʲ			
BETRAY_10						ɐpɡâˑʊ̯tʲɪ					
BETRAY_11					ɡrɑːpt~ɑpɡrɑːpt						
BETWEEN_1	miʐ~pamiʐ	mɛʒdu~pɔmɛʒdu						mʲeˑʒdu			miʐ
BETWEEN_2			mɛʥu~izmɛʥu	mɛzɪ			miɛnʣɨ		mɛʣi	mɛd~izmɛd	
BETWEEN_3					stɑrp	tɐ̂rˑp					
BE_ABLE_1		mɔɡa	mɔ̌ʨi	moʦt			muʦ	mɔˑʨ	mu̯oʦc		mɔɦtɪ
BE_ABLE_2										mo˦ːʧi	
BE_ABLE_3	umʲɛʦʲ						umiɛʨ	umʲeˑtʲ			
BE_ABLE_4						ɡɐɫêːtʲɪ					
BE_ABLE_5						pɐjêːɡtʲɪ					
BE_ABLE_6					brɑst						
BE_AFRAID_1	bajatʦa	bɔjasɛ	bɔ̌jatisɛ	baːtsɛ			baʨɕɛ̃	bɐjaˑtʲsʲɪ	baːcsa		bɔjɑtɪsʲɑ
BE_AFRAID_2		straxuvamsɛ									
BE_AFRAID_3										ba˨ːtisɛ	
BE_AFRAID_4						bʲɪjôːtʲɪ					
BE_AFRAID_5						bâˑʲɪ̯mʲɪntʲɪs					
BE_AFRAID_6					biːtiɛ̯s~bai̯diːtiɛ̯s						
BE_ALIVE_1		ʒivɛja	ʒǐːʋjɛti								
BE_ALIVE_2										ʒiʋɛ˨ːti	
BE_ALIVE_3	ʐɨʦʲ			ʒiːt			ʐɨʨ	ʒɨˑtʲ	ʒic		ʐɪtɪ
BE_ALIVE_4						ɡʲiːʋêˑntʲɪ					
BE_ALIVE_5					ʣiːvuɔ̯t						
BE_ANNOYED_1		jadɔsamsɛ									
BE_ANNOYED_2			ʎǔːtitisɛ								
BE_ANNOYED_3										jɛzi˨ːtisɛ	
