Gloss	Anuta	Austral (Ra'ivavae)	Austral (Rurutuan)	East Futuna	Emae	Futuna-Aniwa	Hawaiian	Kapingamarangi	Luangiua	Mangareva	Maori	Mele-Fila	Niuean	North Marquesan	Nukuria	Penrhyn	Pukapuka	RakahangaManihiki	Rapanui	Rarotongan	RennellBellona	Samoan	Sikaiana	Tahitian	Tikopia	Tongan	Tuamotuan	Tuvalu	Vaeakau-Taumako	Wallisian
BREAST_4					mumu																									
BREAST_5										kuperu																				
BREAST_6														kiʔinene																
BREAST_7															hatahata														hatahata	
BREAST_8																	aloalo	alo												
BREATHE_1	maanava			maanava	manaβa	manava		manawa	maanava				manava	menava	maanava			maanava			manaba	maanava	maanava		maanava	maanava	manava		manava	maanava
BREATHE_2		hutiteaho	ʔutiiteaʔo																					hutiiteaho						
BREATHE_3				ɡaʔeɡaʔesaa													akaea	hakaea										ɡaeɡae		ɡaʔaɡaʔa
BREATHE_4							hanu			ʔau				ha					haa											
BREATHE_5							aho																							
BREATHE_6								toki																						
BREATHE_7											fakahaa																			
BREATHE_8												maro																mapu		
BREATHE_9																				ŋaa							ŋaa			
BURN_1	tutu	tutuʔi						dudu		tutu				tutu			tutu	tutu	tutu	tutuŋi	tutu		tutu	tutuʔi	tutu	tutu				tutu
BURN_2	tuŋia				tuŋia	tuŋia	kuni	tuŋi	kuŋi			tuŋia	tuŋi		ttuni						tuuŋia		tuunia				tuŋi	tuɡia		
BURN_3	tapu									taʔu	tahu		tafu			tahu				taʔu		tafu			tafu		tahu	tafu		
BURN_4			ʔaʔaʔama											hakauʔa																
BURN_5				susunu																		susunu								
BURN_6							ʔaa			kaʔa								kaa											khaa	
BURN_7																						mu								
BURN_8																													ula	
BUY_1	taui												taui		taauvi						tauʔi								tauia	
BUY_2			ʔoʔomai							ʔoko	hoko			hoʔo		hoko	oko		hoʔo	ʔoko				hoʔomai			hoko			
BUY_3				totoɡi																		tautotoŋi								
BUY_4				fakatau																		faʔataumai				fakatau		fakataumai		
BUY_5						takamata																						tata		
BUY_6							kuuʔai																							
BUY_7								hui	sui														sui							
BUY_8																			mono											
CHEW_1	kamu			ɡau									ɡau															ɡau	kamu	
CHEW_2		ʔaʔamaɢu	ʔauʔau																					ʔauʔau						
CHEW_3						mama	mama			ʔamama					maamaaːma				mama			mama	maamaaːma			mama		mama		mama
CHEW_4						maia																							maia	
CHEW_5								ŋuŋu~ŋau	ŋamuŋamu						nau	ŋau	ŋauŋau	ŋauŋau			ŋau				ŋau		ŋau			
CHEW_6											katikati																			
CHEW_7																				ʔia										
CHEW_8																						lamu				lamu		lamu		lamu
CHEW_9																												ɡuɡu		
CHILD_1	tamati	tamaɢiʔi	tamariʔi	tamaliki~tama	tamatiti	tama		damalliɡi~tama	kamaliʔi		tamaiti	tama	tamaikiiki	tama	tama	tamariki	tamaliki~tamaiti	tamaiti		tamaiti~tamariki~tama	tamaʔitiʔiti~tamaɡiki~tama	tamaitiiti	tamaliki	tamariʔi	tamariki	tamasiʔi	tamaariki~tama	tamaliki~tama		tamasiʔi~tamaliki
CHILD_2			maʔuru																											
CHILD_3							keiki																							
CHILD_4										toromiki																				
CHILD_5																			poki											
CHILD_6																													memea	
CHOOSE_1		peɢeɢau																												
CHOOSE_2			maʔiti																					maʔiti						
CHOOSE_3				fili				hili	hili		firi		fifili			hiri	wili			ʔiri		filifili	hili		firi	fili		fili	hilihilia	fili
CHOOSE_4						tusia																								
CHOOSE_5							wae							vae					vae											
CHOOSE_6							koho																				koikoi			
CHOOSE_7															hiko						hiɡi									
CHOOSE_8																	kimi													
CLIMB_1	kake			kake					ʔaʔe						kake	kake	kake			kakeaʔiana	kake	aʔe	kake		kake	kaka	kake	kake	kake	kake
CLIMB_2		piʔi	piʔi				piʔi			piki	piki							piki				piʔi								
CLIMB_3						fiʃi		hiti						hiti																
CLIMB_4						kʰava																								
CLIMB_5																	wiwitikiluŋa													
CLIMB_6																			eke											
CLIMB_7																								taʔuma						
CLOUD_1	ao			ʔao			ao			ao				ao				ao		tiao	ʔao	ao			ao	ʔao	ao			ʔao
CLOUD_2		ata	ata																					ata						
CLOUD_3					ᵐboroa	boa																								
CLOUD_4								kororaŋi																						
CLOUD_5									puulehu														lehuna							
CLOUD_6											kapua						kaapuao	kapua												
CLOUD_7												taeteraŋi								tumuraŋi										
CLOUD_8													laɡi						raɡi											
CLOUD_9															kaniva															
CLOUD_10																oo														
CLOUD_11																		kaikaiŋa										kaumana		
CLOUD_12																			kohu											
CLOUD_13																											titi			
CLOUD_14																													meluao	
COLD_1	makariri			makalili	makariri	makaliɡi		makariri	maalili	makariri	makariri	makariri	makalili	kamariri~makarere	makariri	makariri	makalili	makalili			makaɡiɡi	maʔalili	makalili		makariri		makariri	makalili	maliki	makalili
COLD_2		haumaaɢuaːɢu																												
COLD_3			toʔetoʔe															toketoke	takeo	anutoketoke				toʔetoʔe			toketoke			
COLD_4				momoko																						momoko				
COLD_5							anu			anu				anu		anu	ano			anu							anu			
COLD_6																						maluuluuːlu						maaluaːluluaːluːlu		
COME_1	au			ʔau						aʔu			aua				jau				aʔu	sau			au	haʔu		hau	au	aʔu
COME_2		haeɢemai	ʔaeremai~ʔanomai						haamai		haeremai			heʔemai				hanomai~haeremai					halemai	haeremai						
COME_3					numai	ʰmai	mai								oomai		lolomai	naumai~taumai~romai				oomai				oomai	mai	mai		
COME_4								hani																						
COME_5												fenmai																		
COME_6														tihe					tuʔu											
COME_7																		aro												
COME_8																				taataaːtaʔi										
COOK (SOMETHING)_1	tao		tau	taʔo		tao		daa	kao		tao		tao	tao	tao	too	tao	too		tao	taʔo	tao	tao		tao		tao			taʔo
COOK (SOMETHING)_2		tunu	tunu			tʰunu				tunu				nunu			tunupaani	tunu	tunu					tunu		feitunu		tunu	tunaa	
COOK (SOMETHING)_3				saka											hakarere															haka
COOK (SOMETHING)_4					moso							moa																		
COOK (SOMETHING)_5						kʰavi																								
COOK (SOMETHING)_6							hoʔomoʔa																							
COOK (SOMETHING)_7															kuki															
COOK (SOMETHING)_8																								ʔeu						
COOK (SOMETHING)_9																										feimeʔakai				
CORRECT (RIGHT)_1	tonu		tano	tonu		tonu		donu	koŋu				tonu		tonu		tautonu	tano			tonu	amiotonu	tonu	tano	tonu	tonu		munatonu	tʰonu	tonu
CORRECT (RIGHT)_2		mau	paraumau							mau																				
CORRECT (RIGHT)_3			ʔaafaro																					ʔaafaro						
CORRECT (RIGHT)_4					sumarie	nomari						marie																	maoli	
CORRECT (RIGHT)_5							ʔoiaaʔiʔo																							
CORRECT (RIGHT)_6										tika	tika		tika			tika	tika	tika	titika	tika							tika			
CORRECT (RIGHT)_7														toitoi																
CORRECT (RIGHT)_8														meahei																
CORRECT (RIGHT)_9																	jako					saʔo								
COUNT_1	rau			lau																					rau	laua		lau		lau
COUNT_2		taiʔo	taiʔo																					taiʔo						
COUNT_3					taua	tau		dau			tatau	tao	totou	tau		tau	tatau	tatauaŋa	tataku	tatau	tau	faitau			tau			tau		
COUNT_4							helu																							
COUNT_5									pau						ppau								pau						phaua	
COUNT_6										touʔara																				
COUNT_7																	wakalau													
COUNT_8																		taale		taareaːre										
CRY_1	taŋi			taɡi	taŋi	taɡi	kani	daŋi	kaŋi		taŋi		taɡi	tani	tani	taŋi	tataŋi	tataŋi	taŋi	taŋi	taŋi	taŋi	tani	taʔi	taŋi	taŋi	taŋi	taɡi	taŋi	taɡi
CRY_2		heva	ʔeva																											
CRY_3							uwee																							
CRY_4										koa		ka																		
CRY_5														ue																
CUT OR HACK_1	motu					motu	moku												motu	motu	motu								motia	
CUT OR HACK_2		taputeɢaʔau																												
CUT OR HACK_3			taapuaːpu																					taapuaːpu						
CUT OR HACK_4				tuʔuti				tuu							ttuu										tuu					tuʔu
CUT OR HACK_5				talai				dalai		tarai	taa		talai	taʔai		tarai			tarai	tarai										
CUT OR HACK_6				sele		sere		hele	sele				hele						hore		seɡe	sele	sele		sere				elea	hele
CUT OR HACK_7				koti			ʔoki		ʔoki				kokoti	kokoti			koti			kootia	koti				kokoti		kokoti	kati		
CUT OR HACK_8				kamu																		faʔamutu								kamu
CUT OR HACK_9				isi									iihi	ʔihi													ihi			ihi
CUT OR HACK_10				vasi					vahi										avahi											fahi
CUT OR HACK_11					teia							teia																		
CUT OR HACK_12						saua																								
CUT OR HACK_13										ʔakakiukiu																				
CUT OR HACK_14																	jemu													
CUT OR HACK_15																										totofi				
DAY (NOT NIGHT)_1	ao		ao	ʔaso	aso	ao			aho	ao	ao		aho	ao	ao	ao	ao			ao	ʔaso	ao	aso	ao	aso	ʔaho	ao	ao		ʔaho
DAY (NOT NIGHT)_2		mahana	maʔana																											
DAY (NOT NIGHT)_3							laa	laa			raa	rea			raa			raa	raa			laa								
DAY (NOT NIGHT)_4								raani																					laŋi	
DAY (NOT NIGHT)_5								a																						
DAY (NOT NIGHT)_6														oatea				avatea												
DAY (NOT NIGHT)_7															maarama															
DIG_1	kenu			kenu																								kenu		
DIG_2	keri				keria	keri	ʔeli	ɡeli	ʔeli	keri	keri	keria	keli	keʔi	keri	keri		keru	keri	keri	keɡi	ʔeli	keli	ʔeru	keri	keli	keri	koli	kelia	keli
DIG_3		ʔoo																				ʔoso								
DIG_4			paʔi~ʔiri																											
DIG_5										pokopoko																				
DIG_6																	tolo													
DIG_7																			kakaro											
DIG_8																														hue
DIRTY_1	parapara			palapala									palapala	paʔapaʔa				parapara			paɡapaɡa								pelapela	palapala
DIRTY_2		ɢepo	repo				lepo										lepo	lepo		repo				repo						
DIRTY_3					uri	uriuri																				ʔuli				
DIRTY_4						paku				paneu	paru	paku					pakuoŋea												paku	
DIRTY_5								tokoria																						
DIRTY_6									sava					hava		sava			hava	ʔavaʔava			sava				hava			
DIRTY_7													pilo				palanui						pela					pala		
DIRTY_8															kerekere							ʔeleʔelea			kere			kelekelea		
DIRTY_9																			one											
DIRTY_10																														liko
DOG_1	korii	ʔuɢi	ʔuuriuːri	kulii	kuri	kuli				kurii	kurii	kori	kulii	kuʔi		kurii	kulii	kurii	kuri	kurii	kuɡi	ʔulii	kulii	ʔurii	kuri	kulii	kurio	kulii	kulii	kulii
DOG_2							ʔiilio																							
DOG_3								pana																						
DOG_4									poi																					
DOG_5														nuhe																
DOG_6															manukaitama															
DOG_7																	puakaoa													
DOG_8																			paiheɡa											
DOG_9																						maile								
DREAM (SOMETHING)_1	miti			moemiti		miʃi		midi	miki				miti				moemiti~miti				miti	miti			miti	misi		moemiti	mihi	misi
DREAM (SOMETHING)_2		moemoeaa	moemoeaa				moemoeaa			moemoea	moemoeaa			moemoea	moe	moemoeaa		moemoeaa~rikamoe	moe	moemoeaa				moemoeaa			moemoeaa			
DREAM (SOMETHING)_3			ʔaʔaʔeimoe																											
DREAM (SOMETHING)_4							moeʔuhane																							
DREAM (SOMETHING)_5																								taʔotoʔotoaa						
DRINK_1	inu	inu	unu	inu	βinu	inu	inu	inu	uŋu	inu	inu	unu	inu	inu	inu	inu	inu	inu	unu	inu		inu	unu	inu	inu	inu	inu	inu	inumia	inu
DRINK_2																					mia									
DRY_1	pakupaku								paupaʔu				pakaka	pakaka	pakupaku		wakapakapaka		pakapaka			paʔupaʔu~paʔaʔa								
DRY_2		maɢo	maroo	maloo	maro		maloʔo	maŋo		maro	maroke			moʔo				maroo		maroo	maɡoo	maŋo		maroo	maroo		maroo		maŋoa	malo
DRY_3				masa		masa							maha			masa					maamala		masa		masa					maha
DRY_4						matu						matu																	matʰuː	
DRY_5																	omoi									moomoa				
DRY_6																												tauaki		
DUST_1	kokopu																													
DUST_2			ʔuʔaʔuʔa																					huʔahuaa						
DUST_3				efu	refu					eʔu			efu		rehu		lewu					pefu	lehu		refu	efu		paefu	ehu	efu
DUST_4						baku																								
DUST_5							ʔeʔa~ʔehu																							
DUST_6								bopobo																						
DUST_7									puŋaehu	puʔeu	puehu		puefu			puuehu		puehu	puɡaehu	puʔeu				repopuehu			puuehu			
DUST_8												motamota																		
DUST_9														ʔepo							ɣebu									
DUST_10																			ɡarahu											
DUST_11																			huɡa											
EAR_1	tariŋa	taɢiʔa	tariʔa	taliɡa	tariŋa	tariŋa		daliŋa	kaliŋa	tariŋa	tariŋa	teriŋa	teliŋa		kautarina	tariŋa	taliŋa	tariŋa	tariɡa	tariŋa	taɡiŋa	taliŋa	talina	tariʔa	tariŋa	teliŋa	tariŋa	taliɡa	taliŋa	taliɡa
EAR_2							pepeiao																							
EAR_3														pua																
EARTH (SOIL)_1	kerekere			kele	kere	kere		ɡele	ʔele		kere	kere	kele		kerekere		kelekele				keɡe		kele		kere	kelekele		kele		kele
EARTH (SOIL)_2		ɢepo	repo				lepo			repo	repo			ʔepo		repo			repo	repo				repo			repo			
EARTH (SOIL)_3							honua																							
EARTH (SOIL)_4											oneone								one										tuaone	
EARTH (SOIL)_5																	palapala													
EARTH (SOIL)_6																						lalolaŋi								
EARTH (SOIL)_7																													pela	
EAT_1	kai		ʔai	kai	kaikai	keina	ʔai	ɡai	ʔai	kai	kai	kai	kai	ʔai	kai	kai	kaikai	kaikai	kai	kaiŋa	kai	ʔai	kai		kai	kai	kai	kai	kai	kai
EAT_2		ʔamu																						ʔamu						
EAT_3				omaki																										ʔomaki
EAT_4					foro																									
EAT_5																	tamitami													
EGG_1	puai		ʔua	fua			hua		hua						hua	hua				ua	hua							fua		
EGG_2		hueɢo																						huero						
EGG_3				niuniu																										
EGG_4					fuamoa												wuamoa					fuaamoa								
EGG_5						vahvaka																								
EGG_6								ŋoko																						
EGG_7										maamarimoa				mamaʔi					maamari				tamamoa							
EGG_8											huamanu															foʔimanu				
EGG_9											heeki																		hatukio	
EGG_10												atolu																		
EGG_11																			toua								toouo			
EGG_12																									fuei					
EIGHT_1	varu	vaɢu	vaʔu	valu	βaru	varu	walu	walu	valu	varu	waru	βaru	valu	vaʔu	varu	varu	valu		vaʔu	varu	baŋɡu	valu	valu	vaʔu	varu	valu	varu	valu	valu	valu
EYE_1	mata	mata	mata	mata	mata	mata	maka	mata	maka	mata	mata	mata	mata	mata	kanamata	mata	mata	mata	mata	mata	mata	mata		mata	mata	mata	mata	mata	mata	mata
EYE_2														korohi																
EYE_3																		kanohi		kanoʔi										
EYE_4																							kale							
FALL_1	remo																												emo	
FALL_2		topa	topa	too	to					topa				topa			too	topa	topa	topa	too	too		topa		too	topa	too		
FALL_3			marua																											
FALL_4				siɡa				hiŋa	siŋa					hina		siŋa			hiɡa	ʔiŋa			sina		siŋa		hiŋa			hiɡa
FALL_5				malele						marere	makere			mekeʔe						marere							marere~makiri			malele
FALL_6						takaifo																								
FALL_7							haaʔule																							
FALL_8												melu																	meu	
FALL_9													mokulu	mokuʔu			makulu			makuru										mokulu
FALL_10														huutehenua																
FALL_11														viʔi																
FALL_12															heke															
FALL_13																	jiijiŋa													
FALL_14																	paŋulu													
FALL_15																						paʔuu								
FAR_1	mamao			taumamaʔo~mamaʔo			mamao		mao	mamaʔo		imao	mamao	memaʔo	mmao	momoo	mamao	momoo		mamao	mamaʔo	mamao	mmao		mao	mamaʔo	taumamao	mamao	mao	taumamaʔo~mamaʔo
FAR_2			aatea																					aatea						
FAR_3					iᵐbua	pʰai																								
FAR_4								mokoa																						
FAR_5											tafiti																			
FAR_6																		hakarere												
FAR_7																			kumi											
FASTEN_1	nonoo								ŋoa									nonoa			noʔa	noa			noa	nonoʔo				
FASTEN_2	pau							hau	hau						hau						haʔu		hau		fau		hau			
FASTEN_3		taaʔamu																						taʔamu						
FASTEN_4			purei																											
FASTEN_5				liiliiːli		riʃia				rii			lilii					lii		rii					rii		rii	lii		lii
FASTEN_6					salia							laia																		
FASTEN_7							hiikiʔi							hitiki		hiitiki				ʔiitikia							hiitiki			
FASTEN_8									ɡii																					
FASTEN_9										ʔakaokoŋa																				
FASTEN_10										nati				nani		nati		nati		natia~na	nati									
FASTEN_11											herehere						jele	hele												
FASTEN_12															taka			taapeka		taapeka										
FASTEN_13															hakamau															
FASTEN_14															haihai				hahaʔu										hihia	
FASTEN_15																				ʔia										
FAT (ORGANIC SUBSTANCE)_1	momona						momona								moomona							momona								
FAT (ORGANIC SUBSTANCE)_2		poɢia																												
FAT (ORGANIC SUBSTANCE)_3			miʔi																					miʔi						
FAT (ORGANIC SUBSTANCE)_4				ɡako	ŋako	ŋako					ŋako		ɡako				ŋako		nako	ŋako	ŋako	ŋaʔo				ŋako		ɡako		
FAT (ORGANIC SUBSTANCE)_5								kiris																						
FAT (ORGANIC SUBSTANCE)_6									sunu	hinu			huni	hinuʔama		sunu				ʔinu		suni	sinu		sinu		hinu			huni
FAT (ORGANIC SUBSTANCE)_7										matatere																				
FAT (ORGANIC SUBSTANCE)_8												kanainai																		
FAT (ORGANIC SUBSTANCE)_9														kerehi																
FAT (ORGANIC SUBSTANCE)_10																	tooŋaoːŋaua													
FAT (ORGANIC SUBSTANCE)_11																	matuu													
FAT (ORGANIC SUBSTANCE)_12																													utouto	
FATHER_1	tama			tama	taman	tama		dama	kama						tamana						tama	tamaa	tamana		tama	tamai				tamai
FATHER_2		metuataane	metuataane				makuakaane				matua		matuataane	motua			matuataane	maatua	matuʔa	metua				metuataane			metuataane			
FATHER_3			paapaaːpa													paa		paapaaːpa		paapaaːpa				paapaaːpa						
FATHER_4										tinana																				
FATHER_5												mamau																		
FATHER_6																			koro											
FATHER_7																													mha	
FEAR (BE AFRAID)_1	mataku		mataʔu	mataku	mataku	mataku	makaʔu	madaɡu	makaʔu	mataku	mataku	mataku	mataku	haʔametaʔu	mataku	mataku	maatataku	maatataku	mataku	mataku	mataku	mataʔu	mataku		mataku		mataku	mataku	matʰaku	mataku
FEAR (BE AFRAID)_2		ɢiaɢia	riʔariʔa																riaria					riʔariʔa						
FEAR (BE AFRAID)_3			meʔameʔa																											
FEAR (BE AFRAID)_4				ʔii																										
FEAR (BE AFRAID)_5																				iʔi										
FEAR (BE AFRAID)_6																						fefe								
FEAR (BE AFRAID)_7																										manavahee				
FEATHER_1	puru		ʔuruʔuru	fulu		furu	hulu	ŋahuru		ʔuru						huru	wulu	huruhuru	huruhuru	ʔuruʔuru		fulu		huruhuru	furu	fulufulu	huru	fulu	hulu	
FEATHER_2		huɢuhuɢumanu									hurumanu			huʔumanu																
FEATHER_3					ᵐbala				palaa				palaa		paraa						pala		palaa							palaa
FEATHER_4												wero																		
