Gloss	Cahuilla	Central Tarahumara	Chemehuevi	Classical Nahuatl	Comanche	Cupeño	El Nayar Cora	Eudeve	Highland Puebla Nahuatl	Hopi	Huarijío	Huichol	Kawaiisu	Luiseño	Mayo	Mono	Northern Paiute	Northern Tepehuan	Panamint	Pima Bajo	Pipil	Pochutec	Serrano	Shoshoni	Southeastern Tepehuan	Southern Paiute	Teguima	Tetelcingo Nahuatl	Tohono O'odham	Tongva	Tubar	Tübatulabal	Ute	Yaqui
BREAST_1	pily		pihi			pi				piihɨ			pihivɨ	pit									piʔ							pin		piːl	piipɨ	
BREAST_2		kaso										ʦicu																						
BREAST_3				ʧiʧiwalli					ʧiʧiwaːl												ʧiʧihwal							ʧiʧiːwal						
BREAST_4					pici											piciʔ	piciʔi~pica		pici					pici		piːci								
BREAST_5							ʦiʔime																											
BREAST_6								viːt							pipːim			vipːi		vipi					βipiː				wipi					pipːim
BREAST_7											piʔwa																							
BREAST_8																									tor									
BREAST_9																															wimur			
BURN (SOMETHING)_1	naʔ		naʔi										neʔe	naʔ			nai̯̯~naʔi									naʔai̯̯n							naʔai̯̯	
BURN (SOMETHING)_2	kina					kiʔni																												
BURN (SOMETHING)_3		raha						tahan			tahai̯̯																				taha			
BURN (SOMETHING)_4		i																																
BURN (SOMETHING)_5			kucikːi																							kuʦːɨa								
BURN (SOMETHING)_6				t͡ɬat͡ɬa			taː					ta~tai̯̯									tati~tatia	tati					tʰa	bt͡ɬatɪa			tasa			
BURN (SOMETHING)_7					weha														wai̯̯ja					wai̯̯hja										
BURN (SOMETHING)_8									toːneːwi																									
BURN (SOMETHING)_9										ɨwi																								
BURN (SOMETHING)_10														ʧujai̯																				
BURN (SOMETHING)_11															beete																			beete
BURN (SOMETHING)_12																pita												ʃut͡ɬa						
BURN (SOMETHING)_13																		mui̯̯		mɨhɨ					mɨi̯̯m				mɨhi					
BURN (SOMETHING)_14																							huʔai̯̯											
BURN (SOMETHING)_15																														vireːk				
BURN (SOMETHING)_16																																ʦama~anʒama		
CLAW_1	salul					ʂulʔa								ʂulat																		ʃulunt		
CLAW_2		sutu			sito		sɨtʲe	sutut	sti		suhtu	zate~zɨte				situ	sasito		masitu					sitoːn		ʃɨcu	xutu~sutu	ste						sutu
CLAW_3			tasicoʔo										taʃtoʔobi																					
CLAW_4				isteːt͡ɬ														jutud			istit													
CLAW_5										soki																								
CLAW_6															sutukoʧoʔo																			
CLAW_7																				hutː~huht					jut				huːʧ					
CLAW_8																							waʈ͡ʂ											
CLAW_9																														esʧut				
CLAW_10																														ʧur				
CLAW_11																															alapor			
CLAW_12																																	wəkːuci	
CLOUD_1	wewniʃ																																	
CLOUD_2		nori																																
CLOUD_3			pakɨnapɨ										kɨnavi						pakɨnapːɨh					pakɨnapːɨh		pakɨnapɨ								
CLOUD_4				miʃt͡ɬi				mosit	miʃti												mistil							meʃt͡ɬ			mosit			
CLOUD_5					tomːoakatːɨ						tomoari																							
CLOUD_6						temin																												
CLOUD_7							ai̯̯tɨri					hai̯̯witɨri																						
CLOUD_8										oomawɨ																								
CLOUD_9														tuviiʃ																				
CLOUD_10															naːmu																			naamu~naamuːk
CLOUD_11																toø																		
CLOUD_12																	kumi																	
CLOUD_13																		jicome																
CLOUD_14																				tɨvaːɡ					tɨbaːʔ				ʧɨwaɡi					
CLOUD_15																							woːŋt											
CLOUD_16																											ryruɡæi							
CLOUD_17																														akʷaːkin				
CLOUD_18																																paːʃuːmist		
CLOUD_19																																	uwatːipːɨ	
COLD_1	jui̯̯ma					jui̯̯																												
COLD_2		rula									tula																							
COLD_3			sɨjaʔi																														sijaʔi	
COLD_4			sɨtːuʔi										situʔwidɨ																					
COLD_5				ictik																								ictiːk						
COLD_6					ɨi̯̯cɨʔi											ɨcɨʔɨ	ɨcɨʦːɨ		ɨi̯̯cɨi̯̯				ɨcɨ	ɨi̯̯cɨʔi										
COLD_7							kɨmwahraraʔa																											
COLD_8								uteen																			utːe							
COLD_9									seseːk	sɨːsɨŋwa											sesek													
COLD_10												haɨ̯̯tɨze																						
COLD_11														pituptuʃ																				
COLD_12															sebːe															ʂuvoʔ	seve			sebe~seebe
COLD_13																		jupidi																
COLD_14																				shɨːp									shɨːpid					
COLD_15																									xɨp							ʃɨːbt~ɨʃɨi̯̯p		
COLD_16																										ʃɨppɨta								
COME_1	nek					nɨqɨ	nʲe					nu̯a																						
COME_2		nolina																																
COME_3			pipːicɨ										pidɨ													piʧɨ							pici	
COME_4				waːllau̯̯~waːlːaː					waːlaː												waːlaːh	wala						wøla						
COME_5				wiːʧ					wiːcawiʦ~wiːʧa												wiʦ~wiːʧ	wiʧ						ibiʦ~biʧ						
COME_6					kimːa											kimːa	kimːa		kimːa				kimai̯̯	kimːa						kimaː	komu	kim~iŋɡim		
COME_7								hueren																							hase			
COME_8										peewiʔ																								
COME_9											ena																vena							
COME_10														haqwaaʧi																				
COME_11															aʔabowei̯je																			
COME_12																		duduvia		divia									jiwia					
COME_13																				abhim					bʱajim				abhim					
COME_14																				dada									dada					
COME_15																															heko			
COME_16																																		kaate
DIE_1	muk	muku		miki			mɨʔɨ	mucuni	miki		muɡui̯	mɨ		mokan	muːke					muːk	miki				mukiaʔ		myʦ	miːkiː	muːk			muːɡ		muuke~muke
DIE_2			jaʔikːwaʔi														jai̯~jaʔi									jaʔai̯̯							jaʔai̯̯	
DIE_3					tɨjai̯̯														tiai̯̯					tiai̯̯										
DIE_4						qaawɨ																												
DIE_5										mook																								
DIE_6													ʔanaːʔikʷeː																					
DIE_7													tupakikʷeː																					
DIE_8													juweʔekʷeː																					
DIE_9																etaː																		
DIE_10																		mu̯anta																
DIE_11																		mumuke					mɨmɨʔq											
DIE_12																														mojoːk				
DIE_13																															hoː~huː			
DIRTY_1	seljaxama																																	
DIRTY_2		suɡu																								sucio								
DIRTY_3			tuca		tuːcaː~tuʦːai̯̯											toʦabi	tuʦːaː		tuʦːai̯̯~tuːʦːaːpːɨh					tuːʦːaːpːɨh										
DIRTY_4				kacaːwak						iceheʔe																								
DIRTY_5						silyɲinɨ																												
DIRTY_6							ʧu̯aːmwa																											
DIRTY_7								isnariteri																										
DIRTY_8											ohcorewae̯me																							
DIRTY_9													tocaːɡadɨ																					oʧoko
DIRTY_10														kʷilali																				
DIRTY_11															ʧiʔiʧa																			
DIRTY_12																		duburi			ʦil													
DIRTY_13																				sivaɡui̯̯di														
DIRTY_14																							coːqav											
DIRTY_15																									ikoraʔ	barːo								
DIRTY_16																										ti̯eːra								
DIRTY_17																										polvo								
DIRTY_18																											sutepora~surevura							
DIRTY_19																											usa							
DIRTY_20																													sbiːtaɡim					
DIRTY_21																														tyhovit				
DIRTY_22																																tuɡuːbiʃɨt~utuɡuːbiʃ		
DIRTY_23																																	paasana	
DOG_1	awal					awal								awaal																				
DOG_2		koʧi																ɡoɡosci		ɡoɡs					ɡaɡoːx				ɡoɡs					
DOG_3			punkuːci										puɡuzɨ			pukːu	sokopukːu~sokopːukːu		isapunku													punku		
DOG_4			waʔacuku																															
DOG_5				ʧiːʧiː			ʦɨʔɨ				ʦuhcuri				ʧuːʔu													ʧiːʧiːtu			ʦucu			ʧuuʔu
DOG_6					sariː												satɨʔɨ		isa					satiː		satiː							satici	
DOG_7								ʧutzi																										
DOG_8									iʧwiːnti																									
DOG_9										pooko																								
DOG_10												ʦɨka															ʧitːa							
DOG_11																					pelu													
DOG_12																							kuciʔ											
DOG_13																														wuʃi				
DRINK_1	pa	bahi				paʔ								paaʔi									paːʔ							paa				
DRINK_2			hipi		hivi								hivi			hipi	hipi~hipːi	iːbi	hipi					hipi		ipi							ipi	
DRINK_3				aːt͡ɬiː					aːtiː																			øt͡ɬi						
DRINK_4							jeʔe					je																						
DRINK_5							ʔi	hi~hian~hiahi			ihi									iʔi							hi				he~ihe	iːʔɨː~iːʔɨt		
DRINK_6										hiiko																								
DRINK_7												hare~hari																						
DRINK_8												i																						
DRINK_9															heʔeje																			heʔe
DRINK_10																		iu̯t			kit													
DRINK_11																		janta																
DRINK_12																									ija									
DRINK_13																												koni						
DRINK_14																													wasib					
DRY_1	wax					waxɨ								awaxve																				
DRY_2		waki		iːʃwaːkki			waʧi				waɡi	waki			wakia						waki		awaːkiʔ					wahkiː				waːɡɨt		wakia
DRY_3			tapasɨ		pasa											pasahkɨʔ	pasːa		pasa					pasa		tapaʃu							tapasɨpːɨ	
DRY_4								hu̯aqui̯̯																										
DRY_5									waːjik													wak										awak		
DRY_6										laaqu																								
DRY_7													tavasteːd																					
DRY_8																		ɡaqui̯̯dade																
DRY_9																				sɡak					ɡak				sɡaki					
DRY_10																														ahoːkin				
DRY_11																															moronir			
EAR_1	naqal	naka	naŋka	nakaːst͡ɬi	naki	naqʔa		nakat	nakas	naqvɨ	nahka	naka	naɡavivi	naqla	nakːam	naqːa	nakːa	naːka	naŋki	naːk	nakas	nekest		nenkih	nak	naŋkapa	naca	nakas	naːk		nakar		nɨkːapɨ	naka
EAR_2							naʃai̯̯																											
EAR_3								quei̯siven																										
EAR_4																		tucai̯̯daraɡa																
EAR_5																							qavaʦ											
EAR_6																														nanax				
EAR_7																																naŋhal		
EARTH (SOIL)_1	temal					tɨmal																												
EARTH (SOIL)_2		wee									weʔe																							
EARTH (SOIL)_3			tɨpipːi					tevat					tɨbiʧɨ			tɨpi	tɨi̯̯pːɨ~tiːpɨ						tiɨ̯̯vaʈ͡ʂ			tɨpɨ	tevet						tɨpɨpːɨ	
EARTH (SOIL)_4				t͡ɬaːlli					taːl												tal	tal						t͡ɬøliː						
EARTH (SOIL)_5					sokovi														sokopi					sokopːɨh										
EARTH (SOIL)_6							ʧwe																											
EARTH (SOIL)_7										tɨckʷa																								
EARTH (SOIL)_8												kʷi̯e																						
EARTH (SOIL)_9														exla																				
EARTH (SOIL)_10															bwija																			bwia
EARTH (SOIL)_11																		dubure		dɨvɨi̯̯r					dɨbɨr					tuvar				
EARTH (SOIL)_12																													jɨwɨɖ					
EARTH (SOIL)_13																														øxar~oːxar				
EARTH (SOIL)_14																															kvirat			
EARTH (SOIL)_15																																ʃuwaːl		
EAT_1	kʷaʔ	ɡoʔa					kʷaʔa				koʔa		kaʔa							koʔa			kʷaʔi						koʔa		koa			
EAT_2			tɨkːa		tɨkːa				takʷaː							tɨkːa	tɨkːa~tɨka		tɨkːa					tɨkːa		tɨkːa				ikʷaa		tɨk~ɨtɨk	tɨkːa	
EAT_3				kʷa		kʷa						kʷa									kʷa	kʷa						kʷa						
EAT_4								hibaːn~ba																										
EAT_5										sowa																								
EAT_6												kɨme															ɡuæ							
EAT_7														naaʧuxun																				
EAT_8															bwaʔaje																			bwaʔa
EAT_9																		aneancoai̯̯																
EAT_10																				huɡ														
EAT_11																							raːkʷ											
EAT_12																									juɡiaʔ									
EGG_1	weevuʔ																																	
EGG_2		kaʔwa									kaʔwa				kabːa																			kaba
EGG_3			nopːapi										nopavi													nupːu							napːaapi	
EGG_4				tet͡ɬ					piotet																			tutoltet͡ɬ						
EGG_5					nojo											nojo	noho	nono	nojo	nonːo				nojo	nanoː				nonha					
EGG_6						paɲiʔat																												
EGG_7							taʔu																											
EGG_8								acavora																										
EGG_9										nøhɨ																								
EGG_10												tawari																						
EGG_11														paanil									pan											
EGG_12																					tesis													
EGG_13																										noːʔ								
EGG_14																														xaːxen~xaːxin				
EGG_15																															netelur			
EGG_16																																pompt		
EYE_1	puʧily	busila				puʃ		vusit		poosi	pusi			puʃla	puːsim	pusi											busi					punʒil		puusi
EYE_2			puʔipi		pui̯̯								puʔivi				pui̯̯	bui̯̯	pui̯̯h	vuhi				pui̯̯h	bui̯̯	puʔi			wuhi				pɨʔipɨ	
EYE_3				iːʃtelolot͡ɬ					iːʃtoːloːlo																			ʃtelolo						
EYE_4							hɨʔɨ~hɨʔɨsi					hɨzi																						
EYE_5																					iʃ													
EYE_6																							huvaːʈ͡ʂ											
EYE_7																											vubu							
EYE_8																														ʦotron~coːcon				
EYE_9																															telar~tilur			
FAT (ORGANIC SUBSTANCE)_1	wily					wily						wija																						
FAT (ORGANIC SUBSTANCE)_2		wiʔi								wihɨ	wiʔi			wiʔ																				
FAT (ORGANIC SUBSTANCE)_3			juhi		juhu								juhuvɨ			juhu	juhu		juhu					juhu									jɨu̯̯pi	
FAT (ORGANIC SUBSTANCE)_4			wiːwapi																											witaː				
FAT (ORGANIC SUBSTANCE)_5				sejot͡ɬ			asei̯ːti																											
FAT (ORGANIC SUBSTANCE)_6								tuspeɡu̯a																										
FAT (ORGANIC SUBSTANCE)_7									ʧaːwak																			ʧijøwa						
FAT (ORGANIC SUBSTANCE)_8															manteːka																			manteːka
FAT (ORGANIC SUBSTANCE)_9																		ɡui̯̯		ɡui̯̯														
FAT (ORGANIC SUBSTANCE)_10																					ʃepo													
FAT (ORGANIC SUBSTANCE)_11																							wipt											
FAT (ORGANIC SUBSTANCE)_12																									ɡiodaʔ		ɡui̯̯da							
FAT (ORGANIC SUBSTANCE)_13																										juː								
FAT (ORGANIC SUBSTANCE)_14																													ɡiːɡi					
FAT (ORGANIC SUBSTANCE)_15																																wipt		
FEATHER_1	wikily					wikily																												
FEATHER_2		maʔsa									maʔsa				masa								mahaːt				usat			maːsan	masat			masa
FEATHER_3			wisiapi		sia								wiʃiʔaːvi											siapi		wɨsia								
FEATHER_4				iʔwit͡ɬ					ihwit																			tohmiːt͡ɬ						
FEATHER_5							ana					ana~anɨː~aːnːa						aːne		aʔanaɡ					anaʔ				aʔan			aŋaː		
FEATHER_6								hunsa																										
FEATHER_7										nakʷa																								
FEATHER_8														humsat																				
FEATHER_9																qasa	kasːa		kasa															
FEATHER_10																	pɨhɨ																	
FEATHER_11																					iu̯hmiju													
FEATHER_12																																	pɨtːɨpɨ	
FIRE_1	kut		kuna			kut							kuna	kut					kuna				kut	kuna		kunæ						kut		
FIRE_2		naʔi									naʔi																		naːda					
FIRE_3				t͡ɬet͡ɬ				te	tit												tit	tet								ʈ͡ʂaːvut				
FIRE_4					kotːoːpːɨh																													
FIRE_5							tai̯̯h					tai̯̯			tahːi			tai̯̯~tai̯		tai̯̯					tai̯̯		tʰai̯̯							tahi
FIRE_6										ɨːwiŋwɨ																								
FIRE_7																qoso	kosːo																	
FIRE_8																												t͡ɬecint͡ɬi						
FIRE_9																															tahamet		naʔai̯̯tːɨ	
FISH_1	kijul					qɨjul																												
FISH_2		roʔci									soʔci																							
FISH_3			pakɨci		pekʷi					paakiw			paɡɨːvɨ			pakːwi	pakːwi							penkʷi		pakɨu̯̯							pakɨ	
FISH_4				miʧin					miʧi												miʧin	miʧom						miːʧiː						
FISH_5							weʔi																											
FISH_6								ʦuʧut				kecɨ			kuʧːu												ʦũʧu				kicut	kujuːl		kuʧu
FISH_7														anaamal																				
FISH_8																		vatːosa~vatːopa		vatoːp					batop				watopi					
FISH_9																			paŋwi															
FISH_10																							kihuːʦ											
FISH_11																														kui̯̯r				
FIVE_1	axnamekʷanaŋnemakʷanaŋ																																	
FIVE_2		mari						marki			mariki																mariki							
FIVE_3			manɨɡ		manekihtʲʔ								manɨɡi			maniɡii	maniɡiju		manɨki~manaki					nanai̯̯kːih		manːiki							manɨɡiini	
FIVE_4				maːkʷiːlliʧiko					maːkʷil												makʷil	makʷil						mɔkʷilːɪ						
FIVE_5				ʧkʷa																														
FIVE_6					moʔobeʔ																													
FIVE_7						nemakʷa																												
FIVE_8						nanɡ																												
FIVE_9							ansɨbi~ansɨʔ																											
FIVE_10										ʦivot																								
FIVE_11														mahaːr									mahæt							mahar				
FIVE_12															mamni																mamunir			mamni
FIVE_13																tu																		
FIVE_14																		taːma																
FIVE_15																				utaspo									hɨtasp					
FIVE_16																									hiʃʧamaːm									
FIVE_17																																maːhai̯̯jija		
FLY (MOVE THROUGH AIR)_1	hiŋ																																	
FLY (MOVE THROUGH AIR)_2		iʔni									niʔni																ni							niʔi
FLY (MOVE THROUGH AIR)_3			wici		jɨcɨ								jozi			joʦːi	joʦːi~joʦːi		jɨcɨ					jɨcɨ									jɨci	
FLY (MOVE THROUGH AIR)_4				pat͡ɬaːni					pataːni												patani							pat͡ɬøniː						
FLY (MOVE THROUGH AIR)_5						jalɨ																												
FLY (MOVE THROUGH AIR)_6							raʔa																											
FLY (MOVE THROUGH AIR)_7								meen																										
FLY (MOVE THROUGH AIR)_8										masai̯̯																								
FLY (MOVE THROUGH AIR)_9										pɨːjalti																								
FLY (MOVE THROUGH AIR)_10												wi̯e																						
FLY (MOVE THROUGH AIR)_11														wiila																				
FLY (MOVE THROUGH AIR)_12															neʔeje																			neʔe
FLY (MOVE THROUGH AIR)_13																		daːi̯̯		daʔa					dai̯̯jaʔ				daʔa					
FLY (MOVE THROUGH AIR)_14																		daːnta																
FLY (MOVE THROUGH AIR)_15																						patan												
FLY (MOVE THROUGH AIR)_16																							hiːɲʔk~hiːɲiʔk											
FLY (MOVE THROUGH AIR)_17																										nonci						oːlɨt		
FLY (MOVE THROUGH AIR)_18																															hanʲa			
FOOT_1	ʔi																																	
FOOT_2		rono									tono														ton									
FOOT_3			nampa		nape								nabivi						nampe					nampe		nampa							napːa	
FOOT_4				ikʃit͡ɬ																	ikʃi	ʃo						kʃiː						
FOOT_5						xuʧi						keta																						
FOOT_6							ɨːka			kɨkɨ		ɨka				kɨkːɨ	kɨkɨ																	
FOOT_7								tari										tara		tar							tara		taɖ					
FOOT_8									meʦ																									
FOOT_9														et																				
FOOT_10															wokːim																			wooki
FOOT_11																							navɨːʦ											
FOOT_12																														nev				
FOOT_13																															njokir			
FOOT_14																																ɨŋɡɨl		
FOUR_1	wiʧiw					wiʧiw																												
FOUR_2		nawosa		naːwi					naːwi												naːwi							nɔbl						
FOUR_3		naɡo						navoi̯̯			nao	nai̯̯ka			nai̯̯ki												naɡo				narikir			nai̯̯ki
FOUR_4			waciu̯̯										wacuː			wacikʷii	wacɨɡːwiju		waʦːɨ					waʦːɨwih		wacɨŋwi							wəcuwini	
FOUR_5					hajarokʷe																													
FOUR_6							mu̯aːku̯a											maːkova		makoba					maːkov									
FOUR_7										naːløyøm																								
FOUR_8														wasaʔ									waʧah							waʧaʔ				
FOUR_9																tu																		
FOUR_10																				ɡiko									ɡiik					
FOUR_11																						najom												
FOUR_12																																naːnaːu̯̯		
FULL_1	maʧama																																	
FULL_2		boʧiwi						bode~bodahri~bodavi															pitɨʔq											
FULL_3				peʃoːnaltia					peʃoːntok																									
FULL_4					tɨpːetɨ								tɨbetɨ						tɨpːekɨa					tɨpːe										
FULL_5						jutaxiʃ																												
FULL_6							avaʔɨsti																											
FULL_7										oopokiwta																								
FULL_8											ohcorewae̯me																							
FULL_9													ponoʔi													ponoʔaː~ponoʔi								
FULL_10														muujai̯																				
FULL_11															tapuni																			tapuna
FULL_12																tujuha																		
FULL_13																	kano~kanːo																	
FULL_14																		sudːajamue																
FULL_15																				koːvoɡ									skowoɡ					
