Gloss	Anuta	Austral A	Austral B	East Futuna	Emae	Futuna-Aniwa	Hawaiian	Kapingamarangi	Luangiua	Mangareva	Maori	Mele-Fila	Niuean	North Marquesan	Nukuria	Penrhyn	Proto-Polynesian	Pukapuka	RakahangaManihiki	Rapanui	Rarotongan	RennellBellona	Samoan	Sikaiana	Tahitian	Tikopia	Tongan	Tuamotuan	Tuvalu	Vaeakau-Taumako	Wallisian
BIG_9												motua									ʔakamatuu										
BIRD_1	manu	manu	manu	manu	manu	manu	manu	manu	manu	manu	manu	manu	manulele	manu	manu	manu	manu	manu	manu	manu	manurere	manu	manulele		manu	manu	manu	manu	manulele	manumanu	manulele
BIRD_2																			maimua												
BIRD_3																								kivi							
BITE_1	kati		paʔati					kati	eki	eti		ketʃia	eti			kati		kati	kakati		eti		ʔati			kati		kati			
BITE_2			ʔooʔiniʔini																						hohoni						
BITE_3																														ŋalia	
BITE_4																	uʔuti														
BITE_5							nahu				ŋau			nahu						ɡau						ŋau					
BITE_6				ʔuu					uu						takiluu							uʔu	u	nunu			uʔu				uʔu
BITE_7					utia	maŋuʃia																	utia			uuti				usia	
BITE_8																														esia	
BLACK_1		ʔeɢeʔeɢe	ʔereʔere				ʔeleʔele			kerekere									kerekere	kerekere	kere				ʔereʔere			kere			
BLACK_2														hivahiva							ʔiva							hiva			
BLACK_3												paku																			
BLACK_4															riparara																
BLACK_5	uri			ʔuli	uri	uri		uli	ʔuli	uri			uli			uri	ʔuli	uli	uriuri		uri	ʔuɡi	uliuli	uli		uri	ʔuliʔuli	uri	uli	uli	ʔuli
BLACK_6											maŋu																				
BLOOD_1	toto	toto	toto	toto	toto	toto	koko	dodo	koko	toto	toto	atoto	toto	toto	toto	toto	toto	toto	toto	toto	toto	toto	toto		toto	toto	toto	toto	toto	toto	toto
BLOOD_2																								haeko							
BLOOD_3																													kelakela		
BLOW (OF WIND)_1				taili					maili				havili																		havili
BLOW (OF WIND)_10			farara																		ʔarara				farara			harara			
BLOW (OF WIND)_11										aɡi																					
BLOW (OF WIND)_2															iri																
BLOW (OF WIND)_3						ʰsau						suia											sau								
BLOW (OF WIND)_4					rifia	ifia							ifi														ifi				ifi
BLOW (OF WIND)_5											hua																				
BLOW (OF WIND)_6	pui	pupuhi	puʔi				puhi			puʔi	pupuhi		puhi	puhi			pupusi	puji	pupuhi	puhi	puʔi	pusi			puhi			puhi	puhi		
BLOW (OF WIND)_7															oko																
BLOW (OF WIND)_8							paa																					paa			
BLOW (OF WIND)_9				aɡi				aŋi							ani	aŋiaŋi		aaŋi			aŋi	taiɡi	aŋi	ani		aŋi	aŋi	aŋi	aɡi	veŋia	aɡi
BLUNT_1																	putu														
BLUNT_10									puŋu						matapuupuuːpu					puni				matapuu							
BLUNT_11		papa																													
BLUNT_12				matatuka																			matatupa								
BLUNT_13																						paluɣa									
BLUNT_14																	paku														
BLUNT_2			tuumuuːmu				muumuuːmu							tumuʔe		muu		tuma	tumaumou									tii			
BLUNT_3								mariri																							
BLUNT_4			mania																		mania				mania						
BLUNT_5	peŋu																penu	penu													
BLUNT_6																										paku	peku				
BLUNT_7																														fuŋu	
BLUNT_8											puuhuki			puriki																	
BLUNT_9										moimoi																					
BONE_1	ivi,ui	iviivi	ivi	ivi	sui	iui	iwi	iwi	ivi	ivi	iwi	teiβi	ivi,hui	ivi	ivi	ivi	hui	ivi	ivi	ivi	ivi	ibi	ivi	ivi	ivi	ivi	hui	ivi	ivi	ivi	hui
BRANCH_1	raakau,rara			laʔakau,laʔalaʔa		rakau,ra	laalaaːla	rakau	laalaaːla	rara			laalaaːla,laa	ʔaʔa	mataaraaːra	raaraaːra	laʔa	laa	raaraaːra		raaraaːra	ɡaʔakau,ɡaʔa	laalaaːla	laa		rakau,raa	vaʔakau	raakau	kaulaa	laalakau,laa	ʔakau,vaʔa
BRANCH_2		ʔaamamaɢaaːmamaɢaʔau	ʔaamaʔa								maŋa									maɡa					ʔaamaʔa						
BRANCH_3																			tauru												
BREAST_1	uu			uu		u	uu	uu	uu		uu	susu	huhu	u	uu	uu	susu	wuu	uu	ʔuu	uu	uu	susu	uu		uu	huhu		uu		huhu
BREAST_2										kuperu																					
BREAST_3					mumu																										
BREAST_4														kiʔinene																	
BREAST_5															hatahata															hatahata	
BREAST_6																		aloalo	alo												
BREAST_7			tiitiiːti																						tiitiiːti						
BREAST_8		ʔouma	ʔoouma															uma	umauma									koouma			
BREATHE_1	maanava			maanava	manaβa	manava		manawa	maanava				manava	menava	maanava		maanawa		maanava			manaba	maanava	maanava		maanava	maanava	manava		manava	maanava
BREATHE_2				ɡaʔeɡaʔesaa																	ŋaa							ŋaa	ɡaeɡae		ɡaʔaɡaʔa
BREATHE_3							hanu				fakahaa			ha						haa											
BREATHE_4								toki																							
BREATHE_5												maro																			
BREATHE_6																													mapu		
BREATHE_7										ʔau																					
BREATHE_8																		akaea	hakaea												
BREATHE_9		hutiteaho	ʔutiiteaʔo				aho																		hutiiteaho						
BURN_1														hakauʔa																	
BURN_2			ʔaʔaʔama																												
BURN_3	tutu			susunu				dudu		tutu				tutu				tutu	tutu	tutu		tutu	susunu	tutu		tutu	tutu				tutu
BURN_4							ʔaa			kaʔa									kaa											khaa	
BURN_5																	welatia														
BURN_6																														ula	
BURN_7																							mu								
BURN_8	tuŋia	tutuʔi			tuŋia	tuŋia	kuni	tuŋi	kuŋi			tuŋia	tuŋi		ttuni						tutuŋi	tuuŋia		tuunia	tutuʔi			tuŋi	tuɡia		
BURN_9	tapu									taʔu	tahu		tafu			tahu					taʔu		tafu			tafu		tahu	tafu		
BUY_1				totoɡi																											
BUY_2																				mono											
BUY_3						takamata																							tata		
BUY_4							kuuʔai																								
BUY_5			ʔoʔomai							ʔoko	hoko			hoʔo		hoko		oko		hoʔo	ʔoko				hoʔomai			hoko			
BUY_6								hui	sui															sui							
BUY_7	taui			fakatau									taui		taauvi		fakataumai					tauʔi	faʔataumai,tautotoŋi				fakatau		fakataumai	tauia	
CHEW_1						mama	mama			ʔamama					maamaaːma		mama			mama			mama	maamaaːma			mama		mama	maia	mama
CHEW_2						maia																									
CHEW_3		ʔaʔamaɢu																					lamu				lamu		lamu		lamu
CHEW_4	kamu								ŋamuŋamu																					kamu	
CHEW_5			ʔauʔau	ɡau				ŋau					ɡau		nau	ŋau		ŋauŋau	ŋauŋau		ʔia	ŋau			ʔauʔau	ŋau		ŋau	ɡau		
CHEW_6								ŋuŋu																					ɡuɡu		
CHEW_7											katikati																				
CHILD_1																				poki											
CHILD_2																														memea	
CHILD_3										toromiki																					
CHILD_4			maʔuru																												
CHILD_5							keiki																								
CHILD_6	tamati	tamaɢiʔi	tamariʔi	tamaliki,tama	tamatiti	tama		damalliɡi,tama	kamaliʔi		tamaiti	tama	tamaikiiki	tama	tama	tamariki	tama	tamaliki,tamaiti	tamaiti		tamaiti,tamariki,tama	tamaʔitiʔiti,tamaɡiki,tama	tamaitiiti	tamaliki	tamariʔi	tamariki	tamasiʔi	tamaariki,tama	tamaliki,tama		tamasiʔi,tamaliki
CHOOSE_1				fili				hili	hili		firi		fifili			hiri	fili	wili			ʔiri	hiɡi	filifili	hili		firi	fili		fili	hilihilia	fili
CHOOSE_2							wae							vae						vae											
CHOOSE_3																		kimi													
CHOOSE_4		peɢeɢau																													
CHOOSE_5																												koikoi			
CHOOSE_6						tusia																									
CHOOSE_7							koho																								
CHOOSE_8			maʔiti																						maʔiti						
CHOOSE_9															hiko																
CLIMB_1																				eke											
CLIMB_2	kake			kake					ʔaʔe						kake	kake	kake	kake			kakeaʔiana	kake	aʔe	kake		kake	kaka	kake	kake	kake	kake
CLIMB_3																									taʔuma						
CLIMB_4						kʰava																									
CLIMB_5		piʔi	piʔi			fiʃi	piʔi	hiti		piki	piki			hiti				wiwitikiluŋa	piki				piʔi								
CLOUD_1	ao			ʔao	ᵐboroa	boa	ao			ao	kapua		laɡi	ao		oo	ʔao	kaapuao	kapua,ao		tiao	ʔao	ao			ao	ʔao	ao		meluao	ʔao
CLOUD_10									puulehu															lehuna							
CLOUD_11			ata																												
CLOUD_12															kaniva																
CLOUD_13																													kaumana		
CLOUD_2																									ata						
CLOUD_3																												titi			
CLOUD_4																				kohu											
CLOUD_5																			kaikaiŋa												
CLOUD_6																				raɡi											
CLOUD_7												taeteraŋi																			
CLOUD_8								kororaŋi													tumuraŋi										
CLOUD_9		ata																													
COLD_1	makariri			makalili	makariri	makaliɡi		makariri	maalili	makariri	makariri	makariri	makalili	kamariri,makarere	makariri	makariri	makalili	makalili	makalili			makaɡiɡi	maʔalili	makalili		makariri		makariri	makalili	maliki	makalili
COLD_2				momoko																							momoko				
COLD_3		haumaaɢuaːɢu																					maluuluuːlu						maaluaːluluaːluːlu		
COLD_4							anu			anu				anu		anu		ano			anutoketoke,anu							anu			
COLD_5			toʔetoʔe																toketoke	takeo					toʔetoʔe			toketoke			
COME_1		haeɢemai	ʔaeremai,ʔanomai		numai	ʰmai	mai		haamai		haeremai	fenmai		heʔemai	oomai		fanomai	lolomai	naumai,taumai,hanomai,romai,haeremai			aʔu	oomai	halemai	haeremai		oomai	mai	mai		aʔu
COME_2																				tuʔu											
COME_3														tihe																	
COME_4								hani																							
COME_5	au			ʔau						aʔu			aua					jau					sau			au	haʔu		hau	au	
COME_6																					taataaːtaʔi										
COME_7																			aro												
COOK (SOMETHING)_1	tao		tau	taʔo		tao		daa	kao		tao		tao	tao	tao	too		tao	too		tao	taʔo	tao	tao	ʔeu	tao		tao			taʔo
COOK (SOMETHING)_2					moso																										
COOK (SOMETHING)_3				saka		kʰavi									hakarere		saka														haka
COOK (SOMETHING)_4												moa																			
COOK (SOMETHING)_5																											feimeʔakai				
COOK (SOMETHING)_6							hoʔomoʔa																								
COOK (SOMETHING)_7															kuki																
COOK (SOMETHING)_8		tunu	tunu			tʰunu				tunu				nunu				tunupaani	tunu	tunu					tunu		feitunu		tunu	tunaa	
CORRECT (RIGHT)_1		mau	paraumau							mau																					
CORRECT (RIGHT)_10																														maoli	
CORRECT (RIGHT)_11															tonu																
CORRECT (RIGHT)_12																							saʔo								
CORRECT (RIGHT)_13	tonu			tonu		tonu		donu	koŋu				tonu					tautonu	tano			tonu	amiotonu	tonu	tano	tonu	tonu		munatonu	tʰonu	tonu
CORRECT (RIGHT)_14			tano																												
CORRECT (RIGHT)_15										tika	tika		tika			tika		tika	tika	titika	tika							tika			
CORRECT (RIGHT)_2					sumarie																										
CORRECT (RIGHT)_3														meahei																	
CORRECT (RIGHT)_4			ʔaafaro																						ʔaafaro						
CORRECT (RIGHT)_5																		jako													
CORRECT (RIGHT)_6														toitoi																	
CORRECT (RIGHT)_7												marie																			
CORRECT (RIGHT)_8						nomari																									
CORRECT (RIGHT)_9							ʔoiaaʔiʔo																								
COUNT_1																			taale		taareaːre										
COUNT_2							helu																								
COUNT_3	rau			lau	taua	tau		dau	pau	touʔara	tatau	tao	totou	tau	ppau	tau	tau	tatau,wakalau	tatauaŋa	tataku	tatau	tau	faitau	pau		tau,rau	laua		lau,tau	phaua	lau
COUNT_4		taiʔo	taiʔo																						taiʔo						
CRY_1	taŋi			taɡi	taŋi	taɡi	kani	daŋi	kaŋi		taŋi		taɡi	tani	tani	taŋi		tataŋi	tataŋi	taŋi	taŋi	taŋi	taŋi	tani	taʔi	taŋi	taŋi	taŋi	taɡi	taŋi	taɡi
CRY_2										koa																					
CRY_3							uwee							ue																	
CRY_4												ka																			
CRY_5		heva	ʔeva																												
CUT OR HACK_1					teia					tarai	taa	teia	talai	taʔai		tarai				tarai	tarai										
CUT OR HACK_10																				hore											
CUT OR HACK_11				talai				dalai																							
CUT OR HACK_12										ʔakakiukiu																					
CUT OR HACK_13																		jemu													
CUT OR HACK_14	motu					motu	moku													motu	motu	motu	faʔamutu							motia	
CUT OR HACK_15						saua																									
CUT OR HACK_16																	kaiaʔa														
CUT OR HACK_17				koti			ʔoki		ʔoki				kokoti	kokoti				koti			kootia	koti				kokoti		kokoti	kati		
CUT OR HACK_2				isi									iihi	ʔihi														ihi			ihi
CUT OR HACK_3																											totofi				
CUT OR HACK_4		taputeɢaʔau	taapuaːpu																						taapuaːpu						
CUT OR HACK_5				vasi					vahi											avahi											fahi
CUT OR HACK_6				kamu																											kamu
CUT OR HACK_7																														elea	
CUT OR HACK_8				sele		sere		hele	sele				hele									seɡe	sele	sele		sere					hele
CUT OR HACK_9				tuʔuti				tuu							ttuu											tuu					tuʔu
DAY (NOT NIGHT)_1			ao	ʔaso	aso	ao			aho	ao,ao	ao		aho	ao	ao	ao		ao			ao	ʔaso	ao	aso	ao	aso	ʔaho	ao	ao		ʔaho
DAY (NOT NIGHT)_10								a																							
DAY (NOT NIGHT)_2														oatea					avatea												
DAY (NOT NIGHT)_3																															ʔaho
DAY (NOT NIGHT)_4								raani									raʔani													laŋi	
DAY (NOT NIGHT)_5															maarama																
DAY (NOT NIGHT)_6							laa				raa				raa				raa	raa			laa								
DAY (NOT NIGHT)_7	ao																														
DAY (NOT NIGHT)_8								laa				rea																			
DAY (NOT NIGHT)_9		mahana	maʔana																												
DIG_1	keri		ʔiri		keria	keri	ʔeli	ɡeli	ʔeli	keri	keri	keria	keli	keʔi	keri	keri	keli	tolo	keru	keri	keri	keɡi	ʔeli	keli	ʔeru	keri	keli	keri	koli	kelia	keli
DIG_2		ʔoo																													
DIG_3										pokopoko																					
DIG_4																				kakaro											
DIG_5																															hue
DIG_6			paʔi																												
DIG_7	kenu			kenu																									kenu		
DIG_8																							ʔoso								
DIRTY_1															kerekere		kelekele						ʔeleʔelea			kere			kelekelea		
DIRTY_10	parapara			palapala							paru		palapala	paʔapaʔa				palanui	parapara			paɡapaɡa		pela					pala	pelapela	palapala
DIRTY_11									sava					hava		sava				hava	ʔavaʔava			sava				hava			
DIRTY_12		ɢepo	repo				lepo											lepo	lepo		repo				repo						
DIRTY_13																				one											
DIRTY_2								tokoria																							
DIRTY_3					uri																										
DIRTY_4										paneu																					
DIRTY_5																											ʔuli				
DIRTY_6						paku						paku						pakuoŋea												paku	
DIRTY_7																															liko
DIRTY_8													pilo																		
DIRTY_9						uriuri																									
DOG_1								pana																							
DOG_2																				paiheɡa											
DOG_3									poi																						
DOG_4														nuhe																	
DOG_5																		puakaoa													
DOG_6															manukaitama																
DOG_7																							maile								
DOG_8	korii	ʔuɢi	ʔuuriuːri	kulii	kuri	kuli	ʔiilio			kurii	kurii	kori	kulii	kuʔi		kurii		kulii	kurii	kuri	kurii	kuɡi	ʔulii	kulii	ʔurii	kuri	kulii	kurio	kulii	kulii	kulii
DREAM (SOMETHING)_1																									taʔotoʔotoaa						
DREAM (SOMETHING)_2	miti					miʃi		midi	miki				miti				miti	miti				miti	miti			miti	misi			mihi	misi
DREAM (SOMETHING)_3		moemoeaa	ʔaʔaʔeimoe,moemoeaa	moemiti			moemoeaa,moeʔuhane			moemoea	moemoeaa			moemoea	moe	moemoeaa	mohemiti	moemiti	moemoeaa,rikamoe	moe	moemoeaa				moemoeaa			moemoeaa	moemiti		
DRINK_1	inu	inu	unu	inu	βinu	inu	inu	inu	uŋu	inu	inu	unu	inu	inu	inu	inu	inu	inu	inu	unu	inu	mia	inu	unu	inu	inu	inu	inu	inu	inumia	inu
DRY_1								maŋo														maamala	maŋo							maŋoa	
DRY_2				masa		masa							maha			masa								masa		masa					maha
DRY_3													pakaka	pakaka				wakapakapaka		pakapaka			paʔaʔa								
DRY_4		maɢo	maroo	maloo	maro		maloʔo			maro	maroke			moʔo					maroo		maroo	maɡoo			maroo	maroo		maroo			malo
DRY_5	pakupaku								paupaʔu						pakupaku								paʔupaʔu								
DRY_6						matu						matu					matuʔu													matʰuː	
DRY_7																													tauaki		
DRY_8																		omoi									moomoa				
DUST_1				efu	refu		ʔehu		puŋaehu	eʔu,puʔeu	puehu		puefu,efu		rehu	puuehu	efu	lewu	puehu	puɡaehu,ɡarahu	puʔeu	ɣebu	pefu	lehu	repopuehu	refu	efu	puuehu	paefu	ehu	efu
DUST_2								bopobo																							
DUST_3																				huɡa											
DUST_4												motamota																			
DUST_5						baku																									
DUST_6	kokopu																														
DUST_7			ʔuʔaʔuʔa				ʔeʔa							ʔepo											huʔahuaa						
EARTH (SOIL)_1	kerekere			kele	kere	kere		ɡele	ʔele		kere	kere	kele		kerekere		kele	kelekele				keɡe		kele		kere	kelekele		kele		kele
EARTH (SOIL)_2		ɢepo	repo				lepo			repo	repo			ʔepo		repo				repo	repo				repo			repo			
EARTH (SOIL)_3																		palapala												pela	
EARTH (SOIL)_4											oneone									one										tuaone	
EARTH (SOIL)_5							honua																								
EARTH (SOIL)_6																							lalolaŋi								
EAR_1	tariŋa	taɢiʔa	tariʔa	taliɡa	tariŋa	tariŋa		daliŋa	kaliŋa	tariŋa	tariŋa	teriŋa	teliŋa		kautarina	tariŋa	taliŋa	taliŋa	tariŋa	tariɡa	tariŋa	taɡiŋa	taliŋa	talina	tariʔa	tariŋa	teliŋa	tariŋa	taliɡa	taliŋa	taliɡa
EAR_2														pua																	
EAR_3							pepeiao																								
EAT_1	kai	ʔamu	ʔai	kai	kaikai	keina	ʔai	ɡai	ʔai	kai	kai	kai	kai	ʔai	kai	kai	kai	kaikai	kaikai	kai	kaiŋa	kai	ʔai	kai	ʔamu	kai	kai	kai	kai	kai	kai
EAT_2					foro																										
EAT_3																		tamitami													
EAT_4				omaki																											ʔomaki
EGG_1												atolu																			
EGG_10						vahvaka																									
EGG_11		hueɢo																							huero						
EGG_2																														hatukio	
EGG_3																								tamamoa							
EGG_4								ŋoko																							
EGG_5				niuniu																											
EGG_6	puai		ʔua	fua	fuamoa		hua		hua		huamanu				hua	hua		wuamoa			ua	hua	fuaamoa			fuei	foʔimanu		fua		
EGG_7										maamarimoa				mamaʔi						maamari											
EGG_8																				toua								toouo			
EGG_9											heeki																				
EIGHT_1	varu	vaɢu	vaʔu	valu	βaru	varu	walu	walu	valu	varu	waru	βaru	valu	vaʔu	varu	varu		valu		vaʔu	varu	baŋɡu	valu	valu	vaʔu	varu	valu	varu	valu	valu	valu
EYE_1	mata	mata	mata	mata	mata	mata	maka	mata		mata	mata	mata	mata	mata	kanamata	mata	mata	mata	mata	mata	mata	mata	mata		mata	mata	mata	mata	mata	mata	mata
EYE_2														korohi					kanohi		kanoʔi										
EYE_3									maka															kale							
FALL_1											makere			mekeʔe														makiri			
FALL_10							haaʔule																								
FALL_11																		paŋulu					paʔuu								
FALL_12														viʔi																	
FALL_13						takaifo																									
FALL_14	remo																													emo	
FALL_15												melu																		meu	
FALL_2													mokulu	mokuʔu				makulu			makuru										mokulu
FALL_3				malele						marere											marere							marere			malele
FALL_4			marua																												
FALL_5		topa	topa							topa				topa					topa	topa	topa				topa			topa			
FALL_6				too	to												too	too				too	too				too		too		
FALL_7														huutehenua																	
FALL_8				siɡa				hiŋa	siŋa					hina		siŋa		jiijiŋa		hiɡa	ʔiŋa			sina		siŋa		hiŋa			hiɡa
FALL_9															heke																
FAR_1				taumamaʔo																											taumamaʔo
FAR_2	mamao			mamaʔo			mamao		mao	mamaʔo		imao	mamao	memaʔo	mmao	momoo	mamaʔo	mamao	momoo		mamao	mamaʔo	mamao	mmao		mao	mamaʔo	taumamao	mamao	mao	mamaʔo
FAR_3								mokoa																							
FAR_4			aatea																						aatea						
FAR_5					iᵐbua																										
FAR_6																				kumi											
FAR_7																			hakarere												
FAR_8						pʰai																									
FAR_9											tafiti																				
FASTEN_1	pau							hau	hau						hau		faʔusi			hahaʔu		haʔu		hau		fau		hau			
FASTEN_10																					ʔia										
FASTEN_11																			taapeka		taapeka										
FASTEN_12															taka																
FASTEN_13										ʔakaokoŋa																					
FASTEN_14											herehere																				
FASTEN_15			purei																												
FASTEN_16		taaʔamu																							taʔamu						
FASTEN_17															hakamau																
FASTEN_2															haihai																
FASTEN_3							hiikiʔi							hitiki		hiitiki					ʔiitikia							hiitiki			
FASTEN_4										nati				nani		nati			nati		natia	nati									
FASTEN_5																					na										
FASTEN_6				liiliiːli	salia				ɡii	rii		laia	lilii						lii		rii					rii		rii	lii		lii
FASTEN_7						riʃia												jele	hele											hihia	
FASTEN_8	nonoo								ŋoa										nonoa				noa			noa	nonoʔo				
FASTEN_9																						noʔa									
FAT (ORGANIC SUBSTANCE)_1	momona						momona								moomona		momona						momona								
FAT (ORGANIC SUBSTANCE)_10																														utouto	
FAT (ORGANIC SUBSTANCE)_11		poɢia																													
FAT (ORGANIC SUBSTANCE)_12																		matuu													
FAT (ORGANIC SUBSTANCE)_2								kiris																							
FAT (ORGANIC SUBSTANCE)_3									sunu	hinu			huni	hinuʔama		sunu					ʔinu		suni	sinu		sinu		hinu			huni
FAT (ORGANIC SUBSTANCE)_4			miʔi																						miʔi						
FAT (ORGANIC SUBSTANCE)_5				ɡako	ŋako	ŋako					ŋako		ɡako					ŋako		nako	ŋako	ŋako	ŋaʔo				ŋako		ɡako		
FAT (ORGANIC SUBSTANCE)_6										matatere																					
FAT (ORGANIC SUBSTANCE)_7														kerehi																	
FAT (ORGANIC SUBSTANCE)_8																		tooŋaoːŋaua													
FAT (ORGANIC SUBSTANCE)_9												kanainai																			
FATHER_1	tama	metuataane	metuataane	tama	taman	tama	makuakaane	dama	kama	tinana	matua	mamau	matuataane	motua	tamana		tamana	matuataane	maatua	matuʔa	metua	tama	tamaa	tamana	metuataane	tama	tamai	metuataane		mha	tamai
FATHER_2																				koro											
FATHER_3			paapaaːpa													paa			paapaaːpa		paapaaːpa				paapaaːpa						
FEAR (BE AFRAID)_1	mataku		mataʔu	mataku	mataku	mataku	makaʔu	madaɡu	makaʔu	mataku	mataku	mataku	mataku	haʔametaʔu	mataku	mataku	mataku	maatataku	maatataku	mataku	mataku	mataku	mataʔu	mataku		mataku		mataku	mataku	matʰaku	mataku
FEAR (BE AFRAID)_2																							fefe				manavahee				
FEAR (BE AFRAID)_3			meʔameʔa																												
FEAR (BE AFRAID)_4		ɢiaɢia	riʔariʔa																	riaria					riʔariʔa						
FEAR (BE AFRAID)_5				ʔii																	iʔi										
