Gloss	Central Pomo	Central Yana	Chimariko	Cocopa	Eastern Pomo	Highland Chontal	Ipai	Karok	Kashaya	Mohave	Northeastern Pomo	Northern Pomo	Northern Yana	Seri	Shasta	Southeastern Pomo	Southern Pomo	Tipay	Yahi	Yavapai
COLD_Shastan_1															ʔisːíkʼ					
COLD_Tequistlatecan_1						ʔaʃˈida														
COLD_Yuman_1				xsuːɾ			xəʧuːɹ			haʧuːrk										
COLD_Yuman_2																				mˈúni
COLD_Yuman_3																		ʃuːkˈat		
COME_Chimariko_1			ˈuwakʰ																	
COME_Karuk_1								naː												
COME_Pomo_1	waːd								waːd			waːdˈe				χolo	hwˈaːd			
COME_Pomo_2					qˈoːjuhu															
COME_Pomo_3											kˈoːn									
COME_Seri_1														mˈoka						
COME_Shastan_1															kʼúːhujikːa					
COME_Tequistlatecan_1						diɡwˈajwo														
COME_Yana_1		ni											ni						ni	
COME_Yana_2		ha											ha						ha	
COME_Yuman_1				jiː						iðiːk										
COME_Yuman_2							wəjiw											jiw		jˈûwi
DIE_Chimariko_1			qʼˈe																	
DIE_Karuk_1								iβ												
DIE_Pomo_1									hʧʰojiːʧʼ								ʔahʧʰˈoʧi			
DIE_Pomo_2	kʼla											kʼˈalaː				qʼalˈal				
DIE_Pomo_3					muːdˈal															
DIE_Pomo_4											muʔkʼˈaːwan									
DIE_Seri_1														ʔakχkmiːʔ						
DIE_Shastan_1															kwírikik					
DIE_Tequistlatecan_1						dimˈaʔma														
DIE_Yana_1		tilau											tilau							
DIE_Yuman_1										ipujk										pˈi
DIE_Yuman_2				mʂpa														məspˈa		
DIE_Yuman_3							məlaj													
DOG_Chimariko_1			sˈiʧʼela																	
DOG_Karuk_1								ʧiʃiːh												
DOG_Pomo_-1	(hˈaju)				(hˈaju)				(haju)			(hajˈu)				(hˈaju)	(hˈajːu)			
DOG_Pomo_1											boʔlˈaukaː									
DOG_Seri_1														ʔaχʃ						
DOG_Shastan_1															ʔáːpsu					
DOG_Tequistlatecan_1						ɡalʦˈiki														
DOG_Yana_1		suːsu											suːsu						suːsu	
DOG_Yuman_1				xat			ʔəxat			hatʧoq								xat		
DOG_Yuman_2																				kθˈar
DRINK_Chimariko_1			luʔi																	
DRINK_Karuk_1								iʃ												
DRINK_Pomo_1	kʼoʧ				qʼˈoː				ʔqʼo		kʼˈot̪on	kʼoʧˈi					hˈoʔkʼoj			
DRINK_Pomo_2																biʦʼˈak				
DRINK_Seri_1														kˈisi						
DRINK_Shastan_1															kwíʦːik					
DRINK_Tequistlatecan_1						diʃnˈaʔma														
DRINK_Yana_1													siː						ʦiː	
DRINK_Yuman_1				ʂi			wəsiː			iθiːm								si		θˈiˑ
DRY_Chimariko_1			ˈaʧxunmi																	
DRY_Karuk_1								iβáxɾah												
DRY_Pomo_1									ʦʼuwaʧ											
DRY_Pomo_2																	mˈukʰːatʼ			
DRY_Pomo_3	ʧʼaːlˈol				kʼaːlˈol															
DRY_Pomo_4												tʼabˈoʔ								
DRY_Pomo_5																qʼobo				
DRY_Pomo_6											muʔkʼilin									
DRY_Seri_1														kʷkˈoːtix						
DRY_Shastan_1															kʼiʦːúr					
DRY_Tequistlatecan_1						ʔihˈuɬ														
DRY_Yana_1		kʰulsi											kʰulsi						kʰulsi	
DRY_Yuman_1										iroːvk										rˈuβi
DRY_Yuman_2				ʂʔaɾ																
DRY_Yuman_3							saːj											sʔaːj		
EARTH (SOIL)_Chimariko_1			ˈamːa																	
EARTH (SOIL)_Karuk_1								iθíβθaːneːn												
EARTH (SOIL)_Pomo_1	maː								ʔamaː		ˈamaː	maː					ʔˈamːa			
EARTH (SOIL)_Pomo_2					kaːj															
EARTH (SOIL)_Pomo_3																χqo				
EARTH (SOIL)_Seri_1														ʔant						
EARTH (SOIL)_Shastan_1															tʼárak					
EARTH (SOIL)_Tequistlatecan_1						ɬˈamaʦʼ														
EARTH (SOIL)_Yana_1		piːwi											piːwi						piːwi	
EARTH (SOIL)_Yuman_1				mat			ʔəmat̪			ʔamat								mat		mˈât
EAR_Chimariko_1			hˈisama																	
EAR_Karuk_1								tíːβ												
EAR_Pomo_1	ʃma				ʃiːmˈaː				ʃima		ʃˈima	ʃimˈa				xmˈanʦa	ʃiːmˈomo			
EAR_Seri_1														ˈisɬa						
EAR_Shastan_1															ʔísaːkʼ					
EAR_Tequistlatecan_1						lˈaʃʔmas														
EAR_Yana_1		malku											malʔku						manʔku	
EAR_Yuman_1				ʃmaːl			xəmaɬ			ismaʎk								ʃəmˈaʎ̥		smˈalka
EAT_Chimariko_1			hˈamːa																	
EAT_Karuk_1								aβ												
EAT_Pomo_1									maʔa		mˈaʔaːn	maʔˈa								
EAT_Pomo_2					kuːhˈuː												ʧˈuhːu			
EAT_Pomo_3	kaːwˈa															qwal				
EAT_Seri_1														kˈiʔit						
EAT_Shastan_1															kwíʧkuk					
EAT_Tequistlatecan_1						didˈeʔma														
EAT_Yana_1		ma											ma						ma	
EAT_Yuman_1				ma						ʔiʧamam~ʔiʧamaːm										mˈáˑ
EAT_Yuman_2							wəsaːw											saːw		
EGG_Chimariko_1			ˈanuqʰa																	
EGG_Karuk_1								úɾuh												
EGG_Pomo_1	ʧʼoː				kʼˈo				hiʧʼoː		ʧʼˈo	ʧʼoː				qʼo	hˈiʧʼːo			
EGG_Seri_1														iːpχ						
EGG_Shastan_1															sumpítʼirir					
EGG_Tequistlatecan_1						ɬabˈiʔe														
EGG_Yuman_1				xmˌaʂuʔˈap						iθʔaw										
EGG_Yuman_2																				sqˈáwa
EGG_Yuman_3																		ʃəjˈaʧ		
EGG_Yuman_4							ʔuɹ													
EYE_Chimariko_1			hˈusot~hˈusu																	
EYE_Karuk_1								júːp												
EYE_Pomo_1	ʔuj				ʔuj				huʔuj		ui	ʔuj				ʔuj	huʔːˈukʰbe			
EYE_Seri_1														ˈito						
EYE_Shastan_1															ʔúj					
EYE_Tequistlatecan_1						lˈaʔu														
EYE_Yana_1		ʦʰuna											ʦʰuna						ʦʰuna	
EYE_Yuman_1				ʔijˈu			əjiːw			iːðo								jiːw		jˈuˑ
FAR_Karuk_1								jiːβ												
FAR_Pomo_1												ʧadil								
FAR_Pomo_2					lˈila															
FAR_Seri_1														toːχ						
FAR_Shastan_1															ʔukːáx					
FAR_Tequistlatecan_1						ʔaɡulˈiʔ														
FAR_Yana_1		pʰau											pʰau							
FAR_Yuman_1										ʔamiːʧk										
FAR_Yuman_2				kuɾ			ʔəkuɹ											kur		
FAR_Yuman_3																				twˈaji~twˈaˑji
FAT (FROM ANIMALS)_Chimariko_1			pʰˈiʔa																	
FAT (FROM ANIMALS)_Karuk_1								aθkúɾit												
FAT (FROM ANIMALS)_Pomo_1	pʰuj				pʰuj				ʔihpʰuj		fˈijin	pʰuj				fuj	ʔihpʰuj			
FAT (FROM ANIMALS)_Seri_1														iʔˈaχ						
FAT (FROM ANIMALS)_Shastan_1															ʔíːnaʔ					
FAT (FROM ANIMALS)_Tequistlatecan_-1						(ʔalmantˈeka)														
FAT (FROM ANIMALS)_Yana_1		xaujau											xaujau						xaujau	
FAT (FROM ANIMALS)_Yuman_1				ʃaj						ʔamusaj										sˈaja
FEATHER_Chimariko_1			hˈuto~hˈutːu~hˈutu																	
FEATHER_Karuk_1								iːθka												
FEATHER_Pomo_1	ʔi				jiːʔˈi				hiʔi							ʔi	hiʔːi			
FEATHER_Pomo_2											tʰˈa	tʰe								
FEATHER_Seri_1														ˈina						
FEATHER_Shastan_1															ʔápːaʔ					
FEATHER_Tequistlatecan_1						laʃˈaɬ														
FEATHER_Yana_1													puːni						puːni	
FEATHER_Yuman_1				ʃawˈal						siviːʎ										wˈala
FIRE_Chimariko_1			ˈapu																	
FIRE_Karuk_1								áːh												
FIRE_Pomo_1	ho				xo				ʔoho		ˈoho	ho				χo	ʔˈohːo			
FIRE_Seri_1														ʔamˈak						
FIRE_Shastan_1															ʔimːá					
FIRE_Tequistlatecan_1						ɬˈuŋa														
FIRE_Yana_1		ʔauna											ʔauna						ʔauna	
FIRE_Yuman_1				ʔaʔˈaː			ʔaːw			ʔaʔaw										ʔʔˈó
FISH_Karuk_-1								(fiʃ)												
FISH_Pomo_1	ʃa				ʃa				ʔahʃa		ʃˈakaː	ʃa				xa	ʔˈahʃa			
FISH_Seri_1														ʃiχkˈam						
FISH_Tequistlatecan_1						ɬˈadu														
FISH_Yana_1		kalaː											kalaː						kalaːxi	
FISH_Yuman_1				siʔˈiʎ̥						ʔaʧiː										ʔʧˈiˑ
FLY (MOVE THROUGH AIR)_Chimariko_1			tu																	
FLY (MOVE THROUGH AIR)_Karuk_1								ikxip												
FLY (MOVE THROUGH AIR)_Pomo_1									ʧa							ʦal	haʧːa			
FLY (MOVE THROUGH AIR)_Pomo_2	pʰde				pʰuːdˈiːl							pʰidˈe								
FLY (MOVE THROUGH AIR)_Pomo_3											hˈeːwit̪in									
FLY (MOVE THROUGH AIR)_Seri_1														kkap						
FLY (MOVE THROUGH AIR)_Shastan_1															rúːhukaʔ					
FLY (MOVE THROUGH AIR)_Tequistlatecan_1						dijˈuʔma														
FLY (MOVE THROUGH AIR)_Yana_1		pa											pa						pa	
FLY (MOVE THROUGH AIR)_Yuman_1										ijerk										βjˈaˑri
FLY (MOVE THROUGH AIR)_Yuman_2				man			wəman̪~uman̪													
FOOT_Chimariko_1			hˈupʰːo																	
FOOT_Karuk_1								fíθih												
FOOT_Pomo_1	kʰma				xaːmˈaː				qʰama		kʰˈama	kʰamˈa				χman	kʰˈaːma			
FOOT_Seri_1														itˈoaː						
FOOT_Shastan_1															ʔákʼːus					
FOOT_Tequistlatecan_1						lˈaʔmis														
FOOT_Yana_1		lalla											lalla						lalla	
FOOT_Yuman_1				ʔimˈiː			əmilʲ			iːme								miː		mˈi
FULL_Chimariko_1			hiʦʼʲˈolam																	
FULL_Karuk_2								axjaɾ												
FULL_Pomo_1									ʧutʼaːq											
FULL_Pomo_2																	ʔˈahjakʼ			
FULL_Pomo_3	ʃtʼutʼ																			
FULL_Pomo_4												haʧʼa								
FULL_Pomo_5					pʼˈit̪ʼ															
FULL_Pomo_6																χˈat̪emat̪				
FULL_Seri_1														kpokt						
FULL_Shastan_1															kʼahutíknaʔ					
FULL_Tequistlatecan_1						nˈamma														
FULL_Yana_1		panʔiː											paʔniː						paʔniː	
FULL_Yuman_1										tapeːsm										
FULL_Yuman_2				ʧpuɾ																tmpˈiri
FULL_Yuman_3							t̪əmuɹ											t̪əmʔˈur		
GIVE_Chimariko_1			hˈawut																	
GIVE_Karuk_1								êːh												
GIVE_Pomo_1	daːkˈa				diːqˈaː				dihqa			dikˈa				ʔaqa	dˈihka			
GIVE_Pomo_2											hˈoːn									
GIVE_Seri_1														ˈiːkɛ						
GIVE_Shastan_1															táwiːk					
GIVE_Tequistlatecan_1						debˈiʔiʔma														
GIVE_Yana_1		halʦawau											halʦawau							
GIVE_Yuman_1										ajm~aajm										ʔˈéˑ
GIVE_Yuman_2				iː			winʲ											iɲ		
GOOD_Chimariko_1			hisˈiʔtʼa																	
GOOD_Karuk_1								jaβ												
GOOD_Pomo_1	kʼdi				qʼoːdˈij				qʼoʔdi		kʼˈudi	kʼidˈi					kʼˈoʔdi			
GOOD_Pomo_2																ʦʼimˈa				
GOOD_Seri_1														kˈiːpɛ						
GOOD_Shastan_1															kʼárisːáʔ					
GOOD_Tequistlatecan_1						ʔˈakʼa														
GOOD_Yana_1		ʦʼupʔ											ʦʼupʔ						ʦʼupʔ	
GOOD_Yuman_1										ʔahotk~ʔahoːtk										
GOOD_Yuman_2				pxʷaj																
GOOD_Yuman_3							ʔəxan̪											ʔiːxˈan~xan		ʔhˈáni
GREEN_Chimariko_1			hˈimamsuʔ																	
GREEN_Karuk_1								θúkinkuniʃ												
GREEN_Pomo_1	ʦʼaːkʰˈil								ʦʼaqʰaːla			ʦʼakʰˈatʼ					ʦʼˈahkʰil			
GREEN_Pomo_2					ʦʼaːbˈaʦʼaːbˌakʰ															
GREEN_Pomo_3																ʦʼijaʦʼija				
GREEN_Pomo_4											ʧamˈoron									
GREEN_Seri_1														kˈoːiɬ						
GREEN_Shastan_1															ʔéːriʧúmpaxiʔ					
GREEN_Tequistlatecan_1						ʔaʃwˈajɡa														
GREEN_Yana_1													taʦʼkaisa						taʦʼkaisa	
GREEN_Yuman_1				xpsiw			xəpəʂiw			havasuːk								xəpʃˈiw		hˌaβsˈuˑwi
HAIR_Chimariko_1			hˈimːi																	
HAIR_Karuk_1								ífunih												
HAIR_Pomo_1	ʔeː								heʔe			ʔe				ʔej	hˈeʔːe			
HAIR_Pomo_2					muːsˈu															
HAIR_Pomo_3											hˈele									
HAIR_Seri_1														iɬˈit						
HAIR_Shastan_1															ʔíːnax					
HAIR_Tequistlatecan_1						ɬˈaʍak														
HAIR_Yana_1		kʼujulla											kʼujul						kʼuʔjulla	
HAIR_Yuman_1										iʔe~ɲiʔe										
HAIR_Yuman_2				mxʷaɬ																
HAIR_Yuman_3																				qwˈawa
HAIR_Yuman_4							xəɬʲt̪aː											ʎ̥t̪a		
HAND_Chimariko_1			hˈitʲa~hˈiʦʲa																	
HAND_Karuk_1								tíːk												
HAND_Pomo_1									ʧohʃo		t̪ˈohʃo									
HAND_Pomo_2	t̪ʰna											t̪ʰanˈa					t̪ʰˈaːna			
HAND_Pomo_3					biːj̥ˈa															
HAND_Pomo_4																at̪ˈan				
HAND_Seri_1														ˈinoɬ						
HAND_Shastan_1															ʔápka					
HAND_Tequistlatecan_1						lamˈane														
HAND_Yana_1		talla											talla						talla	
HAND_Yuman_1				ʔiʃˈaːʎ̥			əsaɬʲ			iːsaʎ								ʃaʎ̥		sˈal
HEAD_Chimariko_1			hˈimaʔ																	
HEAD_Karuk_1								axβâːh												
HEAD_Pomo_1									hoʔt̪ʼo											
HEAD_Pomo_2	ʃnaː										t̪ˈinaː	ʃˈinaː					ʃinːa			
HEAD_Pomo_3					kʰaːjˈa											xijˈa				
HEAD_Seri_1														iɬˈit						
HEAD_Shastan_1															ʧaːráw					
HEAD_Tequistlatecan_1						ɬˈaʍak														
HEAD_Yana_1		tʼalʔaina											tʼalʔaina							
HEAD_Yuman_1										ʧuksa~ʧuska										
HEAD_Yuman_2				mkuɾ																
HEAD_Yuman_3																				hˈúː
HEAD_Yuman_4																		ʎ̥mu		
HEAD_Yuman_5							xəɬʲt̪aː													
HEART_Chimariko_1			husaʔanʧeːi																	
HEART_Karuk_1								iθβaːj												
HEART_Pomo_1									ʦʼuhkul							ʦʼukut̪	ʦʼˈuhkun			
HEART_Pomo_2	kʰam										kʰamʃeme	kʰam								
HEART_Pomo_3					saːmˈaːj															
HEART_Seri_1														ˈimoʃ						
HEART_Shastan_1															ʔíwaːsúrʔ					
HEART_Tequistlatecan_1						ɬonʃˈahmaʔ														
HEART_Yana_1		ʦukuʦʼi											ʦukʼutʦʼi							
HEART_Yuman_1				ʔijˈaːj						iːwa										iˑwˈáˑja
HEART_Yuman_2							iːʧix											iːʧˈaʃ		
HEAR_Chimariko_1			χˈukejat																	
HEAR_Karuk_1								θitiβ												
HEAR_Pomo_1	ʃoːʧ				ʃoːkʰ				ʃoːʧ			ʃoːʧi				xkʼo	ʃoːʧi			
HEAR_Pomo_2											ʃˈimit̪									
HEAR_Seri_1														kiː						
HEAR_Shastan_1															kwíkhjawik					
HEAR_Tequistlatecan_1						diɡjˈehʔma														
HEAR_Yana_1		kaː											kaː						kaː	
HEAR_Yuman_1				ʔiːʔˈiːp			jip			aʔavk								ʔip		ʔˈêˑβi
HEAVY_Chimariko_1			himita																	
HEAVY_Karuk_1								máːθ												
HEAVY_Pomo_1					xaːlˈikʰ															
HEAVY_Pomo_2																ʔtʼˈeʔkit̪				
HEAVY_Seri_1														kmˈotɛt						
HEAVY_Shastan_1															ʔiʧkákʼ					
HEAVY_Tequistlatecan_1						ʔaɡˈundaʔ														
HEAVY_Yana_1													miʦa							
HEAVY_Yana_2																			ʦʼaʔwiʦa	
HEAVY_Yuman_1				ɲix			wən̪ix~wən̪ax			ineːh~ineːθ								nix		
HEAVY_Yuman_2																				nˈoˑ
HORN (ANATOMY)_Chimariko_1			hˈuwesʲ																	
HORN (ANATOMY)_Karuk_1								βêːhʃuɾ~βêːʃuɾ												
HORN (ANATOMY)_Pomo_1	ʔa				ʔa				haʔa		ʔa	ʔa				ʔa	hˈaʔːa			
HORN (ANATOMY)_Seri_1														itˈaːmaɬka						
HORN (ANATOMY)_Shastan_1															wáːpaʔ					
HORN (ANATOMY)_Tequistlatecan_1						lˈeɡaɬ														
HORN (ANATOMY)_Yana_1		weːju											weːju						weːju	
HORN (ANATOMY)_Yuman_1				kʷa			əkʷaː			iːkʷe										kʷˈá
I_Chimariko_1			nˈoʔot																	
I_Karuk_1								náː												
I_Pomo_1	ʔaː				haː				ʔa		ʔaː	ʔaː				ʔa	ʔˈaːʔa			
I_Pomo_2	t̪oː				wi				t̪o		ʔˈaht̪o	t̪oː				wit̪	ʔat̪ːo			
I_Seri_1														ʔɛ						
I_Shastan_1															jaːʔa					
I_Tequistlatecan_1						ʔijˈaʔ														
I_Yana_1		aiʔniʦa											aiʔniʦa						aiʔniʦi	
I_Yuman_1				ɲaːʧ			ʔənʲaːʧ			ʔiɲeʧ								ɲaːʧ		ʔɲˈaʧi
KILL_Chimariko_1			hˈakʰo																	
KILL_Karuk_1								ijkaɾ												
KILL_Pomo_1	haːkʼˈuːm								pʰakʼuːm											
KILL_Pomo_2																	mihjˈana			
KILL_Pomo_3												ʧaban								
KILL_Pomo_4					ʃaːkʼ															
KILL_Pomo_5																mudˈoqa				
KILL_Pomo_6											kʼˈamanan									
KILL_Seri_1														kikʷ						
KILL_Shastan_1															kʼwíʧkaxáwiːk					
KILL_Tequistlatecan_1						dimˈaʔaʔma														
KILL_Yana_1		ʔamʔʦi											ʔapʔʦi						ʔapʔʦi	
KILL_Yuman_1										tapujm										
KILL_Yuman_2				nak																
KILL_Yuman_3																				nˈéhi
KILL_Yuman_4							aːmuːʧ											aːmˈuːʧ		
KNEE_Chimariko_1			hitxanimaxa																	
KNEE_Karuk_1								páθak												
KNEE_Pomo_1									moqʰoː											
KNEE_Pomo_2	snoː																sinːˈot̪ːa			
KNEE_Pomo_3												jaːsˈis								
KNEE_Pomo_4					qʼuːt̪ˈul															
KNEE_Pomo_5																qʼadˈa				
KNEE_Pomo_6											ʃˈiʔkʼˈono									
KNEE_Seri_1														iɸɬk						
