	Central Pomo	Eastern Pomo	Kashaya	Northeastern Pomo	Northern Pomo	Southeastern Pomo	Southern Pomo
KNEE_6			moqʰoː				
KNOW (SOMETHING)_1	jaqʼ					fdˈiqa	
KNOW (SOMETHING)_2					ʃaː		
KNOW (SOMETHING)_3			ʔduːʧiʧʼ				
KNOW (SOMETHING)_4							hiʔduʧːˈed
KNOW (SOMETHING)_5		meːʔˈel					
LEAF_1			ʃihpʰa				ʃiːma
LEAF_2	stʼal	siːtʼˈal		t̪ˈuʔt̪ʼa	ʃapʰˈa		
LEAF_3						kˈiqt̪a	
LIE (REST)_1	mti		miti		mitˈi	mat	miːti
LIE (REST)_2		mer		mˈeːre			
LIVER_1	ʃaːlˈaː	kʰaːl̥ˈal	ʧahlaː	ʧʰˈalaː	ʃˈalaː	ʃlal~ʃlala	ʧˈalha
LONG_1		baːkˈil				biʦˈil	
LONG_2	kol		ʔahqol	kˈolon	kol		ʔˈahkon
LOUSE_1	ʧi	kiː	ʔahʧi		ʧi	ʦin	ʔˈahʧi
LOUSE_2				t̪ˈikaː			
MAN_1		kaːkʰ				ʦˈawi	
MAN_2							ʔˈaʧːaj
MAN_3	bˈaja		hiʔbaja				
MAN_4				bˈiki	baː		
MANY_1			batʰeː	bˈahtʰe	batʰˈe		bˈahtʰe
MANY_2						bitˈeqa	
MANY_3	t̪ʰˈedu						
MEAT_1	pʼʃe	biːʃˈe	bihʃe	bˈehʃe	biʃˈe	bxe	behʃe
MOON_1		duːwˈelˌaː				ʔeweda	
MOON_2				dˈuwedakaː			
MOON_3	lˈaːʃa		qʼalaːʃa				ʔalːˈaːʃa
MOON_4					da		
MOUNTAIN_1	daːnˈo	daːnˈo	dono		danˈo	kno	dˈoːno
MOUNTAIN_2				wˈiʃaː			
MOUTH_1	ha		ʔaha	hˈamo	ha		ʔˈahːa
MOUTH_2		xˈaʦʼiːda				χˈast̪o	
NAME_1	ʃi	ʃi		ahʃˈin	ʃi	xi	
NAME_2			ʃihʧimaːʧʼ				
NAME_3							ʔahʃiːjaw
NECK_1	mja		mihja				mˈihja
NECK_2		qʼoj				qʼoj	
NECK_3					kʰu		
NECK_4				hˈuʔkʼa			
NEW_1	ʃwej	ʃiːwˈej	ʃiwej	ʃˈewej	ʃiwˈej		ʃˈeːwej
NEW_2						qe	
NIGHT_1	ʔaːwˈe	duːwˈe	duwe	dˈuwe	diwˈe	ʔewˈe	dˈuːwe
NOSE_1	la		ʔila	lˈimo	la	la	
NOSE_2							hiːlˈamʔda
NOSE_3		lˈaboːbo					
NOT_1	ʧʰow	kʰuj	t̪ʰin		kʼo		t̪ʰot̪ʰ
NOT_2				ʧʰˈoːt̪on			
NOT_3						da	
ONE_1		kʼˈali		ʧʼˈaːki	ʧʼaː	dan	
ONE_2	tʼaːtʼˈo						ʧʼˈaːʔa
ONE_3			hku				
PERSON_1	ʧaːʧʼ	kaːwkʰ	ʔaʧaːʧ		ʧaʔ		
PERSON_2							ʔahʧˈahʧej
PERSON_3				t̪ˈaːt̪kaː			
PERSON_4						ʔˈumt̪iwi	
RAIN (PRECIPITATION)_1	ʧʰe	kʰiːkˈeː	ʔihʧʰe			sʦʼen	ʧˈehʧʰe
RAIN (PRECIPITATION)_2				ʃˈiʔt̪ʼoːn			
RAIN (PRECIPITATION)_3					biʃˈemaː		
RED_1	tʼas		kʼiːs		t̪ʼaʦʼ	t̪ʼˈant̪ʼan	hˈatʼːa
RED_2				ʧʼabˈaran			
RED_3		qʼedˈaqʼedˌakʰ					
ROAD_1		dˈadaj				dˈawa	
ROAD_2	da		hiʔda	da	da		hˈiʔda
ROOT_1	saːmˈa					sumˈa	
ROOT_2		ʦʰiʦʰ			jem		
ROOT_3							sˈuːlen
ROOT_4			ʔihqʰot				
ROUND_1						bˈunbun	lˈupːu
ROUND_2	ʃbokʼ				ʧʼadˈol		
ROUND_3			poloːlo				
ROUND_4				mukˈaːkan			
SALT_1			taʔqʼo				taʔkʼo
SALT_2		kʰeːʔˈeː		ʧʰˈeʔeː	ʃeʔˈeː		
SAND_1	mʦatʼ		mitaʧ		miʧˈatʼ	mat̪ˈak	mˈiːtaj
SAND_2		tʰaːʔˈaː					
SAND_3				hˈino			
SAY_1	mi	n̥iː		wˈeːn			
SAY_2					heʔ		
SAY_3			nihʧe				
SAY_4							ʧˈahnu
SAY_5						muwˈat̪a	
SEE_1		kaːr	ʧad	t̪aːn	ʧadi		ʧˈaːd
SEE_2	pʰwi						
SEE_3						mqo	
SEED_1		qˈaːsoj			soː		
SEED_2	sˈemija		semíːja				simˈiːja
SEED_3						semˈeja	
SIT_1	ʔaːʧʰˈa			t̪ˈuman	ʧimˈa	sʦʼa	
SIT_2		kˈaː	ʧa				
SIT_3							ʧˈiːjo
SKIN_1	ʦʼda	ʦʼiːdˈa	ʦʼiʔda				ʦʼˈiʔda
SKIN_2					sijˈan		
SKIN_3						qʼˈot̪al	
SKIN_4				ʃˈuːru			
SLEEP_1	sma		simaːq	ʃimˈaːkan	simˈa		sˈiːma
SLEEP_2						qnaq	
SLEEP_3		siːmˈaːmˈer					
SMALL_1	kaːwˈi		qawi				
SMALL_2							kiʦʼːˈidu
SMALL_3		buːhˈuʃ			biʧʼˈuʔ		
SMALL_4				t̪ʼˈuːjaʔan			
SMALL_5						kʼˈuʧʼin	
SMOKE (EXHAUST)_1			hosa				ʔohːˈosa
SMOKE (EXHAUST)_2	hosˈaha	saːxˈa		ʃˈaha	sahˈa	ʦχa	
SNAKE_1		qaːlˈutʼuːdˌukʰ					
SNAKE_2					misakʰala		
STAND_1					t̪omˈa	qt̪ˈomat̪	
STAND_2	ʧaːtˈom						ʧˈoht̪on
STAND_3		kˈokʰ		t̪ˈoːn			
STAND_4			t̪ʼeːt̪				
STAR_1	kʰʔˈaːmul		qʰaːmoʦʼ				kʰˈamhun
STAR_2		ʔˈujaxo					
STAR_3					tʰotʰˈol		
STAR_4				kˈoʔtaikaː			
STAR_5						ʦʼeχajqʼujqʼuj	
STONE_1	kʰbe	xaːbˈe	qʰaʔbe	kʰˈaʔbe	kʰabˈe	χabˈe	kʰˈaʔbe
SUN_1					mˈit̪ʼaː	mʦˈilda	
SUN_2	da	laː	haʔda				hˈaʔda
SUN_3				dˈakaː			
SWIM_1					kʼot̪ˈama		ʔohkˈomaj
SWIM_2		xaːqaː				χajqam	
SWIM_3	kʰˈaʧde						
SWIM_4			ʧiw				
TAIL_1	baː	jiːbˈaː	hibaː		kˈimaː	ba	
TAIL_2				ʃˈiʔbaː			
TAIL_3							hibʔˈakʰle
THAT_1	mul	ʔo	haʔu	hˈamuː	mul		hˈamːu
THAT_2						ʔˈiji	
THIS_1	bal				ʔal		
THIS_2		me	maʔu				mˈaːmu
THIS_3						mˈiji	
THOU_1	ma	ma	ma	ˈama	ma	ma	ʔˈaːma
TONGUE_1	hˈawba	bal	haːba	hˈuʔbaː	hˈabaː	bal	hˈibʔa
TOOTH_1	ʔo	jaːʔˈo	hoʔo	ʔo	ʔo	ʔo	hˈoʔːo
TREE_1	kʰle	xaːlˈeː	qʰale	kʰˈali	kʰalˈe	χalˈe	kʰˈaːle
TWO_1	kʰoː	xoʧʰ	qʰoː		kʰoː	χos	ʔˈakʰːo
TWO_2				kʰoʔˈoːkai			
WALK_1			w			wal	
WALK_2					hu		
WALK_3		wˈaduːkˌiː					
WARM_1	ho	xo	ʔoho		ho		ʔˈohːo
WARM_2				moʔʦʼˈolon			
WARM_3						mit̪ʼe	
WATER_1	kʰa	xa	ʔahqʰa	kʰa	kʰa	χa	ʔˈahkʰa
WE_1	ja	waː	ja	ˈajaː	ja	wij	ʔˈaːja
WHAT_1				pʰaːʃka			
WHAT_2						ʔˈawi	
WHAT_3			baqʼoː				bˈaːkʼo
WHAT_4	kʼˈowa	ʧʰi			kʼo		
WHITE_1	kaːlˈe		qahle		kalˈe		kˈahle
WHITE_2		pʰiːt̪ʼˈaw		tʰˈajan			
WHITE_3						t̪ʼˈot̪ʼo	
WHO_1		kiːjˈaː	ʧibaː		ʧˈibaː		
WHO_2				t̪ʰˈaʔa		ʦˈaʔe	ʧˈaʔːa
WHO_3	bˈaːwa						
WIND_1	ja	j̥ˈa	ʔihja	hˈija	ja	ja	ʔihja
WOMAN_1	mˈaːt̪a		ʔimaːt̪a		mˈaːt̪a		
WOMAN_2		da		dˈaki			bˈaʔaj
WOMAN_3						bitˈed	
WORM_1		kʰˈol	bila				
YEAR_1			mal		jemal		
YEAR_2		xuːʦʼˈaj					
YEAR_3						mutin	
YELLOW_1		quːʃˈiliʃiːbˌa			ʧiʃˈilʃiba		
YELLOW_2	ʧˈot̪ʼəʃəba						
YELLOW_3				kʰaʃˈiʔba			
YELLOW_4						kiʔˈilt̪ʼo	
YELLOW_5			qʰalaːʧ				
YELLOW_6							biʔdˈubotʼ
