	Aichi	Akita	Aomori	Chiba	Ehime	Fukui	Fukuoka	Fukushima	Gifu	Gunma	Hachijō	Hateruma	Hirara	Hiroshima	Hokkaidō	Hyōgo	Ibaraki	Ikema	Irafu	Ishigaki	Ishikawa	Iwate	Kagawa	Kagoshima	Kanagawa	Kumamoto	Kyōto	Kōchi	Mie	Miyagi	Miyazaki	Nagano	Nagasaki	Nara	Naze	Niigata	Okayama	Okinawa	Old Japanese	Saga	Saitama	Shiga	Shimane	Shizuoka	Taketomi	Tarama	Tochigi	Tokushima	Tottori	Toyama	Tōkyō	Wakayama	Yamagata	Yamaguchi	Yamanashi	Yonaguni	Ōita	Ōsaka
SNAKE_1		βeɴbi	heɴbi	hebi	hebi	heːbu		hebi	heɴbi	hebi	hebime				hebi		hebi				hebi	çeɴbi	hebi	heʔ	hebi	hebi	hebi	hebi		hebi	hebi	hebi		hebi		hebi			həmi		hebi	heːbi		heːbi			hebi			heːbi	hebi		βeɴbi	hebi	hebi		hebi	hebi
SNAKE_2												paku	pau					hau	pavu̥	habu															habu			βabu							pabu	poː												
SNAKE_3	kuʧinawa						kuʧinawa							kuʧinawa		kuʦuna													kuʧinawa				kuʧinawa				kuʧinawa			kuʧinawa			kuʧinawa					ɡuʧinawa	kuʧinawa			kuʧinaː						
SNAKE_4																																																								tuɡara		
STAND_1	taʦu	taʤi	taʣu	taʦu	taʦu	taʦu	taʦu	taʧi	taʦu	taʦu	taʦu	taʦɨɴ	taʦɨ	taʦu	taʦu	taʦu	taʦu	taʦɨ	taβu	taʦuɴ	taʦu	taʣu	tateru	taʔ	taʦu	taʦu	taʦu	tateru	taʦu	taʣu	taʦu	taʦu	taʦu	taʦu	taʧuɴ	taʦu	tateru	taʔtuɴ	tatu	taʦu	taʦu	taʦu	taʧi	taʦu	tatuɴ	taʦɨ	taʣu	taʦu	taʦu	taʦu	taʦu	taʦu	taʤi	taʦu	taʦu	tatʔuɴ	tatu	taʦu
STAR_1	hoʃi	hoʃi	hosu	hoʃi	hoʃi		hoʃi	hoʃi		hoʃi	hoʃi	puʦɨ	pusɨ	hoʃi	hoʃi			βusɨ	pusɨ	pusɨ	hoʃi			hoʃi̥		hoʃi	hoʃi	hoʃi	hoʃi				hoʃi	hoʃi	βusɨ	hoʃi	hoʃi	βuʃiː	høʃi	hoʃi	hoʃi		hoʃi	hoʃi	puʃi	pusɨ	hoʃi	hoʃi	hoʃi		hoʃi		hoʃi	hoʃi	hoʃi	βuʧi	hoʃi	
STAR_2						ohoʃisaɴ			ohoʔsama							hoʔsaɴ	ohoʔsama					ohosusama	ohoʔsaɴ		hoːʃisaɴ					ohosusama	hoʔsama	ohoʃisaɴ										hoʔsaɴ								hoʔsaɴ		hoʔsaɴ						hoʔsaɴ
STONE_1	iʃina	eʃi	esu	iʃi	iʃi	iʃi	iʃi	iʃi	iʃina	iʃi	iʃi	ʔiʃi	isɨ	iʃi	iʃi	iʃi	eʃi	isɨ	isɨ	ʔiʃi	iʃi	esu	iʃi	iʃ	iʃi	iʃi	iʃi	iʃi	iʃi	esu	iʃi	eʃi	iʃi	iʃi	isɨ	eʃi	iʃi	iʃi	iʃi	iʃi	iʃi	iʃi	eʃi	iʃi	iʃi	iʃi	iʃi	iʃi	iʃi	iʃi	iʃi	iʃi	eʃi	iʃi	iʃi	iʧi	iʃi	iʃi
SUCK_1													jubzɨ					juvu̥	juvu̥																											jubzɨ												
SUCK_2	suː	ʃi		suː	suː	suː	suː	suː	suː	suː	suː			suː	suː	suː	suː			suːɴ	suː	suː	suː	suː	suː	suː	suː	suː	suː	suː	suː	suː	suː	suː	sɨːjuɴ	suː	suː			suː	suː	suː	ʃiː	suː	suːɴ		suː	suː	suː	suː	suː	suː	su	suː	suː		suː	suː
SUCK_3			suru																																			supujuɴ	suhu																			
SUCK_4												ʔsuɴ																																														
SWIM_1								miʣuabiʃiru									miʣuabisuru															miʣoabiru												miʣuabe			miʣuabisuru						miʤiaburu					
SWIM_2	abiru								abiru									uːʣɨ	uːʣɨ		aberu															abiru														abiru								
SWIM_3												ʔuɴ																																	uːɴ													
SWIM_4		ojoŋu	ojoɡu	ojuɡu	ojoɡu	ojoŋu	ojoɡu			ojoɡu	ojoɡu		ujuɡzɨ	ojoɡu	ojoɡu	ojoŋu				ʔumuɴ		ojoɡu	ojoɡu	ojoʔ	ojoɡu	ojeɡu	ojoŋu	ojoɴɡu	ojoɡu	ojoɡu	oeɡu		ojoɡu	ojoɴɡu	ʔuɡjuɴ		ojoɡu	ʔuiɡuɴ	øjøɡu	ojoɡu	ojoɡu	ojoŋu	ojoɡu			uiɡzɨ		ojoɡu	ojoɡu		ojoɡu	ojoɴɡu		ojoɡu	ojoŋu	ʔuɡuɴ	ojoɡu	ojoŋu
TAIL_1													ʣuː		o	oː		ʤuː	ʣuː	ʣuː	oː		oː				oː						o	o				ʤuː	wo	o		oː			ʣuː	ʤuː	o	oː				oː					o	oː
TAIL_2																																			ʤuːbu																							
TAIL_3	oʔpo		oʔpa	oʔpo					oɴbo		oʔpo											oʔpa			oʔpo							oʔpo																					oʔpa					
TAIL_4					obaʧi									oɴbaʧi														obaʔta																														
TAIL_5		ʃiʔpo				ʃiriʔpo	ʃiʔpo	ʃiʔpo		ʃiʔpo							ʃiriʔpo							ʃiːbo		ʃiribo				suʔpo	ʃiriʔpo					ʃiʔpo	ʃiʔpo				çiʔpo		ʃiːbo	ʃiʔpo					ʃiʔpo	ʃiriʔpo	ʃiʔpo			ʃiʔpo	ʃiʔpo			
TAIL_6												busupu																																														
TAIL_7																																																								duɴpani		
THAT_1	are	are	ae	are	are	are	are	are	are	are			kai	are	are	ae	are	kai	kari		are	are	are	ai	are	aru	are	are	are	aeʣu	are	are	ai	are	arɨ	are		ari	kare	ai	are	are		are	kari	kal	are	are	are	aru	are	are	are	are	are		aitu	are
THAT_2																																					eː						aː															
THAT_3											ui																																															
THEY_1														arera																									kare																			
THEY_2		anoβutodaʤi	anoβutodaʣu		anoʃitora			anoʃitodaʧi							anoçitotaʧi						anoçitora	anoçidaʣu							anoçitora															anoçitoʔʧi				anoçitotaʧi		anoçitotaʧi	anoçitotaʧi				anoçitotaʧi			
THEY_3																								aɴʃitaʔ																aitaʧi																		
THICK_1												aʦahaɴ								aʔʦaɴ																																				aʦaɴ		
THICK_2																																							atuʃi																			
THIN_1	uʃuː	uʃie	usue	usuː	usui	usui	usuka	usui	uʃuː	usui	usukja		usɨkaɨ	usui	usui	usui	usue	ʔsukai			usui	usu	usui	uʃi	uʃiː	usuka	usui	usui	usui	usue	usi	usue	usuka	usui		uːse	uʃiː	ʔusuʃeɴ	usuʃi	usuka	usue	usui	oʃiː	usui			usui	usui	usui	uʔsui	usui	usui	uʔʃi	uʃiː	usui		usiː	usui
THIN_2																																													pisaɴ	piʔsaːl										çiʦaɴ		
THIN_3												psɨʃahaɴ							psɨsɨkal	psɨʃi̥saːɴ															çiʃiːʃaɴ																							
THINK_1	omoː	omou	omoru	omou	omou	omou	omou	omou	omoː	omoː	omoːwa		umuː	omoː	omou	omou	omoː	umuː	umuː	ʔumuiɴ	omoː	omou	omou	omoː	omoː	omou	omou	omou	omou	omou	omuː	omoː	omoː	omou		omoː	omoː	ʔumuiɴ	ømøβu	omoː	omoː	omou	omoː	omoː	umuːɴ	umuː	omoː	omou	omoː	omoː	omoː	omou	omou	omoː	omoː	ʔumuɴ	omuː	omou
THINK_2												muɴ																																														
THINK_3																																			omojuri																							
THIS_1	køːʦu	kore	koe	kore	kore	kore	kore	kore	køːʦu	kore	koi		kui	kore	kore	koe	kore	kui	kuri		kore	kore	kore	koi	kore	koru	kore	kore	kore	koeʣu	kore	kore	koi	kore	kurɨ	kore	kore	βuri	køre	koi	kore	kore	keː	kore	kuri	kul	kore	kore	kore	koru	kore	kore	kore	kore	kore		koitu	kore
THREE_1	miʔʦu	miʔʧi	miʔʦu	miʔʦu	miʔʦu	miʔʦu	miːʦu	miʔʦu	miʔʦu	miʔʦu	miʔʦu	mɨːʦɨ	mɨːʦɨ	miʔʦu	miʔʦu	miʔʦu	miʔʦu	miːʦɨ	mɨːʦɨ	miːʦɨ	miʔʦu	miʔʦu	miʔʦu	miʔʦu	miʔʦu	miʔʦu	miʔʦu	miʔtu	miʔʦu	miʔʦu	miʔʦu	miʔʦu	miʔʦu	miʔʦu	miːʦɨ	miʔʦu	miʔʦu	miːʧi	mi	miʔʦu	miʔʦu	miʔʦu	meʔʧi	miʔʦu	miːʧi	mɨːʦɨ	miʔʦu	miʔʦu	miʔʦu	meʔʦu	miʔʦu	miʔʦu	miʔʧi	miʔʦu	miʔʦu	miʧi	miʔtu	miʔʦu
THROW_1																		jai																												jal												
THROW_2													tɨ																																													
THROW_3						hoːru								hoːru		horu							hoːru		hoʔpoːru		horu	hoːru	horu					hoːru			hoːru					hokoru						hoːru				horu						horu
THROW_4	naɡeru	naŋeru	naŋeru	naɡeru	naɡeru		naɡuru	naŋeru	naŋeru	naɡeru	naŋeru	naɴɡiruɴ			naŋeru		buɴnaŋeru			naɴɡiruɴ	naŋeru	naŋeru		naɡuʔ		naɡuru				naŋeru	naɡuru	naŋeru	naɡuru		naɡjuɴ	hoɴnaɡeru		naɡiːɴ	naɡu	naɡuʔ	naɡeru		naɡeː	naŋeru	naɴɡuɴ		naŋeru		naɡeru	naŋeru	naŋeru		naŋeru	naɡeru	naŋeru	naŋi	naɡuru	
THROW_5																			teivu̥																																							
TONGUE_1	ʃita	ʃita	suta	ʃita		heta	ʃita				ʃita	sɨta	sɨda			ʃita		tʔa	sɨta	sɨta	heta	suda	ʃita	ʃita	ʃita	ʃita	ʃita	ʃita	ʃita			hera			sɨba	ʃiʔta		ʃiʧaː	ʃita	ʃita		ʃita	ʃita		ʃita	sɨta			ʃita		ʃita	çita	ʃita	ʃita	ʃita	tʔa	ʃita	ʃita
TONGUE_2					bero			bero	bero	bero				bero	bero		bero													bero	bero		bero	ʃitabero			bero				bero			bero			bero	bero		bero								
TOOTH_1	ha	ha	ha	ha	haː	haː	ha	ha	ha	ha			paː	ha	ha	haː	ha	haː	paː	haː	haː	ha	haː	ha	ha	ha	haː	ha	haː	ha	ha	ha	ha	ha	ha	ha	ha	βaː	ha	ha	ha	haː	ha	ha	paː	paː	ha	haː	ha	haː	ha	haː	ha	ha	ha	ha	ha	haː
TOOTH_2											nukaba																																															
TOOTH_3												βuʦɨnupaɴ																																														
TWO_1	βutaʦu	βutaʔʧi	βutaʔʦu	βutaʔʦu	βutaːʦu	βutaʦu	βutaʦu	βutaʦu	βutaʦu	βutaʔʦu	βutaʦu	βutaːʦɨ	βutaːʦɨ	βutaʦu	βutaʦu	βutaʦu	βutaʦu	βutaːʦɨ	βutaːʦɨ	βutaːʣɨ	βutaʦu	βutaʔʦu	βutaʦu	βutaʔ	βutaːʦu	βutaʦu	βutaʦu	βutaːtu	βutaʦu	βutaʦu	βutaʦu	βutaʦu	βutaʦu	βutaʦu	tʔaːʦɨ	βutaʔʦu	βutaʦu	taːʧi	βuta	βutaʦu	βutaʦu	βutaʦu	βutaʧi	βutaʦu	βutaːʧi	βutaːʦɨ	βutaʔʦu	βutaːʦu	βutaʦu	βutaʦu	βutaʦu	βutaʦu	βutaʔʧi	βutaːʦu	βutaʔʦu	taʧi	βutaʦu	βutaʦuː
VOMIT_1												muduʃiɴ																																														
VOMIT_2																																	tosu																									
VOMIT_3																				aɡiruɴ				aɡuʔ																																		
VOMIT_4	haku	haɡu	haɡu	hau	haku	haku	haku	haɡu	haku	haku	haku		paksɨ	haku	haku	haku	haku	haβu			haku	haɡu	haku		haku	haku	haku	haku	haku	haɡu	haku	haku		haku	hakjuɴ	haku	haku	βakuɴ	haku	haku	haku	haku	haku	haku	pakuɴ	paksɨ	haɡu	haku	haku	haku	haku	haku	haɡu	haku	haku	haɡuɴ	haku	haku
VOMIT_5																			paʔtil																																							
WALK_1	aruku	ariɡu	ariɡu	aruɡu	aruku	aruku	ajumu	aruku	aruku	aruɡu	eːmu	aruɡuɴ	aɨksɨ	aruku	aruku	aruku	aruku	aiʦɨ	aruβu	araɡuɴ	aruku	aruɡu	aruku	ajuɴ	aruku	ajubu	aruku	aruku	aruku	aruɡu	ajumu	eːbu	aruku	aruku	ʔaʔkjuɴ	aebu	aruku	ʔaʔkuɴ	ajume	ajubu	aruku	aruku	ariku	eːku	arakuɴ	alksɨ	aruku	aruku	aruku	araku	aruɡu	aruku	ariɡu	aruku	aruku	aiɡuɴ	ajumu	aruku
WARM_1			aʔtaɡɛ	aʔʦuː				aʔtaɡe		aʔtakeː					aʔtakai		aʔtaɡɛː					aʔtaɡɛ			aʔtakeː		aʔtakai			aʔtaɡɛː		aʔtakeː	atataka			aʔtakɛ			atatakeʃi		aʔtakeː			aʔtakɛː			aʔtaɡai				atatakai		aʔtako		aʔtakai			
WARM_2	nukuʧeː	nuɡue			nukui	ɲikutɛ	nuʔka		nukutø		nukuokja		nufukaɨ	nukui		nukui		nufukai	nufukam	nuβusaɴ	nukui		nukui	nuki		nuʔka		nukui	nukutai		nukuiː			nukui	nukuʃaɴ		nukiː	nukuʃeɴ		nuʔka		nukui	nokui		nuʔsaɴ	nufuʃaːl		nukui	nukui	nukui		nukui		nukui		nukusaɴ	nukui	nukui
WARM_3												noːsahaɴ																																														
WATER_1	miʣu	miɴʤi	miɴʣu	miʣu	miʣu	miʣu	miʣu	miʣu	miʣu	miʣu	miʣu	miʣɨ	miʣɨ	miʣu	miʣu	miʣu	miʣu	miʣɨ	miʣɨ	miʣɨ	miʣu	miɴʣu	miʣu	miʔ	miʣu	miʣu	miʣu	miɴdu	miʣu	miɴʣu	miʣu	miʣu	miʣu	miʣu	mɨʣɨ	miʣu	miʣu	miʤi	midu	miʣu	miʣu	miʣu	meʤi	miʣu	miʤi	miʣɨ	miʣu	miʣu	miʣu	miʣu	miʣu	miʣu	miɴʤi	miʣu	miʣu	miɴ	miʣu	miʣu
WE_1	waʃiraː			wataʃidomo	wataʃira		ataʃidaʧi		waʃira	wataʃitaʧi	waira			waʃira	wataʃidomo	wataʃira					watera		otaʃira	ataitaʔ		wataʃidoɴ	wataʃira	wataʃiraː	wataʃira	wadasudaʦu	waʃitaʧi	waʃidomo	wataʃidomo	waʃira			wataʃiraː			wataʃidomo	waʃira	wataʃira	wataʃidomo	waʃira			wataʃira	wataʃira	waʃiraː	waʃitaʧi	wataʃitaʧi	wataʃira	wadaʃida	wataʃitaʧi	wataʃidomo		waʃidoː	watera
WE_2						urara																																	ware																			
WE_3			waɴdo										baɴta					baɴti	baɴti																			waʔtaː							baɴtaː	aɴta												
WE_4																																			wakja																							
WE_5		oreadaʤi						oredaʧi									oretaʧi					oredaʣu			oretaʧi																																	
WE_6																																				ʤibuɴtaʧi																						
WET_1																				ʣoʔβiɴ																									ʣoʔβuɴ													
WET_2		joŋoreru										doʔfariruɴ																								joɡoreru																	joŋoreru					
WET_3											peːru																								nərjuɴ																					ɴɡaruɴ		
WET_4	nureru		nureru	nureru	nureru	nureru	nururu	nureru	nureru	nureru			ɴmiɨ	nureru	nureru	nureru	nureru	ɴmiː	ɴmil		nureru	nureru	nureru	nuruʔ	nureru	nururu	nureru	nureru	nureru	nureru	nururu	noreru	nuruʔ	nureru			nureru	ɴriːɴ	nuru	nuruʔ	nureru	nureru	noreː	nureru		ɴmil	nureru	nureru	nureru	nureru	nureru	nureru		nureru	nureru		nururu	nureru
WHAT_1												nuːjabaɴ																																														
WHAT_2																																							nani																			
WHAT_3													ɴʤi																						dɨɴ																							
WHAT_4																				noː																																				nuɴ		
WHAT_5	dono	dono	dono	dono	dono	dono	dono	dono	dono	dono	dono			dono	dono	dono	dono	inu	iʤinu		dono	dono	dono	doɴ	dono	doɴ	dono	ɴdono	dono	dono	doɴ	dono	doɴ	dono		dono	deːno	nuːnu		dono	dono	dono	dono	dono	nuːnu	ɴdənu	dono	dono	dono	doɴ	dono	dono	dono	dono	dono		doɴ	dono
WHERE_1	doko	doɡo	doɡo		doko	doko	doko	doko	doko	doko	doko			doko	doko	doko	doko				doko	doɡo	doko	doko	doko	doko	doko	ɴdoko	doko	doɡo	doko	doko	doko	doko		doko	doko			doko	doko	doko	doko	doko			doɡo	doko	doko	doko	doko	doko	doko	doko	doko		doko	doko
WHERE_2																																							iduku																			
WHERE_3													ɴʣa					iʤa	iʣa																											ɴda												
WHERE_4				doː																															daː			raː							maː													
WHITE_1	ʃirøː	ʃire	sure	ʃireː	ʃiroi	ʃiroi	ʃiroka	maʔʃiro	ʃirøː	ʃiroi	ʃirokja			ʃiroi	ʃiroi	ʃiroi	ʃiroe				ʃiroi	sure	ʃiroi	ʃire	ʃireː	ʃiroka	ʃiroi	ʃiroi	ʃiroi		maʔʃiri		ʃiroka	ʃiroi	sɨruʃaɴ	ʃireː	ʃireː	ʃiruʃeɴ	ʃiroʃi	ʃiroka	ʃire	ʃirøe	ʃiroe	ʃiroi			ʃiroi	ʃiroi	ʃiroi	ʃiroi	ʃiroi	ʃiroi	ʃiroe	ʃirøː	ʃiroi		ʃiriː	ʃiroi
WHITE_2																														ʔʃoe																												
WHITE_3													ʔsukaɨ					ʔsukai	ʔsukam																										ʔsoːɴ	ʔsuʃaːl										ʦudari		
WHITE_4																				sɨsɨsaːɴ																																						
WHITE_5												ʔsoːʃahaɴ																																														
WHITE_6																																ʃireːnamaʔʧireː																										
WHO_1							dai				dai																												ta																			
WHO_2																																						tanʧuː							taʔtaː													
WHO_3		donoβutp	donoβuto	doɴçito	donoʃito	donoçito		donoʃito		donoʃito			ɴʤipsɨtu		donoçito	donoʃito	donoçito	inusɨtu	talnupsɨtu		donoçito	donoçito			donoçito	donoçito	donoçito	ɴdonoçito	donoçito	donoçito	doɴʃito	donoʃito	donoçito	donoçito		donoʃito				donoçito	donoʃito	donoçito	donofuto	donoçito		ɴdinupsɨtu		donoçito	donomoɴ	donoçito	donoçito	donoçito		donoçito	donoçito			donoçito
WHO_4	døːʦu								døːʦu														doiʦu												duɴʦʔu		deːʦu																doeʤi				doitu	
WHO_5														dore										doɴʃi																																		
WIDE_1												psɨsuhaɴ	psɨsukaɨ						psɨsukal																											psɨsuʃaːl												
WIDE_2	çirøː	ʃire	sure	çireː	çiroi	çiroi	çiroka	çiroi	çirøː	çiroi	çirokja			çiroi	çiroi	çiroi	çiroe				çiroi	çire	çiroi	çire	çireː	çiroka	çiroi	çiroi	çiroi	çiroe	çiri	ʃireː	çiroka	çiroi	çiruʃaɴ	çireː	çireː	çiruʃeɴ	çirøʃi	çiroka	βireː	çiroi	βuroe	çireː	piʣoːɴ		çiroi	çiroi	çiroi	heroi	çiroi	çiroi	βiːre	çirøː	çiroi		çiriː	çiroi
WIDE_3																				maiʃaːɴ																																				maisaɴ		
WIDE_4																		βuikai																																								
WIND_1	kaʣe	kaɴje	kaɴʣe	kade	kaʣe	kaje	kaje	kaʣe	kaʣe	kaʣe	kaʣe	kaʤi	kaʤi	kade	kaʣe	kaʣe	kaʣe	kadi	kaʤi	kaʤi	kaʣe	kaɴʣe	kaʣe	kaʣe	kaʣe	kaje	kaʣe	kaʣe	kaʣe	kaɴje	kaje	kaʣe	kaje	kaʣe	kaʤə	kaʣe	kaʣe	haʤi	kaʣe	kaje	kaʣe	kaʣe	kaʣe	kaʣe	kaʤi	kadi	kaʣe	kaʣe	kaʣe	kaʣe	kaʣe	kaʣe	kaɴʣe	kaje	kaʣe	kadi	kaje	kaʣe
WING_1	hane	hane	hane	hane	hane	hane	hane	hane	hane	hane	hane	pani	pani	hane	hane	hane	hane	hani	pani	pani	hane	hane	hane	hane	hane	hane	hane	hane	hane	hane	hane	hane	hane		hanə	hane	hane	βani	hane	hane	hane	hane	hane	hane	pani	pani	hane	hane	hane	hane	hane	hane	hane	hane	hane	pani	hane	hane
WING_2																																		haneɡeta																								
WORM_1	memeʣo	mimiɴʤi	memeɴʣu	mimiʣu	mimiʣu	mimiʣu	mimiʣu	mimiʣu	memeʣu	memeʣu	memeʣume	mimiʤɨ	mimiʤɨ	mimiʣu	mimiʣu	mimiʣu	memeʣume	ʤɨmiʤɨ	ʤɨmiʤɨ	mimiʤɨ	mimiʣu	mimiɴʣu	mimiʣu	mimiʣu̥	memeʣu	mimiʣu	memeʣu	mimiʣu	mimiʣu	mimiɴʣu	mimiʣu	memeʣu	mimiʣu	memeʣu		memeʣu	mimiʣu	mimiʤi		mimiʣu	memeʣu	memeʣu	memeʤi	memeʣu	miːmaʤi	miːmiʤɨ	mimiʣu	memeʣu	mimiʣu	memeʣu	mimiʣu	memeʣu	memeɴʤi	mimiʣu	memeʣu	timimi	mimiʣu	memeʣu
WORM_2																																			meːʤa																							
YEAR_1	toʃi	toʃi	tosu	toʃi	toʃi	toʃi	toʃi	toʃi	toʃi	toʃi	toʃi	tusɨ	tusɨ	toʃi	toʃi	toʃi	toʃi	tusɨ	tusɨ	tusɨ	toʃi	tosu	toʃi	toʃi̥	toʃi	toʃi	toʃi	toʃi	toʃi	tosu	toʃi	toʃi	toʃi	toʃi	tuʃi	toʃi	toʃi	tuʃiː	tøʃi	toʃi	toʃi	toʃi	toʃi	toʃi	tuʃi	tusɨ	toʃi	toʃi	toʃi	toʃi	toʃi	toʃi	toʃi	toʃi	toʃi	tuʧi	toʃi	toʃi
YELLOW_1												ksɨɴksɨʃahaɴ								ksɨɴksɨɴ																																						
YELLOW_2							kina																			kina														kiɴnaka																	kina	
YELLOW_3	kiː	kiːro	kiːro	kiːro	kiːro	ukoɴ		kjuːro	kiːro	kiːro	kiːro		ksɨːru	kiː	kiːro	kiː	kiːro	ʦɨːru	kiːru		kiːro	ukoɴero	kiː	kinairo	kiːro		kiːro	kiː	kiːro	kiːro	kiːro	kiːro	kiːro	kiːro	kʔiʔiro	kiero	kiːro	kiːru	ki		kiːro	kiːro	kiːro	kiːro	kiːru	kiːru	kiːro	kiːro	kiːro	okoɴiro	kiːro	kiːro	ukoɴ	kiː	kiːro	kirui		kiː
