Gloss	Belarusian	Bulgarian	Burgenland Čakavian	Czech	Kajkavian	Latvian	Lithuanian	Macedonian	Polish	Russian	Slovak	Slovenian	Ukrainian	Čakavian (Cres)	Čakavian (Istria)	Štokavian
BONE_1	kosʲʦʲ	kɔst	ku̯ost	kost	kows			koska	kɔɕʨ	kosʲtʲ	kɔsc	kɔːst	kʲistkɐ	koːst	ku̯os	koːst
BONE_2						kawls	kɐwɫɐs									
BREAST_1	ʁruʣʲi	ɡrɤt		ɦruc		kruːts~kruːtis	kruːtʲɪnʲeː	ɡrada		ɡrutʲ			ɦrudɪ			ɡruːdi
BREAST_2			prsa~prsi		pɛrsi				pʲjɛɾɕ		prsɪ̯a	pərsi		pɛrsɛ	prsa	prsa
BREATHE_1	dɨxaʦʲ	diʃɐm		diːxat					ɔddɨxaʨ	dɨʂatʲ	diːxac	diːxati	dɪxɐtɪ			diːsati
BURN_1	ʁarɛʦʲ	ɡorʲɤ		ɦor̝ɛt				ɡori		ɡɐrʲetʲ	ɦɔrɪ̯ɛc	ɡɔrɛːti	ɦɔɾʲitɪ	ɡɔrɛt		ɡorjeti
BURN_2	palʲiʦʲ			paːlɪt					palʲiʨɕɛ		paːɫic		pɐɫɪtɪ		paːlit	
BURN_3					ʒɡɒt							sɛʒɡaːti				
BURN_4						dɛʣinaːt										
BURN_5							dʲæɡʲɪntʲɪ									
BURN_6										zʐɛʨ						
CLOTHES_1	aʣʲeʐa															odjeʨa
CLOTHES_2		drɛxi														
CLOTHES_3		oblɛkɫɔ										ɔblɛːka				
CLOTHES_4				ʃatɪ							ʃati					
CLOTHES_5									ɔʥɛʂ	ɐdʲeʐdə						
CLOTHES_6													ɔdʲɐɦ			
CLOUD_1	vobɫaka	ɔbɫɐk	u̯ɔblak~ʔɔblak	oblak	u̯oblɒk			oblak	ɔbwɔk	obɫəkə	ɔbɫak	ɔblaːk		ɔːblak	ɔblak	oblaːk
CLOUD_2				mrak					xmuɾa		mrak		xmɑrɐ			
CLOUD_3						maːkuɔ̯nis										
CLOUD_4							dʲɛbʲɛsʲɪs									
COLD_1	xaɫodnɨ								xwɔdnɨ	xɐɫodnɨɪ̯		xlaːdɛn	xɔɫɔdnɪi̯	xlaːdni	xlaːdan	xlaːdan
COLD_2		studɛn		studɛniː	zdæn			studen			stuɟɛniː					
COLD_3			mrzal									mərzɛu̯				
COLD_4						awksts										
COLD_5							ʃɐɫtɐs									
COME_1	prɨjsʲʦʲi			pr̝̊ɪjiːt					pʂɨjɕʨ	prʲɪjtʲi	priːsc	priːti	prɪjtɪ	priːt	priːt	
COME_2		idɐ						idi								
COME_3		dɔjdɐ	du̯ojt		dowt~du̯ojt~dowti		ɐtʲejtʲɪ	doj								doːʨi
COME_4						atnaːkt										
COUNT_1	lʲiʧɨʦʲ								lʲiʈ͡ʂɨʨ				lʲiʧɪtɪ			
COUNT_2		brɔjɐ														brojiti
COUNT_3				poʧiːtat						ɕːɪtatʲ	pɔʧiːtac					
COUNT_4												ʃtɛːti				
CRY_1	pɫakaʦʲ	pɫaʧɐ		plakat					pwakaʨ	pɫakətʲ	pɫakac		pɫɑkɐtɪ			plakati
CRY_2												jɔːkati				
CUT_1	rɛzaʦʲ	rɛʒɐ		r̝ɛzat						rʲezətʲ	rɛzac	rɛːzati	ɾʲizɐtɪ			rezati
CUT_2									ʨɔɲʨ							
DANCE_1	tʌnʦavaʦʲ	tɐnʦuvɐm		tanʧɪt					taɲʈ͡ʂɨʨ	tənʦɨvatʲ	tanʦɔʋac		tɐnʦʲʊʋɑtɪ			
DANCE_2									plɔw̃saʨ	plʲɪsatʲ		plɛːsati				plesati
DIE_1	pamʲerʦʲi	umrɤ	umriːt	umr̝iːt	mrejt	mirt~nuɔ̯mirt	mʲirʲtʲɪ~nʊmʲirʲtʲɪ	umri	umʐɛʨ	ʊmʲɪrʲetʲ	umrɪ̯ɛc~zɔmrɪ̯ɛc	umrɛːti	pɔmɛrtɪ	pɔmreːt~umreːt	umrjeːt	umrjeːti
DIG_1	kapaʦʲ	kopajɐ		kopat					kɔpaʨ	kɐpatʲ	kɔpac	kɔpaːti	kɔpɑtɪ			kopati
DIRTY_1	brudnɨ								bɾudnɨ				brʊdnɪi̯			
DIRTY_2		mrɤsɛn										umaːzan				
DIRTY_3				ʃpɪnaviː							ʃpinaʋiː					
DIRTY_4										ɡrʲaznɨɪ̯						
DIRTY_5																prʎaʋ
DOG_1	sabaka									sɐbakə			sɔbɑkɐ			
DOG_2		kuʧɛ			ʦuʦːæk~ʦuːʦæk			kuʧe								
DOG_3			pas	pɛs					pʲjɛs		pɛs	pɛs		pɛs		pas
DOG_4						suns	ʃuə									
DOG_5															brɛk	
DRINK_1	pʲiʦʲ	pijɐ	pit	piːt	pit~piːt			pije	pʲiʨ	pʲitʲ	pic	piːti	pɪtɪ	pit	pit	piti
DRINK_2						ʣert	ɡʲærʲtʲɪ									
DRY_1	suxʲi	sux	suːɦ	suxiː	suːh				suxɨ	sʊxoɪ̯	suxiː	suːx	sʊxɪi̯	suːx	suːx	suːx
DRY_2						sawss	sɐwsɐs									
DRY_3								suf								
DUST_1	pɨɫ								pɨw	pɨlʲ			pɪɫ			
DUST_2		prax		prax							prax	praːx				praːx~praʃina
DUST_3									kuʂ							
EAR_1	vuxa	uxɔ	uːɦɔ	uxo					uxɔ	uxə	uxɔ	uxɔː	wuxɔ	uːxɔ	uːxɔ	uxo
EAR_2					vuʃejso											
EAR_3						awss	ɐwsʲɪs									
EAR_4								uvo								
EARTH_1	zʲæmlʲæ	zɛmʲa	zɛmʎa~zɛmja		zæmʎɒ~zæmjɒ	zɛmɛ	ʒʲæmʲeː	zemʲa	ʑɛmʲja	zʲɪmlʲa		zeːmla	zɛmlʲɑ	zɛmja	zɛmʎa	zemʎa
EARTH_2				zɛmɲɛ							zɛm					
EAT_1	jesʲʦʲi		jiːst	jiːst	jejs	eːst			jɛɕʨ	jesʲtʲ	jɛsc	jɛːsti	jistɪ	jɛst	jɛs	jesti
EAT_2		jam						jaj								
EAT_3							vɐɫɡʲiːtʲɪ									
EGG_1	jæjka	jɐjʦɛ	jaːjʦɛ		jɒjʦæ			jajʦe	jajkɔ	jɪjʦo		jaːjʦɛ	jɐjʦɛ			
EGG_2				vɛjʦɛ												
EGG_3						uɔ̯la										
EGG_4							kʲɛwʃʲɪnʲɪs									
EGG_5											ʋajʦɛ					
EGG_6														jaːjɛ	jaːje	jaːje
EIGHT_1	vosʲem	ɔsɛm		osm					ɔɕɛm	vosʲɪmʲ	ɔsɛm	ɔːsɛm	ʋʲisʲim			osam
EYE_1	voka	okɔ	u̯ɔkɔ	oko	u̯okːɔ			oko	ɔkɔ		ɔkɔ	ɔkɔː	ɔkɔ	ɔːkɔ	ɔkɔ	oko
EYE_2						aʦs	ɐkʲɪs									
EYE_3										ɡɫas						
FALL_1	padaʦʲ	padɐm		padat					padaʨ	padətʲ	padac	paːdati	pɑdɐtɪ			padati
FAR_1	dalʲɵka	dɐlɛʧɛ	daːlɛkɔ	dalɛko	daːlkɔ	taːlu	toːlʲɪ	daʎeko	dalɛkɔ	dəlʲɪko	ɟaɫɛkɔ	daːlɛʧ	dɐɫɛkɔ	deːlɡɔ	duɡɔ	daleko
FAR_2														laːrɡɔ		
FAT_1	tɫuʂʧ								twuʂʈ͡ʂ							
FAT_2		mɐznina														
FAT_3				tuk							tuk				tuːk	
FAT_4					maːs			mas				maːst		maːst	maːs	maːst
FAT_5						tawki										
FAT_6							rʲjɛbaɫɐj									
FAT_7										ʐɨr			ʒɪr			
FAT_8																salo
FATHER_1	baʦʲka												bɑtʲkɔ			
FATHER_2		bɐʃta														
FATHER_3				otɛʦ					ɔjʨɛʦ	ɐtʲeʦ	ɔcɛʦ	oːʧɛ				otaʦ
FEATHER_1	pʲæro	pɛrɔ	pɛrɔ	pɛro	pærɔ				pʲjuɾɔ	pʲɪro	pɛrɔ	pɛrɔː	pɛrɔ	pɛrɔ	pɛrɔ~perijɔ	pero
FEATHER_2						spalva										
FEATHER_3							pɫuŋksnɐ									
FEATHER_4								perduf								
FIGHT_1	bʲiʦʦa			biːtsɛ					bʲiʨɕɛ		bicsa					
FIGHT_2		bɔrʲɐsɛ								bɐrotʦə		bɔriːtisɛ	bɔrɔtɪsʲɐ			boritise
FINGERNAIL_1	noʁaʦʲ	nɔkɐt	nu̯ɔɦat	nɛɦɛt	nu̯ovæt			nokt		noɡətʲ			nʲiɦɔtʲ	nɔːxɛt~nɔːfɛt	nɔxat	nokat
FINGERNAIL_2						naks	nɐɡɐs									
FINGERNAIL_3									paznɔkʲjɛʨ							
FINGERNAIL_4											ɲɛxt	nɔːxt				
FIRE_1	aʁonʲ	ɔɡɐn	ʔɔɡaːɲ	oɦɛɲ	u̯oɡæɲ			oɡan	ɔɡʲjɛɲ	ɐɡonʲ	ɔɦɛɲ	oːɡɛn	wɔɦɔnʲ	ɔɡɛɲ	uɡaːɲ	
FIRE_2						uɡuns	ʊɡnʲɪs									
FIRE_3																ʋatra
FISH_1	rɨba	ribɐ	riba	rɪba	ribɒ			riba	ɾɨba	rɨbə	riba	riːba	rɪbɐ	riba	riba	riba
FISH_2						ziws										
FISH_3							ʒʊvʲɪs									
FIVE_1	pʲæʦʲ	pɛt		pjɛt					pʲjɛɲʨ	pʲætʲ	pæc	pɛːt	pjɑtʲ			peːt
FLOW_1	ʦʲæʧɨ	tɛkɤ		tɛːʦt					ʨɛʦ	tʲeʨ	cɪ̯ɛʦc	teːʧi				teʨi
FLOW_2													tɛktɪ			
FLOWER_1	kʲvʲetka	ʦvɛtɛ		kvjɛt					kfʲjat	ʦvʲɪtok	kʋɛt	ʦʋeːt	kʋʲitkɐ			ʦʋjeːt
FLY_1	lʲætaʦʲ	lɛtʲɤ	lɛtit	lɛːtat	lætit	liduɔ̯t	lʲeːktʲɪ	ʎeta~ʎetnuva	lataʨ~lɛʨɛʨ	lʲɪtatʲ	ɫɛcɪ̯ɛc	lɛːtati	lʲitɑtɪ	lɛtɛt	lɛtɛt	letjeti~ljeːtati
FLY_2							sʲkrʲɪsʲtʲɪ									
FOG_1	tuman									tʊman			tʊmɑn			
FOG_2		mɐɡɫa							mɡwa		ɦmɫa	mɛɡla				maɡla
FOG_3				mlɦa												
FOOT_1	naʁa		nu̯ɔɡa	noɦa	nu̯oɡɒ			noɡa			nɔɦa	noːɡa	nɔɦɑ	nɔɡa	nɔɡa	noɡa
FOOT_2		krak														
FOOT_3						kaːja	koːjɛ									
FOOT_4									stɔpa	stʊpnʲa						stopalo
FOREST_1	lʲes			lɛs					las	lʲes	ɫɛs	lɛːs	lʲis			
FOREST_2		ɡora														
FOREST_3												ɡɔst				
FOREST_4																ʃuma
FOUR_1	ʧatɨrɨ	ʧɛtiri		ʧtɪr̝ɪ					ʈ͡ʂtɛɾɨ	ʨɪtɨrʲe	ʃtiri	ʃtiːri	ʧɔtɪrɪ			ʧetiri
FREEZE_1	zamʲerznuʦʲ	zɐmrɤznɐ		zamrznou̯t					zamaʐnɔɲʨ	zɐmʲɵrznʊtʲ	zamrznuːt	zmərzniti	zmɛrznʊtɪ			smrznutise
FULL_1	pownɨ	pɤlɛn	puːn		pun	pilns	piɫnɐs	poln	pɛwnɨ	poɫnɨɪ̯	pɫniː	pɔːu̯n	pɔʋnɪi̯	pɛlni	puːn	pun
FULL_2				plniː												
GIVE_1	daʦʲ	dam	dat	daːt	dɒt~daːt	duɔ̯t~duɔ̯t	duətʲɪ	daj	daʨ	datʲ	dac	daːti	dɑtɪ	dat	dat	dati
GOOD_1	dobrɨ	dobɤr	du̯ɔbar	dobriː	du̯obær			dober	dɔbɾɨ		dɔbriː	dɔːbɛr	dɔbrɪi̯	dɔːbɛr	dɔbar	dobar
GOOD_2						laps										
GOOD_3							ɡʲærɐs									
GOOD_4										xɐroʂɨɪ̯						
GRASS_1	trava	trɛva		traːva					tɾava	trɐva	traːʋa	traːʋa	trɐʋɑ			traːʋa
GREEN_1	zʲælʲɵnɨ	zɛlɛn	zɛljɛn	zɛlɛniː	zælæn	zaʎʃ	ʒɐlʲɛs	zeʎen	ʑɛlɔnɨ	zʲɪlʲɵnɨɪ̯	zɛɫɛniː	zɛlɛn	zɛɫɛnɪi̯	zɛleːni	zɛlɛn	zelen
HAIR_1	vʌɫasɨ		vlaːs	vlasɪ	laːsi				vwɔsɨ	voɫəsɨ	ʋɫas	laːs	wɔɫɔsʲsʲɐ	vlaːs	vlaːs	
HAIR_2		kosa						kosa								kosa
HAIR_3						mats										
HAIR_4							pɫɐwkɐs									
HAND_1	ruka	rɐka	ruka	ruka	rowka	ruɔ̯ka	rɐŋkɐ	raka	ɾɛŋka	rʊka	ruka	roːka	rʊkɑ	ruka	ru̯oka	ruːka
HEAD_1	ʁʌɫava	ɡɫɐva	ɡlaːva	ɦlava	ɡlaːvɒ~ɡlɒvɒ	ɡalva	ɡɐɫvɐ	ɡlava	ɡwɔva	ɡəɫɐva	ɦɫaʋa	ɡlaːʋa	ɦɔɫɔʋɑ	ɡlava	ɡlaːva	ɡlaːʋa
HEAR_1	ʧuʦʲ	ʧuvɐm	ʧut		ʧut~ʧutːi			ʧuje			pɔʧuc		ʧutɪ	ʧut	ʧut	ʧuti
HEAR_2				slɪʃɛt				sluʃa	swɨʂɛʨ	sɫɨʂətʲ		sliːʃati				
HEAR_3						ʣirdeːt	ɡʲɪrʲdʲeːtʲɪ									
HEART_1	sɛrʦa	sɐrʦɛ	srʦɛ	srʦɛ	sɛrʦæ			srʦe	sɛɾʦɛ	sʲerʦə	srʦɛ	srʦɛː	sɛrʦɛ	sɛrʦɛ	srʦɛ	srʦe
HEART_2						sirts	ʃʲɪrʲdʲɪs									
HEAVY_1	ʦʲæʂkʲi			cɛʃkiː					ʨɛw̃ʂkʲi		caʃkiː		ʋɐʒkɪi̯	teːʃki		
HEAVY_2		tɛʒɐk	tjeʒak		tæʒæk			teʒok		tʲɪʐoɫɨɪ̯		teːʒɛk			tɛʒak	teːʒak
HEAVY_3						smaks										
HEAVY_4							sʊŋkʊs									
HERE_1	tut	tuk~tukɐ							tu~tutaj		tu	tuːkaj	tut			tuː
HERE_2				zdɛ						zʲdʲesʲ		zdɛ				
HERE_3				tadɪ												
HERE_4																oːʋdje
HOLD_1	trɨmaʦʲ								tʂɨmaʨ				trɪmɑtɪ			
HOLD_2		dɐrʒɤ		drʒɛt						dʲɪrʐatʲ	drʒac	drʒaːti				drʒati
HORN_1	roʁ̥	rɔk	ru̯oɡ	rox	ru̯oɡ			rok	ɾuk	rok	rɔx	rɔːk	ɾʲiɦ	roːx	ru̯ox	roːɡ
HORN_2						raks	rɐɡɐs									
HOW_1	jæk	kak		jak					jak	kak			jɑk			
HOW_2											akɔ	kakɔː				kako
HUNDRED_1	sto	stɔ		sto					stɔ	sto	stɔ	stɔː	stɔ			stoː
HUNT_1	pʌlʲævaʦʲ	ɫovuvɐm		lovɪt					pɔlɔvaʨ		pɔʎɔʋac	lɔʋiːti	pɔlʲʊʋɑtɪ			loʋiti
HUNT_2										ɐxotʲɪtʦə						
HUSBAND_1	muʂ								mɔw̃ʂ	muʂ	muʃ	mɔːʃ				muːʒ
HUSBAND_2		sɐpruk										sɔprɔːk				supruɡ
HUSBAND_3				xoc												
HUSBAND_4				manʒɛl							manʒɛɫ					
HUSBAND_5													ʧɔɫɔʋʲik			
I_1	jæ	as	jaː	jaː	jaː			jas	ja	ja	ja	jas	jɑ	ja	jaː	jaː
I_2			mjenɛ		mænæ	mani	mɐnʲɛ	mene						mɛnɛ	manɛ	
I_3						ɛs	ɐʃ									
ICE_1	lʲɵt	lɛt		lɛt					lut	lʲɵt	ʎat	lɛːt	lʲid			leːd
KILL_1	zabʲiʦʲ	ubijɐ	ʔubit	zabiːt	ubit			ubije	zabʲiʨ	ʊbʲitʲ	zabic	ubiːti	ʊbɪtɪ	ubit	ubit	ubiti
KILL_2						nuɔ̯ɡalinaːt										
KILL_3							nʊʒʊdʲiːtʲɪ									
KNEE_1	kalʲena	kolʲano	kɔljenɔ	kolɛno	kɔlænɔ			koʎeno	kɔlanɔ	kɐlʲenə	kɔɫɛnɔ	kɔlɛːnɔ	kɔlʲinɔ	kɔleːnɔ	kɔlɛnɔ	koʎeno
KNEE_2						ʦɛlis	kʲælʲɪs									
KNOW_1	znaʦʲ	znajɐ	znat		znɒt	zinaːt	ʒʲɪnoːtʲɪ	znaj		znatʲ		znaːti	znɑtɪ	znat	znat	znati
KNOW_2				vjɛɟɛt					vʲjɛʥɛʨ		ʋɛɟɪ̯ɛc	ʋɛːdɛti				
LAKE_1	vozʲera	ɛzɛro		jɛzɛro					jɛʑɔɾɔ	ozʲɪrə	jazɛrɔ	jɛːzɛrɔ	ɔzɛrɔ			jezero
LAUGH_1	smʲæjæʦʦa	smɛjɐsɛ		smaːtsɛ					ɕmʲjaʨɕɛ	smʲɪjatʦə	smɪ̯acsa	smɛjaːtisɛ	smʲijɑtɪsʲɐ			smijatise
LEAF_1	lʲist	list	liːst	lɪst	liːʃʧæ			ʎis	lʲiɕʨ	lʲist	ɫist	liːst	ɫɪst		liːs	liːst
LEAF_2						lapːa	ɫɐpɐs									
LEAF_3														pɛrɔ		
LEG_1	naʁa			noɦa					nɔɡa	nɐɡa	nɔɦa	noːɡa	nɔɦɑ			noɡa
LEG_2		krak														
LIE_1	lʲæʐaʦʲ	lɛʒɤ	lɛʒat	lɛʒɛt	læʒɒt			ʎeʒi	lɛʐɛʨ	lʲɪʐatʲ	ɫɛʒac	lɛʒaːti	ɫɛʒɑtɪ	lɛʒat	lɛʒat	leʒati
LIE_2						ɡuleːt	ɡʊlʲeːtʲɪ									
LIVER_1	pʲeʧanʲ									pʲeʨɪnʲ	pɛʧɛɲ		peʧʲinkɐ			
LIVER_2		ʧɛrɛndrɔp							vɔntɾɔba							
LIVER_3			jaːtra	jaːtra	jejtra							jɛːtra		jeːtra	jjetra	jetra
LIVER_4						aknas										
LIVER_5							kʲæpʲɛnʲiːs									
LIVER_6								ʦrnʤiɡer								
LONG_1	dowɣʲi			dlou̯ɦiː	dowɡi		iɫɡɐs	dolk	dwuɡʲi	doɫɡʲɪɪ̯	dɫɦiː		dɔʋɦɪi̯	deːlɡi		
LONG_2		dɤɫɐk						dok				dɔːu̯k			duːx	duɡ
LONG_3			duʒiʧak													duɡaʧak
LONG_4						ɡarʃ										
LOUSE_1	voʂ	vɤʃkɐ	vuːʃ	vɛʃ	vuːʃ			voʃka	vɛʂ	voʂ	ʋɔʃ	uːʃ				uːʃ
LOUSE_2						uts										
LOUSE_3							ʊtʲeːlʲeː									
LOUSE_4													wɔʃɐ			
LOUSE_5														svɛnɛʦ	ʃɛnaʦ	
MAN_1	muʂʧɨna	mɤʃ	muːʒ	muʃ	mowʃ~mɔʃkiː			maʃ		mʊɕːinə	muʃ	mɔːʃ~moːʃki		muːʃ~muːʃki~muʃki	muʃkiː	muʃkaːraʦ
MAN_2			ɦlaːp								xɫap					
MAN_3						viːrs	vʲiːrɐs									
MAN_4						viːrjɛtis										
MAN_5									mɛw̃ʐʈ͡ʂɨzna							
MAN_6													ʧɔɫɔʋʲik			
MANY_1			ʧuda		ʧudɒ										ʧuda	
MANY_2						dawʣ	dɐwk									
MANY_3								mnoɡu~noɡu								
MANY_4														blaːɡɔ		
MANY_5															punɔ	
MEAT_1	mʲæsa	mɛsɔ	mjesɔ	maso	mejsɔ		mʲeːsɐ	meso	mʲjɛw̃sɔ	mʲasə	mæsɔ	mɛsɔː	mjɑsɔ	meːsɔ	mjesɔ	meːso
MEAT_2						ɡaʎa										
MOON_1	mʲesʲæʦ		misɛʦ	mɲɛsiːʦ				meseʧina			mɛsɪ̯aʦ	mɛːsɛʦ	mʲisʲɐʦʲ	meːsɛʦ	mɛsɛʦ	mjeseːʦ
MOON_2		ɫuna								ɫʊna		luːna				
MOON_3						mɛːnɛss	mʲeːnʊlʲɪs									
MOON_4									kɕɛw̃ʐɨʦ							
MOTHER_1	maʦʲi	majkɐ		matka					matka	matʲ	mac~matka	maːti	mɑtɪ			
MOTHER_2																maːjka
MOUNTAIN_1	ʁara		ɡu̯ɔra	ɦora					ɡuɾa	ɡɐra		ɡoːra	ɦɔrɑ	ɡɔra	ɡɔra	
MOUNTAIN_2		pɫɐnina						planina				planiːna				planina
MOUNTAIN_3					brejɡ											
MOUNTAIN_4						kalns	kɐɫnɐs									
MOUNTAIN_5															vrx	
MOUTH_1	rot									rot			rɔt			
MOUTH_2		usta	ʔuːsta	uːsta				usta	usta		uːsta	uːsta		uːsta	uːsta	uːsta
MOUTH_3			ɡuːba~ɦuba													
MOUTH_4					zowbi											
MOUTH_5						mutːɛ										
MOUTH_6							bʊrnɐ									
NAME_1	imʲæ	imɛ	ʔimɛ		imæ			ime	imʲjɛ	imʲə		imɛː	imjɑ	imɛ~jimɛ	imɛ	ime
NAME_2				jmɛːno							mɛnɔ					
NAME_3						vaːrts	vɐrdɐs									
NARROW_1	vusʲkʲi			uːskiː					vɔw̃skʲi	uskʲɪɪ̯	uːski		wʊzʲkɪi̯			
NARROW_2		tɛsɛn														
NARROW_3												ɔːzɛk				uzak
NEAR_1	blʲisʲkʲi	blizɐk		bliːskiː	blizu~bliːzu			bʎizu	blʲiskʲi	blʲiskʲɪɪ̯	bɫiːski	bliːʒni	bɫɪzʲkɪi̯	bliːzu	bliːzu	blizak
NEAR_2						tuvu										
NEAR_3							ɐrʲtʲɪ									
NECK_1	ʂɨjæ							ʃija	ʂɨja	ʂɛjə			ʃɪjɐ			
NECK_2		vrat	vrat									u̯raːt		vraːt	vraːt	ʋraːt
NECK_3				krk					kaɾk		krk					
NECK_4					ɡowt											
NECK_5						kakls	kɐkɫɐs									
NEW_1	novɨ	nɔf	nu̯ov	noviː	nowv			nof	nɔvɨ	novɨɪ̯	nɔʋiː	nɔu̯	nɔʋɪi̯	nɔːvi	nu̯of	noʋ
NEW_2						jawns										
NEW_3							nɐwjɛs									
NIGHT_1	noʧ	nɔʃt	nu̯oc	noʦ					nɔʦ	noʨ	nɔʦ	nɔːʧ	nʲiʧ	noːc	nu̯oc	noːʨ
NIGHT_2					nowʧ	nakts										
NIGHT_3							nɐktʲɪs									
NIGHT_4								noc								
NINE_1	ʣʲevʲæʦʲ	dɛvɛt		dɛvjɛt					ʥɛvʲjɛɲʨ	dʲevʲɪtʲ	ɟɛʋæc	dɛʋɛːt	dɛʋjɐtʲ			deʋeːt
NOSE_1	nos	nɔs	nu̯os	nos	nu̯os~nows		noːsʲɪs	nos	nɔs	nos	nɔs	nɔːs	nʲis	noːs	nu̯os	noːs
NOSE_2						dæɡuns										
NOT_1	nʲe	nɛ	nɛ	nɛ	næ	nɛ	nʲɛ	ne	ɲɛ	nʲɪ	ɲɪ̯ɛ	nɛ	nɛ	nɛ	nɛ	ne
OLD_1	starɨ	star		stariː					staɾɨ	starɨɪ̯	stariː	star	stɐrɪi̯			star
ONE_1	aʣʲin	ɛdin	jɛdaːn~jɛdan	jɛdɛn	jædæn			eden	jɛdɛn	ɐdʲin	jɛdɛn	eːdɛn	ɔdɪn	jɛdɛn	jɛdaːn	jedan
ONE_2						vjens	vʲjenɐs									
OTHER_1	inʂɨ															
OTHER_2	druɣʲi	druk								drʊɡoɪ̯	druɦiː	druːɡi				druɡiː~druɡaʧijiː
OTHER_3				jɪniː					innɨ		iniː					
OTHER_4													inɑkʃɪi̯			
