Dataset	Family	Name	Source Name	Glottolog Name	Glottocode	ISO 639-3	ISO 639-3 Name	Reference	Notes
Hokan	Pomoan, Russian River and Eastern, Russian River, Southern Pomoan-Kashaya	Southern Pomo	Southern Pomo	Southern Pomo	sout2984	peq	Southern Pomo	Zhivlov (2013)	
Hokan	Seri	Seri	Seri	Seri	seri1257	sei	Seri	Zhivlov (2011)	
Hokan	Shastan	Shasta	Shasta	Shasta	shas1239	sht	Shasta	Zhivlov (2012)	
Hokan	Tequistlatecan	Highland Chontal	Highland Chontal	Highland Oaxaca Chontal	high1242	chd	Highland Oaxaca Chontal	Zhivlov (2012)	
Hokan	Yana	Central Yana	Central Yana	Central Yana	cent2137	ynn	Yana	Zhivlov (2013)	
Hokan	Yana	Northern Yana	Northern Yana	Northern Yana	nort2963	ynn	Yana	Zhivlov (2013)	
Hokan	Yana	Yahi	Yahi	Yahi	yahi1243	ynn	Yana	Zhivlov (2013)	
Italic	Indo-European, Italic	Latin (Archaic)	Archaic Latin	Old Latin	oldl1238	qbb		Saenko (2016)	
Italic	Indo-European, Italic	Latin (Late Classical)	Late Classical Latin	Late Latin	late1252	lat	Latin	Saenko (2016)	
Italic	Indo-European, Italic, Eastern Romance	Aromanian	Aromanian	Aromanian	arom1237	rup	Aromanian	Saenko (2016)	
Italic	Indo-European, Italic, Eastern Romance	Istro-Romanian	Istro Romanian	Istro Romanian	istr1245	ruo	Istro Romanian	Saenko (2016)	
Italic	Indo-European, Italic, Eastern Romance	Megleno-Romanian	Megleno Romanian	Megleno Romanian	megl1237	ruq	Megleno Romanian	Saenko (2016)	
Italic	Indo-European, Italic, Eastern Romance	Romanian	Romanian	Romanian	roma1327	ron	Romanian	Saenko (2016)	
Italic	Indo-European, Italic, Italo-Dalmatian	Dalmatian	Dalmatian	Dalmatian	dalm1243	dlm	Dalmatian	Saenko (2016)	
Italic	Indo-European, Italic, Italo-Dalmatian	Italian (Foligno)	Foligno Italian	Italian	ital1282	ita	Italian	Saenko (2016)	
Italic	Indo-European, Italic, Italo-Dalmatian	Italian (Grosseto)	Grosseto Italian	Italian	ital1282	ita	Italian	Saenko (2016)	
Italic	Indo-European, Italic, Italo-Dalmatian	Italian (Standard)	Standard Italian	Italian	ital1282	ita	Italian	Saenko (2016)	
Italic	Indo-European, Italic, Italo-Dalmatian	Neapolitan	Neapolitan	Napoletano	napo1241	nap	Neapolitan	Saenko (2016)	
Italic	Indo-European, Italic, Italo-Dalmatian	Old Italian	Old Italian	Old Italian	fior1236	ita	Italian	Saenko (2016)	
Italic	Indo-European, Italic, Italo-Dalmatian	Sicilian (Catanian)	Catanian Sicilian	Eastern Nonmetafonetica	east2279	scn	Sicilian	Saenko (2016)	
Italic	Indo-European, Italic, Italo-Dalmatian	Sicilian (Messinese)	Messinese Sicilian	Messinese	mess1247	scn	Sicilian	Saenko (2016)	
Italic	Indo-European, Italic, Italo-Dalmatian	Sicilian (Palermitan)	Palermitan Sicilian	Western Sicilian	west2346	scn	Sicilian	Saenko (2016)	
Italic	Indo-European, Italic, Italo-Dalmatian	Sicilian (Southeastern)	South-Eastern Sicilian	Southeast Metafonetica	sout2617	scn	Sicilian	Saenko (2016)	
Italic	Indo-European, Italic, Southern Romance	Sardinian (Campidanese)	Campidanese	Campidanese Sardinian	camp1261	sro	Campidanese Sardinian	Saenko (2016)	
Italic	Indo-European, Italic, Southern Romance	Sardinian (Logudorese)	Logudorese	Logudorese Sardinian	logu1236	src	Logudorese Sardinian	Saenko (2016)	
Italic	Indo-European, Italic, Western Romance	Asturian	Asturian	Asturian	astu1246	ast	Asturian; Leonese	Saenko (2016)	
Italic	Indo-European, Italic, Western Romance	Catalan (Castelló de la Plana)	Castelló de la Plana Catalan	Valencià Meridional	vale1255	cat	Valencian	Saenko (2016)	
Italic	Indo-European, Italic, Western Romance	Catalan (Central)	Central Catalan	Central Catalan	nons1235	cat	Catalan	Saenko (2016)	
Italic	Indo-European, Italic, Western Romance	Catalan (Manises)	Manises Catalan	Valencià Septentrional	vale1253	cat	Valencian	Saenko (2016)	
Italic	Indo-European, Italic, Western Romance	Catalan (Minorcan)	Minorcan Catalan	Menorquí	meno1253	cat	Catalan	Saenko (2016)	
Italic	Indo-European, Italic, Western Romance	Catalan (Northwestern)	North-Western Catalan	Català Nord-Occidental	cata1291	cat	Catalan	Saenko (2016)	
Italic	Indo-European, Italic, Western Romance	Catalan (Valencia)	Valencia Catalan	Valencià	vale1252	cat	Valencian	Saenko (2016)	
Italic	Indo-European, Italic, Western Romance	Emiliano (Carpigiano)	Carpigiano Emiliano	Emiliano	emil1241	egl	Emilian	Saenko (2016)	
Italic	Indo-European, Italic, Western Romance	Emiliano (Ferrarese)	Ferrarese Emiliano	Eastern Emiliano	east2275	egl	Emilian	Saenko (2016)	
Italic	Indo-European, Italic, Western Romance	Emiliano (Reggiano)	Reggiano Emiliano	Central Emiliano	cent1959	egl	Emilian	Saenko (2016)	
Italic	Indo-European, Italic, Western Romance	Franco-Provençal	Savoyard Franco-Provençal	Francoprovencalic	fran1269	frp	Francoprovençal	Saenko (2016)	
Italic	Indo-European, Italic, Western Romance	French	Standard French	French	stan1290	fra	French	Saenko (2016)	
Italic	Indo-European, Italic, Western Romance	Friulian	Friulian	Friulian	friu1240	fur	Friulian	Saenko (2016)	
Italic	Indo-European, Italic, Western Romance	Galician	Galician	Galician	gali1258	glg	Galician	Saenko (2016)	
Italic	Indo-European, Italic, Western Romance	Ladin (Fassano)	Fassano Ladin	Fassano	fass1244	lld	Ladin	Saenko (2016)	
Italic	Indo-European, Italic, Western Romance	Ladin (Gardenese)	Gardenese Ladin	Gardenese	gard1241	lld	Ladin	Saenko (2016)	
Italic	Indo-European, Italic, Western Romance	Ligurian (Genoese)	Genoese Ligurian	Genoese	geno1240	lij	Ligurian	Saenko (2016)	
Italic	Indo-European, Italic, Western Romance	Ligurian (Rapallo)	Rapallo Ligurian	Ligurian	ligu1248	lij	Ligurian	Saenko (2016)	
Italic	Indo-European, Italic, Western Romance	Ligurian (Stella)	Stella Ligurian	Ligurian	ligu1248	lij	Ligurian	Saenko (2016)	
Italic	Indo-European, Italic, Western Romance	Lombard (Bergamo)	Bergamo Lombard	Bergamasco	berg1241	lmo	Lombard	Saenko (2016)	
Italic	Indo-European, Italic, Western Romance	Lombard (Plesio)	Plesio Lombard	Western Lombard	west2343	lmo	Lombard	Saenko (2016)	
Italic	Indo-European, Italic, Western Romance	Occitan	Provençal Occitan	Provençal	prov1235	oci	Occitan (post 1500)	Saenko (2016)	
Italic	Indo-European, Italic, Western Romance	Old French	Old French	Old French (842-ca. 1400)	oldf1239	fro	Old French (842-ca. 1400)	Saenko (2016)	
Italic	Indo-European, Italic, Western Romance	Picard	Picard	Picard	pica1241	pcd	Picard	Saenko (2016)	
Italic	Indo-European, Italic, Western Romance	Piemontese (Barbania)	Barbania Piemontese	Piemontese	piem1238	pms	Piemontese	Saenko (2016)	
Italic	Indo-European, Italic, Western Romance	Piemontese (Carmagnola)	Carmagnola Piemontese	Piemontese	piem1238	pms	Piemontese	Saenko (2016)	
Italic	Indo-European, Italic, Western Romance	Piemontese (Lanzo Torinese)	Lanzo Torinese Piemontese	Piemontese	piem1238	pms	Piemontese	Saenko (2016)	
Italic	Indo-European, Italic, Western Romance	Piemontese (Turinese)	Turinese Piemontese	Turinese	turi1245	pms	Piemontese	Saenko (2016)	
Italic	Indo-European, Italic, Western Romance	Piemontese (Vercellese)	Vercellese Piemontese	Piemontese	piem1238	pms	Piemontese	Saenko (2016)	
Italic	Indo-European, Italic, Western Romance	Portuguese	Standard Portuguese	Portuguese	port1283	por	Portuguese	Saenko (2016)	
Italic	Indo-European, Italic, Western Romance	Romagnol	Ravennate Romagnol	Romagnol	roma1328	rgn	Romagnol	Saenko (2016)	
Italic	Indo-European, Italic, Western Romance	Romansh (Grischun)	Rumantsch Grischun	Rumantsch Grischun	ruma1247	roh	Romansh	Saenko (2016)	
Italic	Indo-European, Italic, Western Romance	Romansh (Surmiran)	Surmiran Romansh	Surmiran-Albula	surm1243	roh	Romansh	Saenko (2016)	
Italic	Indo-European, Italic, Western Romance	Romansh (Sursilvan)	Sursilvan Romansh	Sursilvan	surs1244	roh	Romansh	Saenko (2016)	
Italic	Indo-European, Italic, Western Romance	Romansh (Vallader)	Vallader Romansh	Lower Engadine	lowe1386	roh	Romansh	Saenko (2016)	
Italic	Indo-European, Italic, Western Romance	Spanish	Castilian Spanish	Castilian	cast1244	spa	Spanish	Saenko (2016)	
Italic	Indo-European, Italic, Western Romance	Venetian (Bellunese)	Bellunese Venetian	Triestine	trie1242	vec	Venetian	Saenko (2016)	
Italic	Indo-European, Italic, Western Romance	Venetian (Primiero)	Primiero Venetian	Trentine	tret1239	vec	Venetian	Saenko (2016)	
Italic	Indo-European, Italic, Western Romance	Venetian (Venice)	Venice Venetian	Venetian Proper	vene1259	vec	Venetian	Saenko (2016)	
Italic	Indo-European, Italic, Western Romance	Walloon	Walloon	Walloon	wall1255	wln	Walloon	Saenko (2016)	
NorthEuraLex	Abkhaz-Adyge, Abkhaz-Abaza	Abkhaz	Abkhaz	Abkhaz	abkh1244	abk	Abkhazian	Dellert et al., 2019	
NorthEuraLex	Abkhaz-Adyge, Circassian	Adyghe	Adyghe	Adyghe	adyg1241	ady	Adyghe	Dellert et al., 2019	
NorthEuraLex	Afro-Asiatic, Semitic	Modern Hebrew	Modern Hebrew	Modern Hebrew	hebr1245	heb	Hebrew	Dellert et al., 2019	
NorthEuraLex	Afro-Asiatic, Semitic	Standard Arabic	Standard Arabic	Standard Arabic	stan1318	arb	Standard Arabic	Dellert et al., 2019	
NorthEuraLex	Ainu, Hokkaido-Kuril Ainu	Hokkaido Ainu	Hokkaido Ainu	Hokkaido Ainu	ainu1240	ain	Ainu (Japan)	Dellert et al., 2019	
NorthEuraLex	Basque, Basque	Basque	Basque	Basque	basq1248	eus	Basque	Dellert et al., 2019	
NorthEuraLex	Burushaski, Burushaski	Burushaski	Burushaski	Burushaski	buru1296	bsk	Burushaski	Dellert et al., 2019	
NorthEuraLex	Chukotko-Kamchatkan, Chukotian	Chukchi	Chukchi	Chukchi	chuk1273	ckt	Chukot	Dellert et al., 2019	
NorthEuraLex	Chukotko-Kamchatkan, Itelmen	Itelmen	Itelmen	West Itelmen	itel1242	itl	Itelmen	Dellert et al., 2019	
NorthEuraLex	Dravidian, South Dravidian	Kannada	Kannada	Kannada	nucl1305	kan	Kannada	Dellert et al., 2019	
NorthEuraLex	Dravidian, South Dravidian	Malayalam	Malayalam	Malayalam	mala1464	mal	Malayalam	Dellert et al., 2019	
NorthEuraLex	Dravidian, South Dravidian	Tamil	Tamil	Tamil	tami1289	tam	Tamil	Dellert et al., 2019	
NorthEuraLex	Dravidian, South Dravidian	Telugu	Telugu	Telugu	telu1262	tel	Telugu	Dellert et al., 2019	
NorthEuraLex	Eskimo-Aleut, Aleut	Aleut	Aleut	Aleut	aleu1260	ale	Aleut	Dellert et al., 2019	
NorthEuraLex	Eskimo-Aleut, Eskimo	Central Siberian Yupik	Central Siberian Yupik	Central Siberian Yupik	cent2128	ess	Central Siberian Yupik	Dellert et al., 2019	
NorthEuraLex	Eskimo-Aleut, Eskimo	Kalaallisut	Kalaallisut	Kalaallisut	kala1399	kal	Kalaallisut	Dellert et al., 2019	
NorthEuraLex	Indo-European, Albanian	Standard Albanian	Standard Albanian	Albanian	alba1267	sqi	Albanian	Dellert et al., 2019	
NorthEuraLex	Indo-European, Armenic	Armenian	Armenian	Eastern Armenian	nucl1235	hye	Armenian	Dellert et al., 2019	
NorthEuraLex	Indo-European, Balto-Slavic, Baltic	Latvian	Latvian	Latvian	latv1249	lav	Latvian	Dellert et al., 2019	
NorthEuraLex	Indo-European, Balto-Slavic, Baltic	Lithuanian	Lithuanian	Lithuanian	lith1251	lit	Lithuanian	Dellert et al., 2019	
NorthEuraLex	Indo-European, Balto-Slavic, Slavic	Belarusian	Belarusian	Belarusian	bela1254	bel	Belarusian	Dellert et al., 2019	
NorthEuraLex	Indo-European, Balto-Slavic, Slavic	Bulgarian	Bulgarian	Bulgarian	bulg1262	bul	Bulgarian	Dellert et al., 2019	
NorthEuraLex	Indo-European, Balto-Slavic, Slavic	Croatian	Croatian	Croatian Standard	croa1245	hrv	Croatian	Dellert et al., 2019	
NorthEuraLex	Indo-European, Balto-Slavic, Slavic	Czech	Czech	Czech	czec1258	ces	Czech	Dellert et al., 2019	
NorthEuraLex	Indo-European, Balto-Slavic, Slavic	Polish	Polish	Polish	poli1260	pol	Polish	Dellert et al., 2019	
NorthEuraLex	Indo-European, Balto-Slavic, Slavic	Russian	Russian	Russian	russ1263	rus	Russian	Dellert et al., 2019	
NorthEuraLex	Indo-European, Balto-Slavic, Slavic	Slovak	Slovak	Slovak	slov1269	slk	Slovak	Dellert et al., 2019	
NorthEuraLex	Indo-European, Balto-Slavic, Slavic	Slovene	Slovene	Slovenian	slov1268	slv	Slovenian	Dellert et al., 2019	
NorthEuraLex	Indo-European, Balto-Slavic, Slavic	Ukrainian	Ukrainian	Ukrainian	ukra1253	ukr	Ukrainian	Dellert et al., 2019	
NorthEuraLex	Indo-European, Celtic	Breton	Breton	Breton	bret1244	bre	Breton	Dellert et al., 2019	
NorthEuraLex	Indo-European, Celtic	Irish	Irish	Irish	iris1253	gle	Irish	Dellert et al., 2019	
NorthEuraLex	Indo-European, Celtic	Welsh	Welsh	Welsh	wels1247	cym	Welsh	Dellert et al., 2019	
NorthEuraLex	Indo-European, Germanic	Danish	Danish	Danish	dani1285	dan	Danish	Dellert et al., 2019	
NorthEuraLex	Indo-European, Germanic	Dutch	Dutch	Dutch	dutc1256	nld	Dutch; Flemish	Dellert et al., 2019	
NorthEuraLex	Indo-European, Germanic	English	English	English	stan1293	eng	English	Dellert et al., 2019	
NorthEuraLex	Indo-European, Germanic	German	German	German	stan1295	deu	German	Dellert et al., 2019	
NorthEuraLex	Indo-European, Germanic	Icelandic	Icelandic	Icelandic	icel1247	isl	Icelandic	Dellert et al., 2019	
NorthEuraLex	Indo-European, Germanic	Norwegian (Bokmål)	Norwegian (Bokmål)	Norwegian	norw1258	nor	Norwegian	Dellert et al., 2019	
NorthEuraLex	Indo-European, Germanic	Swedish	Swedish	Swedish	swed1254	swe	Swedish	Dellert et al., 2019	
NorthEuraLex	Indo-European, Graeco-Phrygian, Greek	Modern Greek	Modern Greek	Modern Greek	mode1248	ell	Modern Greek (1453-)	Dellert et al., 2019	
NorthEuraLex	Indo-European, Indo-Iranian, Indo-Aryan	Bengali	Bengali	Bengali	beng1280	ben	Bengali	Dellert et al., 2019	
NorthEuraLex	Indo-European, Indo-Iranian, Indo-Aryan	Hindi	Hindi	Hindi	hind1269	hin	Hindi	Dellert et al., 2019	
NorthEuraLex	Indo-European, Indo-Iranian, Iranian	Northern Kurdish	Northern Kurdish	Northern Kurdish	nort2641	kmr	Northern Kurdish	Dellert et al., 2019	
NorthEuraLex	Indo-European, Indo-Iranian, Iranian	Northern Pashto	Northern Pashto	Northern Pashto	nort2646	pbu	Northern Pashto	Dellert et al., 2019	
NorthEuraLex	Indo-European, Indo-Iranian, Iranian	Ossetian	Ossetian	Modern Ossetic	osse1243	oss	Ossetic	Dellert et al., 2019	
NorthEuraLex	Indo-European, Indo-Iranian, Iranian	Western Farsi	Western Farsi	Western Farsi	west2369	pes	Iranian Persian	Dellert et al., 2019	
NorthEuraLex	Indo-European, Italic	Catalan	Catalan	Catalan	stan1289	cat	Catalan; Valencian	Dellert et al., 2019	
NorthEuraLex	Indo-European, Italic	French	French	French	stan1290	fra	French	Dellert et al., 2019	
NorthEuraLex	Indo-European, Italic	Italian	Italian	Italian	ital1282	ita	Italian	Dellert et al., 2019	
NorthEuraLex	Indo-European, Italic	Latin	Latin	Latin	lati1261	lat	Latin	Dellert et al., 2019	
NorthEuraLex	Indo-European, Italic	Portuguese	Portuguese	Portuguese	port1283	por	Portuguese	Dellert et al., 2019	
NorthEuraLex	Indo-European, Italic	Romanian	Romanian	Romanian	roma1327	ron	Romanian	Dellert et al., 2019	
NorthEuraLex	Indo-European, Italic	Spanish	Spanish	Spanish	stan1288	spa	Spanish	Dellert et al., 2019	
NorthEuraLex	Japonic, Japanesic	Japanese	Japanese	Japanese	nucl1643	jpn	Japanese	Dellert et al., 2019	
NorthEuraLex	Kartvelian, Georgian-Zan	Georgian	Georgian	Georgian	nucl1302	kat	Georgian	Dellert et al., 2019	
NorthEuraLex	Koreanic, Korean	Korean	Korean	Korean	kore1280	kor	Korean	Dellert et al., 2019	
NorthEuraLex	Mongolic, Eastern Mongolic	Buryat	Buryat	Buriat	buri1258	bua	Buriat	Dellert et al., 2019	
NorthEuraLex	Mongolic, Eastern Mongolic	Kalmyk	Kalmyk	Oirad-Kalmyk-Darkhat	kalm1243	xal	Oirat	Dellert et al., 2019	
NorthEuraLex	Mongolic, Eastern Mongolic	Khalkha Mongolian	Khalkha Mongolian	Halh Mongolian	halh1238	khk	Halh Mongolian	Dellert et al., 2019	
NorthEuraLex	Nakh-Daghestanian, Daghestanian	Avar	Avar	Avar	avar1256	ava	Avaric	Dellert et al., 2019	
NorthEuraLex	Nakh-Daghestanian, Daghestanian	Dargwa	Dargwa	North-Central Dargwa	darg1241	dar	Dargwa	Dellert et al., 2019	
NorthEuraLex	Nakh-Daghestanian, Daghestanian	Lak	Lak	Lak	lakk1252	lbe	Lak	Dellert et al., 2019	
NorthEuraLex	Nakh-Daghestanian, Daghestanian	Lezgian	Lezgian	Lezgian	lezg1247	lez	Lezghian	Dellert et al., 2019	
NorthEuraLex	Nakh-Daghestanian, Daghestanian	Tsez	Tsez	Tsez	dido1241	ddo	Dido	Dellert et al., 2019	
NorthEuraLex	Nakh-Daghestanian, Nakh	Chechen	Chechen	Chechen	chec1245	che	Chechen	Dellert et al., 2019	
NorthEuraLex	Nivkh, Nivkh	Nivkh	Nivkh	Amur Nivkh	gily1242	niv	Gilyak	Dellert et al., 2019	
NorthEuraLex	Sino-Tibetan, Sinitic	Mandarin Chinese	Mandarin Chinese	Mandarin Chinese	mand1415	cmn	Mandarin Chinese		
NorthEuraLex	Tungusic, Central Tungusic	Nanai	Nanai	Nanai	nana1257	gld	Nanai	Dellert et al., 2019	
NorthEuraLex	Tungusic, Manchu-Jurchen	Manchu	Manchu	Manchu	manc1252	mnc	Manchu	Dellert et al., 2019	
NorthEuraLex	Tungusic, Northern Tungusic	Evenki	Evenki	Evenki	even1259	evn	Evenki	Dellert et al., 2019	
NorthEuraLex	Turkic, Bolgar	Chuvash	Chuvash	Chuvash	chuv1255	chv	Chuvash	Dellert et al., 2019	
NorthEuraLex	Turkic, Kipchak	Bashkir	Bashkir	Bashkir	bash1264	bak	Bashkir	Dellert et al., 2019	
NorthEuraLex	Turkic, Kipchak	Kazakh	Kazakh	Kazakh	kaza1248	kaz	Kazakh	Dellert et al., 2019	
NorthEuraLex	Turkic, Kipchak	Tatar	Tatar	Tatar	tata1255	tat	Tatar	Dellert et al., 2019	
NorthEuraLex	Turkic, North Siberian Turkic	Sakha	Sakha	Sakha	yaku1245	sah	Yakut	Dellert et al., 2019	
NorthEuraLex	Turkic, Oghuz	North Azerbaijani	North Azerbaijani	North Azerbaijani	nort2697	azj	North Azerbaijani	Dellert et al., 2019	
NorthEuraLex	Turkic, Oghuz	Turkish	Turkish	Turkish	nucl1301	tur	Turkish	Dellert et al., 2019	
NorthEuraLex	Turkic, Turkestan Turkic	Northern Uzbek	Northern Uzbek	Northern Uzbek	nort2690	uzn	Northern Uzbek	Dellert et al., 2019	
NorthEuraLex	Uralic, Finnic	Estonian	Estonian	Estonian	esto1258	ekk	Standard Estonian	Dellert et al., 2019	
NorthEuraLex	Uralic, Finnic	Finnish	Finnish	Finnish	finn1318	fin	Finnish	Dellert et al., 2019	
NorthEuraLex	Uralic, Finnic	Livonian	Livonian	Liv	livv1244	liv	Liv	Dellert et al., 2019	
NorthEuraLex	Uralic, Finnic	North Karelian	North Karelian	Karelian	kare1335	krl	Karelian	Dellert et al., 2019	
NorthEuraLex	Uralic, Finnic	Olonets Karelian	Olonets Karelian	Livvi	livv1243	olo	Livvi	Dellert et al., 2019	
NorthEuraLex	Uralic, Finnic	Veps	Veps	Veps	veps1250	vep	Veps	Dellert et al., 2019	
NorthEuraLex	Uralic, Ugric, Hungarian	Hungarian	Hungarian	Hungarian	hung1274	hun	Hungarian	Dellert et al., 2019	
NorthEuraLex	Uralic, Ugric, Khantyic	Northern Khanty	Northern Khanty	Kazym-Berezover-Suryskarer Khanty	khan1273	kca	Khanty	Dellert et al., 2019	
NorthEuraLex	Uralic, Ugric, Mansic	Northern Mansi	Northern Mansi	Northern Mansi	mans1258	mns	Mansi	Dellert et al., 2019	
NorthEuraLex	Uralic, Mari	Hill Mari	Hill Mari	Western Mari	west2392	mrj	Western Mari	Dellert et al., 2019	
NorthEuraLex	Uralic, Mari	Meadow Mari	Meadow Mari	Eastern Mari	east2328	mhr	Eastern Mari	Dellert et al., 2019	
