	Arem	Chứt (Mày)	Chứt (Rục)	Chứt (Sách)	Hung (Liha)	Hung (Phong)	Hung (Toum)	Maleng	Mương (Hòa Bình)	Mương (Sơn La)	Mương (Thanh Hóa)	Nguồn (Cổ Liêm)	Nguồn (Yên Thọ)	Thavưng	Thổ (Cuối Chăm)	Thổ (Làng Lỡ)	Vietnamese
KNEE_3																	ɗəu̯²¹ɡoːi̯⁴⁵
KNOW (SOMETHING)_1	hiː	hi¹	hi	hi										huʔ			
KNOW (SOMETHING)_2																	ɓiːk⁴⁵
KNOW (SOMETHING)_3								ɬo³⁴³									
LEAF_1	ulɛa̯ʔ	ʔula³	ŭla	laː³	laː	laː	laː	salwa̰³⁴³	laː³	laː³	laː³	la³	la³	slaː⁴	laː³	laː³	laː⁴⁵
LIE (REST)_1							lam	năm³²⁴				năm²		nam¹			năm²¹
LIE (REST)_2		ɲap⁴	nʌp														
LIE (REST)_3				təŋah¹													
LIE (REST)_4	pi																
LIVER_1	luom	lɔ̤m²	ləɔm	loɔm²	lɔːm	lɔːm	lɔːm	lɒm³²⁴	lɔːm²	lɔːm²	lɔːm²			lɔːm¹	lɔːm²		
LIVER_2												kan¹				ɣaːn¹	ɡaːŋ³³
LONG_1		ʑa̤l²	ʔjal	ʤal					zaːj²	zaːj²	zaːj²	jaj²	zaj²				
LONG_2					jaon	joːn	jɔːn	zon³						joːn	jɔːn¹	jwan¹	jaːi̯²¹
LONG_3	lɤːŋ																
MOON_1		pala̤n²	pŭləan		plɔːŋ	plɔːŋ	plɔoŋ		klaŋ¹	plaŋ¹				paloːŋ¹	plɔŋ²		
MOON_2				matʈaŋ							ʈaŋ¹	măt⁵³ʈăŋ¹	măt⁵³lăŋ¹				ʈăŋ³³
MOON_3								tʰala³²⁴									
MOON_4	n̩ra																
MOUNTAIN_1		kon²							toːə²	toːl²	doːn²						
MOUNTAIN_2					pʰlow	pʰluː	pʰlow	pʰŏn³⁴³							pʰraw³		
MOUNTAIN_3														ʔaloːŋ⁴			
MOUNTAIN_4	ɗu												ru³			nuːj³	nui̯⁴⁵
MOUNTAIN_5				bluʔ													
MOUNTAIN_6			cɨt														
MOUNTAIN_7												lɛn²ta³					
MOUTH_1	kɛa̯ŋˀ	kaŋ³	kaŋ	kaːŋ³													
MOUTH_2								mɜ̆ɳ³⁴	moːm²	moːm²	moːm²	mom²			mɔːm¹		miːŋ²¹²
MOUTH_3														snuːj⁴			
NECK_1			tə̆ke	təkiː⁴													
NECK_2														nəːt³			
NECK_3		nɔŋ⁴				koː						ko⁵	hɔːŋ⁴				koː²¹⁴
NECK_4					kaw		kaw	katăŋ³									
NECK_5	ukin								kɛːə¹	kɛːl¹	kɛːn¹						
NEW_1		ɓɤi̯³		bɤi̯													
NEW_2			bəj		baːj	bəːj	baəj		məːj³	məːj³		məj³			bəːj³	bəːj³	məːi̯⁴⁵
NEW_3								tamə³²⁴									
NEW_4	mɛa̯h																
NIGHT_1	lɯmˀ	lɯ̆m⁴	lɨm	lum	tɛːm	teːm	taem					tem¹	ʔem¹		teːm¹	teːm¹	ɗeːm³³
NIGHT_2														ʔamah³			
NOSE_1	mu	mul³		muːlʰ¹	muːc	muːt	muːc	mṵʤʰ³	muːj⁵¹	muːj⁴⁵	muːj⁴⁵	mun⁵	mun²	muʤʰ¹	muːl⁵¹	muːn⁵⁵	mui̯²¹⁴
NOSE_2			mwʌh														
ONE_1	mui̯c	muc⁴	moi̯c	mʊːc⁵³	moːc	moːt	muːc	moc³⁴	moːt⁵³	moːc⁵³	moːt⁵³	mot⁵³	mot⁵³	muːt¹	moːt⁵³	moːt⁵³	mok²¹²
PATH OR ROAD_1												taŋ²ti¹ʔ	ʔaŋ²di¹				
PATH OR ROAD_2		ta̤ŋ²	tɨaŋ	tɯa̤ŋ													jɨə̯ŋ²¹
PATH OR ROAD_3					kʰlaː	klaː	kʰlaː		tʰaː³	kʰaː³	kʰaː³			kʰalaː²			
PATH OR ROAD_4	urɛa̯ʔ																
PERSON_1				kɔːn¹	kun	kun	kɔn	kʰŏn³						kon			
PERSON_2		ŋai̯²	ŋaj									ŋaj²	ŋaj²				ŋɨːi̯²¹
PERSON_3	ʨʌmrău																
RAIN (PRECIPITATION)_1	mia	kuma̤²	kŭmʌa	kuməa²	maː	kʰmaː	maː		mɨa¹	mɨa¹	mɨa¹	mɨa¹			mɐː²	mɨa¹	mɨə³³
RAIN (PRECIPITATION)_2														maloːj²			
RAIN (PRECIPITATION)_3								sɯŋ⁴									
RED_1		tɔ⁴	tɔ	tɔː⁵¹				tɔh³	tɔː⁵	tɔː⁵	dɔː⁵	tɔ⁵	ʔɔ⁵	tɔh¹		dɔː⁵⁵	ɗɔː²¹⁴
RED_2	ikaːlˀ				kaon		kɔːl										
ROOT_1		lɛl̥³	ljɛ	ljɛlʰ¹				lɛl³⁴							lɛːl⁵¹		
ROOT_2											aɛc²	rɛt⁵³		hɛh			
ROOT_3									rac²	tʰac²							
ROOT_4	ri																ɹeː²¹⁴
ROOT_5																ʐeː²	
ROUND_1	tlɔːn	klɔn²	klɔn	tlɔːn²				kalŏm³²⁴	klɔːn²	klɔːn²	ʈɔːn²	ʈɔn²	ʔlɔn²		klɔːn²		ʈɔːŋ²¹
ROUND_2																ʐoan²	
SALT_1	ɓɒːi̯	ɓɔi̯³	bɔj	bɔːj³	bɔːj	bɔːj	bɔːj	bɔ̰j³⁴³	vɔːj³	bɔːj³	vɔːj³	vɔj³	vɔj³	bɔːj¹	bɒːj³	bɔːj³	
SALT_2																	muːi̯⁴⁵
SAND_1	takaːi̯c		tə̆kac	təkaːc⁵²					kaːc⁵²	kaːc⁵²		kăc⁵²					kaːk⁴⁵
SAND_2																ɣaːt⁵²	
SAND_3					kʰlɛː	pʰlɛː	kʰlɛː										
SAND_4		kaɽa̤ŋ²						kʰalɤŋ³									
SAND_5														tʰɛh²			
SEE_1				ʒua̤m	daːm		daːm										
SEE_2														nah⁴			
SEE_3	ʨɯŋ	cɯ̆ŋ¹	cɨŋ					cɤ̆ŋ³⁴									
SEE_4												tə̆j³					tʰəi̯⁴⁵
SIT_1	ŋoi	ŋo̤i̯²	ŋuj	ŋo̤i			ŋuːj		ŋoːj²	ŋoːj²	ŋoːj²	ŋoj²			ŋoːj²	ŋoːj²	ŋoːi̯²¹
SIT_2													tɔ²hɔ⁵				
SIT_3								sadoh³									
SIT_4														cuŋ²			
SKIN_1		kuɽot⁴	kărɔt	kəroːt⁵²	kʰlaot	kʰloːt	kʰlaot	kʰalɔ̰t³⁴						kʰaloːt²			
SKIN_2									taː¹	taː¹	taː¹	ta¹	ʔa¹				jaː³³
SKIN_3	arwoi̯c																
SLEEP_1					tɔŋ	tɨŋ	tʌŋ										
SLEEP_2		ɲap⁴	nʌp	nəa̤p				năm³²⁴						nam⁴			
SLEEP_3												ŋu⁵	ŋăj³				ŋu²¹⁴
SLEEP_4	pi																
SMALL_1					diːt		diːt	dɪt³⁴						ʔiːt			
SMALL_2		ɗɛ⁰ɗɛ³	dɛdɛ														
SMALL_3				dʔuoʔ													
SMALL_4												ɲɔ⁵					ɲɔː²¹⁴
SMALL_5	kʌtkʌ̆t																
SMOKE (EXHAUST)_1	ahɒːi̯	kuhɔi̯³	kaɔj	kəhɔːj³	kʰɔːj	kʰɔːj	kʰɔːj	kahəj³⁴³	kʰɔːj³	kʰɔːj³	kʰɔːj³	xɔj³		kahɔːj¹	kʰɒːj³	kʰɔːj³	xɔːi̯⁴⁵
STAR_1		kumĭŋ¹	kŭmiɲ	kumiŋ													
STAR_2						kbeː											
STAR_3	tlɔː							kalɔ³²⁴									
STAR_4														ʔakɔːl³			
STAR_5									kʰaːw¹	kʰaːw¹	kʰaːw¹	ʃaw¹			kʰraːw¹	ʂaːw¹	
STAR_6					baɛ		bae										saːu̯³³
STONE_1	atɛa̯ʔ	ta⁰ta³	lata	taː³	taː	taː	taː					ta³	ta³		taː³	ðaː³	ɗaː⁴⁵
STONE_2									kʰuː⁴	fuː⁴	kʰuː⁴						
STONE_3														kih³			
STONE_4								kɔnkɤl³									
SWIM_1		ʔaʑa¹	aja														
SWIM_2												tăm³					
SWIM_3				pɤi̯	pəːj		pəːj	lɔj³⁴									
SWIM_4																	ɓəːi̯³³
SWIM_5	ŋuolˀ																
TAIL_1	tuoi̯	tɔ̤i̯²	tuoj	twej²	tɔːj	tɔːj	toːj		twoj¹	twoj¹	dwoj¹	tuj¹	ʔwoj¹	toːj¹	tɔːj²		
TAIL_2																ðwəj²	
TAIL_3																	ɗuəi̯³³
THIS_1		ʔini¹	ni	ni	nəi	niː	nei	tani³				năj¹		ʔaliː¹	naː³	naː³	nai̯²¹
THIS_2	kɯ̆i̯																
THOU_1	mɯi̯	ʔami¹	mi	mi	məi	miː	mei								miː²	məj²	mai̯²¹
THOU_2												jə̆w¹		tʰəw¹			
THOU_3								căk					zaw¹				
TONGUE_1		la̤ɽ⁴	ləarl	ləalʰ²	laːc	laːt	laːc	lal³	laːj⁵¹	laːj⁴⁵	laːj⁴⁵			laʤʰ¹	lɐːl⁵¹	laːn⁵⁵	lɨːi̯²¹⁴
TONGUE_2	lieh																
TOOTH_1	atʰăŋ	kaɕăŋ¹	kasăŋ	kəsaŋ¹				kasăŋ³		saŋ¹	saŋ¹	tăŋ¹		ksaŋ¹			ɹăŋ³³
TREE_1		kɤ̤i̯²	kəʌj	kəj¹	kɔn	kaw	kʌl	kil³	kaə¹	kəl¹	kən¹	kən¹			kʌl²		kəi̯³³
TREE_2	ʨirʌŋ																
TREE_3														tʰaŋ²			
TWO_1	hɛa̯l	hal¹	hal	haːl¹	haːn	haːl	haːl	hal³⁴	haːə¹	haːl¹	haːn¹	han¹	han¹	haːl¹	haːl¹	haːn¹	haːi̯³³
WALK_1	tiː	ti²	ti	tiː²	təi	tiː	tei		tiː¹	tiː¹	diː¹	ti¹	ʔi¹	tiː¹	tiː²	tiː²	ɗi³³
WALK_2								ʔɤc³⁴									
WARM_1				kəʔam				taʔɯ̆m³⁴³	ʔəm³	ʔəm³		ə̆m¹ə̆m³	ə̆m³		ʔʌm³	ʔʌm³	ʔəm⁴⁵
WARM_2			tɨl			tʰəːl	tʰəːl										
WARM_3	tiɲ	tĭŋ¹												ptiŋ¹			
WATER_1	ɗɛa̯k	ɗak³	dak	daːk⁵²	daːk	daːk	daːk	dak⁴	raːk⁵²	daːk⁵²	raːk⁵²	djak⁵²	djak⁵²	daːk¹	daːk⁵²	daːk⁵²	nɨːk⁴⁵
WHAT_1					ciː		ciː					si¹	ci¹				ji²¹
WHAT_2		camɤ³	cămə					mʌ									
WHAT_3	amɯ̆h																
WHAT_4														ʔahəː³			
WHAT_5				kɛ													
WHITE_1	tlaːk				plɔːk	plɔːk	plɔk	lɒk³⁴	lɔːk⁵³	lɔːk⁵³				lɔːk³	pɐːk⁵³		
WHITE_2		takal¹	tə̆kal	cakal													
WHITE_3												ʈăŋ³	lăŋ³				ʈăŋ⁴⁵
WHO_1						ʔeː									ʔeː¹	ʔeː¹	
WHO_2		ʔaʔai̯¹	ʔaj	ʔaj	ʔaɛ		ʔae	ʔavɛ³	ʔaːj¹	ʔaːj¹		aj¹	aj¹				ʔaːi̯³³
WHO_3	iɗɯm																
WHO_4														noː¹			
WIND_1					jɔː		jɔː		sɔː³	sɔː³	sɔː³	sɔ³			sɒː³		jɔː⁴⁵
WIND_2	kaʑɒʔ	kuʑɔ³	kăjɔ	kəjɔː³		kăjɔː		ka³zɔ³⁴³						kjuː¹			
WIND_3																jwa³	
