	Azerbaijani	Bashkir	Chulym	Chuvash	Crimean Tatar	Cuman	Dolgan	Gagauz	Kara-Kalpak	Karachay-Balkar	Karaim	Kazakh	Khakas	Khalaj	Kumyk	Kyrgyz	Nogai	Northern Altai	Old Turkic	Salar	Shor	Siberian Tatar	Southern Altai	Tatar	Tofa	Turkish	Turkmen	Tuvan	Uyghur	Uzbek	West Yugur	Yakut
BARK_3																				koχ												
BARK_4				χubɤ̆ʷ																												
BELLY_1	ɡɑrɯn		qɑːrən		qɑrɯn	kɑren~kɑrin		kɑrnɯ	qɑrɯn	qɑrɯn	kɑrɯn	qɑrɯn	χɑrɯn	qɑrɯn				qɑrɯn	qɑrɯn		qɑrnɯ			qɑrɯn		kɑrɯn	ɡɑrɯn	χɯrɯn	qerin	qɔrin	qɑrɯn	
BELLY_2		qorhɑq		χɯrɤ̆ʷm	qursɑq				qursɑq		kursɑχ				qursɑq	qursɑq	qursɑq			χusɑχ	qursɑq			qorsɑq					qosɑq			
BELLY_3									iʃ							iʧ	iʃ	iʧ~iʃ				ëʧ	iʧ				iʧ	iʒin	iʧ		iʧiɡe~iʧike~iʧiki~iʧikɯ	
BELLY_4		es					is					ɘs																				is
BELLY_5													ɘstɘ												iˤʃtɘ							
BIG_1	bøjyc				byjyk			byyk			bijik~byjyk			bydyk~bidik					bedyk							byjyc						
BIG_2				pɯzɤ̆ʷk																											pezik	
BIG_3			uluɣ			ulu				ullu	ullu		uluɣ		ullu				uluɣ	ullɯ	uluɣ	ulɯ~olu			uluɣ		ulɯ	uluɣ				
BIG_4							ulɑkɑn		ylken			ylken					yjken															ulɑχɑn
BIRD_1	ɡuʃ	qoʃ	qus~quʧɑq		quʃ	kus		kuʃ	qus		kuʃ~kus	qʊs	χus		quʃ	quʃ	qus	quʃ	quʃ	quʃ	quʃ	quʃ	quʃ	qoʃ	quˤʃqɑʃ	kuʃ	ɡuʃ	quʃ	quʃ	quʃ	qus~qos	
BIRD_2							køtør																									køtør
BIRD_3				kɑjɤ̆ʷk						qɑnɑtlɯ						qɑnɑttuː																
BITE_1	ɡɑp		qɑp							qɑp		qɑp			χɑp		qɑp															
BITE_2								dɑlɑ																								
BITE_3	diʃlæ	teʃlɛ			tiʃle	tislɑ			tisle		tiʃle~ʧiʃle	tɘste				tiʃtø	tisle	tiʃte	tiʃle	ʧɯːʃle			tiʃte	teʃlɛ			diʃle		ʧiʃlɛ	tiʃlɑ	teste~tiste~tɯste	
BITE_4							ɯtɯr						ɯzɯr								ɯzɯr				ɯˤsɯr	ɯsɯr		ɯzɯr				ɯtɯr
BITE_5				ɕɯrt																												
BLACK_1	ɡɑrɑ	qɑrɑ	qɑrɑ	χurɑ	qɑrɑ	kɑrɑ	kɑrɑ	kɑrɑ	qɑrɑ	qɑrɑ	kɑrɑ~qɑrɑ	qɑrɑ	χɑrɑ	qɑrɑ	qɑrɑ	qɑrɑ	qɑrɑ	qɑrɑ	qɑrɑ	qɑrɑ	qɑrɑ	qɑrɑ	qɑrɑ	qɑrɑ	qɑrɑ	kɑrɑ	ɡɑrɑ	qɑrɑ	qɑrɑ	qɔrɑ	qɑrɑ	χɑrɑ
BLOOD_1	ɡɑn	qɑn	qɑn	jun	qɑn	kɑn	kɑɑn	kɑn	qɑn	qɑn	kɑn~qɑn	qɑn	χɑn	qɑːn	qɑn	qɑn	qɑn	qɑn	qɑn	qɑn	qɑn	qɑn	qɑn	qɑn	qɑn	kɑn	ɡɑːn	χɑn	qɑn	qɔn	qɑn	χɑːn
BONE_1						souɑt	oŋuok																									uŋuoχ
BONE_2		højɛk	søøk						syjek	syjek	sivek~syjek	syjek	søøk		syjek	søøc	syjek	søøk~søk	syŋyk		søːk	syøk	søøk	søjɛk	søøk		θyŋk	søøk	søŋɛk~syŋɛk~syjɛk	sujɑk		
BONE_3	symyc			ʃømø	kemik			kemik												seniχ						cemic						
BONE_4																															sɯmɯq	
BREAST_1	døʃ	tyʃ	tøs			tos	tyøs	ɡyːs	tøs	tøʃ	tøʃ~tes	tøs		kiːes	tøʃ			tøʃ	tøʃ		tøʃ	tyʃ	tøʃ	tyʃ	tøʃ		døʃ				ɡøs~tos~tus~tys	tyøs
BREAST_2									ɡewde			kewde																				
BREAST_3	cøcs	kykrɛk		køɡør	kokys	køksuɡ~køɡis			køkyrek	køkyrek	køkrɛk~kekrek~køkrek~køkis~køχis	køkrek	køɡɘs~køksɘ	køjs	køkyrek	cøcyrøc	køkirek	køɡys	køɡyz	kyprɛχ		køkrɛk~kykrɛk	køɡys	kykrɛk		ɟøːys	kykrek		køkrɛk~køksɛ	kokrɑk		
BURN_1			koj			kyj				kyj	kyv~kiv~tiv		køj	kien		cyj		kyj	kyn~kyj	køj	køj		kyj						køj		kyj	
BURN_2							ɡydeːrij																									
BURN_3				ɕun																					qɯˤp			qɯp				
BURN_4	jɑn	jɑn			jɑn			jɑn	ʒɑn		jɑn	ʒɑn			jɑn	ʤɑn	jɑn					jɑn		jɑn		jɑn	jɑn		jɑn	jɔn		
BURN_5																																umɑj
CLAW_1		tɯrnɑq	tərɣɑq		tɯrnɑq	termɑk	tɑrbɑk	tɯrnɑk	tɯrnɑq	tɯrnɑq	tɯrnɑχ	tɯrnɑq	tɯrɣɑχ		tɯrnɑq	tɯrmɑq	tɯrnɑq	tɯrvɑq~tɯrbɑq			tɯrɣɑq		tɯrmɑχ	tɯrnɑq	dɯrbɑq	tɯrnɑk	dɯrnɑq	dɯrbɑq	tirmɑq	tirnɔq		tɯŋɯrɑχ
CLAW_2	ʤɑjnɑɡ																															
CLAW_3				ʧɘrne																												
CLOUD_1	bulut	bolot	pulut	pɘ̆ʷlɘ̆ʷt	bulut	bulut	bɯlɯt	bulut	bult	bulut	bulut	bʊlt	pulut	bulɯt	bulut	buɫut	bulɯt	pulut	bulɯt	pulut~polut	pulut	polot~pulut	bulut	bolɯt	bulut	buɫut	bulut	bulut	bulut	bulut	pulut~pɯlɯt	bɯlɯt
COLD_1	sojuɡ	hɯwɯq	sooq		suvuq	sɑoɡh		suːk	suwɯq	suwuq	suvuk~suvuχ	suɯq	sooχ	sovuq	suwuq	suuq	suwɯq	sooq	soɣɯq	soχ	soːq		sooq	suɯq	sooq	soːuk	θowuq	sooq	soɣuq	sɔvuq		
COLD_2				sivɘ																												
COLD_3							tɯmnɯː																									tɯmnɯː
COLD_4														buːz																		
COLD_5																															tot	
COME_1	ɟæl	kil	kæl	kil	kel	kel	kel	ɡel	kel	kel	kel	kel	kil	kɛl	ɡel	cel	kel	kel	kel	ɡel	kel	kël	kel	kil	kel	ɟelʲ	ɡel	kel	kɛl	kel	kel	kel
COUNT_1							ɑk																									ɑːχ
COUNT_2	sɑj	hɑnɑ	sɑnɑ		sɑj			sɑj	sɑnɑ	sɑnɑ	sɑj~sɑn	sɑnɑ	sɑnɑ	sɑːɑnɑ	sɑnɑ	sɑnɑ	sɑnɑ	sɑnɑ	sɑnɑ	sɑnɑʲ				sɑnɑ	sɑnɑ	sɑj	θɑnɑ	sɑnɑ	sɑnɑ	sɑnɑ	sɑnɑ	
DIE_1	øl	yl	øl	vil	øl	ol	øl	øl	øl	øl	øl	øl	øl		øl	øl	øl	øl	øl	ul	øl	øl	øl	yl	øl	ølʲ	øl	øl	øl	ol	jul	øl
DIRTY_1			kɘrlɘɣ		kirli		kirdeːk		kirli	kir			kɘrlɘɡ			cir	kirli	kir~kirliɡ	kirliɡ		kirliɡ		kirly~kyrly		hɘrlɘɣ	cirlʲi	kirli	χirliɡ	kir	kir	ker~kerlʲe	kirdeːχ
DIRTY_2	bulɑʃɯɡ	bɯsrɑq			bulɑʃɯq			bulɑʃɯk			bɯlɑʃɯq													pɯʧrɑq								
DIRTY_3						sɑsi																										
DOG_1			ɑdɑj	jɯdɤ̆ʷ									ɑdɑj								ɑdɑj											
DOG_2																									ʧɯdɯɣ							
DOG_3					køpek			køpek																		cøpec						
DOG_4	it	et				it	ɯt		ijt	it	it	it		it	it	it	ijt	ijt~it	ɯt	iʃt		it	it	et			it	ɯt	iʃt	it	ɯʃt~eʃt	ɯt
DRINK_1		es					is						ɘs																			is
DRINK_2	iʧ		iʧ	ɘɕ	iʧ	yʃ~iʃ~yʧ~iʧ		iʧ	iʃ	iʧ	iʧ~iʦ	ɘʃ		iʧ	iʧ	iʧ	iʃ	iʧ	iʧ	iʧ	iʃ	ëʧ	iʧ	eʧ	iʃ	iʧ	iʧ	iʃ	iʧ	iʧ	iʧ~iʃ~eʧ	
DRY_1			keːbɘɣ	tibɘ																												
DRY_2	ɡuru	qoro			quru	kuru	kurɑːnɑk	kuru~kurɑk	qurɣɑq	qurɣɑq~quru	kurɣɑk	qʊrɣɑq	χuruɣ	qurruɣ	quru	qurɣɑq	qurɯ	kuru	quruɣ	kuru	quruɣ	qɑq	qurɣɑχ	qorɯ	qurɣɑɣ	kuru	ɡurɯ	qurɣɑɣ	quruq	quruq	qurlyɣ	kurɑːn
DRY_3						kɑk																										
EAR_1	ɡulɑɡ	qolɑq	qulɑq		qulɑq	kulɑɡ	kulɡɑːk	kulɑk	qulɑq	qulɑq	kulɑk~kulɑχ~qulɑq	qulɑq	χulɑχ	qulɑːq	qulɑq	quɫɑq	qulɑq	qɯlɑq~qulɑq	qulqɑq	qulɑχ	qulɑq	qolɑq~qulɑq	qulɑq	qolɑq	qulɑq	kuɫɑk	ɡulɑq	qulɑq	qulɑq	qulɔq	qulɑq	kulɡɑːχ
EAR_2				χølɣɑ																												
EARTH (SOIL)_1	jer	jer	ʧɛr	ɕɘr	jer	ier~jer	hir	jer	ʒer	ʤer	jer	ʒer	ʧir	jer	jer	ʤer	jer	cer~ɟer~jer	jer		ʧer	jer	ɟer	ʤir	ʧer	jer	jer		jɛr	jer	jer	sir
EARTH (SOIL)_2							buor																									buor
EARTH (SOIL)_3	torpɑɡ	tuprɑq	toβrɑq	tøprɑ	toprɑq			toprɑk	topɯrɑq	toprɑq	toprɑq	topɯrɑq	tobɯrɑχ	turpɑq	topurɑq	topurɑq	topɯrɑq	toprɑq	toprɑq		tobrɑq		tobrɑq	tufrɑq	toˤprɑq	toprɑk	toprɑq	dovurɑq	toprɑq	tuprɔq	torvɑq~tɯrvɑq	
EAT_1		ɑʃɑ			ɑʃɑ	ɑʃɑ	ɑhɑː			ɑʃɑ	ɑsɑ~ɑʃɑ				ɑʃɑ		ɑʃɑ		ɑʃɑ			ɑʃɑ	ɑʒɑn	ɑʃɑ								ɑhɑː
EAT_2			ʧi	ɕi				i					ʧɘ					ci		ji	ʧiː		ɟi		ʧi			ʧi	ji		ji~ʤi	
EAT_3																									nemne			ʧemne				
EAT_4	je								ʒe			ʒe		jeːe		ʤe	je		je	je		jë				je				je	je	
EAT_5							hie																				ij					sie
EGG_1																															ojɑ~ujɑ	
EGG_2	jumurtɑ	jomortqɑ	ʧumurtqɑ	ɕømɑrdɑ	jɯmɯrtɑ	jumurtkɑ	hɯmɯːt	jɯmɯrtɑ			jumurtχɑ	ʒʊmɯrtqɑ	nɯmɯrχɑ	jumurqɑ	jɯmɯrtqɑ	ʤumurtqɑ	jumɯrtqɑ	ɲurtqɑ~ɲɯmɯrtqɑ	jumurɣɑ	jomurtɑ~jumotor	nɯbɯrtqɑ	jomɯrtqɑ	ɟɯmɯrtχɑ	jomɯrqɑ	ɲumurhɑ	jumurtɑ	jumurtɡɑ	ʧuurɣɑ				sɯmɯːt
EYE_1			qɑrɑq				kɑrɑk						χɑrɑχ								qɑrɑq				qɑrɑq			qɑrɑq				χɑrɑχ
EYE_2	cøz	kyð		kuɕ	køz	køʃ		ɡøz	køz	køz	køz~kez	køz		køz	ɡøz	cøz	køz	køs	køz	koz		køz	køs	kyz		ɟøz	ɡøð		køz	koz	kyz~køz	
FALL_1			ɑŋnɑl									qulɑ	ɑŋdɑrɯl							ʃɑŋkulɑ~ʃøŋ kol												
FALL_2		jɯɣɯl			jɯqɯl				ʒɯɣɯl	ʤɯɣɯl	jɯɣɯl	ʒɯɣɯl			jɯɣɯl	ʤɯɣɯɫ	jɯɣɯl			jɯχɯl	ʧɯɣɯl	jɯɣɑl		jɯɣɯl			jɯqɯl		ʒiqil	jiqil~tokil		
FALL_3	dyʃ			yk		tuʃ	tys	dyʃ		tyʃ	ʧyʃ~kis tyʃ	tys	tys	tiʃ		tyʃ		tyʃ	tyʃ	ʤyʤ		tyʃ	tyʃ		tyˤʃ	dyʃ		dyʃ	ʧyʃ			tys
FALL_4																															toqrɑ	
FAR_1									qɑʃɯq			qɑʃɯq																				
FAR_2	uzɑɡ	jɯrɑq	ərɑq		uzɑq	yrɑk~yrɑh	ɯrɑːk	uzɑk~jɯrɑk	uzɑq	uzɑq	irɑχ~jɯrɑq		ɯrɑχ	hɯrɑɑq	jɯrɑq	ɯrɑɑq	uzɑq	uzɑq~rɑq~ɯrɑɑq	jɯrɑq	jɯrɑχɑr	ɯrɑq	jɯrɑq	uzɑq~ɯrɑɑq	jɯrɑq	ɯrɑq	uzɑk	uðɑq	ɯrɑq	uzɑq~ʒirɑq	uzoq	uzɑq	ɯrɑːχ
FAR_3				inʑe																												
FAT (ORGANIC SUBSTANCE)_1													ys															ys				
FAT (ORGANIC SUBSTANCE)_2				ɕu			hɯɑ																ɟu									sɯɑ
FAT (ORGANIC SUBSTANCE)_3	jɑɣ	mɑj	ʧɑɣ		jɑɣ	jɑv		jɑː	mɑj	ʤɑw	jɑv	mɑj	ʧɑɣ	jɑːɑɣ	mɑj	mɑj	mɑj	jɯɣ	jɑɣ	jɑɣ	ʧɑɣ	mɑj		mɑj	ʧɑɣ	jɑː	jɑɣ		mɑj~jɑɣ	jɔɣ		
FAT (ORGANIC SUBSTANCE)_4																															tønɑχ	
FEATHER_1					qɑnɑt					qɑnɑtlɯ tyk													qɑnɑt									
FEATHER_2						junɡ																										
FEATHER_3	tyc		tyk	tɘ̆ʷk			tyː	tyj			tik		ʧyɡ		tyk			tyk	tysi		ʧyɡ				tyk	tyj		ʧyɡ				tyː
FEATHER_4	lælæc																															
FEATHER_5																											jelek					
FEATHER_6																				mimiluχ												
FINGERNAIL_1	dɯrnɑɡ	tɯrnɑq	tərɣɑq		tɯrnɑq	termɑk	tɯŋɯrɑk	tɯrnɑk	tɯrnɑq	tɯrnɑq	tɯrnɑk	tɯrnɑq	tɯrɣɑχ	tɯrnɑq	tɯrnɑq	tɯrmɑq	tɯrnɑq	tɯrɣɑq~tɯrbɑq	tɯrŋɑq~tɯŋrɑq	tɯrnɑχ	tɯrbɑq		tɯrmɑχ	tɯrnɑq	dɯrbɑq	tɯrnɑk	dɯrnɑq	dɯrɣɑq	tirmɑq	tirnɔq	tɑrmɑq~tɯrmɑq~tɯrvɑq	tɯŋɯrɑχ
FINGERNAIL_2				ʧɘrne																												
FIRE_1	od	ut	ot	vut		ot	uot		ot	ot	ot	ot	ot	huːot	ot	ot	ot	ot	ot	ot	ot	ot	ot	ut	ot		oːt	ot	ot		ot	uot
FIREWOOD_1	odun	utɯn	oːduŋ		odun	odim		odun	otɯn	otun	otun	otɯn	odɯŋ	huːotun		otun	otɯn		otuŋ	otɯn~oʦɯn~uʦɯn	oduŋ	otɯn	odɯn	utɯn		odun	odun		otun	otin	otun~otɯn	
FIREWOOD_2				vudɤ̆ʷ																								ɯjɑʃ				
FIREWOOD_3						ɑɡɑʧ	mɑstɑr								ɑɣɑʧ		ɑɣɑʃ															mɑs
FIREWOOD_4																									neʃ							
FISH_1	bɑlɯɡ	bɑlɯq	pɑːləq		bɑlɯq	bɑlik~bɑluk	bɑlɯk	bɑlɯk	bɑlɯq	ʧɑbɑq	bɑlɯk~bɑlɯq	bɑlɯq	pɑlɯχ		bɑlɯq	bɑɫɯq	bɑlɯq	bɑlɯq	bɑlɯq	bɑluχ	pɑlɯq	bɑlɯq	bɑlɯq	bɑlɯq	bɑlɯq	bɑɫɯk	bɑlɯq	bɑlɯq	beliq	bɑliq		bɑlɯk
FISH_2				pulɤ̆ʷ																												
FIVE_1			pɛs	pilɘk									pis																		pis~pes	
FIVE_2	beʃ	beʃ			beʃ	bes	bies		bes	beʃ	beʃ	bes		biːeʃ~beːeʃ	beʃ	beʃ	bes	peʃ	beʃ	peʃ	peʃ	pëʃ	beʃ	biʃ	beʃ	beʃ	bɛʃ	beʃ	bɛʃ	beʃ		bies
FIVE_3								bulɑʃɯq																								
FLOWER_1		sɛskɛ																						ʧɛʧkɛ								
FLOWER_2	ʧiʧæc				ʧiʧek	ʧiʧek		ʧiʧek			ʧeʧɛɡi				ʧeʧek			ʧeʤek	ʧeʧek	ʧiʧeχ		ʧiʧɛk	ʧeʧek	ʧɛʧɛk		ʧiʧec		ʧeʧek	ʧeʧɛk		ʧyʧyɡ	
FLOWER_3																	ʃeʃekej															
FLOWER_4													ʧɑχɑjɑχ								ʧɑqkijek											
FLOWER_5																									ɑqɑʃ							
FLOWER_6							ot																									
FLY (MOVE THROUGH AIR)_1							køt																									køt
FLY (MOVE THROUGH AIR)_2	uʧ		uʧ		uʧ	uʧ		uʧ	uʃ	uʧ	uʧ~uʦ	ʊʃ	uʧuχ	uʧ	uʧ	uʧ	uʃ	uʧ~uʃ	uʧ	uʧ~uʃ	uʧuq	uʦ	uʧ		uˤʃ	uʧ	uʧ	uʃ	uʧ	uʧ	uʃ~uʧ	
FLY (MOVE THROUGH AIR)_3		os																		yʧ		oʧ		oʧ							yʧ	
FLY (MOVE THROUGH AIR)_4				vɘ̆ʷɕ																												
FOOT OR LEG_1										but					but	but		but	but				but		but			but				
FOOT OR LEG_2	ɑjɑɡ	ɑjɑq	ɑzɑq	orɑ	ɑjɑq	ɑjɑk~ɑjɑk~ɑjɑk	ɑtɑk	ɑjɑk	ɑjɑq	ɑjɑq	ɑjɑk	ɑjɑq	ɑzɑχ	hɑdɑq	ɑjɑq	ɑjɑq	ɑjɑq		ɑdɑq	ɑjɑχ	ɑzɑq	ɑjɑq		ɑjɑq		ɑjɑk	ɑjɑq		ɑjɑq	ɔjɔq	ɑzɑq	ɑtɑχ
FOUR_1	dørd	dyrt	tørt	tøvɑttɤ̆ʷ~tøvɑdɤ̆ʷ~tøvɑt	dørt	tort	tyørt	dørt	tørt	tørt	dørt	tørt	tørt	tøːørt~tyːørt	dørt	tørt	dørt	tørt	tørt		tørt	tørt	tørt	dyrt	dørt	dørt	dørt	dørt	tørt	tort	dyrt~tyrt~tørt	tyørt
FULL_1	dolu	tulɯ	toldərɑ	tulli	tolu	tolu	toloru	dolu	tolɣɑn~tolɯq	tolu	tolu	tolɯ	toldɯrɑ	tuolɑ	tolu	toɫturɑ	tolɯ	toltɯrɑ	tolu	tolu	toldurɑ	tol	tolo	tulɯ	dolu	doɫu	dolɯ	dolu	toluq~tolɑ	tolɑ	tolo~tolu	toloru
GIVE_1	ver	bir	pɛr	pɑr	ber	ber	bier	ver	ber	ber	ber~ver	ber	pir	vier	ber	ber	ber	per~ber	ber	per~ver~ber	per	ber~bɛr	ber	bir	ber	ver	ber	ber	bɛr	ber	per	bier
GOOD_1	jɑχʃɯ	jɑqʃɯ	ʧɑqsə		jɑχʃɯ	jɑksi			ʒɑqsɯ	ɑʃχɯ	jɑχʃɯ~jɑχsɯ	ʒɑqsɯ	ʧɑχsɯ		jɑχʃɯ	ʤɑqʃɯ	jɑχʃɯ	cɑqʃɯ~ɟɑqʃɯ		jɑχʃi~jɑχʃɑrɑ	ʧɑqʃɯ	jɑqʃɯ	ɟɑχʃɯ	jɑχʃɯ			jɑɡʃɯ		jɑχʃɯ	jɑχʃi	jɑχʃɯ	
GOOD_2							yʧyɡej																									yʧyɡej
GOOD_3					eji	ejɡi		iji		iɡi							ijɡi		edɡy							iji		eki				
GOOD_4																									eˤkkɘ							
GRASS_1	ot		ot		ot		ot	ot			ot~jɑʃot		ot	oot	ot						ot					ot	ot	oˤt	ot	ot	oht	ot
GRASS_2		ylɛn			ølen												ølen	øløŋ			øleŋ	ylɛŋ	øløŋ	ylɛn				siɡen				
GRASS_3									ʃøp			ʃøp				ʧøp				ʧøp~ʧyp									ʧøp			
GRASS_4				kurɤ̆ʷk		kukel																			køk							
GREEN_1	jɑʃɯl	jɛʃel			jeʃil	jɑs		jeʃil		ʤɑʃɯl	jesil	ʒɑsɯl			jɑʃɯl	ʤɑʃɯɫ	jɑsɯl	cɑʒɯl	jɑʃɯl	jɑːʃɯl	ʧɑʒɯl	jiʃil	ɟɑʒɯl	jɛʃel		jeʃilʲ	jɑʃɯl		jeʃil	jɑʃil	jɑsɯl	
GREEN_2			kok				kyøk		køk				køk	kyøk~kiek											køk				køk			kyøχ
GREEN_3				simɘs																												
HAIR (HEAD)_1															tyk													dyk				
HAIR (HEAD)_2				ɕyɕ					ʃɑʃ			ʃɑʃ					ʃɑʃ	ʃɑʃ			ʃɑʃ				ʧeˤʃ						ʃɑʤ	
HAIR (HEAD)_3		sɛs											sɑs																		sɛʤ	
HAIR (HEAD)_4	sɑʧ		ʧɑʧ		sɑʧ	zɑk	ɑs	sɑʧ		ʧɑʧ	sɑʧ~seʧ~ʦɑʦ~ʧɑʧ			sɑʧ	ʧɑʧ	ʧɑʧ		ʧɑʧ	sɑʧ	sɑʧ		ʦɑʦ	ʧɑʧ	ʧɛʧ		sɑʧ	θɑʧ		ʧɑʧ	sɔʧ	sɑʧ	ɑs
HEAD_1	bɑʃ	bɑʃ	pɑs	puɕ	bɑʃ	bɑs	bɑs	bɑʃ		bɑʃ	bɑʃ~bɑs	bɑs	pɑs	bɑːʃ	bɑʃ	bɑʃ	bɑs	bɑʃ~pɑʃ	bɑʃ	pɑʃ~bɑʃ	pɑʃ	pɑʃ~bɑʃ	bɑʃ	bɑʃ	bɑˤʃ	bɑʃ		bɑʃ	bɑʃ	bɔʃ	pɑʃ	bɑs
HEAR_1			ɛs										is																			
HEAR_2	eʃit	iʃet		ilt	eʃit	esit~eʃit	ihit	iʃit	esit	eʃit	esit~eʃit	esɘt		iʃyt	eʃit		esit		eʃit	iʃti		iʃit~eʃit		iʃet		iʃit	eʃit		iʃit	eʃit		ihit
HEAR_3																uq		uq			uq	uq~oq	uq									
HEAR_4																									dɯŋnɑ			dɯŋnɑ			tinnɑ	
HEART_1	yræc	jørɛk	ʧyrek	ʧɘre	jyrek		hyrek	yrek	ʒyrek	ʤyrek	jirek	ʒyrek	ʧyrek	jirɛk	jyrek	ʤyrec	jyrek	dyrek	jyrek	jiriɡ	ʧyrek	jorɛk	ɟyrek	jørɛk	ʧyrek		jyrek	ʧyrek	ʒyrɛk~jyrɛk	jurɑk	jyrek~jørek	syreχ
HEAVY_1	ɑɣɯr	ɑwɯr	ɑɑr	jɯvɤ̆ʷr	ɑɣɯr	ɑɡer	ɯɑr	ɑɑr	ɑwɯr	ɑwur	ɑvur	ɑwɯr	ɑɑr	ɑɣir	ɑwur	oor	ɑwɯr	ɑɑr	ɑɣɯr	ɑɣɯr	ɑːr	ɑwɯr	uur	ɑwɯr	ɑɑr	ɑːɯr	ɑɣɯr	ɑɑr	eɣir	ɔɣir	ɑɣɯr	
HEAVY_2																																ɯɑrɑχɑn
HORN (ANATOMY)_1	bujnuz				bojnuz			bujnuz																		bojnuz						
HORN (ANATOMY)_2			myys			munɡus	muos		myjiz	myjyz	myŋyz~miviz	myjɘz	myys		myjyz	myjyz	myjiz	myys	myjyz	moŋus	myːs		myys		miis			mɯjɯs	myŋɡyz		moŋus	muos
HORN (ANATOMY)_3		møɡøð		møjrɑɡɑ																				møɡez								
HOT_1		eθe																						esse								
HOT_2					sɯʤɑq			sɯʤɑk																		sɯʤɑk						
HOT_3									ɯssɯ			ɯstɯq				ɯsɯq				ɯssɯ~qɯzɯɡu							ɡɯðɡɯn					
HOT_4	isti		izɘɣ			issi	itiː			issi	issi		ɘzɘɡ		issi		issi	iziɡ~yzyɡ	isiɡ		iziɡ	isy	izy		iˤsɘɣ			iziɡ	issiq~qiziq	issiq	issɯɡ	itiː
HOT_5				vɘri																												
I_1	mæn	min	mɛn		men	men	min	bɛn	men	men	men	men	min	mɛn	men	men	men	men	ben	men	men	min	men	min	men	ben	men	men	mɛn	men	men	min
I_2				ebɘ																												
KILL_1	øldyr	ylter	øːlyr		øldyr		ølør	øldyr	øltir	øltyr	øldir	øltɘr	ødɘr		øltyr	øltyr	øltir	øltør~øltyr	ølyr	ølter	ødyr	øjtir	øltyr		ølyr	ølʲdyr	øldyr	ølyr	øltyr	oldir		ølør
KILL_2				vɘ̆ʷler										hilɛːr										yter							julur	
KILL_3						jɑrɑ et																										
KNEE_1	diz		təsβɑːzə		tiz	tizɡi		diz	dize		tyz~tiz~kiz	tɘze	tɘzek	tiːiz		tize	tiz	tize	tiz	tizeχ	tize	tizi~tiz	tize	tez	tɘskek	diz		dis	tiz	tiz	tez~tiz	
KNEE_2		tubɯq					tobuk			tobuq					tobuq																	tobuk
KNEE_3																											dɯð					
KNEE_4				ʧɘrɡuɕɕi																												
KNEE_5						kesi																										
KNOW (SOMETHING)_1	bil	bel	pɘl	pɘl	bil	bil	bil	bil	bil	bil	bil	bɘl	pɘl	bil	bil	bil	bil		bil	bel	pil	pil	bil	bel	bil	bilʲ	bil	bil	bil	bil	pel~pɯl~bel	bil
KNOW (SOMETHING)_2																		oŋnɑ														
LAUGH_1													χɑtχɯr								qɑtqɯr		qɑtχɯr		qɑˤqqɯr			qɑttɯr				
