	Aichi	Akita	Aomori	Chiba	Ehime	Fukui	Fukuoka	Fukushima	Gifu	Gunma	Hachijō	Hateruma	Hirara	Hiroshima	Hokkaidō	Hyōgo	Ibaraki	Ikema	Irafu	Ishigaki	Ishikawa	Iwate	Kagawa	Kagoshima	Kanagawa	Kumamoto	Kyōtō	Kōchi	Mie	Miyagi	Miyazaki	Nagano	Nagasaki	Nara	Naze	Niigata	Okayama	Okinawa	Old Japanese	Saga	Saitama	Shiga	Shimane	Shizuoka	Taketomi	Tarama	Tochigi	Tokushima	Tottori	Toyama	Tōkyō	Wakayama	Yamagata	Yamaguchi	Yamanashi	Yonaguni	Ōita	Ōsaka
BE DEAD OR DIE_2													sɨɴ					sɨɴ	sɨɴ																sɨɲuɴ											sɨɴ												
BE DEAD OR DIE_3											marubu	maːrasuɴ								maːrasuɴ																		maːsuɴ							maːrasuɴ											maisuɴ		
BELLY_1	hara	hara	hara	hara	hara	hara	hara	hara	hara	hara	hara	bata	bata	hara	onaka	hara	hara	bata	bata	bada	hara	hara	hara	hara	hara	hara	hara	hara	hara	hara	hara	hara	hara	hara	wata	hara	hara	wataː	wata	hara	hara	hara	hara	hara	bata	bata	hara	hara	hara	hara	hara	hara	hara	onaka	hara	bata	hara	hara
BIG_1																				maiʃaːɴ															daibaɴ			maːɡiʃeɴ							maijaɴ											maisa		
BIG_2													upukaiː						ukukal																											upʃaːl												
BIG_3										deʔkai							ekae	βuikai			dekai															deʔkae								ikai						deʔkai								
BIG_4						ikɛ			ikɛ																dʔkɛ							dʔkɛ									dʔkɛ	ikɛː																
BIG_5	oːkiː	oʔki	oʔki	oʔkiː	oːkiː		oːʔka				boːkja			oːkeː	oːkiː	oːkeː						oʔki	oːkiː				oːkiː		oʔkiː	oʔkiː			oːkina	oːkiː			oːkeː						oːkina				oːkiː	oːkiː	oːkiː		oːkiː	okiː	oʔki	oːkina	oːkiː			oːkiː
BIG_6																								βute		βutoka		βutoi			βuti									βutoka																	βutiː	
BIG_7												busahaɴ																																														
BIG_8								ʣuɴnɛ																																																		
BIG_9																																							øβø																			
BIRD_1	tori	tori	tori	tori	tori	tori	tori	tori	tori	tori	torime	turɨ	tuɨ	tori	tori	tori	tori	tui	tul	turɨ	tori	tori	tori	toi	tori	tori	tori	tori	tori	tori	tori	tori	tori	tori	turi	tori	tori	tui	tøri	toi	tori	tori	toː	tori	tul	tul	tori	tori	tori	tori	tori	tori	tori	tori	tori		tori	tori
BIRD_2																																																								hatu		
BITE_1		kamiʤiɡu	kuʔʦuɡu		kamiʦuku	kuwaʦuku		kuiʦuku				kamisɨkuɴ		kuiʦuku	kamiʦuku					kamuɴ	kamu			kaɴʦuʔ			kamiʦuku							kuiʦuku				kuːjuɴ	kamu					kuʔʦuku						kamu	kamiʦuku					puiʦuɴ		
BITE_2																						kuʔʧaɡaru																																				
BITE_3													βuː					βuː	βuː																																							
BITE_4																																														βaɴksɨ												
BLACK_1													ʔfukaɨ					ʔfukai	ʔfukam																																							
BLACK_2																																													ʔfoːɴ													
BLACK_3	kurøː	kure	kure	kureː	kuroi	kuroi	kuroka	maʔkureː	kurøː	kuroi	kurokja			kuroi	kuroi	kuroi	kuroe				kuroi	kure	kuroi	kure	kureː	kuroka	kuroi	kuroi	kuroi	kuroe	maʔkuri	kureː	kuroka	kuroi	kʔuruʃaɴ	kuːre	kureː	kuruʃeɴ	kuroʃi	kuroka	kuroi	kurøe	kuroe	kuroi			kuroi	kuroi	kuroi	kuroi	kuroi	kuroi	kuroe	kurøː	kuroi		kureː	kuroi
BLACK_4												βuːhahaɴ								βuβuːsaɴ																																						
BLACK_5																																														ʔβuʃaːru										βuru		
BLOOD_1	ʧi	ʧi	ʧi	ʧi	ʧi	ʧiː	ʧi	ʧi	ʧi	ʧi	ʧi			ʧi	ʧi	ʧiː	ʧi				ʧiː		ʧiː	ʧiː	ʧi	ʧiː	ʧiː	ʧi	ʧiː		ʧi	ʧi	ʧi	ʧi		ʧi	ʧi	ʧiː	ti	ʧi	ʧi	ʧiː	ʧi	ʧi	ʃiː		ʧiː	ʧiː	ʧi	ʧiː	ʧi	ʧiː	ʧiː	ʧi	ʧi	ʧi	ʧi	ʧiː
BLOOD_2													akaʦɨ					akaʦɨ	akaʦɨ																											akaʦɨ												
BLOOD_3												ʣɨː								ʦɨː		ʦu								ʦuː					ʦɨ																							
BONE_1	hone	hone	hone	hone	hone	hone	hone	hone	hone	hone	hone			hone	hone	hone	hone				hone	hone	hone	hone	hone	hone	hone	hone	hone	hone	hone	hone	hone	hone		hone	hone		høne	hone	hone	hone	hone	hone			hone	hone	hone	hone	hone	hone	hone	hone	hone		hone	hone
BONE_2												puni	puni					βuni	puni	βuni															βunɨ			βuni							puni	puni										βuni		
BREAST_1																																munaŋara						niːβara																				
BREAST_2												niʦɨ	ɴmivu̥ʦɨ					ɴmiuʦɨ	ɴmivu̥ʦɨ																																							
BREAST_3																				ɴni																									ɴːni	mni												
BREAST_4	mune	mune	mune	mune	mune	mune	mune	mune	mune	mune	mune			mune	mune	mune	mune				mune	mune	mune	mune	mune	mune	mune	mune	mune	mune	mune		mune	mune	monə	mune	mune		mune	mune	mune	mune	mine	mune			mune	mune	mune	mune	mune	mune	mune	mune	mune		mune	mune
BREAST_5																																																								ʧimumuti		
BURN_1	jaku	jaɡu	jaɡu	jaku	jaku	jaku	jaku	jaɡu	jaku	jaɡu	jaku	jaɡuɴ	jaksɨ	jaku	jaku	jaku	jaɡu	jaβu	jaβu	jakuɴ	jaku	jaɡu	jaku	jaʔ	jaku	jaku	taku	jaku	jaku	jaɡu	jaku	jaku	jaku	jaku	jakjuɴ	jaku	jaku	jakuɴ		jaku	jaku	taku	jaku	jaku	jakuɴ	jaksɨ	jaɡu	jaku	jaku	jaku	jaku	jaku	jaɡu	jaku	jaku	daɡuɴ	jaku	jaku
BURN_2																																							moju																			
CLOUD_1																		ɴmu																																						ɴmu		
CLOUD_2	kumo	kumo	kumo	kumo	kumo	kumo	kumo	kumo	kumo	kumo	kumo	βumoɴ	βumu	kumo	kumo	kumo	kumo		βumu	kumu	kumo	kumo	kumo	kumo	kumo	kumo	kumo	kumo	kumo	kumo	kumo	kumo	kumo	kumo	kʔumu	kumo	kumo	kumuː	kumo	kumo	kumo	kumo	kumo	kumo	βumu	βumu	kumo	kumo	kumo	kumo	kumo	kumo	kumo	kumo	kumo		kumo	kumo
COLD_1					çijai							piʃahaɴ	psɨʃikaɨ					ʔʃikai	psɨʃikam	piːʃaɴ				çijuʔ				çijai							çiɡuruʃaɴ			çiːʃeɴ		çijka					piːjaɴ	piːʃaːl										çisaɴ		
COLD_2	sabjuː	samue		sabiː		sabui	samuka	sameː	sabjuː	samiː				sabui		sabui	samue				sabui		sabui		samiː	saɴka	samui		samui		sami	sabiː	samuka	sabui		saːme	samiː		samuʃi		samiː	samui	samiː	sabiː			samui	samui	samui	sabui	samui	sabui	saɴbu	samiː	samui		samiː	sabui
COLD_3			suɴbareru												ʃibareru							suɴbareru								subareru																												
COLD_4											koɡeiru																																															
COME_1													ksɨsɨ							ksɨːɴ																										ksɨː												
COME_2	kuru	kuru	kuru	kuru	kuru	kuru	kuru	kuru	kuru	kuru	kuru	kuɴ		kuru	kuru	kuru	kuru				kuru	kuru	kuru	kuʔ		kuru	kuru	kuru	kuru		kuru	kuru	kuru	kuru	kjuɴ	kuru	kuru		ku	kuː	kuru	kuru	kuː	kuru	kuːɴ		kuru	kuru	kuru	kuru	kuru	kuru	kuru		kuru	kuɴ	kuru	kuru
COME_3																		βuː	βuː																																							
COME_4																									iku																																	
COUNT_1												jumuɴ	jum			jomu		jum	jum		joɴ		jomu				jomu								jumjuɴ			jumuɴ							jumuɴ	jum		jomu				jomu				dumi		
COUNT_2	kaɴjoseru	kaɴjeru	kaɴʤoeru	kaɴjoː	kaʣueru	kaɴjeru	kaɴneru	kaɴjoːʃiru	kaɴjoːseru	kaɴjoːsuru	kaɴjoːsu			kaʣueru	kaʣoeru		kaɴjoːsuru					kaɴjeru		kaɴʣuʔ	kaɴjoːsuru	kaɴʤuru		kaʣueru	kaʣoeru	kaɴʣoeru	kaʣojuru	kaɴjoːʃiru	kaʣojuru	kaʣueru		kaɴjoː	kaʣueru		kaʣoβu	kaʣojuru	kaɴjoːsuru	kaʣoeru	kajeː	kaɴjoːʃiru			kaʣoeru		kaʣureru	kaɴjoːsuru	kaʣoeru		kaɴjeru	kaʣøːru	kaʣoeru		kaʣojuru	kaʣujomu
COUNT_3																				saɴmiɴsɨː																																						
DIRTY_1													sɨkata																																	sɨputalmunu												
DIRTY_2	kitanɛː	kitanɛ	kitanɛ	kitanɛː	kitanai	kitanai		kiʔtanɛ	kitanɛː	kitaneː	kitanakja			kitanaː	kitanai		kitane				kitanai	kiʔtanɛ	kitanai	kiʔsanaka	kitaneː	kitanaka	kitanai		kitanai	kidanɛ	kisane	kiʔtaneː		kitanaː		kiʔtanɛ	kitaneː		kitanaʃi		kitaneː	kitanae	kitaneː	kiʔtanɛː			kitanai	kitanai	kitanai		kitanai	kitanai		kitanɛː	kitanai		kisaneː	kitanai
DIRTY_3																ʧanai		ʔʃana	ʔʃanaɡi																																							
DIRTY_4												jaɴʃihaɴ								janiʔʃaːɴ															janaksɨʃaɴ										janijaɴ											dinaɴ		
DIRTY_5							urameʃika																										joʔsowaʃika							josowaʃika																		
DIRTY_6																												ɴdakiʤa																														
DIRTY_7																																																		uʣakuraʃiː								
DIRTY_8																																						hoɡoʃeɴ																				
DIRTY_9																																																					biʃo					
DOG_1	inu	enu	enu	inu	inu	inu		inu	inu	inu	inume	inu		inu	inu	inu	enu					enu	inu		inu		inu	inu	inu	enu		eno	inu	inu			inu		inu		inu	inu	eno	inu		ina	inu	inu	inu		inu	inu	enu	inu	inu	inu		inu
DOG_2							iɴ						iɴ					iɴ	iɴ	iɴ	iɴ			iɴ		iɴ					iɴ				iɴ					iɴ					iɴ					iɴ							iɴ	
DOG_3																																				eɴɡa		iɴɡwaː																				
DRINK_1	nomu	nomu	nomu	nomu	nomu	nomu	nomu	nomu	nomu	nomu	nomu	numuɴ	num	nomu	nomu	nomu	nomu	num	num	numuɴ	nomu	nomu	nomu	noɴ	nomu	nomu	nomu	nomu	nomu	nomu	nomu	nomu	nomu	nomu	numjuɴ	nomu	nomu	numuɴ	nømu	nomu	nomu	nomu	noɴ	nomu	numuɴ	num	nomu	nomu	nomu	nomu	nomu	nomu	nomu	nomu	nomu	numuɴ	nomu	nomu
DRY_1	kawaku	kawaɡu	kawaɡu	kaːku	kawaku	kawaku		kʷaɡu	kawaku	kawaku	kawaku	karuɡuɴ	kaːksɨ		kawaku	kawaku			kaːraʦɨ	kaːraɡuɴ	kawaku	kawaɡu	kawaku		kawaku		kawaku	kaːku	kawaku	kawaɡu			kawaku	kawaku	korakjuɴ	kawaku	kawaku	haːrakuɴ	kawaku	kawaku	kawaku	kawaku	kawaku		kaːrakuɴ	kaːrakɨ	kawaɡu	kawaku	kawaku		kawaku	kawaku		kawaku	kawaku	karaɡuɴ	kawaku	kawaku
DRY_2							çiaɡaru							çiru			çiru							çiaɡaʔ		çiaɡaru					çiaɡaru	ʃiru												çiru									βiru					
DRY_3																		sari																																								
DRY_4																																																		hoseru								
EAR_1	mimi	mimi	mimi	mimi	mimi	mimi	mimi	mimi	mimi	mimi	mimi	miʃukurumiɴ	mim	mimi	mimi	mimi	mimi	miɴ	mim	miɴ	mimi	mimi	mimi	miɴ	mimi	mimi	mimi	mimi	mimi	mimi	mimi	mimi	mimi	mimi	miɴ	mimi	mimi	mimiː	mimi	mimi	mimi	mimi	mimi	mimi	miɴ	mim	mimi	mimi	mimi	mimi	mimi	mimi	mimi	mimi	mimi		mimi	mimi
EAR_2																																																								miɴtaβu		
EARTH (SOIL)_1	ʦuʃi		ʦuʣu	ʦuʃi	ʦuʃi			ʦuʃi	ʦuʃi	ʦuʃi	ʦuʃi			ʦuʃi	ʦuʃi	ʦuʃi	ʦuʃi					ʦuʣu	ʦuʃi	ʦuʔ	ʦuʃi	ʦuʃi	ʦuʃi	tuʧi	ʦuʃi	ʦuʣu	ʦuʃi		ʦuʃi	ʦuʃi			ʦuʃi		tuti		ʦuʃi	ʦuʃi		ʦuʃi			ʦuʃi	ʦuʃi	ʦuʃi		ʦuʃi	ʦuʃi			ʦuʃi		tuʧi	ʦuʃi
EARTH (SOIL)_2		ʧiʤi																																									ʧiʧi		ʤiː								ʧiʤi					
EARTH (SOIL)_3						beto																										beto				beto																						
EARTH (SOIL)_4							doro														doro																			doro										doro				doro				
EARTH (SOIL)_5												ɴta	mta					ɴta	mta	ɴta																		ɴʧaː								mta												
EARTH (SOIL)_6																																			niʃa																							
EARTH (SOIL)_7																																																								dinaɡa		
EAT_1																								tamoʔ																																		
EAT_2																																																taberu										
EAT_3												hoɴ								hoːɴ																																						
EAT_4																																						keːɴ																				
EAT_5	kuː	ku	ku	kuː	kuː	kuː	kuː	kuː	kuː	kuː	kamu			kuː	kuː	kuː	kuː				kuː	ku	kuː		kuː	kuː	kuː	kuː	kuː	kuː	kuː	kuː	kuː	kuː	kamjuɴ	kuː	kuː		kuβu	kuː	kuː	kuː	kuː	kuː			kuː		kuː	kuː	kuː	kuː	kuː	kuː	kuː		kuː	kuː
EAT_6													βoː					βau	βau																										ʔβuɴ	βuː										βuɴ		
EGG_1												keː																											ko																			
EGG_2													tunaka					tunuka	tunuka	tunaɡa																																						
EGG_3																																			kʔuɡa			βuɡa							koːma	kuɡa												
EGG_4	tamaɡo	tamaŋo	tamaŋo	tamaɡo	tamaɡo	tamaŋo	tamaɡo	tamaŋo	tamaŋo	tamaɡo	tamaɡo			tamaɡo	tamaŋo	tamaŋo	tamaŋo				tamaŋo	tamaŋo	tamaɡo	tamaɡo	tamaŋo	tamaɡo	tamaŋo	tamaɴɡo	tamaɡo	tamaŋo	tamaɡo	tamaŋo	tamaɡo	tama		tamaɡo	tamaɡo			tamaɡo	tamaɡo	tamaŋo	tamaɡo	tamaŋo			tamaŋo	tamaɡo	tamaɡo	tamamo	tamaɡo	tamaɴɡo	tamaŋo	tamaɡo	tamaŋo		tamaɡo	tamaŋo
EGG_5																																																								kaiŋu		
EYE_1		anaɡu	anaɡu							anako	manako											anaɡu								anaɡu											anako												anaɡu					
EYE_2	me				meː	meː	me	me	me			miɴ	miː	me	me	meː	me	miː	miː	miː	meː		meː	me	me	me	meː	meː	meː		me	me	me	me	mɨ	me	me	miː	mə	me		meː	me	me	miː	miː	me	meː	me	meː	me	meː		me	me	mi	me	meː
EYE_3				medama																																																						
FALL_1	oʧiru	oʤiru	oʣuru	oʧiru	oʧiru	oʧiru	oʦuru	oʤiru	oʧiru	oʧiru	oteru			oʧiru	oʧiru	oʧiru	oʤiru				oʔʧiru	oʣuru	oʧiru		okoʔʧiru	oʧiru	oʧiru	oʧiru	oʧiru	oʣuru	oʦuru	oʧiru	oʦuru	oʧiru		oʧiru	oʧiru			oʧiː	oʧiru	oʧiru	oʧiː	oʧiru			oʧiru	oʧiru	oʧiru	oʧiru	oʧiru	oʧiru	oʤiru	oʧiru	oʧiru		oturu	oʧiru
FALL_2												ʔuʧiruɴ	utiɨ					utiː	util	ʔutiruɴ															ʔutɨrjuɴ			ʔutɨːɴ							utiruɴ	util										ʔutiruɴ		
FALL_3																								oʦuʔ																																		
FALL_4																																							øtu																			
FAR_1													kamaːkaɨ					kaːmakai																												kadaːʃaːl												
FAR_2												tuːsahaɴ								tuːsaːɴ															tuːʃaɴ			tuːʃeɴ							tuːwaɴ											tuɴ		
FAR_3	toøː	toːe	toːe	toːkiː	towai	toːi	toːka	toːi	toøː	towai	toːkja			toːiː	toːi	toːi	toːe		tuːkal		toːi	toːe	toːi	toe	toeː	toːka	toːi	toːi	toːi	toːe	towi	toːe	toːka	toːiː		toːwe	toeː			toːka	toːi	toːi	toe	toːi			toːi	toːi	toːiː	toːi	toːi	tobai	toʔɡu	toiː	toːi		towiː	toːi
FAR_4																																							tøhøʃi																			
FAT (ORGANIC SUBSTANCE)_1	abura	aɴbura	aɴbura	abura	abura	abura	abura	abura	abura	abura	abura	aba	aʔva	abura	abura	abura	abura	aʔva	aʔva	aba	abura	aɴbura	abura	abura	abura	abura	abura	abura	abura	aɴbura	abura	abura	abura	abura	abura	abura	abira	ʔaɴra	abura	abura	abura	abura	abura	abura	aba	aʔva	abura	abura	taneabura	abura	abura	abura	aɴbura	abura	abura	aɴda	abura	abura
FEATHER_1													paninupsɨɡi						psɨɡi																											psɨɡi												
FEATHER_2		ke	ke					keː				kiː						kiː		kiː					keba																															ki		
FEATHER_3	hane			hane	hane	hane	hane		hane	hane	hane			haneɡe		hane	hane				hane	hane	hane	haneɡe		hane	hane	hane	hane	hane	hane	hane	hane		hanə	hane	hane	βaniɡeː	hane	hane		hane	hane	hane	pani		hane	hane	hane	hane	hane	hane	hane	hane	hane		hane	hane
FEATHER_4																																		tornoke																								
FEATHER_5																																									tojasu																	
FEATHER_6															umoː																																											
FEMALE PERSON_1	onaɡo	onaŋo	onaŋo	oɴna	oɴna		onaɡo	oɴna	onaŋo	oɴna	oɴnaɡo			onaɡo	oɴna	onaŋo	oɴna					onaŋo	onaɡo	onaɡo	oɴna	onaɡo	oɴna	oɴna	oɴna	onaŋo	onaɡo	oɴna	oɴna	oɴna	unaɡu	onaɡo	onaɡo	inaːɡu		onaɡo	oɴna	oɴna	onaɡo	oɴna			oɴna	onaɡo	onaɡo	oɴna	oɴna	oɴna	onaŋo	oɴna	oɴna		onaɡo	oɴna
FEMALE PERSON_2												midumu	midum					midu̥ɴ	midum	miduɴ																									midumu	midum										minuŋa		
FEMALE PERSON_3						mero															mero																		me																			
FIRE_1												psɨ								psɨː																																						
FIRE_2													umaʦɨ					umaʦɨ	umaʦɨ																mʔaʦɨ											umuʦɨ												
FIRE_3		ʃu	su																																								βu															
FIRE_4	çi			çi	çiː	çiː	çi	çi	çi	çi	çi			çi	çi	çiː	çi				çiː	çi	çiː	çi	çi	çiː	çiː	çiː	çiː	çi	çi	ʃi	çi	çiː		çi	çi	piː	çɨ	çi	çi	çiː		çi	piː		çiː	çiː	çi	çiː	çi	çiː	βi	çi	çi		çi	çiː
FIRE_5																																																								ʧʔi		
FISH_1	sakana	saɡana	sakana	sakana	sakana	sakana		saɡana	sakana	sakana					sakana	sakana	sakana				sakana	sakana	sakana		sakana		osakana		sakana	saɡana		sakana		sakana		sakana	sakana				sakana	sakana	sakana	sakana			saɡana	sakana	sakana		sakana	sakana	saɡana	sakana	sakana			sakana
FISH_2													ɨʣu					ɨʣu	ɨʣu																										iʣu	ɨʣu												
FISH_3												juː														juoː									ʔju			ʔjuː																				
FISH_4							io				jo			io										ijo				io			ioː		uo						uwo	ioː										io						iu		
FISH_5																				ʔiʤɨ																																						
FISH_6																																																									buijeɴ	
FIVE_1		eʤiʔʧi																																				iʧiʧiː					eʧiʧi		iʧiʧi								iʧiʧi			ʔiʧiʧi		
FIVE_2	iʦuʦu		eʣuʔʦu	iʦuʦu	iʦuʦu	iʦuʦu	iʦuːʦu	iʦuʦu	iʦuʦu	iʦuʦu	iʦuʦu		iʦɨʦɨ	iʦuʦu	iʦuʦu	iʦuʦu	eʦuʦu	iʦɨʦɨ	iʦɨʦɨ	ʔiʦɨʔʦɨ	iʦuʦu	eʣuʔʦu	iʦuʦu	iʦuʔ	iʦuʦu	iʦuʦu	iʦuʦu	itutu	iʦuʦu	eʣuʣu	iʦuʦu	eʦuʦu	iʦuʦu	iʦuʦu	iʦɨʦɨ	eʦuʦu	iʦuʦu		itu	iʦuʦu	iʦuʦu	iʦuʦu		iʦuʦu		iʦɨʦɨ	iʦuʦu	iʦuʦu	iʦuʦu	eʦuʦu	iʦuʦu	iʦuʦu		iʦuʦu	iʦuʦu		itutu	iʦuʦu
FIVE_3												ʔiʔsɨ																																														
FLESH OR MEAT_1																		sɨːsɨ	sɨːsɨ																											sɨːsɨ												
FLESH OR MEAT_2													mɨ													mi					mi			miː	mɨː							miː															mi	miː
FLESH OR MEAT_3																																						ʃiʃiː	ʃiʃi						ʃiːʃi													
FLESH OR MEAT_4	niku	niɡu	niɡu	niku	niku	niku	niku	niɡu	niku	niku	niku	niku		niku	niku	niku	niku			niku	niku	niɡu	niku	niʔ	niku		niku	niku	niku	niku		niku	niku			niku	niku			niku	niku		neku	niku			niɡu	niku	niku	niku	niku	niku	niɡu	niku	niku	niku		
FLOWER_1	hana	hana	hana	hana	hana	hana	hana	hana	hana	hana	hana	pana	pana	hana	hana	hana	hana	hana	pana	pana	hana	hana	hana	hana	hana	hana	hana	hana	hana	hana	hana	hana	hana	hana	hana	hana	hana	βanaː	hana	hana	hana	hana	hana	hana	pana	pana	hana	hana	hana	hana	hana	hana	hana	hana	hana	hana	hana	hana
FLY (MOVE THROUGH AIR)_1													tubiːpiɨ					tunuʤiɨ																																								
FLY (MOVE THROUGH AIR)_2	tobu	toɴbu	toɴbu	tobu	tobu	tobu	tobu	tobu	tobu	tobu	tobu			tobu	tobu	tobu	tobu				tobu	toɴbu	tobu	toʔ	tobu	tobu	tobu	tobu	tobu	toɴbu	tobu	tobu	tobu	tobu		tobu	tobu		tøbu	tobu	tobu	tobu	tobu	tobu	tubuɴ		tobu	tobu	tobi	tobu	tobu	tobu	toɴbu	tobu	tobu	tubuɴ	tobu	tobu
FLY (MOVE THROUGH AIR)_3												buɴʦuɴ							budul																											budul												
FLY (MOVE THROUGH AIR)_4																																			udeɨʔkjuɴ																							
FLY (MOVE THROUGH AIR)_5																																						tuʔtuɴnuɡuɴ																				
FLY (MOVE THROUGH AIR)_6																				majaːruɴ																																						
FOOT OR LEG_1																																		hoʔda																						sanda		
FOOT OR LEG_2												paɴ								haɴ																									paɴ													
FOOT OR LEG_3													paɡzɨ					haʤɨ	paɡzɨ																haɡi											paɡzɨ												
FOOT OR LEG_4		asu	asu					asu														asu								asu																							asu					
FOOT OR LEG_5	aʃi			aʃi	aʃi	aʃi	aʃi		aʃi	aʃi	aʃi			aʃi	aʃi	aʃi	aʃi				aʃi		aʃi	aʃ	aʃi	aʃi	aʃi	aʃi	aʃi		aʃi	aʃi	aʃi			aʃi	aʃi		aʃi	aʃi	aʃi	aʃi	aʃi	aʃi			aʃi	aʃi	aʃi	aʃi	aʃi	aʃi		aʃi	aʃi		aʃi	aʃi
FOOT OR LEG_6																																						çisa																				
FOUR_1	joʔʦu	joʔʧi	joʔʦu	joːʦu	joʔʦu	joʔʦu	joʔʦu	joʔʦu	joʔʦu	joʔʦu	joʔʦu			joʔʦu	joʔʦu	joʔʦu	joʔʦu				joʔʦu	joʔʦu	joʔʦu	joʔʦu	joʔʦu	joʔʦu	joʔʦu	joʔʦu	joʔʦu	joʔʦu	joʔʦu	joʔʦu	joʔʦu	joʔʦu		joʔʦu	joʔʦu			joʔʦu	joʔʦu	joʔʦu	joʔʧi	joʔʦu			joʔʦu	joʔʦu	joʔʦu	joʔʦu	joʔʦu	joʔʦu	joʔʧi	joʔʦu	joʔʦu		joʔtu	joʔʦu
FOUR_2												juːʦɨ	juːʦɨ					juːʦɨ	juːʦɨ	juːʦɨ															juːʦɨ			juːʧi							juːʧi	juːʦɨ										duʧi		
FOUR_3																																							jø																			
GOOD_1	eː	e	e		eː				eː					eː		eː	eː					e	eː				eː		eː	eː		eː				eː	eː					eː	e	eː				eː	eː			eː	eː	eː				eː
GOOD_2							joka				joʔkja				joi									joka		joka							joka							joka											joi				joi			
GOOD_3													ʤoːtuː					ʤautu	ʤau̥tuː	ʤoːtoː																		ʤoːtoː								ʤauʃaːl												
GOOD_4												miʃahaɴ																							iʔʧaɴ										misaɴ											ɴsaɴ		
GOOD_5				iː		iː		iː		iː											iː				iː			ei			iː			iː					jøʃi		iː						iː			iː							iː	
GRASS_1	kusa	kusa	kusa	kusa	kusa	kusa	kusa	kusa	kusa	kusa	kusa	βuʦa	βusa	kusa	kusa	kusa	kusa	βusa	βusa	βusa	kusa	kusa	kusa	kusa	kusa	kusa	kusa	kusa	kusa	kusa	kusa	kusa	kusa	kusa	kusa	kusa	kusa	kusaː	kusa	kusa	kusa	kusa	kusa	kusa	ʔsa	βuʃa	kusa	kusa	kusa	kusa	kusa	kusa	kusa	kusa	kusa		kusa	kusa
GRASS_2																																																								ʦa		
GREEN_1												ohaɴmi																							oːʃaɴ			oːʃeɴ								oːʃaːl												
GREEN_2							aoka				aokja		oːkaɨ					aukai	aukal	ausaːɴ				aoka		aoka														aoka																		
