Gloss	Cahuilla	Central Tarahumara	Chemehuevi	Classical Nahuatl	Comanche	Cupeño	El Nayar Cora	Eudeve	Highland Puebla Nahuatl	Hopi	Huarijío	Huichol	Kawaiisu	Luiseño	Mayo	Mono	Northern Paiute	Northern Tepehuan	Panamint	Pima Bajo	Pipil	Pochutec	Serrano	Shoshoni	Southeastern Tepehuan	Southern Paiute	Teguima	Tetelcingo Nahuatl	Tohono O'odham	Tongva	Tubar	Tübatulabal	Ute	Yaqui
BIRD_24_bird-5																		uːɡːui̯̯~uruɡui̯̯		uʔuviɡ					ui̯ʔ				uʔuw̥iɡ					
BIRD_24_bird-6		ʧuluɡi									ʦuʔruki																							
BIRD_24_bird-7				toːtoːt͡ɬ					toːtoːciːn												totoʧ	tutut						tutut͡ɬ						
BIRD_24_bird-9						mukikmal																												
BITE_																																kɨi̯̯ʔɨt~ɨːɡɨ		
BITE_64_bite-1	keʔ	iʔki	kɨʔi	kecuma~kehcuma	kɨccia	qɨʔɨ	ʧeʔe	nequen~queen	keːhcoma	kɨːki	kiʔcu	ke~kei̯	kiʔi	koʔi	keʔeje	kɨhjɨ	kɨʔi~kɨi̯̯	ʦuui̯̯~ʦujanta~ʦujui̯̯	kɨcciʔa	kɨʔɨ			kɨːʔ	kɨcciʔa	kɨjaʔ	kɨʔi	qui̯̯quja	kecoma	kɨʔi		ke		kɨʔi	keʔe
BITE_64_bite-2																					tankʷa													
BLACK_105_black-1	tulnek		tupːaka	t͡ɬiltik	tuhupihtɨ	tula			tiːltik				tuhukʷidɨ		ʧukuli	tumːu	tu	tuco~tucu	tuːppihtɨ	stuk				tuːppihtɨn	ʧuk	tuy		t͡ɬiltiːk	sʧuk		tokur	tuːɡu~uːduːɡu	tuukːwatɨ	ʧukui̯̯~ʧukuli
BLACK_105_black-10							ʃuʔumwa																											
BLACK_105_black-12																					puʃawak													
BLACK_105_black-2								sovei̯̯																			sovai̯̯							
BLACK_105_black-3		ʧokame																																
BLACK_105_black-5																							tɨnaːraʔn											
BLACK_105_black-6												juwi~pujuwi		juvatai̯̯																				
BLACK_105_black-7																														jupiːxaʔ~jopiːxaʔ				
BLACK_105_black-8										qøymviwsaʔ																								
BLACK_105_black-9											ohconame																							
BLOOD_																		vure																
BLOOD_33_blood-1			paɨ̯̯pːi		pɨːppin								pɨːpi			paː	pɨːpːi		pau̯̯ppin					pɨːppin		paɨ̯̯							paapːɨ	
BLOOD_33_blood-2																																ɨkʷa		
BLOOD_33_blood-3	eu̯̯ily					ɨw				ɨŋwa				ou̯̯la									ɨːʈ͡ʂʈ͡ʂ											
BLOOD_33_blood-4																		iːrai̯̯		ɨːʔɨr					ɨɨr				ɨːʔɨɖ					
BLOOD_33_blood-5		la						erat			ela																herat				arat~ava			
BLOOD_33_blood-6															ohbo																			ohbo
BLOOD_33_blood-7							ʃuureʔe					zurija																						
BLOOD_33_blood-8				est͡ɬi					esti												ehti	est						jest͡ɬiː						
BLOOD_33_blood-9																														xai̯̯n				
BONE_																															hotarak			
BONE_36_bone-1		oʔʧi	ohopi	omit͡ɬ				hoɡu̯a	oːmit	øːqa	oʔa	ume	ohovɨ		otːa	oho	oho	oo		oːʔo	umit	ot	oːʦ		aoː	oho	ramohudura~ramoɡui̯̯tzura~oɡu̯a	miːmiːtet͡ɬ	oːʔo	ʔeːʔin	ola~o	on	oopɨ	ota
BONE_36_bone-2					ʦuhni														ʦuhmi					ʦuhni										
BONE_36_bone-3	teʔily					tiʔil																												
BONE_36_bone-4														kulaawut																				
BONE_36_bone-5							kari																											
BREAST_																									tor									
BREAST_59_breast-1	pily		pihi		pici	pi		viːt		piihɨ	piʔwa		pihivɨ	pit	pipːim	piciʔ	piciʔi~pica	vipːi	pici	vipi			piʔ	pici	βipiː	piːci			wipi	pin	wimur	piːl	piipɨ	pipːim
BREAST_59_breast-2				ʧiʧiwalli			ʦiʔime		ʧiʧiwaːl			ʦicu									ʧiʧihwal							ʧiʧiːwal						
BREAST_59_breast-3		kaso																																
BURN (SOMETHING)_														ʧujai̯																				
BURN (SOMETHING)_98_burn-1	naʔ~kina		naʔi										neʔe	naʔ			nai̯̯~naʔi									naʔai̯̯n							naʔai̯̯	
BURN (SOMETHING)_98_burn-11																														vireːk				
BURN (SOMETHING)_98_burn-12										ɨwi																								
BURN (SOMETHING)_98_burn-13																												ʃut͡ɬa						
BURN (SOMETHING)_98_burn-14									toːneːwi																									
BURN (SOMETHING)_98_burn-16			kucikːi																							kuʦːɨa								
BURN (SOMETHING)_98_burn-2					weha														wai̯̯ja					wai̯̯hja										
BURN (SOMETHING)_98_burn-3						kiʔni																												
BURN (SOMETHING)_98_burn-4																		mui̯̯		mɨhɨ					mɨi̯̯m				mɨhi					
BURN (SOMETHING)_98_burn-5		raha~i		t͡ɬat͡ɬa			taː	tahan			tahai̯̯	ta~tai̯̯									tati~tatia	tati					tʰa	bt͡ɬatɪa			taha~tasa			
BURN (SOMETHING)_98_burn-6															beete																			beete
BURN (SOMETHING)_98_burn-7																pita																		
BURN (SOMETHING)_98_burn-8																																ʦama~anʒama		
BURN (SOMETHING)_98_burn-9																							huʔai̯̯											
CLAW_50_clawnail-1			tasicoʔo		sito								taʃtoʔobi			situ	sasito		masitu					sitoːn		ʃɨcu								
CLAW_50_clawnail-3																																	wəkːuci	
CLAW_50_clawnail-4																							waʈ͡ʂ											
CLAW_50_clawnail-5	salul	sutu		isteːt͡ɬ		ʂulʔa	sɨtʲe	sutut	sti	soki	suhtu	zate~zɨte		ʂulat	sutukoʧoʔo			jutud		hutː~huht	istit				jut		xutu~sutu	ste	huːʧ	esʧut~ʧur		ʃulunt		sutu
CLAW_50_clawnail-6																															alapor			
CLOUD_94_cloud-1					tomːoakatːɨ						tomoari					toø																		
CLOUD_94_cloud-10																																paːʃuːmist		
CLOUD_94_cloud-11																														akʷaːkin				
CLOUD_94_cloud-12										oomawɨ																								
CLOUD_94_cloud-13																		jicome																
CLOUD_94_cloud-14																											ryruɡæi							
CLOUD_94_cloud-15		nori																																
CLOUD_94_cloud-17						temin																												
CLOUD_94_cloud-2			pakɨnapɨ										kɨnavi						pakɨnapːɨh					pakɨnapːɨh		pakɨnapɨ								
CLOUD_94_cloud-3	wewniʃ																						woːŋt											
CLOUD_94_cloud-4														tuviiʃ						tɨvaːɡ					tɨbaːʔ				ʧɨwaɡi					
CLOUD_94_cloud-5				miʃt͡ɬi				mosit	miʃti												mistil							meʃt͡ɬ			mosit			
CLOUD_94_cloud-6															naːmu																			naamu~naamuːk
CLOUD_94_cloud-7							ai̯̯tɨri					hai̯̯witɨri																						
CLOUD_94_cloud-8																	kumi																	
CLOUD_94_cloud-9																																	uwatːipːɨ	
COLD_18_cold-1				ictik	ɨi̯̯cɨʔi				seseːk							ɨcɨʔɨ	ɨcɨʦːɨ		ɨi̯̯cɨi̯̯		sesek		ɨcɨ	ɨi̯̯cɨʔi				ictiːk						
COLD_18_cold-2			sɨjaʔi~sɨtːuʔi							sɨːsɨŋwa			situʔwidɨ		sebːe			jupidi		shɨːp					xɨp	ʃɨppɨta			shɨːpid	ʂuvoʔ	seve	ʃɨːbt~ɨʃɨi̯̯p	sijaʔi	sebe~seebe
COLD_18_cold-3	jui̯̯ma					jui̯̯																												
COLD_18_cold-4								uteen																			utːe							
COLD_18_cold-5		rula									tula			pituptuʃ																				
COLD_18_cold-6							kɨmwahraraʔa																											
COLD_18_cold-7												haɨ̯̯tɨze																						
COME_																				divia~dada									dada		heko~komu			
COME_74_come-1					kimːa											kimːa	kimːa		kimːa				kimai̯̯	kimːa						kimaː		kim~iŋɡim		
COME_74_come-10								hueren																										
COME_74_come-11											ena																							
COME_74_come-12		nolina																																
COME_74_come-13																															hase			
COME_74_come-14															aʔabowei̯je																			
COME_74_come-15																																		kaate
COME_74_come-16							nʲe																											
COME_74_come-17												nu̯a																						
COME_74_come-18				wiːʧ					wiːcawiʦ~wiːʧa												wiʦ~wiːʧ	wiʧ						biʧ						
COME_74_come-19				waːllau̯̯~waːlːaː					waːlaː												waːlaːh	wala						wøla						
COME_74_come-2			pipːicɨ										pidɨ													piʧɨ							pici	
COME_74_come-3	nek					nɨqɨ																												
COME_74_come-4																				abhim					bʱajim				abhim~jiwia					
COME_74_come-5																												ibiʦ						
COME_74_come-6														haqwaaʧi																				
COME_74_come-7										peewiʔ																								
COME_74_come-8																		duduvia																
COME_74_come-9																											vena							
DIE_													ʔanaːʔikʷeː~tupakikʷeː~juweʔekʷeː					mu̯anta																
DIE_70_die-1			jaʔikːwaʔi		tɨjai̯̯												jai̯~jaʔi		tiai̯̯					tiai̯̯		jaʔai̯̯							jaʔai̯̯	
DIE_70_die-2	muk	muku		miki			mɨʔɨ	mucuni	miki	mook	muɡui̯	mɨ		mokan	muːke			mumuke		muːk	miki				mukiaʔ		myʦ	miːkiː	muːk			muːɡ		muuke~muke
DIE_70_die-4						qaawɨ																												
DIE_70_die-5																															hoː~huː			
DIE_70_die-8																							mɨmɨʔq							mojoːk				
DIE_70_die-9																etaː																		
DIRTY_																										ti̯eːra~polvo~barːo~sucio								
DIRTY_16_dirty-1			tuca		tuːcaː~tuʦːai̯̯								tocaːɡadɨ			toʦabi	tuʦːaː		tuʦːai̯̯~tuːʦːaːpːɨh					tuːʦːaːpːɨh								tuɡuːbiʃɨt~utuɡuːbiʃ		
DIRTY_16_dirty-10																				sivaɡui̯̯di														
DIRTY_16_dirty-11																		duburi																
DIRTY_16_dirty-12								isnariteri																										
DIRTY_16_dirty-13											ohcorewae̯me																							
DIRTY_16_dirty-14		suɡu																																
DIRTY_16_dirty-15															ʧiʔiʧa																			
DIRTY_16_dirty-17							ʧu̯aːmwa																											
DIRTY_16_dirty-18				kacaːwak																														
DIRTY_16_dirty-19																					ʦil													
DIRTY_16_dirty-2	seljaxama					silyɲinɨ																												
DIRTY_16_dirty-20																									ikoraʔ									
DIRTY_16_dirty-21																														tyhovit				
DIRTY_16_dirty-24																											usa							
DIRTY_16_dirty-25																											sutepora~surevura							
DIRTY_16_dirty-5																																	paasana	
DIRTY_16_dirty-6																							coːqav											oʧoko
DIRTY_16_dirty-8										iceheʔe																								
DIRTY_16_dirty-9														kʷilali															sbiːtaɡim					
DOG_			waʔacuku														satɨʔɨ																	
DOG_25_dog-1			punkuːci							pooko			puɡuzɨ			pukːu	sokopukːu~sokopːukːu		isa~isapunku													punku		
DOG_25_dog-2					sariː																			satiː		satiː							satici	
DOG_25_dog-3		koʧi																					kuciʔ											
DOG_25_dog-4	awal					awal								awaal																				
DOG_25_dog-5																		ɡoɡosci		ɡoɡs					ɡaɡoːx				ɡoɡs	wuʃi				
DOG_25_dog-6																											ʧitːa							
DOG_25_dog-7				ʧiːʧiː			ʦɨʔɨ	ʧutzi	iʧwiːnti		ʦuhcuri	ʦɨka			ʧuːʔu													ʧiːʧiːtu			ʦucu			ʧuuʔu
DOG_25_dog-8																					pelu													
DRINK_												i~je						iu̯t~janta										koni						
DRINK_62_drink-1			hipi		hivi								hivi			hipi	hipi~hipːi		hipi					hipi		ipi							ipi	
DRINK_62_drink-2		bahi					jeʔe~ʔi	hi~hian~hiahi		hiiko	ihi				heʔeje			iːbi		iʔi					ija		hi				he~ihe	iːʔɨː~iːʔɨt		heʔe
DRINK_62_drink-3	pa			aːt͡ɬiː		paʔ			aːtiː			hare~hari		paaʔi									paːʔ					øt͡ɬi		paa				
DRINK_62_drink-4																													wasib					
DRINK_62_drink-5																					kit													
DRY_14_dry-1			tapasɨ		pasa								tavasteːd			pasahkɨʔ	pasːa		pasa					pasa		tapaʃu							tapasɨpːɨ	
DRY_14_dry-2	wax	waki		iːʃwaːkki		waxɨ	waʧi	hu̯aqui̯̯	waːjik	laaqu	waɡi	waki		awaxve	wakia			ɡaqui̯̯dade		sɡak	waki	wak	awaːkiʔ		ɡak			wahkiː	sɡaki			waːɡɨt~awak		wakia
DRY_14_dry-3																															moronir			
DRY_14_dry-6																														ahoːkin				
EARTH (SOIL)_																														tuvar		ʃuwaːl		
EARTH (SOIL)_92_earth-1	temal		tɨpipːi			tɨmal		tevat		tɨckʷa			tɨbiʧɨ			tɨpi	tɨi̯̯pːɨ~tiːpɨ	dubure		dɨvɨi̯̯r			tiɨ̯̯vaʈ͡ʂ		dɨbɨr	tɨpɨ	tevet		jɨwɨɖ				tɨpɨpːɨ	
EARTH (SOIL)_92_earth-2					sokovi														sokopi					sokopːɨh										
EARTH (SOIL)_92_earth-3														exla																øxar~oːxar				
EARTH (SOIL)_92_earth-4		wee					ʧwe				weʔe	kʷi̯e			bwija																kvirat			bwia
EARTH (SOIL)_92_earth-5				t͡ɬaːlli					taːl												tal	tal						t͡ɬøliː						
EAR_								quei̯siven																										
EAR_44_ear-1	naqal	naka	naŋka	nakaːst͡ɬi	naki	naqʔa	naʃai̯̯	nakat	nakas	naqvɨ	nahka	naka	naɡavivi	naqla	nakːam	naqːa	nakːa	naːka	naŋki	naːk	nakas	nekest		nenkih	nak	naŋkapa	naca	nakas	naːk	nanax	nakar	naŋhal	nɨkːapɨ	naka
EAR_44_ear-2																							qavaʦ											
EAR_44_ear-3																		tucai̯̯daraɡa																
EAT_								hibaːn				kɨme																				tɨk~ɨtɨk		
EAT_63_eat-1			tɨkːa		tɨkːa								kaʔa			tɨkːa	tɨkːa~tɨka		tɨkːa					tɨkːa		tɨkːa							tɨkːa	
EAT_63_eat-2	kʷaʔ	ɡoʔa		kʷa		kʷa	kʷaʔa	ba	takʷaː		koʔa	kʷa			bwaʔaje			aneancoai̯̯		koʔa	kʷa	kʷa	raːkʷ~kʷaʔi				ɡuæ	kʷa	koʔa	ikʷaa	koa			bwaʔa
EAT_63_eat-3										sowa															juɡiaʔ									
EAT_63_eat-4														naaʧuxun																				
EAT_63_eat-5																				huɡ														
EGG_	weevuʔ																																	
EGG_38_egg-1			nopːapi		nojo					nøhɨ			nopavi			nojo	noho	nono	nojo	nonːo				nojo	nanoː	noːʔ~nupːu			nonha				napːaapi	
EGG_38_egg-2						paɲiʔat								paanil									pan									pompt		
EGG_38_egg-3		kaʔwa									kaʔwa				kabːa																			kaba
EGG_38_egg-4							taʔu					tawari																						
EGG_38_egg-5				tet͡ɬ					piotet												tesis							tutoltet͡ɬ			netelur			
EGG_38_egg-8																														xaːxen~xaːxin				
EGG_38_egg-9								acavora																										
EYE_																											vubu							
EYE_45_eye-1	puʧily	busila	puʔipi	iːʃtelolot͡ɬ	pui̯̯	puʃ	hɨʔɨ~hɨʔɨsi	vusit	iːʃtoːloːlo	poosi	pusi	hɨzi	puʔivi	puʃla	puːsim	pusi	pui̯̯	bui̯̯	pui̯̯h	vuhi	iʃ			pui̯̯h	bui̯̯	puʔi	busi	ʃtelolo	wuhi			punʒil	pɨʔipɨ	puusi
EYE_45_eye-2																							huvaːʈ͡ʂ											
EYE_45_eye-3																														ʦotron~coːcon				
EYE_45_eye-4																															telar~tilur			
FAT (ORGANIC SUBSTANCE)_			wiːwapi				asei̯ːti								manteːka						ʃepo													manteːka
FAT (ORGANIC SUBSTANCE)_37_greasefat-1			juhi		juhu								juhuvɨ			juhu	juhu		juhu					juhu		juː							jɨu̯̯pi	
FAT (ORGANIC SUBSTANCE)_37_greasefat-2	wily	wiʔi				wily				wihɨ	wiʔi	wija		wiʔ				ɡui̯̯		ɡui̯̯			wipt		ɡiodaʔ		ɡui̯̯da		ɡiːɡi	witaː		wipt		
FAT (ORGANIC SUBSTANCE)_37_greasefat-3								tuspeɡu̯a																										
FAT (ORGANIC SUBSTANCE)_37_greasefat-5				sejot͡ɬ																														
FAT (ORGANIC SUBSTANCE)_37_greasefat-6																												ʧijøwa						
FAT (ORGANIC SUBSTANCE)_37_greasefat-7									ʧaːwak																									
FEATHER_												anɨː																						
FEATHER_41_feather-1																qasa	kasːa		kasa															
FEATHER_41_feather-11										nakʷa																								
FEATHER_41_feather-12																					iu̯hmiju							tohmiːt͡ɬ						
FEATHER_41_feather-2			wisiapi		sia								wiʃiʔaːvi											siapi		wɨsia								
FEATHER_41_feather-35																	pɨhɨ																	
FEATHER_41_feather-4							ana					ana~aːnːa						aːne		aʔanaɡ					anaʔ				aʔan			aŋaː		
FEATHER_41_feather-5		maʔsa									maʔsa			humsat	masa								mahaːt							maːsan	masat			masa
FEATHER_41_feather-6	wikily					wikily																												
FEATHER_41_feather-7								hunsa																			usat							
FEATHER_41_feather-8				iʔwit͡ɬ					ihwit																									
FEATHER_41_feather-9																																	pɨtːɨpɨ	
FIRE_96_fire-1																qoso	kosːo																	
FIRE_96_fire-2	kut					kut								kut									kut									kut		
FIRE_96_fire-3		naʔi	kuna								naʔi		kuna						kuna					kuna		kunæ			naːda				naʔai̯̯tːɨ	
FIRE_96_fire-4				t͡ɬet͡ɬ			tai̯̯h	te	tit			tai̯̯			tahːi			tai̯̯~tai̯		tai̯̯	tit	tet			tai̯̯		tʰai̯̯	t͡ɬecint͡ɬi			tahamet			tahi
FIRE_96_fire-5					kotːoːpːɨh																													
FIRE_96_fire-6																														ʈ͡ʂaːvut				
FIRE_96_fire-7										ɨːwiŋwɨ																								
FISH_23_fish-1			pakɨci		pekʷi					paakiw			paɡɨːvɨ			pakːwi	pakːwi		paŋwi					penkʷi		pakɨu̯̯							pakɨ	
FISH_23_fish-2	kijul					qɨjul		ʦuʧut				kecɨ			kuʧːu								kihuːʦ				ʦũʧu			kui̯̯r	kicut	kujuːl		kuʧu
FISH_23_fish-3																		vatːosa~vatːopa		vatoːp					batop				watopi					
FISH_23_fish-5		roʔci									soʔci																							
FISH_23_fish-6				miʧin					miʧi												miʧin	miʧom						miːʧiː						
FISH_23_fish-7														anaamal																				
FISH_23_fish-8							weʔi																											
FIVE_				ʧkʷa		nanɡ																												
FIVE_112_five-1		mari	manɨɡ		manekihtʲʔ			marki			mariki		manɨɡi			maniɡii~tu	maniɡiju		manɨki~manaki					nanai̯̯kːih		manːiki	mariki						manɨɡiini	
FIVE_112_five-10																															mamunir			
FIVE_112_five-11										ʦivot																								
FIVE_112_five-2	axnamekʷanaŋnemakʷanaŋ					nemakʷa																												
FIVE_112_five-3														mahaːr									mahæt							mahar		maːhai̯̯jija		
FIVE_112_five-4				maːkʷiːlliʧiko					maːkʷil												makʷil	makʷil						mɔkʷilːɪ						
FIVE_112_five-5															mamni																			mamni
FIVE_112_five-6							ansɨbi~ansɨʔ																											
FIVE_112_five-7																		taːma																
FIVE_112_five-8																				utaspo									hɨtasp					
FIVE_112_five-9																									hiʃʧamaːm									
FIVE_112_five-X					moʔobeʔ																													
FLY (MOVE THROUGH AIR)_72_fly-1			wici		jɨcɨ								jozi			joʦːi	joʦːi		jɨcɨ					jɨcɨ		nonci							jɨci	
FLY (MOVE THROUGH AIR)_72_fly-10														wiila																				
FLY (MOVE THROUGH AIR)_72_fly-11										masai̯̯																								
FLY (MOVE THROUGH AIR)_72_fly-14												wi̯e																						
FLY (MOVE THROUGH AIR)_72_fly-15										pɨːjalti																								
FLY (MOVE THROUGH AIR)_72_fly-2						jalɨ																												
FLY (MOVE THROUGH AIR)_72_fly-3	hiŋ																						hiːɲʔk~hiːɲiʔk											
FLY (MOVE THROUGH AIR)_72_fly-4																																oːlɨt		
FLY (MOVE THROUGH AIR)_72_fly-5				pat͡ɬaːni					pataːni												patani	patan						pat͡ɬøniː						
FLY (MOVE THROUGH AIR)_72_fly-6		iʔni						meen			niʔni				neʔeje												ni							neʔe~niʔi
FLY (MOVE THROUGH AIR)_72_fly-7							raʔa											daːi̯̯~daːnta		daʔa					dai̯̯jaʔ				daʔa		hanʲa			
FOOT_												keta										ʃo												
FOOT_51_foot-1										kɨkɨ						kɨkːɨ	kɨkɨ																	
FOOT_51_foot-11									meʦ																									
FOOT_51_foot-12																																ɨŋɡɨl		
FOOT_51_foot-2			nampa		nape								nabivi						nampe				navɨːʦ	nampe		nampa				nev			napːa	
FOOT_51_foot-3	ʔi													et																				
FOOT_51_foot-4								tari										tara		tar							tara		taɖ					
FOOT_51_foot-5		rono									tono														ton									
FOOT_51_foot-6															wokːim																njokir			wooki
FOOT_51_foot-7							ɨːka					ɨka																						
FOOT_51_foot-8				ikʃit͡ɬ																	ikʃi							kʃiː						
FOOT_51_foot-9						xuʧi																												
FOUR_111_four-1	wiʧiw		waciu̯̯			wiʧiw							wacuː	wasaʔ		wacikʷii~tu	wacɨɡːwiju		waʦːɨ				waʧah	waʦːɨwih		wacɨŋwi				waʧaʔ			wəcuwini	
FOUR_111_four-2							mu̯aːku̯a											maːkova		makoba					maːkov									
FOUR_111_four-3		nawosa~naɡo						navoi̯̯		naːløyøm	nao	nai̯̯ka															naɡo							
FOUR_111_four-4																				ɡiko									ɡiik					
FOUR_111_four-5					hajarokʷe																													
FOUR_111_four-6																																naːnaːu̯̯		
FOUR_111_four-7				naːwi					naːwi												naːwi	najom						nɔbl						
FOUR_111_four-8															nai̯̯ki																			nai̯̯ki
FOUR_111_four-9																															narikir			
FULL_																																pɨi̯̯mit		
FULL_17_full-1					tɨpːetɨ								tɨbetɨ		tapuni				tɨpːekɨa					tɨpːe										tapuna
FULL_17_full-10																																ɨmbɨm		
FULL_17_full-11																							pitɨʔq											
FULL_17_full-12	maʧama																																	
FULL_17_full-13						jutaxiʃ																												
FULL_17_full-14														muujai̯																				
FULL_17_full-15										oopokiwta																								
FULL_17_full-16																		sudːajamue																
FULL_17_full-17											ohcorewae̯me																							
FULL_17_full-18							avaʔɨsti																		sunɡɨm									
FULL_17_full-19																														puːi̯̯n				
FULL_17_full-2													ponoʔi													ponoʔaː~ponoʔi								
FULL_17_full-3																				koːvoɡ									skowoɡ					
FULL_17_full-4		boʧiwi						bode~bodahri~bodavi																										
FULL_17_full-5				peʃoːnaltia					peʃoːntok																									
FULL_17_full-6																					tentuk							ti̯entiːka						
FULL_17_full-7																tujuha																		
FULL_17_full-8																	kano~kanːo																	
FULL_17_full-9																																	kuwikːatːɨ	
GIVE_												kʷei̯̯tɨa									ma										hiliwa	amha		
GIVE_79_give-1		ja									kiʔa					kija	kiʔa~kia																	
