Gloss	Aichi	Akita	Aomori	Chiba	Ehime	Fukui	Fukuoka	Fukushima	Gifu	Gunma	Hachijō	Hateruma	Hirara	Hiroshima	Hokkaidō	Hyōgo	Ibaraki	Ikema	Irafu	Ishigaki	Ishikawa	Iwate	Kagawa	Kagoshima	Kanagawa	Kumamoto	Kyōtō	Kōchi	Mie	Miyagi	Miyazaki	Nagano	Nagasaki	Nara	Naze	Niigata	Okayama	Okinawa	Old Japanese	Saga	Saitama	Shiga	Shimane	Shizuoka	Taketomi	Tarama	Tochigi	Tokushima	Tottori	Toyama	Tōkyō	Wakayama	Yamagata	Yamaguchi	Yamanashi	Yonaguni	Ōita	Ōsaka
DUST_178-1	hokori		hoɡori	hokori	hokori	hokori	hokori	hoɡori	hokori	hokori	hokori	βukuʣɨ			hokori	hokori	hokori			βukui		hoɡori	hokori	hokoi	hokori		hokori	hokori	hokori	hoɡori		hokori	hokori	hokori		hokori	hokori	βuʔkui		hokoi	hokori	hokori	hokoː	hokori	βukui		hoɡori	hokori	hokori		hokori	hokori	hoɡori	hokori	hokori			hokori
DUST_178-2		ɡomi												ɡomi				ɡumi	ɡumi		ɡomi					ɡomi																				ɡomi				ɡomi								
DUST_178-3																															subo																										subo	
DUST_178-4																																			hoːmə																							
DUST_178-5													mtabuki																																													
DUST_178-6																																																								kʔuɴ		
DUST_178-7																																							tiri																			
EARTH (SOIL)_108-1	ʦuʃi	ʧiʤi	ʦuʣu	ʦuʃi	ʦuʃi			ʦuʃi	ʦuʃi	ʦuʃi	ʦuʃi			ʦuʃi	ʦuʃi	ʦuʃi	ʦuʃi					ʦuʣu	ʦuʃi	ʦuʔ	ʦuʃi	ʦuʃi	ʦuʃi	tuʧi	ʦuʃi	ʦuʣu	ʦuʃi		ʦuʃi	ʦuʃi			ʦuʃi		tuti		ʦuʃi	ʦuʃi	ʧiʧi	ʦuʃi			ʦuʃi	ʦuʃi	ʦuʃi		ʦuʃi	ʦuʃi	ʧiʤi		ʦuʃi		tuʧi	ʦuʃi
EARTH (SOIL)_108-2						beto																										beto				beto																						
EARTH (SOIL)_108-3							doro														doro																			doro										doro				doro				
EARTH (SOIL)_108-4																																			niʃa			ɴʧaː																				
EARTH (SOIL)_108-5												ɴta	mta					ɴta	mta	ɴta																										mta												
EARTH (SOIL)_108-6																																													ʤiː													
EARTH (SOIL)_108-7																																																								dinaɡa		
EAR_191-1	mimi	mimi	mimi	mimi	mimi	mimi	mimi	mimi	mimi	mimi	mimi	miʃukurumiɴ	mim	mimi	mimi	mimi	mimi	miɴ	mim	miɴ	mimi	mimi	mimi	miɴ	mimi	mimi	mimi	mimi	mimi	mimi	mimi	mimi	mimi	mimi	miɴ	mimi	mimi	mimiː	mimi	mimi	mimi	mimi	mimi	mimi	miɴ	mim	mimi	mimi	mimi	mimi	mimi	mimi	mimi	mimi	mimi	miɴtaβu	mimi	mimi
EAT_64-1	kuː	ku	ku	kuː	kuː	kuː	kuː	kuː	kuː	kuː				kuː	kuː	kuː	kuː				kuː	ku	kuː		kuː	kuː	kuː	kuː	kuː	kuː	kuː	kuː	kuː	kuː		kuː	kuː		kuβu	kuː	kuː	kuː	kuː	kuː			kuː		kuː	kuː	kuː	kuː	kuː	kuː	kuː		kuː	kuː
EAT_64-2											kamu																								kamjuɴ																							
EAT_64-3																																																taberu										
EAT_64-4																								tamoʔ																																		
EAT_64-5																																						keːɴ																				
EAT_64-6													βoː					βau	βau																											βuː												
EAT_64-7																																													ʔβuɴ											βuɴ		
EAT_64-8												hoɴ								hoːɴ																																						
EGG_102-1	tamaɡo	tamaŋo	tamaŋo	tamaɡo	tamaɡo	tamaŋo	tamaɡo	tamaŋo	tamaŋo	tamaɡo	tamaɡo			tamaɡo	tamaŋo	tamaŋo	tamaŋo				tamaŋo	tamaŋo	tamaɡo	tamaɡo	tamaŋo	tamaɡo	tamaŋo	tamaɴɡo	tamaɡo	tamaŋo	tamaɡo	tamaŋo	tamaɡo	tama		tamaɡo	tamaɡo		ko	tamaɡo	tamaɡo	tamaŋo	tamaɡo	tamaŋo	koːma		tamaŋo	tamaɡo	tamaɡo	tamamo	tamaɡo	tamaɴɡo	tamaŋo	tamaɡo	tamaŋo		tamaɡo	tamaŋo
EGG_102-2																																			kʔuɡa			βuɡa								kuɡa												
EGG_102-3													tunaka					tunuka	tunuka	tunaɡa																																						
EGG_102-4												keː																																														
EGG_102-5																																																								kaiŋu		
EIGHT_202-1	jaʔʦu	jaʔʧi	jaʔʦu	jaːʦu	jaʔʦu	jaʔʦu	jaːʦu	jaʔʦu	jaʔʦu	jaʔʦu	jaʔʦu	jaːʦɨ	jaːʦɨ	jaʔʦu	jaʔʦu	jaʔʦu	jaʔʦu	jaːʦɨ	jaːʦɨ	jaːʦɨ	jaʔʦu	jaʔʦu	jaʔʦu	jaʔʦu	jaʔʦu	jaːʦu	jaʔʦu	jaʔʦu	jaʔʦu	jaʔʦu	jaʦu	jaʔʦu	jaʔʦu	jaʔʦu	jaːʦɨ	jaʔʦu	jaʔʦu	jaːʧi	ja	jaːʦu	jaʔʦu	jaʔʦu	jaʔʧi	jaʔʦu	jaːʧi	jaːʦɨ	jaʔʦu	jaʔʦu	jaʔʦu	jaʔʦu	jaʔʦu	jaʔʦu	jaʔʧi	jaʔʦu	jaʔʦu	daʧi	jaːtu	jaʔʦu
EYE_198-1	me			medama	meː	meː	me	me	me			miɴ	miː	me	me	meː	me	miː	miː	miː	meː		meː	me	me	me	meː	meː	meː		me	me	me	me	mɨ	me	me	miː	mə	me		meː	me	me	miː	miː	me	meː	me	meː	me	meː		me	me	mi	me	meː
EYE_198-2		anaɡu	anaɡu							anako	manako											anaɡu								anaɡu											anako												anaɡu					
FALL_36-1	oʧiru	oʤiru	oʣuru	oʧiru	oʧiru	oʧiru	oʦuru	oʤiru	oʧiru	oʧiru	oteru	ʔuʧiruɴ	utiɨ	oʧiru	oʧiru	oʧiru	oʤiru	utiː	util	ʔutiruɴ	oʔʧiru	oʣuru	oʧiru	oʦuʔ	okoʔʧiru	oʧiru	oʧiru	oʧiru	oʧiru	oʣuru	oʦuru	oʧiru	oʦuru	oʧiru	ʔutɨrjuɴ	oʧiru	oʧiru	ʔutɨːɴ	øtu	oʧiː	oʧiru	oʧiru	oʧiː	oʧiru	utiruɴ	util	oʧiru	oʧiru	oʧiru	oʧiru	oʧiru	oʧiru	oʤiru	oʧiru	oʧiru	ʔutiruɴ	oturu	oʧiru
FAR_115-1	toøː	toːe	toːe	toːkiː	towai	toːi	toːka	toːi	toøː	towai	toːkja	tuːsahaɴ		toːiː	toːi	toːi	toːe		tuːkal	tuːsaːɴ	toːi	toːe	toːi	toe	toeː	toːka	toːi	toːi	toːi	toːe	towi	toːe	toːka	toːiː	tuːʃaɴ	toːwe	toeː	tuːʃeɴ	tøhøʃi	toːka	toːi	toːi	toe	toːi	tuːwaɴ		toːi	toːi	toːiː	toːi	toːi	tobai	toʔɡu	toiː	toːi	tuɴ	towiː	toːi
FAR_115-2													kamaːkaɨ					kaːmakai																																								
FAR_115-3																																														kadaːʃaːl												
FASTEN_195-1	musubu	muʃiɴbu	musuɴbu		musubu	musubu		musubu	musubu	musubu	musubu	musɨpuɴ			musubu	musubu	musubu			musubɨ	musubu	musubu			musubu		musubu		musubu	musuɴbu		mosubu	musubu	musubu		musubu	musubu		musubu	musubu	musubu	musubu		musubu	musubuɴ	musɨbɨ	musubu	musubu	musubu	musubu	musubu	musubu	muʃiɴbu		musubu			musubu
FASTEN_195-2				ʃibaru																																																						
FASTEN_195-3																																											owaeː															
FASTEN_195-4														juː									juwaeru								juː																											
FASTEN_195-5							kibiru																	kibiʔ		kubiru												kuɴbuɴ																kibiru			kubiru	
FASTEN_195-6																																			makjuɴ																					ɴmaɴki		
FASTEN_195-7													sɨmaɨ					sɨmai	sɨmal									ʃimeru																														
FAT (ORGANIC SUBSTANCE)_12-1	abura	aɴbura	aɴbura	abura	abura	abura	abura	abura	abura	abura	abura	aba	aʔva	abura	abura	abura	abura	aʔva	aʔva	aba	abura	aɴbura	abura	abura	abura	abura	abura	abura	abura	aɴbura	abura	abura	abura	abura	abura	abura	abira	ʔaɴra	abura	abura	abura	abura	abura	abura	aba	aʔva	abura	abura	taneabura	abura	abura	abura	aɴbura	abura	abura	aɴda	abura	abura
FATHER_106-1	ʧiʧi		dada		ʧiʧi				ʧiʧi						ʧiʧi	teteoja							ʧiʧi					ʧiʧi				ʧiʧi				ʦaʦa	ʧiʧi		titi			ʧiʧi						ʧiʧi			ʧiʧi		dada		ʧiʧi			
FATHER_106-2		odo		otoʔʦaɴ		oʔʦa	toʔʦaɴ	odoʔʦa		otoʔʦaɴ	oʔto			otoːsaɴ			oʔʧaɴ				otoːsaɴ	odosaɴ		otoʔʦaɴ	uʧinoːtoʔʧaɴ	toʔʦaɴ	otoːsaɴ		otoːsaɴ	oʔʧaɴ	totojaɴ		toːsaɴ	toːsaɴ						otoʔʦaɴ	otoʔʦaɴ		ʧaʔʧa	toːtoː			toːʧaɴ		otoːsaɴ	otoʔʦaɴ		otoʔʦaɴ		toːʧaɴ			toʔsaɴ	otoːʧaɴ
FATHER_106-3																																			ʤuː			ʤiʔʧaː																				
FATHER_106-4													ɨʣa					ɨʣa	ɨʣa																											ɨʣa												
FATHER_106-5												ʔija								aja																									aːja											ʔija		
FEAR (BE AFRAID)_35-1																																							øsøru																			
FEAR (BE AFRAID)_35-2																				nuɡuriʃanaruɴ																																						
FEAR (BE AFRAID)_35-3												ɡohaɴnaruɴ																																														
FEAR (BE AFRAID)_35-4																																																								niɡuraɡunaruɴ		
FEATHER_155-1															umoː																																											
FEATHER_155-2	hane			hane	hane	hane	hane		hane	hane	hane			haneɡe		hane	hane				hane	hane	hane	haneɡe	keba	hane	hane	hane	hane	hane	hane	hane	hane		hanə	hane	hane	βaniɡeː	hane	hane		hane	hane	hane	pani		hane	hane	hane	hane	hane	hane	hane	hane	hane		hane	hane
FEATHER_155-3		ke	ke					keː				kiː						kiː		kiː														tornoke																						ki		
FEATHER_155-4																																									tojasu																	
FEATHER_155-5													paninupsɨɡi						psɨɡi																											psɨɡi												
FEMALE PERSON_42-1	onaɡo	onaŋo	onaŋo	oɴna	oɴna		onaɡo	oɴna	onaŋo	oɴna	oɴnaɡo			onaɡo	oɴna	onaŋo	oɴna					onaŋo	onaɡo	onaɡo	oɴna	onaɡo	oɴna	oɴna	oɴna	onaŋo	onaɡo	oɴna	oɴna	oɴna	unaɡu	onaɡo	onaɡo	inaːɡu		onaɡo	oɴna	oɴna	onaɡo	oɴna			oɴna	onaɡo	onaɡo	oɴna	oɴna	oɴna	onaŋo	oɴna	oɴna		onaɡo	oɴna
FEMALE PERSON_42-2						mero						midumu	midum					midu̥ɴ	midum	miduɴ	mero																		me						midumu	midum										minuŋa		
FIFTY_76-1																																							i																			
FIRE_162-1	çi	ʃu	su	çi	çiː	çiː	çi	çi	çi	çi	çi	psɨ		çi	çi	çiː	çi			psɨː	çiː	çi	çiː	çi	çi	çiː	çiː	çiː	çiː	çi	çi	ʃi	çi	çiː		çi	çi	piː	çɨ	çi	çi	çiː	βu	çi	piː		çiː	çiː	çi	çiː	çi	çiː	βi	çi	çi		çi	çiː
FIRE_162-2													umaʦɨ					umaʦɨ	umaʦɨ																mʔaʦɨ											umuʦɨ										ʧʔi		
FISH_80-1	sakana	saɡana	sakana	sakana	sakana	sakana		saɡana	sakana	sakana					sakana	sakana	sakana				sakana	sakana	sakana		sakana		osakana		sakana	saɡana		sakana		sakana		sakana	sakana				sakana	sakana	sakana	sakana			saɡana	sakana	sakana		sakana	sakana	saɡana	sakana	sakana			sakana
FISH_80-2							io				jo	juː		io										ijo		juoː		io			ioː		uo		ʔju			ʔjuː	uwo	ioː										io						iu		
FISH_80-3																																																									buijeɴ	
FISH_80-4													ɨʣu					ɨʣu	ɨʣu	ʔiʤɨ																									iʣu	ɨʣu												
FIVE_23-1	iʦuʦu	eʤiʔʧi	eʣuʔʦu	iʦuʦu	iʦuʦu	iʦuʦu	iʦuːʦu	iʦuʦu	iʦuʦu	iʦuʦu	iʦuʦu	ʔiʔsɨ	iʦɨʦɨ	iʦuʦu	iʦuʦu	iʦuʦu	eʦuʦu	iʦɨʦɨ	iʦɨʦɨ	ʔiʦɨʔʦɨ	iʦuʦu	eʣuʔʦu	iʦuʦu	iʦuʔ	iʦuʦu	iʦuʦu	iʦuʦu	itutu	iʦuʦu	eʣuʣu	iʦuʦu	eʦuʦu	iʦuʦu	iʦuʦu	iʦɨʦɨ	eʦuʦu	iʦuʦu	iʧiʧiː	itu	iʦuʦu	iʦuʦu	iʦuʦu	eʧiʧi	iʦuʦu	iʧiʧi	iʦɨʦɨ	iʦuʦu	iʦuʦu	iʦuʦu	eʦuʦu	iʦuʦu	iʦuʦu	iʧiʧi	iʦuʦu	iʦuʦu	ʔiʧiʧi	itutu	iʦuʦu
FLESH OR MEAT_134-1	niku	niɡu	niɡu	niku	niku	niku	niku	niɡu	niku	niku	niku	niku		niku	niku	niku	niku			niku	niku	niɡu	niku	niʔ	niku		niku	niku	niku	niku		niku	niku			niku	niku			niku	niku		neku	niku			niɡu	niku	niku	niku	niku	niku	niɡu	niku	niku	niku		
FLESH OR MEAT_134-2													mɨ													mi					mi			miː	mɨː							miː															mi	miː
FLESH OR MEAT_134-3																		sɨːsɨ	sɨːsɨ																			ʃiʃiː	ʃiʃi						ʃiːʃi	sɨːsɨ												
FLOWER_153-1	hana	hana	hana	hana	hana	hana	hana	hana	hana	hana	hana	pana	pana	hana	hana	hana	hana	hana	pana	pana	hana	hana	hana	hana	hana	hana	hana	hana	hana	hana	hana	hana	hana	hana	hana	hana	hana	βanaː	hana	hana	hana	hana	hana	hana	pana	pana	hana	hana	hana	hana	hana	hana	hana	hana	hana	hana	hana	hana
FLOW_125-1																																							naɡaru																			
FLY (MOVE THROUGH AIR)_120-1	tobu	toɴbu	toɴbu	tobu	tobu	tobu	tobu	tobu	tobu	tobu	tobu		tubiːpiɨ	tobu	tobu	tobu	tobu				tobu	toɴbu	tobu	toʔ	tobu	tobu	tobu	tobu	tobu	toɴbu	tobu	tobu	tobu	tobu		tobu	tobu		tøbu	tobu	tobu	tobu	tobu	tobu	tubuɴ		tobu	tobu	tobi	tobu	tobu	tobu	toɴbu	tobu	tobu	tubuɴ	tobu	tobu
FLY (MOVE THROUGH AIR)_120-2																																			udeɨʔkjuɴ																							
FLY (MOVE THROUGH AIR)_120-3																																						tuʔtuɴnuɡuɴ																				
FLY (MOVE THROUGH AIR)_120-4																		tunuʤiɨ																																								
FLY (MOVE THROUGH AIR)_120-5																			budul																											budul												
FLY (MOVE THROUGH AIR)_120-6																				majaːruɴ																																						
FLY (MOVE THROUGH AIR)_120-7												buɴʦuɴ																																														
FOG_61-1	kiri			kiri		kiri	kiri	kiri	kiri	kiri	kiri	ksɨsɨ	ksɨː	kiri	kiri			ʦɨː	ʦɨː	ksɨrɨ	kiri	moja		kiː	kiri	kiri	kiri	kiri		kiri	kiri	kiri	kiri	kiri	kʔiri	kiri	kiri	kiri	kɨri		kiri	kiri			kiru	ksɨː	kiri		kiri		kiri	kiri	kirisame	kiri	kiri	ʧiri	kiri	
FOG_61-2		moja	moja		kiri												moja						kiri						kiri											moja			kiː	moja				kiri										kiri
FOG_61-3																kasumi																																		ɡasu								
FOOT OR LEG_4-1	aʃi	asu	asu	aʃi	aʃi	aʃi	aʃi	asu	aʃi	aʃi	aʃi			aʃi	aʃi	aʃi	aʃi				aʃi	asu	aʃi	aʃ	aʃi	aʃi	aʃi	aʃi	aʃi	asu	aʃi	aʃi	aʃi			aʃi	aʃi		aʃi	aʃi	aʃi	aʃi	aʃi	aʃi			aʃi	aʃi	aʃi	aʃi	aʃi	aʃi	asu	aʃi	aʃi		aʃi	aʃi
FOOT OR LEG_4-2																																		hoʔda																								
FOOT OR LEG_4-3												paɴ	paɡzɨ					haʤɨ	paɡzɨ	haɴ															haɡi										paɴ	paɡzɨ												
FOOT OR LEG_4-4																																						çisa																				
FOOT OR LEG_4-5																																																								sanda		
FOREST_158-1	hajaʃi	hajaʃi			hajaʃi	hajaʃi		hajaʃi	hajaʃi	hajaʃi					hajaʃi	hajaʃi					hajaʃi	hajasu	hajaʃi		hajaʃi		hajaʃi	hajaʃi	hajaʃi	hajasu		hajaʃi	hajaʃi	hajaʃi		hajaʃi	hajaʃi		hajaʃi	hajaʃi	hajaʃi	hajaʃi	hajaʃi	hajaʃi			hajaʃi	hajaʃi	hajaʃi	hajaʃi	hajaʃi	hajaʃi	hajaʃi	hajaʃi	hajaʃi			hajaʃi
FOREST_158-2			jama	jama			jama					jama	jama				jama	jama	jama	maʦɨjama				jama		jama					jama				jama			jamaː							jama	jama										jama	jama	
FOUR_205-1	joʔʦu	joʔʧi	joʔʦu	joːʦu	joʔʦu	joʔʦu	joʔʦu	joʔʦu	joʔʦu	joʔʦu	joʔʦu	juːʦɨ	juːʦɨ	joʔʦu	joʔʦu	joʔʦu	joʔʦu	juːʦɨ	juːʦɨ	juːʦɨ	joʔʦu	joʔʦu	joʔʦu	joʔʦu	joʔʦu	joʔʦu	joʔʦu	joʔʦu	joʔʦu	joʔʦu	joʔʦu	joʔʦu	joʔʦu	joʔʦu	juːʦɨ	joʔʦu	joʔʦu	juːʧi	jø	joʔʦu	joʔʦu	joʔʦu	joʔʧi	joʔʦu	juːʧi	juːʦɨ	joʔʦu	joʔʦu	joʔʦu	joʔʦu	joʔʦu	joʔʦu	joʔʧi	joʔʦu	joʔʦu	duʧi	joʔtu	joʔʦu
FRUIT_184-1	mi	mi		mi	mi	miː	mi	mi	mi	mi	mi			mi	mi	miː	mi				miː	mi	mi	mi	mi	mi	miː	mi	miː	mi	mi	mi	mi	mi		mi	mi		mɨ	mi	mi	mi	mi	mi			mi	miː	mi	miː	mi	miː	miː	mi	mi		mi	miː
FRUIT_184-2																				narɨ															ksɨɴnari			nai							naru	nal										nai		
FRUIT_184-3													mːta					mːta	mːta																																							
FRUIT_184-4												meː																																														
GOOD_204-1	eː	e	e	iː	eː	iː	joka	iː	eː	iː	joʔkja			eː	joi	eː	eː				iː	e	eː	joka	iː	joka	eː	ei	eː	eː	iː	eː	joka	iː	iʔʧaɴ	eː	eː		jøʃi	joka	iː	eː	e	eː			iː	eː	eː	iː	joi	eː	eː	eː	joi		iː	eː
GOOD_204-2													ʤoːtuː					ʤautu	ʤau̥tuː	ʤoːtoː																		ʤoːtoː								ʤauʃaːl												
GOOD_204-3												miʃahaɴ																																	misaɴ											ɴsaɴ		
GRASS_65-1	kusa	kusa	kusa	kusa	kusa	kusa	kusa	kusa	kusa	kusa	kusa	βuʦa	βusa	kusa	kusa	kusa	kusa	βusa	βusa	βusa	kusa	kusa	kusa	kusa	kusa	kusa	kusa	kusa	kusa	kusa	kusa	kusa	kusa	kusa	kusa	kusa	kusa	kusaː	kusa	kusa	kusa	kusa	kusa	kusa	ʔsa	βuʃa	kusa	kusa	kusa	kusa	kusa	kusa	kusa	kusa	kusa	ʦa	kusa	kusa
GREEN_1-1	awøː	aoe	aoe	awɛ	aoi	aoi	aoka	aoi	awøː	aoi	aokja	ohaɴmi	oːkaɨ	aoi	aoi	aoi	aoe	aukai	aukal	ausaːɴ	aoi	ae	aoi	aoka	awɛ	aoka	aoi	aoi	aoi	aoe	awi	aweː	aoi	aoi	oːʃaɴ	aːwe	awøː	oːʃeɴ	awoʃi	aoka	aoe	aoi	aoe	aɛː	aoːɴ	oːʃaːl	aoi	aoi	aoi	aoi	aoi	aoi	aoe	awøː	aoi		awiː	aoi
GREEN_1-2																																																								dirumidiru		
GROW_98-1		soɴdateru		sodateru	sodateru	sodateru	sodaʦuru			sodateru	sodateru		sudatiɨ	sodateru	sodateru	sodateru	sodaderu				sodateru		sodateru		sodateru	sodaʦuru	sodateru	soɴdateru	sodateru		sodaʦuru	sodateru	sodaʦuru	soɴdateru		sodateru	sodateru				sodateru	sodateru	sodateː	sodateru	sudatiruɴ	ʃudatiru	sodaderu	sodateru	sodateru	sodateru	sodateru	sodateru		sodateru	sodateru		sodaturu	sodateru
GROW_98-10																		βuiβunasɨ																																								
GROW_98-11																			ʦɨkanaiːuːβunasɨ																																							
GROW_98-12																				βudubasuɴ																																						
GROW_98-13												sɨnaʦɨruɴ																																														
GROW_98-2			oɡasu																			oŋasu								oŋasu																												
GROW_98-3																																																					aʤikau					
GROW_98-4								jasunau																																																		
GROW_98-5																																																								kanuɴ		
GROW_98-6	ʃitoneru								ʃitoneru																																																	
GROW_98-7																								ojasu̥																oːsu																		
GROW_98-8																																			hodeʃuɴ																							
GROW_98-9																																						suratiːɴ																				
HAIR_73-1	ke	ke	ke	ke	ke	keː	ke	ke	ke	ke	kebuʃo	kiː	psɨɡi	ke	ke	keː	ke	kiː	psɨɡi	kiː	keː	ke	ke	ke	keba	ke	keː	ke	keː	ke	ke	ke	ke	ke	ksɨ	ke	ke	kiː	kə	ke	ke	keː	ke	ke	kiː	psɨɡi	ke	keː	ke	keː	ke	keː	ke	ke	ke	ki	ke	keː
HAND_110-1	te	te	te	te	teː	teː	te	te	te	te	te	sɨː	tiː	te	te	teː	te	tiː	tiː	tiː	teː	te	teː	tɨ	te	ʧe	teː	te	teː	te	te	te	te	te	tiː	te	te	tiː	tə	te	te	teː	te	te	tiː	tiː	te	teː	te	teː	te	teː	te	te	te	ti	te	teː
HE OR SHE_10-1		anoβuto	anoβuto	anoçito	anoʃito	anoçito	are	anoʃito		anoʃito	anoʃito			are	anoçito	anoʃito	anoçito				anoçito	anoçito	anoçito	aɴʃi	anoçito	aru	anoʃito	anoçito	anoçito	aeʣu	anoʃito	anoʃito	anoçito	anoçito		anoʃito	anomeː			ai	anoʃito	anoçito	anoβuto	anoçito			anoçito	anoçito	anomoɴ	anoçito	anoçito	anoçito	aeʤi	anoçito	anoçito		aitu	anoçito
HE OR SHE_10-2	ɛːʦu								ɛːʦu																																																	
HE OR SHE_10-3																																			ʔaɴʧʔu			ʔaɴʧuː	ʔanuʔʧu																			
HE OR SHE_10-4													kanupiʔtu					kanusɨːtu	kanuʔpitu																										kanupusu	kanuʔpitu												
HEAD_5-1		adama	adama	atama	atama	atama		adama	atama	atama				atama	atama	atama	atama				atama	adama	atana		atama	atama		atama	atama	adama		atama	atama			atama	atama			atama	atama		atama	atama			atama	atama	atama	atama	atama	atama	adama		atama			
HEAD_5-2											ʦuburi																oʦumu							omuʦuri																				omuʦu				oʦumo
HEAD_5-3	suko						ʣuku																	ʣu																		dosuko																
HEAD_5-4																															biɴta																											
HEAD_5-5																				ʦɨːburɨ															ʦʔɨːburu			ʧibuːru							suburu													
HEAD_5-6													kanamaɨ					kanamai	kanamal																											kanamal												
HEAD_5-7												amasukuru																																														
HEAD_5-8																																																								ɴɡʔusa		
HEAD_5-9																																							kaʃira																		kaʃira	
HEAR_58-1	kiku	kiɡu	kiɡu	kiku	kiku	kiku	kiku	kiɡu	kiku	kiku	kiku	sɨkuɴ	ʦɨksɨ	kiku	kiku	kiku	kiku	ʧiːβu	ʦɨʦɨ	sɨkuɴ	kiku	kiɡu	kiku	kiʔ	kiku	kiku	kiku	kiku	kiku	kiɡu	kiku	kiku	kiku	kiku	kikjuɴ	kiku	kiku	kikuɴ	kiku	kiku	kiku	kiku	kiku	kiku	sɨkuɴ	ksɨksɨ	kiku	kiku	kiku	kiku	kiku	kiku	kiku	kiku	kiku	kʔuɴ	kiku	kiku
HEAVY_39-1	omøː	obodɛ	modɛomodɛ	ɴtɛː	omotai	omoi	omotaka	omoi	omøː	omoteː	omokja			omotaː	omoi	omotai	omoe				obotai	omodɛ	omoi	obi	omoteː	omuka	omotai	omotai	omoi	omodɛ	oɴte	jomoteː	omoka	omotaː		omotɛː	omeː		omoʃi	oβutaka	omoteː	omoi	motae	omoi			omoi	omoi	omotao	omoi	omoi	omotao	obodɛː	omotɛː	omoi		omutɛː	omoi
HEAVY_39-2													ivḁkaɨ					ɴbukai	juvḁkal	ɴbusaɴ															ʔuɴbuʃaɴ			ʔuɴbuʃeɴ								i̥vu̥ʃaːl												
HEAVY_39-3												sɨtaɡiʃihaɴ																																	ɡuʔβaɴ											ʔiɴsaɴ		
HIDE_47-1	kakusu	kaɡuʃi	kaɡusu	kaosu	kakusu	kakusu	kakusu	kaɡusu	kakusu	kakusu			kaʔβusɨ	kakusu	kakusu	kakusu	kakusu	kaʔβasɨ	kaʔβiru		kakusu	kaɡusu	kakusu	kakusu̥	kakusu	kakusu	kakusu	kakusu	kakusu	kaɡusu	çiʔkakusu	kakusu	kakusu	kakusu		kakusu	kakusu	hakusuɴ	kakusu		kakusu	kakusu	kakuʃi	kakusu	kakusuɴ	kaʔβasɨ	kakusu	kakusu	kakusu	kakusu	kaɡusu	kakusu	kaɡuʃi	kakusu	kakusu		kakusu	kakusu
HIDE_47-2											nabusu																													nawasu																		
HIDE_47-3												hakoːsuɴ																							kaɴɡoːjuɴ																							
HIDE_47-4																				kaʣameː																																						
HIDE_47-5																																																								kami		
HIT_127-1	naɡuru			buɴnaɡuru		naŋuru			naŋuru	naɡuru				naɡuru	naŋuru						naŋuru				naŋuru				naɡuru			naŋuru		naɴɡuru			naɡuru				buɴnaɡuru	naŋuru		naŋuru							naŋuru		naŋuru	naɡuru	naŋuru			
HIT_127-10																																														baʤaːl												
HIT_127-11																				sɨtaɡuɴ																									ʃitunauɴ													
HIT_127-2		buʔtadaɡu	tataku				tataku	ʃiʔpataku														hadaɡu	tataku					tataku		hadaɡu			uʔtataku			hataku				tataku							hadaɡu	tataku		tataku								
HIT_127-3											buʦu						buʦu		uʦɨ					uʔ		uʦu													utu													buʦu				ʔutʔuɴ	utu	
HIT_127-4																doʦuku											doʦuku																doːʤiku						doʣuku									doʦuku
HIT_127-5												kurasuɴ																			kurasuru							kuruɴ																				
HIT_127-6					ʃibaku																																																					
HIT_127-7																																			ʃiɡurjuɴ																							
HIT_127-8													miɴɡzɨ																																													
HIT_127-9																		βuɡaçiː																																								
HOLD_200-1	moʦu	moʤi	moʣu	moʦu	moʦu	moʦu	moʦu	moʣu	moʦu	moʦu		muʦuɴ	muʦɨ	moʦu	moʦu	moʦu	moʦu	muʦɨ	muʦɨ	muʦɨɴ	moʦu	moʣu		moʔ	moʦu	moʦu	moʦu		moʦu		moʦu	moʦu	moʦu	moʦu	muʧuɴ		moʦu	muʔtuɴ	møtu	moʦu	moʦu	moʦu	moʧi	moʦu	mutuɴ	muʦɨ	moʣu	moʦu	moʦu	moʦu	moʦu	moʦu		moʦu	moʦu	mutuɴ	motu	moʦu
HOLD_200-2																														taŋaɡu						taɡaku																	taŋaɡu					
HOLD_200-3											saɡeru												saɡeru					saɴɡeru																														
HOUSE_17-1				uʧi		uʧi															uʧi				uʧi							uʧi									uʧi						uʧi											
HOUSE_17-2	ie	e	e		ie		ie	ʤe	ie	ie	e			ie	ie	iejaʃiki	e					e	ie	ie		ije	ie	ie	ie	eː	ie		ie	ie		e	ie		ie	ie		ie	e	ie				ie	ie	ie	ie	ie	je	ie	ue		ije	ie
HOUSE_17-3													jaː					jaː	jaː	jaː															ja			jaː							jaː	jaː												
HOUSE_17-4												çiː																																														
HOUSE_17-5																																																								da		
HOW_113-1	doːʣo	doː	doː	doː	doː	doː	doɡeɴ	doː	doː	doː	doɡoɴ			doː	doː	doː	doː				doː	doː	doː	doɡeɴ	doː	doː	donai	ɴdoː	doː	doː	doɴɡe	doː	doɡeɴ	doː		doː	doneː			doɡjaɴ	doː	doː	doɡe	doː			doː	doː	doɡai	doː	doː	doː	doː	doneː	doː		doː	donai
HOW_113-2																																			kjaʃi																							
HOW_113-3																																						taʧi																				
HOW_113-4													noːʃiː					iɴʃiː	nauʃiː																										nuːʃi	nauʃiː												
