	Aromanian	Asturian	Catalan (Castelló de la Plana)	Catalan (Central)	Catalan (Manises)	Catalan (Minorcan)	Catalan (Northwestern)	Catalan (Valencia)	Dalmatian	Emiliano (Carpigiano)	Emiliano (Ferrarese)	Emiliano (Reggiano)	Franco-Provençal	French	Friulian	Galician	Istro-Romanian	Italian	Ladin (Fassano)	Ladin (Gardenese)	Latin (Archaic)	Latin (Late Classical)	Ligurian (Genoa)	Ligurian (Rapallo)	Ligurian (Stella)	Lombard (Bergamo)	Lombard (Plesio)	Megleno-Romanian	Neapolitan	Occitan	Old French	Old Italian	Picard	Piedmontese (Barbania)	Piedmontese (Carmagnola)	Piedmontese (Lanzo Torinese)	Piedmontese (Turinese)	Piedmontese (Vercellese)	Portuguese	Romagnol	Romanian	Romansh (Grischun)	Romansh (Surmiran)	Romansh (Sursilvan)	Romansh (Vallader)	Sardinian (Campidanese)	Sardinian (Logudorese)	Sicilian (Catanian)	Sicilian (Messinese)	Sicilian (Palermitan)	Sicilian (Southeastern)	Spanish	Tuscan	Umbrian	Venetian (Bellunese)	Venetian (Primiero)	Venetian (Venice)	Walloon
BIRD_3				usˈeʎ					uʧˈul~oʧˈel	uzˈɛːl	uzˈɛl	uzˈɛl	ajʒˈo	wazo	uʧˈɛl	ˈaβe		uʧʧˈɛllo	uʧˈel	uʧˈel	ˈawɪs	ˈavɪs	awʒˈellu	ɔwʒˈellu	ɔːwʒˈeː	oʦˈɛl	ulʧˈɛll		awʃjˈellə	awsˈɛw	ˈojzel	uʧʧˈɛllo	ɔzjo	uzˈɛl	uzˈɛl	uzˈɛl	uzˈɛl	yzˈɛl	ˈavɨ	uzˈɛə̯l		uʧˈɛ	uʧˈel	uʧˈi	uʧˈɛ~uʃˈɛ								uʧʧˈɛllo	ʧˈellu	ozˈɛl	uzˈɛl	ozˈɛo	ɔʒeː
BITE_1	mˈɨʃku~mˈuʃku		moseɣˈaɾ	musəɣˈa	moseɣˈaɾ	musəɣˈa	moseɣˈa	moseɣˈaɾ	morskwˈor	muzɡˈɛːr		muzɡˈɛːr					muʧkˈɒ											mˈuʧku	muʦʦəkˈa~murʦəkˈa												amuʃkˈa						mossiɡˈare	muʦʦikˈaɾi	muʦʦɨkˈaɾɨ	muʦʦikˈaɾi	muʦʦikˈaɾi		morsikˈare	moʧʧikˈa			morseɡˈar	
BITE_2		moɾdˈeɾ											mˈøːrdre	mɔʁdʁ	mwˈardi	moɾðˈeɾ		mˈɔrdere	mˈorder	mˈɔrdər	mɔrdˈeːrɛ	mɔrdˈeːrɛ	mɔːrde	mˈɔrde	mˈɔːrde					mˈɔɾdɾe	mˈɔrdrə	mˈɔrdere	mɔʁd	mˈɔrde	mˈɔrde	mˈɔrdi	mˈɔrde	mˈɔːrdi	muɾðˈeɾ	mursˈeə̯		mˈɔrdər	mˈɔrdər	mˈɔrdər	mˈɔrdər							moɾðˈeɾ			mˈɔrðar	mˈɔrðer		
BITE_3																																														mussjˈaj												
BITE_4																										pˈia	kaɲˈa																															
BITE_5																																																										aɲe
BITE_6											zɡaɲˈar																																															
BLACK_1																																														njˈeddu	niɡˈeɖɖu~njˈeɖɖu											
BLACK_2		nˈeɡɾo	nˈeɣɾe	nˈɛɣɾə	nˈeɣɾe	nˈɛɣɾə	nˈeɣɾe	nˈeɣɾe	njar	nˈeɡer	nˈɛɡar	nˈiːɡer	naj	nwaʁ	nˈeri	nˈeɣɾo	nˈeɡru	nˈero	nˈejɡer		ˈaːtɛr	ˈaːtɛr	nˈeːjɡru	nˈejɡru	nˈɛːjɡru	nˈiɡɛr	nˈeɡru	nˈeɡru	nˈiɾə	nˈeɡɾe	nojr	nˈero	nweʁ	nɛjr	nɛjr	nɛjr	nɛjr	nˈeːru		nˈiɡar	nˈeɡru	najr	nˈeər	ner	najr			nˈiuɾu	nˈiuɾu	nˈivuɾu	nˈiviɾu	nˈeɣɾo	nˈero	nˈiru	nˈero	nˈeɡro	nˈero	nwaːʀ
BLACK_3	lˈajŭ																																																									
BLACK_4																																							pɾˈetu																			
BLACK_5																				foʃk																																						
BLOOD_1	sˈɨnʒe	sˈaŋɡɾe	saŋk	saŋ	saŋk	saŋk	saŋ	saŋk	swoŋɡ	sˈaŋɡev	saŋɡ	sˈaːŋɡov~sˈaːŋɡev	sã	sɑ̃	saŋk	sˈaŋɡe	sˈənze	sˈaŋɡwe	saŋk	saŋk	sˈaŋɡʷiːs	sˈaŋɡʷiːs	sˈaŋɡwe	sˈaŋɡwe	sˈaːŋɡwe	saŋk	saŋk	sˈɔnzi	sˈaŋɡə	saŋk	sãŋk	sˈaŋɡwe	sɑ̃	saŋɡ	saŋɡ	saŋɡ	saŋɡ	saŋ	sˈɐ̃ŋɡɨ	sãŋɡv	sˈɨnʤe	saŋk	saŋk	sawŋk	saŋk	sˈaŋɡuni	sˈambene	sˈaŋɡu	sˈaŋɡu	sˈaŋɡu	sˈaŋku	sˈaŋɡɾe	sˈaŋɡwe	sˈaŋɡwe	sˈaŋɡwe	sˈaŋɡwe	sˈaŋɡwe	sã
BONE_1		ɡwˈeso							vwas						vwɛs																																											
BONE_2	ˈosŭ		ɔs	ɔs	ɔs	ɔs	ɔs	ɔs		ɔːs	ɔs	ɔːs	ɔ	ɔs		ˈɔso	os	ˈɔsso	ɔs	ɔs	ɔs	ɔs	ˈøssu	ˈɔssu	ˈossu	ɔs	ɔss	wos	wˈossə	ɔs	ɔs	ˈɔsso	ɔʃ	ɔs	ɔs	ɔs	ɔs	ɔːs	ˈosu	ɔs	os	ɔs	ɔs	jes	ɔs~øs	ˈossu	ˈossu	ˈɔssu	ˈɔssu	wˈɔssu	wˈɔssu	wˈeso	ˈɔsso	ˈossu	ɔs	ɔs	ˈɔso	ɔʃ~ɔʃeː
BREAST_1												stˈɔmeɡ	ɛstˈɔma													stomˈɛk	ʃtˈumɛk								stˈɔmi			stˈɔːmik																				
BREAST_2									sjaŋ																			sin																														
BREAST_3														pwatʁin																pejtɾˈino			pwetʁɛ̃n																									pwatʀin
BREAST_4	cˈeptu	pˈeʧo	pit	pit	pit	pit	pit	pit	pjat	pɛːt	pɛt				pɛt	pˈejto	kʎept	pˈɛtto	pjet	pjet	pˈɛktʊs	pˈɛktʊs	pˈettu		pˈɛːtu			cept	pjˈettə	pˈitɾe~pjɛs~pjes	piʦ	pˈɛtto		pɛt		pɛt	pɛt		pˈɐjtu	pɛə̯t	pjept	pɛʦ	pɛʦ	pɛʦ	pet	pittˈura	pettˈorra	pˈɛttu	pˈɛttu	pjˈɛttu	pjˈɛttu	pˈeʧo	pˈɛtto	pˈettu	pɛt	tˈete	pˈeto~pˈɛto	
BREAST_5																								kaʃˈetta																																		
BURN (SOMETHING)_1	ˈardu																				ˈuːrɛrɛ	ˈuːrɛrɛ						art			ˈardrə										aˈarde	ˈardər	ˈardər		ˈardər													
BURN (SOMETHING)_2		kemˈaɾ	kɾemˈaɾ	kɾəmˈa	kɾemˈaɾ	kɾəmˈa	kɾemˈa	kɾemˈaɾ					kraːmˈaː			kejmˈaɾ														kɾemˈa									kɐjmˈaɾ													kemˈaɾ						
BURN (SOMETHING)_3										bruzˈɛːr	bruzˈar	bruzˈer	bryːlˈaː	bʁyle	brusˈaː		palˈi	bruʧˈare	bruʒˈɛr	bruʒˈɛ			bryʒˈaː	bryʒˈa	bryːʒˈɛː	bryʦˈa	bryzˈa		abbruʃʃˈa	bɾylˈa		bruʃˈare~abbruʃˈare	bʁyle	bryzˈe	bryzˈe	bryzˈe	bryzˈe	bryzˈɛ		bruzˈeə̯				bərʃˈar		abruʒˈaj		bɾuʧˈaɾi		abbɾuʧˈaɾi	abbɾuʃˈaɾi		bruʧˈare	vruʧˈa	bruzˈar	bruzˈar	bruzˈar	bʀyːle
BURN (SOMETHING)_4																																															brusjˈare											
BURN (SOMETHING)_5																																																	bampˈaɾɨ									
CLOUD_1	niˈorŭ	nˈube	nˈuvoɫ	nˈuβuɫ	nˈuβoɫ	nivuɫˈat	nˈuβoɫ	nˈuβoɫ	nˈuvol	nˈuvla	nˈuval	nˈovla	ɲˈola	nɥaʒ	nuːl	nˈuβe		nˈuvola	nˈiɡola	nˈibla	nˈuːbɪs	nˈuːbeːs~nuːbˈiːɫũ	nˈyvia	nˈyvvua	nˈiːɡɥa	nˈiol	nˈiɡula	nor	nˈuvələ	nˈive~nˈivo~njew	nˈyə	nˈube~nˈuvola	nɥaʒ	nˈivula	nˈivula	nˈivula	nˈuvula	nˈiːwla	nˈuvɐ̃j̃	nˈuvla	nor	nˈivəl	nˈɛjvəl	nˈibəl	nˈyvlə	nuj	nˈue	nˈuvula	nˈuvula	nˈuvula	nˈuvula	nˈuβe	nˈuvola	nˈuola	nˈuvola	nˈuvola	nˈuvoe̯a	nuwaʧ
CLOUD_2																	oblˈɒk																																									
COLD (OF WEATHER)_1														fʁwa																			fʁwe																									
COLD (OF WEATHER)_2	arˈaʦe																rˈɒʧe											rˈaʦi												ʤaʦˈeə̯	rˈeʧe																	
COLD (OF WEATHER)_3																					frˈiːɡɪdʊs	frˈiːɡɪdʊs																																				
COLD (OF WEATHER)_4		fɾˈio	fɾet	fɾɛt	fɾet	fɾɛt	fɾet	fɾet		frɛd	fred	frɛd	fraj		freːt	fɾˈio		frˈeddo	frejt	frəjt			frˈejdu	frˈejdu	frˈeʤʤu	frɛʧ~frɛt	freʧʧ		frˈiddə	fɾe	frojt	frˈeddo		frɛjd	frɛjd	frɛjd	frejd	frøʧ	fɾˈiu			frajt	frɛjt	frɛjt	frajt	frˈiðu~frˈiu	frˈittu	fɾˈiddu	fɾˈiddu	fɾˈiddu	fɾˈiddu	fɾˈio		frˈiddu	fret	fret	frˈedo	fʀɛ
COLD (OF WEATHER)_5									ɡelwˈat																																																	
COLD (OF WEATHER)_6																																																					djˈaʧʧo					
COME_1										ɲiːr	ɲir	ɲiːr	mɲi							unˈi						ɛɲ												ɲiː					nɛkr		ɲir													
COME_2	ʑˈinŭ	benˈiɾ	vˈindɾe	bənˈi	bˈindɾe	vənˈi	bˈindɾe	bˈindɾe	venˈar					vəniʁ	viɲˈiː	biɾ	verˈi	venˈire	veɲˈir			vɛnˈiːrɛ	veɲˈiː	veɲˈi	veːɲˈi		veɲˈi	vin	vənˈi	venˈi	vənˈir	venˈire	vniʁ	vni	vni	vni	vˈeŋe		viɾ	vni~avnˈi	avenˈi	vəɲˈir		vəɲˈir		bɛnnˈi	bˈennere	vˈɛniɾi	vˈɛnɨɾɨ	vjˈɛniɾi	vˈɛniɾi	benˈiɾ	venˈire	vinˈi	venjˈar	vˈɛɲer	venˈir	vyny~vny
COME_3																					wɛnˈiːrɛ																																					
DIE_1	mˈorŭ	morˈeɾ	moɾˈiɾ	muɾˈi	moɾˈiɾ	muɾˈi	moɾˈi	moɾˈiɾ	morˈar	murˈiːr	murˈir	murˈiːr	morˈi	muʁiʁ	murˈiː	morˈeɾ	murˈi	morˈire	morˈir	murˈi	mˈɔriː	mˈɔriː	muˈiː	muˈi	miˈi	mør	murˈi	mor	muɾˈi	muɾˈi	morˈir	morˈire	mweʁiʁ	mˈøjre	mˈøjre	mˈøjre	mˈøjre	mˈøri	muʁˈeɾ	murˈi	amurˈi	murˈir	murˈɛkr	murˈir	murˈir	mɔrrˈi	mˈorrere	mˈɔɾiɾi	mˈɔɾɨɾɨ	mwˈɔɾiɾi	mˈɔʐi	moɾˈiɾ	morˈire	murˈi	morˈir	morˈir	morˈir	mɔʀy
DOG_1	kˈɨne	pˈero	ɡos	ɡos	ɡos	ka	ɡos	ɡos	kwoŋ	kaŋ	kan	kaːn	θɛ̃	ʃjɛ̃	caŋ	kaŋ	brek	kˈane	ɕaŋ	ɕaŋ	kˈanɪs	kˈanɪs	kaŋ	kaŋ	kaŋ	ka	kaŋ	kˈɔjni	kˈanə	ʧiŋ	ʧjẽn	kˈane	kjɛ̃	kaŋ	kaŋ	kaŋ	kaŋ	kaŋ	kɐ̃w̃	kãn	kˈɨjne	ɕawn	caŋ	ɕawn	ɕan	kˈai	kˈane	kˈani	kˈanɨ	kˈani	kˈani	pˈero	kˈane	kˈane	kaŋ	kaŋ	kaŋ	ʧɛ̃
DRINK_1	be̯aw	bebˈeɾ	bˈewɾe	bˈɛwɾə	bˈewɾe	bˈɛwɾə	bˈewɾe	bˈewɾe	bar	bˈɛver	bˈɛar	bˈɛver	bˈajre	bwaʁ	bˈɛvi	beβˈeɾ	bæ	bˈere	bˈejver	bˈevər	bˈɪbɛrɛ	bˈɪbɛrɛ	bˈɛjve	bˈeje	bˈɛjve	bif	beːf	be̯aw	vˈɛβəɾə~vˈeβəɾə	bˈewɾe	bˈojvrə	bˈere	bweʁ	bˈɛjve	bˈɛjve	bˈɛjve	bˈejve	bˈeːvi	bɨβˈeɾ	beː	abˈe̯a	bˈajvər	bˈevər	bˈɛjbər	bˈajvər	buffˈaj	buffˈare	vˈiviɾi~bˈiviɾi	bˈivɨɾɨ	vˈiviɾi	vˈiviɾi~bˈiviɾi	beβˈeɾ	bɛ	beː	bˈere	bˈever	bˈɛver~bˈever~bˈevar	bwaːʀ
DRY_1	uskˈatŭ	sˈeko	sek	sɛk	sek	sɛk	sek	sek	swat~sot	sut~sɛk	sut	sot	sɛ	sɛk	sut	sˈeko	uskˈɒt	sˈekko	sut~sek	sut~sjəwt~sək	sˈɪkkʊs	sˈɪkkʊs	sˈekku	sˈekku	sˈekku	sɛk	syʧʧ	uskˈat	sˈikkə	se	sɛk	sˈekko	se	sɛk	sɛk	syjt~sɛk	sɛk	søk	sˈeku	sɛk	uskˈat	siɕ	sic	ʃeɕ	syt	sikkˈaw	sˈikku	sˈikku	sˈikku	sˈikku	sˈikku	sˈeko	sˈekko	sˈikku	sek	sut	sˈeko	sɛʧ
EAR_1																		orˈekkjo~orˈekkja											rˈekkjə			orˈekkja															orˈikkra	aɾˈikkju	ɾˈikkɨ	aɾˈikkju~aɾˈikkja			orˈekkjo	rˈekkja				
EAR_2	urˈe̯akʎe	oɾˈeja	oɾˈeʎa	uɾˈɛʎə	oɾˈeʎa	uɾˈɛə	awɾˈeʎɛ	oɾˈeʎa	orˈakla~rˈakla	urˈɛʧa	urˈɛʧa	urˈɛʧa	ˈɔrʎo	ɔʁɛj	orˈɛle	oɾˈeʎa	urˈækʎe		urˈeja	urˈədla	ˈawrɪs	ˈawrɪs	wˈɛʤa	awˈeʤe	wˈɛʤʤa	orˈɛʤa	urˈeʤa	urˈe̯akʎə		awɾˈio	orˈɛʎə		ɔʁɛl	urˈija	urˈija	urˈija	urˈija	urˈøʤa	oɾˈeʎɐ	urˈɛʧa	urˈeke	urˈeʎə	urˈejə	urˈeʎə	urˈaʎə	orˈiɣa					awɾˈiʧʧa	oɾˈexa			rˈeʧa	rˈeʧa	rˈɛʧa~rˈeʧa	ɔʀɛj
EARTH (SOIL)_1																	pemˈint																								pəmˈɨnt																	
EARTH (SOIL)_2	ʦˈarə	tjˈera	tˈɛra	tˈɛrə	tˈɛra	tˈɛrə	tˈɛrɛ	tˈɛra	tˈara~tjˈara	tˈɛra	tˈɛra	tˈɛra	tˈɛra	tɛʁ	tjˈɛre~tjˈare	tˈɛra		tˈɛrra	tˈera	tjˈəra	tˈɛrra	tˈɛrra	tˈɛra	tˈɛːra	tˈɛːra	tˈɛra	tˈɛra	ʦˈarə	tˈɛrrə	tˈɛʀo	tˈɛrə	tˈɛrra	tjɛʁ	tˈɛra	tˈɛra	tˈɛra	tˈera	tˈɛra	tˈɛʁɐ	tˈɛə̯ra		tˈɛrə	tˈerə	tjˈarə	tˈɛrə	tˈɛrra	tˈerra	tˈɛrra	tˈɛrra	tjˈɛʐa	tˈɛʐa	tjˈera	tˈɛrra	tˈɛrra	tˈɛra	tˈɛra	tˈɛra	tɛʀ
EAT_1																					ˈeːdɛrɛ	ˈeːdɛrɛ																																				
EAT_2	mˈɨkŭ		meɲʤˈaɾ	məɲʒˈa	meɲʧˈaɾ	məɲʒˈa	meɲʤˈa	meɲʧˈaɾ	manˈajko	maɲˈɛːr	maɲˈar	maɲˈɛːr	bʤiː	mɑ̃ʒe	manɟˈaː		məŋkˈɒ	manʤˈare	maɲˈɛr	majˈə			maŋʤˈa	maŋʤˈa	maŋʤˈɛ	maŋʤˈa	maŋʤˈa	mənˈank	maɲɲˈa	manʤˈa	mãnʤjˈer	manʤˈare	mɛ̃ʒe	maŋʤˈe	maŋʤˈe	maŋʤˈe	manʤˈe	maŋʤˈɛ		maɲˈeə̯	amɨŋkˈa	mənʤˈar	məʎˈer	məʎˈar	mənʤˈar			manʧˈaɾi	manʧˈaɾɨ	manʧˈaɾi	manʧˈaɾi		manʤˈare	maɲɲˈa	maɲˈar	maɲˈar	maɲˈar	muɲe
EAT_3																																															mandiɡˈare											
EAT_4		komˈeɾ														komˈeɾ																							kumˈeɾ													komˈeɾ						
EAT_5																																														pappˈaj												
EGG_1		ɡwˈebo																																																							vˈɔvo~vˈovo	
EGG_2	ow		ɔw	ɔw	ɔw	ɔw	ɔw	ɔw	juv	oːv	ɔv	oːv	wa	œf	uːf	ˈɔβo	ov	wˈɔvo	ef	wef	ˈoːwũ	ˈoːvũ	ˈøvu	ˈøvu	ˈøːvu	of	øːf	wow	wˈovə	jɔw	wœf	wˈɔvo	ɥe	øv	øw	øv	øv	øf	ˈovu	ɔə̯v	ow	of	of	jef	øf	ow	ˈovu	ˈɔvu	ˈɔvu	wˈɔvu	wˈɔvu	wˈeβo	ˈɔvo	ˈɔu	ˈovo	ow~ˈovo		yː
EYE_1	ˈokʎu																ˈokʎu	ˈɔkkjo										wˈokʎu	wˈokkjə			ˈɔkkjo															ˈokkru	ˈɔkkju	ˈɔkkju	wˈɔkkju			ˈɔkkjo	ˈokkju				
EYE_2			uʎ	uʎ	uʎ	uj	uʎ	uʎ		ɔːʧ	oʧ	ɔːʧ	ʒy~ʒyː	œj		ˈɔʎo			ˈeje	wedl			ˈøʤʤu	ˈøʤʤu	ˈøːʤʤu	øʧ	øʧʧ			ɥɛj~ˈiwe~iw	wœʎ		œl	øj	øj	øj	øj	øʧ	ˈoʎu	ɔʧ	okʲ	eʎ	iʎ	eʎ	øʎ	ˈoɣu					wˈɔʧʧu	ˈoxo			ˈɔʧo	ˈɔʧo	ˈɔʧo	uːj
EYE_3									vˈaklo						vˈoːli																																											
EYE_4		ɡwˈejo																			ˈɔkʊɫʊs	ˈɔkʊɫʊs																																				
FAR_1																			dalˈonʧ	dalˈonʧ																						dəlˈunʃ			dəlˈœnʧ~dəlˈœnʃ													
FAR_2																									distˈaːŋte																														distˈaŋte		distˈaŋte	
FAR_3	dipˈarte																											dipˈarti													depˈarte																	
FAR_4		ʎˈoɲe	ʎuɲ	ʎuɲ			ʎuɲ						lwɛ̃~lwɛ	lwɛ̃																ljewˈeŋ~lɥeŋ~ljuŋ	lojɲ		lwɛ̃			løɲ																						lɔ̃
FAR_5	lˈarɡu																lˈɒrɡo																														alˈarɡu					lˈexos						
FAR_6		ʎˈonʃe			ʎunt			ʎunt	lontwˈoŋ	luntˈan	luntˈan	luntˈaːn			lontˈaŋ	lˈonʃe		lontˈano		lonʧ	ɫˈɔŋɡeː	ɫˈɔŋɡeː	luŋtˈan	luŋtˈan	luŋtˈan	luntˈa	luntˈaŋ		luntˈanə			lontˈano		luŋtˈaŋ	luŋtˈaŋ		luŋtˈaŋ	luŋtˈaŋ		luntˈãn			ʎˈunʃ	lunʃ				luntˈanu	luntˈanu	luntˈanu	luntˈanu		lontˈano	lontˈanu	loŋtˈaŋ	loŋtˈaŋ	loŋtˈaŋ~ɰoŋtˈaŋ	
FAR_7																																							lˈõʒɨ							atˈezu												
FAR_8						ənfˈɔɾə																																																				
FAT (ORGANIC SUBSTANCE)_1																	mɒst																														rˈassu	ɾˈassu	ɾˈassu	ɾˈassu	ɾˈassu			lˈardu				
FAT (ORGANIC SUBSTANCE)_2	ɡrəsˈime	ɡɾˈasa	ɡɾejʃ	ɡɾeʃ	ɡɾejʃ		ɡɾejʃ	ɡɾejʃ	ɡres	ɡraːs	ɡras	ɡraːs	ɡrˈesa	ɡʁɛs	ɡras	ɡɾˈaʃa		ɡrˈasso	ɡras	ɡras			ɡrˈassu	ɡrˈassu	ɡrˈaʃʃa~ɡrˈassu	ɡras	ɡrass	ɡrəsˈimi	ɡrˈassə	ɡɾas	krˈejsə	ɡrˈasso	kʁa	ɡras	ɡras	ɡras	ɡras	ɡras		ɡras	ɡrəsˈime	ɡras	ɡras	ɡras	ɡras	ɡrˈassu						ɡɾˈasa	ɡrˈasso		ɡras	ɡras	ɡrˈaso	kʀaʃ
FAT (ORGANIC SUBSTANCE)_3																																							ɡuɾðˈuɾɐ																			
FAT (ORGANIC SUBSTANCE)_4						sɛw																																																				
FAT (ORGANIC SUBSTANCE)_5																					pˈɪŋɡʷɛ																																					
