Gloss	Erzya	Estonian	Finnish	Hungarian	Ingrian	Karelian	Khanty	Kildin Saami	Komi-Permyak	Komi-Zyrian	Livonian	Mansi	Meadow Mari	Nganasan	North Saami	Selkup	Skolt Saami	South Saami	Tundra Nenets	Udmurt	Veps	Votic	Võro
ARMPIT_3				hoːnɒj																			
ARMPIT_4					kɑilɑ																		
ARMPIT_5							kunəŋpətæ					χɑnlpɑtːɑ											
ARMPIT_6								kajnal	konuvt	kɯɲɑuv										kunul			
ARMPIT_7												χɑnl											kɑnkli
ARMPIT_8													koŋlɑjə̠mɑl										
ARMPIT_9																qɑːliɲ							
ARRIVE_1	pɑʧkodʲems																						
ARRIVE_2		sɑːputɑ	sɑːpuɑ																				
ARRIVE_3				mɛɡeːrkɛzik																			
ARRIVE_4							joɣət					joχti											
ARRIVE_5								juːvːte															
ARRIVE_6									loknɯ	loknɯ										lɯktɯnɯ			
ARRIVE_7										volɯnɯ													
ARRIVE_8													ʃuɑm										
ARRIVE_9														sohədʲɑ									
ARRIVE_10																						tulɤmɑ	
ASH_1	kulov											χuːʎəm											
ASH_2		tuhk	tuxkɑ			tʊxkɑ					tuːˀɡɨd										tʊxk	tuhk	tuhk
ASH_3				hɒmu												ɕiːmə							
ASH_4					poro		pær																
ASH_5							kɑjəm		pɤjim	pɤjim													
ASH_6								kunː							kʊtnɑ		kunːɐ	kuβnɛ					
ASH_7													lomə̠ʒ										
ASH_8														tuːdʲoəʔ									
ASH_9																			tunzʲibʲɑ				
ASH_10																				peɲ			
AT_1	kedʲse																						
AT_2	peʎe												pelen										
AT_3		juːres																				juːrɤz	
AT_4			luonɑ		loːn																		
AT_5				mɛlːɛtː																			
AT_6							poŋəl						ðene										
AT_7								alʲn															
AT_8									sɑjɯn														
AT_9									dɯnɯn														mɑn
AT_10										dorɯn										dorɯn		tyvenː	
AT_11										ordɯn										urʦɯn			
AT_12												pɑːlt											
AT_13													βoktene										
AT_14																nɑːnə							
AT_15																						æːrelː	
BACK_1	koporʲ																						
BACK_2	kutʲmerʲe																						
BACK_3		selk	selkæ		selɡ̊æ	sɛlkæ		sielʲːk			sæːlɡɑ				se̯ælɛki		sɛalʲɟ͡ʝːɘ				sɛlʲɡ	selʧ	sælk
BACK_4							ʧøɳʧ																
BACK_5									mɯʃk	mɯʃ		sis											
BACK_6													tup										
BACK_7														məku		moqə			mɑxɑ				
BACK_8																		rʉʧːɛ					
BACK_9																				tɯbɯr			
BAD_1	berʲɑɲ																						
BAD_2	kɑʎdʲɑv																						
BAD_3	ɑpɑro																						
BAD_4		hɑlp																					hɑlv
BAD_5			huono		hoːno	hʊɔnɔ																	
BAD_6				rosː																urod			
BAD_7					pɑhɑ									bɑhiɑ								pɑhɑ	
BAD_8					hub̥ɑ														wæwɑ				
BAD_9							ætəm				slikcːə												
BAD_10								ɲuesʲː															
BAD_11									umɤʎ	omɤʎ													
BAD_12												ʎuːʎ											
BAD_13													uðɑ									kehno	
BAD_14													nɑʧɑr										
BAD_15															he̯æcːʊ								
BAD_16															hejtːɔh								
BAD_17																qoɕək							
BAD_18																	xuɛnʲːɘ						
BAD_19																		mɔtːan					
BAKE_1	rʲestɑms																						
BAKE_2		kypːsetːɑtɑ										sɑːriti											
BAKE_3			leipoɑ																				
BAKE_4			pɑistɑː		pɑistɑː			paːʃʲːte													pɑʃtːɑ		
BAKE_5				ʃyt							uːdə												
BAKE_6					vɑːliɑ																		
BAKE_7									pɤʒɑvnɯ	pɤʒɑvnɯ										pɯʒɯnɯ			
BAKE_8													ʒɑritlem										
BAKE_9													puʃtə̠lɑnem										
BAKE_10														hiðibtɯsɯ									
BAKE_11															paːhkːeh			poːhkɛdh					
BAKE_12																							kyʦæmæ
BARK_1	kerʲ	puːkoːr~korp			koːri	kʊɔri	kær	keːrː		kɯrɕ	kuːorʲ	keːr	kyr				kərːɐ			kur	kɔrʲ	koːri	kuːrʲ
BARK_2	sud								kɑʨ														
BARK_3			kɑːrnɑ																				
BARK_4				keːrɛɡ																			
BARK_5								paːr̥ːk							paːrɑhkʊ			pɑːrhkuʌ					
BARK_6								peːsʲː															
BARK_7												jiwsuːl											
BARK_8													ʃym										
BARK_9														kɑsu		qɑːsə							
BARK_10																			sʲɑbt				
BARK_11																				sul			
BARK_12																							koskʲ
BAT_1	kedʲɲimiʎɑv																						
BAT_2		nɑhkhiːr																				nɑhktiːru	nɑhkhiːrʲ
BAT_3			lepɑkːo		lepɑkːo																		
BAT_4				dɛnɛveːr																			
BAT_5							ɲurpɑjlɑŋ																
BAT_6								kɨrʲːtejsaːhpliŋk															
BAT_7									kuʃbord														yːsisɑs
BAT_8										bordɑʃɯr													
BAT_9												toːrtowlɑp											
BAT_10													βoðə̠βə̠ʧə̠rɑŋɡe										
BAT_11																				urtkɯʧ			
BAT_12																						yːlɑk	
BATHE_1	pɑrʲɑms												purem										
BATHE_2	ʃʎɑms																						
BATHE_3		kymːeltɑ																					
BATHE_4			kylpeæ		kylpiːsːæ	kylpiɛ					ɡilɡə											ʧylpemæ	
BATHE_5				fyrdik																			
BATHE_6							pø̝ɣəl					puwli											
BATHE_7								vuːjnedːe															
BATHE_8									kupɑjʨːɯnɯ														
BATHE_9									miɕːɯnɯ	pɯlɕɯnɯ										pɯlɑɕkɯnɯ			
BATHE_10													muʃkə̠ltɑm										
BATHE_11																uːr							
BATHE_12																					kʏlʲptæs		
BATHE_13																							ʦuklɤmɑ
BE HUNGRY_1	vɑʧoʧi																						
BE HUNGRY_2		næljɑneolːɑ																				nælːezɤlɤmɑ	nælæne
BE HUNGRY_3			olːɑnælkæinen		nælɡ̊æhiːn	nælkæhini		ɲaːlːke			næːlɡɑʎi												
BE HUNGRY_4				eːɦɛʃnɛklɛnːi																			
BE HUNGRY_5							iləɣ																
BE HUNGRY_6									ʧɯɡ														
BE HUNGRY_7										ʧɯɡovnɯ													
BE HUNGRY_8												eːtɣɑlɑwe											
BE HUNGRY_9													ʃuʒem										
BE HUNGRY_10														ŋɑmnɑntuə		ɑmnɑm							
BE HUNGRY_11														honəntuə									
BE HUNGRY_12															ne̯ælɡkɑs								
BE HUNGRY_13																	nɛalɣlɒʒ						
BE HUNGRY_14																				ɕutem			
BECAUSE_1	ɕeks~ɕeksmeks		siksi																			sisːi	
BECAUSE_2		selːepærɑst			semperæst																		
BECAUSE_3			koskɑ					ɡuejke															
BECAUSE_4				mɛrt																			
BECAUSE_5					sentæː					sɯpondɑ			sɑndene										
BECAUSE_6							merə																
BECAUSE_7									dɑ														
BECAUSE_8									siʥkɯʥ														
BECAUSE_9										sɯvɤsnɑ													
BECAUSE_10													sɑðlɑn										
BECAUSE_11														ɲiːðə									
BECAUSE_12														suəbəsɯ									
BECAUSE_13																				mɑlɯkeʃuono			
BECAUSE_14																						ku	
BECAUSE_15																							selːe
BECOME_1	tʲejevems																						
BECOME_2	ɑrɑms																						
BECOME_3		tulːɑ	tulːɑ			tʊlːɑ																tulɤmɑ	
BECOME_4		sɑːtɑ			sɑːvɑ																		sɑːmɑ
BECOME_5				lɛsː																			
BECOME_6				vaːlik																			
BECOME_7							jə																
BECOME_8								ʃeːnːte									ʃədːɐd	ʃɨtːɛdh					
BECOME_9									lonɯ	lonɯ	liːdə									luɯnɯ			
BECOME_10												wɑːrχɑti											
BECOME_11												tɑχi									tɛxtɑs		
BECOME_12													ʃuɑm										
BECOME_13													lijɑm										
BECOME_14														konɯdʲi									
BECOME_15																esu							
BECOME_16																			xæsʲ				
BECOME_17																				potɯnɯ			
BEGIN_1	uʃodoms																						
BEGIN_2	kɑrmɑms																						
BEGIN_3	ustɑvɑms																						
BEGIN_4		ɑlɑtːɑ																			ɑʊɡɔtɑdɑ		
BEGIN_5			ɑlkɑː		ɑlkuɑ			alʲːke							aːlɛkih			æːlkɛdh				ɑlkumɑ	ɑlknɤmɑ
BEGIN_6				kɛzd																			
BEGIN_7							jə																
BEGIN_8									pondɤtʨɯnɯ														
BEGIN_9										kutnɯ										kuʦkɯnɯ			
BEGIN_10										ʤɯnjɑvnɯ													
BEGIN_11											irɡə												
BEGIN_12												oːwəltɑχti											
BEGIN_13												pɑti											
BEGIN_14													tyŋɑlɑm										
BEGIN_15														huɑrudʲɑ									
BEGIN_16																lɑqəkːu							
BEGIN_17																			pʲɑsʲ				
BEGIN_18																						nɤisɤmɑ	
BEHIND_1	udɑlo																						
BEHIND_2	ekʃse																						
BEHIND_3		tɑkɑ	tɑkɑnɑ		tɑkɑː	tɑkɑnɑ					tɑɡɑːn			tɑkənu	tʊ̯ɔkaːs			tʉɛkɛsnɛ	tʲɑxənɑ		tɑɡɑ	tɑkɑn	tɑkɑn
BEHIND_4				møɡøtː										məkini									
BEHIND_5							pɯrnə			bɤrvɯlɤ													
BEHIND_6							kɑs																
BEHIND_7								maŋʲelʲt							mɑŋil								
BEHIND_8									sɑjɯn	sɑjɤ													
BEHIND_9									bɤrɯn														
BEHIND_10												sɑːjt											
BEHIND_11													ʃeŋɡelne										
BEHIND_12														huə									
BEHIND_13																tɑːk							
BEHIND_14																	tuɛc͡çːɛn			ɕɤrɯn			
BELLY_1	peke															perkə							
BELLY_2		vɑtːs	ʋɑʦɑ								vɑtsɑː										vɑʦ	vɑtːs	
BELLY_3		kɤht																			kɔxt		
BELLY_4			mɑɦɑ																				
BELLY_5				hɒʃ																			
BELLY_6				ɟomor																			
BELLY_7					vɑʦɑ																		
BELLY_8							koɳ~ont																
BELLY_9							poɣlɯ																
BELLY_10								ʧuejːv							ʧɔ̯ɑvji		ʧɔuʝːɘ	ʧoæjːiɛ					
BELLY_11									kɯnɤm														
BELLY_12										ruʃku													
BELLY_13												soːriɣ											
BELLY_14												sim											
BELLY_15													myʃkə̠r										
BELLY_16														ʧɑjbə									
BELLY_17																			tʲiw				
BELLY_18																				kɤt			kɤtː
BELLY_19																						mɑko	
BERRY_1	mɑrʲ	mɑri	mɑrjɑ		mɑrjɑ	mɑrjɑ					mɔːrʲɑ				mʊ̯ɔrji		muɛrʲʝːɘ	mʉɛrjiɛ				mɑrjɤ	mɑri
BERRY_2				boɟoː																			
BERRY_3							ul																
BERRY_4									jɑɡɤd														
BERRY_5										tuɕ													
BERRY_6												piːl											
BERRY_7													jemə̠ʃ										
BERRY_8													sɑskɑ										
BERRY_9														ŋutɑ					ŋoːdʲɑ				
BERRY_10																ʧopər							
BERRY_11																				uzɯborɯ			
BESIDE_1	bokɑso								bokɯn			poːχɑn											
BESIDE_2	mɑlɑso																						
BESIDE_3	vɑksːo																						
BESIDE_4		kɤrvɑl																				kɤrvɤl	kɤrvɑl
BESIDE_5			ʋieresːæ																				
BESIDE_6				mɛlːɛtː																			
BESIDE_7					juːrez					dorɑs													
BESIDE_8							jolnə																
BESIDE_9								lunʲː					liʃne										
BESIDE_10													βoktene										
BESIDE_11														kɑdʲɑ									
BESIDE_12														ɲiːdʲə									
BESIDE_13																				vɤzɯn			
BESIDE_14																						ʎiʧi	
BIG_1	pokʃ																						
BIG_2		suːr	suːri		suːr	suːri		ʃuːrː			suːr						ʃurːɐ				sʊrʲ	suːr	suːrʲ
BIG_3			iso																				
BIG_4				nɒɟ								jɑniɣ											
BIG_5							eɳə																
BIG_6							loɣɑt																
BIG_7									ɯʤɯt	ɯʤɯd													
BIG_8													kuɣu										
BIG_9														ɑniʔə									
BIG_10															stʊ̯ɔris			stuʌrɛ					
BIG_11																uə̠rqə			ŋɑrkɑ				
BIG_12																				bɑʥːɯm			
BIRD_1	nɑrmuɲ																						
BIRD_2		lint	lintu		lind̥u	lintʊ		lɒːnʲːt			lind				lɔdti		lɔdʲːɘ	lɛtːiɛ			lind	lintu	
BIRD_3				mɒdaːr																			
BIRD_4							wɑjəɣ																
BIRD_5									kɑj														
BIRD_6										kiʦɑ													
BIRD_7										lebɑʨ													
BIRD_8												towəluːj											
BIRD_9													kɑjə̠k										
BIRD_10														təibəː									
BIRD_11																suːrəm~tilʧətisuːrəm							
BIRD_12																			tʲirtʲɑsɑrmʲik				
BIRD_13																				tɯloburdo			
BIRD_14																							ʦirk
BITE_1	rumʃtɑms																						
BITE_2	suskoms																						
BITE_3		hɑmːustɑtɑ									jɑmstə												
BITE_4			purːɑ		purːɑ	pʊrːɑ	por					puri	purɑm								pʊrdɑ	purɤmɑ	purɤmɑ
BITE_5								kaːʦʲːke							kaːskih		kaʦʲc͡çːɛd						
BITE_6									kurʨːɑvnɯ	kurtʲʨɯnɯ										kurtʨɯnɯ			
BITE_7														sɑkələsɑ									
BITE_8																sɑːʧə							
BITE_9																						ɑmːɤsːɤmɑ	
BITTER_1	sepej																						
BITTER_2	lɑʒɑɲɑ~korɕɑɲɑ																						
BITTER_3		kipe																					
BITTER_4		mɤru																					mɤro
BITTER_5			kitkeræ																				
BITTER_6			kɑrʋɑs						kurɯt	kurɯd	kɑrːi									kurɯt			
BITTER_7				kɛʃɛrvɛʃ														pæːʧkiɛs					
BITTER_8						kɑrkiɛ															kɑrɡɛd		
BITTER_9							wɑtʲər																
BITTER_10								pɨʧːker									pɛʧʲc͡çːɛr						
BITTER_11											kiˀbɟi		koʧo										
BITTER_12												oɕːəŋ											
BITTER_13														tɑsəɡəː									
BITTER_14																pɑriɲi							
BITTER_15																		pihʦɛds					
BLACK_1	rɑuʒo																						
BLACK_2		must	mustɑ		mustɑ	mʊstɑ					mustɑː										mʊst	mus	must
BLACK_3							pəɣtə																
BLACK_4								ʧɒːhpe							ʧaːhpːes		ʧɒpːɐd	ʧeːhpɛs					
BLACK_5									ɕɤd	ɕɤd										ɕɤd			
BLACK_6												seːməl	ʃeme										
BLACK_7														tusɑjkɑʔɑ									
BLACK_8																sæːqə							
BLACK_9																			pərʲidʲeːɲɑ				
BLOOD_1	verʲ	veri	ʋeri	veːr	veri	vɛri	wər	veːrː	vir	vir	vɛr		βyr		vɑrːɑ		vərːɐ	βɨrːɛ		vir	vɛri	veri	veri
BLOOD_2												wiɣər											
BLOOD_3												keːlp											
BLOOD_4														kɑm		kɤm							
BLOOD_5																			weːjɑ				
BLOW (OF WIND)_1	puvɑms												puem										
BLOW (OF WIND)_2		puhutɑ	puɦɑltɑː		puhɑd̥ɑ						puːˀɡə										pʊhʊdɑ	puhumɑ	puhkmɑ
BLOW (OF WIND)_3				fuːj																			
BLOW (OF WIND)_4							poχ					puwi				puː							
BLOW (OF WIND)_5								pɒːsːe															
BLOW (OF WIND)_6									pɤʎtnɯ	pɤʎɑlnɯ										peʎtɯnɯ			
BLOW (OF WIND)_7														hyələsɑ									
BLOW (OF WIND)_8																				tɤlɑnɯ			
BLUNT_1	noʃkɑ												nyʃkø										
BLUNT_2		nyri			nyrhi																	nyri	nyhr
BLUNT_3			tylsæ			tylʧːæ					tɨːlzɑ										tʏlʲʦ		
BLUNT_4				tompɒ																			
BLUNT_5							pelːəɣ									qɑmələʎ							
BLUNT_6								mierʲesʲ															
BLUNT_7									nɯʒ	nɯʒ										nɯʒ			
BLUNT_8												tɑʎəχsup											
BLUNT_9													tokmɑk										
BLUNT_10														tɯɑməː									
BLUNT_11															pɑstːɔhe̯æpme								
BLUNT_12																			tɨnxɑ				
BLUNT_13																						tylpʲː	
BONE_1	lovɑʒɑ																						
BONE_2	pɑkɑrʲ																						
BONE_3		luː	luː		luː	luː	loχ		lɯ	lɯ	luː	luw	lu			lɯː			lɨ	lɯ	lʊ	luː	luː
BONE_4		kont							koskɑ														
BONE_5				ʧont																			
BONE_6								taːxʲːt							taːkti		taxʲtʲːɘ						
BONE_7														lɑtəː									
BONE_8																		moɒruʌ					
BORE_1	peʎems																						
BORE_2		puːritɑ	porɑtɑ						pɯrɤtnɯ											portɯnɯ		burɑvoitːɤmɑ~puːrimɑ	puːrmɑ
BORE_3				fuːr																			
BORE_4								poːɡːe		bɯkɯnɯ		pɑːsɣi											
BORE_5													ʃytem										
BORE_6														ɕeðitəsɯ									
BORE_7																purət							
BORE_8																						uhɤrtimɑ	
BORROW_1	sɑjemsveʎɑtomɡɑ																						
BORROW_2		lɑenɑtːɑ	lɑinɑtɑ		lɑinɑd̥ɑ			laːjːne														lɑinɑmɑ	lɑinɑmɑ
BORROW_3				kølʧønøz																			
BORROW_4									oʥɤsɑvnɯ	uʤdɯnɯ													
BORROW_5													kysə̠lem										
BORROW_6														ətiːʔtəsɯ									
BORROW_7																səjmi							
BORROW_8																				punemɑnɯ			
BREAST_1	meʃtʲe																						
BREAST_2	potʲe																						
BREAST_3		rint	rintɑ		rind̥ɑ	rintɑ		ranʲːt			riːndɑ												rint
BREAST_4				mɛl			møɣəl					mɑːɣl											
BREAST_5								ninːʧ														rint	
BREAST_6									moros	morɤs													
BREAST_7													oŋ										
BREAST_8													ʧə̠ze										
BREAST_9														ɕinɕə									
BREAST_10																kɯːlə							
BREAST_11																				ɡɑdʲ			
BREATHE_1	ʎekɕems																						
BREATHE_2		hinkɑtːɑ	heŋːitːæː		heŋɡ̊itːæː	hɛŋkitːyæ					jɛŋɡə										hɛŋktæ	enʧimæ	hinkæmæ
BREATHE_3				leːlɛɡzik																			
BREATHE_4							lælt																
BREATHE_5								vuːjːne							vʊɛjɡŋɑh		vuəiŋːɐd	βuʌjŋɛhtidh					
BREATHE_6									lolɑvnɯ	lolɑvnɯ		lilæji								lulʥɯnɯ			
BREATHE_7													ʃylem										
BREATHE_8														bɑʧədʲɑ									
BREATHE_9																kuə̠j							
BREATHE_10																				ʃokɑnɯ			
BURN_1	pɑloms	pɤletɑ	pɑlɑː		pɑlɑː	pɑlʊɑ		puːlʲːe			pɑlːə				pʊ̯ɔlːih			pʉɛlɛdh			pɑlːɑdɑ	pɤlɤmɑ	pɑlɑmɑ
BURN_2				eːɡ																			
BURN_3							li																
BURN_4									soʨːɯnɯ	sotʲʨɯnɯ													
BURN_5										lomɑvnɯ										ʤuɑnɯ			
BURN_6												teːɣ											
BURN_7													jylem										
BURN_8																ɑm							
BURN_9																	pualʲdʲːɛd						
BURN_10																			pərɑdɑsʲ				
CARRY_1	kɑndoms	kɑntɑ	kɑntɑː		kɑntɑː	kɑntʊɑ		kuːnʲːte			kɑndə		kondem		kʊ̯ɔdtih	quə̠ntə	kuɛdʲdɛd	kʉɛtːɛdh			kɑntːɑ	kɑntɤmɑ	kɑntmɑ
CARRY_2				hord																			
CARRY_3				ʦipɛl																			
CARRY_4							ælt~tæl																
CARRY_5									novjɤtnɯ	novlɯnɯ										nulːɯnɯ			
CARRY_6										nɤbɑvnɯ													
CARRY_7												ɑːlmi											
CARRY_8												oːɲɕi											
CARRY_9													numɑlɑm										
CARRY_10														mɯndɯsɯ									
CARRY_11																						vɤmæ	
CHARCOAL_1	ɕedʲ	sysi									siˀʒ											sysi	
CHARCOAL_2			hiːli		hiːli	hiːli		ɨlː									ilːɐ				hilʲ	iːli	
CHARCOAL_3				seːn																			
CHARCOAL_4							søj						ʃyj										
CHARCOAL_5									ʃom	ʃom													
CHARCOAL_6												lotəχ											
CHARCOAL_7														torykyɕɑhuɑlə									
CHARCOAL_8															ʧitnɑ								
CHARCOAL_9																ʨuːʦ							
CHARCOAL_10																		ʧɨrːɛ					
CHARCOAL_11																			jɑtɑʔmɑ				
CHARCOAL_12																				eɡɯr			
CHARCOAL_13																							hyʦi
CHILD_1	ejdʲe																						
CHILD_2	ejkɑkʃ~pɑkʃɑ																						
CHILD_3		lɑpːs	lɑpsi		lɑps																lɑpsʲ	lɑhs	lɑʦʲ
CHILD_4				ɟɛrɛk			økəmot																
CHILD_5							ɲəŋikɯjɯ												ŋɑʦʲeːkɨ				
CHILD_6								paːrnenʧ															
CHILD_7									kɑɡɑ														
CHILD_8										ʨeʎɑdʲ													
CHILD_9												ɲɑːwrɑm											
CHILD_10												ɑːɣipiɣ											
CHILD_11													iɣeʃuβə̠										
CHILD_12													joʧɑ										
CHILD_13														ɲuə									
CHILD_14																iːŋɑ							
CHILD_15																				pinɑl			
CHILD_16																				nɯlpi			
CHILD (DESCENDANT)_1	ejdʲe																						
CHILD (DESCENDANT)_2	ejkɑkʃ~pɑkʃɑ																						
CHILD (DESCENDANT)_3		lɑpːs	lɑpsi		lɑps																lɑpsʲ	lɑhs	lɑʦʲ
CHILD (DESCENDANT)_4				ɟɛrɛk																			
CHILD (DESCENDANT)_5							ɲəŋikɯjɯ																
CHILD (DESCENDANT)_6								paːrːne															
CHILD (DESCENDANT)_7									ʨeʎɑdʲ	ʨeʎɑdʲ													
CHILD (DESCENDANT)_8									kɑɡɑ														
CHILD (DESCENDANT)_9												ɲɑːwrɑm											
CHILD (DESCENDANT)_10												ɑːɣipiɣ											
CHILD (DESCENDANT)_11													iɣeʃuβə̠										
CHILD (DESCENDANT)_12													joʧɑ										
CHILD (DESCENDANT)_13														ɲuː					ɲu				
CHILD (DESCENDANT)_14																iːŋɑ							
CHILD (DESCENDANT)_15																				pinɑl			
CHILD (DESCENDANT)_16																				nɯlpi			
CLEAN_1	vɑɲks																						
CLEAN_2		puhɑs	puxdɑs		puhɑz	pʊhɑs					puːˀdɨz				pʊhtes		puːtʲːɛs				pʊxtɑz	puhɑs	puhɑs
CLEAN_3				tistɒ																			
CLEAN_4								ʧiːlːk		peʎk													
CLEAN_5									sɤstɤm			sistɑm											
CLEAN_6													jɑndɑr										
CLEAN_7													ɑru										
CLEAN_8														ɲɑrɑjkuə									
CLEAN_9															raːjnːɑs			ræːjniɛs					
CLEAN_10																				ʨilkɯt			
CLEAN_11																				tɑzɑ			
CLEAN_12																						siːvo	
CLOUD_1	peʎ	pilv	pilʋi		pilvi	pilvi		peːvːl			piːlɑ		pə̠l		pɑlɑvɑ		pəlvːɐ	palβɛ			pilʲv	pilvi	pilvʲ
CLOUD_2	kovol																						
CLOUD_3				fɛlɦøː																			
CLOUD_4					tuːtsɑ											tiːtːə							
CLOUD_5							pələŋ													piʎem			
CLOUD_6									kɯmɤr	kɯmɤr													
CLOUD_7												tul							tʲir				
CLOUD_8														ʧiəðu									
CLOUD_9																						tuːʧ	
COLD_1	keʎme	kylm	kylmæ		kylmæ~kuːmɑ	kylmæ		kelmas			kiːlmɑ				kɑlmːɑs		kəːlmɐs	kalmɛ				ʧyl	kylm
COLD_2				hidɛɡ			ətʲəɣ																
COLD_3							jøɣli																
COLD_4									kɤʥɯt	kɤʥɯd										keʑɯt			
COLD_5												ɑɕərmɑ											
COLD_6													jyʃtø										
COLD_7														ʧəɕiɕi									
COLD_8																tɑɕːu			tʲeːʦʲdɑ				
COLD_9																					vilʊ		
COLD_10																						kɑhu	
COMB_1	surɕeme												ʃerɣe										
COMB_2		kɑmː									kɛm												kɑmmʲ
COMB_3			kɑmpɑ																				
COMB_4				feːʃyː																			
COMB_5					suɡ̊ɑ	sʊkɑ									ʧɔhkʊn						sʊɡɑ		
COMB_6					kriepinɑ																	ɡreːbeni	
COMB_7							køɳʧiw																
COMB_8								ʧɒːɡʲː												sɯn			
COMB_9									sɯnɑn	sɯnɑn													
COMB_10												ɒːrip											
COMB_11																tipsiɲ							
COMB_12																	ʧɔːɣːɒm						
COMB_13																		kɑːmpɛ					
COMB_14																			tʲirʦʲ				
COME_1	sɑms																						
COME_2		tulːɑ	tulːɑ		tulːɑ	tʊlːɑ					tuːldɑ		tolɑm								tʊldɑ	tulɤmɑ	tulɤmɑ
COME_3				jøn																			
COME_4							jø~joχət																
COME_5								puedʲːe							pɔ̯ɑhtih		puɛtʲːɛd	poætɛdh					
COME_6									loknɯ	loknɯ										lɯktɯnɯ			
COME_7										vonɯ										vuɯnɯ			
COME_8												jiw											
COME_9														tujɕɑ		tyː			toːsʲ				
COOKED_1	pidʲeʑ											pɑːjti											
COOKED_2		keːtetːut	keitetːy		keid̥etːy																		keːtetyʔ
COOKED_3				føːtː					puɤm														
COOKED_4							kœɣrəm						ʃoltem										
COOKED_5								kɨpʲːtma															
COOKED_6										punɯ										pɤʑɯnɯ			
COOKED_7														hiriməː									
COOKED_8																muɕə							
CORRECT_1	vidʲe																						
CORRECT_2		ɤike	oikeɑ		oikiɑ	ɔikiɛ					ɨiɡi										ɔiɡɛd		ɤikɤ
CORRECT_3				iɡɒz																			
CORRECT_4				hɛjɛʃ																			
CORRECT_5								vuːjːk															
CORRECT_6									prɑviʎnɤj														
CORRECT_7										veɕkɯd													
CORRECT_8												jomɑs											
CORRECT_9													ʧə̠n										
CORRECT_10														ŋəðiʔtəkə									
CORRECT_11																tɑːt							
CORRECT_12																	vuəiɣɐs						
CORRECT_13																		rɨɛktɛ					
CORRECT_14																			ɲeːnæsʲɑ				
CORRECT_15																				ʃoɲer			
CORRECT_16																						pɑrɑliːn	
CORRECT_17																						pæriz	
COUNT_1	lovoms																						
