Concept	BaseConcept	N_Languages	N_Families	Families
BEHIND	BEHIND	33	2	Uralic; Balto-Slavic
CHARCOAL	CHARCOAL	33	2	Uralic; Balto-Slavic
FACE	FACE	33	2	Uralic; Balto-Slavic
FOX	FOX	33	2	Uralic; Balto-Slavic
PIECE	PIECE	33	2	Uralic; Balto-Slavic
SOUR	SOUR	33	2	Turkic; Balto-Slavic
SUMMER	SUMMER	33	2	Uralic; Balto-Slavic
UNCLE	UNCLE	33	2	Uralic; Balto-Slavic
WORD	WORD	33	2	Uralic; Balto-Slavic
BECOME	BECOME	32	2	Uralic; Balto-Slavic
COMB	COMB	32	2	Uralic; Balto-Slavic
DIVIDE	DIVIDE	32	2	Uralic; Balto-Slavic
GATHER	GATHER	32	2	Uralic; Balto-Slavic
GIRL	GIRL	32	2	Uralic; Balto-Slavic
HEEL	HEEL	32	2	Uralic; Balto-Slavic
MORNING	MORNING	32	2	Uralic; Balto-Slavic
SONG	SONG	32	2	Uralic; Balto-Slavic
TEACH	TEACH	32	2	Uralic; Balto-Slavic
WHISTLE	WHISTLE	32	2	Uralic; Balto-Slavic
BEGIN	BEGIN	31	2	Uralic; Balto-Slavic
BERRY	BERRY	31	2	Uralic; Balto-Slavic
DEAF	DEAF	31	2	Uralic; Balto-Slavic
LIFT	LIFT	31	2	Uralic; Balto-Slavic
ONLY	ONLY	31	2	Uralic; Balto-Slavic
SOME	SOME	31	2	Uralic; Arabic
TOUCH	TOUCH	31	2	Uralic; Balto-Slavic
CLEAN	CLEAN	30	2	Uralic; Balto-Slavic
OLD (AGED)	OLD	30	2	Balto-Slavic; Sinitic
PATH	PATH OR ROAD	30	2	Balto-Slavic; Sinitic
RAINBOW	RAINBOW	30	2	Uralic; Balto-Slavic
SHAKE	SHAKE	30	2	Uralic; Balto-Slavic
SISTER	SISTER	30	2	Uralic; Balto-Slavic
SOON	SOON	30	2	Uralic; Balto-Slavic
THINK (REFLECT)	THINK	30	2	Balto-Slavic; Sinitic
DISAPPEAR	DISAPPEAR	29	2	Uralic; Balto-Slavic
FOREHEAD	FOREHEAD	29	2	Turkic; Balto-Slavic
THIGH	THIGH	29	2	Uralic; Balto-Slavic
BATHE	BATHE	28	2	Uralic; Balto-Slavic
GROAN	GROAN	28	2	Uralic; Balto-Slavic
SHUT	SHUT	28	2	Uralic; Balto-Slavic
BAKE	BAKE	27	2	Uralic; Balto-Slavic
BURNING	BURN	27	2	Balto-Slavic; Arabic
MIND	MIND	27	2	Uralic; Balto-Slavic
TWENTY	TWENTY	27	2	Balto-Slavic; Polynesian
BE HUNGRY	BE HUNGRY	30	2	Uralic; Balto-Slavic
LEAVE	LEAVE	26	2	Uralic; Balto-Slavic
LIGHT (IGNITE)	LIGHT (IGNITE)	31	2	Uralic; Balto-Slavic
SOUND OR NOISE	SOUND OR NOISE	32	2	Uralic; Balto-Slavic
KEEP	KEEP	25	2	Uralic; Balto-Slavic
ARRIVE	ARRIVE	24	2	Uralic; Balto-Slavic
FIFTY	FIFTY	24	2	Balto-Slavic; Polynesian
PICK UP	PICK UP	22	2	Uralic; Balto-Slavic
THIN (OF LEAF AND CLOTH)	THIN	21	2	Hokan; Sinitic
THIN (OF SHAPE OF OBJECT)	THIN	19	2	Balto-Slavic; Hokan
COLD (OF WEATHER)	COLD	58	1	Italic
WARM (OF WEATHER)	WARM	58	1	Italic
BE DEAD OR DIE	DIE	31	1	Polynesian
FASTEN	FASTEN	31	1	Polynesian
ARM OR HAND	HAND	31	1	Turkic
LIGHTNING	LIGHTNING	31	1	Polynesian
MOUNTAIN OR HILL	MOUNTAIN	31	1	Turkic
NO OR NOT	NOT	31	1	Polynesian
PATH OR ROAD	PATH OR ROAD	51	2	Uralic; Polynesian
FEMALE PERSON	WOMAN	31	1	Polynesian
BAD OR EVIL	BAD OR EVIL	30	1	Polynesian
BOTTOM	BOTTOM	30	1	Turkic
CUT OR HACK	CUT	30	1	Polynesian
FEMALE (OF AN ANIMAL) (N.)	FEMALE ANIMAL	30	1	Turkic
FIREWOOD	FIREWOOD	30	1	Turkic
INTESTINES	INTESTINES	30	1	Polynesian
PAINFUL OR SICK	PAINFUL OR SICK	30	1	Polynesian
DEEP	DEEP	29	1	Turkic
RAT	RAT	29	1	Polynesian
UPPER LEG (THIGH)	UPPER LEG (THIGH)	29	1	Turkic
WHICH	WHICH	29	1	Turkic
TALL	TALL	28	1	Turkic
POUND	POUND	26	1	Polynesian
THATCH OR ROOF	ROOF	26	1	Polynesian
PLANT (SOMETHING)	PLANT (SOMETHING)	25	1	Polynesian
PUS	PUS	25	1	Turkic
SHY OR ASHAMED	SHY OR ASHAMED	25	1	Polynesian
SPIN	SPIN	24	1	Turkic
WEAVE	WEAVE	24	1	Turkic
NASAL MUCUS (SNOT)	SNOT	23	1	Turkic
YAWN	YAWN	23	1	Polynesian
CLAW OR NAIL	FINGERNAIL	19	1	Hokan
FLOWING BODY OF WATER	FLOWING BODY OF WATER	19	1	Sinitic
HOLD OR TAKE	HOLD OR TAKE	19	1	Sinitic
KNOW	KNOW	41	2	Uralic; Dravidian
FLESH	MEAT	19	1	Sinitic
NUMBER	NUMBER	19	1	Sinitic
STRIKE	STRIKE	19	1	Sinitic
HEAD LOUSE	LOUSE	17	1	Dravidian
EXTINGUISH	EXTINGUISH	15	1	Uralic
TIRED	TIRED	15	1	Uralic
TOP	TOP	15	1	Uralic
TWIST (AROUND)	TWIST (AROUND)	15	1	Uralic
ARMPIT	ARMPIT	14	1	Uralic
BESIDE	BESIDE	14	1	Uralic
COOKED	COOKED	14	1	Uralic
CUT DOWN	CUT DOWN	14	1	Uralic
HEN	HEN	14	1	Uralic
LOSE	LOSE	14	1	Uralic
LUNG	LUNG	14	1	Uralic
NIT	NIT	14	1	Uralic
ROAST OR FRY	ROAST OR FRY	14	1	Uralic
SHALLOW	SHALLOW	14	1	Uralic
SON-IN-LAW	SON-IN-LAW	14	1	Uralic
STRETCH	STRETCH	14	1	Uralic
TESTICLES	TESTICLES	14	1	Uralic
TREE STUMP	TREE STUMP	14	1	Uralic
BAT	BAT	13	1	Uralic
BORE	BORE	13	1	Uralic
BORROW	BORROW	13	1	Uralic
EARLY	EARLY	13	1	Uralic
SALTY	SALTY	13	1	Uralic
SHIT (DEFECATE)	SHIT (DEFECATE)	13	1	Uralic
STINKING	STINKING	13	1	Uralic
TRAP (CATCH)	TRAP (CATCH)	13	1	Uralic
MOLAR TOOTH	MOLAR TOOTH	12	1	Uralic
SNIFF	SNIFF	12	1	Uralic
ACHE	ACHE	11	1	Balto-Slavic
AFTERWARDS	AFTERWARDS	11	1	Balto-Slavic
AGAIN	AGAIN	11	1	Balto-Slavic
AGE	AGE	11	1	Balto-Slavic
AIR	AIR	11	1	Balto-Slavic
ALONE	ALONE	11	1	Balto-Slavic
ALREADY	ALREADY	11	1	Balto-Slavic
ALWAYS	ALWAYS	11	1	Balto-Slavic
APPLE	APPLE	11	1	Balto-Slavic
ARM	ARM	11	1	Balto-Slavic
ARROW	ARROW	11	1	Balto-Slavic
ASK (INQUIRE)	ASK (INQUIRE)	11	1	Balto-Slavic
AUNT	AUNT	11	1	Balto-Slavic
AUTUMN	AUTUMN	11	1	Balto-Slavic
BAD LUCK	BAD LUCK	11	1	Balto-Slavic
BAG	BAG	11	1	Balto-Slavic
BARKING	BARKING	11	1	Balto-Slavic
BAY	BAY	11	1	Balto-Slavic
BE ABLE	BE ABLE	11	1	Balto-Slavic
BE BORN	BE BORN	11	1	Balto-Slavic
BEAR	BEAR	11	1	Balto-Slavic
BEARD	BEARD	11	1	Balto-Slavic
BEAUTIFUL	BEAUTIFUL	11	1	Balto-Slavic
BECOME SICK	BECOME SICK	11	1	Balto-Slavic
BED	BED	11	1	Balto-Slavic
BEFORE	BEFORE	11	1	Balto-Slavic
BELIEVE	BELIEVE	11	1	Balto-Slavic
BELT	BELT	11	1	Balto-Slavic
BEND	BEND	11	1	Balto-Slavic
BEND (SOMETHING)	BEND (SOMETHING)	11	1	Balto-Slavic
BETRAY	BETRAY	11	1	Balto-Slavic
BETWEEN	BETWEEN	11	1	Balto-Slavic
BIRCH	BIRCH	11	1	Balto-Slavic
BLANKET	BLANKET	11	1	Balto-Slavic
BLIND	BLIND	11	1	Balto-Slavic
BLOW (WITH MOUTH)	BLOW (WITH MOUTH)	11	1	Balto-Slavic
BLUE	BLUE	11	1	Balto-Slavic
BOARD	BOARD	11	1	Balto-Slavic
BOAST	BOAST	11	1	Balto-Slavic
BOAT	BOAT	11	1	Balto-Slavic
BODY	BODY	11	1	Balto-Slavic
BOIL (OF LIQUID)	BOIL (OF LIQUID)	11	1	Balto-Slavic
BOIL (SOMETHING)	BOIL (SOMETHING)	11	1	Balto-Slavic
BOOK	BOOK	11	1	Balto-Slavic
BOOT	BOOT	11	1	Balto-Slavic
BORDER	BORDER	11	1	Balto-Slavic
BOW	BOW	11	1	Balto-Slavic
BOX	BOX	11	1	Balto-Slavic
BOY	BOY	11	1	Balto-Slavic
BREAD	BREAD	11	1	Balto-Slavic
BREAK (DESTROY OR GET DESTROYED)	BREAK (DESTROY OR GET DESTROYED)	11	1	Balto-Slavic
BREATH	BREATH	11	1	Balto-Slavic
BRIDGE	BRIDGE	11	1	Balto-Slavic
BRIGHT	BRIGHT	11	1	Balto-Slavic
BRING	BRING	11	1	Balto-Slavic
BROOM	BROOM	11	1	Balto-Slavic
BROTHER	BROTHER	11	2	Balto-Slavic
BUCKET	BUCKET	11	1	Balto-Slavic
BUILD	BUILD	11	1	Balto-Slavic
BULL	BULL	11	1	Balto-Slavic
BUTTER	BUTTER	11	1	Balto-Slavic
BUTTERFLY	BUTTERFLY	11	1	Balto-Slavic
BUTTON	BUTTON	11	1	Balto-Slavic
CALL	CALL	11	1	Balto-Slavic
CALL BY NAME	CALL BY NAME	11	1	Balto-Slavic
CAP	CAP	11	1	Balto-Slavic
CAT	CAT	11	1	Balto-Slavic
CATCH	CATCH	11	1	Balto-Slavic
CAVE	CAVE	11	1	Balto-Slavic
CEASE	CEASE	11	1	Balto-Slavic
CHAIR	CHAIR	11	1	Balto-Slavic
CHANGE	CHANGE	11	1	Balto-Slavic
CHARACTER	CHARACTER	11	1	Balto-Slavic
CHEAP	CHEAP	11	1	Balto-Slavic
CHEST	CHEST	11	1	Balto-Slavic
CHICKEN	CHICKEN	11	1	Balto-Slavic
CHOP	CHOP	11	1	Balto-Slavic
CHURCH	CHURCH	11	1	Balto-Slavic
CIRCLE	CIRCLE	11	1	Balto-Slavic
CLAY	CLAY	11	1	Balto-Slavic
CLEAN (SOMETHING)	CLEAN (SOMETHING)	11	1	Balto-Slavic
CLEVER	CLEVER	11	1	Balto-Slavic
CLOSED	CLOSED	11	1	Balto-Slavic
CLOTH	CLOTH	11	1	Balto-Slavic
CLOTHES	CLOTHES	11	1	Balto-Slavic
COAST	COAST	11	1	Balto-Slavic
COLLAR	COLLAR	11	1	Balto-Slavic
COMB (VERB)	COMB (VERB)	11	1	Balto-Slavic
COME BACK	COME BACK	11	1	Balto-Slavic
CORNER	CORNER	11	1	Balto-Slavic
COUNTRY	COUNTRY	11	1	Balto-Slavic
COW	COW	11	1	Balto-Slavic
CRANE	CRANE	11	1	Balto-Slavic
CRAWL	CRAWL	11	1	Balto-Slavic
CROSS	CROSS	11	1	Balto-Slavic
CROW	CROW	11	1	Balto-Slavic
CUP	CUP	11	1	Balto-Slavic
DAMAGE	DAMAGE	11	1	Balto-Slavic
DANCE	DANCE	11	1	Balto-Slavic
DARK	DARK	11	1	Balto-Slavic
DAUGHTER	DAUGHTER	11	1	Balto-Slavic
DEAR	DEAR	11	1	Balto-Slavic
DEATH	DEATH	11	1	Balto-Slavic
DECORATE	DECORATE	11	1	Balto-Slavic
DEFEND	DEFEND	11	1	Balto-Slavic
DESIRE	DESIRE	11	1	Balto-Slavic
DESTROY	DESTROY	11	1	Balto-Slavic
DEXTEROUS	DEXTEROUS	11	1	Balto-Slavic
DIFFERENT	DIFFERENT	11	1	Balto-Slavic
DILIGENT	DILIGENT	11	1	Balto-Slavic
DIRT	DIRT	11	1	Balto-Slavic
DISEASE	DISEASE	11	1	Balto-Slavic
DIVE	DIVE	11	1	Balto-Slavic
DO	DO	11	1	Balto-Slavic
DOLL	DOLL	11	1	Balto-Slavic
DONATE	DONATE	11	1	Balto-Slavic
DOOR	DOOR	11	1	Balto-Slavic
DOWN	DOWN	11	1	Balto-Slavic
DOWN OR BELOW	DOWN OR BELOW	11	1	Balto-Slavic
DRAG	DRAG	11	1	Balto-Slavic
DRAW MILK	DRAW MILK	11	1	Balto-Slavic
DREAM	DREAM	27	2	Uralic; Balto-Slavic
DRESS UP	DRESS UP	11	1	Balto-Slavic
DRIVE	DRIVE	11	1	Balto-Slavic
DRY UP	DRY UP	11	1	Balto-Slavic
DUCK	DUCK	11	1	Balto-Slavic
DWELL (LIVE, RESIDE)	DWELL	11	1	Balto-Slavic
DYE	DYE	11	1	Balto-Slavic
EAGLE	EAGLE	11	1	Balto-Slavic
EAST	EAST	11	1	Balto-Slavic
EIGHTY	EIGHTY	11	1	Balto-Slavic
ELBOW	ELBOW	11	1	Balto-Slavic
ELEVEN	ELEVEN	11	1	Balto-Slavic
ELK	ELK	11	1	Balto-Slavic
EMPTY	EMPTY	11	1	Balto-Slavic
END (OF SPACE)	END (OF SPACE)	11	1	Balto-Slavic
END (OF TIME)	END (OF TIME)	11	1	Balto-Slavic
ENDURE	ENDURE	11	1	Balto-Slavic
ENEMY	ENEMY	11	1	Balto-Slavic
ENTER	ENTER	11	1	Balto-Slavic
ESCAPE	ESCAPE	11	1	Balto-Slavic
EVENING	EVENING	11	1	Balto-Slavic
EVIL	EVIL	11	1	Balto-Slavic
EXPENSIVE	EXPENSIVE	11	1	Balto-Slavic
FALL ASLEEP	FALL ASLEEP	11	1	Balto-Slavic
FAME	FAME	11	1	Balto-Slavic
FAMILY	FAMILY	11	1	Balto-Slavic
FAT (OBESE)	FAT (OBESE)	11	1	Balto-Slavic
FAULT	FAULT	11	1	Balto-Slavic
FEBRUARY	FEBRUARY	11	1	Balto-Slavic
FEED	FEED	11	1	Balto-Slavic
FEEL (TACTUALLY)	FEEL (TACTUALLY)	11	1	Balto-Slavic
FENCE	FENCE	11	1	Balto-Slavic
FEVER	FEVER	11	1	Balto-Slavic
FILL	FILL	11	1	Balto-Slavic
FINGER	FINGER	11	1	Balto-Slavic
FINGERNAIL OR TOENAIL	FINGERNAIL	11	1	Balto-Slavic
FINISH	FINISH	11	1	Balto-Slavic
FIR	FIR	11	1	Balto-Slavic
FIRST	FIRST	11	1	Balto-Slavic
FLAT	FLAT	11	1	Balto-Slavic
FLEE	FLEE	11	1	Balto-Slavic
FLOOR	FLOOR	11	1	Balto-Slavic
FOOD	FOOD	11	1	Balto-Slavic
FOR A LONG TIME	FOR A LONG TIME	11	1	Balto-Slavic
FOREIGN	FOREIGN	11	1	Balto-Slavic
FORGET	FORGET	11	1	Balto-Slavic
FORK	FORK	11	1	Balto-Slavic
FORTY	FORTY	11	1	Balto-Slavic
FRESH	FRESH	11	1	Balto-Slavic
FRIDAY	FRIDAY	11	1	Balto-Slavic
FRIEND	FRIEND	11	1	Balto-Slavic
FROST	FROST	11	1	Balto-Slavic
FRY	FRY	11	1	Balto-Slavic
FUR	FUR	11	1	Balto-Slavic
GAME	GAME	11	1	Balto-Slavic
GENTLE	GENTLE	11	1	Balto-Slavic
GET	GET	11	1	Balto-Slavic
GET TIRED	GET TIRED	11	1	Balto-Slavic
GLASS	GLASS	11	1	Balto-Slavic
GOD	GOD	11	1	Balto-Slavic
GOLD	GOLD	11	1	Balto-Slavic
GOOD-LOOKING	GOOD-LOOKING	11	1	Balto-Slavic
GOOSE	GOOSE	11	1	Balto-Slavic
GRAIN	GRAIN	11	1	Balto-Slavic
GRANDFATHER	GRANDFATHER	11	1	Balto-Slavic
GRANDMOTHER	GRANDMOTHER	11	1	Balto-Slavic
GRAVE	GRAVE	11	1	Balto-Slavic
GREY	GREY	11	1	Balto-Slavic
GRIEF	GRIEF	11	1	Balto-Slavic
GROUND	GROUND	11	1	Balto-Slavic
GUEST	GUEST	11	1	Balto-Slavic
GUN	GUN	11	1	Balto-Slavic
HALF	HALF	11	1	Balto-Slavic
HANDLE	HANDLE	11	1	Balto-Slavic
HANG UP	HANG UP	11	1	Balto-Slavic
HAPPEN	HAPPEN	11	1	Balto-Slavic
HARE	HARE	11	1	Balto-Slavic
HAY	HAY	11	1	Balto-Slavic
HEALTHY	HEALTHY	11	1	Balto-Slavic
HEAT	HEAT	11	1	Balto-Slavic
HELP	HELP	11	1	Balto-Slavic
HILL	HILL	11	1	Balto-Slavic
HINDER	HINDER	11	1	Balto-Slavic
HOME	HOME	11	1	Balto-Slavic
HONEY	HONEY	11	1	Balto-Slavic
HOOK	HOOK	11	1	Balto-Slavic
HORSE	HORSE	11	1	Balto-Slavic
HOW MUCH	HOW MUCH	11	1	Balto-Slavic
HOWL	HOWL	11	1	Balto-Slavic
HUNGER	HUNGER	11	1	Balto-Slavic
IDOL	IDOL	11	1	Balto-Slavic
IN FRONT OF	IN FRONT OF	11	1	Balto-Slavic
IN VAIN	IN VAIN	11	1	Balto-Slavic
INCREASE	INCREASE	11	1	Balto-Slavic
INVITE	INVITE	11	1	Balto-Slavic
IRON	IRON	11	1	Balto-Slavic
ISLAND	ISLAND	11	1	Balto-Slavic
JANUARY	JANUARY	11	1	Balto-Slavic
JAW	JAW	11	1	Balto-Slavic
JOIN	JOIN	11	1	Balto-Slavic
JOY	JOY	11	1	Balto-Slavic
KETTLE	KETTLE	11	1	Balto-Slavic
KICK	KICK	11	1	Balto-Slavic
KIND (THING)	KIND (THING)	11	1	Balto-Slavic
KING	KING	11	1	Balto-Slavic
KISS	KISS	11	1	Balto-Slavic
KNIFE	KNIFE	11	1	Balto-Slavic
KNOCK	KNOCK	11	1	Balto-Slavic
KNOT	KNOT	11	1	Balto-Slavic
LADDER	LADDER	11	1	Balto-Slavic
LANGUAGE	LANGUAGE	11	1	Balto-Slavic
LAST (FINAL)	LAST (FINAL)	11	1	Balto-Slavic
LAY (VERB)	LAY (VERB)	11	1	Balto-Slavic
LAZY	LAZY	11	1	Balto-Slavic
LEAD (GUIDE)	LEAD	11	1	Balto-Slavic
LEARN	LEARN	11	1	Balto-Slavic
LEATHER	LEATHER	11	1	Balto-Slavic
LENGTH	LENGTH	11	1	Balto-Slavic
LETTER	LETTER	11	1	Balto-Slavic
LID (COVER, CAP)	LID	11	1	Balto-Slavic
LIFE	LIFE	11	1	Balto-Slavic
LIGHT (RADIATION)	LIGHT	11	1	Balto-Slavic
LIKE	LIKE	11	1	Balto-Slavic
LINE	LINE	11	1	Balto-Slavic
LIP	LIP	11	1	Balto-Slavic
LISTEN	LISTEN	11	1	Balto-Slavic
LOAD	LOAD	11	1	Balto-Slavic
LOCK	LOCK	11	1	Balto-Slavic
LOUD	LOUD	11	1	Uralic
LOVE	LOVE	11	1	Balto-Slavic
MAINLAND	MAINLAND	11	1	Balto-Slavic
MAKE	MAKE	11	1	Balto-Slavic
MEAL	MEAL	11	1	Balto-Slavic
MEASURE	MEASURE	11	1	Balto-Slavic
MEDICINE	MEDICINE	11	1	Balto-Slavic
MEET	MEET	11	1	Balto-Slavic
MELT	MELT	11	1	Balto-Slavic
MEMORY	MEMORY	11	1	Balto-Slavic
MERRY	MERRY	11	1	Balto-Slavic
MIDDAY	MIDDAY	11	1	Balto-Slavic
MIDDLE	MIDDLE	11	1	Balto-Slavic
MILK	MILK	11	1	Balto-Slavic
MIRROR	MIRROR	11	1	Balto-Slavic
MISTAKE	MISTAKE	11	1	Balto-Slavic
MONDAY	MONDAY	11	1	Balto-Slavic
MONEY	MONEY	11	1	Balto-Slavic
MOUSE	MOUSE	11	1	Balto-Slavic
MOUSTACHE	MOUSTACHE	11	1	Balto-Slavic
MUSHROOM	MUSHROOM	11	1	Balto-Slavic
NAIL (TOOL)	NAIL (TOOL)	11	1	Balto-Slavic
NAKED	NAKED	11	1	Balto-Slavic
NAPE (OF NECK)	NECK	11	1	Balto-Slavic
NEST	NEST	11	1	Balto-Slavic
NEVER	NEVER	11	1	Balto-Slavic
NEWSPAPER	NEWSPAPER	11	1	Balto-Slavic
NINETY	NINETY	11	1	Balto-Slavic
NOISE	NOISE	11	1	Balto-Slavic
NOOSE	NOOSE	11	1	Balto-Slavic
NORTH	NORTH	11	1	Balto-Slavic
NOW	NOW	11	1	Balto-Slavic
OFTEN	OFTEN	11	1	Balto-Slavic
OIL (ORGANIC SUBSTANCE)	OIL (ORGANIC SUBSTANCE)	11	1	Balto-Slavic
ONE TIME	ONE TIME	11	1	Balto-Slavic
ONION	ONION	11	1	Balto-Slavic
OR	OR	11	1	Balto-Slavic
OWL	OWL	11	1	Balto-Slavic
OWN	OWN	11	1	Balto-Slavic
PADDLE	PADDLE	11	1	Balto-Slavic
PAIN	PAIN	11	1	Balto-Slavic
PAINT (PIGMENTS)	PAINT (PIGMENTS)	11	1	Balto-Slavic
PAINTING	PAINTING	11	1	Balto-Slavic
PALM OF HAND	PALM OF HAND	11	1	Balto-Slavic
PARENTS	PARENTS	11	1	Balto-Slavic
PART	PART	11	1	Balto-Slavic
PASS	PASS	11	1	Balto-Slavic
PASTURE	PASTURE	11	1	Balto-Slavic
PAY	PAY	11	1	Balto-Slavic
PEOPLE	PEOPLE	11	1	Balto-Slavic
PHYSICIAN	PHYSICIAN	11	1	Balto-Slavic
PICK	PICK	11	1	Balto-Slavic
PICTURE	PICTURE	11	1	Balto-Slavic
PIG	PIG	11	1	Balto-Slavic
PILLOW	PILLOW	11	1	Balto-Slavic
PINE	PINE	11	1	Balto-Slavic
PIT (POTHOLE)	PIT	11	1	Balto-Slavic
PLACE (POSITION)	PLACE (POSITION)	11	1	Balto-Slavic
POINTED	POINTED	11	1	Balto-Slavic
POOR	POOR	11	1	Balto-Slavic
POT	POT	11	1	Balto-Slavic
POUR	POUR	11	1	Balto-Slavic
POWER	POWER	11	1	Balto-Slavic
PRAISE	PRAISE	11	1	Balto-Slavic
PRECIPICE	PRECIPICE	11	1	Balto-Slavic
PRESERVE	PRESERVE	11	1	Balto-Slavic
PRESS	PRESS	11	1	Balto-Slavic
PRICE	PRICE	11	1	Balto-Slavic
PROMISE	PROMISE	11	1	Balto-Slavic
PUT	PUT	11	1	Balto-Slavic
QUIET	QUIET	11	1	Balto-Slavic
RAISE	RAISE	11	1	Balto-Slavic
RAISE (A CHILD)	RAISE (A CHILD)	11	1	Balto-Slavic
READ	READ	11	1	Balto-Slavic
RECOVER	RECOVER	11	1	Balto-Slavic
REMEMBER	REMEMBER	11	1	Balto-Slavic
REPAIR	REPAIR	11	1	Balto-Slavic
RESCUE	RESCUE	11	1	Balto-Slavic
REST	REST	11	1	Balto-Slavic
RESULT IN	RESULT IN	11	1	Balto-Slavic
RICH	RICH	11	1	Balto-Slavic
RING	RING	11	1	Balto-Slavic
RIPEN	RIPEN	11	1	Balto-Slavic
ROCK	STONE	11	1	Balto-Slavic
ROOF	ROOF	11	1	Balto-Slavic
ROOSTER	ROOSTER	11	1	Balto-Slavic
ROUGH	ROUGH	11	1	Uralic
ROW	ROW	11	1	Balto-Slavic
RULE	RULE	11	1	Balto-Slavic
SAD	SAD	11	1	Balto-Slavic
SATURDAY	SATURDAY	11	1	Balto-Slavic
SCRAPE	SCRAPE	11	1	Balto-Slavic
SECOND	SECOND	11	1	Balto-Slavic
SEEM	SEEM	11	1	Balto-Slavic
SELL	SELL	11	1	Balto-Slavic
SEND	SEND	11	1	Balto-Slavic
SET (HEAVENLY BODIES)	SET (HEAVENLY BODIES)	11	1	Balto-Slavic
SEVENTY	SEVENTY	11	1	Balto-Slavic
SEVERE	SEVERE	11	1	Balto-Slavic
SHARE	SHARE	11	1	Uralic
SHARPEN (SOMETHING)	SHARPEN (SOMETHING)	11	1	Balto-Slavic
SHEEP	SHEEP	11	1	Balto-Slavic
SHELF	SHELF	11	1	Balto-Slavic
SHELL	SHELL	11	1	Uralic
SHINE	SHINE	11	1	Balto-Slavic
SHIRT	SHIRT	11	1	Balto-Slavic
SHIVER	SHIVER	11	1	Balto-Slavic
SHOE	SHOE	11	1	Balto-Slavic
SHOP	SHOP	11	1	Balto-Slavic
SHORE	SHORE	11	1	Balto-Slavic
SHOUT	SHOUT	11	1	Balto-Slavic
SHOVEL	SHOVEL	11	1	Balto-Slavic
SHOW	SHOW	11	1	Balto-Slavic
SICK	SICK	11	1	Balto-Slavic
SILVER	SILVER	11	1	Balto-Slavic
SIT DOWN	SIT DOWN	11	1	Balto-Slavic
SIXTY	SIXTY	11	1	Balto-Slavic
SKIN (OF FRUIT)	SKIN (OF FRUIT)	11	1	Balto-Slavic
SLEDGE	SLEDGE	11	1	Balto-Slavic
SOMETIMES	SOMETIMES	11	1	Balto-Slavic
SON	SON	11	1	Balto-Slavic
SOUP	SOUP	11	1	Balto-Slavic
SOUTH	SOUTH	11	1	Balto-Slavic
SPADE	SPADE	11	1	Balto-Slavic
SPARK	SPARK	11	1	Balto-Slavic
SPEAK	SPEAK	11	1	Balto-Slavic
SPEECH	SPEECH	11	1	Balto-Slavic
SPIRIT	SPIRIT	11	1	Balto-Slavic
SPOIL (BECOME SPOILED)	SPOIL (BECOME SPOILED)	11	1	Balto-Slavic
SPOIL (SOMEBODY OR SOMETHING)	SPOIL (SOMEBODY OR SOMETHING)	11	1	Balto-Slavic
SPOON	SPOON	11	1	Balto-Slavic
SPRING (OF WATER)	SPRING (OF WATER)	11	1	Balto-Slavic
SPRINGTIME	SPRINGTIME	11	1	Balto-Slavic
SQUIRREL	SQUIRREL	11	1	Balto-Slavic
STAND UP	STAND UP	11	1	Balto-Slavic
STEP (VERB)	STEP (VERB)	11	1	Balto-Slavic
STING	STING	11	1	Balto-Slavic
STINGY	STINGY	11	1	Balto-Slavic
STOMACH	STOMACH	11	1	Balto-Slavic
STORY	STORY	11	1	Balto-Slavic
STOVE	STOVE	11	1	Balto-Slavic
STRENGTH	STRENGTH	11	1	Balto-Slavic
STRING	STRING	11	1	Balto-Slavic
STRONG	STRONG	11	1	Balto-Slavic
STUPID	STUPID	11	1	Balto-Slavic
SUCCEED	SUCCEED	11	1	Balto-Slavic
SUMMIT	SUMMIT	11	1	Balto-Slavic
SUNDAY	SUNDAY	11	1	Balto-Slavic
SWAMP	SWAMP	11	1	Balto-Slavic
SWAY	SWAY	11	1	Balto-Slavic
SWEEP	SWEEP	11	1	Balto-Slavic
TABLE	TABLE	11	1	Balto-Slavic
TASTE	TASTE	11	1	Balto-Slavic
TASTE (SOMETHING)	TASTE (SOMETHING)	11	1	Balto-Slavic
TASTY	TASTY	11	1	Balto-Slavic
TEA	TEA	11	1	Balto-Slavic
TEACHER	TEACHER	11	1	Balto-Slavic
TEAR (OF EYE)	TEAR	11	1	Balto-Slavic
TELL	TELL	11	1	Balto-Slavic
TENDON	TENDON	11	1	Balto-Slavic
FINE OR THIN	THIN	11	1	Balto-Slavic
THIN (SLIM)	THIN (SLIM)	11	1	Balto-Slavic
THING	THING	11	1	Balto-Slavic
THIRD	THIRD	11	1	Balto-Slavic
THIRTY	THIRTY	11	1	Balto-Slavic
THREAD	THREAD	11	1	Balto-Slavic
THROUGH	THROUGH	11	1	Balto-Slavic
THUNDER (VERB)	THUNDER (VERB)	11	1	Balto-Slavic
THURSDAY	THURSDAY	11	1	Balto-Slavic
TIME	TIME	11	1	Balto-Slavic
TODAY	TODAY	11	1	Balto-Slavic
TOE	TOE	11	1	Balto-Slavic
TOGETHER	TOGETHER	11	1	Balto-Slavic
TOWEL	TOWEL	11	1	Balto-Slavic
TOWN	TOWN	11	1	Balto-Slavic
