Gloss	Erzya	Estonian	Finnish	Forest Enets	Hill Mari	Hungarian	Inari Sami	Kildin Sami	Komi-Permyak	Komi-Zyrian	Livonian	Lule Sami	Meadow Mari	Moksha	Nganasan	North Karelian	Northern Khanty	Northern Mansi	Northern Sami	Northern Selkup	Olonets Karelian	Skolt Sami	Southern Sami	Tundra Nenets	Udmurt	Veps
AND	dɨ	jɑ	jɑ	nakuju~tɔʧkuz~tɔzʧikɔz	ðøn	eːʃ~mɛɡ	jæ	ja~da~dʲe	i~da	ji	un	jɑ	dɑ~den	ji~də		tɑ	pa	os~ɣ	jɑ	aj	dɑ~i	diɐ	jɨh	ŋoːdʔ	ji~no	i~dɑ
ANIMAL	rakʃa	loːm	ɛlæi̯n	sama	vólʲək	aːlːɒt	elːeː	ʒɨva	zvʲerʲ	peməs	jɛlɑːj~luːomɨz	ʊdu͡ɔs~divrːɛ~lʊu͡ɔhtu͡ɔk	jɑˑnlɤk~ʒivoˑtnɤj	ʒuvaˑta	dʲɐməðə	ɛlæin~siːvɑtːɑ	woj	uːjχul	e̯ælːi	surɨ	ɛlætːi~ʒiːvɑtːʊ~zviɛri	ʝiɛlːʲi	jʉβrɛ	sɑrmʲik	pʌjʃur	ʒivɑt
ANNOY	keʒejɡavtoms	ærːitɑmɑ~vihɑstɑmɑ	ærsʏtːæː	barudaɕʲ	ʃɯðeʃtæræʃ	bosːɒnt	pi̯ævutːið	ɕeːntxe	ɫəɡətnɨ	ɫəɡədnɨ~ʎokmədnɨ~skərmədnɨ	ɛrtʎə~kɨzɑːtə	sʊhːtɑdit	sɤrɤktɑˑʃ	kaʒijaftoms	bəlʷɐʔc͡çubtudʲɐ	siænːytːyæ		kantmaltaŋkʷʲe	haːrtih	ɲeɲaltɨqa	suːtʊtːʊɑ	ɐsːeːd	moɒrahtɛhtɛdh	ɲeːnzʲɑmdʲeːsʲ	voʒpottɨnɨ	vɛrdʊtɑdɑ~rændʏtɑdɑ
ANT	kotkudav	sʲipelɡ̥ɑs	muːrɑhɑi̯nɛn		kətkə	hɒnɟɒ	kutkɐ	koːtːk	kədzɨvkar	koʣuvkot	sipriki	ɡɔrkːɔ	kuˑtko	panʒam		muːrɑhɑini	χaʃŋa	χoːswoj	kɔtkɑ	kɨta	kʊʤɔi	kotkːɐ	karhkɛ	xudumɡɑ	kuzʲɨlʲi	mʊrɑhɑinɛ
APPEAR	lʲisʲems	ilmumɑ	ilmɛstʏæ	ɔzidʲ	kɑjaʃ	fɛltyːnik~mɛɡjɛlɛnik	ɑlmostuð	ɨdtʲe	mɨtʨiɕnɨ	petkədʨɨnɨ	næˀɡcːə	ihtɛt	tolɤˑnʎektɑˑʃ	evondams	ŋətumsɨ	ilmɛstyœ	əttɪ	jeːmtuŋkʷʲe	ihtih~ɑlɑbmɔðih	qontɨʃqa	ilmɛstʏœ	eːtːʲɛd~ʧuaitəːtːɐd~ilʲmʲsʲtʲəːvːɐd	βoːjnɛdh	ŋɑdʲimzʲ	ɑdskɨnɨ	ɔzʊtɑdɑs
APPLE	umarʲ	ɤun	ɔmɛnɑ		olmɑ	ɒlmɒ		jaːblek	jabɫoko	jɑbɫəɡ	umɑːrz	ɛhpɑl	olmɑˑ	marʲ		ɔmɛnɑ		jaːbloka	epːel~e̯æhpːel	jabloko	jʊɑblɔkːʊ		æpːla	jɑbloːkɑ	jɑblok	jɑblɔk
APRIL	aprʲelʲ	ɑprilː	hʊxtikuː	aprʲɛʎ~tɛniʧʲdiri	ɑprelʲ	aːpriliʃ	huhtimæːnu	apreʎ~apreʎmaːnː	aprʲeʎ	kosmu	juːrikʃkuː	vʊu͡ɔrɑʧismanːu͡ɔ	ɑpreˑʎ	ʃudʲikov	norʷokic͡çeðəː	sʊlɑkuː	unkertɪɬasʲ	apreːʎ~janɪɣpoʎ	ʦʊ̯ɔŋɔmaːnːʊ	ɕepʲajjirat	sʊlɑkuː	ɲuxtʧmaːn	βuʌrhʧɛ	sʲijeːɲiʦʲʲirʲij~wɑrŋæʔʲirʲij	oʃtolezʲ	sʊlɑkʊ
AREA	tarka~pertʲpelʲks	ymb̥rus	sɛʊtʊ	dʲa	vær	taːj~videːk	ku̯ævlu	paːjçk	mʲesta	muvɑ	ɑˀiɡizt	ɡʊu͡ɔvːlu͡ɔ~bajkːɛ	kundeˑm	vaˑsta~perʲfpaˑlʲ	mou	sɛʊtʊ	taχa	maː	kʊ̯ɔβlʊ~tʊ̯ɔvdtɑ	tætːɨ	kɔxtʊ~ɑlɔvɛh	vuvʲdːʲɘ	hæːriɛ	jɑ	jintɨ	tɑhɔ
ARISE_(FROM_SLEEP)	stʲams	ærkɑmɑ~ylʲestɤusmɑ	nɔwstɑ~nɔwstɑʏlœs	nɛruɕʲ	kɯnʲɯlʃɑɣɑlɑʃ	fɛlkɛl	ʧuoʤɐstið	koadʦje	suvtnɨ	ʨeʨːɨnɨ	nuːzə	bɑʤanit	kɤnʲelɑˑʃ	stʲams	dʲilədʲi~nənsudʲi	nɔʊsːɑ	noχɬojtɪ	noːχʎuːʎuŋkʷʲe	pɑcːaːnih~ʧʊ̯ɔʤːilih	jinːamæʃɨqa	nɔstɑ	pɐʝːnɛd~kɒɡːəːtːɐd	ʧʉɛʧːiɛlidh	jurkoːrʦʲ	sultɨnɨ	nɔʊstɑ
ARM	kedʲ	kæsʲivɑrs	kæsiʋɑrsi	uza	kið	kɒr	kietɐ~kietɐkɑːvɐ	kiːdt	ki	ki	kɛˀʒ	ɡi͡ɛhtɑ	kid	kadʲ	dʲuty	kæsivɑrsi~kæsi	joʃ	kaːt	kiɛhtɑ	utɨ	kæzi~kæzivɑrzi	c͡çiətːɐ	kɨɛtɛ	ŋudɑ	suj	kæzi
ARRIVE	sams~paʨkodʲems	sɑːb̥umɑ	sɑːpʊɑ	tɔɕʲ	ʃoɑʃ	eːrkɛzik~mɛɡeːrkɛzik	pyevtitːið	puedtʲe	ɫoknɨ	vonɨ~ɫoknɨ	joudə	jɔvsɔdit	ʃuɑˑʃ	sams~paʨkodʲems	c͡çuydʲɐ~c͡çʷɐc͡çesɐ	tʊlːɑ	joχattɪ	joχtuŋkʷʲe	pɔ̯ɑhtih~pʊvtːehih	tyrqa~tulɨʃqa	tʊlːɑ	puɛtːʲɛd	poætɛdh	toːsʲ	vuɨnɨ	tʊldɑ
ARROW	nal	noːl	nuɔ̯li	muɡ~mimu	pikʃ	ɲiːl	ɲuolɐ	ɲuːlː	ɲəv	ɲəv	nuːoʎ	sɔdːɛ~njʊu͡ɔlːɑ	pikʃ	nal	bʲiðʲiʔ	nʊɔli	ɲoɬ	ɲaːl	ɲʊ̯ɔlːɑ	koma	piːli	ɲuəlːɐ	ɲuʌlɛ	muŋɡ	pukɨʧveɲ	nɔl
ASH	kulov	tuxk	tʊxkɑ	tuɕa	loməx~lompəʒ	hɒmu	kunːɐ	kunː	pəjim	pəm	tuːˀɡɨd	ɡʊdnɑ	loˑmɤʒ	kulu	tuːdʷaoʔ	tʊxkɑ	tutraw	χuːʎum	kʊtnɑ	ɕimɨ	tʊxkʊ	kunːɐ	kuβnɛ	tunzʲibʲɑ	peɲ	tʊxk
ASK_(INQUIRE)	kevkstʲems	kysʲimɑ	kʏsʏæ	tɔjuʧʲ	jaðɑʃ	keːrdɛz	koijɐdið	keːʤe	juavnɨ	juɑvnɨ	kiˀzːə	ɡɑhʧɑt~ɡɑʧadit	jodɑˑʃ	kiˑzʲeftʲems	təʎibtisʲi	kysyœ	isʲmatɪ	kitapaːluŋkʷʲe~kitɪɣlaŋkʷʲe	je̯ærːɑh	soqːɨnʨɨqa	kʏzʏœ	kəːtʧɐd	kihʧɛdh	junrɑsʲ	juɑnɨ	kʏzʊdɑ
ASK_(REQUEST)	veʃems	pɑlumɑ	pyːtæː	kadʲ	jaðɑʃ	keːr	pivdeð	aːnke~keːʤe	kornɨ	kornɨ	pɑlːə	adnu͡ɔt~ɡɔhːʧu͡ɔt	jodɑˑʃ	aˑnams~vʲeˑʃems	xujsʲi	vɑlkʊtːʊɑ~kysyœ	woχtɪ~pojktɪ	woːwuŋkʷʲe	pivtih	ʨɨtɨqa~møtɨrqa	pɑkitɑ	aːnːɒd~rɒukːɐd	pirːɛdh~ɑːnuʌstidh~ruhkɛlasːjɛdh	xɑnzʲ	kurɨnɨ	pɑkitɑ
AT_FIRST	vasɲa	enʲːe~esmɑlt	ɛnsin~ɛnsiksi	ɔrtɛ	ɑndɑk	ɛløːsør	vuoʧʧin	eːvːtla~eːvːteʎ	napʲervo	vojdər	jɛˀdsə	alɡu͡ɔn	ondɑˑk	vaˑsʲenda	ɲerə~ɲerəbtykyʔ~byːbtɐrkətə	ɛnsin~iɛlːæ	oɬŋa~jaɬpa	oːwlɤːt	vʊ̯ɔs~vʊ̯ɔhʧːɑn	ukɨ~ukɨn	ɛnziksɛ	vuəsʲtʲɛ~vuəssməːsːɐn	βuʌstɛɡh	ɲurtʲeːxæd	ɑzʲlo	ɛzmæi
AT_THAT_TIME	sʲeste	toːkord̥	silːɔi̯n~siːhɛnɑi̯kɑːn	tɔdʲɔbun~tɔmɔzʲɛɡup	tɯnæm	ɒkːor~ɒkːoribɒn	tɑlːe	tanːa	sek~seki	seki	siˀz	dɑlːu͡ɔj	tunɑˑm	esta	təːc͡çuxənɨ	silːɔin	siporajn	taporat	tɑlːe	naʃaqɨn	silːɔi	tɛlʲɘ~tɛalʲɘ	æːjkiɛn	tʲikɑxənɑ~tɑʔʲoːʎʦʲŋɡɑnɑ	soku	silɔi
AUGUST	avɡust	ɑuɡ̥ust	ɛlɔkuː	dʲɛdʲudˈiri~næʎukdˈiri	ɑvɣust	ɒuɡustuʃ	elomæɑnu	aːvɡust~aːvɡustmaːnː	avɡust	moz	ouɡust	bɔrɡːɛmanːu͡ɔ	sorlɑ~ɑɡɑrmɑˑn~ɑˑvɡust	sʲoroɲkov	kəukic͡çeðəː	ɛlɔkuː	untɬortɪɬasʲ	woːrtusɤːtpos~aːwɣust	pɔrəkemaːnːʊ	topɨrɨjjirat	ɛlɔkuː	pɔrʲɟɟ͡ʝʲmʲaːn	mɨɛʦkɛ	pʲiʎuʔʲirʲij~ɑwɡust	ɡudɨrikoʃkon	ɛlɔkʊ
AUNT	patʲa	tæd̥i	tæti	kaza	kuɑkɑ	nɒɟneːni	si̯æsæ	ɕiːɕː	ajəɫənsoj~iʨiɲ	cət	suːrsuʃɑː~tɑntə	ɡu͡ɔɑsːkɛ~si͡ɛsːa~mʊu͡ɔhta	kokɑˑ	aka~ɕʨaka	ŋɐxu~ɐbɐʔɐ	tæti	imi	aːkʷ	ipmi~kɔ̯ɑski	jimɨja	tʲɔʊtɑ	siɛsːʲɘ~kuasʲcc͡çʲɘ	seæsa~jijmiɛ~koæskiɛ	ɲeːjə~ɲɑbɑkoː	ɑpɑ~kenɑk	tædi
AUTUMN	sʲoksʲ	syɡ̥is	sʏksʏ	ɔtuzʲɛ	ʃɯʒɯ	øːs	ʧohʧɐ	ʨeːxːʧ	ar	ɑr	siˀɡʒ	ʧɑkʧɑ	ʃɤˑʒe	sʲoksʲe	ŋity~sundɐjc͡çu	syksy	sus	takʷs	ʧɑkʧɑ	arat	sʏɡʏzʏ	ʧəxtʧɐ	ʧakʧɛ	ŋeːrʲoː	sizʲɨl	sʏɡʏzʲ
AWAIT	uʨoms	oːtɑmɑ~loːtmɑ	ɔdɔtːɑː	ɔtɛɕʲ	vəʧɑʃ	vaːr~mɛɡvaːr	vyerdið	vuːrːte~vuːrtselːe	vidzʨiɕnɨ	viʨːɨɕnɨ	vʊˀdlə~luːotə	vʊu͡ɔrdːɛt	vuʧɑˑʃ	uʨʲems	ŋɐtədʲɐ	vʊɔtːʊɑ	ɬawaɬtɪ	uːruŋkʷʲe~nɤːɣɪlttaŋkʷʲe	vʊ̯ɔrtih	ætɨqa	vʊɔtːʊɑ~vʊɔtɛlːɑ	naːrvɛd~vuɛrʲdːʲɛd	βʉɛrtɛdh	ŋɑtʲeːnəsʲ	vitʲɨnɨ~vozʲmɑnɨ	vɑrɑstɑdɑ
A_LITTLE	alamoʃka	veid̥i~nɑtuke	ʋæhæn	ibʎɛjɡɔn	iziʃ~iklɑʃtək	ɛɟkiʧit	uʦæɲiː	sada~sadamatːa	ɨʃt~ɲevna	ɲeunɑ	rɔːʒki	binːa	jiziˑʃ	aflama	ɲiməkyʔ~əlɨɡɐkumənu	væhæsɛn~kɔtvɑsɛn	ʃimaɬ	mosʲ	ve̯æhaː	kɨpæka	væhæn~væhæinɛ~kɔdvɑinɛ	otʦɒɲ~simːnɒ	ɔnːɛʧɛ~ahʧɛʧɛ	tʲɑɲoː	jiʨʲi~ʌʒɨt~oɡʃɑp	væhæn
BACK	koporʲ	sʲelɡ̥	sɛlkæ	maha	tup	haːt	selɡi~ʧielɡi	ɕeːʎːk	mɨʃk	mɨʃ	sæːlɡɑ	hardːu͡ɔ~ʧɑvɛlk	tup	koporʲ	məku	sɛlkæ	ʃanʃ	sɪs	se̯ælɛki	moqal	sɛlɡʏ	sɛalʲɟɟ͡ʝʲɘ	rʉʧːɛ	mɑxɑ	mɨʃ	sɛlʲɡ
BACKWARD	mʲekev	tɑɡ̥urpid̥i	tɑːksɛpæi̯n	pɛnɔju	mɯŋɡeʃ	haːtrɒfɛleː	mɑjɑskulij	moːaːz~moːaːst	bər	bərə	tɑɡɑːrspɛːɲ~tɑɡɑːrspɛːɟɨn	rʊu͡ɔptu͡ɔbɑdaj	ʃeŋɡeˑk	mʲeˑki	xeərɐtə	tʊɑksɛpæin	joχi~joχɬɪ	juwʎe	mɑŋaːs	moqɨna	tʊɑksɛpæi~jælːɛlɛ	mɐːʝɒs~mɐŋːʲlʲɒ	mænːɡɛsɛ	puːɲɑʔ	berlɑɲ	sɛlʲɡin
BACK_(DIRECTION)	mʲekev	tɑɡ̥ɑsʲi	tɑkɑi̯sin	pɛnɔju	mɯŋɡeʃ	haːtrɒ~visːɒ	mɑːsːɐd	moːaːz~moːaːst	bər	bər	tɑːˀɡiʒ	rʊu͡ɔptʊs~mɑŋʊs	møŋɡeˑʃ	mʲeˑki	məkiʔiɐ	tɑkɑisin	joχɬɪ	juwʎe~juw	rʊ̯ɔktɔh	moqɨna	iærɛ~tɑɡɑzin~jærilːɛh	vasʲtʲɘ~mɔːusɒt	poːstɛdɛ	puːɲɑʔ	beren~berlɑɲ	tɑɡɑzɛ
BAD	berʲaɲ	hɑlb̥	pɑhɑ~huɔ̯nɔ	bɔku	uðɑ~xuðɑ	rosː	hyeni~nievri	ɲueɕː~ɲuːeːzeɕ	uməʎ	ʎok~oməʎ	slikcːə	ni͡ɛvrːɛ	udɑˑ~ʃyˑkʃø	kalʲdʲav	bɐxiɐ~nəŋxʷo~əʎiɡɐʔɐ	hʊɔnɔ	atam	ʎuːʎ	he̯æcːʊ~hejtːɔh	qoʃtɨj~qoʃqølɨj	pɑhɑ~hʊɔnɔ	xuɛnːʲɘ	noɒkɛ~skrɑːpɛ~mɔtːan	wæwɑ	urod~ɑlɑmɑ	hʊbɑ
BAD LUCK	zɨjan	hæd̥ɑ~ɤnʲːetus	ʋɑhiŋkɔ~ɔnːɛtːɔmuːs	maju~baɡi	pjoðɑ~təmɑʃɑ	ʧɒpaːʃ~bɒlsɛrɛnʧɛ	u̯æsitːemesvuotɐ~pærtːi	piːdtʲ	pik~okaʑːo	ʃoɡ	ædɑː	vʊu͡ɔrbɛdisvʊu͡ɔhtɑ~sɔrmːɛ	eŋɡeˑk	zʲijaˑn	lɨku	hætæ	ʃuk	peːta~jaːrummuːɲsʲum	lihkɔhisvʊ̯ɔhtɑ	torʲa	hædæ~ɔzɑtːɔmʊs	pɔːmʲxʲɘ	kuʌrpɛ	mɑjɑʔ	kurekton~ʃudtemeusʲon	bɛd~ɡɔrʲɑ
BAG	judma	kotː	lɑwkːʊ	marijɛ	sumkə	taːʃkɒ	lɑvkːɐ	sum̥ʲːk~loːaːfːk	sumka	sumkɑ	kuocː	væːsːku͡ɔ~lavkːɑ	sumkɑˑ	koʃalʲɲa	xʷoðɐj	lɑʊkːʊ	χir	sumka	laːvkɑ~se̯æhkːɑ	sumka	sʊmkʊ	lɒukːɐ	βeæskuʌ	ŋæsʲɑʔ	pujɨ~sumkɑ	sʊmk
BAKE	pidʲems	kypsʲetɑmɑ	lɛi̯pɔɑ	pɔrzaɡuɕʲ~pirʲɛɡuɕʲ	kyktæʃ	ʃyt	li̯æibuð	paːɕːte	pəʒavnɨ	pəʒɑvnɨ	uːdə	lajbːu͡ɔt	kyktɑʃ	pidʲems	xiðʲibtɨsɨ	lɛipʊɔ~pɑisːɛlːɑ	paɬtɪ	waːruŋkʷʲe	paːhkːeh~kɔjkɑðih	pʲirɨqa	pɑstʊɑ	vaːlʲʝɛd	poːhkɛdh	jɑbʦbəsʲ	pɨʒɨnɨ	pɑʃtːɑ
BARK	sud~kerʲ	koːr	kuɔ̯ri~pɑrkːi	sæsi~pʲakɔba	kɑrɣəʒ	keːrɛɡ	korːɐ	keːrː~paːr̥ːk	kaʨ	kɨrɕ	kuːorʲ	barkːu͡ɔ	ʃym	ker	kɐsu	kʊɔri	kar	suːl	ɔstʊ~paːrɑhkʊ	qøsɨ	kɔjɑ~kʊɔri	kərːɐ~parkːɐ	kɨrːɛ~pɑːrhkuʌ	sʲɑbt	sul	kɔrʲ
BARKING	onɡoms	hɑukumɑ	hɑwkːʊɑ	mazudʲ	optɑʃ	uɡɒt	umæstið	uɡke	uvtnɨ~vuvtnɨ	uvtnɨ	utːə	ʦi͡ɛlːɑt	optɑˑʃ	uvaˑms	lɐɡʲiɐʔsɨ	hɑʊkːʊɔ	χorttɪ	χortuŋkʷʲe	ʦiɛlːɑh	mutɨqa	hɑʊkːʊɔ	uːkːɐd	hʉhtɛdh	mɑdərʦʲ	utɨnɨ	nʊtːɑ
BATHE	ekʃelʲams	suplʲemɑ~kymb̥lʲemɑ	kʏlpɛæ	matuɕʲ	nyʃtɯlæʃ	fyrdik	lævɡuð	vuːjnedte	kupajtʨɨnɨ	kupɑjtʨɨnɨ	ɡilɡə	ɡalɑʧit	jyʃtɤlɑˑʃ	eˑʃelʲams		kylpiɛ	pewaɬtɪ	puwluŋkʷʲe	kaːlɑʃih	urqa	kʏlbiɛkɛzɔidʊ	vuəʝːɐd~saːunəːtːɐd	βuʌjɛdidh	xəltɑŋɡoːsʲ	pɨlɑsʲkɨnɨ	kʏlʲptæs
BAY	usʲija	lɑxt	lɑxti		vɯðjal	øbøl	ʧu̯æjæ	vuːnː~luːxːt	kurʲja	kurjɑ	lop~kɨlɑː	u͡ɔɑɡːɛ~lʊu͡ɔktɑ	jiksɑˑ	vʲedʲusʲke	bəbku	lɑxti	ɬuχ	loːχ	lʊ̯ɔktɑ	qalsɨ	lɑxti	luxtːɐ	luʌktɛ	pɑxɑ~wɑŋɡɑ	vukoʒ	lɑxt
BEAR	ovto	kɑru	kɑrhʊ	bɔɡʎa	møskæ	mɛdvɛ	kuobʤɐ	taːlː	oʃ	oʃ	okʃ	bi͡ɛrnːɑ	mɑskɑˑ	ofta	ŋɐrkɐ	kɔntiɛ	mojpar	woːrtoːlnut~pupakʷʲe	kʊ̯ɔvd͡ʃɑ~piɛrdnɑ	qorqɨ	kɔndiː	kuɛbʲdʤʲɘ	kʉmsiɛ	wərk	ɡondɨr	kɔndi
BEARD	sakal	hɑb̥e		munʧi	pɑndɑʃ	sɒkaːlː	si̯æmu	ɕaːm	toʃ	toʃ	ɑˀbːɨnd	skavtːja	pondɑˑʃ	sakal	myndyʔsʲɐ	pɑrtɑ	tuʃ	tus	se̯æmʊ	untɨjukɨ	pɑrdʊ	sɛamɐ	skɑːβʧa~skɑːβʧuʌ	munoːʦʲʔ	tuʃ	bɑrd
