Gloss	Badga	Betta Kurumba	Brahui	Gondi	Kannada	Kodava	Kolami	Kota	Koya	Kurukh	Kuwi	Malayalam	Malto	Ollari Gadba	Parji	Tamil	Telugu	Toda	Tulu	Yeruva
NOT_8																		aːɖudi		
ONE_1	ondə			ondi	ondu	ondə						onnə				onnə			onʤi	onʤu
ONE_2		ʋandə									ɾanɖi									
ONE_3			asit					oːdit												
ONE_4							okkoːt								ok					
ONE_5									oɾɾoːʈ											
ONE_6										oːnd			oːnd							
ONE_7														okuʈi			okaʈi			
ONE_8																		uttə		
PERSON_1	kanɖə																	kinnuːɖə		
PERSON_2		aːɭə~aːɭu								aːl										
PERSON_3			bandaɡ																	
PERSON_4				lokuɾ																
PERSON_5					manusa	manasa	maniʂaːn					manuʂan				manitan~manuʂan	maniʂi		manuʂeː	manuʧe
PERSON_6									mansuːɳɖ											
PERSON_7													malah							
RAIN (PRECIPITATION)_1	me	maɭi			maɭe	maɭe		mai				maɻa				maɻai				maɭe
RAIN (PRECIPITATION)_2			peɾ	piɾ							bela									
RAIN (PRECIPITATION)_3							ʋaːna		ʋaːna						vaːni		ʋaːna			
RAIN (PRECIPITATION)_4										ʧeːp										
RAIN (PRECIPITATION)_5													ʤaɖaː							
RAIN (PRECIPITATION)_6																	ʋaɾʂam		baɾsa	
RAIN (PRECIPITATION)_7																		meɖutti		
RED_1	keppə					ʧoːpə						ʧumappə				seʋappə~seɡappə		keppə		ʧoːpə
RED_2		tissəɡaɳɖaːnɡi																		
RED_3			xiːsun																	
RED_4				eɾɾaɡ~jeɾɾaɡ					eɾɾa											
RED_5					kempu											cem			kempu	
RED_6							jeɾuɖi										eɾupu			
RED_7								netiɾ			netuɾi									
RED_8										kheso			eːso							
RED_9											ɡaɖɡa									
RED_10															key					
ROAD_1	taːɾi			haɾɾi				taːɾi	aɾɾi			ʋaɻi				vaɻi	daːɾi			
ROAD_2		baʈʈi				baːte							paːodu				baːʈa			
ROAD_3			saɖak																	
ROAD_4					maːɾɡa												maːɾɡamu		paɾvata	
ROAD_5					ɾaste									ɾasta						
ROAD_6						ɾaste														
ROAD_7							daaɾ			ɖahaɾe										
ROAD_8							taːʋu													
ROAD_9															paːv					
ROAD_10																		aːlaɾ		
ROAD_11																				ɾaste
ROOT_1	peːɾə	bjaːɾə			beːɾu	beːɾə						ʋeːɾə				ʋeːɾə	ʋeːɾu		beːɾu	beːɾə
ROOT_2			ɾoːte																	
ROOT_3				hiːɾ																
ROOT_4							ʋeːɾkam		ʋeːɾ		ʋeɾ				vaːɾ					
ROOT_5										paːda			bandaː							
ROOT_6														kuɾe						
ROOT_7																		ʋeɾ		
ROUND_1		bəjnsakɾanɡuːdə																		
ROUND_2			ɡoːlpeɾi																	
ROUND_3				ɡuɳɖɾal	duɳɖane				ɡuɳɖɾaːn								ɡuɳɖɾani			
ROUND_4					baʈʈa			ʋaʈam				vaʈʈa				ʋaʈʈam				
ROUND_5						uɾuʈa						uɾunɖa				uɾunɖai			uɾuʈə	uɾuʈu
ROUND_6							bubbaɾi													
ROUND_7										ɡuʈiɳɖa										
ROUND_8													ɡuɖme							
ROUND_9													ɡuɖijo							
ROUND_10																		uʈʈi		
SAND_1	pakke																			
SAND_2		maɳalə				maɳa						maɳal		maːn	man	maɳal		manal		maɳə
SAND_3			ɾeːk																	
SAND_4				uske																
SAND_5					maɾaɭu															
SAND_6					usubu															
SAND_7							usuka		isike								isuka			
SAND_8										ʧalkuɾu										
SAND_9											bali		baːli							
SAND_10																			pojja	
SAY_1	eɡəʋə																			
SAY_2		pəːɭ			heɭu															
SAY_3			paːninɡ							bakʰna										
SAY_4				in																
SAY_5						annə														
SAY_6								paidu												
SAY_7									kella											
SAY_8												paɾajuɡa							paɳaɾa	paɾe
SAY_9													hauɖpo							
SAY_10															en					
SAY_11																ʧollə~sollə	ʧeppu			
SAY_12																		aːʋaɖə		
SEE_1	noːɖə	noːɖ			noːɖu	noːʈə		noːʈə										nuːʈ		
SEE_2		najɾ																		
SEE_3			unninɡ																	
SEE_4				huɖa					uːɖa											
SEE_5							taːna													
SEE_6										jeːɾna										
SEE_7												kaːɳuka								noːku
SEE_8													ʈunɖpo							
SEE_9														ʧu			ʧuːɖu			
SEE_10																kaːɳ				
SEE_11																paːɾə				
SEE_12																			tuʋaːɾa	
SEED_1	pittə			peɖe	bede										vittid					
SEED_2		bissə		viʤʤa	biːʤa												biːʤam		biːʤa	
SEED_3		biʧʧə																pittə		
SEED_4			beʤʤ																	
SEED_5						kuɾu				ɡoʈa										kuɾu
SEED_6							ʋittanam										ʋittanam			
SEED_7								ʋitu				vita				ʋedə				
SEED_8									peːɳɖku											
SEED_9										biː										
SEED_10												paɾippə								
SEED_11																	ɡinʤa			
SIT_1	kuɭəʋə																		kullaɾa	
SIT_2		kuːɾsu																		
SIT_3		kuːtnuiːɾ																		
SIT_4			tuːlinɡ~zunɖinɡ																	
SIT_5				udda					kuddaː											
SIT_6					kuɭitiko~kuːtuko															
SIT_7						aɭe														
SIT_8							udə							undu						
SIT_9										okʰna										
SIT_10												iɾikkuɡa								iɾaiku
SIT_11													hokpo							
SIT_12																ukkaːɾə		eɾakkaɾ		
SIT_13																	kuːɾʧo			
SKIN_1	toːlə	toːlə		toːl	toɡalu	toːlə	toːl	toːlu	toːl			toli		tal	tõl	toːlə	toːlu			toːlu
SKIN_2			sil																	
SKIN_3					ʧaɾma												ʧaɾmamu		ʧeɾma	
SKIN_4										ʧapʈa										
SKIN_5												ʧeɾmam								
SKIN_6													ʧaːna							
SKIN_7																		tuːɾs		
SLEEP_1	oɾəɡədə							oɾəɡə				uɾanɡuɡa				uraŋku				
SLEEP_2		aɾɡu~eɾɡu																oɾkʰə		
SLEEP_3			xaʧinɡ																	
SLEEP_4				miːɳɖa											maɖ					
SLEEP_5					malaɡu															
SLEEP_6					nidɾiso												nidɾapoʋu			
SLEEP_7						oɾa														oɾa
SLEEP_8							iːmanɡsati													
SLEEP_9									unʤaʈam											
SLEEP_10										khandaɾna			andaɾpokoːɖa							
SLEEP_11													anəa							
SLEEP_12																tuːnɡə				
SLEEP_13																			ʤippaɾa	
SMALL_1	kunnadə							ɡuntə						kandeːk						
SMALL_2	kiʈʈiːʈ																			
SMALL_3		kiɾi																keːɾuːɖə		
SMALL_4			ʧunak																	
SMALL_5				ʧinna			sinna		ʧinnad	sanni						ʧinna	ʧinna			
SMALL_6					ʧikkadu															
SMALL_7						ʧeɾijadə						ʧeɾija				ciriya				ʧeɾija
SMALL_8													ɾikʋaːdi							
SMALL_9													saɾʋe							
SMALL_10															cin				kiɲa	
SMOKE (EXHAUST)_1	hoɡe	pəɡɡi			hoɡe	poɡe	poɡ	peɡu				puka				pukai~puɡai	poɡa	pukuɖti	poɡa	poɡe
SMOKE (EXHAUST)_2			moːʃ																	
SMOKE (EXHAUST)_3				poja																
SMOKE (EXHAUST)_4									kumpoːɖ											
SMOKE (EXHAUST)_5										mosaɡa										
SMOKE (EXHAUST)_6													moːha							
SMOKE (EXHAUST)_7														poaːɡ						
STAND_1	nippə											nilkuɡa					nilabaɖu			
STAND_2		əːɭ		nil					nilla~nilliman						nilp	nil	nilʧonu			
STAND_3		əddənuiːɾ																		
STAND_4			salinɡ~ʤeːksalinɡ																	
STAND_5					nintiko	nində		ninnatukə												ninʤo
STAND_6							niːmaːn													
STAND_7										iʤʤna										
STAND_8													hilpo							
STAND_9																		mukkaɖuɾil		
STAND_10																			untaɾa	
STAR_1	naʧʧatɾa				nakʂatɾ	nakʂatɾa		nakʂaʈiɾam				nakʂatɾam				naʧʧatiɾam	nakʂatɾamu	naʈʧatiɾam	nakʂatɾe	naʧʧatiɾa
STAR_2	paːndmiːnə																			
STAR_3		miːnu														mĩn				
STAR_4			isʈaːɾ																	
STAR_5				sukku			sukka		ukka						cukka		ʧukka			
STAR_6										biːnko			biːnka							
STAR_7											huka									
STAR_8														puʈ						
STONE_1	kallə	kallə	xal		kallu	kallə		kal				kallə			kel	kallə			kallu	kallu
STONE_2				baɳɖa			ɡunɖə													
STONE_3									ɾaːj								ɾaːji			
STONE_4										pakʰna										
STONE_5											ʋali									
STONE_6													ɡuɡa							
STONE_7														kanɖ						
STONE_8																		kaɾs		
SUN_1	ottə	pottə					poddu	poɖutə	poɖudu								poddu			
SUN_2			de																	
SUN_3				poɾə																
SUN_4					suːɾja	suːɾja		suːɾijan				suːɾjan				suːɾjan	suːɾjuɖu		suːɾje	ʧuːɾja
SUN_5							suɾija													
SUN_6										biːɖi			beːɾdu							
SUN_7											ʋeda									
SUN_8														ʋele						
SUN_9																		suːɾijan		
SWIM_1	niːndə	niːnɖʒu										neentuɡa				neentə				
SWIM_2			beʂolinɡ																	
SWIM_3				pohem			poːnim													
SWIM_4				naɾi																
SWIM_5					iːʤo															
SWIM_6						miːɾodu														
SWIM_7								niːʧal										niːʧal		
SWIM_8									iːta								iːdu			
SWIM_9										oːɡna										
SWIM_10													hoːɡpo							
SWIM_11																			miːndaɾa	
SWIM_12																				maɳa
TAIL_1	paːlə	baːlə			baːla	baːlə		ʋaːlə				ʋaːlə				ʋaːlə			biːla	baːlu
TAIL_2			liʈʈik																	
TAIL_3				tokoɾ			toːka		tokaːɾ						tõka		toːka			
TAIL_4										kʰola			oli							
TAIL_5														kindiɾ						
TAIL_6																	vaːlamu			
TAIL_7																		poːɾsam		
THAT_1	adə	adə		adu	adhu	adə		adhə				adə	aːdu	adə		adhə	adi	adə		
THAT_2			ae																	
THAT_3					aː							aː			aː		aː			
THAT_4							ad				et									
THAT_5									addu							anta				
THAT_6										huː										
THAT_7													haːd							
THAT_8																			aʋu	
THAT_9																				aʋeː
THIS_1	idə	idə			idhu	idə		idhə			idu	idə	iːdu	idə		idhə	idi	idə		
THIS_2			daː																	
THIS_3				id			id		iddu	iːd										
THIS_4												iː			ĩ		ĩ			
THIS_5																inta			undu	
THIS_6																				iʋeː
THOU_1	ni	niːjə			niːnu	niːnə	niːnu	niːja		niːn	ninu	ni	niːn~niːnu			ni	niːʋu	ni		ni
THOU_2			niː											in	ĩn					
THOU_3				nimme					nimma											
THOU_4																	nuʋʋu			
THOU_5																			i	
TONGUE_1	naːlanɡe	nelɡi			naːliɡe		naːlka	naːlɡə	naːlike			naːkə		naːnɡ			naːluka			
TONGUE_2			duʋiː																	
TONGUE_3				ʋenʤeɾ																
TONGUE_4						naːʋu														naːʋu
TONGUE_5										takkha										
TONGUE_6											ʋenɖaːɾu									
TONGUE_7													taɖta							
TONGUE_8															nevãɖ					
TONGUE_9																naːkkə				
TONGUE_10																		noːf		
TONGUE_11																			naːlaːji	
TOOTH_1	hallə	pallə		pal	hallu	pallə	palku	pal	palk			pallə		paːlkill	pel	pallə				pallu
TOOTH_2			dandaːn~dantaːn																	
TOOTH_3										pall	palu		paːldu							
TOOTH_4																	pannu			
TOOTH_5																		paɾse		
TOOTH_6																			kuːli	
TREE_1	moɾa	meɾi		maɾa	maɾa	maɾa		maɾam	maːɾa			maɾam			meɾi	maɾam			maɾa	maɾa
TREE_2			dɾahkʰt																	
TREE_3							maːk													
TREE_4										mann								meːn		
TREE_5											paʈa									
TREE_6												vɾukʂam								
TREE_7																	ʧeʈʈu			
TWO_1	eɾaɖə		iɾat		jeɾaɖu									iɾuɖu						
TWO_2		əddu																	ɾaɖɖu	
TWO_3				ɾeɳɖu		daɳɖə			ɾeɳɖ		ɾinɖa	ɾendə				ɾenɖə	ɾeɳɖu			iɾandə
TWO_4							duɖə	eɖu										eːɖə		
TWO_5										iːɾəb										
TWO_6													paːnɖa							
TWO_7													maksa							
TWO_8													ʤoːɖsa							
TWO_9															iɾ					
WALK_1	naɖəʋadə	naɖi			naɖə	naɖa		naɖʋu	naɖam			naɖakkuɡa				naɖə	naɖuʧu	naɖaɾɾə~naɖandə	naɖapaɾa	naɖa
WALK_2			ʧeɾɾinɡ																	
WALK_3				taka																
WALK_4							naɖus													
WALK_5										eːkʰna										
WALK_6													heːkpo							
WARM_1	uppekke~uppe																			
WARM_2		suːɖə										ʧeɾəʧuːɖə				suːɖə				
WARM_3			baːsun																	
WARM_4				kaːsta	beʧʧaɡe															
WARM_5						bekke	ʋekka													bekki
WARM_6									ʋeːɖ					ʋeʈal						
WARM_7										udum										
WARM_8										oːɾʧka										
WARM_9												uʂɳa								
WARM_10													kuɖni							
WARM_11																ʋedəʋedəppə				
WARM_12																	ʋeʧʧa		beʧʧa	
WARM_13																		koɾtilije		
WATER_1	niːɾə	niːɾə	diːɾ		niːɾu	niːɾə	iːɾ	niːɾ						niːɾ	nĩɾ	niːɾə	niːɾu	niːɾ	niːɾə	niːɾu
WATER_2				jeɾ																
WATER_3									eːɾu											
WATER_4										amm										
WATER_5											eju									
WATER_6												ʋellam								
WATER_7												jalam								
WATER_8													hamdu							
WATER_9																taɳɳi				
WATER_10																	niːɭɭu			
WE_1	nanɡa	naɳɡə~jaɳɡə				nanɡa										naːnɡa			jankulu	nanɡa
WE_2			nan							naːm										
WE_3				mammoʈ			amdə	amme	mamma								meːmu			
WE_4					naːʋu															
WE_5									manaːɖu								manamu			
WE_6											mambu									
WE_7												naːm~nammal		aːm		naːm				
WE_8													naːmu							
WE_9															aːm					
WE_10																		oːm		
WHAT_1	eːnə							etaːnə			ena									
WHAT_2		ajindi	antə		jeːnu	jentə						endə					eːɳʈi			entai
WHAT_3				baʈʈal					baːta											
WHAT_4							em										ẽmi~eːmiʈi			
WHAT_5										jeːndɾa			indɾaːn							
WHAT_6													indiɾdu							
WHAT_7														ennaːʈ		enne		inno		
WHAT_8															naːto					
WHAT_9																			enʧina	
WHITE_1	ʋeɭɭe	bəɭɭu						ʋellə								veɭɭə	vella			
WHITE_2			piːun																	
WHITE_3				tellaɡ			telluɖi		telup								telupu			
WHITE_4					biɭi										vil					
WHITE_5						boltadə												pelti	boldu	boltaji
WHITE_6										paɳɖɾu	pandi									
WHITE_7											dumda									
WHITE_8											kumnɖi									
WHITE_9												ʋeɭuppə								
WHITE_10													sadaː							
WHITE_11													ʤinpɾo							
WHO_1	taːɾa	daːɾə			jaːɾu	daːɾə		daːɾə				aːɾə				jaaɾə			jeːɾu	jaːɾu
WHO_2			deːɾ																	
WHO_3				boɾ																
WHO_4									beːnonɖu											
WHO_5										ne			neːdu							
WHO_6											daat									
WHO_7															ed					
WHO_8																	evaɾu			
WHO_9																		oɾi		
WOMAN_1	emmaːti																			
WOMAN_2		pəɳakkən																		paniʧi
WOMAN_3			njaaɽi																	
WOMAN_4				muɾtad																
WOMAN_5					henɡasu															
WOMAN_6					stɾĩ							stɾiː					stɾiː			
WOMAN_7						ponnaːɭə						peɳɳə				peɳ~poɳɳə			ponʤa	
WOMAN_8							baːji													
WOMAN_9								pemaɡu		mukka										
WOMAN_10									naːtaʋaːd											
WOMAN_11									piːkiːɖ											
WOMAN_12										aːli	ɖoli									
WOMAN_13											aːnʋanli									
WOMAN_14											kodoɡipada									
WOMAN_15													teldu							
WOMAN_16																	aːɖadi			
WOMAN_17																	mahiɭa			
WOMAN_18																		tusmoːɡə		
YELLOW_1	manʤe	manʤəlaːnɡi				manʤa		manʤə				maɲa				manʤaɭ			manʤalu	manʤe
YELLOW_2			puːʃkun															aɾʤin		
YELLOW_3				pivaːʰd																
YELLOW_4				kampal																
YELLOW_5					haladi															
YELLOW_6							pijuda													
YELLOW_7									pasap								pasupu			
YELLOW_8										baːlka			balke							
YELLOW_9											hinɡeɾi									
YELLOW_10											toɡoɾi									
