	№	English	Arabic (MSA)	Najdi (Riyadh)	Gulf (Emirati)	Levantine (Central/Syro-Lebanese)	Basra (Southern Iraq)	Iraqi (Southern Iraq/Baghdad)	Moslawi (Northern Iraq)	Sanaani (Sana'a)	Dhofari (Oman)	Cypriot (Kormakitis)	Egyptian (Lower Egyptian)	Sudanese (Khartoum)	Chadian (Western Sudanic)	Tunisian (Tunis)	Moroccan (Casablanca)	Moroccan (Northern pre-Hilalian)	Hassaniya (Mauritanian)	Maltese
18	19	some	bɑʕḍ, kam min	baʕð̣, t͡sam ~ čam, xaṭw	bɑʕð̣	bɑʕɑḍ, šweyy	šawyah	šwayyɑ, bɑʕɑð̣	băʕð̣, šwăyyi	zɑ̄rɑt, bɑʕð̣	baʕð	xayč	š(e)wayya, kemmeyya	bɑʕd	š(w)iyya	šwayya, baˁð̣	ši, šwiyyɑ	ši	ši	xi
0	20	few	qɑlīl (min)	gəlīl, šwayya, ṭirf	gelīl, šwayya	ʔɑlīl, šwayy, natfe, əntūfe/nattūfe (diminutive)		čam, šwayyɑ, qɑlīl	šwiyyōni, pərčōni	galīl, šwayyih	šwī, bɑðɑʕ, qɑlīl	fitté, šfé	ʔolayyel	galīl, šwiyya	š(w)iyya, baˀed	šwayya	qlil, ši		šweyy, gleyyǝl	ftit
1	21	other	ʔāxɑr, ġɑyr	θāni, ġēr	θɑ̄ni, xlɑ̄f	tēne, ġēr		lux, llāx	əllāx	šī, θāni, ġayr	θānī	axar	tāni	tāni	lʔāxar	lēxɑr	axəṛ		ăwxər	ieħor
2	22	one	wāħid(un) (m), wāħida(tun) (f)	wāħid (m), weħde (f)	wɑ̄ħed (m), weħde (f)	wɑ̄ħɑd (m), wɑħde (f)		wɑħed (m), weħde (f)	wīħəd (m), wiħdi (f)	wāħid (m), wāħidih (f)	wāħad (m), wāħada (f)	(v)exen (m), (v)exte (f)	wāħed (m), waħda (f)	wɑ̄ħed (m), weħde (f)	wāhid (m), wahde (f)	wāħid (m), wēħda (f)	waħed (m), weħdɑ (f), weħdin (p)		wāħid (m), waħda (f)	wieħed (m), waħda (f), waħdiet (p)
3	23	two	ʔiθnān(i) (m), ʔiθnatān (f); (oblique case) ʔiθnayn(i) (m), ʔiθnatayn(i) (f)	əθnēn (m), θəntíen (f)	θnēn (m), θəntēn (f)	tⁿeyn ~ tⁿēn (m/f), tintēn (f)		θníen (m), θəntíen (f)	θnīn (m), θintīen (f)	(ʔi)θnayn (m), θintayn (f)	θnēn (m), θantēn (f)	xnayn	etnēn	etnēn	tinēn (m), tittēn (f)	zūz, θnīn	žuž, tnin (only for >10)		iθ̬nayn (m), θ̬intayn (f)	tnejn, żewġ (construct form)
4	24	three	θalāθa(tun)	θalāθ(a)	θalɑ̄θa	tlāte ~ t͡ɬāte, klāte		tlɑ̄θa ~ t͡ɬɑ̄θa	θāθi	θalāθah	θalāθa	tlaθe	talāta	talɑ̄tɑ	talāta	θlāθa	tlatɑ		(ə)θ̬lāθ̬a	tlieta
5	25	four	ʔarbaʕa(tun)	ʔarbaʕ(a)	ʔɑrbɑʕa	ʔɑrbʕɑ		ɑrbʕɑ	ūbaʕ	ʔɑrbɑʕɑh	arbaʕa	árpăʕa	ɑrbɑʕɑ	ɑrbɑʕɑ	arba	(ʔă)rbʕā	ṛəbʕa		ărbʕa	erbgħa
6	26	five	xamsa(tun)	xams(a)	xamsɑ	xɑmse		xuṃsɑ	xăms(ă)i	xamsih	xumsa	xampse	xamsa	xamsɑ	xamsa	xamsa	xəmsɑ		xămsa	ħamsa
7	27	big	kabīr	t͡səbīr ~ kəbīr	č(e)bīr, ʕōd, k(a)bīr	kbīr		čebíeṛ	kbīġ	kabīr	kibīr	kpīr	kebīr	kabīr	kabīr	kbīr	kbir		əkbīr	kbir
8	28	long	ṭɑwīl	ṭuwīl	ṭɑwīl	ṭɑwīl		ṭɑwíel	ṭăwīl	ṭɑwīl	ṭɑwīl	tvīl	twīl	ṭɑwīel	tɑwīl	twīl	ṭwil		əṭwīl	twil
9	29	wide	wāsiʕ, raħīb, ʕɑrīḍ (more broad)	wāseʕ, ʕarīð̣	wɑ̄seʕ, ʕarīð̣	ʕɑrīḍ, wēseʕ		ʕɑṛīð̣, wɑ̄seʕ	rāhi, wēsiʕ	fsaħ, wāsiʕ	wāseʕ, ʕɑrīð	fsīʕi	wāseʕ	wɑ̄sɑʕ	wasī	wāseʕ	waseʕ		wāsəʕ	wiesa'
10	30	thick	ġɑlīð̣, θaxīn (more for materials), samīk (more stout)	matíen	metīn	smīk, ətxīn		θəxīn, mčabben	θăxīn	matīn, ġazīr	matīn, ġlīð̣	ʕɑpi	texīn	tɑxīn	samīn	xšīn, ġlīð̣	ġliḍ		ġlīð̣, qlīð̣ (also 'religious')	oħxon
11	31	heavy	θaqīl	θagīl	θagīl	tʔīl		θegīl	θăqīl	θagīl, jawr, razīn (more wise)	θiqīl, ħarīr	θkīl	teʔīl	tɑgīl	tɑgīl	θqīl	tqil		əθ̬gīl	tqil
12	32	small	ṣɑġīr	ṣuġēr ~ ṣəġīr	zɑġīr, ṣɑġīr	ṣġīr ~ zġīr		zġɑyyeṛ	ɘṣġɑyyəġ	zɑġīr, zuġayri	ṣɑġīr	zěʕīr	soġɑnnɑn, soġɑyyɑr, soġɑntūt (more young)	suġɑyyɑr	saxayyar	ṣġīr	ṣġiṛ		sqīr, sqayyǝr, sġīr, sġayyǝr	żgħir, ċkejken
13	33	short	qɑṣīr	gəṣīr	gaṣīr	ʔsīr		gṣɑyyeṛ	qăṣiyyəġ	gaṣīr	qaṣʕūr, qaṣīr, kašīħ	xmīn	ʔosɑyyɑr	guṣɑyyɑr	gisɑyyɑr	qṣīr	qṣiṛ		gṣayyǝr	qasir
14	34	narrow	ḍɑyyiq	ð̣əyyid͡z ~ ð̣əyyig, ṣəxīf	ṣexīf, ð̣ɑyyig	dayyiʔ		geṣīf, ð̣ɑyyig	ð̣ɑyyiq	ð̣ɑyyig, ħawīṣ	ð̣iyyaq		dayyeʔ, medayyaʔ (more tight)	dɑyyig	dayyig	ð̣iyyiq	ḍiyyəq		ð̣eyyig	dejjaq
15	35	thin	rɑqīq, rafīʕ, naħīf (more fine)	dəgīg, ð̣əʕīf (more weak)	dejīj, ð̣ʕīf (more weak)	mɑmṣūʕ, nɑħīf, rʔīʔ		mɑṣwi, refīʕ	ġăqīq	naħīf, rafīʕ	ħaṭīṭ, gašūf	mǎʕaer, θkīk	rofɑyyɑʕ, neħīf	rigeyyig, naħīf	bɑ̄til	žwayyid, ð̣ʕīf	nħif, rqiq		rgīg, rgeyyǝg	rqiq
16	36	woman	imrɑʔa, al-mɑrʔa (the woman)	ħŭrma, mɑre(h)	ħurma	mɑrɑ		mɑrɑ, mrayya	mɑġɑ, mɑġiyyi	mɑrih, ħurma, maklaf	mɑrɑ	mɑrɑ	sett, wleyya (coarse)	mɑrɑ, zōlɑ (more female person)	mara	mra	mṛɑ		mṛɑ	mara
17	37	man (adult male)	rɑjul	rajjāl	rayyɑ̄l	režžāl, zɑlɑme (inf)		rejjɑ̄l	ġijīl	rağğāl	riggīl, riggāl	intsán	rɑ̄gel	zōl, rɑ̄ğil	rajul, rājil	rāžil	ṛāžəl		aragāž, rɑ̄žəl	raġel
18	38	man(human being)	ʔinsān, nafɑr, šɑxṣ (more person), bašɑr (humankind), nafs (more self), ʔibn ʔādam (literally Son of Adam)	šaxes, ʔādmi, bašar, ʔensān	ʔɑ̄dmi, nafs, ʔensɑ̄n, ʔeben ʔɑ̄dam	šaxṣ, bɑšɑr, ʔensān, bənēdɑm (uncommon)		ʔɑ̄dmi, bašɑr, ʔensɑ̄n, banyɑ̄dam	ʔādmi, ənsān, bɑšɑr	bašar, ʔādami, ʔinsān	ādami, hūdār	intsán	baniʔādam, ʔensān, nɑfɑr (more person), šɑxṣ (more individual)	zōl, nɑfɑr, ʔinsɑ̄n	nādum	ʕabəd, šɑxṣ, insān	(ʔi)nsan, bnadem, rqaba, bɑšɑr		aragāž, mnādǝm	bniedem, uman
19	39	child (a youth)	ṭifl (also infant), walad	walad, bazer, ʕayyel	yɑ̄hel, bazer, ʕayyel	wɑlɑd, ṭefel (more infant)		jɑ̄hel	ʕijī, wɑlɑd	ğāhil	gāhal	morós, vilt	ʕayyel, ṭefl (more infant)	šāfiʕ, ğanna, ṭefl (more infant)	wlēd	ṭful, fazġūl	darri		īššīr, ṭfeyl	tifel
0	40	wife	zawja, imrɑʔa (more woman), ħurma (more unit of harem)	ħurma, ħermet-, mʕazzeba(h)	mɑṛɑ, murt-, ħuṛma	mɑrɑ, mɑrt-, zowži, ħormi (chiefly Muslim)		mɑrɑ, mɑrt-, ʔahal	ð̣iġɑ, mɑġɑ	marih, zawğa, ṭɑbīnah (second wife), ð̣urrɑh (second wife)	zōga	mprɑt-	merɑ̄t-, zōga	mɑrɑ, zōğa	mara, mart-	mra, mart-	mṛɑt-		ʕyāl, mūlāt il-xayma, maṛt-	mara
1	41	husband	baʕl, zawj, rɑjul (more man)	rɑ̄jil	rɑjel, rəyl-	žowz ~ žōz		rɑjel, zōj	zăwj	zawğ	zōg	žɑwz, intsán	gōz	zōj, rɑ̄ğil	rājil	rāžil	ṛɑžəl		mūlā l-xayma, ṛāžǝl-	żewġ, raġel
2	42	mother	ʔumm	umm	ʔuṃṃ	ʔemm		(ə)ṃṃ, ʔuṃṃ	ʔimm	ʔumm	umm	umm	mɑmt-, omm	umm	ʔum	um	ṃṃʷ-, umm		uṃṃ, wālda	omm
3	43	father	ʔabb, ʔabā-	ʔubō-, ʔabb	ʔubū-, ʔɑbb	bey-		abū-, abb	ăbō-, ˀabb	ʔabb, ʔabū-	ōb	yapát-	bɑbɑ̄-, abū-, ʔɑbb	abū-	ʔabba, ʔabu-	bū-	bu-, ḅḅʷɑ		bu, wālǝd	missier
4	44	animal	ħaywān, dābba (beasts of burden), bahīma (beast)	ħayawān	ħayawɑ̄n, sɑ̄nya (beasts of burden)	ħɑywān, dābbi		ħaywɑ̄n	ħăywān	ħayawān, dābbih	našara, ħēwān	xeván	ħayawān	bahīma, ħayawɑ̄n (also pejorative), waħš (wild animal)	hayawān	ħayawān	ħəywan		ħăywān, baxnūs (wild animal)	annimal, bhima
5	45	fish	samaka, ħūt (any large fish, more whale), ṣɑyd (catch of fish)	samakah	smičɑ	semke		semča	sămăki	samakih, ṣɑyd, ħūtih (also whale)	samaka, ṣēd, bābṭīni (small)		samaka	samaka	hūt	ħūta	ħutɑ		ħūt	ħuta
6	46	bird	ṭɑ̄ʔir, ʕaṣfūrɑ (sparrow)	ʕaṣfūr (usu. small), ṭēṛ (zool.)	ṭēr	ṭɑyr, ʔɑṣfūr (usu. small)		ṭēṛ, ʕaṣfūr (small only)	ṭɑyġ	ṭɑ̄yir	ðʕār		ʕɑsfūrɑ, ṭēr (zool., archaic)	ṭēr, ʕasfūr (usu. small), zarzūr (small)	tɑyrɑ̄y	ˁaṣfūr	bəṛṭɑl		ṭăyr	għasfur
7	47	dog	kalb	t͡salb ~ kalb	čalb	kalb		čaleb	kalib	kalb	kelb	kilp, kyopek	kalb	kalib, garzan (hunting), šalag (non-hunting, lap-dog)	kelib	kalb	kəlb		kălb	kelb
8	48	louse	qamla	gamlah	gamla	ʔamle		gamḷa	qămli	deðrī, gummalih	šnīt	kample	ʔamlāya	gamla, ṣɑwɑ̄bɑ	gemel	qamla	qəmlɑ		dămla	qamla
9	49	snake	ħayya, θuʕbān (any serpent), ħanaš (viper, adder), ʔafʕa (poisonous)	dābb, ħayyeh (poisonous)	dāb, ħanaš (poisonous)	ħayyi		ħayya, ħyɑ̄yɑ, ṣeḷḷ (small), ʕerbīd (large)	ħăyyi	ħanaš	ħanīš, ṣell (small)	ʕɑfɑ	teʕbān	θuʕbɑ̄n, dɑbīb	dābi, debīb	ħnaš	ħənš, lfʕa		ħnaš, ṣăffɑ̄r (venomous)	serp, lifgħa
10	50	worm	dūda	dūdah	dūd	dūdi, sūsi		salbūħ, dūd	ăġdɑ	dūdah, wagzih, taʕālih, ħūt (more fish, whale)	dūd	tut (silkworm)	dūda	dūdɑ	dūda	dūda	duda		dūd	dudu, ħanex (earthworm)
11	51	tree	šajarɑ	šejarɑ(h)	šyɑṛɑ	sižre		šajarɑ, šejrɑ (more squash, bush, shrub)	sijăġɑ	šeğarih	šagara	ðentra	šɑgɑrɑ	šeğɑrɑ	šɑdɑrɑ̄y	šužra, sužra	šəžṛa		ṣadṛɑ̄ya	siġra
12	52	forest	ġāba, ħirš (more thicket)	ġɑ̄bɑ	ġɑ̄ba	ħerš, ġābe		ġɑ̄ba	ġāba	ġābah			ġāba	ġɑ̄bɑ	(bakān) šeder ketīr fī	ġāba	ġaba		ġābe, ʕŭgda (also thicket)	foresta, masġar
13	53	stick (of wood)	ʕaṣɑ̄, ʕūd (also piece of wood), ħaṭɑb (piece of firewood)	ʕɑṣɑ, məd͡zlāb ~ mɘglāb	ʕūd, ʕačwɑ	ʕɑṣɑ̄(ye)		ʕūda, ħɑṭbɑ (also firewood), līṭɑ (thin)	ʕɑṣɑ̄yi, ʕŭdi	ʕuṣyah, ʕūdih (also root)	ʕōd, qubb, marqūṣ (large), bākūra (small)	ʕɑssɑ	ʕɑṣɑ̄yɑ	ʕɑṣɑ	hatab, ʔasāya	ʕṣā	qṭib, ʕṣɑ		dəbbūs	bastun, għasluġ, ħatar
14	54	fruit	fākiha, fawākih (plural), θamarɑ	fɑ̄kihɑ	fɑ̄k(e)ha, mīwɑ	fwāki		mēwɑ, fɑ̄kehɑ	fākihi, mīwi	fākiha	famara	fekye (more dried fruit)	fakha	sɑmɑr, fɑ̄kha	yalda, ʔiyāl (p)	ġalla	dessiġ, ġəllɑ, fakyɑ		ləħdaž, θ̬ămra	frott
15	55	seed	zarʕ, ħabba, biðra, bizr	ʕajmah	bɑdɑr, bazir	bezr		bazra, bɑðrɑ, ħabba	baziġ, ħăbb, ʕəjo (more pit)	ħabbih, baðarih	biðara	pizr	bezr, taʔāwi	tirɑ̄b, tɑgɑ̄wi, bazr (pedantic)	tērāb, bizre	zurrīʕa	zərriʕa, ʕḍəm (more pit)		žǝgrāž	żerriegħa
16	56	leaf	waraqɑ	waragah	wruga, xōṣ (palm)	wɑrʔɑ		warga	waġăqɑ	waragih	ħūṣɑ	fíllo, varka	waraʔet šɑgɑr	waraga	waršāl, warga	warqa	wəṛqɑ		waṛga	werqa
17	57	root	jaðr, ʕirq (also artery)	jaðer	ʕirj, jaðer	šerš		ʕereg	jăðiġ, ʕiriq	ğiðr, ʕūdih (also stick)	giðar		gedr	ğazr, ʕerg	ʔirig	ʕirq	ždər, loħ		ʕǐrg	għerq
18	58	bark(of tree)	liħāʔ, qilf	jedeʕ, ħaṭɑb (more wood)	ħeṭɑb (more wood), yedeʕ (more branch)	ʔešri		gešer	qišiġ	gišrih	qišara		gedʕ(a)	gišrɑ, girf	girf	qišra	qəšṛa		gušra	qoxra
19	59	flower	zahrɑ, ward (rose)	zahrah	zahra	zɑhrɑ		wared, warda	wăġdāyi	zahrah	zɑhɑrɑ, warada	vɑrté	warda	zahra, nɑwwɑ̄r	nuwār	nawwāra	nuwwɑ́ṛɑ		nəwwɑ̄r	fjura, nawra
0	60	grass	ʕušb, ħašīš (also Cannabis)	ʕešb, nīda, rabīʕ (first grass in spring)	ʕešeb, ħašīš, rɑbīʕ (more spring)	ħašīš, ʕošb		θayyel, ʕešeb (more pasture)	ħăšīš	ħašīš, ʕušb	ħašīš, kutīl (common type)	šxéx, tšeˁīr	negīla	gašš, umɑṣɑ̄biʕa (desert grass), tarba (water grass), najīla (water grass)	geš	ħšīš	rbiʕ		rbīʕa, ɑlɑmūz (more straw)	ħaxix
1	61	rope	ħabl	ħabel	ħabel	ħabl		ħabel	ħabil	salabih, ħabl	bāra, ħbāl	xɑpl	ħabl	ħabl	habil	ħbal	ṭwɑl, ħbəl, kurdɑ (thin)		ħbăl	ħabel
2	62	skin (of a person)	jild, bašarɑ (more complexion)	jeld	yeld, bašara (more complexion)	bašara, želd (usually leather)		jeled	jilid	ğild, bašarih (more complexion)	gild		geld	ğeld	jild, farwa	žilda	žəld		žəll	ġilda
3	63	meat (as in flesh)	laħm	laħam	laħam	lɑħm		laħam	laħim	šerkih, laħm	laħam	láxm	laħma	laħm	leham	lħam	lħam		lħăm	laħam
4	64	blood	damm	damm	damm	damm		damm	dămm	dam	damm	timm	damm	damm	damm	dam	dam		dămm	demm
5	65	bone	ʕɑð̣m	ʕeðəm	ʕɑð̣ṃ(ɑ)	ʕɑḍmi		ʕɑð̣uṃ, čaʕab (also bottom, end; more for animals)	ʕăð̣im	ʕuð̣mih	ʕɑð̣im		ʕɑḍm(ɑ)	ʕɑḍm	ʔadem	ʕð̣am	ʕḍem		ʕð̣ăm	għadma
6	66	fat (noun)	samn, dahn, šaħm (also grease)	dehen, šaħm	dehen, šaħam	šaħm, dahn		dasam, šaħam	šəħim	šaħm, duhn	qaṭmīm, mašaħ	toxn	šaħm, dehn, laħma bēḍɑ	dihn, šaħm	dihin, samen	šħam	šħem		šħam	xaħam, simna
7	67	egg	bayḍɑ	bíeð̣ah	bēð̣a	bɑyḍɑ		bíeð̣ɑ	bĭð̣a	bayð̣ɑh	bēð̣a	peð	bēḍɑ	bēḍɑ	bēda	ʕað̣ma	biḍɑ		bayð̣ɑ	bajda
8	68	horn	qɑrn	garn ~ d͡zarn	gɑrn	ʔɑrn		geren	qăġin	garn	qaran		ʔɑrn	gɑrn	gurn	garn	qərn		găṛn	qarn
9	69	tail	ðanab, ðayl	ðanab	ðēl	daneb		ðíel	ðĭl	sublih, ðayl	ðēl	tumpye	dēl	danab	danab	baʕbūṣ	šwwal, zɑnṭiṭ		sbīb, nəwwāša, āgilāl (horses)	denb
10	70	feather (rather not down)	rīša	rīšah	rīša	rīše		rīša	ġīšāyi	rīšah	rīša		rīša	rīš	rīša, sūf	rīša	riša		rīša	rixa
11	71	hair	šaʕr	šaʕar	šaʕar	šɑʕer		šaʕar	sɑʕeġ	ṣūf, šaʕr	šaʕar	šaxvé, šaʕar (pubic)	šɑʕr	šɑʕr	šaʔur	šʕɑr	šəʕrɑ		zġab, zqab, šăʕra (pubic)	xagħar
12	72	head	rɑʔs	ṛɑ̄s	ṛɑ̄s	rɑ̄s		rɑ̄s, ṣmɑ̄x (somewhat coarse)	ġɑ̄ṣ	rɑʔs, rɑ̄s	rās	mox	demāġ, rɑ̄s (more top of the head), nafūx (coarse)	rɑ̄s	ras	rās	rɑs		ṛɑ̄ṣ, ṛɑ̄s	ras
13	73	ear	ʔuðun	ʔeðen	ʔeðen	deyne, edn		ʔīðɑ̄n, ʔeðen	əðin	ʔeðn, ʔuðn	ðin	iðn	wedn	ɑdɑ̄n	uden	wðin	wdən		ūðŭn	widna
14	74	eye	ʕayn	ʕēn	ʕēn	ʕɑyn		ʕēn	ʕĭen	ʕayn	ʕēn	ʕɑyn	ʕēn	ʕayn	ʔēn	ʕīn	ʕin		ʕăyn	għajn
15	75	nose	ʔanf	xašim	xašem	manxɑr		xašem	xăšim	nuxrih	xušum	mɑxúr	maraxīr	nɑxrɑ	muxer	xšam, mnēxer (abstract, coarse)	nif		xnāvĭr	mnieħer
16	76	mouth	famm	θemm, ħalg, famm	būz, θamm, ħalj (coarse)	temm		ħaleg	θimm	lugf, fumm	θōm	xank	boʔʔ, ħanak (animals, coarse)	xašm	xašem	žalġa, fum	fumm		ṿumm	ħalq, fomm
17	77	tooth (rather not molar)	sinna, ḍirs (molar)	ð̣irs, sinn (not molars, pedantic)	ð̣ers, senn (not molars, pedantic)	senn		senn	sin, čāġōši (more molar)	ð̣irs (most teeth, molars), sĕnnih (incisor)	ðars, gūhara (incisors), mɑṭɑ̄ħɑn (molar)	sinn	senna	senn	senn	sinna	dərsɑ, sɘnnɑ (not molars, pedantic)		sănn (incisor), ḍars (molar)	sinna
18	78	tongue	lisān	lsān	lesɑ̄n	lsān		əlsɑ̄n	əlsūn	lisān	lisān	san	lesān	lisɑ̄n	lisān	lsān	lsan		lsān	lsien
19	79	fingernail	ð̣ifr, ð̣ufr	ð̣əfer	ð̣ufer	defr		ʔeð̣fer	ʔəð̣feġ	ʔuð̣fur, ð̣ufr	ð̣ɑ̄fūr	ðufr	dɑ̄fer, dofr	ḍufur	dufr	ð̣far	ḍfər		ð̣fər	difer
0	80	foot	qɑdam, rijl	rijil	jadam, rīl	ežr		rejel	ġijil	gadam, riğl	qadam, kaff	ižr	regl	kurɑ̄ʕ, reğl	kurā, rijl	sāq	ržəl		krāʕ, ržǝl	sieq
