Gloss	Cocopa	Ipai	Mohave	Tipai	Yavapai
FAT (FROM ANIMALS)_1	ʃaj		ʔamusaj		saja
FEATHER_1	ʃawal		siviːʎ		
FEATHER_2					wala
FIRE_1	ʔaʔaː		ʔaʔaw		ʔʔo
FIRE_2		ʔaːw			
FISH_1	siʔiʎ̥				
FISH_2			ʔaʧiː		ʔʧi
FLY (MOVE THROUGH AIR)_1	man	wəman̪~uman̪			
FLY (MOVE THROUGH AIR)_2			ijerk		
FLY (MOVE THROUGH AIR)_3					βjari
FOOT_1	ʔimiː	əmilʲ	iːme	miː	mi
FULL_1	ʧpuɾ	t̪əmuɹ		t̪əmʔur	
FULL_2			tapeːsm		
FULL_3					tmpiri
GIVE_1	iː				
GIVE_2		winʲ		iɲ	
GIVE_3			ajm~aajm		
GIVE_4					ʔe
GOOD_1	pxʷaj	ʔəxan̪		ʔiːxan~xan	
GOOD_2			ʔahotk~ʔahoːtk		ʔhani
GREEN_1	xpsiw	xəpəʂiw		xəpʃiw	
GREEN_2			havasuːk		haβsuwi
HAIR_1	mxʷaɬ				
HAIR_2		xəɬʲt̪aː		ʎ̥t̪a	
HAIR_3			iʔe~ɲiʔe		
HAIR_4					qwawa
HAND_1	ʔiʃaːʎ̥	əsaɬʲ	iːsaʎ	ʃaʎ̥	sal
HEAD_1	mkuɾ				
HEAD_2		xəɬʲt̪aː			
HEAD_3			ʧuksa~ʧuska		
HEAD_4				ʎ̥mu	
HEAD_5					huː
HEAR_1	ʔiːʔiːp	jip		ʔip	
HEAR_2			aʔavk		
HEAR_3					ʔeβi
HEART_1	ʔijaːj				
HEART_2		iːʧix			
HEART_3			iːwa		
HEART_4				iːʧaʃ	
HEART_5					iwaja
HEAVY_1	ɲix	wən̪ix~wən̪ax	ineːh~ineːθ	nix	
HEAVY_2					no
HORN (ANATOMY)_1	kʷa	əkʷaː	iːkʷe		kʷa
I_1	ɲaːʧ	ʔənʲaːʧ	ʔiɲeʧ	ɲaːʧ	ʔɲaʧi
KILL_1	nak				
KILL_2		aːmuːʧ		aːmuːʧ	
KILL_3			tapujm		
KILL_4					nehi
KNEE_1	ʔimiːtaːkaːɲ	məxət̪un̪~xəmət̪un̪			
KNEE_2			iːmemipuk	miːnəpuk	
KNEE_3					mipuk
KNOW (SOMETHING)_1	ʔuːjaː			uːjaːw	
KNOW (SOMETHING)_2		n̪uɹ			
KNOW (SOMETHING)_3			suːpawm		spo
LEAF_1	wal				
LEAF_2		ʔəjaɬ	hamaʎ		
LEAF_3					θeqa
LIE (REST)_1	jak	jaq		jak	jaki
LIE (REST)_2			iðikk		
LIVER_1	ʧpuʂu	ʧəpəsiː		t̪əpsi	
LIVER_2			ʧavuθiː		ʧβθi
LONG_1	kuʎ̥	ʔəquɬ	ʔakʲuːʎm		kʲuli
LOUSE_1	ʔiʔiʎ̥		ɲiʔiːʎ		hʔel
LOUSE_2		əmiɬʲ			
MAN_1	ʔapa		ʔiːpa	ʔiːpa	
MAN_2		ʔiːkʷiʧ			
MAN_3					pahmija
MANY_1	ʎ̥aj			ʎ̥aw	
MANY_2		xəmiːj~ʔəxmiːj			
MANY_3			ʔapaʎm		
MANY_4					ʔte
MEAT_1	ʔimaːʧ				
MEAT_2		kukʷaːjp	kʷiːkʷaj~kiːkʷaj		kʷeθoβa
MEAT_3				kʷak	
MOON_1	xʎ̥ʔa				
MOON_2		xəɬʲaː			
MOON_3			haʎʔa		hla
MOUNTAIN_1	wiː		ʔaviː		ʔwi
MOUNTAIN_2		mat̪ət̪aj		matkʷat̪aj	
MOUTH_1	ʔija				ja
MOUTH_2		aː		aː	
MOUTH_3			iːja		
NAME_1	muʎ̥		imuːʎ		mul~mol
NAME_2		ʧəxiʧ			
NEAR_1	xɾpaj	xəlʲəpaj		xəʎpaj	
NEAR_2			ipanm		
NEAR_3					ipe
NECK_1	mpuk	iːpuk~əjəpuk		iːpuk	
NECK_2			maʎaqe		mlqi
NEW_1	xaɲ				
NEW_2		wəxaj			
NEW_3			mapiːθ		
NEW_4					iβmu
NIGHT_1	ʧɲam		tiːɲam	t̪iːɲam	
NIGHT_2		kuxun			
NIGHT_3					hipa
NOSE_1	ʔixu	əxuː	iːhu	xu	huː
NOT_1	lum				
NOT_2		umaːw		xəmaːw	
NOT_3			mot		
NOT_4					ʔumi
ONE_1	ʃit		ʔasentk	ʃin	ʔsiti~ʔsiti
ONE_2		ʔəxin̪k			
PERSON_1	ʧapaj	ʔiːpaj	piʔpa~piʔipa~piːpa	t̪iːpaj	
PERSON_2					ʔpa~ʔpa
RAIN (PRECIPITATION)_1	pʔaj				
RAIN (PRECIPITATION)_2		ʔəkʷij		kʷiː	
RAIN (PRECIPITATION)_3			kuvʔaw~kuvʔaw		kiβawa~kiβawa
RED_1	xʷat	ʔəxʷat	ʔahʷatm~ʔahʷaːtm	xʷat	ʔhʷati
ROAD_1	waɲa	ʔuːnʲaː		waʔɲa	ʔɲa
ROAD_2			ʔavʔuɲe		
ROOT_1	ʃma	pəxəmaː	sama~ʔiʧsama		
ROOT_2				waxənu	
ROOT_3					ʔʔimsma
SALT_1	ʂʔiɾ		ʔaθʔiː		
SALT_2		ʔəsilʲ		saːl	ʔθi
SAND_1	matʎ̥ʃʔaː				
SAND_2		məsxaɹaːj			
SAND_3			ʔamatsaʎʔaj~saʎʔaj		
SAND_4					ʔhaʧwa
SAY_1	ʔi			ʔi~i	ʔi
SAY_2		wiː			
SAY_3			im		
SEE_1	wiː			wiːw	
SEE_2		əwuːw			
SEE_3			ijuːk		
SEE_4					ʔu
SEED_1	jas				jaʧ
SEED_2		əjaʧ	iðiːʧ		
SHORT_1	xʎʔut				
SHORT_2		məputk			
SHORT_3			wenawen		
SHORT_4				ləʔuɲ	
SHORT_5					ʧkroti
SIT_1	wa			wa	wa
SIT_2		wən̪ak			
SIT_3			ivak		
SKIN_1	ɲkʷʔaɬ				
SKIN_2		əkʷaɬʲ	ʧaθkʷil		
SKIN_3					θpila
SLEEP_1	ʃma	xəmaː	ismam	ʃəma	smaː~sma
SMALL_1	ʔiʎʧaʃ				
SMALL_2		ʔəst̪ik			
SMALL_3			iʧʔawk		
SMALL_4				ʎəpiʃ	
SMALL_5					keʧ
SMOKE (EXHAUST)_1	xjaj	ʔuːxuj			
SMOKE (EXHAUST)_2			ʔahʷaː		ʔohʷaja
SNAKE_1	ʔawi		ʔave	aʔwi	
SNAKE_2					ʔlwi~ʔlwi
SPHERICAL (ROUND IN THREE DIMENSIONS)_1	ɾʔuɾ				
SPHERICAL (ROUND IN THREE DIMENSIONS)_2		ʔəlul			
SPHERICAL (ROUND IN THREE DIMENSIONS)_3			jenajen		
SPHERICAL (ROUND IN THREE DIMENSIONS)_4					klʔulki
STAND_1	pʔaː			pʔaw	
STAND_2		pəxəkʷiː~pəxkʷiː			
STAND_3			ivʔawm		
STAND_4					βskʷi
STAR_1	kʷʎ̥ap	kʷən̪məsaːp			
STAR_2			hamuse		hammsi
STONE_1	xuːɾ				
STONE_2		ʔəwilʲ	ʔaviː	wiː	ʔwi
SUN_1	ɲa	ʔənʲaː	ʔaɲa	ɲa~ɲaː	ʔɲaː
SWIM_1	xaʎ̥nup			xanup	
SWIM_2		aːpuɬ			
SWIM_3			ʔahaʎaʔoːpk		
SWIM_4					ʔhaθpuji
TAIL_1	ʃjuʎ̥	xəjuɬ		ʃəjuɬ	
TAIL_2			iːʔar		
TAIL_3					βhe
THAT_1	ʂuː~ʔuʂuː				
THAT_2		puː		puː	
THAT_3			hovaʧ		
THAT_4					ɲθa
THIN (OF SHAPE OF OBJECT)_1	ɾʂaːw				
THIN (OF SHAPE OF OBJECT)_2		wəkʷiːɹp			
THIN (OF SHAPE OF OBJECT)_3			ʔuːhʔaːrk		
THIN (OF SHAPE OF OBJECT)_4					θeqi
THIS_1	piː~ʔupiː				
THIS_2		pəjaː	viðaʧ	pəja	βja
THOU_1	mapuʧ	maː		maːʧ	
THOU_2			maɲʧ		maːʧ
TONGUE_1	mpaʎ̥	ən̪əpaɬ	iːpaʎ	xənpaɬ	himpal~himpal
TOOTH_1	ʔija	əjaːw			
TOOTH_2			iːðoː		jo
TREE_1	ʔajaː				
TREE_2		ʔilʲ		ʔiː	ʔʔi
TWO_1	xwak	xəwak	havikk	xəwak	hwaki
WALK_1	ʔaː			aː	
WALK_2		waː			
WALK_3			ijemk		
WALK_4					jami~jami
WARM_1	ʎ̥ap			ʎ̥ap	
WARM_2		wəɹaːw			
WARM_3			ipiʎk~ipiːʎk		
WARM_4					ʔruji
WATER_1	xa			xa	
WATER_2		ʔəxaː	ʔaha		ʔha
WE_1	ɲaːʧ			ɲaʔwaʧ	
WE_2		ʔənʲaːwapʧ			
WE_3			ʔiɲeːʧvʧ		ʔɲaʧβ
WHAT_1	luːɲ				
WHAT_2		ʔuːʧ	kuːʧ		
WHAT_3				maːjiːʧ	
WHAT_4					kaβ
WHITE_1	xmaːʎ̥				
WHITE_2		n̪əməʂap	ɲamasav	ɲəmʃap	ɲmsaβi
WHO_1	luːɲ				
WHO_2		maːp		məʔap	
WHO_3			makaʧ		
WHO_4					βka
WIND_1	ʧxa				
WIND_2		jaːjp			
WIND_3			mataha~matha	mat̪xa	mathaja~mathaːja~mathaja
WOMAN_1	sʔak		θiɲaʔaːk~θiɲaʔaːk	ɲəʧʔak	
WOMAN_2		sinʲ			
WOMAN_3					βqi~pqi
WORM_1	maʔiːʎ̥	iɬ			ʔʔila
WORM_2			iʔiːʎva		
YEAR_1	matkaːm				
YEAR_2		ʔaːnʲ			
YEAR_3			hoðe~huːðe		ʔʧʰura
YEAR_4				matwam	
YELLOW_1	qʷaʂ	ʔəkʷas	ʔaqʷaθm~ʔaqʷaːθm	kʷas	ʔqʷaθi
