Gloss	Central Pomo	Central Yana	Chimariko	Cocopa	Eastern Pomo	Highland Chontal	Ipai	Karok	Kashaya	Mohave	Northeastern Pomo	Northern Pomo	Northern Yana	Seri	Shasta	Southeastern Pomo	Southern Pomo	Tipai	Yahi	Yavapai
EAT_5						dideʔma														
EAT_6							wəsaːw											saːw		
EAT_7								aβ												
EAT_8															kwiʧkuk					
EGG_1	ʧʼoː				kʼo				hiʧʼoː		ʧʼo	ʧʼoː				qʼo	hiʧʼːo			
EGG_2			anuqʰa																	
EGG_3				xmaʂuʔap																
EGG_4						ɬabiʔe														
EGG_5							ʔuɹ													
EGG_6								uɾuh												
EGG_7										iθʔaw										
EGG_8														iːpχ						
EGG_9															sumpitʼirir					
EGG_10																		ʃəjaʧ		
EGG_11																				sqawa
EYE_1	ʔuj				ʔuj				huʔuj			ʔuj				ʔuj				
EYE_2		ʦʰuna											ʦʰuna						ʦʰuna	
EYE_3			husot~husu	ʔiju						iːðo										
EYE_4						laʔu														
EYE_5							əjiːw											jiːw		ju
EYE_6								juːp												
EYE_7											ui									
EYE_8														ito						
EYE_9															ʔuj					
EYE_10																	huʔːukʰbe			
FAR_1		pʰau											pʰau							
FAR_2				kuɾ			ʔəkuɹ											kur		
FAR_3					lila															
FAR_4						ʔaɡuliʔ														
FAR_5								jiːβ												
FAR_6										ʔamiːʧk										
FAR_7												ʧadil								
FAR_8														toːχ						
FAR_9															ʔukːax					
FAR_10																				twaji~twaji
FAT (FROM ANIMALS)_1	pʰuj				pʰuj				ʔihpʰuj			pʰuj					ʔihpʰuj			
FAT (FROM ANIMALS)_2		xaujau											xaujau						xaujau	
FAT (FROM ANIMALS)_3			pʰiʔa																	
FAT (FROM ANIMALS)_4				ʃaj																saja
FAT (FROM ANIMALS)_5						ʔalmanteka														
FAT (FROM ANIMALS)_6								aθkuɾit												
FAT (FROM ANIMALS)_7										ʔamusaj										
FAT (FROM ANIMALS)_8											fijin									
FAT (FROM ANIMALS)_9														iʔaχ						
FAT (FROM ANIMALS)_10															ʔiːnaʔ					
FAT (FROM ANIMALS)_11																fuj				
FEATHER_1	ʔi		huto~hutːu~hutu													ʔi				
FEATHER_2				ʃawal						siviːʎ										
FEATHER_3					jiːʔi				hiʔi								hiʔːi			
FEATHER_4						laʃaɬ														
FEATHER_5								iːθka												
FEATHER_6											tʰa									
FEATHER_7												tʰe								
FEATHER_8													puːni						puːni	
FEATHER_9														ina						
FEATHER_10															ʔapːaʔ					
FEATHER_11																				wala
FIRE_1	ho			ʔaʔaː					ʔoho	ʔaʔaw	oho	ho					ʔohːo			ʔʔo
FIRE_2		ʔauna											ʔauna						ʔauna	
FIRE_3			apu																	
FIRE_4					xo											χo				
FIRE_5						ɬuŋa														
FIRE_6							ʔaːw								ʔimːa					
FIRE_7								aːh												
FIRE_8														ʔamak						
FISH_1	ʃa				ʃa				ʔahʃa		ʃakaː	ʃa				xa	ʔahʃa			
FISH_2		kalaː											kalaː						kalaːxi	
FISH_3				siʔiʎ̥																
FISH_4						ɬadu														
FISH_5								fiʃ												
FISH_6										ʔaʧiː										ʔʧi
FISH_7														ʃiχkam						
FLY (MOVE THROUGH AIR)_1	pʰde				pʰuːdiːl							pʰide								
FLY (MOVE THROUGH AIR)_2		pa											pa						pa	
FLY (MOVE THROUGH AIR)_3			tu																	
FLY (MOVE THROUGH AIR)_4				man			wəman̪~uman̪													
FLY (MOVE THROUGH AIR)_5						dijuʔma														
FLY (MOVE THROUGH AIR)_6								ikxip						kkap						
FLY (MOVE THROUGH AIR)_7									ʧa							ʦal	haʧːa			
FLY (MOVE THROUGH AIR)_8										ijerk										
FLY (MOVE THROUGH AIR)_9											heːwit̪in									
FLY (MOVE THROUGH AIR)_10															ruːhukaʔ					
FLY (MOVE THROUGH AIR)_11																				βjari
FOOT_1	kʰma				xaːmaː				qʰama		kʰama	kʰama				χman	kʰaːma			
FOOT_2		lalla											lalla						lalla	
FOOT_3			hupʰːo																	
FOOT_4				ʔimiː			əmilʲ			iːme								miː		mi
FOOT_5						laʔmis														
FOOT_6								fiθih												
FOOT_7														itoaː						
FOOT_8															ʔakʼːus					
FULL_1	ʃtʼutʼ													kpokt						
FULL_2		panʔiː											paʔniː						paʔniː	
FULL_3			hiʦʼʲolam																	
FULL_4				ʧpuɾ			t̪əmuɹ											t̪əmʔur		
FULL_5					pʼit̪ʼ															
FULL_6						namma														
FULL_7								axjaɾ												
FULL_8									ʧutʼaːq											
FULL_9										tapeːsm										
FULL_10												haʧʼa								
FULL_11															kʼahutiknaʔ					
FULL_12																χat̪emat̪				
FULL_13																	ʔahjakʼ			
FULL_14																				tmpiri
GIVE_1	daːka				diːqaː				dihqa			dika		iːkɛ			dihka			
GIVE_2		halʦawau											halʦawau							
GIVE_3			hawut																	
GIVE_4				iː																
GIVE_5						debiʔiʔma														
GIVE_6							winʲ											iɲ		
GIVE_7								eːh												
GIVE_8										ajm~aajm										
GIVE_9											hoːn									
GIVE_10															tawiːk					
GIVE_11																ʔaqa				
GIVE_12																				ʔe
GOOD_1	kʼdi				qʼoːdij				qʼoʔdi		kʼudi	kʼidi					kʼoʔdi			
GOOD_2		ʦʼupʔ											ʦʼupʔ						ʦʼupʔ	
GOOD_3			hisiʔtʼa																	
GOOD_4				pxʷaj			ʔəxan̪											ʔiːxan~xan		
GOOD_5						ʔakʼa														
GOOD_6								jaβ												
GOOD_7										ʔahotk~ʔahoːtk										ʔhani
GOOD_8														kiːpɛ						
GOOD_9															kʼarisːaʔ					
GOOD_10																ʦʼima				
GREEN_1	ʦʼaːkʰil								ʦʼaqʰaːla			ʦʼakʰatʼ								
GREEN_2			himamsuʔ																	
GREEN_3				xpsiw			xəpəʂiw											xəpʃiw		
GREEN_4					ʦʼaːbaʦʼaːbakʰ					havasuːk										
GREEN_5						ʔaʃwajɡa														
GREEN_6								θukinkuniʃ												
GREEN_7											ʧamoron									
GREEN_8													taʦʼkaisa						taʦʼkaisa	
GREEN_9														koːiɬ						
GREEN_10															ʔeːriʧumpaxiʔ					
GREEN_11																ʦʼijaʦʼija				
GREEN_12																	ʦʼahkʰil			
GREEN_13																				haβsuwi
HAIR_1	ʔeː								heʔe		hele	ʔe				ʔej	heʔːe			
HAIR_2		kʼujulla											kʼujul						kʼuʔjulla	
HAIR_3			himːi																	
HAIR_4				mxʷaɬ																
HAIR_5					muːsu															
HAIR_6						ɬaʍak														
HAIR_7							xəɬʲt̪aː											ʎ̥t̪a		
HAIR_8								ifunih												
HAIR_9										iʔe~ɲiʔe										
HAIR_10														iɬit						
HAIR_11															ʔiːnax					
HAIR_12																				qwawa
HAND_1	t̪ʰna											t̪ʰana					t̪ʰaːna			
HAND_2		talla											talla						talla	
HAND_3			hitʲa~hiʦʲa																	
HAND_4				ʔiʃaːʎ̥			əsaɬʲ			iːsaʎ								ʃaʎ̥		sal
HAND_5					biːj̥a															
HAND_6						lamane														
HAND_7								tiːk							ʔapka					
HAND_8									ʧohʃo		t̪ohʃo									
HAND_9														inoɬ						
HAND_10																at̪an				
HEAD_1	ʃnaː											ʃinaː					ʃinːa			
HEAD_2		tʼalʔaina											tʼalʔaina							
HEAD_3			himaʔ																	
HEAD_4				mkuɾ																
HEAD_5					kʰaːja											xija				
HEAD_6						ɬaʍak														
HEAD_7							xəɬʲt̪aː													
HEAD_8								axβaːh												
HEAD_9									hoʔt̪ʼo											
HEAD_10										ʧuksa~ʧuska										
HEAD_11											t̪inaː									
HEAD_12														iɬit						
HEAD_13															ʧaːraw					
HEAD_14																		ʎ̥mu		
HEAD_15																				huː
HEAR_1	ʃoːʧ				ʃoːkʰ				ʃoːʧ			ʃoːʧi					ʃoːʧi			
HEAR_2		kaː											kaː	kiː					kaː	
HEAR_3			χukejat																	
HEAR_4				ʔiːʔiːp			jip											ʔip		
HEAR_5						diɡjehʔma														
HEAR_6								θitiβ												
HEAR_7										aʔavk										
HEAR_8											ʃimit̪									
HEAR_9															kwikhjawik					
HEAR_10																xkʼo				
HEAR_11																				ʔeβi
HEART_1	kʰam											kʰam								
HEART_2		ʦukuʦʼi											ʦukʼutʦʼi							
HEART_3			husaʔanʧeːi																	
HEART_4				ʔijaːj																
HEART_5					saːmaːj															
HEART_6						ɬonʃahmaʔ														
HEART_7							iːʧix													
HEART_8								iθβaːj												
HEART_9									ʦʼuhkul							ʦʼukut̪	ʦʼuhkun			
HEART_10										iːwa										
HEART_11											kʰamʃeme									
HEART_12														imoʃ						
HEART_13															ʔiwaːsurʔ					
HEART_14																		iːʧaʃ		
HEART_15																				iwaja
HEAVY_1			himita																	
HEAVY_2				ɲix			wən̪ix~wən̪ax			ineːh~ineːθ								nix		
HEAVY_3					xaːlikʰ															
HEAVY_4						ʔaɡundaʔ														
HEAVY_5								maːθ												
HEAVY_6													miʦa							
HEAVY_7														kmotɛt						
HEAVY_8															ʔiʧkakʼ					
HEAVY_9																ʔtʼeʔkit̪				
HEAVY_10																			ʦʼaʔwiʦa	
HEAVY_11																				no
HORN (ANATOMY)_1	ʔa				ʔa				haʔa		ʔa	ʔa				ʔa	haʔːa			
HORN (ANATOMY)_2		weːju						βeːhʃuɾ~βeːʃuɾ					weːju						weːju	
HORN (ANATOMY)_3			huwesʲ																	
HORN (ANATOMY)_4				kʷa			əkʷaː			iːkʷe										kʷa
HORN (ANATOMY)_5						leɡaɬ														
HORN (ANATOMY)_6														itaːmaɬka						
HORN (ANATOMY)_7															waːpaʔ					
I_1	ʔaː				haː				ʔa		ʔaː	ʔaː		ʔɛ		ʔa	ʔaːʔa			
I_2	t̪oː								t̪o		ʔaht̪o	t̪oː					ʔat̪ːo			
I_3		aiʔniʦa											aiʔniʦa						aiʔniʦi	
I_4			noʔot																	
I_5				ɲaːʧ			ʔənʲaːʧ			ʔiɲeʧ								ɲaːʧ		ʔɲaʧi
I_6					wi											wit̪				
I_7						ʔijaʔ									jaːʔa					
I_8								naː												
KILL_1	haːkʼuːm		hakʰo																	
KILL_2		ʔamʔʦi											ʔapʔʦi						ʔapʔʦi	
KILL_3				nak																
KILL_4					ʃaːkʼ															
KILL_5						dimaʔaʔma														
KILL_6							aːmuːʧ											aːmuːʧ		
KILL_7								ijkaɾ												
KILL_8									pʰakʼuːm											
KILL_9										tapujm										
KILL_10											kʼamanan						mihjana			
KILL_11												ʧaban								
KILL_12														kikʷ						
KILL_13															kʼwiʧkaxawiːk					
KILL_14																mudoqa				
KILL_15																				nehi
KNEE_1	snoː										ʃiʔkʼono						sinːot̪ːa			
KNEE_2			hitxanimaxa																	
KNEE_3				ʔimiːtaːkaːɲ			məxət̪un̪~xəmət̪un̪													
KNEE_4					qʼuːt̪ul											qʼada				
KNEE_5						ɬeŋone														
KNEE_6								paθak											pʰuːtikʼi	
KNEE_7									moqʰoː											
KNEE_8										iːmemipuk								miːnəpuk		mipuk
KNEE_9												jaːsis								
KNEE_10													hiːwakinna							
KNEE_11														iɸɬk						
KNEE_12															ʔiʧʼːipka					
KNOW (SOMETHING)_1	jaqʼ																			
KNOW (SOMETHING)_2			hiʦʼahu																	
KNOW (SOMETHING)_3				ʔuːjaː														uːjaːw		
KNOW (SOMETHING)_4					meːʔel															
KNOW (SOMETHING)_5						ʔiʃinaʔ														
KNOW (SOMETHING)_6							n̪uɹ													
KNOW (SOMETHING)_7								aːpunma												
KNOW (SOMETHING)_8									ʔduːʧiʧʼ								hiʔduʧːed			
KNOW (SOMETHING)_9										suːpawm										spo
KNOW (SOMETHING)_10												ʃaː								
KNOW (SOMETHING)_11													tiʦipa							
KNOW (SOMETHING)_12														kija						
KNOW (SOMETHING)_13															tiːwaːjkʼahaːʔ					
KNOW (SOMETHING)_14																fdiqa				
LEAF_1	stʼal				siːtʼal															
LEAF_2			hitaxai																	
LEAF_3				wal																
LEAF_4						libela														
LEAF_5							ʔəjaɬ			hamaʎ										
LEAF_6								saːn												
LEAF_7									ʃihpʰa			ʃapʰa								
LEAF_8											t̪uʔt̪ʼa									
LEAF_9													tʼaːpʰalla							
LEAF_10														istx						
LEAF_11															xanːar					
LEAF_12																kiqt̪a				
LEAF_13																	ʃiːma			θeqa
LIE (REST)_1	mti								miti			miti				mat	miːti			
LIE (REST)_2		murul											murul						murul	
LIE (REST)_3			haʧuːtat																	
LIE (REST)_4				jak			jaq											jak		jaki
LIE (REST)_5					mer						meːre									
LIE (REST)_6						ɡunowja														
LIE (REST)_7								ijɾuːhɾiβ												
LIE (REST)_8										iðikk										
LIE (REST)_9														koːm						
LIE (REST)_10															riʦaːʔ					
LIVER_1	ʃaːlaː				kʰaːl̥al				ʧahlaː		ʧʰalaː	ʃalaː				ʃlal~ʃlala				
LIVER_2		ima											ima						ima	
LIVER_3			husi												ʔeːpsi					
LIVER_4				ʧpuʂu			ʧəpəsiː											t̪əpsi		
LIVER_5						ɬada														
LIVER_6								βafiʃ						ijas						
LIVER_7										ʧavuθiː										ʧβθi
LIVER_8																	ʧalha			
LONG_1	kol	ʦul										kol	ʦul						ʦul	
LONG_2			hiʦʰʲut																	
LONG_3				kuʎ̥			ʔəquɬ			ʔakʲuːʎm										kʲuli
LONG_4					baːkil											biʦil				
LONG_5						ʔidoɡi														
LONG_6								βaːɾam												
LONG_7									ʔahqol								ʔahkon			
LONG_8											kolon									
LONG_9														kakʷsχax						
LONG_10															ʔukːaxawhiʔ					
LOUSE_1	ʧi				kiː							ʧi								
LOUSE_2				ʔiʔiʎ̥						ɲiʔiːʎ										hʔel
LOUSE_3						ɬajɡwi														
LOUSE_4							əmiɬʲ													
LOUSE_5								aʧiːʧ												
LOUSE_6									ʔahʧi								ʔahʧi			
LOUSE_7											t̪ikaː									
LOUSE_8													ʦina			ʦin				
LOUSE_9														iː						
LOUSE_10															ʧʼiːtakʼ					
MAN_1	baja								hiʔbaja			baː								
MAN_2		hisi						aβansa					hisi						hihsi	
MAN_3			itʼʲi~iʦʼʲi																	
MAN_4				ʔapa						ʔiːpa								ʔiːpa		
MAN_5					kaːkʰ															
MAN_6						ɡalʃans~ɡalʃans														
MAN_7							ʔiːkʷiʧ													
MAN_8											biki									
MAN_9														ktam						
MAN_10															ʔawatikhwaː					
MAN_11																ʦawi				
MAN_12																	ʔaʧːaj			
MAN_13																				pahmija
MANY_1	t̪ʰedu																			ʔte
MANY_2		tatʔ											tatʔ						tatʔ	
MANY_3			hitat~hitʼam																	
MANY_4				ʎ̥aj														ʎ̥aw		
MANY_5						ʔaʃpeʔ														
MANY_6							xəmiːj~ʔəxmiːj	taːj												
MANY_7									batʰeː		bahtʰe	batʰe				biteqa	bahtʰe			
MANY_8										ʔapaʎm										
MANY_9														katχo						
MANY_10															ukːari					
MEAT_1	pʼʃe				biːʃe				bihʃe		behʃe	biʃe	pasi			bxe	behʃe		pahsi	
MEAT_2			aʔa					iːʃ												
MEAT_3				ʔimaːʧ																
MEAT_4						liʃikʼ												kʷak		
MEAT_5							kukʷaːjp			kʷiːkʷaj~kiːkʷaj										
MEAT_6														ipχasi						
MEAT_7															ʔarawʔ					
MEAT_8																				kʷeθoβa
MOON_1	laːʃa								qʼalaːʃa								ʔalːaːʃa			
MOON_2			ala~alla				xəɬʲaː													
MOON_3				xʎ̥ʔa						haʎʔa										
MOON_4					duːwelaː						duwedakaː					ʔeweda				
MOON_5						ɡalmut͡ɬʼa														
MOON_6								kuːsɾah					wakʼaːra						wakʼaːra	
MOON_7												da								
MOON_8														iːʃaχ						
MOON_9															ʧʼuːwar					
MOON_10																				hla
MOUNTAIN_1	daːno				daːno				dono			dano					doːno			
MOUNTAIN_2		ʦiːkalla											ʦiːkalla						ʦiːkalxi	
MOUNTAIN_3			awu							ʔaviː										ʔwi
MOUNTAIN_4				wiː																
MOUNTAIN_5						ɬiʍala														
MOUNTAIN_6							mat̪ət̪aj											matkʷat̪aj		
MOUNTAIN_7								tuːjʃip												
MOUNTAIN_8											wiʃaː									
MOUNTAIN_9														ʔast						
MOUNTAIN_10															wakːwe					
MOUNTAIN_11																kno				
MOUTH_1	ha								ʔaha		hamo	ha					ʔahːa			
MOUTH_2		palla																	palla	
MOUTH_3			hawa																	
MOUTH_4				ʔija																
MOUTH_5					xaʦʼiːda											χast̪o				
MOUTH_6						laɡo														
MOUTH_7							aː											aː		
MOUTH_8								apmaːn												
MOUTH_9										iːja										ja
MOUTH_10														itɛːn						
MOUTH_11															ʔaw					
NAME_1	ʃi				ʃi							ʃi				xi				
NAME_2		ʦeːjauna											ʦeːjauna						ʦeːjauna	
NAME_3				muʎ̥						imuːʎ										mul~mol
NAME_4						laftine														
NAME_5							ʧəxiʧ													
NAME_6								iθβuj												
NAME_7									ʃihʧimaːʧʼ											
NAME_8											ahʃin									
NAME_9														itaːsi						
NAME_10															kʼeːkwajik					
NAME_11																	ʔahʃiːjaw			
NEAR_1		kʼaʔnai											kʼaʔnai						kʼaʔnai	
NEAR_2				xɾpaj			xəlʲəpaj											xəʎpaj		
NEAR_3					t̪ʰiːbal															
NEAR_4						ʔaserka														
NEAR_5								uːmukiʧ												
NEAR_6										ipanm										ipe
NEAR_7														ʔantaχɬ						
NEAR_8															ʔamːax					
NECK_1	mja								mihja								mihja			
