Gloss	Central Pomo	Eastern Pomo	Kashaya	Northeastern Pomo	Northern Pomo	Southeastern Pomo	Southern Pomo
SUN_1	da			dakaː			
SUN_2		laː					
SUN_3			haʔda				haʔda
SUN_4					mit̪ʼaː	mʦilda	
SWIM_1	kʰaʧde						
SWIM_2		xaːqaː				χajqam	
SWIM_3			ʧiw				
SWIM_4					kʼot̪ama		
SWIM_5							ʔohkomaj
TAIL_1	baː	jiːbaː	hibaː	ʃiʔbaː		ba	
TAIL_2					kimaː		
TAIL_3							hibʔakʰle
THAT_1	mul				mul		
THAT_2		ʔo					
THAT_3			haʔu	hamuː		ʔiji	hamːu
THIN (OF SHAPE OF OBJECT)_1		peːt̪ʰ					
THIS_1	bal				ʔal		
THIS_2		me					
THIS_3			maʔu			miji	maːmu
THOU_1	ma	ma	ma	ama	ma	ma	ʔaːma
TONGUE_1	hawba		haːba	huʔbaː	habaː		hibʔa
TONGUE_2		bal				bal	
TOOTH_1	ʔo	jaːʔo	hoʔo	ʔo	ʔo	ʔo	hoʔːo
TREE_1	kʰle	xaːleː	qʰale	kʰali	kʰale	χale	kʰaːle
TWO_1	kʰoː		qʰoː		kʰoː		ʔakʰːo
TWO_2		xoʧʰ					
TWO_3				kʰoʔoːkai			
TWO_4						χos	
WALK_1		waduːkiː					
WALK_2			w			wal	
WALK_3					hu		
WARM_1	ho		ʔoho		ho		ʔohːo
WARM_2		xo					
WARM_3				moʔʦʼolon			
WARM_4						mit̪ʼe	
WATER_1	kʰa	xa		kʰa	kʰa	χa	
WATER_2			ʔahqʰa				ʔahkʰa
WE_1	ja		ja	ajaː	ja		ʔaːja
WE_2		waː				wij	
WHAT_1	kʼowa				kʼo		
WHAT_2		ʧʰi					
WHAT_3			baqʼoː	pʰaːʃka			baːkʼo
WHAT_4						ʔawi	
WHITE_1	kaːle		qahle		kale		kahle
WHITE_2		pʰiːt̪ʼaw					
WHITE_3				tʰajan			
WHITE_4						t̪ʼot̪ʼo	
WHO_1	baːwa						
WHO_2		kiːjaː					
WHO_3			ʧibaː		ʧibaː		
WHO_4				t̪ʰaʔa		ʦaʔe	ʧaʔːa
WIND_1	ja	j̥a	ʔihja	hija	ja	ja	ʔihja
WOMAN_1	maːt̪a		ʔimaːt̪a		maːt̪a		
WOMAN_2		da		daki			
WOMAN_3						bited	
WOMAN_4							baʔaj
WORM_1		kʰol					
WORM_2			bila				
YEAR_1		xuːʦʼaj					
YEAR_2			mal		jemal		
YEAR_3						mutin	
YELLOW_1	ʧot̪ʼəʃəba	quːʃiliʃiːba			ʧiʃilʃiba		
YELLOW_2			qʰalaːʧ				
YELLOW_3				kʰaʃiʔba			
YELLOW_4						kiʔilt̪ʼo	
YELLOW_5							biʔdubotʼ
