Gloss	Apolobamba	Apurí-Madean-Viñac	Ayacucho	Azuay	Cacra-Hongos	Cajamarca	Chachapoyas	Chimborazo	Chocos-Huangáscar	Chuquisaca	Cochabamba	Colombian Inga	Corongo	Cuzco	Eastern-Apurímac	Huallaga-Huánuco	Huancavelica	Huaraz-Huailas	Huaylla-Huanca	Imbabura	Jauja-Huanca	Lambayeque	Laraos	Lincha-Tana	Liscay-San Pedro	Napo	Pacaraos	Pastaza	Puno	San Martín	Santiago del Estero	Tena	Yaru
HEAVY_2															panra																		
HEAVY_3															qasupa																		
HIDE (CONCEAL)_1	paka	paka	paka	pakana	paka	paka	paka	paka	paka	paka	paka	pakakuʧi	paka	paka	paka	paka	paka	pakaːj	paka	pakana	paka	paka	paka	paka	paka	pakana	paka	pakana	paka	paka	paxa	paka	paɡa
HIDE (CONCEAL)_2			ʧinkaʧi																														
HORN (ANATOMY)_1	waχra	waqɾa	waχɾa		waqla	waqra	wakra		waqɾa	waχra	waχra		waqra	waχra	waqra	waχra	waχra	waqɾa	waʔla		waʔla	waχra	waχra	waqɾa	waqɾa		waχɾa		waχra	wakra	waχɾa		waχɾa
HORN (ANATOMY)_2				ɡaʧu				ʁaʧu~ɡaʧu				kaʧu								kaʧu						kaʧu		kaʧu					
HORN (ANATOMY)_3																												kurmita					
HORN (ANATOMY)_4																																kurnus	
HOT OR WARM_1	ʎiχti																																
HOT OR WARM_2		qoni	χoɲi	kunuɡ	qoni	quɲuχ	kuɲu	kunux~kunuxʒa	qoni	qʼuɲi		kunu		qʼuɲi	qoɲi		χuni					χuɲuχ		qoni	qoni		χoɲu		qʼuɲi	kuɲu			χonu
HOT OR WARM_3											rupʰa~r̝upʰa	rupa														rupa		ɾupa			ɾupaχ	rupak	
HOT OR WARM_4													aʧaʧaq			akaχ			akaʈ͡ʂaq		akaʈ͡ʂaq		akaʧaq										aka
HOT OR WARM_5																				kunkuʎa													
HUSBAND_1	qusa	qosa	χosa	kusa	qosa	qusa	kusa	kusa	qosa	qusa	qusa	kusa	qusa	qusa	wosa	qusa	χusa	qowa	ʔusa	kusa	ʔusa	χusa	qusa	qosa	qosa	kau̯sa	χowa	kusa	qusa	kusa	qosa		χowa
HUSBAND_2		qaɾi			qali				qaɾi															qaɾi	qaɾi							kari	
KNEE_1	qunqur	qonqoɾ		kunɡuɾi	qonqol	qunɡuri	kunɡuri		qonqoɾ			kunɡur	qunquri			qunqur		qoɲqoɾ	ʔunʔul	kunɡuɾi	ʔunʔul	qunɢuri	qunqur	qonqoɾ	qonqoɾ	kunɡuri	χoɴχuɾ	kunɡuri	qunquri	kunɡuri	qoŋqoɾi	kunɡurimuku	χoɴχuʐ
KNEE_2		moqo	moχo						moqo	muqu	ʧakimuʁu			muqu	moqo		muχu								moqo								
KNEE_3								sampi																									
KNOW (SOMETHING)_1	jaʧa	jaʈa	jaʧa	jaʧana	jaʈa	jaʈ͡ʂa	jaʈ͡ʂa	jaʧa	jaʈa	jaʧa	jaʧa	jaʧa	jaʈ͡ʂa	jaʧa	jaʧa	jaʧa	jaʧa	jaʧa	jaʈ͡ʂa	jaʧana	jaʈ͡ʂa	jaʈ͡ʂa	jaʈ͡ʂa	jaʈa	jaʈa	jaʧana	jaʈ͡ʂa	jaʧana	jaʧa	jaʧa	jaʧa	jaʧa	jaʈ͡ʂa
KNOW (SOMETHING)_2																											ɾeχi						
LAUGH_1	asi	asi	asi	asina	asi	asi	asi	asi	asi	asi	asi	asi	asi	asi	asi	asi	asi	asi	asi	asina	asi	asi	asi	asi	asi	asina		asina	asi	asi	asiː	asi	
LAUGH_2																											aji						
LAUGH_3																																	ai̯ku
LEAF_1	rapʰi	ɾapɾi	ɾapi		ʃapla	rapra	rapra		ɾapɾa				rapra	rapʼi~rapʰa~rapʼa~rapʰi	rapi	rapra	rapi		lapla		lapla	r̝apra	lapra		ɾapɾa		ɾapɾa		lapʰi	rapra			ʐapɾa
LEAF_2		juɾa							juɾa																								
LEAF_3			ʎaχe							laqʰi	laqʰi																						
LEAF_4				panɡa				pʰanɡa				panɡa								fanɡa						panɡa		panɡa				panɡa	
LEAF_5					ʃuja																												
LEAF_6																		matu															
LEFT_1	ʎuqʼi			ʎuki			ʥuki	ʒuki		ʎuqʼi	ʎuqʼi	ʎuxi		ʎuqʼi	ʎoke					ʎuki						ʎuki		ʎuki	ʎuqʼi	ʥuki	ʒoχe	ʎuki	
LEFT_2		iʧoq	iʧoχ		iʧoq	iʧuχ			iʧoq				iʦuq			iʧuχ	iʧuχ	iʦoq	iʧuʂ		iʧuʂ	iʧuq		iʧoq	iʧoq								iʧoχ
LEFT_3																							upa										
LEG_1	ʧaki	ʈaki			ʈaki				ʈaki	ʧaki	ʧaki													ʈaki	ʈaki				ʧaki				
LEG_2			ʧanka	ʧanɡa		ʈ͡ʂanɡa	ʈ͡ʂanɡa	ʧanɡa				ʧanɡa	ʈ͡ʂanka	ʧaka	ʧanka	ʧanka		ʧaɲka	ʈ͡ʂanka	ʧanɡa	ʈ͡ʂanka	ʈ͡ʂanɡa	ʈ͡ʂanka			ʧanɡa	ʈ͡ʂaŋka	ʧanɡa		ʧanɡa	ʧuŋka	ʧanɡa	ʈ͡ʂaŋka
LEG_3																	perna																
LICK_1	ʎaqwa	ʎaqwa	ʎaχwa	ʎaɡwana	ʎaqwa	ʎaqwa	ʥakwa	ʎawana	ʎaqwa	ʎaqwa	ʎaqwa	ʎakwa	laqwa	ʎaχwa	ʎaqwa~lau̯qa	ʎaqwa	ʎaχwa	laqwa	ʎaʔwa		ʎaʔwa	ʒaχwa	ʎaqwa	ʎaqwa	ʎaqwa	ʎau̯kana	laʁwa	lau̯kana	ʎaχwa	ʥakwa	ʒaχwa	ʎau̯ka	laχwa
LICK_2			lampi																	lambina													
LIGHT (WEIGHT)_1	suxa																												suxa				
LIGHT (WEIGHT)_2			sampa																														
LIGHT (WEIGHT)_3				panɡaʎa				panɡiʒa					ankaʃ		panqa	ankaʃ				fanɡaʎa						panɡaʎa		panɡaʎa				panɡaʎa	aŋkaç
LIGHT (WEIGHT)_4										ʧhaʎa				ʧhaʎa	ʧaʎa																		
LIGHT (WEIGHT)_5											pisiʎa																						
LIGHT (WEIGHT)_6												manaʎasa																			manalasaχ		
LIGHT (WEIGHT)_7																	ʎaχiʎa																
LIGHT (WEIGHT)_8																		aleːɾi															
LIGHT (WEIGHT)_9																			hakja				ʃakjaʎa										
LIGHT (WEIGHT)_10																						lapʃa											
LIGHT (WEIGHT)_11																														utka			
LIP_1	wirpʰa			wiɾpa										wirpʼa	sirpa~wirpa	wirpa		wiɾpa	wiʎpa		wiʎpa						wiɾpa						
LIP_2		qaʎu																															
LIP_3			hita								hita						χita																χeːta
LIP_4						ʃimi		ʃimihita		simi		simikara	ʃimi							ʃimi		ʃimi	ʃimi			ʃimikara		ʃimikara				ʃimikara	
LIP_5																													labio				
LIP_6																														heta			
LIP_7																															sipɾiː		
LOUSE_1	usa	usa	usa	usa	usa	usa	usa	usa	usa	usa	usa	usa	usa	usa	usa	usa	usa	uxa	usa	usa	usa		usa	usa	usa	usa	uwa	usa	usa	usa	usa	usa	uwa
LOUSE_2																						lisu~liʃu											
MAN_1	qʰari	qaɾi	χaɾi	kaɾi	qali			kʰari	qaɾi	qʰari	qʰari	kari		qʰari	qari		χari		kaɾi	kaɾi			qari	qaɾi	qaɾi	kari		kari	qʰari		qaɾi	kari	
MAN_2						uʎʁu																											
MAN_3							uʥku						uʎqu			uʎqu					uʎʔu						ulχo			uʥku			olχu
MAN_4																		hombɾe															
