Gloss	Arabic (MSA)	Chadian (Western Sudanic)	Cypriot (Kormakitis)	Dhofari (Oman)	Egyptian (Lower Egyptian)	Gulf (Emirati)	Hassaniya (Mauritanian)	Iraqi (Southern Iraq/Baghdad)	Levantine (Central/Syro-Lebanese)	Maltese	Moroccan (Casablanca)	Moslawi (Northern Iraq)	Najdi (Riyadh)	Sanaani (Sana'a)	Sudanese (Khartoum)	Tunisian (Tunis)
near	qɑriːb~bi-qurb~bi-ʤaːnib	ɡariːb	ʒump	qurb~qɑriːb	ʔɔrɑjjɛb~ɡamb	ɡarˤiːb~duːni~jamm	ɡrʌjjəb~ħða	qɑrˤiːb~jamm	ʔariːb~ħadd	qrib~ħdejn	qrib~ħdɑ	qʌɣiːb~jʌmm	d͡zəriːb~wzaːn~ʕənd	ɢariːb~ɡʲamb	ɢariːb	qriːb~ħðɛː
neck	ʕanq~raqaba	rɛɡaba	raɣbe	raqba~ħalq	raʔaba	rɡuba	raɡba	ruɡbɑ~ʢunɛɡ	rɑʔbɛ	ɔːnʔ	ʕənq	ɣʌqqabi	ʕɛlba	raɢabih~ruɢbih	raɢaba	raqbaː~kruːmaː
new	ʤadiːd	ʤɛdiːd	ʒtiːt	ɡadiːd	ɡɛdiːd	jadiːd	ʒdiːd	ʤɛdiːd	ʒdiːd	ʤdɪːd̥	ʒdid	ʤdiːd	ʤədiːd	ɡʲadiːd	ɡʲadiːd	ʒdiːd
night	lajla	llɛːl	lajl	lɛːl	lɛːla	lɛːl	lɛjl	lìɛl	lɛjlɛ ~ lɛːla	lɛjl	lil	lĭl	lɛːl	lajlih	lɛːla	liːl
nose	ʔanf	muxɛr	mɑxúr	xuʃum	maraxiːr	xaʃɛm	xnaːvĭr	xaʃɛm	manxɑr	mnɪːħɛr	nif	xʌʃim	xaʃim	nuχrih	nɑχrɑ	xʃam~mnɛːxɛr
not	lajsa~lajsat~maː~laː~lam~lan	maː	la~má-~máj	maː~lɔːb~lɑː	mɛʃ~mɔʃ~ma...ʃ	mu~mɔːb~ma~laː	maː~laː~maːhu	muː~mɑ~lɑː	mɛʃ~mu~mɑ	mʊːʃ~ma...x	maʃi~ma...ʃ	mɒː	muː~ma~la	maːʃ~ma...ʃ~lɑː~ɣajr	ma~muʃ	muːʃ~ma...ʃ
old	qɑdiːm~ʕatiːq~ʃajb~ʃajx~ʕaʤuːz	ɡɛdiːm~ʃɛːb	ʕɑtiːk	qɑdiːm~dawiːl~ʃɛːb~daːθir	ʔadiːm~ʕ̞aɡuːz	qɑdiːm~kabiːrˤ~ʕɔːd	adras~akhal~kbiːr	ʢatiːɡ~qɑdiːm~ʃaːjɛb	ʔadiːm~xɛtjɑːr~ʃɛjb~ʕatiːʔ	xiħ~qadim~antik	qdim~kbir	qʌdiːm~ʕʌtiːq~ʃiːb	ɡədiːm~ʃaːjɛb	ɢadiːm~kabiːr~ʕaɡʲuːz	ɢadiːm~ʕatˤiːɢ~ʕaɡʲuːz	qdiːm~kbiːr
one	waːħid~waːħida	waːhid~wahdɛ	ɛxɛn~ɛxtɛ	waːħad~waːħada	waːħɛd~waħda	wɑːħɛd~wɛħdɛ	waːħid~waħda	wɑʜɛd~wɛʜdɛ	wɑːħɑd~wɑħdɛ	wɪːħɛd̥~waħda~waħdiet	waħɛd~wɛħdɑ~wɛħdin	wiːħəd~wiħdi	waːħid~wɛħdɛ	waːħid~waːħidih	wɑːħɛd~wɛħdɛ	waːħid~wɛːħda
other	ʔaːxɑr~ɣɑjr	lʔaːxar	axar	θaːniː	taːni	θɑːni~xlɑːf	ʌwxər	lux~llaːx	tɛːnɛ~ɣɛːr	ieħor	axərˤ	əllaːx	θaːni~ɣɛːr	ʃiː~θaːni~ɣajr	taːni	lɛːxɑr
rain	mɑtˤɑr	matar~almɛ	ʃite	mɑtˤɑr~raħma~rɑðɑːð~naff	mɑtɑr~ʃɛta	mutˤɑr	ʌsħaːb	mutˤɑr	ʃɛti~ʃitɛː	ʃɪtɐ	ʃtɑ	mɑtˤɑɣ	mutˤɑr	matˤɑr	mɑtˤɑr	ʃtaː
red	ʔaħmɑr	ahmar	ɑxmɑr	ħmaːr~xumriː	ɑħmɑr	ħɑmɑrˤ	ʌħmɑr	ʔɑʜmɑr~damawi	ʔɑħmɑr	ɐħmɐr	ħmər	ʌħmɑɣ~qĕrmĕzijj	ħɑmɑrˤ	ʔaħmɑr	aħmɑr	aħmar
right (correct)	sˤɑħiːħ~tamaːma~sˤɑːˀib~mɑdˤbuːtˤ~ħaqqɑ~ʕaːdil )	sɛhiː~ʔadiːl		ħaqq~sˤɑħħ	sˤɑħħ~mɑẓbuːt	ʕadɛl~sˤɑħiːħ	sˤħiːħ~sˤɑːləħ	sˤɑːjɛb~sˤɑʜʜ	mɑẓbuːt~tamɛːm~sɑħħ	tajjeb~sewwa	sˤħiħ~hadak~hadik	sˤɑħiːħ	sˤəħiːħ~mɑðˤbuːt	sˤɑħħ	ʕadil~sˤɑħħ	sˤħiːħ
right (side)	jamiːn	azzɛnaːj		jamiːn	jɛmiːn	jɛmiːn	lʕarbijja	ʔajman~jimna	jɛmiːn	lemin	əmin	jmiːn	jəmiːn	jimaːn	jamiːn	liːmiːn
river	nahr	bahar~batah	paθpun	nɑhɑːr~saːqija	nɑhr	nɑhɑr~sɑːb	bħɑr~nʌhʌr	ʃɑtˤtˤ~nahar	nɑhr	ʃmɐːrɐ	wad	ʃɑtˤtˤ	ʃɑtˤtˤ	nahr	baħr~ɢɛːf	waːd
road	tˤɑriːq~darb	dirib~tariːɡ	tɑrp~triːk	tˤɑriːq	sɛkka~tɑriːʔ	darɛb~tˤɑriːɡ	tˤriːɡ	darɛb	tɑriːʔ~darb	triq	tˤriq~karrətɛːra	tˤriːq~daɣib	darəb~tˤɑriːɡ	darb	tˤɑriːɢ~sikka	tˤriq~kajjaːs
root	ʤaðr~ʕirq	ʔiriɡ		ɡiðar	ɡɛdr	ʕirʤ~ʤaðɛr	ʕǐrɡ	ʢɛrɛɡ	ʃɛrʃ	ɛːrʔ	ʒdər~lɔħ	ʤʌðiɣ~ʕiriq	ʤaðɛr	ɡʲiðr~ʕuːdih	ɡʲazr~ʕɛrɢ	ʕirq
rope	ħabl	habil	xɑpl	baːra~ħbaːl	ħabl	ħabɛl	ħbʌl	ʜabɛl	ħabl	ħabel	tˤwɑl~ħbəl~kurdɑ	ħabil	ħabɛl	salabih~ħabl	ħabl	ħbal
rotten (as a log)	faːsid~ʕafn~musawwas	ʕafin	ʕɛfɛn	dhɛnt~zaham	mɛʕ̞affɛn	xɑːjɛs~maħawħaw	xaːmǝr~mŭxnəz	xɑːjɛs	mɑnzuːʕ~msɔwwɛs	immuffat~mħassar	xaməʒ~msuwwəs	məxʌnbaq~xʌjjisˤ		χɑːjis~mnattin~sawwas	maχawrɑn~ʕafɛn	xaːmiʒ
round	mustadiːr	mudawwar~ɡirɡiːt	strɔndʒilí		mɛdɑwwɑr	mdawwɑr	mzʌɡnən	mdawwar~mdaʢbal	mdɔwwɛr	tɔnd̥	mdˤuwwər	mdawwiɣ	mdawwɑr	mdawwɑr~mukawwɑr	mudˤawwɑr~mudardam	mdawwir
salt	milħ	mɛlh	milx	milħ	malħ	mɛlħ	məlħ	mɛlɛʜ	malħ	mɛlħ	məlħ	miliħ	mɛlħ	milħ	milħ	milħ
sand	raml	ramla		bɑtˤɑħ~rɑmɑl	rɑmlɑ	rˤɑmɛl	traːb~ləħasˤ	rɑmuḷ	rɑml	rˈɐmɛl	rəmlɑ	ɣɑməl	rˤɑməl	najs~rɑml	rɑmlɑ	rmal
sea (as in ocean)	jamm~baħr	bahar ɛl maːlɛh	paxr	baħr~ðarbɛ~kazziː~qɑlħɑ	bɑħr	baħar	bħɑr	bɑʜɑr	bɑħr	baħar	bħɑr	bɑħiɣ	baħar	baħr	baħr	bħar
seed	zarʕ~ħabba~biðra~bizr	tɛːraːb~bizrɛ	pizr	biðara	bɛzr~taʔaːwi	bɑdɑr~bazir	ʒǝɡraːʒ	bazra~bɑðrɑ~ʜabba	bɛzr	zɛrːˈɪːjɐ	zərriʕa~ʕdˤəm	baziɣ~ħʌbb~ʕəʤɔ	ʕaʤmah	ħabbih~baðarih	tirɑːb~tɑɢɑːwi~bazr	zurriːʕa
sharp (as a knife)	ħaːdd	tariːn~mutarraɡ			ħaːmi	ħaːdd	mtˤarˤrˤaɡ~ħaːdd~maːðˤi~mtiːn	ʜaːdd	ħaːdd	qawwi~penetranti	mɑdˤi	ħaːdd		ħaːdd	ħaːdd	mɑːdˤi
short	qɑsˤiːr	ɡisɑjjɑr	xmiːn	qasˤʕuːr~qasˤiːr~kaʃiːħ	ʔɔsɑjjɑr	ɡasˤiːr	ɡsˤajjǝr	ɡsˤɑjjɛrˤ	ʔsiːr	qasir	qsˤirˤ	qʌsˤijjəɣ	ɡəsˤiːr	ɢasˤiːr	ɢusˤɑjjɑr	qsˤiːr
skin (of a person)	ʤild~baʃarɑ	ʤild~farwa		ɡild	ɡɛld	jɛld~baʃara	ʒəll	ʤɛlɛd	baʃara~ʒɛld	ġilda	ʒəld	ʤilid	ʤɛld	ɡʲild~baʃarih	ɡʲɛld	ʒilda
sky	samaːʔ	sama	sama	smaː	sama~dɛnja	sama	sma	sɛma~dɛnjɑ	samɑ~ʒɔw	sema	smɑ	sama	sɛma	samɛːʔ	sama	smaː
small	sˤɑɣiːr	saxajjar	zěʕiːr	sˤɑɣiːr	sɔɣɑnnɑn~sɔɣɑjjɑr~sɔɣɑntuːt	zɑɣiːr~sˤɑɣiːr	sqiːr~sqajjǝr~sɣiːr~sɣajjǝr	zɣɑjjɛrˤ	sˤɣiːr ~ zɣiːr	zɛɪ̯r~ċkejken	sˤɣirˤ	ɘsˤɣɑjjəɣ	sˤuɣɛːr ~ sˤəɣiːr	zɑɣiːr~zuɣajri	suɣɑjjɑr	sˤɣiːr
smoke	duxxaːn	duxxaːn	tixxán	duxxaːn~duxxiːn~ħajluːq	dɔxxaːn	dɛxxɑːn	dəxxaːn	duxxɑːn	dɔxxaːn	dʊħːɐːn	duxxan	dixxaːn	dəxxɑːn	duχχaːn	duχχaːn	duxxaːn
smooth	ʔamlas~naːʕɛm	maːrin		sabtˤ	naːʕ̞ɛm	ʔamlas	ʌmlas	naːʢɛm~amlas	nɛːʕɛm~mɛlɛs	mieles~lixx	mləs~rtˤəb	ʌmlas~niːʕim	ʔamlas	taːsi~raːχiː	amlas~maːrin	artˤib
snake	ħajja~θuʕbaːn~ħanaʃ~ʔafʕa	daːbi~dɛbiːb	ʕɑfɑ	ħaniːʃ~sˤɛll	tɛʕ̞baːn	daːb~ħanaʃ	ħnaʃ~sˤʌffɑːr	ʜajja~ʜjɑːjɑ~sˤɛḷḷ~ʢɛrbiːd	ħajji	serp~lifgħa	ħənʃ~lfʕa	ħʌjji	daːbb~ħajjɛh	ħanaʃ	θuʕbɑːn~dɑbiːb	ħnaʃ
snow	θalʤ	talʤ			talɡ	θalʤ	ɡlaːsˤ	θalɛʤ	talʒ~ʒliːd	borra	təlʒ	θaliʤ		θalɡʲ	tɛlɡʲ	θilʒ
some	bɑʕdˤ~kam min	ʃijja	xajʧ	baʕð	ʃwajja~kɛmmɛjja	bɑʕðˤ	ʃi	ʃwajjɑ~bɑʢɑðˤ	bɑʕɑdˤ~ʃwɛjj	xi	ʃi~ʃwijjɑ	bʌʕðˤ~ʃwʌjji	baʕðˤ~ʦam ~ ʧam~xatˤw	zɑːrɑt~bɑʕðˤ	bɑʕd	ʃwajja~baˁðˤ
star	naʤm~kawkab	nɛʤma	naʒme	niɡma	nɛɡma	niːma	nʌʒma	naʤma~naʤɛm	naʒmɛ	kewkba~stilla	nəʒmɑ	nʌʤmi	naʤɛm	kawkab~naɡʲm	naɡʲma	niʒma
stick (of wood)	ʕasˤɑː~ʕuːd~ħatˤɑb	hatab~ʔasaːja	ʕɑssɑ	ʕɔːd~qubb~marquːsˤ~baːkuːra	ʕ̞ɑsˤɑːjɑ	ʕuːd~ʕaʧwɑ	dəbbuːs	ʢuːda~ʜɑtˤbɑ~liːtˤɑ	ʕɑsˤɑː	bastun~għasluġ~ħatar	qtˤib~ʕsˤɑ	ʕɑsˤɑːji~ʕŭdi	ʕɑsˤɑ~məd͡zlaːb ~ mɘɡlaːb	ʕusˤjah~ʕuːdih	ʕɑsˤɑ	ʕsˤaː
stone	ħaʤɑrɑ~sˤɑxɑr	haʤaraːj	xaʒra	dilf~ħaɡaːra	tˤuːbɑ~ħɑɡɑrɑ	ħijɑr	ħʌʒra	ʜʤɑːrˤa~sˤaḷbuːx~sˤɑxrɑ	ħɑʒrɑ	ġebla~ħɐʤrɐ	ħəʒra~kurd	ħʌʤɑɣ	ħaʤɑr~sˤəḷbuːx~rðˤumah	ħiɡʲɑːrɑh~miɡʲʕaːr~sˤɑχr	ħɑɡʲɑr	ħɑʒrɑ
straight	mustaqiːm~ʕala tˤuːl	ʔadiːl	iʃa	siːdɑ~tˤuːl	ʕ̞ɛdɛl~ʕ̞ɑlɑtˤuːl	siːdɑ	msaɡɡam	ʢadɛl~ɡubˤɑḷ	dɔɣri	dritt	mʕɛwwɛtˤ~niʃan	tˤʌwlaːni~ʕadil	tˤawwaːliː~baʤd	saːni	ʕadiːl~tˤɑwwɑːliː	tˤuːl
sun	ʃams	ʃams~harraːja	ʃimps	ʃims	ʃams	ʃams	ʃams	ʃamɛs	ʃams	ʃɛmʃ	ʃəmʃ	ʃamis	ʃams	ʃams	ʃams	samʃ~ʃams
tail	ðanab~ðajl	danab	tumpjɛ	ðɛːl	dɛːl	ðɛːl	sbiːb~nəwwaːʃa~aːɡilaːl	ðíɛl	danɛb	dɛmb̥	ʃwwal~zɑntˤitˤ	ðĭl	ðanab	sublih~ðajl	danab	baʕbuːsˤ
that	ðaːlika~tilka~tiːka	daːk~diːk	áðak~áðik	haːðaːk~haːðiːk	dawwat~dajjat~dawwan~dawwak~dawwa~ɛtc.	haðɑːk~haːðiːʧ	ðaːk~ðɔwk-huwwa~ðiːk~ðɛːk-hijjɑ	ðɑːkɑ~ðíɛʧɛ	hajdiːk~hiːdɛːk	dɐk~dik	hadak~dak~hadik~dik	hʌðɛːk~hʌðiːk	ðaːk~ðiːk	ðˤɑjjik~tajjik	daːk~dɛːk	haːðaːka~haːðiːka
there	hunaːka~θamma	hinaːk	ɑwnke~axulla	hinnaːk	hɛnaːk~jahɔː	əhnɑːk	vamm~vammaːti~lhɛːh~hɔwk	ɣɑːd	hɔniːk	hemm	təmmɑ	ɣaːdi	fiðaːk~hənaːk	haːnaːk	hinaːk	ɣaːdiː
they	hum~hunna	human~hinna	innɛn	hum~hɛːn	hɔmma	hum~hɛn	huːmˤɑ~huːmaːti	humˤmˤɑ~hɛnˤnˤ	hɛnnɛː	huma	humɑ	hʌjjəm~immɛ	humm~hənn	hɔm~hɛn	hum~hun	huːma
thick	ɣɑliːðˤ~θaxiːn~samiːk	samiːn	ʕɑpi	matiːn~ɣliːðˤ	tɛxiːn	mɛtiːn	ɣliːðˤ~qliːðˤ	θəxiːn~mʧabbɛn	smiːk~ətxiːn	oħxon	ɣlidˤ	θʌxiːn	matíɛn	matiːn~ɣaziːr	tɑχiːn	xʃiːn~ɣliːðˤ
thin	rɑqiːq~rafiːʕ~naħiːf	bɑːtil	mǎʕaɛr~θkiːk	ħatˤiːtˤ~ɡaʃuːf	rɔfɑjjɑʕ̞~nɛħiːf	dɛʤiːʤ~ðˤʕiːf	rɡiːɡ~rɡɛjjǝɡ	mɑsˤwi~rɛfiːʢ	mɑmsˤuːʕ~nɑħiːf~rʔiːʔ	rqiq	nħif~rqiq	ɣʌqiːq	dəɡiːɡ~ðˤəʕiːf	naħiːf~rafiːʕ	riɢɛjjiɢ~naħiːf	ʒwajjid~ðˤʕiːf
this	haːðaː~haːðihiː	daː~diː	aða~aðiː	haːðiː	da~di	hɑːða~hɑːði	ðɑ~ði	hɑːðɑ~hiːaːtaː	hajdɑ~hajdɛ	dɐːn~din	hada~hadi	haːðaː~haːðiː	ða~ði	ðˤɑjjɑːh~tajjih	da~dɛ	haːða~haːði
three	θalaːθa	talaːta	tlaθɛ	θalaːθa	talaːta	θalɑːθa	θ̬̬laːθ̬̬a	tlɑːθa ~ t͡ɬɑːθa	tlaːtɛ ~ t͡ɬaːtɛ~klaːtɛ	tlɪːtɐ	tlatɑ	θaːθi	θalaːθ	θalaːθah	talɑːtɑ	θlaːθa
to bite	ʕɑdˤdˤɑ	ʔadd	ʕɑðð	ʕɑðˤðˤ	ʕ̞ɑdd~ˀɑtɑm	ʕɑðˤðˤ	ʕʌðˤðˤ	ʢɑðˤðˤ	ʕɑdˤdˤ	gidem	ɡdəm~ʕədˤdˤ	ʕʌðˤðˤ	ʕɑðˤðˤ	ɢaħasˤ~lɑɢɑsˤ	ʕɑdˤdˤ~lɑɢɑm	ɡdim
to blow (as wind)	tanassama~habba~nafaxɑ	nafax	nafax	nafax	nafax~nassɛm	nɛfax~haff	nvʌx	habb~nufax	tˤɛlɛʕ~nɑfɑx	nefaħ	sˤɑtˤ	nafax	habb~nufax	nafaχ	nɑfɑχ~habb	nfax
to breathe	tanaffasa~tanassama	tɛnaffas		niːsam~tnaffas	ɛtnaffɛs	tnaffas	tnʌffas	tnaffas	tnɑffɑs	ħa n-nifs	tnəffəs~tˤəllaʕ nnəfəs	tnʌffas~ʤʌɣ nʌfʌs	nafas~tnaffas	tnaffas	tɛnaffas	tnaffis
to burn (intransitive)	ʃaʕala~ħarɑqa	haraɡ	xɑrɑk	ħraːq~ʃaħʃaħ	ħaraʔ	ħaraɡ	ħrʌɡ~ħma	ʧuwɑ~ʜɛraɡ~ʃɛʢal	ħɑrɑʔ	ħaraq	ħrəq	ħaɣʌq	ənħaraɡ	ħaraɢ~dazz	ħaraɢ	ħraq
to come	ʔataː~ʤaːʔa	ʤaː	ʒa	ɡaː	ɡɛ	jɑ	ʒa	ʔʤɑː	ɛʒɑ	ġie	ʒa	ʤiː	ʤa	ɡʲɛːʔ	ɡʲa	ʒaː
to count	ʕadda~ħasiba~ʔaħsˤɑː	hasab	ʕadd	ħsaːb	ʕ̞add	ʕadd~ħɛsˤɑ	ħsǝb~ʕədd	ʜɛsab~ʢadd	ʕadd	għadd	ħsəb	ħasab~ʕʌdd	ʕadd~ħasab	ʕadd~ħasab	ʕadd~ħasab	ħsib
to cut	qɑtˤaʕa~qɑsˤsˤ	ɡataː	katʕaː	qɑsˤsˤ~ʃxaːtˤ	ʔɑtɑʕ̞	ɡɛtˤaʕ	ɡtˤʌʕ	ɡasˤsˤ	ʔɑsˤsˤ	qata'	qtˤəʕ	qɑsˤsˤ	ɡɑtˤaʕ	ɢasˤsˤ~falaɢ	ɢɑtˤɑʕ	qasˤ
to die	maːta	maːt	mat	maːt~fhaːtˤ	maːt	mɑːt	maːt~twʌffa~rtħam	mɑːt	maːt	miet	mat	mɑːt	maːt	mɑːt	mɑːt	maːt
to dig	ħafarɑ	hafɛr	xivɛr	ħfɑːr	ħɑfɑr	ħɛfɑr	ʒhʌr	ʜufɑr~nɛbaʃ	ħɑfɑr	ħaffer	ħfɛr	ħʌfʌɣ	ħafɑr	ħafɑr	ħɑfɑr	ħfar
to drink	ʃariba	ʃɛrɛb	ʃirɛp	ʃraːb	ʃɛrɛb	ʃɛrɛb	ʃrəb	ʃɛrab	ʃɛrɛb	xorob	ʃrəb	ʃiɣib	ʃɛrɛb	ʃirib	ʃɛrɛb	ʃrab
to eat	ʔakala	akɛl	kɛl	kil	kal	kal	kaːl	iːaːkuːl	ʔɑkɑl	kiel	kla	ʔʌkal	akal	kal	ʔakal	klaː
to fall (as in drop)	saqɑta~waqɑʕa	waɡaː~daffaɡ	vɑkʕɑ	tˤɑːħ~sqɑːtˤ	wɛʔɛʕ̞	tˤɑːħ~wuɡaʕ	tˤɑːħ	wuɡaʢ	wɑʔɑʕ~ʔɑʃɑtˤ	waqa'	tˤɑħ	ʃʌqləb	tˤɑːħ	nikiʕ~nɑtˤɑl~tˤɑːħ	waɢaʕ	tˤaːħ
to fear	xaːfa~rihaba~fazaʕa	xaːf	fizʕe	fizaʕ~ftaðar	xaːf	xɑːf	xaːv	xɑːf~rtɛhab	xaːf	beża'	xaf	xɑːf	xɑːf~ðall	χɑːf	χɑːf	xaːf
to fight	ħaːriba~qɑːtala	daːwas~ʤaːhad	starrˁe~ðarɛp	qɑːtˤaʕ~tqɑːtɛl	ɛtʕ̞aːrɛk~ɛtxaːnɛˀ	hɑːwɑʃ~ħɑːrab	ddaːjǝɡ~tʕaːrək	tbˤɑːsˤatˤ~tmɑːlax~tʢɑːrɛk	xɛːniʔ	iġġieled	ddabəz	tqɑːtal	tahaːwɑʃ~ħɑːrab	laːbaɡʲ~tɢaːtal	ħaːrab~χaːnaɢ	tʕaːrik
to float	tˤɑfaː~ʕaːm	ʔaːm~ʔarrad fi raːs l-almɛ		ʕaːm	ʕ̞aːm	tˤɑːf~ʕaːm	ʕaːm	tˤufɑ~sɑjjɑs	fɛːʃ	għam fil-wiċċ~żamm fil-wiċċ	ʕam	tˤʌfaː		ʕaːm	ʕaːm	ʕaːm
to flow	saːla~ʤarɑː	ʤara		ʃʕi	ɡɛri	ʤɛrɑ~saːl	saːl	saːʜ~ʤɛrɑ	ʒɑrɑː~sɛːl	ġera	sal~nəbbaʕ	ʤʌɣaː	ʤərɑ~saːl	ɡʲɑrɑ~saːl	ɡʲara	ʒraː
to fly	tˤɑːra	taːr		tˤaːr	tˤɑːr	tˤɑːr	tˤɑːr	tˤɑːr	tˤɑːr	tar	tˤɑr	tˤɑɣ	tˤaːr	tˤɑːr	tˤɑːr	tɑːr
to freeze	aʤlada~ʤammada~θallaʤa	ʤamad			fɑrrɑz~tallɛɡ	ʤɛmad~θallaʤ~fɑrraz	ɡlasˤ~ʒmʌd	ʤɛmad~θɛlaʤ	sɑʔɑʕ~ʒallad	għaqad~inġazza~iffriża	ʒməd~ttəlləʒ	ʤimid		θallaɡʲ~ɡʲimid~farrɑz	ɡʲamad~fɑrrɑz	ʒmid
to give	ʔaʕtˤɑː	ʔanta	tɑ	ʕtˤɑː	ɛdda	ʕɛtˤɑ	ʕtˤɑ	nɛtˤɑ	ʕɑtˤɑː	ta	ʕtˤɑ~əddɑ	ʕʌtˤɑː	ʕətˤɑ	ʔidda	adda	ʕtˤaː
to hear	samiʕa	sɛmiː	simʕe	smaːʕ	sɛmɛʕ̞	sɛmaʕ	smʌʕ	sɛmaʢ	sɑmɑʕ	sema'	sməʕ	simiʕ	samiʕ	simiʕ	sɛmɛʕ	smaʕ
to hit	dˤɑraba	dɛɡɡ~katal	takk	ðˤɑrɑb	dɑrɑb~xɑbɑt	tˤɑɡɡ~ðɛrɑb	xbatˤ~bʌtˤtˤ	ðurɑb~busˤɑtˤ~lɛʧam~haff	dɑrɑb	laqat~darab~ta daqqa	dˤrəb	ðʌɣʌb	tˤɑɡɡ~ðɑrɑb	labaɡʲ	sˤɑːb~dˤɑrɑb	ðˤrab
to hold (in one's hand)	ʔaxaða~masika	karab	pisek	masak~qbaːðˤ	mɛsɛk	ʤawwad~lɛzam	krǝd~ħkam	lɛzam	kamaʃ	żamm~ħa	rfəd	misik	ɡabɑðˤ~mɛsak	ʃibiħ~lazam	misik	ʃad
to hunt (transitive)	sˤɑːda~qinɑsˤ	sɑːd~ɡanas		sˤɑːd	ɛstˤɑːd	ɡɛnɑsˤ	sˤɑjjɑd~drʌs	sˤɑːd	sˤtˤɑːdˤ	ikkaċċja	sˤijjəd	sˤɑːd	ɡanɑsˤ~sˤɑjjəd	ɢɑnɑsˤ	istˤɑːdˤ~ɢinɑsˤ	ʔistˤaːd
to kill	qɑtala~ðabaħa	katal	maɛt	qtaːl	ʔatal~mawwɛt	ɡɛtal~ðɛbaħ~mawwat	ktǝl	kɛtal~qɛrɑðˤ	ʔɑtɑl	qatel	qtal	qʌtal	kɛtal~ðɛbaħ	ɢatal	katal	qtal
to know (a fact)	darɑ~ʕalima~ʕarifa	ʔarɛf	ʕirɛf	diraː~ʕrɑːf	ʕ̞ɛrɛf	dɛrɑ~ʕɛrɑf	ʕrɑf	dɛrɑ~ʃɛʢɑr~ʢɛrɑf	ʕarɛf ~ ʕɛrɛf~dɛri	jaf	ʕrəf	ʕiɣif	dara~xabar~ʕarif	dɛri~ħafɑðˤ~ʕirif~ʕilim	χɛbɛr~ʕirif	ʕraf
to laugh	dˤɑħika	dɛhɛk	taxak	ðˤħaːk~kɑrkɑr	daħak~karkaʕ̞	ðˤɛħaʧ	ðˤħʌk	ðˤɛʜak~kɑrkɑr	dˤɑħɑk	daħaq~daħak	dˤħak~kakɑ	ðˤiħik	ðˤaħʦ ~ ðˤaħak	ðˤiħik~tikaʕkaʕ	daħik	ðˤħak
to lie (as on one's side)	istalqɑː~raqɑda~tamaddada~atkaʔa	rɛɡɛd~takka	nnajm	mtadd~tkaː	ɛtmaddɛd~ɛtsɑltˤɑħ	ntˤɛrɑħ	tkɑ~tmadda	nʤɛtˤɑl~nbutˤɑʜ	tsˤɑtˤtˤɑħ~tlaʔʔaħ	mtedd	tmədd~təkkɑ	tmaddʌd	ənʤɛdɛʕ	mtadd~tke	rɑɢɑd~inbɑtˤɑħ	tmad
to live	ʕaːʃa~ħija~sakana	ʔaːʃ	ʕaʃ	ʕaːʃ~baːt	ʕ̞aːʃ	ʕaːʃ	ʕaːʃ~ħja	ʢɑːʃ	ʕaːʃ	għex	ħjɑ~ʕaʃ	ʕɑːʃ	ʕaːʃ	ʕaːʃ~ʕammir~sakan	ʕɑːʃ	ʕaːʃ
to play	laʕiba	lɛʔɛb	lɛʕɛp	lʕaːb~zarr	lɛʕ̞ɛb	lɛʕab	nzǝl~lʕǝb	lɛʢab	lɛʕɛb	lagħab	lʕab	liʕib	lɛʕɛb	liʕib	laʕab	lʕab
to pull	ʤarra~saħaba~ʤabaða	ʤarr	ʒarr	sadd~saħab	ʃadd	tall~sɛħab	ʌntˤʌr	ʤarˤrˤ	sadd~saħab	ġibed	ʒbad	ʃəħʃʌtˤ	ʤarr~saħab	ʃadd	ɡʲɑrr~ʃadd	ʒbid
to push	dafaʕa	lazza~ɡamma	tafaʃ	kadaʃ~zafar	zaʔʔ	dɛfaʕ	rvaʕ~ʕʒǝn~dʌkmɑr	dɛfaʢ~darfaʢ~dɛʢaʧ	dafaʃ	imbotta~deffes	dfəʕ~dərr	dʌfʌʕ	dazz	dahaf	dɑfɑr~lɛzz	daz
to rub	ħaffa~faraka~dalaka~ħakka	farak~hakk	xaff~maˁak	ʕraːk~dukk	daʕ̞ak~farak	ʕɛrak~fɛrak	ħʌkk~ʕrʌk	furɑk~dɛlak	fɑrɑk	għorok	frək	ħʌkk~fʌɣʌk	ħakkak	farak	ʕɑsˤsˤɑr	ħak
to say	qɑːla	ɡaːl	kal	qaːl	ʔaːl	ɡaːl	ɡaːl	ɡɑːl	ʔɛːl	qal	ɡal~duɑ	qɑːl	ɡaːl	ɢaːl	ɢɑːl	qaːl
to scratch (an itch)	xadaʃa~xamaʃa~ħakka	naxaʃ	xakk	ʃarxam	xarbɛʃ~hɑrɑʃ	ħaʧʧ~xammaʃ	xmŭʃ	ʤɛlax~xarmaʃ	xadaʃ	ħakk	xəbbəʃ~sərr	ħʌkk~xadaʃ	ħakk	ħakk~baχaʃ	ħakk~χarmaʃ	xabbiʃ~ħakk
to see	rɑʔaː~bɑsˤirɑ	ʃaːf	kiʃʕe~ra	ʃaːf~ħaːli	ʃaːf	ʧɑːf	ʃaːv~rˤaːʕi v-	ʃɑːf	ʃaːf	ra	ʃaf	ɣiʃiʕ	ʃaːf	ʔibsɑr	nɑẓɑr~ʃɑːf	ʃaːf~raː
