Gloss	Erzya	Estonian	Finnish	Hungarian	Inari Saami	Ingrian	Karelian	Khanty	Kildin Saami	Komi-Permyak	Komi-Zyrian	Livonian	Mansi	Meadow Mari	Nganasan	North Saami	Pite Saami	Proto-Uralic	Selkup	Skolt Saami	South Saami	Tundra Nenets	Udmurt	Ume Saami	Veps	Votic	Võro
BACK_47-d														tup													
BACK_47-e										mɯʃk	mɯʃ																
BACK_47-f																											
BACK_47-g								ʧø̆ɳʧ					sis														
BACK_47-h															məku				moqə								
BACK_47-i	kutʲmerʲe																										
BACK_47-j																											
BACK_47-k									sielːʲk																		
BACK_47-l																							tɯbɯr				
BAD_106-a			huo̞no̞			hoːno																					
BAD_106-aa	berʲɑɲ																										
BAD_106-ab																											
BAD_106-az																											
BAD_106-b																											
BAD_106-c		hɑlp																									
BAD_106-d																											
BAD_106-e																											
BAD_106-f																											
BAD_106-g																											
BAD_106-h																											
BAD_106-i										umɤʎ	omɤʎ																
BAD_106-j																							urod				
BAD_106-k				rosː																							
BAD_106-l													ʎuːʎ														
BAD_106-m								ætəm																			
BAD_106-n															bɑhiɑ												
BAD_106-o																			qoɕək								
BAD_106-p									ɲuesːʲ																		
BAD_106-q	kɑʎdʲɑv																										
BAD_106-r	ɑpɑro																										
BAD_106-s														uðɑ													
BAD_106-t														nɑʧɑr													
BAD_106-u																											
BAD_106-v																											
BAD_106-w																										kehno	
BAD_106-x						pɑhɑ																				pɑhɑ	
BAD_106-y						hub̥ɑ																					
BAKE_233-a			le̞ipo̞ɑ																								
BAKE_233-b			pɑist̪ɑː			pɑistɑː			paːʃːʲte																		
BAKE_233-c						vɑːliɑ																					
BAKE_233-d		kypːsetːɑtɑ																									
BAKE_233-e																											
BAKE_233-f										pɤʒɑvnɯ	pɤʒɑvnɯ												pɯʒɯnɯ				
BAKE_233-g																											
BAKE_233-h	rʲestɑms																										
BAKE_233-i				ʃyt																							
BAKE_233-j													sɑːriti	ʒɑritlem													
BAKE_233-k														puʃtə̠lɑnem													
BAKE_233-l																											
BAKE_233-o															hiðibtɯsɯ~hiðibtɯsɯ												
BARK_229-a			kɑːrnɑ																								
BARK_229-b																											
BARK_229-c		puːkoːr				koːri					kɯrɕ															koːri	
BARK_229-d		korp																									
BARK_229-e									paːr̥ːk																		
BARK_229-f	kerʲ							kær	keːrː				keːr	kyr									kur				
BARK_229-g	sud~sud												jiwsuːl										sul				
BARK_229-h														ʃym													
BARK_229-i																											
BARK_229-j										kɑʨ					kɑsu~kɑsu				qɑːsə								
BARK_229-k									peːsːʲ																		
BARK_229-l																											
BATHE_282-a		kymːeltɑ	kylpe̞æ			kylpiːsːæ																				ʧylpemæ	
BATHE_282-b										kupɑjʨːɯnɯ																	
BATHE_282-c									vuːjnedːe																		
BATHE_282-d																											
BATHE_282-f																											
BATHE_282-g	pɑrʲɑms													purem													
BATHE_282-h	ʃʎɑms																										
BATHE_282-i										miɕːɯnɯ				muʃkə̠ltɑm													
BATHE_282-j								pø̝ɣəl			pɯlɕɯnɯ		puwli										pɯlɑɕkɯnɯ				
BATHE_282-k				fyrdik																							
BATHE_282-l																											
BATHE_282-m																			uːr								
BATHE_282-n																											
BAT_285-a			le̞pɑkːo̞			lepɑkːo																					
BAT_285-b																											
BAT_285-c		nɑhkhiːr																									
BAT_285-d																											
BAT_285-e									kɨrːʲtejsaːhpliŋk																		
BAT_285-f	kedʲɲimiʎɑv~kedʲɲimiʎɑv																										
BAT_285-g														βoðə̠βə̠ʧə̠rɑŋɡe													
BAT_285-h											bordɑʃɯr																
BAT_285-i				dɛnɛveːr																							
BAT_285-j																							urtkɯʧ				
BAT_285-k													toːrtowlɑp														
BAT_285-l								ɲurpɑ̆jlɑŋ																			
BAT_285-m																											
BAT_285-n																										nɑhktiːru	
BAT_285-o																										yːlɑk	
BAT_285-p																											
BAT_285-q		nɑhkhiːr								kuʃbord																nɑhktiːru	
BAT_285-r																											
BAT_285-s																										yːlɑk	
BE ALIVE_151-a		elɑtɑ	e̞læː	eːl		elˑæː			jeːlːʲe	ovnɯ	ovnɯ			ilem	ɲilɯdʲi				ilə				ulɯnɯ			elæmæ	
BE ALIVE_151-b																											
BE ALIVE_151-e													oːli														
BE ALIVE_151-f	erʲɑms																										
BE HUNGRY_237-a		næljɑne olːɑ	o̞lːɑ nælkæine̞n			nælɡ̊æhiːn			ɲaːlːke																	nælːez ɤlɤmɑ	
BE HUNGRY_237-b																											
BE HUNGRY_237-c	vɑʧoʧi																										
BE HUNGRY_237-d										ʧɯɡ	ʧɯɡ ovnɯ																
BE HUNGRY_237-e				eːɦɛʃnɛk lɛnːi																							
BE HUNGRY_237-f														ʃuʒem													
BE HUNGRY_237-g																							ɕutem				
BE HUNGRY_237-h													eːtɣɑlɑwe														
BE HUNGRY_237-i															ŋɑmnɑntuə				ɑmnɑm								
BE HUNGRY_237-j								iləɣ																			
BE HUNGRY_237-k															honəntuə												
BECAUSE_107-a			ko̞skɑ						ɡuejke																	ku	
BECAUSE_107-b	ɕeks	selːepærɑst	siksi			sentæː~sentæː								sɑndene											~	sisːi	
BECAUSE_107-c																											
BECAUSE_107-d											sɯ pondɑ																
BECAUSE_107-f						sentæː																					
BECAUSE_107-g	ɕeks meks																										
BECAUSE_107-h														sɑðlɑn													
BECAUSE_107-i		selːepærɑst				sem peræst																					
BECAUSE_107-j											sɯ vɤsnɑ																
BECAUSE_107-k																							mɑlɯ ke ʃuono				
BECAUSE_107-l								merə																			
BECAUSE_107-m															ɲiːðə												
BECAUSE_107-n																											
BECAUSE_107-o										dɑ																	
BECAUSE_107-p																											
BECAUSE_107-q										siʥ kɯʥ																	
BECAUSE_107-r															suəbəsɯ												
BECOME_269-a		tulːɑ	t̪ulːɑ																							tulɤmɑ	
BECOME_269-b	tʲejevems																										
BECOME_269-c		sɑːtɑ				sɑːvˑɑ								ʃuɑm													
BECOME_269-d				lɛsː						lonɯ	lonɯ			lijɑm									luɯnɯ				
BECOME_269-e									ʃeːnːte																		
BECOME_269-f																											
BECOME_269-g	ɑrɑms																										
BECOME_269-h																							potɯnɯ				
BECOME_269-i													wɑːrχɑti														
BECOME_269-j													tɑχi														
BECOME_269-k																											
BECOME_269-l																			esu								
BECOME_269-m								jə																			
BECOME_269-n				vaːlik																							
BECOME_269-o															konɯdʲi~konɯdʲi												
BEGIN_259-a		ɑlɑtːɑ	ɑlkɑː			ɑlkuɑ																				ɑlkumɑ	
BEGIN_259-b																											
BEGIN_259-c								jə																			
BEGIN_259-d	uʃodoms																										
BEGIN_259-e	kɑrmɑms																										
BEGIN_259-f	ustɑvɑms																										
BEGIN_259-g											kutnɯ												kuʦkɯnɯ				
BEGIN_259-h											ʤɯnjɑvnɯ																
BEGIN_259-j														tyŋɑlɑm													
BEGIN_259-k													oːwəltɑχti														
BEGIN_259-l													pɑti~pɑti														
BEGIN_259-m															huɑrudʲɑ												
BEGIN_259-n																			lɑqəkːu~lɑqəkːu								
BEGIN_259-o																											
BEGIN_259-p																										nɤisɤmɑ	
BEGIN_259-q										pondɤtʨɯnɯ~pondɤtʨɯnɯ																	
BEGIN_259-r									alːʲke																		
BEHIND_215-a		tɑkɑ	t̪ɑkɑnɑ			tɑkˑɑː									tɑkənu				tɑːk							tɑkɑn	
BEHIND_215-b				møɡøtː					maŋʲelʲt																		
BEHIND_215-c								pɯrnə																			
BEHIND_215-d																											
BEHIND_215-e	udɑlo																										
BEHIND_215-f	ekʃse																										
BEHIND_215-g										sɑjɯn	sɑjɤ																
BEHIND_215-h										bɤrɯn	bɤr vɯlɤ																
BEHIND_215-i														ʃeŋɡelne													
BEHIND_215-j																							ɕɤrɯn				
BEHIND_215-k													sɑːjt														
BEHIND_215-l								kɑs																			
BEHIND_215-m															huə~huə												
BEHIND_215-n															məkini												
BELLY_108-a		vɑtːs	ʋɑt̪sɑ			vɑʦɑ																				vɑtːs	
BELLY_108-b			mɑɦɑ																								
BELLY_108-c		kɤht																					kɤt				
BELLY_108-d																										mɑko	
BELLY_108-e									ʧuejːv						ʧɑjbə												
BELLY_108-f	peke																										
BELLY_108-g														myʃkə̠r													
BELLY_108-h											ruʃku																
BELLY_108-i				hɒʃ																							
BELLY_108-j				ɟomor																							
BELLY_108-k													soːriɣ														
BELLY_108-l													sim														
BELLY_108-m								kŏɳ																			
BELLY_108-n								ont																			
BELLY_108-o																			perkə								
BELLY_108-p								poɣlɯ																			
BELLY_108-q										kɯnɤm																	
BERRY_109-a	mɑrʲ	mɑri	mɑrjɑ			mɑrjɑ																				mɑrjɤ	
BERRY_109-b				boɟoː									piːl														
BERRY_109-d														jemə̠ʃ													
BERRY_109-e											tuɕ																
BERRY_109-f														sɑskɑ													
BERRY_109-g								ul							ŋutɑ								uzɯborɯ				
BERRY_109-h																			ʧopər								
BERRY_109-i										jɑɡɤd																	
BESIDE_243-a			ʋie̞re̞sːæ																								
BESIDE_243-b																											
BESIDE_243-c																											
BESIDE_243-d		kɤrvɑl																								kɤrvɤl	
BESIDE_243-e																											
BESIDE_243-f																											
BESIDE_243-g	bokɑso																										
BESIDE_243-h	mɑlɑso			mɛlːɛtː																							
BESIDE_243-i														βoktene													
BESIDE_243-j											dorɑs																
BESIDE_243-k														liʃne													
BESIDE_243-l																							vɤzɯn				
BESIDE_243-m													poːχɑn														
BESIDE_243-n																											
BESIDE_243-o									lunːʲ																		
BESIDE_243-p								jŏlnə																			
BESIDE_243-q						juːrez																					
BESIDE_243-r																										ʎiʧi	
BESIDE_243-s										bokɯn																	
BESIDE_243-t	vɑksːo																										
BESIDE_243-u															kɑdʲɑ												
BESIDE_243-v															ɲiːdʲə												
BIG_32-a		suːr	suːri			suːr																				suːr	
BIG_32-b			iso̞																								
BIG_32-c																											
BIG_32-e								eɳə					jɑniɣ														
BIG_32-f														kuɣu													
BIG_32-g										ɯʤɯt	ɯʤɯd																
BIG_32-h	pokʃ																										
BIG_32-i				nɒɟ																							
BIG_32-j								lŏɣɑt																			
BIG_32-k																			uə̠rqə								
BIG_32-l																							bɑʥːɯm				
BIG_32-m															ɑniʔə~ɑniʔə												
BIG_32-n									ʃuːrː																		
BIG_32-o																											
BIRD_92-a		lint	lin̪t̪u			lind̥u			lɒːnːʲt																	lintu	
BIRD_92-b	nɑrmuɲ																										
BIRD_92-c														kɑjə̠k													
BIRD_92-d											kiʦɑ																
BIRD_92-e											lebɑʨ																
BIRD_92-f				mɒdaːr																							
BIRD_92-g								wɑjəɣ					towəluːj														
BIRD_92-h																			suːrəm								
BIRD_92-i																							tɯloburdo				
BIRD_92-j																											
BIRD_92-k															təibəː				tilʧəti suːrəm								
BIRD_92-l										kɑj																	
BITE_48-a			purːɑ			purːɑ		pŏr					puri	purɑm												purɤmɑ	
BITE_48-b		hɑmːustɑtɑ																								ɑmːɤsːɤmɑ	
BITE_48-c									kaːʦːʲke																		
BITE_48-d																											
BITE_48-e	rumʃtɑms																										
BITE_48-f	suskoms																										
BITE_48-g										kurʨːɑvnɯ	kurtʲʨɯnɯ												kurtʨɯnɯ				
BITE_48-h															sɑkələsɑ				sɑːʧə								
BITTER_28-a			kit̪ke̞ræ											koʧo													
BITTER_28-b																											
BITTER_28-c		kipe																									
BITTER_28-d		mɤru																									
BITTER_28-e			kɑrʋɑs							kurɯt	kurɯd												kurɯt				
BITTER_28-f																											
BITTER_28-g																											
BITTER_28-h									pɨʧːker																		
BITTER_28-i	sepej																										
BITTER_28-j	lɑʒɑɲɑ																										
BITTER_28-l													oɕːəŋ														
BITTER_28-m								wɑ̆tʲər																			
BITTER_28-n	korɕɑɲɑ																										
BITTER_28-o																			pɑriɲi								
BITTER_28-q																											
BITTER_28-r															tɑsəɡəː												
BLACK_43-a		must	mustɑ			mustɑ																				mus	
BLACK_43-b									ʧɒːhpe																		
BLACK_43-c	rɑuʒo																										
BLACK_43-d													seːməl	ʃeme~ʃeme													
BLACK_43-e										ɕɤd	ɕɤd												ɕɤd				
BLACK_43-f								pəɣtə																			
BLACK_43-g																											
BLACK_43-h																			sæːqə								
BLACK_43-i															tusɑjkɑʔɑ												
BLOOD_7-a	verʲ	veri	ʋe̞ri	veːr		veri		wər	veːrː	vir	vir		wiɣər	βyr									vir			veri	
BLOOD_7-b													keːlp														
BLOOD_7-c															kɑm				kɤm								
BLOOD_7-d																											
BLOW (OF WIND)_80-a		puhutɑ	puɦɑltɑː			puhɑd̥ɑ~puhɑd̥ɑ			pɒːsːe																	puhumɑ	
BLOW (OF WIND)_80-b	puvɑms			fuːj				pŏχ					puwi	puem~puem	hyələsɑ~hyələsɑ				puː								
BLOW (OF WIND)_80-c										pɤʎtnɯ	pɤʎɑlnɯ												peʎtɯnɯ				
BLOW (OF WIND)_80-d																							tɤlɑnɯ				
BLOW (OF WIND)_80-e																											
BLUNT_291-a			t̪ylsæ																								
BLUNT_291-b	noʃkɑ	nyri				nyrhi				nɯʒ	nɯʒ			nyʃkø									nɯʒ			nyri	
BLUNT_291-c																											
BLUNT_291-e																											
BLUNT_291-f									mierʲesʲ																		
BLUNT_291-g				tompɒ																							
BLUNT_291-h													tɑʎəχsup														
BLUNT_291-i								pelːəɣ~pelːəɣ																			
BLUNT_291-j																											
BLUNT_291-k														tokmɑk													
BLUNT_291-l																			qɑmələʎ								
BLUNT_291-m																										tylpʲː	
BLUNT_291-n																											
BLUNT_291-o																											
BLUNT_291-p															tɯɑməː												
BONE_8-a	lovɑʒɑ	luː	luː			luː		lŏχ		lɯ	lɯ		luw	lu	lɑtəː				lɯː				lɯ			luː	
BONE_8-b		kont																									
BONE_8-c									taːxːʲt																		
BONE_8-d	pɑkɑrʲ																										
BONE_8-e				t͡ʃont																							
BONE_8-f										koskɑ																	
BONE_8-g																											
BORE_249-a		puːritɑ	po̞rɑt̪ɑ	fuːr						pɯrɤtnɯ									purət								
BORE_249-b																											
BORE_249-c																											
BORE_249-d																											
BORE_249-e									poːɡːe																		
BORE_249-f																											
BORE_249-g	peʎems																										
BORE_249-h											bɯ kɯnɯ																
BORE_249-i															ɕeðitəsɯ												
BORE_249-j														ʃytem													
BORE_249-k																							portɯnɯ				
BORE_249-l													pɑːsɣi														
BORE_249-m																										uhɤrtimɑ	
BORE_249-n																										burɑvoitːɤmɑ	
BORE_249-o																										puːrimɑ	
BORROW_263-a			lɑinɑt̪ɑ			lɑinɑd̥ɑ																				lɑinɑmɑ	
BORROW_263-b																											
BORROW_263-c																											
BORROW_263-d																											
BORROW_263-e																											
BORROW_263-f	sɑjems veʎɑtomɡɑ																										
BORROW_263-g										oʥɤsɑvnɯ~oʥɤsɑvnɯ	uʤdɯnɯ																
BORROW_263-i														kysə̠lem~kysə̠lem													
BORROW_263-j																							punemɑnɯ				
BORROW_263-k																			səjmi								
BORROW_263-l																											
BORROW_263-m																											
BORROW_263-n									laːjːne																		
BORROW_263-o															ətiːʔtəsɯ												
BREAST_12-a		rint	rin̪t̪ɑ			rind̥ɑ			ranːʲt																	rint	
BREAST_12-b																											
BREAST_12-c																											
BREAST_12-d	meʃtʲe																										
BREAST_12-e														oŋ													
BREAST_12-f										moros	morɤs																
BREAST_12-g																							ɡɑdʲ				
BREAST_12-h								møɣəl					mɑːɣl														
BREAST_12-i																											
BREAST_12-j																			kɯːlə								
BREAST_12-k																											
BREAST_12-l	potʲe~potʲe																										
BREAST_12-m														ʧə̠ze	ɕinɕə												
BREAST_12-n									ninːʧ																		
BREATHE_110-a		hinkɑtːɑ	he̞ŋːit̪ːæː			heŋɢitːæː~heŋɢitːæː																				enʧimæ	
BREATHE_110-b									vuːjːne						bɑʧədʲɑ				kuə̠j								
BREATHE_110-c	ʎekɕems																										
BREATHE_110-d														ʃylem													
BREATHE_110-e				leːlɛɡzik				lælt		lolɑvnɯ	lolɑvnɯ		lilæji										lulʥɯnɯ				
BREATHE_110-f																							ʃokɑnɯ				
BURN_54-a	pɑloms	pɤletɑ	pɑlɑː			pɑlˑɑː			puːlːʲe																	pɤlɤmɑ	
BURN_54-b														jylem													
BURN_54-c											lomɑvnɯ																
BURN_54-d										soʨːɯnɯ	sotʲʨɯnɯ																
BURN_54-e																							ʤuɑnɯ				
BURN_54-f				eːɡ																							
BURN_54-g													teːɣ														
BURN_54-h								li																			
BURN_54-i																											
BURN_54-j																			ɑm								
CARRY_71-a	kɑndoms	kɑntɑ	kɑn̪t̪ɑː			kɑntɑː			kuːnːʲte					kondem					quə̠ntə							kɑntɤmɑ	
CARRY_71-b										novjɤtnɯ	novlɯnɯ												nulːɯnɯ				
CARRY_71-c				hord																							
CARRY_71-d								ælt					ɑːlmi														
CARRY_71-e													oːɲɕi														
CARRY_71-f								tæl																			
CARRY_71-g				t͡sipɛl																							
CARRY_71-h															mɯndɯsɯ												
CARRY_71-i														numɑlɑm													
CARRY_71-j											nɤbɑvnɯ																
CARRY_71-k																										vɤmæ	
CHARCOAL_297-a						hiːli																				iːli	
CHARCOAL_297-b	ɕedʲ	sysi						sø̆j						ʃyj					ʨuːʦ							sysi	
CHARCOAL_297-c																											
CHARCOAL_297-d													lotəχ														
CHARCOAL_297-e										ʃom	ʃom																
CHARCOAL_297-f																							eɡɯr				
CHARCOAL_297-g																											
CHARCOAL_297-i															torykyɕɑ huɑlə												
CHILD (DESCENDANT)_52-a		lɑpːs	lɑpsi			lɑps																				lɑhs	
CHILD (DESCENDANT)_52-b																											
CHILD (DESCENDANT)_52-c																											
CHILD (DESCENDANT)_52-d									paːrːne																		
CHILD (DESCENDANT)_52-e	ejdʲe																										
CHILD (DESCENDANT)_52-f	ejkɑkʃ																										
CHILD (DESCENDANT)_52-g														iɣeʃuβə̠													
CHILD (DESCENDANT)_52-h	pɑkʃɑ																										
CHILD (DESCENDANT)_52-i																							pinɑl				
CHILD (DESCENDANT)_52-j				ɟɛrmɛk																							
CHILD (DESCENDANT)_52-k													ɲɑːwrɑm														
CHILD (DESCENDANT)_52-l													ɑːɣipiɣ														
CHILD (DESCENDANT)_52-m								ɲəŋikɯjɯ																			
CHILD (DESCENDANT)_52-n															ɲuː												
CHILD (DESCENDANT)_52-o																			iːŋɑ								
CHILD (DESCENDANT)_52-p														joʧɑ													
CHILD (DESCENDANT)_52-q										ʨeʎɑdʲ	ʨeʎɑdʲ																
CHILD (DESCENDANT)_52-r																							nɯlpi				
CHILD (DESCENDANT)_52-s										kɑɡɑ																	
CHILD (DESCENDANT)_52-t																											
CHILD_111-a		lɑpːs	lɑpsi			lɑps																				lɑhs	
CHILD_111-b																											
CHILD_111-c																											
CHILD_111-d									paːrnenʧ																		
CHILD_111-e	ejdʲe																										
CHILD_111-f	ejkɑkʃ																										
CHILD_111-g														iɣeʃuβə̠													
CHILD_111-h	pɑkʃɑ																										
CHILD_111-i																							pinɑl				
CHILD_111-j				ɟɛrɛk																							
CHILD_111-k													ɲɑːwrɑm														
CHILD_111-l													ɑːɣipiɣ														
CHILD_111-m								ɲəŋikɯjɯ																			
CHILD_111-n																											
CHILD_111-o																			iːŋɑ								
CHILD_111-p														joʧɑ													
CHILD_111-q											ʨeʎɑdʲ																
CHILD_111-r																							nɯlpi				
CHILD_111-s								økəmot																			
CHILD_111-t										kɑɡɑ																	
CHILD_111-u															ɲuə												
CLAW_112-a	kenʒe		kynsi			kynz		kø̆ɳʧ	keːnːʦ	ɡɯʒ	ɡɯʒ		kos	kyʧ	kətu								ɡiʒɯ			ʧyːni	
CLAW_112-b				kɒrom																							
CLAW_112-c																											
CLAW_112-d																			qɑtə								
CLEAN_274-a		puhɑs	puxdɑs			puhɑz																				puhɑs	
CLEAN_274-b																											
CLEAN_274-c	vɑɲks																										
CLEAN_274-d														jɑndɑr													
CLEAN_274-e														ɑru													
CLEAN_274-f											peʎk																
CLEAN_274-g										sɤstɤm																	
CLEAN_274-h																							ʨilkɯt				
CLEAN_274-i																							tɑzɑ				
CLEAN_274-j									ʧiːlːk																		
CLEAN_274-k				tistɒ																							
CLEAN_274-l																										siːvo	
CLEAN_274-m													sistɑm														
CLEAN_274-o															ɲɑrɑjkuə												
CLEAN_274-p																											
CLOUD_113-a	peʎ	pilv	pilʋi	fɛlɦøː		pilvi		pələŋ	peːvːl					pə̠l									piʎem			pilvi	
CLOUD_113-b	kovol									kɯmɤr	kɯmɤr																
CLOUD_113-c						tuːtˑsɑ							tul													tuːʧ	
CLOUD_113-d															ʧiəðu~ʧiəðu				tiːtːə								
COLD_114-a	keʎme	kylm	kylmæ			kylmæ			kelmas																	ʧyl	
COLD_114-b																											
COLD_114-d																											
COLD_114-e																											
COLD_114-f								jøɣli~jøɣli						jyʃtø													
COLD_114-g										kɤʥɯt	kɤʥɯd												keʑɯt				
COLD_114-h				hidɛɡ																							
COLD_114-i													ɑɕərmɑ														
COLD_114-j								ətʲəɣ																			
COLD_114-k															ʧəɕiɕi				tɑɕːu								
COLD_114-l																										kɑhu	
COLD_114-m						kuːmɑ																					
COMB_301-a																											
COMB_301-b						suɡ̊ɑ			ʧɒːɡːʲ																		
COMB_301-c	surɕeme									sɯnɑn	sɯnɑn								tipsiɲ				sɯn				
COMB_301-d														ʃerɣe													
COMB_301-e				feːʃyː																							
COMB_301-f								kø̆ɳʧiw																			
COMB_301-g						kriepinɑ																				ɡreːbeni	
COMB_301-h		kɑmː	kɑmpɑ																								
COMB_301-i																											
COMB_301-j													ɒːrip														
COME_11-a		tulːɑ	t̪ulːɑ			tulːɑ								tolɑm	tujɕɑ				tyː							tulɤmɑ	
COME_11-b									puedːʲe																		
COME_11-c	sɑms																										
COME_11-d											vonɯ												vuɯnɯ				
COME_11-e										loknɯ	loknɯ												lɯktɯnɯ				
COME_11-f				jøn				jø̆					jiw														
COME_11-g								jŏχət																			
COOKED_227-a		keːtetːut	ke̞it̪e̞t̪ːy			keid̥etːy			kɨpːʲtma																		
COOKED_227-b																											
COOKED_227-c	pidʲeʑ			føːtː						puɤm	punɯ		pɑːjti		hiriməː												
COOKED_227-d														ʃoltem					muɕə								
COOKED_227-e																							pɤʑɯnɯ				
COOKED_227-f								kœɣrəm																			
COOKED_227-g																											
COOKED_227-h																											
CORRECT (RIGHT)_163-a	vidʲe	ɤike	o̞ike̞ɑ			oikiɑ			vuːjːk																		
CORRECT (RIGHT)_163-b																											
CORRECT (RIGHT)_163-d														ʧə̠n													
CORRECT (RIGHT)_163-e											veɕkɯd																
CORRECT (RIGHT)_163-f																							ʃoɲer				
CORRECT (RIGHT)_163-g				iɡɒz																							
CORRECT (RIGHT)_163-h				hɛjɛʃ																							
CORRECT (RIGHT)_163-i													jomɑs														
CORRECT (RIGHT)_163-j																											
CORRECT (RIGHT)_163-k																			tɑːt~tɑːt								
CORRECT (RIGHT)_163-l																										pɑrɑliːn	
CORRECT (RIGHT)_163-m																										pæriz	
CORRECT (RIGHT)_163-n										prɑviʎnɤj																	
CORRECT (RIGHT)_163-o																											
CORRECT (RIGHT)_163-p																											
CORRECT (RIGHT)_163-q															ŋəðiʔtəkə												
COUNT_115-a			lɑske̞ɑ			lɑskiɑ																				lukɤmɑ	
