Gloss	Erzya	Estonian	Finnish	Hungarian	Ingrian	Karelian	Khanty	Kildin Saami	Komi-Permyak	Komi-Zyrian	Livonian	Mansi	Meadow Mari	Nganasan	North Saami	Selkup	Skolt Saami	South Saami	Tundra Nenets	Udmurt	Veps	Votic	Võro
COOKED_6		(keːtetːut)	(ke̞it̪e̞t̪ːy)		(keid̥etːy)			kɨpʲːtma															(kˑeːtetyʔ)
CORRECT_1																			ɲeːnæsʲɑ				
CORRECT_10																				ʃoɲer			
CORRECT_11	vidʲe	ɤike	o̞ike̞ɑ		oikiɑ	ɔikiɛ		vuːjːk									vuəiɣɐs				ɔiɡɛd		ɤikɤ
CORRECT_12																						pɑrɑliːn	
CORRECT_13									(prɑviʎnɤj)														
CORRECT_14												jomɑs											
CORRECT_15											(ɨiɡi)												
CORRECT_16				hɛjɛʃ																			
CORRECT_2																(tɑːt)							
CORRECT_3																		(rɨɛktɛ)					
CORRECT_4				iɡɒz																			
CORRECT_5																						pæriz	
CORRECT_7										veɕkɯd													
CORRECT_8													(ʧə̠n)										
CORRECT_9														ŋəðiʔtəkə									
COUNT_1			lɑske̞ɑ		lɑskiɑ	lɑskiɛ																lukɤmɑ	
COUNT_2																	(lɒsʲc͡çʲːeːd)						
COUNT_3														tuəbtusɑ		toːr							
COUNT_4													(ʧotlem)										
COUNT_5																		(ryœknɛhtidh)					
COUNT_6				(saːmol)																			
COUNT_7	lovoms	luketɑ					lŏŋət	loːɡːe	lɯdʲːɯnɯ	lɯdʲːɯnɯ	luˀɡːə	lowiɲti	luðɑm		lɔhkɑh					lɯʥːɯnɯ	lʊɡɛdɑ		lukɤmɑ
CRY_1	ɑvɑrʲdʲems																						
CRY_10												ʎuːɲɕi											
CRY_11													ʃortɑm										
CRY_13			it̪keæ		itkiæ	itkiɛ					itkə										itktɑ	itkɤmɑ	ikˑmɑ
CRY_14									bɤrdnɯ	bɤrdnɯ										bɤrdɯnɯ			
CRY_2				ʃiːr																			
CRY_3								luːj̊ʲːke															
CRY_4							jis																
CRY_5																	(rɛakːɒd)						
CRY_6									ɡorzɯnɯ														
CRY_7		nutːɑ																					
CRY_8															ʧiɛrːʊh			ʧeærudh					
CRY_9														dʲorədʲɑ		ʨuːrə			jɑrʦʲ				
CUT DOWN_1	kerʲɑms								kerɑvnɯ														
CUT DOWN_11																ɤsəptə							
CUT DOWN_12			kɑːt̪ɑː		kɑːtɑː																		
CUT DOWN_13												sɑːɣrɑpi											
CUT DOWN_14		(rɑiutɑ)					pæɣət																(rɑkomɑ)
CUT DOWN_15														lətɯdʲi									
CUT DOWN_17							rɯɣəmt																
CUT DOWN_18	prɑvtoms																						
CUT DOWN_2				kivaːɡ																			
CUT DOWN_3																						(lɤikːɑmɑ)	
CUT DOWN_4								uʦʲne															
CUT DOWN_5													ruem										
CUT DOWN_7																				poɡɯrtɯnɯ			
CUT DOWN_9		lɑŋketːɑtɑ																					
CUT_1											iːˀɛdə												
CUT_10								veːjːe															
CUT_11					hølvæd̥æ																		
CUT_12								ʧuːhpe							ʧʊ̯ɔhpːɑh		ʧuəpːɐd						
CUT_14							øɣət					jɑkti											
CUT_16													ʃuɑlɑm										
CUT_17														mətudʲɑ		mɑʧə			mɑdɑbəsʲ				
CUT_2	nɑrɑms																						
CUT_3	peʧkems												pyʧkɑm										
CUT_4									ʃɤrɯʃtnɯ	ʃɯrnɯ										ʃorɯnɯ			
CUT_6				vaːɡ					vundɑvnɯ	vundɯnɯ										vɑndɯnɯ			
CUT_7							joɣɯ																
CUT_8		(lɤikɑtːɑ)	(le̞ikɑt̪ɑ)		(leiɡ̊ɑd̥ɑ)	(lɛikɑtɑ)															(lɛikɑtɑ)	(lɤikːɑmɑ)	(lɤikˑɑmɑ)
CUT_9				ɲiːr																			
DAY_1							kotəl					χoːtɑl											
DAY_2		pæev	pæiʋæ		pæivæ	pæivæ		piejːv			pæːvɑ				pæjvi		pɛivʲːɘ	piɛjːiɛ			pæiv	pæivʲ	pˑæiv
DAY_3									lun	lun										nunɑl			
DAY_4														dʲɑlɯ		ʨeːlə			jɑʎɑ				
DAY_5				nɒp																			
DAY_6	ʧi												keʧe										
DEAF_1				ʃykɛt																			
DEAF_10														dʲuntəː									
DEAF_11	piʎevtʲeme							pieʎːxem	peʎtɤm	peʎtɤm					pe̯æʎehe̯æpmi		peːʎʲːtʲɛmʲɘ	piɛljɛhʦ		peʎtem			
DEAF_12		(kurt)	(kuːro̞)			(kuːrnis)					(kurli)										(kʊrdiʒ)		(kˑurtʲˑ)
DEAF_13																						(ɡluhoi)	
DEAF_2																qoː			xɑsʲədɑ				
DEAF_3	ɑmɑrʲi																						
DEAF_4					(kluːhkoi̯)																		
DEAF_5																							hurrʲ
DEAF_6													(soŋɡə̠rɑ)										
DEAF_7	(ɡluχoj)																						
DEAF_8													(ʧokrɑk)										
DEAF_9									oz kɯv														
DIE_1														dʲɑŋɡumsɑ									
DIE_2								jɒːmʲːe							jaːpmih		ʝaːmʲːɛd	jæːmɛdh					
DIE_3	kuloms		kuo̞lːɑ	mɛkhɒl	koːlːɑ	kʊɔlːɑ	kɑ̆lɑ		kuvnɯ	kuvnɯ	kuːolə	χoːli	kolem	kuədʲɑ		quː			xɑsʲ	kulɯnɯ	kɔldɑ	koːlɤmɑ	kˑuːlmɑ
DIE_4		surːɑ					sur															surɤmɑ	
DIG_1				tuːr																			
DIG_10													(korem)										
DIG_11							(kɯɳ)																
DIG_12																				(kopɑnɯ)			
DIG_13										ɡodnɯ										ɡudɯnɯ			
DIG_14													kyɲʧem										
DIG_15									ɡɑrjɯnɯ														
DIG_16		kɑevɑtːɑ	kɑiʋɑː		kɑivɑː	kɑivʊɑ		kuajːve			kouvə				kɔ̯ɑivʊh		kuaivːɒd				kɑidɑ	kɑivomɑ	kˑɑipmɑ
DIG_17																		pɛrkɛdh					
DIG_18																	(raːpːɒd)						
DIG_19																			səbkɑsʲ				
DIG_2														ɕirkədʲi									
DIG_3	ʧupoɲems																						
DIG_4	ʧuvoms																						
DIG_6				aːʃ																			
DIG_7												χili											
DIG_8																tilə							
DIG_9																		(kʰruʌhkɛdh)					
DIRTY_1				sɛɲːɛʃ																			
DIRTY_10				piskoʃ																			
DIRTY_11		(must)			(mustɑ)																		(musˑtˑ)
DIRTY_12	kɑrɡoʨ																						
DIRTY_13														ɲeɡɯku									
DIRTY_14							kulɯŋ																
DIRTY_15					reuɡ̊ɑz																rɛdʊkɑz		
DIRTY_16																				kɯrɕ			
DIRTY_19									ɲɑtʲɤɕ	ɲɑtʲ													
DIRTY_2	(rudɑzov)																						
DIRTY_20												pɑːŋkən											
DIRTY_21															tʊ̯ɔlvːɑs								
DIRTY_22			(likɑine̞n)			(likɑni)																	
DIRTY_23																ʧɑm							
DIRTY_24													(lɑβə̠rɑn)										
DIRTY_25										ɕɤd										ɕɤd			
DIRTY_3																			wərʦɑwæj				
DIRTY_4																						roːjɤtːu	
DIRTY_6											ræpːi												
DIRTY_7				kosoʃ																			
DIRTY_8							pəɣtə																
DIRTY_9								saːkʲːs									saxsːɒi						
DISAPPEAR_10			hæʋit̪æ		hævid̥æ	hævitæ																ævimæ	hæømæ
DISAPPEAR_11				ɛltyːnik																			
DISAPPEAR_14	jomɑms																						
DISAPPEAR_15																						æpærtymæ	
DISAPPEAR_16																yru							
DISAPPEAR_17												pɑːteri											
DISAPPEAR_18														sɯmbɑːdʲɑ									
DISAPPEAR_2													pə̠tem										
DISAPPEAR_3							məɲtʲæɣəl																
DISAPPEAR_4		kɑtutɑ	kɑdo̞t̪ɑ								kɑdːə											kɑotːumɑ	kˑɑomɑ
DISAPPEAR_5																	ʝɒukːɐd						
DISAPPEAR_6	kekʃems																						
DISAPPEAR_7								(kaːde)															
DISAPPEAR_8									ɤʃnɯ	voʃnɯ										ɯʃɯnɯ			
DIVIDE_1																						eritːemæ	
DIVIDE_10														ʧyːbtyɕɑ									
DIVIDE_2												urti											
DIVIDE_3	sɑʦtoms																						
DIVIDE_4									ʃɤriɤtnɯ											ʃori kɑrɯnɯ			
DIVIDE_6				(ɛlost)									(uʒɑʃlem)										
DIVIDE_7	jɑvoms	jɑkɑtɑ	jɑkɑː		jɑkˑɑː	jɑkʊɑ		juːɡːe		juknɯ	jɑˀɡːə				jʊ̯ɔhkih		ʝuɛc͡çʲːɛd	jʉɛkɛdh			jɑɡɑdɑ	jɑkɑmɑ	jɑkɑmɑ
DIVIDE_8													pɑjlem										
DIVIDE_9														tɑrsɑ		tɑːr			tʲɑrʦʲ				
DO OR MAKE_11					(lɑːtiɑ)																		
DO OR MAKE_13														melɯðəsɯ		meː							
DO OR MAKE_14													ʃtem										
DO OR MAKE_3									(kernɯ)	(kernɯ)										(kɑrɯnɯ)			
DO OR MAKE_5	(tʲejems)	(tehɑ)	(t̪e̞çdæ)	(tɛs)	(tehːæ)																	(teʧemæ)	(tˑekemæ)
DO OR MAKE_6							(wer)					(wɑːri)											
DO OR MAKE_7										vɤʨnɯ													
DO OR MAKE_8																				leɕtɯnɯ			
DO OR MAKE_9								(lɨhke)															
DOG_1		koer	ko̞jrɑ		koirɑ	kɔirɑ															kɔir	koir	
DOG_2														(bɑŋ)		(kɤnɑŋ)			(wæɲeːkoː)				
DOG_3	(kiskɑ)																						
DOG_4				kucɒ																			
DOG_5	piɲe							pienːe	pon	pon	piɲ		pij		pe̯ænɑ		piɐnːɒi	pɨɛɲɛ		punɯ			pˑini
DOG_6							æmp					ɑːmp											
DREAM_1				aːlmodik			ulmɯ					uːləm	omə̠m uʒɑm										
DREAM_2	ɲejems onsto	unes næhɑ	une̞ksiɑ		uneksiɑ																		
DREAM_3																							hɤlʲɑhɤlːɤmɑ
DREAM_4									vɤtɑɕnɯ	vɤtɤn ɑʥːɯvnɯ										vɤt ɑʥːɯnɯ			
DREAM_5								naɡerʲ															
DREAM_6																						(breːdimæ)	
DREAM_7														dʲudʲisɯ		kyːtæptə			judæ				
DRINK_1	ɕimems																						
DRINK_2							li																
DRINK_3		juːɑ	juo̯dɑ		joːvːɑ	juːvːɑ	jæɲtʲ	juɡːe	junɯ	junɯ	juːodə	ɑji	jyɑm		jʊhkɑh		ʝuːkːɐd	juβkɛdh		juɯnɯ	jɔdɑ	juːmɑ	juːmɑ
DRINK_5														bɯtɯdʲi		ytə							
DRY_1									kɤs	kos			(kukʃo)							kɤs			
DRY_2	koɕke							kɒːʃʲkesʲ						koɕyə	kɔjkːis		kɔːʃc͡çɛs	kɛjhkiɛ	xɑsuj				
DRY_4							sosəm					toːsɑm											
DRY_5				saːrɒz			sɑrəm																
DRY_6		kuiv	kuiʋɑ		kuivɑ	kʊivɑ					kuːjɑ										kʊiv	kuiv	kˑuiv
DRY_7																ʧɤkə							
DUST_1																				(tuzon)			
DUST_11																		hɛbliɛ					
DUST_12																punɑ							
DUST_13											pɨrm												
DUST_14			t̪o̞mu																				
DUST_15									(bus)	(bus)													
DUST_16														ʎiʎə									
DUST_17												pors											
DUST_18			(pø̞ly)		(pølːy)	(pœly)															(pœlʏ)	(pølːy)	
DUST_19																	(pəːlʲɘ)						
DUST_2				por																			
DUST_20		(tolm)																				(tolmu)	(tˑolm)
DUST_3																			sʲibʲə				
DUST_4													purɑk										
DUST_5							ɲɔr																
DUST_6	ʧeʎke																						
DUST_7								puenː															
DUST_8	(puʎ)													dʲɑŋ									
DUST_9																		ʦʉmhʦiɛ					
EARLY_1		(vɑrɑ)	ʋɑrxɑin																			(vɑrɑi)	(vɑrːɑ)
EARLY_10														merə									
EARLY_11																				ʧuk			
EARLY_13	(rɑnɑ)																						
EARLY_14				(koraːn)																			
EARLY_15													(er)										
EARLY_2													ondɑk										
EARLY_3														məʧidʲiʔiɑ									
EARLY_4			ɑikɑisin		ɑiɡ̊ɑi̯zeː			aːjkalt															
EARLY_5												ɑːlpəl											
EARLY_6									oʥ	voʥ													
EARTH_1															e̯ænɑ		ʝɐnːɒm						
EARTH_2																			jɑ				
EARTH_3		mɑː	mɑː		mɑː	mʊɑ	məɣ		mu	mu	mɔː	mɑː	mlɑnde	mou						mu	mɑ	mɑː	mɑː
EARTH_4				føld																			
EARTH_5	(modɑ)																						
EARTH_6																ʧuə̠ʧːə							
EARTH_7								lavʲːn															
EARTH_8																		(joɒrta)					
EAR_1														kou		qoː			xɑ				
EAR_2	piʎe			fyl			pəl	pieʎː	peʎ	peʎ		pɑʎ	pə̠lə̠ʃ		pe̯æʎːi		pɛʎʲːɘ	piɛljiɛ		peʎ			
EAR_3		kɤrv	ko̞rʋɑ		korvɑ	kɔrvɑ					kuːorɑ										kɔrv	kɤrv	kˑɤrv
EAT_1	sevems	syːɑ	syø̞dæ	ɛsik	søːvˑæ	syːvːæ	li		ɕojnɯ	ɕojnɯ	siːɛdə	teːɣ								ɕiɯnɯ	sœdɑ	syːmæ	sˑyːmæ
EAT_2								poːrːe							pɔrːɑh		poːrːɐd						
EAT_3														ŋəmsɑ		ɑm			ŋəmzʲ				
EAT_4	jɑrsɑms																						
EAT_5													koʧkɑm										
EGG_1	(ɑl)																						
EGG_2																				puz			
EGG_3																			sɑrʔɲu				
EGG_4																eŋ							
EGG_5							məɣ																
EGG_6		munɑ	munɑ		munɑ	mʊnɑ		manʲː			munɑːd	muːŋi	muno	mənu	mɔnːi		mɐːnʲːɘ	mʉnːiɛ			mʊnɑ	munɑ	munɑ
EGG_8									(koʎtʲ)	(koʎk)													
EXTINGUISH_1			(sɑmːut̪ːɑː)		(sɑmːutːɑː)																	(sɑmːutːɤmɑ)	
EXTINGUISH_2													jørtem										
EXTINGUISH_3	mɑsːtʲems																						
EXTINGUISH_4								ʧuaʦːkte															
EXTINGUISH_5												χɑriɣti											
EXTINGUISH_6		kustːutːɑtɑ					kowət		kusɤtnɯ	kusɤdnɯ				kəbtudʲɑ		qɑptə				kɯsɯnɯ			kˑisˑtˑutˑɑmɑ
EXTINGUISH_9				ɛlolt																			
EYE_1	ɕeʎme	silm	silmæ	sɛm	silmæ	silmæ	sem	ʧalʲːm	ɕin	ɕin	siːlmɑ	sɑm	ʃiɲʧɑ	ɕejmɯ	ʧɑlɛbmi	sɑji	ʧɐlʲmʲːɘ	ʧɛlmiɛ	sæw	ɕin	silʲm	silmʲ	sˑilm
FACE_1												pɑːjt											
FACE_10							wæɲəm																
FACE_11								(kaːsːv)															
FACE_12													ʃyrɣø										
FACE_13										nɯrvom										ɯmnɯr			
FACE_14														horə									
FACE_15																		oːrɛdæjːa					
FACE_16	ʧɑmɑ																						
FACE_18									(bɑn)	roʒɑbɑn										(bɑm)			
FACE_19															(mʊ̯ɔðʊh)		(muɐðɐ)				mɔd		
FACE_2			nɑːmɑ																				
FACE_20																uə̠nti							
FACE_21				ɒrʦ																			
FACE_22					(liːtˑsɑ)																	(ʎiːtːs)	
FACE_3												wiːʎt	(ʧurij)										
FACE_4												ɲolsɑm											
FACE_5									roʒɑbɑn	roʒɑ													
FACE_6			kɑsʋo̞t̪																				
FACE_7																			sʲɑʔ				
FACE_8											(pɑlɡ)												
FACE_9		næku			næɡ̊o	nækœ																næko	næko
FALL_1				ɛʃik					uɕnɯ	uɕnɯ										uɕɯnɯ			
FALL_11														sohədʲɑ									
FALL_12					tokːuɑ																		
FALL_13		kukːutɑ																					kˑukˑɤrtumɑ
FALL_14																ɑːlʨə							
FALL_15													βozɑm										
FALL_16								(keːhʧe)							(kɑhʧːɑh)		(kəʧːɐd)	(kahʧɛdh)					
FALL_17														ʧəlh dʲi									
FALL_2						lɑŋkɛtɑ					lɑŋɡə										lɑŋːɛtɑ	lɑŋkɤːmɑ	
FALL_5	prɑms																						
FALL_6			pudo̞t̪ɑ																				
FALL_7												rɑɣi											
FALL_8							kørəɣ																
FAR_1													torɑʃte										
FAR_10													myndə̠rnø										
FAR_12								kuhkʲenʲ									kuc͡çʲɛs	kahkɛsɛ					
FAR_13				mɛsːɛ																			
FAR_2												eːlɑʎ											
FAR_3				taːvol																			
FAR_4					etːæːl	ɛtæhælːini															ɛdɑhɑinɛ		
FAR_5														kuntəɡunu		kuntok							
FAR_6		(kɑukel)	(kɑwkɑnɑ)								(kouɡi)											(kɑukɑlː)	(kˑɑvːɤn)
FAR_7									ɯlɯn	ɯlɯn													
FAR_8	vɑsolo																						
FAR_9																				kɯdʲokɯn			
FATHER_1						tʊɑtːɔ															tɑt		
FATHER_10										(bɑtʲ)													
FATHER_11		isɑ	isæ					aʤ			izɑː	ɑːɕ		dʲesɯ	aːhʧːi	ɤsə	ɛʧʲːɘ	æːhʧiɛ	ɲisʲɑ			isæ	esˑæ
FATHER_2							jəɣ					jɑɣ											
FATHER_3					ætːi																		
FATHER_4									ɑj	ɑj										ɑjɯ			
FATHER_5													(ɑʧɑ)										
FATHER_6							ɑ̆pɑ																
FATHER_7	(tʲetʲɑ)																						
FATHER_8				ɒpɒ																			
FATHER_9																				bubɯ			
FAT_1														ʧuʔ									
FAT_10			(içrɑ)																				
FAT_12	ʎem																						
FAT_2							woj					woːj											
FAT_3		(rɑsv)	(rɑsʋɑ)		(rɑzvɑ)	(rɑsvɑ)					(rɑzɑː)										(rɑzv)	(rɑzvɤ)	(rɑsˑɤv)
FAT_4				(ʒiːr)																			
FAT_5	(ʒir)																						
FAT_6									ɡos	ɡos													
FAT_7	kujɑ			haːj									kojɑ							kɤj			
FAT_8								(puːjːt)							(pʊɛjti)		(puəidʲːɘ)	(pʉɛjtiɛ)					
FAT_9														dʲir		yr			jurʔ				
FEAR_1	(peʎems)		(pe̞læt̪æ)	(feːl)			(pəl)	(peːlːe)	(povnɯ)	(povnɯ)		(pili)		hɯlɯmsɯ	(pɑlːɑh)		(pəːlːɐd)	(pɨlːɛdh)				(pelʧæmæ)	(pˑelkæmæ)
FEAR_2																				kɯʃkɑnɯ			
FEAR_3													lyðɑm										
FEAR_4												χurɑχli								(kurdɑnɯ)			
FEAR_5					(pølæd̥æ)	(vɑrɑtɑ)															(vɑrɑitɑ)		
FEAR_7		kɑrtːɑ									kɑrtə											kɑrtːɤmɑ	
FEAR_8					hervid̥æ																		
FEAR_9																enə							
FEATHER_1			hø̞yɦe̞n		høyhen																		
FEATHER_2	tolɡɑ	sulk	sulkɑ	tolː	sulɡ̊ɑ	sʊlkɑ	tŏɣəl		bordtɯv			towəl		totə		tuː				tɯlɯ		sulk	sˑulkʲ
FEATHER_3													pə̠stə̠l										
FEATHER_4																tɑr			tərʔ				
FEATHER_5							pun	poːnːʦ				pun	pun					paʦːɛ					
FEATHER_7									(ɡɤn)	(ɡɤn)													
FEW_1																				odiɡoɡ			
FEW_12		(væhe)	(ʋæɦæn)		(væhæin)																	(væhæ)	veityʔ
FEW_13										(tɤkɤtɤ)													
FEW_14									eʧɑ	eʧɑ													
FEW_15	ɑlɑmo																						
FEW_17								(vaːnas)															
FEW_19							ʧɯməl																
FEW_21			hɑrʋɑ																				
FEW_3												moɕ											
FEW_4														kɑnərɑː		qɑːnɑ							
FEW_5													ʃɑɣɑl										
FEW_6													iziʃ										
FEW_7									ɲevnɑ														
FEW_8														tɑnuɑmənu									
FEW_9				kɛveːʃ																			
FIGHT_1																				ʒuɡiɕkɯnɯ			
FIGHT_10			t̪ɑpe̞lːɑ		tɑpelːɑ																	tɑpːɤˑmɑ	
FIGHT_11																quə̠tu							
FIGHT_12										koɕɑɕnɯ													
FIGHT_13							ɲulwel																
FIGHT_14													kreðɑlɑm										
FIGHT_2	turʲems					tɔrɑ		tuarːe						torɑsɑ	tɔ̯ɑrːʊ						tɔrɑ		
FIGHT_3									tɯʃkɑɕnɯ	tɯʃkɑɕnɯ													
FIGHT_4				vɛrɛksik																			
FIGHT_6												ɑlχɑti											
FIGHT_7							læʎəɣsə																
FIGHT_8														kəməuʔtəsɑ									
FIGHT_9		kɑkːeltɑ																					kˑɑkˑlɤmɑ
FINGERNAIL_1	kenʒe	kyːs	kynsi		kynz	kynsi	kø̆ɳʧ	keːnːʦ	ɡɯʒ	ɡɯʒ	kiːɲtʃ	kos	kyʧ	kətu	kɑd͡sːɑ		kəʣːɐ	kaʦːɛ		ɡiʒɯ	kʏnzʲ	ʧyːni	kˑyːʦʲˑ
FINGERNAIL_2																		(kʉɛhpɛrɛ)					
FINGERNAIL_3																qɑtə			xədɑ				
FINGERNAIL_4				kɒrom																			
FIRE_1																					læmɔi		
FIRE_2	tol	tuli	t̪uli		tuli	tʊli		toːlː			tuˀʎ		tul	tuj	tɔlːɑ	tyː	tolːɐ	tɔlːɛ	tu	tɯl		tuli	tˑuli
FIRE_3												nɑːj											
FIRE_4												uʎɑ											
FIRE_5				tyːz			tø̆ɣət																
FIRE_6									bi	bi													
FISH_1	kɑl	kɑlɑ	kɑlɑ		kɑlɑ	kɑlɑ	kul	kuːlʲː			kɑlɑː	χuːl	kol	kolɯ	kʊ̯ɔlːi	quə̠lə	kuɛlʲːɘ	kʉɛliɛ	xɑʎɑ		kɑlɑ	kɑlɑ	kˑɑlɑ
FISH_2									ʨeri	ʨeri										ʨorɯɡ			
FIVE_1	vetʲe	viːs	ʋiːsi	øt	viːz	viːsi	wet	vɨdː	vit	vit	viːʒ	ɑt	βiʧ		vihtːɑ		vitːɐ	βɨjhtɛ		vitʲ	viʒ	viːs	viːsʲˑ
FIVE_2														səŋhəʎɑŋkə		sompəlæŋqə			səmʎɑŋɡ				
FLOAT_1																						lɤːtːsumɑ	
FLOAT_10														dʲɑmbiɕɑ									
FLOAT_12							nɑwə																
FLOAT_13			ke̞lːuɑ																				
FLOAT_14			leijuɑ																				
FLOAT_15				saːlː																			
FLOAT_16									ujːɯnɯ														
FLOAT_17	ukʃnoms																						
FLOAT_18		hɤljutɑ																					hɤlʲomɑ
FLOAT_20																				lejkɑnɯ			
FLOAT_22							tæŋkimtæ																
FLOAT_3												portɣinti											
FLOAT_4																							uʦˑɑlɤmɑ
FLOAT_5								vuːjːe															
FLOAT_6										ʃlɯvɡɯnɯ													
FLOAT_7																quːrə							
FLOAT_8														kudʲusɑ									
FLOAT_9				lɛbɛɡ																			
FLOWER_1								(raːsʲː)							(raːsːi)		(xɛarʲvʲːrʲaːsʲːɘ)	(rɨɛsɛɡɛ)					
FLOWER_11																			ŋɑmdædʔŋæwɑ				
FLOWER_12									ʥoriʥ	ʥoriʥ													
FLOWER_13				viraːɡ																			
FLOWER_14			kukːɑ		kukːɑ	kʊkːɑ																kukː	
FLOWER_17	(ʨeʨɑ)																						
FLOWER_19		lilː																					lillʲ
FLOWER_2	(ʦvetkɑ)																						
FLOWER_20											pucːkɨz												
FLOWER_21																					ænik		
FLOWER_22												ɕoːri											
FLOWER_3														lukuðiɑj						(ɕɑɕkɑ)			
FLOWER_5													peleðə̠ʃ										
FLOWER_6																sɯrkə							
FLOWER_7							lɯjwə																
FLOWER_8											(pusk)												
FLOW_1				fojik																			
FLOW_10												ɲoːriɣli											
FLOW_12																køːŋ							
FLOW_14														luɑʔtusɑ									
FLOW_15							ɲɑ̆χərəl																
FLOW_16		voːlɑtːɑ					ŏɣɑ					owi											
FLOW_2									vizɯvtnɯ	vizuvtnɯ													
FLOW_3											juːokʃə												juːsˑkˑmɑ
FLOW_4								(koːlːke)							(kɔlɔkɑh)		(kolɡːɐd)	(kalkɛdh)					
FLOW_5													(joɣem)										
FLOW_6																				vijɑnɯ			
FLOW_7																				bɯʑɯnɯ			
FLOW_8			(ʋirːɑt̪ɑ)		(virːɑd̥ɑ)																	(virtɑmɑ)	
FLOW_9	ʧudʲems																						
FLY (INSECT)_1													orɑʃə̠ŋe										
FLY (INSECT)_10														kir									
FLY (INSECT)_2																ʧɯːpæ							
FLY (INSECT)_3									ɡut	ɡut										kut			
FLY (INSECT)_4																		puʌrɛɡɛ					
FLY (INSECT)_5				leːɟ																			
FLY (INSECT)_6																			toːxoːndɑbʦoː				
FLY (INSECT)_7							sɯrəɲtʲɯw					seːriwɑːrp											
FLY (INSECT)_8								ʧueraʃ							ʧʊrʊ		ʧuɐrɐ	ʧuʌrɛ					
FLY (INSECT)_9	kɑrvo	kærpes	kærpæne̞n		kærpæin	kærpæni					kærmi		kɑrme								kærbhɑinɛ	ʧærpein	kˑærplæne
FLY_1				rɛpyl																			
FLY_2													ʧoŋeʃtem										
FLY_3																		hæːliɛhtidh					
FLY_4														təirɕi		tiː			tʲirʦʲ				
FLY_5	ʎivtʲɑms																						
FLY_6								kɨrʲːte							kirtih		c͡çɛrʲdʲːɛd						
FLY_7		lenːɑtːɑ	le̞nt̪æː		lentæː	lɛntyæ					lində										lɛtɑ	lentæmæ	lintɑmɑ
FLY_8									lebɑvnɯ	lebɑvnɯ										lobɯnɯ			
FLY_9							ləɣəl					tiɣli											
FOG_1	suv		sumu		sumu																sʊmɛɡ		
FOG_10				kød																			
FOG_12									(tumɑn)														
FOG_13								ʦiːɡː															
FOG_14	(tumɑn)																						
FOG_15														kəku									
FOG_17																ʨɑptu							
FOG_18													(tytrɑ)										
FOG_2																				(bus)			
FOG_3							ʧyχ					seːŋkʷ											
FOG_4					(tomɑkːɑ)																	(tomɑkː)	
FOG_5															(miɛrɑhkaː)			(meærhka)					
FOG_6																			sʲiɲoː				
FOG_7		utu			ud̥u						uˀd												unʦˑɤʔ
FOG_8															(miɛrɑhkaː)								
FOG_9										ru													
FOOT_1																topə							
FOOT_3		jɑlk	jɑlkɑ		jɑlɡ̊ɑ	jɑlkɑ		juːlʲːk			jɑːlɡɑ		jol		jʊ̯ɔlɛki		ʝuɛlʲɟ͡ʝʲːɘ	jʉɛlkiɛ			jɑʊɡ	jɑlk	jɑlk
FOOT_4																				(pɯd)			
FOOT_5	piʎɡe																						
FOOT_6							kø̆r																
FOOT_7														ŋoj					ŋæ				
FOOT_8									kok pɯdɤs	kok										kuk			
FOOT_9												lɑːɣəl											
FOREST_1																			peːdɑrɑ				
FOREST_10								vaːrʲː															
FOREST_11													ʧoðə̠rɑ										
FOREST_12																				ɲules			
FOREST_13		(metːs)	(me̞t̪sæ)		(metˑsæ)	(mɛʧːæ)					(mɨtsɑː)										(mɛʦ)	(meʦæ)	(mɤʦ)
FOREST_14									vɤr	vɤr		woːr											
FOREST_2																mɑʨə							
FOREST_3	(virʲ)																						
FOREST_4				ɛrdøː																			
FOREST_5							wont								(vʊ̯ɔvti)								
FOREST_6																				ɕik			
FOREST_7																	(mɛaʦʲʦɐ)						
FOREST_8																		(skoɒkɛ)					
FOREST_9														muŋku									
FOUR_1														ʧətə		teːtːə			tʲeːt				
FOUR_2	ɲiʎe	neli	ne̞ljæ	neːɟ	neljæ	nɛlːæ	ɲələ	ɲieʎː	ɲoʎ	ɲoʎ	nɛːʎɑ	ɲilɑ	nə̠l		ɲe̯æʎːe		nɛʎːɐ	ɲiɛljiɛ		ɲɯʎ	nɛlʲː	neʎːe	neli
FOX_1														tuntɯ					tʲoːɲɑ				
FOX_2	(rʲiveʑ)	(repɑne)		(roːkɒ)	(reb̥oi)	(rɛpɔ)		(riːmʲːn)	(ruʨ)	(ruʨ)	(rɛˀbːi)		(rə̠βə̠ʒ)		(riɛpɑn)		(riɛmʲʝʲːɘ)	(riɛpiɛ)		(ʥɯʨɯ)	(rɛbɔi)	(repo)	(repˑænʲ)
FOX_3			ke̞t̪ːu																				
FOX_4							wo̝kɯ					oχsɑr											
FOX_5																loqɑ							
FREEZE_1	tɑrʲkstɑms																						
FREEZE_2																							kˑɑrsˑɑtˑumɑ
FREEZE_3							pɑt																
FREEZE_4														kəntɯdʲi		qɑntə			xəɲimzʲ				
FREEZE_5				mɛkfɒɟ								poːʎi											
